サス	s ä s ɯ̥ᵝ
マンホール	m ã̠ ɰ̃ h o̞ː ɾ ɯ̟ᵝ
マンボ	m ã̠ m b o̞
まんぼう	m ã̠ m b o̞ː
まんぽけい	m ã̠ m p o̞ k e̞ː
まんま	m ã̠ mː a̠
まんま	m ã̠ mː a̠
まんまえ	m ã̠ mː a̠ e̞
まんまん	m ã̠ mː ã̠ ɴ
マンモス	m ã̠ mː o̞ s ɨᵝ
まんよう	m ã̠ ɰ̃ j o̞ː
まんようがな	m ã̠ ɰ̃ j o̞ː ɡ a̠ n a̠
ミ	mʲ i
み	mʲ i
かみ	k a̠ mʲ i
みあう	mʲ i a̠ ɯ̟ᵝ
ミー	mʲ iː
三	s ã̠ ɴ
三	s ã̠ ɴ
三	mʲ i
三	mʲ iː
ミーアキャット	mʲ iː a̠ kʲ a̠ t̚ t o̞
みいだす	mʲ iː d a̠ s ɨᵝ
ミーティング	mʲ iː tʲ ĩ ŋ ɡ ɯ̟ᵝ
ミートボール	mʲ iː t o̞ b o̞ː ɾ ɯ̟ᵝ
ミーム	mʲ iː m ɯ̟ᵝ
みいら	mʲ iː ɾ a̠
ミーン	mʲ ĩː ɴ
みうける	mʲ i ɯ̟ᵝ k e̞ ɾ ɯ̟ᵝ
みうら	mʲ i ɯ̟ᵝ ɾ a̠
みえけん	mʲ i e̞ k ẽ̞ ɴ
みえみえ	mʲ i e̞ mʲ i e̞
みお	mʲ i o̞
みおさめ	mʲ i o̞ s a̠ m e̞
みおぼえ	mʲ i o̞ b o̞ e̞
みかえす	mʲ i k a̠ e̞ s ɨᵝ
みかくにん	mʲ i k a̠ k ɯ̟ᵝ ɲ̟ ĩ ɴ
みかず	s ã̠ ɰ̃ i t͡ɕ i
みかず	mʲ iː t͡ɕ i
みかず	mʲ i k a̠ z ɨᵝ
みかづき	mʲ i k a̠ z ɨᵝ kʲ i
みかん	mʲ i k ã̠ ɴ
みっかん	mʲ i k̚ k ã̠ ɴ
みかん	mʲ i k ã̠ ɴ
みがら	mʲ i ɡ a̠ ɾ a̠
びき	bʲ i kʲ i
みき	mʲ i kʲ i
けんぶん	k ẽ̞ m b ɯ̟̃ᵝ ɴ
けんもん	k ẽ̞ mː õ̞ ɴ
みぎがわ	mʲ i ɡʲ i ɡ a̠ ɰᵝ a̠
みくだす	mʲ i k ɯ̟ᵝ d a̠ s ɨᵝ
みくだりはん	mʲ i k ɯ̟ᵝ d a̠ ɾʲ i h ã̠ ɴ
みくびる	mʲ i k ɯ̟ᵝ bʲ i ɾ ɯ̟ᵝ
みけ	mʲ i k e̞
みけねこ	mʲ i k e̞ n e̞ k o̞
みごと	mʲ i ɡ o̞ t o̞
みごろし	mʲ i ɡ o̞ ɾ o̞ ɕ i
ミサ	mʲ i s a̠
ミサ	mʲ i s a̠
ミサイル	mʲ i s a̠ i ɾ ɯ̟ᵝ
みさこ	mʲ i s a̠ k o̞
みさこ	mʲ i s a̠ k o̞
みさこ	mʲ i s a̠ k o̞
みさこ	mʲ i s a̠ k o̞
みさこ	mʲ i s a̠ k o̞
みさご	mʲ i s a̠ ɡ o̞
ミサンガ	mʲ i s ã̠ ŋ ɡ a̠
みして	mʲ i ɕ i t e̞
みしょう	mʲ i ɕ o̞ː
みしょうぶん	mʲ i ɕ o̞ː b ɯ̟̃ᵝ ɴ
みしよう	mʲ i ɕ i j o̞ː
みしようひん	mʲ i ɕ i j o̞ː ç ĩ ɴ
みしり	mʲ i ɕ i ɾʲ i
じ	d͡ʑ i
ミシン	mʲ i ɕ ĩ ɴ
みしん	mʲ i ɕ ĩ ɴ
みしんじゃ	mʲ i ɕ ĩ ɲ̟ d͡ʑ a̠
ミシンめ	mʲ i ɕ ĩ mː e̞
みじゅく	mʲ i ʑ ɨᵝ k ɯ̟ᵝ
みじゅくもの	mʲ i ʑ ɨᵝ k ɯ̟ᵝ m o̞ n o̞
みじんこ	mʲ i ʑ ĩ ŋ k o̞
ミストレス	mʲ i s ɨ̥ᵝ t o̞ ɾ e̞ s ɨᵝ
ミスる	mʲ i s ɨᵝ ɾ ɯ̟ᵝ
みずいらず	mʲ i z ɨᵝ i ɾ a̠ z ɨᵝ
みずうみ	mʲ i z ɨᵝ ɯ̟ᵝ mʲ i
みずかげ	mʲ i z ɨᵝ k a̠ ɡ e̞
みずから	mʲ i z ɨᵝ k a̠ ɾ a̠
すいぎん	s ɨᵝ i ɡʲ ĩ ɴ
みずがめざ	mʲ i z ɨᵝ ɡ a̠ m e̞ z a̠
みずがめざ	mʲ i z ɨᵝ ɡ a̠ m e̞ z a̠
みずきり	mʲ i z ɨᵝ kʲ i ɾʲ i
みずぎ	mʲ i z ɨᵝ ɡʲ i
みずぎわだつ	mʲ i z ɨᵝ ɡʲ i ɰᵝ a̠ d a̠ t͡s ɨᵝ
みずぐも	mʲ i z ɨᵝ ɡ ɯ̟ᵝ m o̞
みずさし	mʲ i z ɨᵝ s a̠ ɕ i
みずさわ	mʲ i z ɨᵝ s a̠ ɰᵝ a̠
みずすまし	mʲ i z ɨᵝ s ɨᵝ m a̠ ɕ i
みずたまり	mʲ i z ɨᵝ t a̠ m a̠ ɾʲ i
じん	d͡ʑ ĩ ɴ
みずのえ	mʲ i z ɨᵝ n o̞ e̞
き	kʲ i
みずのと	mʲ i z ɨᵝ n o̞ t o̞
すいちゅう	mʲ i z ɨᵝ b a̠ ɕ i ɾ a̠
すいちゅう	mʲ i z ɨᵝ b a̠ ɕ i ɾ a̠
みせかける	mʲ i s e̞ k a̠ k e̞ ɾ ɯ̟ᵝ
みぜんけい	mʲ i z ẽ̞ ŋ k e̞ː
みそ	mʲ i s o̞
みぞうう	mʲ i z o̞ː ɯ̟ᵝ
みぞう	mʲ i z o̞ ɯ̟ᵝ
みぞう	mʲ i s o̞ ɯ̟ᵝ
さんじゅうにち	s ã̠ ɲ̟ d͡ʑ ɨᵝː ɲ̟ i t͡ɕ i
みそか	mʲ i s o̞ k a̠
みそぎ	mʲ i s o̞ ɡʲ i
みそしる	mʲ i s o̞ ɕ i ɾ ɯ̟ᵝ
さんじゅう	s ã̠ ɲ̟ d͡ʑ ɨᵝː
みそ	mʲ i s o̞
みそち	mʲ i s o̞ t͡ɕ i
みそじ	mʲ i s o̞ ʑ i
みぞれ	mʲ i z o̞ ɾ e̞
みたい	mʲ i t a̠ i
みたい	mʲ i t a̠ i
みたいけん	mʲ i t a̠ i k ẽ̞ ɴ
ちんこん	t͡ɕ ĩ ŋ k õ̞ ɴ
たましずめ	t a̠ m a̠ ɕ i z ɨᵝ m e̞
みたましずめ	mʲ i t a̠ m a̠ ɕ i z ɨᵝ m e̞
みだし	mʲ i d a̠ ɕ i
みだしご	mʲ i d a̠ ɕ i ɡ o̞
みだれば	mʲ i d a̠ ɾ e̞ b a̠
みち	mʲ i t͡ɕ i
みち	mʲ i t͡ɕ i
みつ	mʲ i t͡s ɨᵝ
みち	mʲ i t͡ɕ i
どう	d o̞ː
みちえ	mʲ i t͡ɕ i e̞
みちお	mʲ i t͡ɕ i o̞
みちがえる	mʲ i t͡ɕ i ɡ a̠ e̞ ɾ ɯ̟ᵝ
みちすじ	mʲ i t͡ɕ i s ɨᵝ ʑ i
みちたか	mʲ i t͡ɕ i t a̠ k a̠
みちたりる	mʲ i t͡ɕ i t a̠ ɾʲ i ɾ ɯ̟ᵝ
みちづれ	mʲ i t͡ɕ i z ɨᵝ ɾ e̞
みちなか	mʲ i t͡ɕ i n a̠ k a̠
みちのり	mʲ i t͡ɕ i n o̞ ɾʲ i
みちひき	mʲ i t͡ɕ i ç i kʲ i
みちひさ	mʲ i t͡ɕ i ç i s a̠
みちみちる	mʲ i t͡ɕ i mʲ i t͡ɕ i ɾ ɯ̟ᵝ
みちゆき	mʲ i t͡ɕ i j ɯ̟ᵝ kʲ i
みちゆき	mʲ i t͡ɕ i j ɯ̟ᵝ kʲ i
みちゆき	mʲ i t͡ɕ i j ɯ̟ᵝ kʲ i
みぢか	mʲ i ʑ i k a̠
みっか	mʲ i k̚ k a̠
みっきょう	mʲ i k̚ʲ kʲ o̞ː
見っけ	mʲ i k̚ k e̞
みっしつ	mʲ i ɕː i t͡s ɨᵝ
みっせつ	mʲ i sː e̞ t͡s ɨᵝ
みっちゃく	mʲ i t̚ t͡ɕ a̠ k ɯ̟ᵝ
みっつ	mʲ i t̚ t͡s ɨᵝ
みっつう	mʲ i t̚ t͡s ɨᵝː
ミッドリフ	mʲ i d̚ d̥ o̞ ɾʲ i ɸ ɯ̟ᵝ
みつ	mʲ i t͡s ɨᵝ
みつあみ	mʲ i t͡s ɨᵝ a̠ mʲ i
みつお	mʲ i t͡s ɨᵝ o̞
みつかる	mʲ i t͡s ɨᵝ k a̠ ɾ ɯ̟ᵝ
みつくりざめ	mʲ i t͡s ɨ̥ᵝ k ɯ̟ᵝ ɾʲ i z a̠ m e̞
みつける	mʲ i t͡s ɨᵝ k e̞ ɾ ɯ̟ᵝ
みつげつ	mʲ i t͡s ɨᵝ ɡ e̞ t͡s ɨᵝ
みつだそう	mʲ i t͡s ɨᵝ d a̠ s o̞ː
みつばち	mʲ i t͡s ɨᵝ b a̠ t͡ɕ i
みつもり	mʲ i t͡s ɨᵝ m o̞ ɾʲ i
みつもる	mʲ i t͡s ɨᵝ m o̞ ɾ ɯ̟ᵝ
みつゆ	mʲ i t͡s ɨᵝ j ɯ̟ᵝ
みつりん	mʲ i t͡s ɨᵝ ɾʲ ĩ ɴ
みつりん	mʲ i t͡s ɨᵝ ɾʲ ĩ ɴ
さんわ	s ã̠ ɰ̃ ɰᵝ a̠
みわ	mʲ i ɰᵝ a̠
みつわ	mʲ i t͡s ɨᵝ ɰᵝ a̠
みてい	mʲ i t e̞ː
みとおす	mʲ i t o̞ː s ɨᵝ
みな	mʲ i n a̠
みなげ	mʲ i n a̠ ɡ e̞
みなごろし	mʲ i n a̠ ɡ o̞ ɾ o̞ ɕ i
皆さま	mʲ i n a̠ s a̠ m a̠
皆様	mʲ i n a̠ s a̠ m a̠
皆さん	mʲ i n a̠ s ã̠ ɴ
こじ	k o̞ ʑ i
みなづき	mʲ i n a̠ z ɨᵝ kʲ i
みなみかいきせん	mʲ i n a̠ mʲ i k a̠ i kʲ i̥ s ẽ̞ ɴ
みなみじゅうじざ	mʲ i n a̠ mʲ i ʑ ɨᵝː ʑ i z a̠
みなみはんきゅう	mʲ i n a̠ mʲ i h ã̠ ŋʲ kʲ ɨᵝː
みなもと	mʲ i n a̠ m o̞ t o̞
みなもと	mʲ i n a̠ m o̞ t o̞
みなり	mʲ i n a̠ ɾʲ i
ミニ	mʲ i ɲ̟ i
みにくい	mʲ i ɲ̟ i k ɯ̟ᵝ i
ミニスカート	mʲ i ɲ̟ i s ɨ̥ᵝ k a̠ː t o̞
ミニぶた	mʲ i ɲ̟ i b ɯ̟ᵝ t a̠
ミニブログ	mʲ i ɲ̟ i b ɯ̟ᵝ ɾ o̞ ɡ ɯ̟ᵝ
ミニマリズム	mʲ i ɲ̟ i m a̠ ɾʲ i z ɨᵝ m ɯ̟ᵝ
お	o̞
ね	n e̞
みね	mʲ i n e̞
ミネストローネ	mʲ i n e̞ s ɨ̥ᵝ t o̞ ɾ o̞ː n e̞
ミネソタ	mʲ i n e̞ s o̞ t a̠
みのがみ	mʲ i n o̞ ɡ a̠ mʲ i
すいめん	s ɨᵝ i m ẽ̞ ɴ
みなも	mʲ i n a̠ m o̞
みのも	mʲ i n o̞ m o̞
みばえ	mʲ i b a̠ e̞
みひらき	mʲ i ç i ɾ a̠ kʲ i
みまい	mʲ i m a̠ i
みまいきん	mʲ i m a̠ i kʲ ĩ ɴ
みまし	mʲ i m a̠ ɕ i
みまちがえる	mʲ i m a̠ t͡ɕ i ɡ a̠ e̞ ɾ ɯ̟ᵝ
みまん	mʲ i m ã̠ ɴ
みみ	mʲ i mʲ i
みみあて	mʲ i mʲ i a̠ t e̞
みみかざり	mʲ i mʲ i k a̠ z a̠ ɾʲ i
みみかざり	mʲ i mʲ i k a̠ z a̠ ɾʲ i
みみコピ	mʲ i mʲ i k o̞ pʲ i
みみず	mʲ i mʲ i z ɨᵝ
みみずく	mʲ i mʲ i z ɨᵝ k ɯ̟ᵝ
みみずとかげ	mʲ i mʲ i z ɨᵝ t o̞ k a̠ ɡ e̞
じだ	d͡ʑ i d a̠
みみたぶ	mʲ i mʲ i t a̠ b ɯ̟ᵝ
みみたぼ	mʲ i mʲ i t a̠ b o̞
みみだれ	mʲ i mʲ i d a̠ ɾ e̞
みみなり	mʲ i mʲ i n a̠ ɾʲ i
みみレイプ	mʲ i mʲ i ɾ e̞ː p ɯ̟ᵝ
ミャ	mʲ a̠
みゃくうつ	mʲ a̠ k ɯ̟ᵝː t͡s ɨᵝ
みゃくらく	mʲ a̠ k ɯ̟ᵝ ɾ a̠ k ɯ̟ᵝ
みやかわ	mʲ i j a̠ k a̠ ɰᵝ a̠
みやがわ	mʲ i j a̠ ɡ a̠ ɰᵝ a̠
みやぎ	mʲ i j a̠ ɡʲ i
みやぎけん	mʲ i j a̠ ɡʲ i k ẽ̞ ɴ
みやこ	mʲ i j a̠ k o̞
みやこじま	mʲ i j a̠ k o̞ ʑ i m a̠
みやこのじょう	mʲ i j a̠ k o̞ n o̞ ʑ o̞ː
みやざき	mʲ i j a̠ z a̠ kʲ i
みやざきけん	mʲ i j a̠ z a̠ kʲ i k ẽ̞ ɴ
みやつこぎ	mʲ i j a̠ t͡s ɨᵝ k o̞ ɡʲ i
みやつこぎ	mʲ i j a̠ t͡s ɨᵝ k o̞ ɡʲ i
みやの	mʲ i j a̠ n o̞
みやぶ	mʲ i j a̠ b ɯ̟ᵝ
みやぶる	mʲ i j a̠ b ɯ̟ᵝ ɾ ɯ̟ᵝ
ミュ	mʲ ɨᵝ
ミュー	mʲ ɨᵝː
ミューオン	mʲ ɨᵝː õ̞ ɴ
ミュージシャン	mʲ ɨᵝː ʑ i ɕ ã̠ ɴ
ミュージックビデオ	mʲ ɨᵝː ʑ i k̚ k ɯ̟ᵝ bʲ i d e̞ o̞
ミューズ	mʲ ɨᵝː z ɨᵝ
ミューズリー	mʲ ɨᵝː z ɨᵝ ɾʲ iː
ミュート	mʲ ɨᵝː t o̞
ミュール	mʲ ɨᵝː ɾ ɯ̟ᵝ
ミョ	mʲ o̞
みょうおう	mʲ o̞ː o̞ː
めいかい	mʲ o̞ː k a̠ i
めいかい	mʲ o̞ː k a̠ i
みょうが	mʲ o̞ː ɡ a̠
みょうじ	mʲ o̞ː ʑ i
みょうじょう	mʲ o̞ː ʑ o̞ː
ふうふ	ɸ ɯ̟ᵝː ɸ ɯ̟ᵝ
めおと	m e̞ o̞ t o̞
みょうと	mʲ o̞ː t o̞
あした	a̠ ɕ i̥ t a̠
みょうにち	a̠ s ɨᵝ
みょうばん	mʲ o̞ː b ã̠ ɴ
めいふく	m e̞ː ɸ ɯ̟ᵝ k ɯ̟ᵝ
みょうふく	mʲ o̞ː ɸ ɯ̟ᵝ k ɯ̟ᵝ
見よ	mʲ i j o̞
みよし	mʲ i j o̞ ɕ i
みらい	mʲ i ɾ a̠ i
みらい	mʲ i ɾ a̠ i
みらいがく	mʲ i ɾ a̠ i ɡ a̠ k ɯ̟ᵝ
みらいじん	mʲ i ɾ a̠ i ʑ ĩ ɴ
みらいは	mʲ i ɾ a̠ i h a̠
ミラクル	mʲ i ɾ a̠ k ɯ̟ᵝ ɾ ɯ̟ᵝ
魅了する	mʲ i ɾʲ o̞ː
みりょく	mʲ i ɾʲ o̞ k ɯ̟ᵝ
みりょくてき	mʲ i ɾʲ o̞ k ɯ̟ᵝ t e̞ kʲ i
みりん	mʲ i ɾʲ ĩ ɴ
ミルフィーユ	mʲ i ɾ ɯ̟ᵝ ɸʲ iː j ɯ̟ᵝ
ミレニアム	mʲ i ɾ e̞ ɲ̟ i a̠ m ɯ̟ᵝ
みれん	mʲ i ɾ ẽ̞ ɴ
見ろ	mʲ i ɾ o̞
みろく	mʲ i ɾ o̞ k ɯ̟ᵝ
しんしゅ	ɕ ĩ ɰ̃ ɕ ɨᵝ
みわ	mʲ i ɰᵝ a̠
みわく	mʲ i ɰᵝ a̠ k ɯ̟ᵝ
みわける	mʲ i ɰᵝ a̠ k e̞ ɾ ɯ̟ᵝ
みわこ	mʲ i ɰᵝ a̠ k o̞
みん	mʲ ĩ ɴ
ミンク	mʲ ĩ ŋ k ɯ̟ᵝ
みんけん	mʲ ĩ ŋ k ẽ̞ ɴ
みんこく	mʲ ĩ ŋ k o̞ k ɯ̟ᵝ
みんしゅか	mʲ ĩ ɰ̃ ɕ ɨᵝ k a̠
みんしゅく	mʲ ĩ ɰ̃ ɕ ɨᵝ k ɯ̟ᵝ
みんしゅしゅぎしゃ	mʲ ĩ ɰ̃ ɕ ɨᵝ ɕ ɨᵝ ɡʲ i ɕ a̠
みんしんとう	mʲ ĩ ɰ̃ ɕ ĩ n t o̞ː
みんしんとう	mʲ ĩ ɰ̃ ɕ ĩ n t o̞ː
ミンスク	mʲ ĩ ɰ̃ s ɨᵝ k ɯ̟ᵝ
みんせい	mʲ ĩ ɰ̃ s e̞ː
みんぞく	mʲ ĩ n d͡z o̞ k ɯ̟ᵝ
みんぞく	mʲ ĩ n d͡z o̞ k ɯ̟ᵝ
みんぞくがく	mʲ ĩ n d͡z o̞ k ɯ̟ᵝ ɡ a̠ k ɯ̟ᵝ
みんぞくがく	mʲ ĩ n d͡z o̞ k ɯ̟ᵝ ɡ a̠ k ɯ̟ᵝ
みんぞくし	mʲ ĩ n d͡z o̞ k ɯ̟ᵝ ɕ i
みんぞくしゅぎ	mʲ ĩ n d͡z o̞ k ɯ̟ᵝ ɕ ɨᵝ ɡʲ i
みんちょうたい	mʲ ĩ ɲ̟ t͡ɕ o̞ː t a̠ i
ミント	mʲ ĩ n t o̞
びんとうご	mʲ ĩ n t õ̞ ŋ ɡ o̞
びんとうご	mʲ ĩ n t õ̞ ŋ ɡ o̞
みんな	mʲ ĩ nː a̠
みんなみ	mʲ i̥ n a̠ mʲ i̥
みんなみ	mʲ i̥ n a̠ mʲ i̥
びんなんご	mʲ ĩ nː ã̠ ŋ ɡ o̞
びんなんご	mʲ ĩ nː ã̠ ŋ ɡ o̞
みんぺい	mʲ ĩ m p e̞ː
みんよう	mʲ ĩ ɰ̃ j o̞ː
みんわ	mʲ ĩ ɰ̃ ɰᵝ a̠
む	m ɯ̟ᵝ
む	m ɯ̟ᵝ
ム	m ɯ̟ᵝ
むいしきてき	m ɯ̟ᵝ i ɕ i kʲ i t e̞ kʲ i
むいちもん	m ɯ̟ᵝ i t͡ɕ i m õ̞ ɴ
むいみ	m ɯ̟ᵝ i mʲ i
ムーン	m ɯ̟̃ᵝː ɴ
むおん	m ɯ̟ᵝ õ̞ ɴ
むかい	m ɯ̟ᵝ k a̠ i
むかいあわせる	m ɯ̟ᵝ k a̠ i a̠ ɰᵝ a̠ s e̞ ɾ ɯ̟ᵝ
むかえ	m ɯ̟ᵝ k a̠ e̞
いちじく	i t͡ɕ i ʑ i k ɯ̟ᵝ
イチジク	m ɯ̟ᵝ k a̠ k a̠
むかし	m ɯ̟ᵝ k a̠ ɕ i
むかしばなし	m ɯ̟ᵝ k a̠ ɕ i b a̠ n a̠ ɕ i
むかつく	m ɯ̟ᵝ k a̠ t͡s ɨ̥ᵝ k ɯ̟ᵝ
むかんしん	m ɯ̟ᵝ k ã̠ ɰ̃ ɕ ĩ ɴ
むかんどう	m ɯ̟ᵝ k ã̠ n d o̞ː
むが	m ɯ̟ᵝ ɡ a̠
むがい	m ɯ̟ᵝ ɡ a̠ i
無我夢中	m ɯ̟ᵝ ɡ a̠ m ɯ̟ᵝ t͡ɕ ɨᵝː
むき	m ɯ̟ᵝ kʲ i
むきかごうぶつ	m ɯ̟̊ᵝ kʲ i k a̠ ɡ o̞ː b ɯ̟ᵝ t͡s ɨᵝ
むきず	m ɯ̟ᵝ kʲ i z ɨᵝ
むぎ	m ɯ̟ᵝ ɡʲ i
むくどり	m ɯ̟ᵝ k ɯ̟ᵝ d o̞ ɾʲ i
もぐり	m o̞ ɡ ɯ̟ᵝ ɾʲ i
くぐり	k ɯ̟ᵝ ɡ ɯ̟ᵝ ɾʲ i
むぐり	m ɯ̟ᵝ ɡ ɯ̟ᵝ ɾʲ i
向け	m ɯ̟ᵝ k e̞
むぎょう	m ɯ̟ᵝ ɡʲ o̞ː
むけい	m ɯ̟ᵝ k e̞ː
むげっけい	m ɯ̟ᵝ ɡ e̞ k̚ k e̞ː
むごん	m ɯ̟ᵝ ɡ õ̞ ɴ
むげん	m ɯ̟ᵝ ɡ ẽ̞ ɴ
むげんしょう	m ɯ̟ᵝ ɡ ẽ̞ ɰ̃ ɕ o̞ː
むげんだい	m ɯ̟ᵝ ɡ ẽ̞ n d a̠ i
むこ	m ɯ̟ᵝ k o̞
むこう	m ɯ̟ᵝ k o̞ː
むこうがわ	m ɯ̟ᵝ k o̞ː ɡ a̠ ɰᵝ a̠
むこくせき	m ɯ̟ᵝ k o̞ k ɯ̟ᵝ s e̞ kʲ i
むごい	m ɯ̟ᵝ ɡ o̞ i
むごんか	m ɯ̟ᵝ ɡ õ̞ ŋ k a̠
むごんしょう	m ɯ̟ᵝ ɡ õ̞ ɰ̃ ɕ o̞ː
むごんでんわ	m ɯ̟ᵝ ɡ õ̞ n d ẽ̞ ɰ̃ ɰᵝ a̠
むさいしょく	m ɯ̟ᵝ s a̠ i ɕ o̞ k ɯ̟ᵝ
むさくい	m ɯ̟ᵝ s a̠ k ɯ̟ᵝ i
むささび	m ɯ̟ᵝ s a̠ s a̠ bʲ i
むさし	m ɯ̟ᵝ s a̠ ɕ i
むさぼりくう	m ɯ̟ᵝ s a̠ b o̞ ɾʲ i k ɯ̟ᵝː
むさぼる	m ɯ̟ᵝ s a̠ b o̞ ɾ ɯ̟ᵝ
むし	m ɯ̟ᵝ ɕ i
むしば	m ɯ̟ᵝ ɕ i b a̠
むしめがね	m ɯ̟ᵝ ɕ i m e̞ ɡ a̠ n e̞
むしゃく	m ɯ̟ᵝ ɕ a̠ k ɯ̟ᵝ
むしょく	m ɯ̟ᵝ ɕ o̞ k ɯ̟ᵝ
むしんけい	m ɯ̟ᵝ ɕ ĩ ŋ k e̞ː
むしんろん	m ɯ̟ᵝ ɕ ĩ n ɾ õ̞ ɴ
むじかく	m ɯ̟ᵝ ʑ i k a̠ k ɯ̟ᵝ
むじな	m ɯ̟ᵝ ʑ i n a̠
むじひ	m ɯ̟ᵝ ʑ i ç i
むじゅうりょう	m ɯ̟ᵝ ʑ ɨᵝː ɾʲ o̞ː
むじゅうりょく	m ɯ̟ᵝ ʑ ɨᵝː ɾʲ o̞ k ɯ̟ᵝ
むじゅん	m ɯ̟ᵝ ʑ ɨ̃ᵝ ɴ
むじょう	m ɯ̟ᵝ ʑ o̞ː
むじょうけん	m ɯ̟ᵝ ʑ o̞ː k ẽ̞ ɴ
むじるし	m ɯ̟ᵝ ʑ i ɾ ɯ̟ᵝ ɕ i
むじんえき	m ɯ̟ᵝ ʑ ĩ ɰ̃ e̞ kʲ i
むすい	m ɯ̟ᵝ s ɨᵝ i
むすいぶつ	m ɯ̟ᵝ s ɨᵝ i b ɯ̟ᵝ t͡s ɨᵝ
むすこ	m ɯ̟ᵝ s ɨ̥ᵝ k o̞
ムスタング	m ɯ̟ᵝ s ɨ̥ᵝ t ã̠ ŋ ɡ ɯ̟ᵝ
むすびつき	m ɯ̟ᵝ s ɨᵝ bʲ i t͡s ɨᵝ kʲ i
むすめ	m ɯ̟ᵝ s ɨᵝ m e̞
むすめごころ	m ɯ̟ᵝ s ɨᵝ m e̞ ɡ o̞ k o̞ ɾ o̞
むすめむこ	m ɯ̟ᵝ s ɨᵝ m e̞ m ɯ̟ᵝ k o̞
ムスリム	m ɯ̟ᵝ s ɨᵝ ɾʲ i m ɯ̟ᵝ
むずい	m ɯ̟ᵝ z ɨᵝ i
むずむず	m ɯ̟ᵝ z ɨᵝ m ɯ̟ᵝ z ɨᵝ
むせい	m ɯ̟ᵝ s e̞ː
むせい	m ɯ̟ᵝ s e̞ː
むせいぶつ	m ɯ̟ᵝ s e̞ː b ɯ̟ᵝ t͡s ɨᵝ
むせんき	m ɯ̟ᵝ s ẽ̞ ŋʲ kʲ i
むせんきょく	m ɯ̟ᵝ s ẽ̞ ŋʲ kʲ o̞ k ɯ̟ᵝ
むそう	m ɯ̟ᵝ s o̞ː
むそう	m ɯ̟ᵝ s o̞ː
六十	ɾ o̞ k ɯ̟ᵝ ʑ ɨᵝː
六十	m ɯ̟ᵝ s o̞
むぞうさ	m ɯ̟ᵝ z o̞ː s a̠
むだ	m ɯ̟ᵝ d a̠
うだく	ɯ̟ᵝ d a̠ k ɯ̟ᵝ
むだく	m ɯ̟ᵝ d a̠ k ɯ̟ᵝ
あて	a̠ t e̞
むち	m ɯ̟ᵝ t͡ɕ i
むちうつ	m ɯ̟ᵝ t͡ɕ i ɯ̟ᵝ t͡s ɨᵝ
むちゅう	m ɯ̟ᵝ t͡ɕ ɨᵝː
むっくり	m ɯ̟ᵝ k̚ k ɯ̟ᵝ ɾʲ i
ムックリ	m ɯ̟ᵝ k̚ k ɯ̟ᵝ ɾʲ i
むつう	m ɯ̟ᵝ t͡s ɨᵝː
むつき	m ɯ̟ᵝ t͡s ɨ̥ᵝ kʲ i
むてき	m ɯ̟ᵝ t e̞ kʲ i
むてっぽう	m ɯ̟ᵝ t e̞ p̚ p o̞ː
むとう	m ɯ̟ᵝ t o̞ː
むねあて	m ɯ̟ᵝ n a̠ː t e̞
むねあて	m ɯ̟ᵝ n a̠ː t e̞
むなげ	m ɯ̟ᵝ n a̠ ɡ e̞
むなもと	m ɯ̟ᵝ n a̠ m o̞ t o̞
むに	m ɯ̟ᵝ ɲ̟ i
むな	m ɯ̟ᵝ n a̠
むね	m ɯ̟ᵝ n e̞
むねきゅん	m ɯ̟ᵝ n e̞ kʲ ɨ̃ᵝ ɴ
むなさわぎ	m ɯ̟ᵝ n e̞ s a̠ ɰᵝ a̠ ɡʲ i
むなさわぎ	m ɯ̟ᵝ n e̞ s a̠ ɰᵝ a̠ ɡʲ i
むねチラ	m ɯ̟ᵝ n e̞ t͡ɕ i ɾ a̠
むのう	m ɯ̟ᵝ n o̞ː
むはい	m ɯ̟ᵝ h a̠ i
ムババネ	m ɯ̟ᵝ b a̠ b a̠ n e̞
むひょう	m ɯ̟ᵝ ç o̞ː
むひょうじょう	m ɯ̟ᵝ ç o̞ː ʑ o̞ː
むびょうそくさい	m ɯ̟ᵝ bʲ o̞ː s o̞ k ɯ̟ᵝ s a̠ i
むほう	m ɯ̟ᵝ h o̞ː
むほん	m ɯ̟ᵝ h õ̞ ɴ
むぼうび	m ɯ̟ᵝ b o̞ː bʲ i
むめい	m ɯ̟ᵝ m e̞ː
むら	m ɯ̟ᵝ ɾ a̠
ぶらい	b ɯ̟ᵝ ɾ a̠ i
むらい	m ɯ̟ᵝ ɾ a̠ i
むらかみ	m ɯ̟ᵝ ɾ a̠ k a̠ mʲ i
むらさき	m ɯ̟ᵝ ɾ a̠ s a̠ kʲ i
むらさきずいしょう	m ɯ̟ᵝ ɾ a̠ s a̠ kʲ i z ɨᵝ i ɕ o̞ː
むらさきつめくさ	m ɯ̟ᵝ ɾ a̠ s a̠ kʲ i̥ t͡s ɨᵝ m e̞ k ɯ̟̊ᵝ s a̠
むらさきはしどい	m ɯ̟ᵝ ɾ a̠ s a̠ kʲ i h a̠ ɕ i d o̞ i
むらまつ	m ɯ̟ᵝ ɾ a̠ m a̠ t͡s ɨᵝ
むらむら	m ɯ̟ᵝ ɾ a̠ m ɯ̟ᵝ ɾ a̠
