NG	e̞ n d͡ʑ i
킬로와트	k ç i ɭ ɭ o̞ w a̠ tʰ ɯ
킬롬미터	k ç i ɭ ɭ o̞ m m i tʰ ʌ̹
킬트	k ç i ɭ tʰ ɯ
킹	k ç i ŋ
킹스타운	k ç i ŋ sʰ ɯ tʰ a̠ u n
킹스턴	k ç i ŋ sʰ ɯ tʰ ʌ̹ n
타	tʰ a̠
타갈로그어	tʰ a̠ ɡ a̠ ɭ ɭ o̞ ɡ ɯ ʌ̹
타나크	tʰ a̠ n a̠ k x ɯ
타나토스	tʰ a̠ n a̠ tʰ o̞ sʰ ɯ
타는곳	tʰ a̠ n ɯ n ɡ o̞ t̚
타다	tʰ a̠ d a̠
타동사	tʰ a̠ d o̞ ŋ sʰ a̠
타락	tʰ a̠ː ɾ a̠ k̚
타밀어	tʰ a̠ m i ɾ ʌ̹
타슈켄트	tʰ a̠ ɕʰ j u kʰ e̞ n tʰ ɯ
타워	tʰ a̠ w ʌ̹
타원	tʰ a̠ː w ʌ̹ n
타월	tʰ a̠ w ʌ̹ ɭ
타이	tʰ a̠ i
타이가	tʰ a̠ i ɡ a̠
타이르다	tʰ a̠ i ɾ ɯ d a̠
타이머	tʰ a̠ i m ʌ̹
타이베이	tʰ a̠ i b e̞ i
타이어	tʰ a̠ i ʌ̹
타이완	tʰ a̠ i w a̠ n
타이타늄	tʰ a̠ i tʰ a̠ ɲ j u m
타이틀	tʰ a̠ i tʰ ɯ ɭ
타이틀곡	tʰ a̠ i tʰ ɯ ɭ ɡ o̞ k̚
타이페이	tʰ a̠ i pʰ e̞ i
타이포그래피	tʰ a̠ i pʰ o̞ ɡ ɯ ɾ e̞ pʰ i
타이프라이터	tʰ a̠ i pʰ ɯ ɾ a̠ i tʰ ʌ̹
타일	tʰ a̠ i ɭ
타입	tʰ a̠ i p̚
타자기	tʰ a̠ d͡ʑ a̠ ɡ i
타자하다	tʰ a̠ː d͡ʑ a̠ ɦ a̠ d a̠
타조	tʰ a̠ː d͡ʑ o̞
타지크어	tʰ a̠ d͡ʑ i k x ɯ ʌ̹
타지키스탄	tʰ a̠ d͡ʑ i k ç i sʰ ɯ tʰ a̠ n
타타르어	tʰ a̠ tʰ a̠ ɾ ɯ ʌ̹
타협	tʰ a̠ː ʝ j ʌ̹ p̚
타협하다	tʰ a̠ː ʝ j ʌ̹ pʰ a̠ d a̠
탁	tʰ a̠ k̚
탁구	tʰ a̠ k̚ k͈ u
탁아소	tʰ a̠ ɡ a̠ sʰ o̞
탁자	tʰ a̠ k̚ t͡ɕ͈ a̠
탁치	tʰ a̠ k̚ t͡ɕʰ i
탄도	tʰ a̠ː n d o̞
탄소	tʰ a̠ː n sʰ o̞
탄수화물	tʰ a̠ː n sʰ u β w a̠ m u ɭ
탄약고	tʰ a̠ː ɲ j a̠ k̚ k͈ o̞
탄자니아	tʰ a̠ n d͡ʑ a̠ n i a̠
탄탈럼	tʰ a̠ n tʰ a̠ ɭ ɭ ʌ̹ m
탄트라	tʰ a̠ n tʰ ɯ ɾ a̠
탄핵	tʰ a̠ː n ɦ e̞ k̚
탄화	tʰ a̠ː n β w a̠
탄화수소	tʰ a̠ː n β w a̠ sʰ u sʰ o̞
탄환	tʰ a̠ː n β w a̠ n
탄환열차	tʰ a̠ː n β w a̠ ɲ j ʌ̹ ɭ t͡ɕʰ a̠
탈	tʰ a̠ ɭ
탈	tʰ a̠ː ɭ
탈것	tʰ a̠ ɭ k͈ ʌ̹ t̚
탈락	tʰ a̠ ɭ ɭ a̠ k̚
탈륨	tʰ a̠ ɭ ʎ j u m
탈린	tʰ a̠ ɭ ʎ i n
탈북자	tʰ a̠ ɭ b u k̚ t͡ɕ͈ a̠
탈영병	tʰ a̠ ɾ j ʌ̹ ŋ b j ʌ̹ ŋ
탈영자	tʰ a̠ ɾ j ʌ̹ ŋ d͡ʑ a̠
탈의실	tʰ a̠ ɾ ɰ i ɕʰ i ɭ
탈조선	tʰ a̠ ɭ d͡ʑ o̞ sʰ ʌ̹ n
탈주병	tʰ a̠ ɭ t͡ɕ͈ u b j ʌ̹ ŋ
탈주자	tʰ a̠ ɭ t͡ɕ͈ u d͡ʑ a̠
탈출	tʰ a̠ ɭ t͡ɕʰ u ɭ
탈출기	tʰ a̠ ɭ t͡ɕʰ u ɭ ɡ i
탈취제	tʰ a̠ ɭ t͡ɕʰ ɥ i d͡ʑ e̞
탐	tʰ a̠ m
탐관오리	tʰ a̠ m ɡ w a̠ n o̞ ɾ i
탐구	tʰ a̠ m ɡ u
탐라	tʰ a̠ m n a̠
탐사	tʰ a̠ m sʰ a̠
탐욕	tʰ a̠ m j o k̚
탐정	tʰ a̠ m d͡ʑ ʌ̹ ŋ
탐험	tʰ a̠ m ɦ ʌ̹ m
탐험가	tʰ a̠ m ɦ ʌ̹ m ɡ a̠
탑	tʰ a̠ p̚
탑승권	tʰ a̠ p s͈ ɯ ŋ k͈ w ʌ̹ n
탑파	tʰ a̠ p̚ pʰ a̠
탓	tʰ a̠ t̚
탕	tʰ a̠ː ŋ
태	tʰ e̞
태국	tʰ e̞ ɡ u k̚
태국어	tʰ e̞ ɡ u ɡ ʌ̹
태권도	tʰ e̞ k͈ w ʌ̹ n d o̞
태그	tʰ e̞ ɡ ɯ
태극	tʰ e̞ ɡ ɯ k̚
태극기	tʰ e̞ ɡ ɯ k̚ k͈ i
태도	tʰ e̞ː d o̞
태반	tʰ e̞ b a̠ n
태산	tʰ e̞ sʰ a̠ n
태양	tʰ e̞ j a̠ ŋ
태양계	tʰ e̞ j a̠ ŋ ɡ j e̞
태양계의	tʰ e̞ j a̠ ŋ ɡ j e̞ ɰ i
태양절	tʰ e̞ j a̠ ŋ d͡ʑ ʌ̹ ɭ
태양초	tʰ e̞ j a̠ ŋ t͡ɕʰ o̞
태어나다	tʰ e̞ ʌ̹ n a̠ d a̠
태우다	tʰ e̞ u d a̠
태자	tʰ e̞ d͡ʑ a̠
태초	tʰ e̞ t͡ɕʰ o̞
태평	tʰ e̞ pʰ j ʌ̹ ŋ
태평양	tʰ e̞ pʰ j ʌ̹ ŋ ɲ j a̠ ŋ
태풍	tʰ e̞ pʰ u ŋ
태황태후	tʰ e̞ β w a̠ ŋ tʰ e̞ β u
택	tʰ e̞ k̚
택배	tʰ e̞ k̚ p͈ e̞
택시	tʰ e̞ k ɕ͈ i
택하다	tʰ e̞ kʰ a̠ d a̠
탤런트	tʰ e̞ ɭ ɭ ʌ̹ n tʰ ɯ
탱	tʰ e̞ ŋ
탱크	tʰ e̞ ŋ k x ɯ
터널	tʰ ʌ̹ n ʌ̹ ɭ
터뜨리다	tʰ ɘː t͈ ɯ ɾ i d a̠
터럭	tʰ ʌ̹ ɾ ʌ̹ k̚
터미널	tʰ ʌ̹ m i n ʌ̹ ɭ
터븀	tʰ ʌ̹ b j u m
터빈	tʰ ʌ̹ b i n
터지다	tʰ ɘː d͡ʑ i d a̠
터치패드	tʰ ʌ̹ t͡ɕʰ i pʰ e̞ d ɯ
터키	tʰ ʌ̹ k ç i
터키어	tʰ ʌ̹ k ç i ʌ̹
턱	tʰ ʌ̹ k̚
턱뼈	tʰ ʌ̹ k̚ p͈ j ʌ̹
턱수염	tʰ ʌ̹ k s͈ u j ʌ̹ m
털	tʰ ʌ̹ ɭ
털다	tʰ ɘː ɭ d a̠
털발말똥가리	tʰ ʌ̹ ɭ b a̠ ɭ m a̠ ɭ t͈ o̞ ŋ ɡ a̠ ɾ i
털실	tʰ ʌ̹ ɭ ɕʰ i ɭ
털어놓다	tʰ ʌ̹ ɾ ʌ̹ n o̞ tʰ a̠
텅스텐	tʰ ʌ̹ ŋ sʰ ɯ tʰ e̞ n
테	tʰ e̞
테구시갈파	tʰ e̞ ɡ u ɕʰ i ɡ a̠ ɭ pʰ a̠
테네신	tʰ e̞ n e̞ ɕʰ i n
테니스	tʰ e̞ n i sʰ ɯ
테니스장	tʰ e̞ n i sʰ ɯ d͡ʑ a̠ ŋ
테러	tʰ e̞ ɾ ʌ̹
테러리스트	tʰ e̞ ɾ ʌ̹ ɾ i sʰ ɯ tʰ ɯ
테러리즘	tʰ e̞ ɾ ʌ̹ ɾ i d͡ʑ ɯ m
테러범	tʰ e̞ ɾ ʌ̹ b ʌ̹ m
테레비	tʰ e̞ ɾ e̞ b i
테마	tʰ e̞ m a̠
테스트	tʰ e̞ sʰ ɯ tʰ ɯ
테오도시우스	tʰ e̞ o̞ d o̞ ɕʰ i u sʰ ɯ
테이블	tʰ e̞ i b ɯ ɭ
테이프	tʰ e̞ i pʰ ɯ
테크네튬	tʰ e̞ k x ɯ n e̞ tʰ j u m
테헤란	tʰ e̞ ɦ e̞ ɾ a̠ n
텍스트	tʰ e̞ k s͈ ɯ tʰ ɯ
텐구	tʰ e̞ n ɡ u
텐트	tʰ e̞ n tʰ ɯ
텔레비	tʰ e̞ ɭ ɭ e̞ b i
텔레비전	tʰ e̞ ɭ ɭ e̞ b i d͡ʑ ʌ̹ n
텔레비죤	tʰ e̞ ɭ ɭ e̞ b i d͡ʑ j o n
텔레타이프	tʰ e̞ ɭ ɭ e̞ tʰ a̠ i pʰ ɯ
텔루륨	tʰ e̞ ɭ ɭ u ɾ j u m
텔루르	tʰ e̞ ɭ ɭ u ɾ ɯ
텔펜	tʰ e̞ ɭ pʰ e̞ n
템포	tʰ e̞ m pʰ o̞
템플렛	tʰ e̞ m pʰ ɯ ɭ ɭ e̞ t̚
톈진	tʰ j e̞ n d͡ʑ i n
토	tʰ o̞
토고	tʰ o̞ ɡ o̞
토끼	tʰ o̞ k͈ i
토끼박쥐	tʰ o̞ k͈ i b a̠ k̚ t͡ɕ͈ ɥ i
토네이도	tʰ o̞ n e̞ i d o̞
토대	tʰ o̞ d e̞
토란	tʰ o̞ ɾ a̠ n
토록	tʰ o̞ ɾ o̞ k̚
토론	tʰ o̞ː ɾ o̞ n
토론토	tʰ o̞ ɾ o̞ n tʰ o̞
토론하다	tʰ o̞ː ɾ o̞ n ɦ a̠ d a̠
토륨	tʰ o̞ ɾ j u m
토르	tʰ o̞ ɾ ɯ
토마스	tʰ o̞ m a̠ sʰ ɯ
토마토	tʰ o̞ m a̠ tʰ o̞
토바고	tʰ o̞ b a̠ ɡ o̞
토성	tʰ o̞ sʰ ʌ̹ ŋ
토스터	tʰ o̞ sʰ ɯ tʰ ʌ̹
토스트	tʰ o̞ sʰ ɯ tʰ ɯ
토양	tʰ o̞ j a̠ ŋ
토오쿄	tʰ o̞ o̞ k ç j o
토요일	tʰ o̞ j o i ɭ
토지	tʰ o̞ d͡ʑ i
토착	tʰ o̞ t͡ɕʰ a̠ k̚
토치	tʰ o̞ t͡ɕʰ i
토치카	tʰ o̞ t͡ɕʰ i kʰ a̠
토픽	tʰ o̞ pʰ i k̚
토하다	tʰ o̞ː ɦ a̠ d a̠
톤	tʰ o̞ n
톨	tʰ o̞ ɭ
통	tʰ o̞ ŋ
통가	tʰ o̞ ŋ ɡ a̠
통가리	tʰ o̞ ŋ ɡ a̠ ɾ i
통계	tʰ o̞ː ŋ ɡ j e̞
통계학	tʰ o̞ː ŋ ɡ j e̞ ɦ a̠ k̚
통과하다	tʰ o̞ ŋ ɡ w a̠ ɦ a̠ d a̠
통근	tʰ o̞ ŋ ɡ ɯ n
통근하다	tʰ o̞ ŋ ɡ ɯ n ɦ a̠ d a̠
통나무	tʰ o̞ ŋ n a̠ m u
통발	tʰ o̞ ŋ b a̠ ɭ
통사리	tʰ o̞ ŋ sʰ a̠ ɾ i
통상	tʰ o̞ ŋ sʰ a̠ ŋ
통솔자	tʰ o̞ ŋ sʰ o̞ ɭ d͡ʑ a̠
통신	tʰ o̞ ŋ ɕʰ i n
통역사	tʰ o̞ ŋ j ʌ̹ k s͈ a̠
통역자	tʰ o̞ ŋ j ʌ̹ k̚ t͡ɕ͈ a̠
통일	tʰ o̞ː ŋ i ɭ
통제	tʰ o̞ː ŋ d͡ʑ e̞
통조림	tʰ o̞ ŋ d͡ʑ o̞ ɾ i m
통증	tʰ o̞ː ŋ d͡ʑ ɯ ŋ
통지	tʰ o̞ ŋ d͡ʑ i
통찰력	tʰ o̞ː ŋ t͡ɕʰ a̠ ɭ ʎ j ʌ̹ k̚
통치하다	tʰ o̞ː ŋ t͡ɕʰ i ɦ a̠ d a̠
통칭	tʰ o̞ː ŋ t͡ɕʰ i ŋ
통풍	tʰ o̞ː ŋ pʰ u ŋ
통하다	tʰ o̞ ŋ ɦ a̠ d a̠
통합	tʰ o̞ː ŋ ɦ a̠ p̚
통행인	tʰ o̞ ŋ ɦ e̞ ŋ i n
통화	tʰ o̞ ŋ β w a̠
퇴근	tʰ w e̞ː ɡ ɯ n
퇴근하다	tʰ w e̞ː ɡ ɯ n ɦ a̠ d a̠
퇴비	tʰ w e̞ b i
퇴직금	tʰ w e̞ː d͡ʑ i k̚ k͈ ɯ m
퇴진	tʰ w e̞ː d͡ʑ i n
퇴학	tʰ w e̞ː ɦ a̠ k̚
투	tʰ u
투기	tʰ u ɡ i
투르	tʰ u ɾ ɯ
투르크메니스탄	tʰ u ɾ ɯ k x ɯ m e̞ n i sʰ ɯ tʰ a̠ n
투명	tʰ u m j ʌ̹ ŋ
투명하다	tʰ u m j ʌ̹ ŋ ɦ a̠ d a̠
투발루	tʰ u b a̠ ɭ ɭ u
투사지	tʰ u sʰ a̠ d͡ʑ i
투숙	tʰ u sʰ u k̚
투숙하다	tʰ u sʰ u kʰ a̠ d a̠
투아례	tʰ u a̠ ɾ j e̞
투어	tʰ u ʌ̹
투옥	tʰ u o̞ k̚
투자	tʰ u d͡ʑ a̠
투쟁	tʰ u d͡ʑ e̞ ŋ
투표	tʰ u pʰ j o
투표자	tʰ u pʰ j o d͡ʑ a̠
투표하다	tʰ u pʰ j o ɦ a̠ d a̠
툰드라	tʰ u n d ɯ ɾ a̠
툴	tʰ u ɭ
툴륨	tʰ u ɭ ʎ j u m
퉁	tʰ u ŋ
튀각	tʰ ɥ i ɡ a̠ k̚
튀기다	tʰ ɥ i ɡ i d a̠
튀김	tʰ ɥ i ɡ i m
튀니스	tʰ ɥ i n i sʰ ɯ
튀니지	tʰ ɥ i n i d͡ʑ i
튀다	tʰ ɥ i d a̠
튀르크	tʰ ɥ i ɾ ɯ k x ɯ
튕기다	tʰ ɥ i ŋ ɡ i d a̠
튤립	tʰ j u ɭ ʎ i p̚
트다	tʰ ɯ d a̠
트랙타	tʰ ɯ ɾ e̞ k̚ tʰ a̠
트랙터	tʰ ɯ ɾ e̞ k̚ tʰ ʌ̹
트랜스젠더	tʰ ɯ ɾ e̞ n sʰ ɯ d͡ʑ e̞ n d ʌ̹
트랜지스터	tʰ ɯ ɾ e̞ n d͡ʑ i sʰ ɯ tʰ ʌ̹
트램	tʰ ɯ ɾ e̞ m
트램펄린	tʰ ɯ ɾ e̞ m pʰ ʌ̹ ɭ ʎ i n
트러스트	tʰ ɯ ɾ ʌ̹ sʰ ɯ tʰ ɯ
트럭	tʰ ɯ ɾ ʌ̹ k̚
트럼펫	tʰ ɯ ɾ ʌ̹ m pʰ e̞ t̚
트럼프	tʰ ɯ ɾ ʌ̹ m pʰ ɯ
트렁크	tʰ ɯ ɾ ʌ̹ ŋ k x ɯ
트레이너	tʰ ɯ ɾ e̞ i n ʌ̹
트로이카	tʰ ɯ ɾ o̞ i kʰ a̠
트로트	tʰ ɯ ɾ o̞ tʰ ɯ
트로피	tʰ ɯ ɾ o̞ pʰ i
트로필륨	tʰ ɯ ɾ o̞ pʰ i ɭ ʎ j u m
트롤	tʰ ɯ ɾ o̞ ɭ
트롤리	tʰ ɯ ɾ o̞ ɭ ʎ i
트롤리버스	tʰ ɯ ɾ o̞ ɭ ʎ i b ʌ̹ sʰ ɯ
트롱프뢰유	tʰ ɯ ɾ o̞ ŋ pʰ ɯ ɾ w e̞ j u
트리니다드	tʰ ɯ ɾ i n i d a̠ d ɯ
트리케라톱스	tʰ ɯ ɾ i kʰ e̞ ɾ a̠ tʰ o̞ p s͈ ɯ
트리폴리	tʰ ɯ ɾ i pʰ o̞ ɭ ʎ i
트림	tʰ ɯː ɾ i m
트림하다	tʰ ɯː ɾ i m ɦ a̠ d a̠
트빌리시	tʰ ɯ b i ɭ ʎ i ɕʰ i
트이다	tʰ ɯ i d a̠
특	tʰ ɯ k̚
특권	tʰ ɯ k̚ k͈ w ʌ̹ n
특기	tʰ ɯ k̚ k͈ i
특별	tʰ ɯ k̚ p͈ j ʌ̹ ɭ
특별하다	tʰ ɯ k̚ p͈ j ʌ̹ ɾ ɦ a̠ d a̠
특별히	tʰ ɯ k̚ p͈ j ʌ̹ ɾ ʝ i
특성	tʰ ɯ k s͈ ʌ̹ ŋ
특수	tʰ ɯ k s͈ u
특유	tʰ ɯ ɡ j u
특정	tʰ ɯ k̚ t͡ɕ͈ ʌ̹ ŋ
특정하다	tʰ ɯ k̚ t͡ɕ͈ ʌ̹ ŋ ɦ a̠ d a̠
특징	tʰ ɯ k̚ t͡ɕ͈ i ŋ
특히	tʰ ɯ k ç i
튼튼하다	tʰ ɯ n tʰ ɯ n ɦ a̠ d a̠
틀	tʰ ɯ ɭ
틀다	tʰ ɯ ɭ d a̠
틀리다	tʰ ɯ ɭ ʎ i d a̠
틀림없다	tʰ ɯ ɭ ʎ i m ʌ̹ p̚ t͈ a̠
틀림없이	tʰ ɯ ɭ ʎ i m ʌ̹ p ɕ͈ i
틈	tʰ ɯ m
티라나	tʰ i ɾ a̠ n a̠
티라노사우루스	tʰ i ɾ a̠ n o̞ sʰ a̠ u ɾ u sʰ ɯ
티베리우스	tʰ i b e̞ ɾ i u sʰ ɯ
티베트	tʰ i b e̞ tʰ ɯ
티브이	tʰ i b ɯ i
티셔츠	tʰ i ɕʰ j ʌ̹ t͡ɕʰ ɯ
티슈	tʰ i ɕʰ j u
티아졸	tʰ i a̠ d͡ʑ o̞ ɭ
티아진	tʰ i a̠ d͡ʑ i n
티오펜	tʰ i o̞ pʰ e̞ n
티읕	tʰ i ɯ t̚
티켓	tʰ i kʰ e̞ t̚
티탄	tʰ i tʰ a̠ n
틱	tʰ i k̚
틴에이저	tʰ i n e̞ i d͡ʑ ʌ̹
팀	tʰ i m
팁	tʰ i p̚
파	pʰ a̠
파	pʰ a̠ː
파고다	pʰ a̠ ɡ o̞ d a̠
파괴	pʰ a̠ː ɡ w e̞
파괴되다	pʰ a̠ː ɡ w e̞ d w e̞ d a̠
파괴하다	pʰ a̠ː ɡ w e̞ ɦ a̠ d a̠
파나마	pʰ a̠ n a̠ m a̠
파다	pʰ a̠ d a̠
파단	pʰ a̠ː d a̠ n
파도	pʰ a̠ d o̞
파동	pʰ a̠ d o̞ ŋ
파동함수	pʰ a̠ d o̞ ŋ ɦ a̠ m sʰ u
파두츠	pʰ a̠ d u t͡ɕʰ ɯ
파라과이	pʰ a̠ ɾ a̠ ɡ w a̠ i
파라마리보	pʰ a̠ ɾ a̠ m a̠ ɾ i b o̞
파라솔	pʰ a̠ ɾ a̠ sʰ o̞ ɭ
파라오	pʰ a̠ ɾ a̠ o̞
파란색	pʰ a̠ ɾ a̠ n sʰ e̞ k̚
파랑	pʰ a̠ ɾ a̠ ŋ
파랑새	pʰ a̠ ɾ a̠ ŋ sʰ e̞
파랗다	pʰ a̠ː ɾ a̠ tʰ a̠
파렴치	pʰ a̠ː ɾ j ʌ̹ m t͡ɕʰ i
파렴치하다	pʰ a̠ː ɾ j ʌ̹ m t͡ɕʰ i ɦ a̠ d a̠
파리	pʰ a̠ ɾ i
파리채	pʰ a̠ː ɾ i t͡ɕʰ e̞
파리하다	pʰ a̠ ɾ i ɦ a̠ d a̠
파마	pʰ a̠ m a̠
파문	pʰ a̠ː m u n
파벌	pʰ a̠ b ʌ̹ ɭ
파산	pʰ a̠ː sʰ a̠ n
파산하다	pʰ a̠ː sʰ a̠ n ɦ a̠ d a̠
파슈토어	pʰ a̠ ɕʰ j u tʰ o̞ ʌ̹
파스타	pʰ a̠ sʰ ɯ tʰ a̠
파스텔	pʰ a̠ sʰ ɯ tʰ e̞ ɭ
파슬리	pʰ a̠ sʰ ɯ ɭ ʎ i
파시스트	pʰ a̠ ɕʰ i sʰ ɯ tʰ ɯ
파시즘	pʰ a̠ ɕʰ i d͡ʑ ɯ m
파악하다	pʰ a̠ a̠ kʰ a̠ d a̠
파업	pʰ a̠ː ʌ̹ p̚
파운데이션	pʰ a̠ u n d e̞ i ɕʰ j ʌ̹ n
파운드	pʰ a̠ u n d ɯ
파이	pʰ a̠ i
파이팅	pʰ a̠ i tʰ i ŋ
파이프	pʰ a̠ i pʰ ɯ
파인더	pʰ a̠ i n d ʌ̹
파인애플	pʰ a̠ i n e̞ pʰ ɯ ɭ
파일	pʰ a̠ i ɭ
파자마	pʰ a̠ d͡ʑ a̠ m a̠
파장	pʰ a̠ d͡ʑ a̠ ŋ
파전	pʰ a̠ d͡ʑ ʌ̹ n
파출소	pʰ a̠ t͡ɕʰ u ɭ sʰ o̞
파충	pʰ a̠ t͡ɕʰ u ŋ
파충류	pʰ a̠ t͡ɕʰ u ŋ ɲ j u
파친코	pʰ a̠ t͡ɕʰ i n kʰ o̞
파키스탄	pʰ a̠ k ç i sʰ ɯ tʰ a̠ n
파트너	pʰ a̠ tʰ ɯ n ʌ̹
파트타임	pʰ a̠ tʰ ɯ tʰ a̠ i m
파티	pʰ a̠ tʰ i
파파라치	pʰ a̠ pʰ a̠ ɾ a̠ t͡ɕʰ i
파파야	pʰ a̠ pʰ a̠ j a̠
파피루스	pʰ a̠ pʰ i ɾ u sʰ ɯ
파하다	pʰ a̠ː ɦ a̠ d a̠
파행	pʰ a̠ ɦ e̞ ŋ
판	pʰ a̠ n
판결	pʰ a̠ n ɡ j ʌ̹ ɭ
판공실	pʰ a̠ n ɡ o̞ ŋ ɕʰ i ɭ
판권	pʰ a̠ n ɡ w ʌ̹ n
판다	pʰ a̠ n d a̠
판단	pʰ a̠ n d a̠ n
판단하다	pʰ a̠ n d a̠ n ɦ a̠ d a̠
판도	pʰ a̠ n d o̞
판도라	pʰ a̠ n d o̞ ɾ a̠
판매	pʰ a̠ n m e̞
판매원	pʰ a̠ n m e̞ w ʌ̹ n
판매점	pʰ a̠ n m e̞ d͡ʑ ʌ̹ m
판매하다	pʰ a̠ n m e̞ ɦ a̠ d a̠
판문점	pʰ a̠ n m u n d͡ʑ ʌ̹ m
판소리	pʰ a̠ n s͈ o̞ ɾ i
판자	pʰ a̠ n d͡ʑ a̠
판지	pʰ a̠ n d͡ʑ i
판판하다	pʰ a̠ n pʰ a̠ n ɦ a̠ d a̠
팔	pʰ a̠ ɭ
팔각	pʰ a̠ ɭ ɡ a̠ k̚
팔각형	pʰ a̠ ɭ ɡ a̠ k ç j ʌ̹ ŋ
팔꿈치	pʰ a̠ ɭ k͈ u m t͡ɕʰ i
팔다	pʰ a̠ ɭ d a̠
팔다리	pʰ a̠ ɭ d a̠ ɾ i
팔뚝	pʰ a̠ ɭ t͈ u k̚
팔라듐	pʰ a̠ ɭ ɭ a̠ d j u m
팔라우	pʰ a̠ ɭ ɭ a̠ u
팔레스타인	pʰ a̠ ɭ ɭ e̞ sʰ ɯ tʰ a̠ i n
팔리다	pʰ a̠ ɭ ʎ i d a̠
팔목	pʰ a̠ ɭ m o̞ k̚
팔미트산	pʰ a̠ ɭ m i tʰ ɯ sʰ a̠ n
팔십	pʰ a̠ ɭ ɕ͈ i p̚
팔월	pʰ a̠ ɾ w ʌ̹ ɭ
팔팔하다	pʰ a̠ ɭ pʰ a̠ ɾ ɦ a̠ d a̠
팜유	pʰ a̠ m j u
팝송	pʰ a̠ p s͈ o̞ ŋ
팝콘	pʰ a̠ p̚ kʰ o̞ n
팥	pʰ a̠ t̚
팥빙수	pʰ a̠ t̚ p͈ i ŋ sʰ u
팥소	pʰ a̠ t̚ s͈ o̞
패	pʰ e̞ː
패거리	pʰ e̞ ɡ ʌ̹ ɾ i
패다	pʰ e̞ d a̠
패럴림픽	pʰ e̞ ɾ ʌ̹ ɭ ʎ i m pʰ i k̚
패배	pʰ e̞ː b e̞
패배자	pʰ e̞ː b e̞ d͡ʑ a̠
패션	pʰ e̞ ɕʰ j ʌ̹ n
패션프루츠	pʰ e̞ ɕʰ j ʌ̹ n pʰ ɯ ɾ u t͡ɕʰ ɯ
패스워드	pʰ e̞ sʰ ɯ w ʌ̹ d ɯ
패전	pʰ e̞ː d͡ʑ ʌ̹ n
패킷	pʰ e̞ k ç i t̚
팩	pʰ e̞ k̚
팩스	pʰ e̞ k s͈ ɯ
팬	pʰ e̞ n
팬케이크	pʰ e̞ n kʰ e̞ i k x ɯ
팬티	pʰ e̞ n tʰ i
팸플릿	pʰ e̞ m pʰ ɯ ɭ ʎ i t̚
팽	pʰ e̞ ŋ
퍅	pʰ j a̠ k̚
퍼브	pʰ ʌ̹ b ɯ
퍼센트	pʰ ʌ̹ sʰ e̞ n tʰ ɯ
퍼즐	pʰ ʌ̹ d͡ʑ ɯ ɭ
퍼지다	pʰ ɘː d͡ʑ i d a̠
펄럭펄럭	pʰ ʌ̹ ɭ ɭ ʌ̹ k̚ pʰ ʌ̹ ɭ ɭ ʌ̹ k̚
펄서	pʰ ʌ̹ ɭ sʰ ʌ̹
펌프	pʰ ʌ̹ m pʰ ɯ
페나진	pʰ e̞ n a̠ d͡ʑ i n
페난트렌	pʰ e̞ n a̠ n tʰ ɯ ɾ e̞ n
페난트리딘	pʰ e̞ n a̠ n tʰ ɯ ɾ i d i n
페놀	pʰ e̞ n o̞ ɭ
페니	pʰ e̞ n i
페닐기	pʰ e̞ n i ɭ ɡ i
페달	pʰ e̞ d a̠ ɭ
페럿	pʰ e̞ ɾ ʌ̹ t̚
페레스트로이카	pʰ e̞ ɾ e̞ sʰ ɯ tʰ ɯ ɾ o̞ i kʰ a̠
페루	pʰ e̞ ɾ u
페르뮴	pʰ e̞ ɾ ɯ m j u m
페르샤어	pʰ e̞ ɾ ɯ ɕʰ j a̠ ʌ̹
페르세포네	pʰ e̞ ɾ ɯ sʰ e̞ pʰ o̞ n e̞
페르시아	pʰ e̞ ɾ ɯ ɕʰ i a̠
페르시아어	pʰ e̞ ɾ ɯ ɕʰ i a̠ ʌ̹
페미니즘	pʰ e̞ m i n i d͡ʑ ɯ m
페샤와르	pʰ e̞ ɕʰ j a̠ w a̠ ɾ ɯ
페스트	pʰ e̞ sʰ ɯ tʰ ɯ
페이지	pʰ e̞ i d͡ʑ i
페인트	pʰ e̞ i n tʰ ɯ
페지	pʰ e̞ d͡ʑ i
페지	pʰ e̞ː d͡ʑ i
페티시즘	pʰ e̞ tʰ i ɕʰ i d͡ʑ ɯ m
펜	pʰ e̞ n
펜션	pʰ e̞ n ɕʰ j ʌ̹ n
펠라티오	pʰ e̞ ɭ ɭ a̠ tʰ i o̞
펠리컨	pʰ e̞ ɭ ʎ i kʰ ʌ̹ n
펠메니	pʰ e̞ ɭ m e̞ n i
펩타이드	pʰ e̞ p̚ tʰ a̠ i d ɯ
펩티드	pʰ e̞ p̚ tʰ i d ɯ
펭귄	pʰ e̞ ŋ ɡ ɥ i n
펴내다	pʰ j ʌ̹ n e̞ d a̠
펴다	pʰ j ʌ̹ d a̠
편	pʰ j ʌ̹ n
편경	pʰ j ʌ̹ n ɡ j ʌ̹ ŋ
편도	pʰ j ʌ̹ n d o̞
편람	pʰ j ʌ̹ ɭ ɭ a̠ m
편리	pʰ j ʌ̹ ɭ ʎ i
편리하다	pʰ j ʌ̹ ɭ ʎ i ɦ a̠ d a̠
편복	pʰ j ʌ̹ n b o̞ k̚
편성	pʰ j ʌ̹ n sʰ ʌ̹ ŋ
편안하다	pʰ j ʌ̹ n a̠ n ɦ a̠ d a̠
편암	pʰ j ʌ̹ n a̠ m
