'tain	t ɛ̃
réjouissais	ʁ e ʒ w i s ɛ
réjouissait	ʁ e ʒ w i s ɛ
réjouissance	ʁ e ʒ w i s ɑ̃ s
réjouissant	ʁ e ʒ w i s ɑ̃
réjouisse	ʁ e ʒ w i s
réjouissent	ʁ e ʒ w i s
réjouisses	ʁ e ʒ w i s
réjouissez	ʁ e ʒ w i s e
réjouissiez	ʁ e ʒ w i s j e
réjouissions	ʁ e ʒ w i s j ɔ̃
réjouissons	ʁ e ʒ w i s ɔ̃
réjouit	ʁ e ʒ w i
réjouîmes	ʁ e ʒ w i m
réjouît	ʁ e ʒ w i
réjouîtes	ʁ e ʒ w i t
rémi	ʁ e m i
rémoulade	ʁ e m u l a d
rémunération	ʁ e m y n e ʁ a s j ɔ̃
rémunérer	ʁ e m y n e ʁ e
rémy	ʁ e m i
rénal	ʁ e n a l
rénover	ʁ e n ɔ v e
réouverture	ʁ e u v ɛ ʁ t y ʁ
réoxyder	ʁ e ɔ k s i d e
répandre	ʁ e p ɑ̃ d ʁ
répandu	ʁ e p ɑ̃ d y
réparateur	ʁ e p a ʁ a t œ ʁ
réparer	ʁ e p a ʁ e
répartie	ʁ e p a ʁ t i
répartir	ʁ e p a ʁ t i ʁ
répartition	ʁ e p a ʁ t i s j ɔ̃
répercussion	ʁ e p ɛ ʁ k y s j ɔ̃
répercuter	ʁ e p ɛ ʁ k y t e
répit	ʁ e p i
réplication	ʁ e p l i k a s j ɔ̃
réplicative	ʁ e p l i k a t i v
réplique	ʁ e p l i k
répliquer	ʁ e p l i k e
réplétion	ʁ e p l e s j ɔ̃
répondeur	ʁ e p ɔ̃ d œ ʁ
répondre	ʁ e p ɔ̃ d ʁ
réponds	ʁ e p ɔ̃
réponse	ʁ e p ɔ̃ s
répression	ʁ e p ʁ ɛ s j ɔ̃
réprimandai	ʁ e p ʁ i m ɑ̃ d e
réprimandaient	ʁ e p ʁ i m ɑ̃ d ɛ
réprimandais	ʁ e p ʁ i m ɑ̃ d ɛ
réprimandait	ʁ e p ʁ i m ɑ̃ d ɛ
réprimandant	ʁ e p ʁ i m ɑ̃ d ɑ̃
réprimandas	ʁ e p ʁ i m ɑ̃ d ɑ
réprimandasse	ʁ e p ʁ i m ɑ̃ d a s
réprimandassent	ʁ e p ʁ i m ɑ̃ d a s
réprimandasses	ʁ e p ʁ i m ɑ̃ d a s
réprimandassiez	ʁ e p ʁ i m ɑ̃ d a s j e
réprimandassions	ʁ e p ʁ i m ɑ̃ d a s j ɔ̃
réprimande	ʁ e p ʁ i m ɑ̃ d
réprimandent	ʁ e p ʁ i m ɑ̃ d
réprimander	ʁ e p ʁ i m ɑ̃ d e
réprimandera	ʁ e p ʁ i m ɑ̃ d ʁ a
réprimanderai	ʁ e p ʁ i m ɑ̃ d ʁ e
réprimanderaient	ʁ e p ʁ i m ɑ̃ d ʁ ɛ
réprimanderais	ʁ e p ʁ i m ɑ̃ d ʁ ɛ
réprimanderait	ʁ e p ʁ i m ɑ̃ d ʁ ɛ
réprimanderas	ʁ e p ʁ i m ɑ̃ d ʁ ɑ
réprimanderez	ʁ e p ʁ i m ɑ̃ d ʁ e
réprimanderiez	ʁ e p ʁ i m ɑ̃ d ə ʁ j e
réprimanderions	ʁ e p ʁ i m ɑ̃ d ə ʁ j ɔ̃
réprimanderons	ʁ e p ʁ i m ɑ̃ d ʁ ɔ̃
réprimanderont	ʁ e p ʁ i m ɑ̃ d ʁ ɔ̃
réprimandes	ʁ e p ʁ i m ɑ̃ d
réprimandez	ʁ e p ʁ i m ɑ̃ d e
réprimandiez	ʁ e p ʁ i m ɑ̃ d j e
réprimandions	ʁ e p ʁ i m ɑ̃ d j ɔ̃
réprimandons	ʁ e p ʁ i m ɑ̃ d ɔ̃
réprimandâmes	ʁ e p ʁ i m ɑ̃ d ɑ m
réprimandât	ʁ e p ʁ i m ɑ̃ d ɑ
réprimandâtes	ʁ e p ʁ i m ɑ̃ d ɑ t
réprimandèrent	ʁ e p ʁ i m ɑ̃ d ɛ ʁ
réprimandé	ʁ e p ʁ i m ɑ̃ d e
réprimer	ʁ e p ʁ i m e
réprouva	ʁ e p ʁ u v a
réprouvai	ʁ e p ʁ u v e
réprouvaient	ʁ e p ʁ u v ɛ
réprouvais	ʁ e p ʁ u v ɛ
réprouvait	ʁ e p ʁ u v ɛ
réprouvant	ʁ e p ʁ u v ɑ̃
réprouvas	ʁ e p ʁ u v ɑ
réprouvasse	ʁ e p ʁ u v a s
réprouvassent	ʁ e p ʁ u v a s
réprouvasses	ʁ e p ʁ u v a s
réprouvassiez	ʁ e p ʁ u v a s j e
réprouvassions	ʁ e p ʁ u v a s j ɔ̃
réprouve	ʁ e p ʁ u v
réprouvent	ʁ e p ʁ u v
réprouver	ʁ e p ʁ u v e
réprouvera	ʁ e p ʁ u v ʁ a
réprouverai	ʁ e p ʁ u v ʁ e
réprouveraient	ʁ e p ʁ u v ʁ ɛ
réprouverais	ʁ e p ʁ u v ʁ ɛ
réprouverait	ʁ e p ʁ u v ʁ ɛ
réprouveras	ʁ e p ʁ u v ʁ ɑ
réprouverez	ʁ e p ʁ u v ʁ e
réprouveriez	ʁ e p ʁ u v ə ʁ j e
réprouverions	ʁ e p ʁ u v ə ʁ j ɔ̃
réprouverons	ʁ e p ʁ u v ʁ ɔ̃
réprouveront	ʁ e p ʁ u v ʁ ɔ̃
réprouves	ʁ e p ʁ u v
réprouvez	ʁ e p ʁ u v e
réprouviez	ʁ e p ʁ u v j e
réprouvions	ʁ e p ʁ u v j ɔ̃
réprouvons	ʁ e p ʁ u v ɔ̃
réprouvâmes	ʁ e p ʁ u v ɑ m
réprouvât	ʁ e p ʁ u v ɑ
réprouvâtes	ʁ e p ʁ u v ɑ t
réprouvèrent	ʁ e p ʁ u v ɛ ʁ
réprouvé	ʁ e p ʁ u v e
répréhensible	ʁ e p ʁ e ɑ̃ s i b l
répréhension	ʁ e p ʁ e ɑ̃ s j ɔ̃
républicain	ʁ e p y b l i k ɛ̃
républicaine	ʁ e p y b l i k ɛ n
républicaines	ʁ e p y b l i k ɛ n
républicains	ʁ e p y b l i k ɛ̃
république	ʁ e p y b l i k
républiques	ʁ e p y b l i k
répudiais	ʁ e p y d j ɛ
répudiant	ʁ e p y d j ɑ̃
répudier	ʁ e p y d j e
répudierais	ʁ e p y d i ʁ ɛ
répudions	ʁ e p y d j ɔ̃
répudié	ʁ e p y d j e
répugna	ʁ e p y ɲ a
répugnai	ʁ e p y ɲ e
répugnaient	ʁ e p y ɲ ɛ
répugnais	ʁ e p y ɲ ɛ
répugnait	ʁ e p y ɲ ɛ
répugnant	ʁ e p y ɲ ɑ̃
répugnas	ʁ e p y ɲ ɑ
répugnasse	ʁ e p y ɲ a s
répugnassent	ʁ e p y ɲ a s
répugnasses	ʁ e p y ɲ a s
répugnassiez	ʁ e p y ɲ a s j e
répugnassions	ʁ e p y ɲ a s j ɔ̃
répugne	ʁ e p y ɲ
répugnent	ʁ e p y ɲ
répugner	ʁ e p y ɲ e
répugnera	ʁ e p y ɲ ə ʁ a
répugnerai	ʁ e p y ɲ ə ʁ e
répugneraient	ʁ e p y ɲ ə ʁ e
répugnerais	ʁ e p y ɲ ə ʁ e
répugnerait	ʁ e p y ɲ ə ʁ e
répugneras	ʁ e p y ɲ ə ʁ a
répugnerez	ʁ e p y ɲ ə ʁ ɔ e
répugneriez	ʁ e p y ɲ ə ʁ j e
répugnerions	ʁ e p y ɲ ə ʁ j ɔ̃
répugnerons	ʁ e p y ɲ ə ʁ ɔ̃
répugneront	ʁ e p y ɲ ə ʁ ɔ̃
répugnes	ʁ e p y ɲ
répugnez	ʁ e p y ɲ e
répugniez	ʁ e p y ɲ j e
répugnions	ʁ e p y ɲ j ɔ̃
répugnons	ʁ e p y ɲ ɔ̃
répugnâmes	ʁ e p y ɲ ɑ m
répugnât	ʁ e p y ɲ ɑ
répugnâtes	ʁ e p y ɲ ɑ t
répugnèrent	ʁ e p y ɲ ɛ ʁ
répugné	ʁ e p y ɲ e
répulsion	ʁ e p y l s j ɔ̃
réputation	ʁ e p y t a s j ɔ̃
réputer	ʁ e p y t e
répéter	ʁ e p e t e
répéteur	ʁ e p e t œ ʁ
répétiteur	ʁ e p e t i t œ ʁ
répétitif	ʁ e p e t i t i f
répétitivité	ʁ e p e t i t i v i t e
réquisition	ʁ e k i z i s j ɔ̃
réquisitionna	ʁ e k i z i s j ɔ n a
réquisitionnai	ʁ e k i z i s j ɔ n e
réquisitionnaient	ʁ e k i z i s j ɔ n ɛ
réquisitionnais	ʁ e k i z i s j ɔ n ɛ
réquisitionnait	ʁ e k i z i s j ɔ n ɛ
réquisitionnant	ʁ e k i z i s j ɔ n ɑ̃
réquisitionnas	ʁ e k i z i s j ɔ n ɑ
réquisitionnasse	ʁ e k i z i s j ɔ n a s
réquisitionnassent	ʁ e k i z i s j ɔ n a s
réquisitionnasses	ʁ e k i z i s j ɔ n a s
réquisitionnassiez	ʁ e k i z i s j ɔ n a s j e
réquisitionnassions	ʁ e k i z i s j ɔ n a s j ɔ̃
réquisitionne	ʁ e k i z i s j ɔ n
réquisitionnent	ʁ e k i z i s j ɔ n
réquisitionner	ʁ e k i z i s j ɔ n e
réquisitionnera	ʁ e k i z i s j ɔ n ʁ a
réquisitionnerai	ʁ e k i z i s j ɔ n ʁ e
réquisitionneraient	ʁ e k i z i s j ɔ n ʁ ɛ
réquisitionnerais	ʁ e k i z i s j ɔ n ʁ ɛ
réquisitionnerait	ʁ e k i z i s j ɔ n ʁ ɛ
réquisitionneras	ʁ e k i z i s j ɔ n ʁ ɑ
réquisitionnerez	ʁ e k i z i s j ɔ n ʁ e
réquisitionneriez	ʁ e k i z i s j ɔ n ə ʁ j e
réquisitionnerions	ʁ e k i z i s j ɔ n ə ʁ j ɔ̃
réquisitionnerons	ʁ e k i z i s j ɔ n ʁ ɔ̃
réquisitionneront	ʁ e k i z i s j ɔ n ʁ ɔ̃
réquisitionnes	ʁ e k i z i s j ɔ n
réquisitionnez	ʁ e k i z i s j ɔ n e
réquisitionniez	ʁ e k i z i s j ɔ n j e
réquisitionnions	ʁ e k i z i s j ɔ n j ɔ̃
réquisitionnons	ʁ e k i z i s j ɔ n ɔ̃
réquisitionnâmes	ʁ e k i z i s j ɔ n ɑ m
réquisitionnât	ʁ e k i z i s j ɔ n ɑ
réquisitionnâtes	ʁ e k i z i s j ɔ n ɑ t
réquisitionnèrent	ʁ e k i z i s j ɔ n ɛ ʁ
réquisitionné	ʁ e k i z i s j ɔ n e
réquisitoire	ʁ e k i z i t w a ʁ
résa	ʁ e z a
réseau	ʁ e z o
réseautage	ʁ e z o t a ʒ
réseaux	ʁ e z o
réserve	ʁ e z ɛ ʁ v
réserver	ʁ e z ɛ ʁ v e
réservoir	ʁ e z ɛ ʁ v w a ʁ
résidence	ʁ e z i d ɑ̃ s
résident	ʁ e z i d
résident	ʁ e z i d ɑ̃
résidente	ʁ e z i d ɑ̃ t
résigna	ʁ e z i ɲ a
résignai	ʁ e z i ɲ e
résignaient	ʁ e z i ɲ ɛ
résignais	ʁ e z i ɲ ɛ
résignait	ʁ e z i ɲ ɛ
résignant	ʁ e z i ɲ ɑ̃
résignas	ʁ e z i ɲ ɑ
résignasse	ʁ e z i ɲ a s
résignassent	ʁ e z i ɲ a s
résignasses	ʁ e z i ɲ a s
résignassiez	ʁ e z i ɲ a s j e
résignassions	ʁ e z i ɲ a s j ɔ̃
résignation	ʁ e z i ɲ a s j ɔ̃
résigne	ʁ e z i ɲ
résignent	ʁ e z i ɲ
résigner	ʁ e z i ɲ e
résignera	ʁ e z i ɲ ə ʁ a
résignerai	ʁ e z i ɲ ə ʁ e
résigneraient	ʁ e z i ɲ ə ʁ e
résignerais	ʁ e z i ɲ ə ʁ e
résignerait	ʁ e z i ɲ ə ʁ e
résigneras	ʁ e z i ɲ ə ʁ a
résignerez	ʁ e z i ɲ ə ʁ ɔ e
résigneriez	ʁ e z i ɲ ə ʁ j e
résignerions	ʁ e z i ɲ ə ʁ j ɔ̃
résignerons	ʁ e z i ɲ ə ʁ ɔ̃
résigneront	ʁ e z i ɲ ə ʁ ɔ̃
résignes	ʁ e z i ɲ
résignez	ʁ e z i ɲ e
résigniez	ʁ e z i ɲ j e
résignions	ʁ e z i ɲ j ɔ̃
résignons	ʁ e z i ɲ ɔ̃
résignâmes	ʁ e z i ɲ ɑ m
résignât	ʁ e z i ɲ ɑ
résignâtes	ʁ e z i ɲ ɑ t
résignèrent	ʁ e z i ɲ ɛ ʁ
résigné	ʁ e z i ɲ e
résilience	ʁ e z i l j ɑ̃ s
résille	ʁ e z i j
résine	ʁ e z i n
résiner	ʁ e z i n e
résines	ʁ e z i n
résineuse	ʁ e z i n ø z
résineuses	ʁ e z i n ø z
résineux	ʁ e z i n ø
résipiscence	ʁ e s i p i s ɑ̃ s
résistance	ʁ e z i s t ɑ̃ s
résistant	ʁ e z i s t ɑ̃
résister	ʁ e z i s t e
résisteur	ʁ e z i s t œ ʁ
résistor	ʁ e z i s t ɔ ʁ
résolution	ʁ e z ɔ l y s j ɔ̃
résolutive	ʁ e z ɔ l y t i v
résolutivement	ʁ e z ɔ l y t i v m ɑ̃
résolver	ʁ e z ɔ l v e
résonateur	ʁ e z ɔ n a t œ ʁ
résonner	ʁ e z ɔ n e
résoudre	ʁ e z u d ʁ
résout	ʁ e z u
résultaient	ʁ e z y l t ɛ
résultassent	ʁ e z y l t a s
résultat	ʁ e z y l t a
résultatif	ʁ e z y l t a t i f
résultative	ʁ e z y l t a t i v
résultent	ʁ e z y l t
résulter	ʁ e z y l t e
résulteraient	ʁ e z y l t ə ʁ ɛ
résulteront	ʁ e z y l t ə ʁ ɔ̃
résultèrent	ʁ e z y l t ɛ ʁ
résumer	ʁ e z y m e
résumé	ʁ e z y m e
résurrection	ʁ e z y ʁ ɛ k s j ɔ̃
rétabli	ʁ e t a b l i
rétablir	ʁ e t a b l i ʁ
rétablira	ʁ e t a b l i ʁ a
rétablirai	ʁ e t a b l i ʁ e
rétabliraient	ʁ e t a b l i ʁ ɛ
rétablirais	ʁ e t a b l i ʁ ɛ
rétablirait	ʁ e t a b l i ʁ ɛ
rétabliras	ʁ e t a b l i ʁ ɑ
rétablirent	ʁ e t a b l i ʁ
rétablirez	ʁ e t a b l i ʁ e
rétabliriez	ʁ e t a b l i ʁ j e
rétablirions	ʁ e t a b l i ʁ j ɔ̃
rétablirons	ʁ e t a b l i ʁ ɔ̃
rétabliront	ʁ e t a b l i ʁ ɔ̃
rétablis	ʁ e t a b l i
rétablissaient	ʁ e t a b l i s ɛ
rétablissais	ʁ e t a b l i s ɛ
rétablissait	ʁ e t a b l i s ɛ
rétablissant	ʁ e t a b l i s ɑ̃
rétablisse	ʁ e t a b l i s
rétablissement	ʁ e t a b l i s m ɑ̃
rétablissent	ʁ e t a b l i s
rétablisses	ʁ e t a b l i s
rétablissez	ʁ e t a b l i s e
rétablissiez	ʁ e t a b l i s j e
rétablissions	ʁ e t a b l i s j ɔ̃
rétablissons	ʁ e t a b l i s ɔ̃
rétablit	ʁ e t a b l i
rétablîmes	ʁ e t a b l i m
rétablît	ʁ e t a b l i
rétablîtes	ʁ e t a b l i t
rétamer	ʁ e t a m e
rétention	ʁ e t ɑ̃ s j ɔ̃
rétentions	ʁ e t ɑ̃ s j ɔ̃
rétiaire	ʁ e s j ɛ ʁ
réticence	ʁ e t i s ɑ̃ s
réticulum	ʁ e t i k y l ɔ m
réticulé	ʁ e t i k y l e
rétif	ʁ e t i f
rétinien	ʁ e t i n j ɛ̃
rétorquer	ʁ e t ɔ ʁ k e
rétracter	ʁ e t ʁ a k t e
rétribuer	ʁ e t ʁ i b ɥ e
rétroactivité	ʁ e t ʁ o a k t i v i t e
rétrodiffuser	ʁ e t ʁ ɔ d i f y z e
rétroformation	ʁ e t ʁ ɔ f ɔ ʁ m a s j ɔ̃
rétrogaming	ʁ e t ʁ ɔ ɡ ɛ m i ŋ
rétrograde	ʁ e t ʁ ɔ ɡ ʁ a d
rétrograder	ʁ e t ʁ ɔ ɡ ʁ a d e
rétronymie	ʁ e t ʁ ɔ n i m i
rétronymique	ʁ e t ʁ ɔ n i m i k
rétronymiques	ʁ e t ʁ ɔ n i m i k
rétrovirus	ʁ e t ʁ o v i ʁ y s
rétrécir	ʁ e t ʁ e s i ʁ
réunion	ʁ e y n j ɔ̃
réunir	ʁ e y n i ʁ
réussi	ʁ e y s i
réussir	ʁ e y s i ʁ
réussissabilité	ʁ e y s i s a b i l i t e
réussite	ʁ e y s i t
réussites	ʁ e y s i t
réutilisa	ʁ e y t i l i z a
réutilisai	ʁ e y t i l i z e
réutilisaient	ʁ e y t i l i z ɛ
réutilisais	ʁ e y t i l i z ɛ
réutilisait	ʁ e y t i l i z ɛ
réutilisant	ʁ e y t i l i z ɑ̃
réutilisas	ʁ e y t i l i z ɑ
réutilisasse	ʁ e y t i l i z a s
réutilisassent	ʁ e y t i l i z a s
réutilisasses	ʁ e y t i l i z a s
réutilisassiez	ʁ e y t i l i z a s j e
réutilisassions	ʁ e y t i l i z a s j ɔ̃
réutilise	ʁ e y t i l i z
réutilisent	ʁ e y t i l i z
réutiliser	ʁ e y t i l i z e
réutilisera	ʁ e y t i l i z ʁ a
réutiliserai	ʁ e y t i l i z ʁ e
réutiliseraient	ʁ e y t i l i z ʁ ɛ
réutiliserais	ʁ e y t i l i z ʁ ɛ
réutiliserait	ʁ e y t i l i z ʁ ɛ
réutiliseras	ʁ e y t i l i z ʁ ɑ
réutiliserez	ʁ e y t i l i z ʁ e
réutiliseriez	ʁ e y t i l i z ə ʁ j e
réutiliserions	ʁ e y t i l i z ə ʁ j ɔ̃
réutiliserons	ʁ e y t i l i z ʁ ɔ̃
réutiliseront	ʁ e y t i l i z ʁ ɔ̃
réutilises	ʁ e y t i l i z
réutilisez	ʁ e y t i l i z e
réutilisiez	ʁ e y t i l i z j e
réutilisions	ʁ e y t i l i z j ɔ̃
réutilisons	ʁ e y t i l i z ɔ̃
réutilisâmes	ʁ e y t i l i z ɑ m
réutilisât	ʁ e y t i l i z ɑ
réutilisâtes	ʁ e y t i l i z ɑ t
réutilisèrent	ʁ e y t i l i z ɛ ʁ
réutilisé	ʁ e y t i l i z e
réveil	ʁ e v ɛ j
réveille	ʁ e v ɛ j
réveiller	ʁ e v ɛ j e
réveilleur	ʁ e v ɛ j œ ʁ
réveillon	ʁ e v ɛ j ɔ̃
réveillonna	ʁ e v ɛ j ɔ n a
réveillonnai	ʁ e v ɛ j ɔ n e
réveillonnaient	ʁ e v ɛ j ɔ n ɛ
réveillonnais	ʁ e v ɛ j ɔ n ɛ
réveillonnait	ʁ e v ɛ j ɔ n ɛ
réveillonnant	ʁ e v ɛ j ɔ n ɑ̃
réveillonnas	ʁ e v ɛ j ɔ n ɑ
réveillonnasse	ʁ e v ɛ j ɔ n a s
réveillonnassent	ʁ e v ɛ j ɔ n a s
réveillonnasses	ʁ e v ɛ j ɔ n a s
réveillonnassiez	ʁ e v ɛ j ɔ n a s j e
réveillonnassions	ʁ e v ɛ j ɔ n a s j ɔ̃
réveillonne	ʁ e v ɛ j ɔ n
réveillonnent	ʁ e v ɛ j ɔ n
réveillonnera	ʁ e v ɛ j ɔ n ʁ a
réveillonnerai	ʁ e v ɛ j ɔ n ʁ e
réveillonneraient	ʁ e v ɛ j ɔ n ʁ ɛ
réveillonnerais	ʁ e v ɛ j ɔ n ʁ ɛ
réveillonnerait	ʁ e v ɛ j ɔ n ʁ ɛ
réveillonneras	ʁ e v ɛ j ɔ n ʁ ɑ
réveillonnerez	ʁ e v ɛ j ɔ n ʁ e
réveillonneriez	ʁ e v ɛ j ɔ n ə ʁ j e
réveillonnerions	ʁ e v ɛ j ɔ n ə ʁ j ɔ̃
réveillonnerons	ʁ e v ɛ j ɔ n ʁ ɔ̃
réveillonneront	ʁ e v ɛ j ɔ n ʁ ɔ̃
réveillonnes	ʁ e v ɛ j ɔ n
réveillonnez	ʁ e v ɛ j ɔ n e
réveillonniez	ʁ e v ɛ j ɔ n j e
réveillonnions	ʁ e v ɛ j ɔ n j ɔ̃
réveillonnons	ʁ e v ɛ j ɔ n ɔ̃
réveillonnâmes	ʁ e v ɛ j ɔ n ɑ m
réveillonnât	ʁ e v ɛ j ɔ n ɑ
réveillonnâtes	ʁ e v ɛ j ɔ n ɑ t
réveillonnèrent	ʁ e v ɛ j ɔ n ɛ ʁ
réveillonné	ʁ e v ɛ j ɔ n e
réveillé	ʁ e v ɛ j e
réveils	ʁ e v ɛ j
réverbère	ʁ e v ɛ ʁ b ɛ ʁ
réverbérai	ʁ e v ɛ ʁ b e ʁ ɛ
réverbérais	ʁ e v ɛ ʁ b e ʁ ɛ
réverbérer	ʁ e v ɛ ʁ b e ʁ e
réversible	ʁ e v ɛ ʁ s i b l
réversion	ʁ e v ɛ ʁ s j ɔ̃
réviser	ʁ e v i z e
réviseuse	ʁ e v i z ø z
révocation	ʁ e v ɔ k a s j ɔ̃
révocations	ʁ e v ɔ k a s j ɔ̃
révolte	ʁ e v ɔ l t
révolter	ʁ e v ɔ l t e
révolu	ʁ e v ɔ l y
révolution	ʁ e v ɔ l y s j ɔ̃
révolutionnaire	ʁ e v ɔ l y s j ɔ n ɛ ʁ
révolutions	ʁ e v ɔ l y s j ɔ̃
révoquer	ʁ e v ɔ k e
révère	ʁ e v ɛ ʁ
révèrera	ʁ e v ɛ ʁ ə ʁ a
révèrerai	ʁ e v ɛ ʁ ə ʁ e
révèreraient	ʁ e v ɛ ʁ ə ʁ ɛ
révèrerais	ʁ e v ɛ ʁ ə ʁ ɛ
révèrerait	ʁ e v ɛ ʁ ə ʁ ɛ
révèreras	ʁ e v ɛ ʁ ə ʁ ɑ
révèrerez	ʁ e v ɛ ʁ ə ʁ e
révèreriez	ʁ e v ɛ ʁ ə ʁ j e
révèrerions	ʁ e v ɛ ʁ ə ʁ j ɔ̃
révèrerons	ʁ e v ɛ ʁ ə ʁ ɔ̃
révèreront	ʁ e v ɛ ʁ ə ʁ ɔ̃
révères	ʁ e v ɛ ʁ
révélation	ʁ e v e l a s j ɔ̃
révélations	ʁ e v e l a s j ɔ̃
révéler	ʁ e v e l e
révéra	ʁ e v e ʁ a
révérais	ʁ e v e ʁ ɛ
révérait	ʁ e v e ʁ ɛ
révérant	ʁ e v e ʁ ɑ̃
révéras	ʁ e v e ʁ ɑ
révérasse	ʁ e v e ʁ a s
révérassent	ʁ e v e ʁ a s
révérasses	ʁ e v e ʁ a s
révérassiez	ʁ e v e ʁ a s j e
révérassions	ʁ e v e ʁ a s j ɔ̃
révéremment	ʁ e v e ʁ a m ɑ̃
révérence	ʁ e v e ʁ ɑ̃ s
révérer	ʁ e v e ʁ e
révérez	ʁ e v e ʁ e
révériez	ʁ e v e ʁ j e
révérions	ʁ e v e ʁ j ɔ̃
révérons	ʁ e v e ʁ ɔ̃
révérâmes	ʁ e v e ʁ ɑ m
révérât	ʁ e v e ʁ ɑ
révérâtes	ʁ e v e ʁ ɑ t
révéré	ʁ e v e ʁ e
révérée	ʁ e v e ʁ e
révérées	ʁ e v e ʁ e
révérés	ʁ e v e ʁ e
rééchelonner	ʁ e e ʃ l ɔ n e
rééchelonner	ʁ e e ʃ ə l ɔ n e
réécouter	ʁ e e k u t e
réécriture	ʁ e e k ʁ i t y ʁ
réédition	ʁ e e d i s j ɔ̃
réémettre	ʁ e e m ɛ t ʁ
rêche	ʁ ɛ ʃ
rêne	ʁ ɛ n
rêvasser	ʁ ɛ v a s e
rêve	ʁ ɛ v
rêver	ʁ e v e
rêver	ʁ ɛ v e
rêverie	ʁ ɛ v ʁ i
rêveur	ʁ ɛ v œ ʁ
rêvé	ʁ ɛ v e
rôda	ʁ o d a
rôdai	ʁ o d e
rôdaient	ʁ o d ɛ
rôdais	ʁ o d ɛ
rôdait	ʁ o d ɛ
rôdant	ʁ o d ɑ̃
rôdas	ʁ o d ɑ
rôdasse	ʁ o d a s
rôdassent	ʁ o d a s
rôdasses	ʁ o d a s
rôdassiez	ʁ o d a s j e
rôdassions	ʁ o d a s j ɔ̃
rôde	ʁ o d
rôdent	ʁ o d
rôder	ʁ o d e
rôdera	ʁ o d ʁ a
rôderai	ʁ o d ʁ e
rôderaient	ʁ o d ʁ ɛ
rôderais	ʁ o d ʁ ɛ
rôderait	ʁ o d ʁ ɛ
rôderas	ʁ o d ʁ ɑ
rôderez	ʁ o d ʁ e
rôderiez	ʁ o d ə ʁ j e
rôderions	ʁ o d ə ʁ j ɔ̃
rôderons	ʁ o d ʁ ɔ̃
rôderont	ʁ o d ʁ ɔ̃
rôdes	ʁ o d
rôdeur	ʁ o d œ ʁ
rôdez	ʁ o d e
rôdiez	ʁ o d j e
rôdions	ʁ o d j ɔ̃
rôdons	ʁ o d ɔ̃
rôdâmes	ʁ o d ɑ m
rôdât	ʁ o d ɑ
rôdâtes	ʁ o d ɑ t
rôdèrent	ʁ o d ɛ ʁ
rôdé	ʁ o d e
rôle	ʁ o l
rôt	ʁ o
rôti	ʁ o t i
rôtie	ʁ o t i
rôtir	ʁ o t i ʁ
rôtisserie	ʁ o t i s ʁ i
rôtissoire	ʁ o t i s w a ʁ
s	ɛ s
s'	s ‿
s'agir	s ‿ a ʒ i ʁ
s'en	s ‿ ɑ̃
s'enfuir	s ‿ ɑ̃ f ɥ i ʁ
s'entend	s ‿ ɑ̃ t ɑ̃
s'est	s ‿ ɛ
s'il	s ‿ i l
s'ils	s ‿ i l
s'lut	s l y
sa	s a
sabayon	s a b a j ɔ̃
sabbat	s a b a
sabbatique	s a b a t i k
sabbatisa	s a b a t i z a
sabbatisai	s a b a t i z e
sabbatisaient	s a b a t i z ɛ
sabbatisais	s a b a t i z ɛ
sabbatisait	s a b a t i z ɛ
sabbatisant	s a b a t i z ɑ̃
sabbatisas	s a b a t i z ɑ
sabbatisasse	s a b a t i z a s
sabbatisassent	s a b a t i z a s
sabbatisasses	s a b a t i z a s
sabbatisassiez	s a b a t i z a s j e
sabbatisassions	s a b a t i z a s j ɔ̃
sabbatise	s a b a t i z
sabbatisent	s a b a t i z
sabbatiser	s a b a t i z e
sabbatisera	s a b a t i z ʁ a
sabbatiserai	s a b a t i z ʁ e
sabbatiseraient	s a b a t i z ʁ ɛ
sabbatiserais	s a b a t i z ʁ ɛ
sabbatiserait	s a b a t i z ʁ ɛ
sabbatiseras	s a b a t i z ʁ ɑ
sabbatiserez	s a b a t i z ʁ e
sabbatiseriez	s a b a t i z ə ʁ j e
sabbatiserions	s a b a t i z ə ʁ j ɔ̃
sabbatiserons	s a b a t i z ʁ ɔ̃
sabbatiseront	s a b a t i z ʁ ɔ̃
sabbatises	s a b a t i z
sabbatisez	s a b a t i z e
sabbatisiez	s a b a t i z j e
sabbatisions	s a b a t i z j ɔ̃
sabbatisme	s a b a t i s m
sabbatisons	s a b a t i z ɔ̃
sabbatiste	s a b a t i s t
sabbatisâmes	s a b a t i z ɑ m
sabbatisât	s a b a t i z ɑ
sabbatisâtes	s a b a t i z ɑ t
sabbatisèrent	s a b a t i z ɛ ʁ
sabbatisé	s a b a t i z e
sabine	s a b i n
sabir	s a b i ʁ
sabla	s a b l a
sablai	s a b l e
sablaient	s a b l ɛ
sablais	s a b l ɛ
sablait	s a b l ɛ
sablant	s a b l ɑ̃
sablas	s a b l ɑ
sablasse	s a b l a s
sablassent	s a b l a s
sablasses	s a b l a s
sablassiez	s a b l a s j e
sablassions	s a b l a s j ɔ̃
sable	s a b l
sablent	s a b l
sabler	s a b l e
sablera	s a b l ə ʁ a
sablerai	s a b l ə ʁ e
sableraient	s a b l ə ʁ ɛ
sablerais	s a b l ə ʁ ɛ
sablerait	s a b l ə ʁ ɛ
