わ゙	b a̠̠
まどう	m a̠ d o̞ ɯ̟ᵝ
まどうし	m a̠ d o̞ː ɕ i
まどガラス	m a̠ d o̞ ɡ a̠ ɾ a̠ s ɨᵝ
まどぎわ	m a̠ d o̞ ɡʲ i ɰᵝ a̠
まどぎわぞく	m a̠ d o̞ ɡʲ i ɰᵝ a̠ z o̞ k ɯ̟ᵝ
まどだい	m a̠ d o̞ d a̠ i
まどろい	m a̠ d o̞ ɾ o̞ i
まどろこい	m a̠ d o̞ ɾ o̞ k o̞ i
まどろこしい	m a̠ d o̞ ɾ o̞ k o̞ ɕ iː
まどろっこしい	m a̠ d o̞ ɾ o̞ k̚ k o̞ ɕ iː
まどろむ	m a̠ d o̞ ɾ o̞ m ɯ̟ᵝ
マドンナ	m a̠ d õ̞ nː a̠
マナ	m a̠ n a̠
あい	a̠ i
まな	m a̠ n a̠
まな	m a̠ n a̠
まないた	m a̠ n a̠ i t a̠
まないた	m a̠ n a̠ i t a̠
そ	s o̞
まながつお	m a̠ n a̠ ɡ a̠ t͡s ɨᵝ o̞
マナグア	m a̠ n a̠ ɡ ɯ̟ᵝ a̠
まなこ	m a̠ n a̠ k o̞
まなざし	m a̠ n a̠ z a̠ ɕ i
マナティー	m a̠ n a̠ tʲ iː
まなびや	m a̠ n a̠ bʲ i j a̠
がくしゃ	ɡ a̠ k ɯ̟ᵝ ɕ a̠
まなぶ	m a̠ n a̠ b ɯ̟ᵝ
まぶた	m a̠ b ɯ̟ᵝ t a̠
まなむすめ	m a̠ n a̠ m ɯ̟ᵝ s ɨᵝ m e̞
まに	m a̠ ɲ̟ i
マニア	m a̠ ɲ̟ i a̠
まにあう	m a̠ ɲ̟ i a̠ ɯ̟ᵝ
マニアック	m a̠ ɲ̟ i a̠ k̚ k ɯ̟ᵝ
マニエリスム	m a̠ ɲ̟ i e̞ ɾʲ i s ɨᵝ m ɯ̟ᵝ
マニキュア	m a̠ ɲ̟ i kʲ ɨᵝ a̠
マニきょう	m a̠ ɲ̟ i kʲ o̞ː
マニトバ	m a̠ ɲ̟ i t o̞ b a̠
マニフェスト	m a̠ ɲ̟ i ɸ e̞ s ɨᵝ t o̞
まにゅう	m a̠ ɲ̟ ɯ̟ᵝː
マニューシャ	m a̠ ɲ̟ ɯ̟ᵝː ɕ a̠
マニラ	m a̠ ɲ̟ i ɾ a̠
マヌカハニー	m a̠ n ɯ̟ᵝ k a̠ h a̠ ɲ̟ iː
まぬかれる	m a̠ n ɯ̟ᵝ k a̠ ɾ e̞ ɾ ɯ̟ᵝ
マヌカン	m a̠ n ɯ̟ᵝ k ã̠ ɴ
まぬけ	m a̠ n ɯ̟ᵝ k e̞
まね	m a̠ n e̞
まねる	m a̠ n e̞
マネー	m a̠ n e̞ː
マネーロンダリング	m a̠ n e̞ː ɾ õ̞ n d a̠ ɾʲ ĩ ŋ ɡ ɯ̟ᵝ
マネー・ロンダリング	m a̠ n e̞ː ɾ õ̞ n d a̠ ɾʲ ĩ ŋ ɡ ɯ̟ᵝ
まねき	m a̠ n e̞ kʲ i
まねきねこ	m a̠ n e̞ kʲ i n e̞ k o̞
マネキン	m a̠ n e̞ kʲ ĩ ɴ
まねく	m a̠ n e̞ k ɯ̟ᵝ
まねごと	m a̠ n e̞ ɡ o̞ t o̞
まねしつぐみ	m a̠ n e̞ ɕ i̥ t͡s ɨᵝ ɡ ɯ̟ᵝ mʲ i
マネロン	m a̠ n e̞ ɾ õ̞ ɴ
まのあたり	m a̠ n o̞ a̠ t a̠ ɾʲ i
まひる	m a̠ ç i ɾ ɯ̟ᵝ
まひわ	m a̠ ç i ɰᵝ a̠
まびく	m a̠ bʲ i k ɯ̟ᵝ
あさぬの	a̠ s a̠ n ɯ̟ᵝ n o̞
マフィア	m a̠ ɸʲ i a̠
まふたつ	m a̠ ɸ ɯ̟ᵝ t a̠ t͡s ɨᵝ
まふゆ	m a̠ ɸ ɯ̟ᵝ j ɯ̟ᵝ
マフラー	m a̠ ɸ ɯ̟ᵝ ɾ a̠ː
まばゆい	m a̠ b a̠ j ɯ̟ᵝ i
まぶしい	m a̠ b ɯ̟ᵝ ɕ i i
もる	m o̞ ɾ ɯ̟ᵝ
マプト	m a̠ p ɯ̟ᵝ t o̞
まとも	m a̠ t o̞ m o̞
まほう	m a̠ h o̞ː
まほうつかい	m a̠ h o̞ː t͡s ɨ̥ᵝ k a̠ i
まほうのつえ	m a̠ h o̞ː n o̞ t͡s ɨᵝ e̞
まほうびん	m a̠ h o̞ː bʲ ĩ ɴ
まほし	m a̠ h o̞ ɕ i
まぼろし	m a̠ b o̞ ɾ o̞ ɕ i
まぼろしとう	m a̠ b o̞ ɾ o̞ ɕ i t o̞ː
まま	m a̠ m a̠
ママ	m a̠ m a̠
ままごと	m a̠ m a̠ ɡ o̞ t o̞
けいふ	k e̞ː ɸ ɯ̟ᵝ
ママチャリ	m a̠ m a̠ t͡ɕ a̠ ɾʲ i
ママっこ	m a̠ m a̠ k̚ k o̞
ママとも	m a̠ m a̠ t o̞ m o̞
けいぼ	k e̞ː b o̞
ママレード	m a̠ m a̠ ɾ e̞ː d o̞
まみい	m a̠ mʲ iː
まみず	m a̠ mʲ i z ɨᵝ
まみれる	m a̠ mʲ i ɾ e̞ ɾ ɯ̟ᵝ
はみ	h a̠ mʲ i
ちゅうじつ	t͡ɕ ɨᵝː ʑ i t͡s ɨᵝ
まめ	m a̠ m e̞
まめうまし	m a̠ m e̞ ɯ̟ᵝ m a̠ ɕ i
まめがら	m a̠ m e̞ ɡ a̠ ɾ a̠
まめきゅう	m a̠ m e̞ kʲ ɨᵝː
まめちしき	m a̠ m e̞ t͡ɕ i ɕ i kʲ i
まめでんきゅう	m a̠ m e̞ d ẽ̞ ŋʲ kʲ ɨᵝː
まめまめしい	m a̠ m e̞ m a̠ m e̞ ɕ iː
まめまわし	m a̠ m e̞ m a̠ ɰᵝ a̠ ɕ i
まもう	m a̠ m o̞ː
まもの	m a̠ m o̞ n o̞
まもり	m a̠ m o̞ ɾʲ i
まもる	m a̠ m o̞ ɾ ɯ̟ᵝ
けん	k ẽ̞ ɴ
まやく	m a̠ j a̠ k ɯ̟ᵝ
まゆ	m a̠ j ɯ̟ᵝ
まゆ	m a̠ j ɯ̟ᵝ
まゆげ	m a̠ j ɯ̟ᵝ ɡ e̞
まゆね	m a̠ j ɯ̟ᵝ n e̞
まゆみ	m a̠ j ɯ̟ᵝ mʲ i
まよいこむ	m a̠ j o̞ i k o̞ m ɯ̟ᵝ
まよいせん	m a̠ j o̞ i s ẽ̞ ɴ
まよう	m a̠ j o̞ ɯ̟ᵝ
まよなか	m a̠ j o̞ n a̠ k a̠
マヨネーズ	m a̠ j o̞ n e̞ː z ɨᵝ
マヨラー	m a̠ j o̞ ɾ a̠ː
まよわす	m a̠ j o̞ ɰᵝ a̠ s ɨᵝ
マラウイ	m a̠ ɾ a̠ ɯ̟ᵝ i
マラソン	m a̠ ɾ a̠ s õ̞ ɴ
マラッカ	m a̠ ɾ a̠ k̚ k a̠
マラリア	m a̠ ɾ a̠ ɾʲ i a̠
マリ	m a̠ ɾʲ i
マリア	m a̠ ɾʲ i a̠
マリオネット	m a̠ ɾʲ i o̞ n e̞ t̚ t o̞
まりょく	m a̠ ɾʲ o̞ k ɯ̟ᵝ
マリネ	m a̠ ɾʲ i n e̞
マリファナ	m a̠ ɾʲ i ɸ a̠ n a̠
まりも	m a̠ ɾʲ i m o̞
マリンバ	m a̠ ɾʲ ĩ m b a̠
えん	ẽ̞ ɴ
まるあらい	m a̠ ɾ ɯ̟ᵝ a̠ ɾ a̠ i
まるい	m a̠ ɾ ɯ̟ᵝ i
マルウェア	m a̠ ɾ ɯ̟ᵝ ɰᵝ e̞ a̠
まるかじり	m a̠ ɾ ɯ̟ᵝ k a̠ ʑ i ɾʲ i
まるかっこ	m a̠ ɾ ɯ̟ᵝ k a̠ k̚ k o̞
まるがお	m a̠ ɾ ɯ̟ᵝ ɡ a̠ o̞
マルクスしゅぎ	m a̠ ɾ ɯ̟ᵝ k ɯ̟̊ᵝ s ɨᵝ ɕ ɨᵝ ɡʲ i
マルコフれんさ	m a̠ ɾ ɯ̟ᵝ k o̞ ɸ ɯ̟ᵝ ɾ ẽ̞ ɰ̃ s a̠
まるごと	m a̠ ɾ ɯ̟ᵝ ɡ o̞ t o̞
マルサスしゅぎ	m a̠ ɾ ɯ̟ᵝ s a̠ s ɨᵝ ̥ ɕ ɨᵝ ɡʲ i
まるシー	m a̠ ɾ ɯ̟ᵝ ɕ iː
マルス	m a̠ ɾ ɯ̟ᵝ s ɨᵝ
まるた	m a̠ ɾ ɯ̟ᵝ t a̠
まるたごや	m a̠ ɾ ɯ̟ᵝ t a̠ ɡ o̞ j a̠
まるだし	m a̠ ɾ ɯ̟ᵝ d a̠ ɕ i
マルチーズ	m a̠ ɾ ɯ̟ᵝ t͡ɕ iː z ɨᵝ
マルチしょうほう	m a̠ ɾ ɯ̟ᵝ t͡ɕ i ̥ ɕ o̞ː h o̞ː
まるっこい	m a̠ ɾ ɯ̟ᵝ k̚ k o̞ i
まるで	m a̠ ɾ ɯ̟ᵝ d e̞
まるのうち	m a̠ ɾ ɯ̟ᵝ n o̞ ɯ̟ᵝ t͡ɕ i
まるのみ	m a̠ ɾ ɯ̟ᵝ n o̞ mʲ i
まるのみ	m a̠ ɾ ɯ̟ᵝ n o̞ mʲ i
まるひ	m a̠ ɾ ɯ̟ᵝ ç i
まるまる	m a̠ ɾ ɯ̟ᵝ m a̠ ɾ ɯ̟ᵝ
まるみえ	m a̠ ɾ ɯ̟ᵝ mʲ i e̞
まるみみぞう	m a̠ ɾ ɯ̟ᵝ mʲ i mʲ i z o̞ː
まるめる	m a̠ ɾ ɯ̟ᵝ m e̞ ɾ ɯ̟ᵝ
マルメロ	m a̠ ɾ ɯ̟ᵝ m e̞ ɾ o̞
まるもじ	m a̠ ɾ ɯ̟ᵝ m o̞ ʑ i
マレーグマ	m a̠ ɾ e̞ː ɡ ɯ̟ᵝ m a̠
マレーバク	m a̠ ɾ e̞ː b a̠ k ɯ̟ᵝ
マレット	m a̠ ɾ e̞ t̚ t o̞
マロン	m a̠ ɾ õ̞ ɴ
まわし	m a̠ ɰᵝ a̠ ɕ i
まわす	m a̠ ɰᵝ a̠ s ɨᵝ
まわりあわせ	m a̠ ɰᵝ a̠ ɾʲ i a̠ ɰᵝ a̠ s e̞
まわりくどい	m a̠ ɰᵝ a̠ ɾʲ i k ɯ̟ᵝ d o̞ i
まわりみち	m a̠ ɰᵝ a̠ ɾʲ i mʲ i t͡ɕ i
まわる	m a̠ ɰᵝ a̠ ɾ ɯ̟ᵝ
まんいん	m ã̠ ɰ̃ ĩ ɴ
まんえい	m ã̠ ɰ̃ e̞ː
まんえん	m ã̠ ɰ̃ ẽ̞ ɴ
まんかんしょく	m ã̠ ŋ k ã̠ ɰ̃ ɕ o̞ k ɯ̟ᵝ
まんかんぜんせき	m ã̠ ŋ k ã̠ n d͡z ẽ̞ ɰ̃ s e̞ kʲ i
まんが	m ã̠ ŋ ɡ a̠
まんがか	m ã̠ ŋ ɡ a̠ k a̠
まんがきっさ	m ã̠ ŋ ɡ a̠ kʲ i sː a̠
まんがじ	m ã̠ ŋ ɡ a̠ ʑ i
マンガン	m ã̠ ŋ ɡ ã̠ ɴ
マンガン	m ã̠ ŋ ɡ ã̠ ɴ
まんきつ	m ã̠ ŋʲ kʲ i t͡s ɨᵝ
マンクス	m ã̠ ŋ k ɯ̟̊ᵝ s ɨᵝ
マングース	m ã̠ ŋ ɡ ɯ̟ᵝː s ɨᵝ
まんけん	m ã̠ ŋ k ẽ̞ ɴ
まんげつ	m ã̠ ŋ ɡ e̞ t͡s ɨᵝ
まんこ	m ã̠ ŋ k o̞
マンゴスチン	m ã̠ ŋ ɡ o̞ s ɨᵝ t͡ɕ ĩ ɴ
マンゴー	m ã̠ ŋ ɡ o̞ː
ばんぜい	b ã̠ n d͡z e̞ː
まんざい	m ã̠ n d͡z a̠ i
まんざら	m ã̠ n d͡z a̠ ɾ a̠
まんざらでもない	m ã̠ n d͡z a̠ ɾ a̠ d e̞ m o̞ n a̠ i
まんしゅうご	m ã̠ ɰ̃ ɕ ɨᵝː ɡ o̞
まんしゅうじん	m ã̠ ɰ̃ ɕ ɨᵝː ʑ ĩ ɴ
マンション	m ã̠ ɰ̃ ɕ õ̞ ɴ
まんしん	m ã̠ ɰ̃ ɕ ĩ ɴ
まんしん	m ã̠ ɰ̃ ɕ ĩ ɴ
まんじ	m ã̠ ɲ̟ d͡ʑ i
まんじともえ	m ã̠ ɲ̟ d͡ʑ i t o̞ m o̞ e̞
まんじゅう	m ã̠ ɲ̟ d͡ʑ ɨᵝː
まんじゅしゃげ	m ã̠ ɲ̟ d͡ʑ ɨᵝ ɕ a̠ ɡ e̞
まんじゅしゃげ	m ã̠ ɲ̟ d͡ʑ ɨᵝ ɕ a̠ ɡ e̞
まんじょう	m ã̠ ɲ̟ d͡ʑ o̞ː
まんじょういっち	m ã̠ ɲ̟ d͡ʑ o̞ː i t̚ t͡ɕ i
まんせき	m ã̠ ɰ̃ s e̞ kʲ i
まんぞくかん	m ã̠ n d͡z o̞ k ɯ̟ᵝ k ã̠ ɴ
まんぞくど	m ã̠ n d͡z o̞ k ɯ̟ᵝ d o̞
まんタン	m ã̠ n t ã̠ ɴ
まんだら	m ã̠ n d a̠ ɾ a̠
まんだら	m ã̠ n d a̠ ɾ a̠
マンティーカ	m ã̠ n tʲ iː k a̠
まんてん	m ã̠ n t ẽ̞ ɴ
どうだんつつじ	d o̞ː d ã̠ n t͡s ɨᵝ t͡s ɨᵝ ʑ i
マント	m ã̠ n t o̞
マンドリル	m ã̠ n d o̞ ɾʲ i ɾ ɯ̟ᵝ
まんなか	m ã̠ nː a̠ k a̠
マンネリか	m ã̠ nː e̞ ɾʲ i k a̠
まんねんひつ	m ã̠ nː ẽ̞ ɰ̃ ɸ ɯ̟ᵝ d e̞
ばんのう	b ã̠ nː o̞ː
まんぷく	m ã̠ m p ɯ̟ᵝ k ɯ̟ᵝ
マンホール	m ã̠ ɰ̃ h o̞ː ɾ ɯ̟ᵝ
マンボ	m ã̠ m b o̞
まんぼう	m ã̠ m b o̞ː
まんぽけい	m ã̠ m p o̞ k e̞ː
まんま	m ã̠ mː a̠
まんまえ	m ã̠ mː a̠ e̞
まんまる	m ã̠ mː a̠ ɾ ɯ̟ᵝ
まんまるい	m ã̠ mː a̠ ɾ ɯ̟ᵝ i
まんまん	m ã̠ mː ã̠ ɴ
まんまんがいち	m ã̠ mː ã̠ ŋ ɡ a̠ i t͡ɕ i
まんめん	m ã̠ mː ẽ̞ ɴ
マンモス	m ã̠ mː o̞ s ɨᵝ
まんよう	m ã̠ ɰ̃ j o̞ː
まんようがな	m ã̠ ɰ̃ j o̞ː ɡ a̠ n a̠
まんりょう	m ã̠ n ɾʲ o̞ː
まんるい	m ã̠ n ɾ ɯ̟ᵝ i
まんをじす	m ã̠ ɰ̃ o̞ d͡ʑ i s ɨᵝ
まんをじする	m ã̠ ɰ̃ o̞ d͡ʑ i s ɨᵝ ɾ ɯ̟ᵝ
み	mʲ i
ミ	mʲ i
み	mʲ i
みあい	mʲ i a̠ i
みあう	mʲ i a̠ ɯ̟ᵝ
みあきる	mʲ i a̠ kʲ i ɾ ɯ̟ᵝ
みあげる	mʲ i a̠ ɡ e̞ ɾ ɯ̟ᵝ
みあたる	mʲ i a̠ t a̠ ɾ ɯ̟ᵝ
ミー	mʲ iː
さん	s ã̠ ɴ
ミーアキャット	mʲ iː a̠ kʲ a̠ t̚ t o̞
みいだす	mʲ iː d a̠ s ɨᵝ
ミーティング	mʲ iː tʲ ĩ ŋ ɡ ɯ̟ᵝ
ミートボール	mʲ iː t o̞ b o̞ː ɾ ɯ̟ᵝ
ミーム	mʲ iː m ɯ̟ᵝ
みいら	mʲ iː ɾ a̠
ミイラとりがミイラになる	mʲ iː ɾ a̠ t o̞ ɾʲ i ɡ a̠ mʲ iː ɾ a̠ ɲ̟ i n a̠ ɾ ɯ̟ᵝ
ミーン	mʲ ĩː ɴ
みうける	mʲ i ɯ̟ᵝ k e̞ ɾ ɯ̟ᵝ
みうしなう	mʲ i ɯ̟ᵝ ɕ i n a̠ ɯ̟ᵝ
みうら	mʲ i ɯ̟ᵝ ɾ a̠
みぇ	mʲ e̞
ミェ	mʲ e̞
さんじゅう	mʲ i e̞
みえけん	mʲ i e̞ k ẽ̞ ɴ
みえみえ	mʲ i e̞ mʲ i e̞
ミエリンしょう	mʲ i e̞ ɾʲ ĩ ɰ̃ ɕ o̞ː
みえる	mʲ i e̞ ɾ ɯ̟ᵝ
みお	mʲ i o̞
みお	mʲ i o̞
みおくる	mʲ i o̞ k ɯ̟ᵝ ɾ ɯ̟ᵝ
みおさめ	mʲ i o̞ s a̠ m e̞
みおとす	mʲ i o̞ t o̞ s ɨᵝ
みおぼえ	mʲ i o̞ b o̞ e̞
みおぼえる	mʲ i o̞ b o̞ e̞ ɾ ɯ̟ᵝ
みおろす	mʲ i o̞ ɾ o̞ s ɨᵝ
みかえす	mʲ i k a̠ e̞ s ɨᵝ
みかぎる	mʲ i k a̠ ɡʲ i ɾ ɯ̟ᵝ
みかくにん	mʲ i k a̠ k ɯ̟ᵝ ɲ̟ ĩ ɴ
みかくにんひこうぶったい	mʲ i k a̠ k ɯ̟ᵝ ɲ̟ ĩ ɰ̃ ç i̥ k o̞ː b ɯ̟ᵝ t̚ t a̠ i
みかける	mʲ i k a̠ k e̞ ɾ ɯ̟ᵝ
みかず	s ã̠ ɰ̃ i t͡ɕ i
みかた	mʲ i k a̠ t a̠
みかた	mʲ i k a̠ t a̠
みかづき	mʲ i k a̠ z ɨᵝ kʲ i
みかん	mʲ i k ã̠ ɴ
みっかん	mʲ i k̚ k ã̠ ɴ
みがく	mʲ i ɡ a̠ k ɯ̟ᵝ
みがら	mʲ i ɡ a̠ ɾ a̠
みがわり	mʲ i ɡ a̠ ɰᵝ a̠ ɾʲ i
びき	bʲ i kʲ i
けんぶん	k ẽ̞ m b ɯ̟̃ᵝ ɴ
みきき	mʲ i kʲ i̥ kʲ i
みきわめる	mʲ i kʲ i ɰᵝ a̠ m e̞ ɾ ɯ̟ᵝ
みぎがわ	mʲ i ɡʲ i ɡ a̠ ɰᵝ a̠
みぎきき	mʲ i ɡʲ i kʲ i kʲ i
みぎひだり	mʲ i ɡʲ i ç i d a̠ ɾʲ i
なぎさ	n a̠ ɡʲ i s a̠
みくだす	mʲ i k ɯ̟ᵝ d a̠ s ɨᵝ
みくだりはん	mʲ i k ɯ̟ᵝ d a̠ ɾʲ i h ã̠ ɴ
みくびる	mʲ i k ɯ̟ᵝ bʲ i ɾ ɯ̟ᵝ
みくらべる	mʲ i k ɯ̟ᵝ ɾ a̠ b e̞ ɾ ɯ̟ᵝ
みぐるしい	mʲ i ɡ ɯ̟ᵝ ɾ ɯ̟ᵝ ɕ i i
みけ	mʲ i k e̞
みけねこ	mʲ i k e̞ n e̞ k o̞
かんなぎ	k ã̠ nː a̠ ɡʲ i
みこともち	mʲ i k o̞ t o̞ m o̞ t͡ɕ i
みこむ	mʲ i k o̞ m ɯ̟ᵝ
みごと	mʲ i ɡ o̞ t o̞
みごもる	mʲ i ɡ o̞ m o̞ ɾ ɯ̟ᵝ
みごろし	mʲ i ɡ o̞ ɾ o̞ ɕ i
ミサ	mʲ i s a̠
ミサイル	mʲ i s a̠ i ɾ ɯ̟ᵝ
みさかい	mʲ i s a̠ k a̠ i
みさこ	mʲ i s a̠ k o̞
みさこ	mʲ i s a̠ k o̞
みさこ	mʲ i s a̠ k o̞
みさこ	mʲ i s a̠ k o̞
みさこ	mʲ i s a̠ k o̞
みさご	mʲ i s a̠ ɡ o̞
みささぎ	mʲ i s a̠ s a̠ ɡʲ i
ミサンガ	mʲ i s ã̠ ŋ ɡ a̠
みして	mʲ i ɕ i t e̞
みしょう	mʲ i ɕ o̞ː
みしょうぶん	mʲ i ɕ o̞ː b ɯ̟̃ᵝ ɴ
みしよう	mʲ i ɕ i j o̞ː
みしようひん	mʲ i ɕ i j o̞ː ç ĩ ɴ
みしり	mʲ i ɕ i ɾʲ i
じ	d͡ʑ i
ミシン	mʲ i ɕ ĩ ɴ
みしん	mʲ i ɕ ĩ ɴ
みしんじゃ	mʲ i ɕ ĩ ɲ̟ d͡ʑ a̠
ミシンめ	mʲ i ɕ ĩ mː e̞
みじかい	mʲ i ʑ i k a̠ i
みじめ	mʲ i ʑ i m e̞
みじゅく	mʲ i ʑ ɨᵝ k ɯ̟ᵝ
みじゅくもの	mʲ i ʑ ɨᵝ k ɯ̟ᵝ m o̞ n o̞
みじんぎり	mʲ i ʑ ĩ ŋʲ ɡʲ i ɾʲ i
みじんこ	mʲ i ʑ ĩ ŋ k o̞
みじんこ	mʲ i ʑ ĩ ŋ k o̞
ミス	mʲ i s ɨᵝ
みすえる	mʲ i s ɨᵝ e̞ ɾ ɯ̟ᵝ
ミスダンディ	mʲ i s ɨᵝ d ã̠ n dʲ i
みすてる	mʲ i s ɨᵝ t e̞ ɾ ɯ̟ᵝ
ミストレス	mʲ i s ɨ̥ᵝ t o̞ ɾ e̞ s ɨᵝ
みすぼらしい	mʲ i s ɨᵝ b o̞ ɾ a̠ ɕ i i
ミスる	mʲ i s ɨᵝ ɾ ɯ̟ᵝ
みずいらず	mʲ i z ɨᵝ i ɾ a̠ z ɨᵝ
みずいれ	mʲ i z ɨᵝ i ɾ e̞
みずうみ	mʲ i z ɨᵝ ɯ̟ᵝ mʲ i
みずかげ	mʲ i z ɨᵝ k a̠ ɡ e̞
みずから	mʲ i z ɨᵝ k a̠ ɾ a̠
すいぎん	s ɨᵝ i ɡʲ ĩ ɴ
みずがめざ	mʲ i z ɨᵝ ɡ a̠ m e̞ z a̠
みずがめざ	mʲ i z ɨᵝ ɡ a̠ m e̞ z a̠
みずきり	mʲ i z ɨᵝ kʲ i ɾʲ i
みずぎ	mʲ i z ɨᵝ ɡʲ i
みずぎわだつ	mʲ i z ɨᵝ ɡʲ i ɰᵝ a̠ d a̠ t͡s ɨᵝ
すいやく	s ɨᵝ i j a̠ k ɯ̟ᵝ
みずぐも	mʲ i z ɨᵝ ɡ ɯ̟ᵝ m o̞
みずこ	mʲ i z ɨᵝ k o̞
みずさし	mʲ i z ɨᵝ s a̠ ɕ i
みずさわ	mʲ i z ɨᵝ s a̠ ɰᵝ a̠
みずすまし	mʲ i z ɨᵝ s ɨᵝ m a̠ ɕ i
みずたま	mʲ i z ɨᵝ t a̠ m a̠
みずたまり	mʲ i z ɨᵝ t a̠ m a̠ ɾʲ i
みずでっぽう	mʲ i z ɨᵝ d e̞ p̚ p o̞ː
みずのあわ	mʲ i z ɨᵝ n o̞ a̠ ɰᵝ a̠
じん	d͡ʑ ĩ ɴ
き	kʲ i
すいちゅう	s ɨᵝ i t͡ɕ ɨᵝː
みせ	mʲ i s e̞
みせかける	mʲ i s e̞ k a̠ k e̞ ɾ ɯ̟ᵝ
みせば	mʲ i s e̞ b a̠
みせパン	mʲ i s e̞ p ã̠ ɴ
みせびらかす	mʲ i s e̞ bʲ i ɾ a̠ k a̠ s ɨᵝ
みせる	mʲ i s e̞ ɾ ɯ̟ᵝ
みぜんけい	mʲ i z ẽ̞ ŋ k e̞ː
みそ	mʲ i s o̞
みぞうう	mʲ i z o̞ː ɯ̟ᵝ
さんじゅうにち	s ã̠ ɲ̟ d͡ʑ ɨᵝː ɲ̟ i t͡ɕ i
かいじつ	k a̠ i ʑ i t͡s ɨᵝ
みそぎ	mʲ i s o̞ ɡʲ i
みそしる	mʲ i s o̞ ɕ i ɾ ɯ̟ᵝ
さんじゅう	s ã̠ ɲ̟ d͡ʑ ɨᵝː
みそち	mʲ i s o̞ t͡ɕ i
みそっかす	mʲ i s o̞ k̚ k a̠ s ɨᵝ
みぞれ	mʲ i z o̞ ɾ e̞
みたい	mʲ i t a̠ i
みたいけん	mʲ i t a̠ i k ẽ̞ ɴ
みたす	mʲ i t a̠ s ɨᵝ
ちんこん	t͡ɕ ĩ ŋ k õ̞ ɴ
みだし	mʲ i d a̠ ɕ i
みだしご	mʲ i d a̠ ɕ i ɡ o̞
みだす	mʲ i d a̠ s ɨᵝ
みだれば	mʲ i d a̠ ɾ e̞ b a̠
みだれる	mʲ i d a̠ ɾ e̞ ɾ ɯ̟ᵝ
みち	mʲ i t͡ɕ i
みち	mʲ i t͡ɕ i
みつ	mʲ i t͡s ɨᵝ
どう	d o̞ː
みちえ	mʲ i t͡ɕ i e̞
みちお	mʲ i t͡ɕ i o̞
みちがえる	mʲ i t͡ɕ i ɡ a̠ e̞ ɾ ɯ̟ᵝ
みちくさをくう	mʲ i t͡ɕ i k ɯ̟ᵝ s a̠ o̞ k ɯ̟ᵝː
みちすじ	mʲ i t͡ɕ i s ɨᵝ ʑ i
みちたか	mʲ i t͡ɕ i t a̠ k a̠
みちたりる	mʲ i t͡ɕ i t a̠ ɾʲ i ɾ ɯ̟ᵝ
みちづれ	mʲ i t͡ɕ i z ɨᵝ ɾ e̞
どうちゅう	d o̞ː t͡ɕ ɨᵝː
みちのり	mʲ i t͡ɕ i n o̞ ɾʲ i
ミチバシリ	mʲ i t͡ɕ i b a̠ ɕ i ɾʲ i
みちひき	mʲ i t͡ɕ i ç i kʲ i
みちひさ	mʲ i t͡ɕ i ç i s a̠
みちびく	mʲ i t͡ɕ i bʲ i k ɯ̟ᵝ
みちみちる	mʲ i t͡ɕ i mʲ i t͡ɕ i ɾ ɯ̟ᵝ
みちゆき	mʲ i t͡ɕ i j ɯ̟ᵝ kʲ i
どうぎょう	mʲ i t͡ɕ i j ɯ̟ᵝ kʲ i
みちゆき	mʲ i t͡ɕ i j ɯ̟ᵝ kʲ i
みちる	mʲ i t͡ɕ i ɾ ɯ̟ᵝ
みぢか	mʲ i ʑ i k a̠
みっか	mʲ i k̚ k a̠
みっきょう	mʲ i k̚ʲ kʲ o̞ː
みっけ	mʲ i k̚ k e̞
みっしつ	mʲ i ɕː i t͡s ɨᵝ
みっせつ	mʲ i sː e̞ t͡s ɨᵝ
みっちゃく	mʲ i t̚ t͡ɕ a̠ k ɯ̟ᵝ
みっつ	mʲ i t̚ t͡s ɨᵝ
みっつう	mʲ i t̚ t͡s ɨᵝː
みっともない	mʲ i t̚ t o̞ m o̞ n a̠ i
ミッドリフ	mʲ i d̚ d̥ o̞ ɾʲ i ɸ ɯ̟ᵝ
みつ	mʲ i t͡s ɨᵝ
ミツアナグマ	mʲ i t͡s ɨᵝ a̠ n a̠ ɡ ɯ̟ᵝ m a̠
みつあみ	mʲ i t͡s ɨᵝ a̠ mʲ i
みつお	mʲ i t͡s ɨᵝ o̞
みつお	mʲ i t͡s ɨᵝ o̞
みつかる	mʲ i t͡s ɨ̥ᵝ k a̠ ɾ ɯ̟ᵝ
みつかる	mʲ i t͡s ɨ̥ᵝ k a̠ ɾ ɯ̟ᵝ
みつくりざめ	mʲ i t͡s ɨ̥ᵝ k ɯ̟ᵝ ɾʲ i z a̠ m e̞
みつける	mʲ i t͡s ɨᵝ k e̞ ɾ ɯ̟ᵝ
みつける	mʲ i t͡s ɨ̥ᵝ k e̞ ɾ ɯ̟ᵝ
みつげつ	mʲ i t͡s ɨᵝ ɡ e̞ t͡s ɨᵝ
みつだそう	mʲ i t͡s ɨᵝ d a̠ s o̞ː
みつどもえ	mʲ i t͡s ɨᵝ d o̞ m o̞ e̞
みつのみつ	mʲ i t͡s ɨᵝ n o̞ mʲ i t͡s ɨᵝ
みつばち	mʲ i t͡s ɨᵝ b a̠ t͡ɕ i
みつまた	mʲ i t͡s ɨᵝ m a̠ t a̠
