а	ɑ
уманець	ʊ m ɐ n ɛ t͡sʲ
умань	u m ɐ nʲ
умерти	ʊ m ɛ r t e
умирати	ʊ m e r ɑ t e
умова	ʊ m ɔ ʋ ɐ
умовах	ʊ m ɔ ʋ ɐ x
умовний	ʊ m ɔ u̯ n e i̯
уможливити	ʊ m ɔ ʒ ɫ ɪ ʋ e t e
уможливлювати	ʊ m ɔ ʒ ɫ ɪ u̯ lʲ ʊ ʋ ɐ t e
уникати	ʊ n e k ɑ t e
уникнути	ʊ n ɪ k n ʊ t e
універсальний	ʊ nʲ i ʋ e r s ɑ lʲ n e i̯
універсальність	ʊ nʲ i ʋ e r s ɑ lʲ nʲ i sʲ tʲ
університет	ʊ nʲ i ʋ e r s e t ɛ t
університетський	ʊ nʲ i ʋ e r s e t ɛ t͡sʲ k e i̯
унікальний	ʊ nʲ i k ɑ lʲ n e i̯
упасти	ʊ p ɑ s t e
уподібнення	ʊ p o dʲ i b n e nʲː ɐ
управління	ʊ p r ɐ u̯ lʲ i nʲː ɐ
ураження	ʊ r ɑ ʒ e nʲː ɐ
уродливий	ʊ r ɔ d ɫ ɪ ʋ e i̯
урожай	ʊ r ɔ ʒ ɑ i̯
урок	u r ɔ k
урок	ʊ r ɔ k
уряд	u rʲ ɐ d
уряд	ʊ rʲ ɑ d
усмішка	u sʲ mʲ i ʃ k ɐ
усмішка	ʊ sʲ mʲ i ʃ k ɐ
успіх	u sʲ pʲ i x
успішний	ʊ sʲ pʲ i ʃ n e i̯
уста	ʊ s t ɑ
уставати	ʊ s t ɐ ʋ ɑ t e
установа	ʊ s t ɐ n ɔ ʋ ɐ
установити	ʊ s t ɐ n ɔ ʋ ɪ t e
установлювати	ʊ s t ɐ n ɔ u̯ lʲ ʊ ʋ ɐ t e
устриця	u s t r e t͡sʲ ɐ
утомлений	ʊ t ɔ m ɫ e n e i̯
учасник	ʊ t͡ʃ ɑ s n e k
участь	u t͡ʃ ɐ sʲ tʲ
учень	u t͡ʃ e nʲ
учитель	ʊ t͡ʃ ɪ t e lʲ
учора	ʊ t͡ʃ ɔ r ɐ
уявляти	ʊ j ɐ u̯ lʲ ɑ t e
фабрика	f ɑ b r e k ɐ
фагот	f ɐ ɦ ɔ t
файний	f ɑ i̯ n e i̯
файно	f ɑ i̯ n ɔ
факт	f ɑ k t
фактичний	f ɐ k t ɪ t͡ʃ n e i̯
фактично	f ɐ k t ɪ t͡ʃ n ɔ
фальш	f ɑ lʲ ʃ
фальшивий	f ɐ lʲ ʃ ɪ ʋ e i̯
фараон	f ɐ r ɐ ɔ n
фарба	f ɑ r b ɐ
фауна	f ɑ ʊ n ɐ
фах	f ɑ x
фахівець	f ɐ xʲ i ʋ ɛ t͡sʲ
фашизм	f ɐ ʃ ɪ z m
федерація	f e d e r ɑ t͡sʲ i j ɐ
федорович	f e d ɔ r ɔ ʋ e t͡ʃ
федір	f ɛ dʲ i r
ферзь	f ɛ r zʲ
ферма	f ɛ r m ɐ
фестиваль	f e s t e ʋ ɑ lʲ
фонд	f ɔ n d
фонтан	f ɔ n t ɑ n
форель	f ɔ r ɛ lʲ
форма	f ɔ r m ɐ
формування	f ɔ r m ʊ ʋ ɑ nʲː ɐ
формулювати	f ɔ r m ʊ lʲ ʊ ʋ ɑ t e
фортепіано	f ɔ r t e pʲ i ɑ n ɔ
фосфат	f ɔ s f ɑ t
фотель	f ɔ t ɛ lʲ
фотографій	f ɔ t ɔ ɦ r ɑ fʲ i i̯
фотографію	f ɔ t ɔ ɦ r ɑ fʲ i j ʊ
фотографія	f ɔ t ɔ ɦ r ɑ fʲ i j ɐ
фотографіям	f ɔ t ɔ ɦ r ɑ fʲ i j ɐ m
фотографіями	f ɔ t ɔ ɦ r ɑ fʲ i j ɐ m e
фотографіях	f ɔ t ɔ ɦ r ɑ fʲ i j ɐ x
фотографіє	f ɔ t ɔ ɦ r ɑ fʲ i j e
фотографією	f ɔ t ɔ ɦ r ɑ fʲ i j e j ʊ
фотографії	f ɔ t ɔ ɦ r ɑ fʲ i j i
фракція	f r ɑ k t͡sʲ i j ɐ
француз	f r ɐ n t͡s u z
французький	f r ɐ n t͡s u zʲ k e i̯
франція	f r ɑ nʲ t͡sʲ i j ɐ
фрукт	f r u k t
фундаментальний	f ʊ n d ɐ m e n t ɑ lʲ n e i̯
функціональний	f ʊ n k t͡sʲ i ɔ n ɑ lʲ n e i̯
функціонувати	f ʊ n k t͡sʲ i ɔ n ʊ ʋ ɑ t e
функція	f u n k t͡sʲ i j ɐ
фургон	f ʊ r ɦ ɔ n
фюзеляж	fʲ ʊ z e lʲ ɑ ʒ
фізика	fʲ i z e k ɐ
філософ	fʲ i ɫ ɔ s ɔ f
філософія	fʲ i ɫ ɔ s ɔ fʲ i j ɐ
фільм	fʲ i lʲ m
філіжанка	fʲ i lʲ i ʒ ɑ n k ɐ
філіппіни	fʲ i lʲ i pʲː i n e
фінансовий	fʲ i n ɑ n s ɔ ʋ e i̯
фінансування	fʲ i n ɐ n s ʊ ʋ ɑ nʲː ɐ
фінвал	fʲ i n ʋ ɑ ɫ
фінляндія	fʲ i nʲ lʲ ɑ nʲ dʲ i j ɐ
фінський	fʲ i nʲ sʲ k e i̯
фінік	fʲ i nʲ i k
фіолетовий	fʲ i ɔ ɫ ɛ t ɔ ʋ e i̯
фірма	fʲ i r m ɐ
хабар	x ɐ b ɑ r
хава	x ɑ ʋ ɐ
хазяїн	x ɐ zʲ ɑ j i n
хай	x ɑ i̯
халепа	x ɐ ɫ ɛ p ɐ
халепа	x ɑ ɫ e p ɐ
хаос	x ɑ ɔ s
характер	x ɐ r ɑ k t e r
харків	x ɑ r kʲ i u̯
харчування	x ɐ r t͡ʃ ʊ ʋ ɑ nʲː ɐ
хасидизм	x ɐ s e d ɪ z m
хата	x ɑ t ɐ
хвилина	x ʋ e ɫ ɪ n ɐ
хвилинка	x ʋ e ɫ ɪ n k ɐ
хвиля	x ʋ ɪ lʲ ɐ
хворий	x w ɔ r e i̯
хвороба	x w ɔ r ɔ b ɐ
хворіти	x w o rʲ i t e
хвіст	x ʋʲ i s t
херсон	x e r s ɔ n
хибний	x ɪ b n e i̯
хижак	x e ʒ ɑ k
хитрий	x ɪ t r e i̯
хлопець	x ɫ ɔ p e t͡sʲ
хлопчик	x ɫ ɔ p t͡ʃ e k
хліб	x lʲ i b
хлів	x lʲ i u̯
хмара	x m ɑ r ɐ
хмарний	x m ɑ r n e i̯
хмарочос	x m ɐ r ɔ t͡ʃ ɔ s
хмельницький	x m e lʲ n ɪ t͡sʲ k e i̯
хобі	x ɔ bʲ i
ходити	x ɔ d ɪ t e
хозар	x ɔ z ɑ r
холодильник	x ɔ ɫ ɔ d ɪ lʲ n e k
холодний	x ɔ ɫ ɔ d n e i̯
холоднокровний	x ɔ ɫ ɔ d n ɔ k r ɔ u̯ n e i̯
холоднокровність	x ɔ ɫ ɔ d n ɔ k r ɔ u̯ nʲ i sʲ tʲ
хома	x ɔ m ɑ
хорватський	x ɔ r ʋ ɑ t͡sʲ k e i̯
хорватія	x ɔ r ʋ ɑ tʲ i j ɐ
хоробрий	x ɔ r ɔ b r e i̯
хоробрість	x ɔ r ɔ b rʲ i sʲ tʲ
хоронити	x ɔ r ɔ n ɪ t e
хороший	x ɔ r ɔ ʃ e i̯
хотіти	x o tʲ i t e
хоч	x ɔ t͡ʃ
храм	x r ɑ m
хребет	x r e b ɛ t
хрест	x r ɛ s t
христина	x r e s t ɪ n ɐ
християнин	x r e s t e j ɐ n ɪ n
християнин	x r e s t e j ɑ n e n
християнство	x r e s t e j ɑ n s t w ɔ
християнський	x r e s t e j ɑ nʲ sʲ k e i̯
христос	x r e s t ɔ s
хрущ	x r u ʃ t͡ʃ
хтивий	x t ɪ ʋ e i̯
хто	x t ɔ
хтось	x t ɔ sʲ
худий	x ʊ d ɪ i̯
художник	x ʊ d ɔ ʒ n e k
художниця	x ʊ d ɔ ʒ n e t͡sʲ ɐ
хуй	x u i̯
хуйло	x ʊ i̯ ɫ ɔ
хурма	x ʊ r m ɑ
хустка	x u s t k ɐ
хутро	x u t r ɔ
хіба	xʲ i b ɑ
хід	xʲ i d
хімічний	xʲ i mʲ i t͡ʃ n e i̯
хімія	xʲ i mʲ i j ɐ
хірург	xʲ i r u r ɦ
хірургічний	xʲ i r ʊ r ɦʲ i t͡ʃ n e i̯
хірургія	xʲ i r ʊ r ɦʲ i j ɐ
цап	t͡s ɑ p
цапеня	t͡s ɐ p e nʲ ɑ
цар	t͡s ɑ r
цариця	t͡s ɐ r ɪ t͡sʲ ɐ
царство	t͡s ɑ r s t w ɔ
цацка	t͡s ɑ t͡s k ɐ
цвинтар	t͡s ʋ ɪ n t ɐ r
цвях	t͡sʲ ʋʲ ɑ x
цвіркун	t͡sʲ ʋʲ i r k u n
цвіт	t͡sʲ ʋʲ i t
це	t͡s ɛ
цей	t͡s ɛ i̯
целакант	t͡s e ɫ ɐ k ɑ n t
центавр	t͡s e n t ɑ u̯ r
центр	t͡s ɛ n t r
центральний	t͡s e n t r ɑ lʲ n e i̯
централізація	t͡s e n t r ɐ lʲ i z ɑ t͡sʲ i j ɐ
централізувати	t͡s e n t r ɐ lʲ i z ʊ ʋ ɑ t e
церемонія	t͡s e r e m ɔ nʲ i j ɐ
церква	t͡s ɛ r k ʋ ɐ
церковний	t͡s e r k ɔ u̯ n e i̯
цех	t͡s ɛ x
цибуля	t͡s e b u lʲ ɐ
циган	t͡s ɪ ɦ ɐ n
цигарка	t͡s e ɦ ɑ r k ɐ
цигарок	t͡s e ɦ ɑ r ɔ k
цим	t͡s ɪ m
цими	t͡s ɪ m e
цирк	t͡s ɪ r k
цистерна	t͡s e s t ɛ r n ɐ
цитата	t͡s e t ɑ t ɐ
цитрина	t͡s e t r ɪ n ɐ
цифра	t͡s ɪ f r ɐ
цих	t͡s ɪ x
цукерка	t͡s ʊ k ɛ r k ɐ
цукор	t͡s u k ɔ r
цуценя	t͡s ʊ t͡s e nʲ ɑ
цього	t͡sʲ ɔ ɦ ɔ
цьогоріч	t͡sʲ ɔ ɦ o rʲ i t͡ʃ
цьому	t͡sʲ o m u
цьому	t͡sʲ ɔ m ʊ
цьоця	t͡sʲ ɔ t͡sʲ ɐ
цю	t͡sʲ u
ця	t͡sʲ ɑ
ці	t͡sʲ i
цій	t͡sʲ i i̯
цікавий	t͡sʲ i k ɑ ʋ e i̯
цікавити	t͡sʲ i k ɑ ʋ e t e
цілий	t͡sʲ i ɫ e i̯
цілковитий	t͡sʲ i ɫ k ɔ ʋ ɪ t e i̯
цілковито	t͡sʲ i ɫ k ɔ ʋ ɪ t ɔ
цілком	t͡sʲ i ɫ k ɔ m
цілувати	t͡sʲ i ɫ ʊ ʋ ɑ t e
ціль	t͡sʲ i lʲ
цілісність	t͡sʲ i lʲ i sʲ nʲ i sʲ tʲ
цім	t͡sʲ i m
ціна	t͡sʲ i n ɑ
цінність	t͡sʲ i nʲː i sʲ tʲ
цією	t͡sʲ i j ɛ j ʊ
цієї	t͡sʲ i j ɛ j i
чабер	t͡ʃ ɐ b ɛ r
чавун	t͡ʃ ɐ w u n
чага	t͡ʃ ɑ ɦ ɐ
чад	t͡ʃ ɑ d
чадо	t͡ʃ ɑ d ɔ
чай	t͡ʃ ɑ i̯
чайка	t͡ʃ ɑ i̯ k ɐ
чайна	t͡ʃ ɐ i̯ n ɑ
чайна	t͡ʃ ɑ i̯ n ɐ
чаклувати	t͡ʃ ɐ k ɫ ʊ ʋ ɑ t e
чан	t͡ʃ ɑ n
чапля	t͡ʃ ɑ p lʲ ɐ
чародій	t͡ʃ ɐ r o dʲ i i̯
чарівник	t͡ʃ ɐ rʲ i u̯ n ɪ k
час	t͡ʃ ɑ s
часник	t͡ʃ ɐ s n ɪ k
частий	t͡ʃ ɑ s t e i̯
частина	t͡ʃ ɐ s t ɪ n ɐ
частинка	t͡ʃ ɐ s t ɪ n k ɐ
частка	t͡ʃ ɑ s t k ɐ
часто	t͡ʃ ɑ s t ɔ
частота	t͡ʃ ɐ s t ɔ t ɑ
чаша	t͡ʃ ɑ ʃ ɐ
чекання	t͡ʃ e k ɑ nʲː ɐ
чекати	t͡ʃ e k ɑ t e
чемодан	t͡ʃ e m ɔ d ɑ n
чепець	t͡ʃ e p ɛ t͡sʲ
черв'як	t͡ʃ e r ʋ j ɑ k
червень	t͡ʃ ɛ r ʋ e nʲ
червець	t͡ʃ e r ʋ ɛ t͡sʲ
червоний	t͡ʃ e r w ɔ n e i̯
черга	t͡ʃ e r ɦ ɑ
черга	t͡ʃ ɛ r ɦ ɐ
черевик	t͡ʃ e r e ʋ ɪ k
черемха	t͡ʃ e r ɛ m x ɐ
череп	t͡ʃ ɛ r e p
черепаха	t͡ʃ e r e p ɑ x ɐ
черкаси	t͡ʃ e r k ɑ s e
чернець	t͡ʃ e r n ɛ t͡sʲ
чернівці	t͡ʃ e r nʲ i u̯ t͡sʲ i
чернігів	t͡ʃ e r nʲ i ɦʲ i u̯
чесний	t͡ʃ ɛ s n e i̯
чесність	t͡ʃ ɛ sʲ nʲ i sʲ tʲ
честь	t͡ʃ ɛ sʲ tʲ
чеський	t͡ʃ ɛ sʲ k e i̯
четвер	t͡ʃ e t ʋ ɛ r
четверо	t͡ʃ ɛ t ʋ e r ɔ
четвертий	t͡ʃ e t ʋ ɛ r t e i̯
чех	t͡ʃ ɛ x
чехословаччина	t͡ʃ e x ɔ s ɫ ɔ ʋ ɑ t͡ʃː e n ɐ
чехія	t͡ʃ ɛ xʲ i j ɐ
чешка	t͡ʃ ɛ ʃ k ɐ
чи	t͡ʃ ɪ
чий	t͡ʃ ɪ i̯
чилі	t͡ʃ ɪ lʲ i
чин	t͡ʃ ɪ n
чинник	t͡ʃ ɪ nː e k
чиновник	t͡ʃ e n ɔ u̯ n e k
чирва	t͡ʃ ɪ r ʋ ɐ
численний	t͡ʃ e s ɫ ɛ nː e i̯
число	t͡ʃ e s ɫ ɔ
числівник	t͡ʃ e sʲ lʲ i u̯ n e k
чистий	t͡ʃ ɪ s t e i̯
чистити	t͡ʃ ɪ s t e t e
чистота	t͡ʃ e s t ɔ t ɑ
читаний	t͡ʃ ɪ t ɐ n e i̯
читати	t͡ʃ e t ɑ t e
член	t͡ʃ ɫ ɛ n
чобіт	t͡ʃ ɔ bʲ i t
човен	t͡ʃ ɔ ʋ e n
чоло	t͡ʃ ɔ ɫ ɔ
чоловік	t͡ʃ ɔ ɫ ɔ ʋʲ i k
чоловічий	t͡ʃ ɔ ɫ ɔ ʋʲ i t͡ʃ e i̯
чому	t͡ʃ o m u
чорний	t͡ʃ ɔ r n e i̯
чорниця	t͡ʃ ɔ r n ɪ t͡sʲ ɐ
чорнобиль	t͡ʃ ɔ r n ɔ b e lʲ
чорногорський	t͡ʃ ɔ r n ɔ ɦ ɔ r sʲ k e i̯
чорногорія	t͡ʃ ɔ r n ɔ ɦ ɔ rʲ i j ɐ
чорт	t͡ʃ ɔ r t
чотири	t͡ʃ ɔ t ɪ r e
чотириста	t͡ʃ ɔ t ɪ r e s t ɐ
чотирнадцятий	t͡ʃ ɔ t e r n ɑ d͡zʲ t͡sʲ ɐ t e i̯
чотирнадцять	t͡ʃ ɔ t e r n ɑ d͡zʲ t͡sʲ ɐ tʲ
чудак	t͡ʃ ʊ d ɑ k
чудило	t͡ʃ ʊ d ɪ ɫ ɔ
чудище	t͡ʃ u d e ʃ t͡ʃ e
чудо	t͡ʃ u d ɔ
чудовий	t͡ʃ ʊ d ɔ ʋ e i̯
чудовисько	t͡ʃ ʊ d ɔ ʋ e sʲ k ɔ
чудово	t͡ʃ ʊ d ɔ w ɔ
чудій	t͡ʃ ʊ dʲ i i̯
чужий	t͡ʃ ʊ ʒ ɪ i̯
чужина	t͡ʃ ʊ ʒ e n ɑ
чума	t͡ʃ ʊ m ɑ
чути	t͡ʃ u t e
шабля	ʃ ɑ b lʲ ɐ
шановний	ʃ ɐ n ɔ u̯ n e i̯
шанс	ʃ ɑ n s
шанувати	ʃ ɐ n ʊ ʋ ɑ t e
шапка	ʃ ɑ p k ɐ
шаповал	ʃ ɐ p ɔ ʋ ɑ ɫ
шарф	ʃ ɑ r f
шафа	ʃ ɑ f ɐ
шахи	ʃ ɑ x e
шахівниця	ʃ ɐ xʲ i u̯ n ɪ t͡sʲ ɐ
шведський	ʃ ʋ ɛ d͡zʲ sʲ k e i̯
швейцарія	ʃ ʋ e i̯ t͡s ɑ rʲ i j ɐ
швець	ʃ ʋ ɛ t͡sʲ
швеція	ʃ ʋ ɛ t͡sʲ i j ɐ
швидкий	ʃ ʋ e d k ɪ i̯
швидко	ʃ ʋ ɪ d k ɔ
шевченко	ʃ e u̯ t͡ʃ ɛ n k ɔ
шедевр	ʃ e d ɛ u̯ r
шептати	ʃ e p t ɑ t e
шершень	ʃ ɛ r ʃ e nʲ
шестеро	ʃ ɛ s t e r ɔ
шестикутник	ʃ e s t e k u t n e k
шестірня	ʃ e sʲ tʲ i r nʲ ɑ
шибенице	ʃ ɪ b e n e t͡s e
шибеницею	ʃ ɪ b e n e t͡s e j ʊ
шибениць	ʃ ɪ b e n e t͡sʲ
шибеницю	ʃ ɪ b e n e t͡sʲ ʊ
шибениця	ʃ ɪ b e n e t͡sʲ ɐ
шибеницям	ʃ ɪ b e n e t͡sʲ ɐ m
шибеницями	ʃ ɪ b e n e t͡sʲ ɐ m e
шибеницях	ʃ ɪ b e n e t͡sʲ ɐ x
шибениці	ʃ ɪ b e n e t͡sʲ i
шизофренія	ʃ e z ɔ f r e nʲ i j ɐ
ший	ʃ ɪ i̯
шинка	ʃ ɪ n k ɐ
шинок	ʃ e n ɔ k
шип	ʃ ɪ p
широка	ʃ e r ɔ k ɐ
широкий	ʃ e r ɔ k e i̯
шити	ʃ ɪ t e
шию	ʃ ɪ j ʊ
шия	ʃ ɪ j ɐ
шиям	ʃ ɪ j ɐ m
шиями	ʃ ɪ j ɐ m e
шиях	ʃ ɪ j ɐ x
шиє	ʃ ɪ j e
шиєю	ʃ ɪ j e j ʊ
шиї	ʃ ɪ j i
шкарпетка	ʃ k ɐ r p ɛ t k ɐ
шкатулка	ʃ k ɐ t u ɫ k ɐ
шкода	ʃ k ɔ d ɐ
шкода	ʃ k ɔ d ɑ
школа	ʃ k ɔ ɫ ɐ
школи	ʃ k ɔ ɫ e
шкідливий	ʃ kʲ i d ɫ ɪ ʋ e i̯
шкільний	ʃ kʲ i lʲ n ɪ i̯
шкір	ʃ kʲ i r
шкіра	ʃ kʲ i r ɐ
шкірам	ʃ kʲ i r ɐ m
шкірами	ʃ kʲ i r ɐ m e
шкірах	ʃ kʲ i r ɐ x
шкіри	ʃ kʲ i r e
шкіро	ʃ kʲ i r ɔ
шкірою	ʃ kʲ i r ɔ j ʊ
шкіру	ʃ kʲ i r ʊ
шкірі	ʃ kʲ i rʲ i
шланг	ʃ ɫ ɑ n ɦ
шлангів	ʃ ɫ ɑ nʲ ɦʲ i u̯
шлунок	ʃ ɫ u n ɔ k
шльомпа	ʃ lʲ ɔ m p ɐ
шлюб	ʃ lʲ u b
шлях	ʃ lʲ ɑ x
шмата	ʃ m ɑ t ɐ
шовк	ʃ ɔ u̯ k
шовковиця	ʃ ɔ u̯ k ɔ ʋ e t͡sʲ ɐ
шоколад	ʃ ɔ k ɔ ɫ ɑ d
шолом	ʃ ɔ ɫ ɔ m
шомпол	ʃ ɔ m p ɔ ɫ
шопінг	ʃ ɔ pʲ i n ɦ
шостий	ʃ ɔ s t e i̯
шпиталь	ʃ p e t ɑ lʲ
шпіхлір	ʃ pʲ i x lʲ i r
штани	ʃ t ɐ n ɪ
штат	ʃ t ɑ t
штати	ʃ t ɑ t e
штатів	ʃ t ɑ tʲ i u̯
шторм	ʃ t ɔ r m
штормило	ʃ t ɔ r m ɪ ɫ ɔ
штраф	ʃ t r ɑ f
штрафувати	ʃ t r ɐ f ʊ ʋ ɑ t e
штучний	ʃ t u t͡ʃ n e i̯
шукати	ʃ ʊ k ɑ t e
шухляда	ʃ ʊ x lʲ ɑ d ɐ
шістдесят	ʃʲ i z d e sʲ ɑ t
шістдесятий	ʃʲ i z d e sʲ ɑ t e i̯
шістнадцятий	ʃʲ i s t n ɑ d͡zʲ t͡sʲ ɐ t e i̯
шістнадцять	ʃʲ i s t n ɑ d͡zʲ t͡sʲ ɐ tʲ
шістсот	ʃʲ i sː ɔ t
шість	ʃʲ i sʲ tʲ
щасливий	ʃ t͡ʃ ɐ s ɫ ɪ ʋ e i̯
щастя	ʃ t͡ʃ ɑ sʲ tʲ ɐ
ще	ʃ t͡ʃ ɛ
щедрий	ʃ t͡ʃ ɛ d r e i̯
щедрість	ʃ t͡ʃ ɛ dʲ rʲ i sʲ tʲ
щелепа	ʃ t͡ʃ ɛ ɫ e p ɐ
щиколотка	ʃ t͡ʃ ɪ k ɔ ɫ ɔ t k ɐ
щиколоткам	ʃ t͡ʃ ɪ k ɔ ɫ ɔ t k ɐ m
щиколотками	ʃ t͡ʃ ɪ k ɔ ɫ ɔ t k ɐ m e
щиколотках	ʃ t͡ʃ ɪ k ɔ ɫ ɔ t k ɐ x
щиколотки	ʃ t͡ʃ ɪ k ɔ ɫ ɔ t k e
щиколотко	ʃ t͡ʃ ɪ k ɔ ɫ ɔ t k ɔ
щиколоткою	ʃ t͡ʃ ɪ k ɔ ɫ ɔ t k ɔ j ʊ
щиколотку	ʃ t͡ʃ ɪ k ɔ ɫ ɔ t k ʊ
щиколоток	ʃ t͡ʃ ɪ k ɔ ɫ ɔ t ɔ k
щиколотці	ʃ t͡ʃ ɪ k ɔ ɫ ɔ t͡sʲː i
щипці	ʃ t͡ʃ ɪ p t͡sʲ i
щирий	ʃ t͡ʃ ɪ r e i̯
щирість	ʃ t͡ʃ ɪ rʲ i sʲ tʲ
що	ʃ t͡ʃ ɔ
щоб	ʃ t͡ʃ ɔ b
щоденник	ʃ t͡ʃ ɔ d ɛ nː e k
щодня	ʃ t͡ʃ ɔ dʲ nʲ ɑ
щодо	ʃ t͡ʃ ɔ d ɔ
щока	ʃ t͡ʃ ɔ k ɑ
щокам	ʃ t͡ʃ ɔ k ɑ m
щоками	ʃ t͡ʃ ɔ k ɑ m e
щоках	ʃ t͡ʃ ɔ k ɑ x
щоки	ʃ t͡ʃ ɔ k e
щоки	ʃ t͡ʃ ɔ k ɪ
щоко	ʃ t͡ʃ ɔ k ɔ
щокою	ʃ t͡ʃ ɔ k ɔ j ʊ
щоку	ʃ t͡ʃ o k u
щось	ʃ t͡ʃ ɔ sʲ
щоці	ʃ t͡ʃ o t͡sʲ i
щука	ʃ t͡ʃ u k ɐ
щупальце	ʃ t͡ʃ u p ɐ lʲ t͡s e
щур	ʃ t͡ʃ u r
щі	ʃ t͡ʃʲ i
щік	ʃ t͡ʃʲ i k
щітка	ʃ t͡ʃʲ i t k ɐ
ювілей	j ʊ ʋʲ i ɫ ɛ i̯
югославія	j ʊ ɦ ɔ s ɫ ɑ ʋʲ i j ɐ
юлія	j u lʲ i j ɐ
юний	j u n e i̯
юність	j u nʲ i sʲ tʲ
юрба	j ʊ r b ɑ
юриспруденція	j ʊ r e s p r ʊ d ɛ nʲ t͡sʲ i j ɐ
юшка	j u ʃ k ɐ
ющенко	j u ʃ t͡ʃ e n k ɔ
юґославія	j ʊ ɡ ɔ s ɫ ɑ ʋʲ i j ɐ
я	j ɑ
яблуко	j ɑ b ɫ ʊ k ɔ
яблуня	j ɑ b ɫ ʊ nʲ ɐ
явище	j ɑ ʋ e ʃ t͡ʃ e
ягня	j ɐ ɦ nʲ ɑ
ягнятина	j ɐ ɦ nʲ ɑ t e n ɐ
ягода	j ɑ ɦ ɔ d ɐ
ягідка	j ɑ ɦʲ i d k ɐ
язик	j ɐ z ɪ k
яйце	j ɐ i̯ t͡s ɛ
яйцеклітина	j ɐ i̯ t͡s e k lʲ i t ɪ n ɐ
як	j ɑ k
яка	j ɐ k ɑ
якби	j ɐ ɡ b ɪ
яке	j ɐ k ɛ
який	j ɐ k ɪ i̯
якийсь	j ɐ k ɪ i̯ sʲ
якщо	j ɐ k ʃ t͡ʃ ɔ
які	j ɐ kʲ i
яків	j ɑ kʲ i u̯
якір	j ɑ kʲ i r
якісний	j ɑ kʲ i s n e i̯
якість	j ɑ kʲ i sʲ tʲ
яловичина	j ɑ ɫ ɔ ʋ e t͡ʃ e n ɐ
яловичини	j ɑ ɫ ɔ ʋ e t͡ʃ e n e
яловичино	j ɑ ɫ ɔ ʋ e t͡ʃ e n ɔ
яловичиною	j ɑ ɫ ɔ ʋ e t͡ʃ e n ɔ j ʊ
яловичину	j ɑ ɫ ɔ ʋ e t͡ʃ e n ʊ
яловичині	j ɑ ɫ ɔ ʋ e t͡ʃ e nʲ i
ялта	j ɑ ɫ t ɐ
яма	j ɑ m ɐ
яна	j ɑ n ɐ
яничар	j ɐ n e t͡ʃ ɑ r
янтар	j ɐ n t ɑ r
янукович	j ɐ n ʊ k ɔ ʋ e t͡ʃ
японець	j ɐ p ɔ n e t͡sʲ
японка	j ɐ p ɔ n k ɐ
японський	j ɐ p ɔ nʲ sʲ k e i̯
японію	j ɐ p ɔ nʲ i j ʊ
японія	j ɐ p ɔ nʲ i j ɐ
японіє	j ɐ p ɔ nʲ i j e
японією	j ɐ p ɔ nʲ i j e j ʊ
японії	j ɐ p ɔ nʲ i j i
ярмарок	j ɑ r m ɐ r ɔ k
ярмо	j ɐ r m ɔ
яскравий	j ɐ s k r ɑ ʋ e i̯
ясла	j ɑ s ɫ ɐ
ясний	j ɐ s n ɪ i̯
ясний	j ɑ s n e i̯
яструб	j ɑ s t r ʊ b
ячмінь	j ɐ t͡ʃ mʲ i nʲ
ящик	j ɑ ʃ t͡ʃ e k
ящірка	j ɑ ʃ t͡ʃʲ i r k ɐ
яєчко	j ɐ j ɛ t͡ʃ k ɔ
є	j ɛ
єва	j ɛ ʋ ɐ
євген	j e u̯ ɦ ɛ n
євгенія	j e u̯ ɦ ɛ nʲ i j ɐ
євдокія	j e u̯ d o kʲ i j ɐ
євразійський	j e u̯ r ɐ zʲ i i̯ sʲ k e i̯
євразія	j e u̯ r ɑ zʲ i j ɐ
єврей	j e u̯ r ɛ i̯
єврейський	j e u̯ r ɛ i̯ sʲ k e i̯
євромайдан	j e u̯ r ɔ m ɐ i̯ d ɑ n
європа	j e u̯ r ɔ p ɐ
європейський	j e u̯ r ɔ p ɛ i̯ sʲ k e i̯
єгипет	j e ɦ ɪ p e t
єгор	j e ɦ ɔ r
єдваб	j e d ʋ ɑ b
єдиний	j e d ɪ n e i̯
єдиноріг	j e d e n o rʲ i ɦ
ємен	j ɛ m e n
єреван	j e r e ʋ ɑ n
єременко	j e r ɛ m e n k ɔ
і	i
іван	i ʋ ɑ n
іванна	i ʋ ɑ nː ɐ
іванов	i ʋ ɐ n ɔ u̯
іванова	i ʋ ɐ n ɔ ʋ ɐ
іванови	i ʋ ɐ n ɔ ʋ e
івасюк	i ʋ ɐ sʲ u k
іволга	i w ɔ ɫ ɦ ɐ
іго	i ɦ ɔ
ігор	i ɦ ɔ r
іграшка	i ɦ r ɐ ʃ k ɐ
ідентифікація	i d e n t e fʲ i k ɑ t͡sʲ i j ɐ
ідентифікувати	i d e n t e fʲ i k ʊ ʋ ɑ t e
ідея	i d ɛ j ɐ
із	i z
ізолювати	i z ɔ lʲ ʊ ʋ ɑ t e
ізраїль	i z r ɑ j i lʲ
ізраїльський	i z r ɑ j i lʲ sʲ k e i̯
ікло	i k ɫ ɔ
ікра	i k r ɑ
іллірія	i lʲː i rʲ i j ɐ
ілона	i ɫ ɔ n ɐ
ім'я	i m j ɐ
ім'я	i m j ɑ
імбир	i m b ɪ r
іменник	i m ɛ nː e k
імла	i m ɫ ɑ
