ア	a̠
ボトルケージ	b o̞ t o̞ ɾ ɯ̟ᵝ k e̞ː ʑ i
ボトルシップ	b o̞ t o̞ ɾ ɯ̟ᵝ ɕ i p̚ p ɯ̟ᵝ
ボノボ	b o̞ n o̞ b o̞
ボブカット	b o̞ b ɯ̟ᵝ k a̠ t̚ t o̞
ボブキャット	b o̞ b ɯ̟ᵝ kʲ a̠ t̚ t o̞
ボブルヘッド	b o̞ b ɯ̟ᵝ ɾ ɯ̟ᵝ h e̞ d̚ d̥ o̞
ボム	b o̞ m ɯ̟ᵝ
ボリシェヴィキ	b o̞ ɾʲ i ɕ e̞ bʲ i kʲ i
ボリューミー	b o̞ ɾʲ ɨᵝː mʲ iː
ボリューム	b o̞ ɾʲ ɨᵝː m ɯ̟ᵝ
ボル	b o̞ ɾ ɯ̟ᵝ
ボルシェビキ	b o̞ ɾ ɯ̟ᵝ ɕ e̞ bʲ i kʲ i
ボルシチ	b o̞ ɾ ɯ̟ᵝ ɕ i̥ t͡ɕ i
ボルゾイ	b o̞ ɾ ɯ̟ᵝ z o̞ i
ボルト	b o̞ ɾ ɯ̟ᵝ t o̞
ボンベ	b õ̞ m b e̞
ボー	b o̞ː
ボーイ	b o̞ː i
ボーイズラブ	b o̞ː i z ɨᵝ ɾ a̠ b ɯ̟ᵝ
ボーイッシュ	b o̞ː i ɕː ɯ̟ᵝ
ボーイフレンド	b o̞ː i ɸ ɯ̟̊ᵝ ɾ ẽ̞ n d o̞
ボーカロイド	b o̞ː k a̠ ɾ o̞ i d o̞
ボーキサイト	b o̞ː kʲ i̥ s a̠ i t o̞
ボータイ	b o̞ː t a̠ i
ボーディングスクール	b o̞ː dʲ ĩ ŋ ɡ ɯ̟ᵝ s ɨ̥ᵝ k ɯ̟ᵝː ɾ ɯ̟ᵝ
ボードゲーム	b o̞ː d o̞ ɡ e̞ː m ɯ̟ᵝ
ボーナス	b o̞ː n a̠ s ɨᵝ
ボーリウム	b o̞ː ɾʲ i ɯ̟ᵝ m ɯ̟ᵝ
ボール	b o̞ː ɾ ɯ̟ᵝ
ボールゲーム	b o̞ː ɾ ɯ̟ᵝ ɡ e̞ː m ɯ̟ᵝ
ボールパーソン	b o̞ː ɾ ɯ̟ᵝ p a̠ː s õ̞ ɴ
ボールペン	b o̞ː ɾ ɯ̟ᵝ p ẽ̞ ɴ
ポ	p o̞
ポカ	p o̞ k a̠
ポカミス	p o̞ k a̠ mʲ i s ɨᵝ
ポカヨケ	p o̞ k a̠ j o̞ k e̞
ポケット	p o̞ k e̞ t̚ t o̞
ポケットベル	p o̞ k e̞ t̚ t o̞ b e̞ ɾ ɯ̟ᵝ
ポケベル	p o̞ k e̞ b e̞ ɾ ɯ̟ᵝ
ポケモン	p o̞ k e̞ m õ̞ ɴ
ポジティブ	p o̞ ʑ i tʲ i b ɯ̟ᵝ
ポジティブシンキング	p o̞ ʑ i tʲ i b ɯ̟ᵝ ɕ ĩ ŋʲ kʲ ĩ ŋ ɡ ɯ̟ᵝ
ポスト	p o̞ s ɨᵝ t o̞
ポストプロダクション	p o̞ s ɨᵝ t o̞ p ɯ̟ᵝ ɾ o̞ d a̠ k ɯ̟ᵝ ɕ õ̞ ɴ
ポストモダニズム	p o̞ s ɨ̥ᵝ t o̞ m o̞ d a̠ ɲ̟ i z ɨᵝ m ɯ̟ᵝ
ポストモダン	p o̞ s ɨ̥ᵝ t o̞ m o̞ d ã̠ ɴ
ポッキーゲーム	p o̞ k̚ʲ kʲ iː ɡ e̞ː m ɯ̟ᵝ
ポッドキャスト	p o̞ d̚ d̥ o̞ kʲ a̠ s ɨᵝ t o̞
ポッピンアイ	p o̞ p̚ʲ pʲ ĩ ɰ̃ a̠ i
ポップ	p o̞ p̚ p ɯ̟ᵝ
ポップアップ	p o̞ p̚ p ɯ̟ᵝ a̠ p̚ p ɯ̟ᵝ
ポップカルチャー	p o̞ p̚ p ɯ̟ᵝ k a̠ ɾ ɯ̟ᵝ t͡ɕ a̠ː
ポップコーン	p o̞ p̚ p ɯ̟ᵝ k õ̞ː ɴ
ポップス	p o̞ p̚ p ɯ̟̊ᵝ s ɨᵝ
ポテチ	p o̞ t e̞ t͡ɕ i
ポテト	p o̞ t e̞ t o̞
ポテトチップ	p o̞ t e̞ t o̞ t͡ɕ i̥ p̚ p ɯ̟ᵝ
ポテンシャルエネルギー	p o̞ t ẽ̞ ɰ̃ ɕ a̠ ɾ ɯ̟ᵝ e̞ n e̞ ɾ ɯ̟ᵝ ɡʲ iː
ポトフ	p o̞ t o̞ ɸ ɯ̟ᵝ
ポニー	p o̞ ɲ̟ iː
ポニーテール	p o̞ ɲ̟ iː t e̞ː ɾ ɯ̟ᵝ
ポピー	p o̞ pʲ iː
ポプラ	p o̞ p ɯ̟ᵝ ɾ a̠
ポリ	p o̞ ɾʲ i
ポリウレタン	p o̞ ɾʲ i ɯ̟ᵝ ɾ e̞ t ã̠ ɴ
ポリエステル	p o̞ ɾʲ i e̞ s ɨ̥ᵝ t e̞ ɾ ɯ̟ᵝ
ポリエチレン	p o̞ ɾʲ i e̞ t͡ɕ i ɾ ẽ̞ ɴ
ポリオ	p o̞ ɾʲ i o̞
ポリオウイルス	p o̞ ɾʲ i o̞ ɯ̟ᵝ i ɾ ɯ̟ᵝ s ɨᵝ
ポリグラフ	p o̞ ɾʲ i ɡ ɯ̟ᵝ ɾ a̠ ɸ ɯ̟ᵝ
ポリッシュ	p o̞ ɾʲ i ɕː ɯ̟ᵝ
ポリッジ	p o̞ ɾʲ i d̚ d͡ʑ i
ポリティカル・コレクトネス	p o̞ ɾʲ i tʲ i k a̠ ɾ ɯ̟ᵝ k o̞ ɾ e̞ k ɯ̟ᵝ t o̞ n e̞ s ɨᵝ
ポリノジック	p o̞ ɾʲ i n o̞ ʑ i k̚ k ɯ̟ᵝ
ポリプロピレン	p o̞ ɾʲ i p ɯ̟ᵝ ɾ o̞ pʲ i ɾ ẽ̞ ɴ
ポルトガル	p o̞ ɾ ɯ̟ᵝ t o̞ ɡ a̠ ɾ ɯ̟ᵝ
ポルトノボ	p o̞ ɾ ɯ̟ᵝ t o̞ n o̞ b o̞
ポルトープランス	p o̞ ɾ ɯ̟ᵝ t o̞ː p ɯ̟ᵝ ɾ ã̠ ɰ̃ s ɨᵝ
ポルノグラフィー	p o̞ ɾ ɯ̟ᵝ n o̞ ɡ ɯ̟ᵝ ɾ a̠ ɸʲ iː
ポルフィリン	p o̞ ɾ ɯ̟ᵝ ɸʲ i ɾʲ ĩ ɴ
ポルフィン	p o̞ ɾ ɯ̟ᵝ ɸʲ ĩ ɴ
ポロ	p o̞ ɾ o̞
ポロシャツ	p o̞ ɾ o̞ ɕ a̠ t͡s ɨᵝ
ポロニウム	p o̞ ɾ o̞ ɲ̟ i ɯ̟ᵝ m ɯ̟ᵝ
ポン	p õ̞ ɴ
ポンチ	p õ̞ ɲ̟ t͡ɕ i
ポンチョ	p õ̞ ɲ̟ t͡ɕ o̞
ポンプ	p õ̞ m p ɯ̟ᵝ
ポンポン	p õ̞ m p õ̞ ɴ
ポーカー	p o̞ː k a̠ː
ポーカーフェイス	p o̞ː k a̠ː ɸ e̞ː s ɨᵝ
ポーション	p o̞ː ɕ õ̞ ɴ
ポータル	p o̞ː t a̠ ɾ ɯ̟ᵝ
ポートオブスペイン	p o̞ː t o̞ o̞ b ɯ̟ᵝ s ɨ̥ᵝ p ẽ̞ː ɴ
ポートフォリオ	p o̞ː t o̞ ɸ o̞ ɾʲ i o̞
ポートルイス	p o̞ː t o̞ ɾ ɯ̟ᵝ i s ɨᵝ
ポートレート	p o̞ː t o̞ ɾ e̞ː t o̞
ポーランド	p o̞ː ɾ ã̠ n d o̞
ポールダンス	p o̞ː ɾ ɯ̟ᵝ d ã̠ ɰ̃ s ɨᵝ
ポーローパーウ	p o̞ː ɾ o̞ː p a̠ː ɯ̟ᵝ
ポーン	p õ̞ː ɴ
マ	m a̠
マイアミ	m a̠ i a̠ mʲ i
マイカー	m a̠ i k a̠ː
マイク	m a̠ i k ɯ̟ᵝ
マイクロコンピュータ	m a̠ i k ɯ̟ᵝ ɾ o̞ k õ̞ m pʲ ɨᵝː t a̠
マイクロコンピューター	m a̠ i k ɯ̟ᵝ ɾ o̞ k õ̞ m pʲ ɨᵝː t a̠ː
マイクロホン	m a̠ i k ɯ̟ᵝ ɾ o̞ h õ̞ ɴ
マイコン	m a̠ i k õ̞ ɴ
マイトネリウム	m a̠ i t o̞ n e̞ ɾʲ i ɯ̟ᵝ m ɯ̟ᵝ
マイノリティー	m a̠ i n o̞ ɾʲ i tʲ iː
マイブーム	m a̠ i b ɯ̟ᵝː m ɯ̟ᵝ
マイペース	m a̠ i p e̞ː s ɨᵝ
マイム	m a̠ i m ɯ̟ᵝ
マイル	m a̠ i ɾ ɯ̟ᵝ
マイン	m a̠ ĩ ɴ
マインド	m a̠ ĩ n d o̞
マインドセット	m a̠ ĩ n d o̞ s e̞ t̚ t o̞
マウス	m a̠ ɯ̟ᵝ s ɨᵝ
マカオ	m a̠ k a̠ o̞
マカロニ	m a̠ k a̠ ɾ o̞ ɲ̟ i
マカロン	m a̠ k a̠ ɾ õ̞ ɴ
マカー	m a̠ k a̠ː
マキシ	m a̠ kʲ i ɕ i
マクド	m a̠ k ɯ̟ᵝ d o̞
マクドナルド	m a̠ k ɯ̟ᵝ d o̞ n a̠ ɾ ɯ̟ᵝ d o̞
マクロファージ	m a̠ k ɯ̟ᵝ ɾ o̞ ɸ a̠ː ʑ i
マクロン	m a̠ k ɯ̟ᵝ ɾ õ̞ ɴ
マグ	m a̠ ɡ ɯ̟ᵝ
マグカップ	m a̠ ɡ ɯ̟ᵝ k a̠ p̚ p ɯ̟ᵝ
マグネシウム	m a̠ ɡ ɯ̟ᵝ n e̞ ɕ i ɯ̟ᵝ m ɯ̟ᵝ
マグマ	m a̠ ɡ ɯ̟ᵝ m a̠
マサチューセッツ	m a̠ s a̠ t͡ɕ ɨᵝː s e̞ t̚ t͡s ɨᵝ
マシマロ	m a̠ ɕ i m a̠ ɾ o̞
マシュマロ	m a̠ ɕ ɨᵝ m a̠ ɾ o̞
マシンガン	m a̠ ɕ ĩ ŋ ɡ ã̠ ɴ
マジ	m a̠ ʑ i
マジェラン	m a̠ ʑ e̞ ɾ ã̠ ɴ
マジェランアイナメ	m a̠ ʑ e̞ ɾ ã̠ ɰ̃ a̠ i n a̠ m e̞
マジギレ	m a̠ ʑ i ɡʲ i ɾ e̞
マジックペン	m a̠ ʑ i k̚ k ɯ̟ᵝ p ẽ̞ ɴ
マジックミラー	m a̠ ʑ i k̚ k ɯ̟ᵝ mʲ i ɾ a̠ː
マジパン	m a̠ ʑ i p ã̠ ɴ
マジュロ	m a̠ ʑ ɨᵝ ɾ o̞
マジョリティー	m a̠ ʑ o̞ ɾʲ i tʲ iː
マジレス	m a̠ ʑ i ɾ e̞ s ɨᵝ
マスカット	m a̠ s ɨ̥ᵝ k a̠ t̚ t o̞
マスカラ	m a̠ s ɨ̥ᵝ k a̠ ɾ a̠
マスキングテープ	m a̠ s ɨᵝ kʲ ĩ ŋ ɡ ɯ̟ᵝ t e̞ː p ɯ̟ᵝ
マスク	m a̠ s ɨ̥ᵝ k ɯ̟ᵝ
マスコット	m a̠ s ɨ̥ᵝ k o̞ t̚ t o̞
マスコミ	m a̠ s ɨ̥ᵝ k o̞ mʲ i
マスコミュニケーション	m a̠ s ɨᵝ k o̞ mʲ ɨᵝ ɲ̟ i k e̞ː ɕ õ̞ ɴ
マスゴミ	m a̠ s ɨᵝ ɡ o̞ mʲ i
マスタング	m a̠ s ɨ̥ᵝ t ã̠ ŋ ɡ ɯ̟ᵝ
マスター	m a̠ s ɨ̥ᵝ t a̠ː
マスタード	m a̠ s ɨ̥ᵝ t a̠ː d o̞
マスタープラン	m a̠ s ɨᵝ t a̠ː p ɯ̟ᵝ ɾ ã̠ ɴ
マスターベーション	m a̠ s ɨ̥ᵝ t a̠ː b e̞ː ɕ õ̞ ɴ
マスメディア	m a̠ s ɨᵝ m e̞ dʲ i a̠
マセル	m a̠ s e̞ ɾ ɯ̟ᵝ
マゼラン	m a̠ z e̞ ɾ ã̠ ɴ
マゼンタ	m a̠ z ẽ̞ n t a̠
マゾ	m a̠ z o̞
マゾヒスト	m a̠ z o̞ ç i s ɨ̥ᵝ t o̞
マゾヒズム	m a̠ z o̞ ç i z ɨᵝ m ɯ̟ᵝ
マターリ	m a̠ t a̠ː ɾʲ i
マダガスカル	m a̠ d a̠ ɡ a̠ s ɨ̥ᵝ k a̠ ɾ ɯ̟ᵝ
マチュピチュ	m a̠ t͡ɕ ɨᵝ pʲ i t͡ɕ ɨᵝ
マック	m a̠ k̚ k ɯ̟ᵝ
マックス	m a̠ k̚ k ɯ̟ᵝ s ɨᵝ
マッシュルーム	m a̠ ɕː ɯ̟ᵝ ɾ ɯ̟ᵝː m ɯ̟ᵝ
マッチョ	m a̠ t̚ t͡ɕ o̞
マットレス	m a̠ t̚ t o̞ ɾ e̞ s ɨᵝ
マッド	m a̠ d̚ d̥ o̞
マッハ	m a̠ hː a̠
マッポ	m a̠ p̚ p o̞
マツエク	m a̠ t͡s ɨᵝ e̞ k ɯ̟ᵝ
マテガイ	m a̠ t e̞ ɡ a̠ i
マトリョーシカ	m a̠ t o̞ ɾʲ o̞ː ɕ i k ḁ
マトン	m a̠ t õ̞ ɴ
マドンナ	m a̠ d õ̞ nː a̠
マナ	m a̠ n a̠
マナグア	m a̠ n a̠ ɡ ɯ̟ᵝ a̠
マナティー	m a̠ n a̠ tʲ iː
マニア	m a̠ ɲ̟ i a̠
マニアック	m a̠ ɲ̟ i a̠ k̚ k ɯ̟ᵝ
マニエリスム	m a̠ ɲ̟ i e̞ ɾʲ i s ɨᵝ m ɯ̟ᵝ
マニキュア	m a̠ ɲ̟ i kʲ ɨᵝ a̠
マニトバ	m a̠ ɲ̟ i t o̞ b a̠
マニフェスト	m a̠ ɲ̟ i ɸ e̞ s ɨᵝ t o̞
マニューシャ	m a̠ ɲ̟ ɯ̟ᵝː ɕ a̠
マニラ	m a̠ ɲ̟ i ɾ a̠
マヌカハニー	m a̠ n ɯ̟ᵝ k a̠ h a̠ ɲ̟ iː
マヌカン	m a̠ n ɯ̟ᵝ k ã̠ ɴ
マネキン	m a̠ n e̞ kʲ ĩ ɴ
マネロン	m a̠ n e̞ ɾ õ̞ ɴ
マネー	m a̠ n e̞ː
マネーロンダリング	m a̠ n e̞ː ɾ õ̞ n d a̠ ɾʲ ĩ ŋ ɡ ɯ̟ᵝ
マネー・ロンダリング	m a̠ n e̞ː ɾ õ̞ n d a̠ ɾʲ ĩ ŋ ɡ ɯ̟ᵝ
マフィア	m a̠ ɸʲ i a̠
マフラー	m a̠ ɸ ɯ̟ᵝ ɾ a̠ː
マプト	m a̠ p ɯ̟ᵝ t o̞
ママ	m a̠ m a̠
ママチャリ	m a̠ m a̠ t͡ɕ a̠ ɾʲ i
ママレード	m a̠ m a̠ ɾ e̞ː d o̞
マヨネーズ	m a̠ j o̞ n e̞ː z ɨᵝ
マヨラー	m a̠ j o̞ ɾ a̠ː
マラウイ	m a̠ ɾ a̠ ɯ̟ᵝ i
マラソン	m a̠ ɾ a̠ s õ̞ ɴ
マラッカ	m a̠ ɾ a̠ k̚ k a̠
マラリア	m a̠ ɾ a̠ ɾʲ i a̠
マリ	m a̠ ɾʲ i
マリア	m a̠ ɾʲ i a̠
マリオネット	m a̠ ɾʲ i o̞ n e̞ t̚ t o̞
マリネ	m a̠ ɾʲ i n e̞
マリファナ	m a̠ ɾʲ i ɸ a̠ n a̠
マリンバ	m a̠ ɾʲ ĩ m b a̠
マルウェア	m a̠ ɾ ɯ̟ᵝ ɰᵝ e̞ a̠
マルス	m a̠ ɾ ɯ̟ᵝ s ɨᵝ
マルチーズ	m a̠ ɾ ɯ̟ᵝ t͡ɕ iː z ɨᵝ
マルメロ	m a̠ ɾ ɯ̟ᵝ m e̞ ɾ o̞
マレット	m a̠ ɾ e̞ t̚ t o̞
マレーグマ	m a̠ ɾ e̞ː ɡ ɯ̟ᵝ m a̠
マレーバク	m a̠ ɾ e̞ː b a̠ k ɯ̟ᵝ
マロン	m a̠ ɾ õ̞ ɴ
マンガン	m ã̠ ŋ ɡ ã̠ ɴ
マンクス	m ã̠ ŋ k ɯ̟̊ᵝ s ɨᵝ
マングース	m ã̠ ŋ ɡ ɯ̟ᵝː s ɨᵝ
マンゴスチン	m ã̠ ŋ ɡ o̞ s ɨᵝ t͡ɕ ĩ ɴ
マンゴー	m ã̠ ŋ ɡ o̞ː
マンション	m ã̠ ɰ̃ ɕ õ̞ ɴ
マンティーカ	m ã̠ n tʲ iː k a̠
マント	m ã̠ n t o̞
マンドリル	m ã̠ n d o̞ ɾʲ i ɾ ɯ̟ᵝ
マンホール	m ã̠ ɰ̃ h o̞ː ɾ ɯ̟ᵝ
マンボ	m ã̠ m b o̞
マンモス	m ã̠ mː o̞ s ɨᵝ
マーカー	m a̠ː k a̠ː
マーガリン	m a̠ː ɡ a̠ ɾʲ ĩ ɴ
マーガレット	m a̠ː ɡ a̠ ɾ e̞ t̚ t o̞
マーキュリー	m a̠ː kʲ ɨᵝ ɾʲ iː
マークシート	m a̠ː k ɯ̟ᵝ ɕ iː t o̞
マーゲイ	m a̠ː ɡ e̞ː
マーシャルアーツ	m a̠ː ɕ a̠ ɾ ɯ̟ᵝ a̠ː t͡s ɨᵝ
マージ	m a̠ː ʑ i
マージャン	m a̠ː ʑ ã̠ ɴ
マーズ	m a̠ː z ɨᵝ
マート	m a̠ː t o̞
マーマレード	m a̠ː m a̠ ɾ e̞ː d o̞
マーメード	m a̠ː m e̞ː d o̞
マーモット	m a̠ː m o̞ t̚ t o̞
マールス	m a̠ː ɾ ɯ̟ᵝ s ɨᵝ
ミ	mʲ i
ミェ	mʲ e̞
ミサ	mʲ i s a̠
ミサイル	mʲ i s a̠ i ɾ ɯ̟ᵝ
ミサンガ	mʲ i s ã̠ ŋ ɡ a̠
ミシン	mʲ i ɕ ĩ ɴ
ミス	mʲ i s ɨᵝ
ミスダンディ	mʲ i s ɨᵝ d ã̠ n dʲ i
ミストレス	mʲ i s ɨ̥ᵝ t o̞ ɾ e̞ s ɨᵝ
ミチバシリ	mʲ i t͡ɕ i b a̠ ɕ i ɾʲ i
ミッドリフ	mʲ i d̚ d̥ o̞ ɾʲ i ɸ ɯ̟ᵝ
ミツアナグマ	mʲ i t͡s ɨᵝ a̠ n a̠ ɡ ɯ̟ᵝ m a̠
ミトコンドリア	mʲ i t o̞ k õ̞ n d o̞ ɾʲ i a̠
ミナミコアリクイ	mʲ i n a̠ mʲ i k o̞ a̠ ɾʲ i k ɯ̟ᵝ i
ミニ	mʲ i ɲ̟ i
ミニスカ	mʲ i ɲ̟ i s ɨᵝ k a̠
ミニスカート	mʲ i ɲ̟ i s ɨ̥ᵝ k a̠ː t o̞
ミニブログ	mʲ i ɲ̟ i b ɯ̟ᵝ ɾ o̞ ɡ ɯ̟ᵝ
ミニマリズム	mʲ i ɲ̟ i m a̠ ɾʲ i z ɨᵝ m ɯ̟ᵝ
ミネストローネ	mʲ i n e̞ s ɨ̥ᵝ t o̞ ɾ o̞ː n e̞
ミネソタ	mʲ i n e̞ s o̞ t a̠
ミャ	mʲ a̠
ミュ	mʲ ɨᵝ
ミュンヘン	mʲ ɨ̃ᵝ ɰ̃ h ẽ̞ ɴ
ミュー	mʲ ɨᵝː
ミューオン	mʲ ɨᵝː õ̞ ɴ
ミュージシャン	mʲ ɨᵝː ʑ i ɕ ã̠ ɴ
ミュージック	mʲ ɨᵝː ʑ i k̚ k ɯ̟ᵝ
ミュージックビデオ	mʲ ɨᵝː ʑ i k̚ k ɯ̟ᵝ bʲ i d e̞ o̞
ミューズ	mʲ ɨᵝː z ɨᵝ
ミューズリー	mʲ ɨᵝː z ɨᵝ ɾʲ iː
ミュート	mʲ ɨᵝː t o̞
ミュール	mʲ ɨᵝː ɾ ɯ̟ᵝ
ミョ	mʲ o̞
ミラクル	mʲ i ɾ a̠ k ɯ̟ᵝ ɾ ɯ̟ᵝ
ミラーボール	mʲ i ɾ a̠ː b o̞ː ɾ ɯ̟ᵝ
ミリオネア	mʲ i ɾʲ i o̞ n e̞ a̠
ミルフィーユ	mʲ i ɾ ɯ̟ᵝ ɸʲ iː j ɯ̟ᵝ
ミレニアム	mʲ i ɾ e̞ ɲ̟ i a̠ m ɯ̟ᵝ
ミンカン	mʲ ĩ ŋ k ã̠ ɴ
ミンク	mʲ ĩ ŋ k ɯ̟ᵝ
ミンスク	mʲ ĩ ɰ̃ s ɨᵝ k ɯ̟ᵝ
ミント	mʲ ĩ n t o̞
ミー	mʲ iː
ミーアキャット	mʲ iː a̠ kʲ a̠ t̚ t o̞
ミーティング	mʲ iː tʲ ĩ ŋ ɡ ɯ̟ᵝ
ミートボール	mʲ iː t o̞ b o̞ː ɾ ɯ̟ᵝ
ミーム	mʲ iː m ɯ̟ᵝ
ミーン	mʲ ĩː ɴ
ム	m ɯ̟ᵝ
ムスタング	m ɯ̟ᵝ s ɨ̥ᵝ t ã̠ ŋ ɡ ɯ̟ᵝ
ムスリム	m ɯ̟ᵝ s ɨᵝ ɾʲ i m ɯ̟ᵝ
ムックリ	m ɯ̟ᵝ k̚ k ɯ̟ᵝ ɾʲ i
ムババネ	m ɯ̟ᵝ b a̠ b a̠ n e̞
ムルタン	m ɯ̟ᵝ ɾ ɯ̟ᵝ t ã̠ ɴ
ムーン	m ɯ̟̃ᵝː ɴ
メ	m e̞
メアド	m e̞ a̠ d o̞
メイ	m e̞ː
メイク	m e̞ː k ɯ̟ᵝ
メイクアップ	m e̞ː k ɯ̟ᵝ a̠ p̚ p ɯ̟ᵝ
メイド	m e̞ː d o̞
メイル・レイプ	m e̞ː ɾ ɯ̟ᵝ ɾ e̞ː p ɯ̟ᵝ
メイン	m ẽ̞ː ɴ
メインキャラ	m ẽ̞ː ŋʲ kʲ a̠ ɾ a̠
メインキャラクター	m ẽ̞ː ŋ ʲkʲ a̠ ɾ a̠ k ɯ̟ᵝ t a̠ː
メカニック	m e̞ k a̠ ɲ̟ i k̚ k ɯ̟ᵝ
メガホン	m e̞ ɡ a̠ h õ̞ ɴ
メキシコ	m e̞ kʲ i ɕ i k o̞
メキシコ	m e̞ kʲ i̥ ɕ i̥ k o̞
メシア	m e̞ ɕ i a̠
メジャー	m e̞ ʑ a̠ː
メス	m e̞ s ɨᵝ
メソポタミア	m e̞ s o̞ p o̞ t a̠ mʲ i a̠
メゾソプラノ	m e̞ z o̞ s o̞ p ɯ̟ᵝ ɾ a̠ n o̞
メタ	m e̞ t a̠
メタル	m e̞ t a̠ ɾ ɯ̟ᵝ
メタン	m e̞ t ã̠ ɴ
メタンガス	m e̞ t ã̠ ŋ ɡ a̠ s ɨᵝ
メチオニン	m e̞ t͡ɕ i o̞ ɲ̟ ĩ ɴ
メチルアルコール	m e̞ t͡ɕ i ɾ ɯ̟ᵝ a̠ ɾ ɯ̟ᵝ k o̞ː ɾ ɯ̟ᵝ
メッカ	m e̞ k̚ k a̠
メッセージ	m e̞ sː e̞ː ʑ i
メッツォソプラノ	m e̞ t̚ t͡s o̞ s o̞ p ɯ̟ᵝ ɾ a̠ n o̞
メディア	m e̞ dʲ i a̠
メディカル	m e̞ dʲ i k a̠ ɾ ɯ̟ᵝ
メトロ	m e̞ t o̞ ɾ o̞
メドレー	m e̞ d o̞ ɾ e̞ː
メニュー	m e̞ ɲ̟ ɯ̟ᵝː
メビバイト	m e̞ bʲ i b a̠ i t o̞
メビビット	m e̞ bʲ i bʲ i t̚ t o̞
メモ	m e̞ m o̞
メモリ	m e̞ m o̞ ɾʲ i
メモリアル	m e̞ m o̞ ɾʲ i a̠ ɾ ɯ̟ᵝ
メモリー	m e̞ m o̞ ɾʲ iː
メランコリア	m e̞ ɾ ã̠ ŋ k o̞ ɾʲ i a̠
メランコリック	m e̞ ɾ ã̠ ŋ k o̞ ɾʲ i k̚ k ɯ̟ᵝ
メランコリー	m e̞ ɾ ã̠ ŋ k o̞ ɾʲ iː
メリケン	m e̞ ɾʲ i k ẽ̞ ɴ
メリケンサック	m e̞ ɾʲ i k ẽ̞ ɰ̃ s a̠ k̚ k ɯ̟ᵝ
メリスビル	m e̞ ɾʲ i s ɨᵝ bʲ i ɾ ɯ̟ᵝ
メリヤス	m e̞ ɾʲ i j a̠ s ɨᵝ
メリンス	m e̞ ɾʲ ĩ ɰ̃ s ɨᵝ
メリークリスマス	m e̞ ɾʲ iː k ɯ̟ᵝ ɾʲ i s ɨᵝ m a̠ s ɨᵝ
メリーゴーラウンド	m e̞ ɾʲ iː ɡ o̞ː ɾ a̠ ɯ̟̃ᵝ n d o̞
メリージェーン	m e̞ ɾʲ iː ʑ ẽ̞ː ɴ
メルアド	m e̞ ɾ ɯ̟ᵝ a̠ d o̞
メルクリウス	m e̞ ɾ ɯ̟ᵝ k ɯ̟ᵝ ɾʲ i ɯ̟ᵝ s ɨᵝ
メルフォ	m e̞ ɾ ɯ̟ᵝ ɸ o̞
メルヘン	m e̞ ɾ ɯ̟ᵝ h ẽ̞ ɴ
メロイックサイン	m e̞ ɾ o̞ i k̚ k ɯ̟ᵝ s a̠ ĩ ɴ
メロドラマ	m e̞ ɾ o̞ d o̞ ɾ a̠ m a̠
メロン	m e̞ ɾ õ̞ ɴ
メロンパン	m e̞ ɾ õ̞ m p ã̠ ɴ
メンス	m ẽ̞ ɰ̃ s ɨᵝ
メンタル	m ẽ̞ n t a̠ ɾ ɯ̟ᵝ
メンタルヘルス	m ẽ̞ n t a̠ ɾ ɯ̟ᵝ h e̞ ɾ ɯ̟ᵝ s ɨᵝ
メンツ	m ẽ̞ n t͡s ɨᵝ
メンテ	m ẽ̞ n t e̞
メンテナンス	m ẽ̞ n t e̞ n ã̠ ɰ̃ s ɨᵝ
メンデレビウム	m ẽ̞ n d e̞ ɾ e̞ bʲ i ɯ̟ᵝ m ɯ̟ᵝ
メントール	m ẽ̞ n t o̞ː ɾ ɯ̟ᵝ
メンマ	m ẽ̞ mː a̠
メーター	m e̞ː t a̠ː
メーデー	m e̞ː d e̞ː
メートル	m e̞ː t o̞ ɾ ɯ̟ᵝ
メード	m e̞ː d o̞
メープルシロップ	m e̞ː p ɯ̟ᵝ ɾ ɯ̟ᵝ ɕ i ɾ o̞ p̚ p ɯ̟ᵝ
メーラ	m e̞ː ɾ a̠
メーラー	m e̞ː ɾ a̠ː
メーリーランド	m e̞ː ɾʲ iː ɾ ã̠ n d o̞
メールフォーム	m e̞ː ɾ ɯ̟ᵝ ɸ o̞ː m ɯ̟ᵝ
メールボックス	m e̞ː ɾ ɯ̟ᵝ b o̞ k̚ k ɯ̟̊ᵝ s ɨᵝ
メーンクーン	m ẽ̞ː ŋ k ɯ̟̃ᵝː ɴ
モ	m o̞
モア	m o̞ a̠
モアレ	m o̞ a̠ ɾ e̞
モカ	m o̞ k a̠
モガ	m o̞ ɡ a̠
モガディシュ	m o̞ ɡ a̠ dʲ i ɕ ɨᵝ
モザンビーク	m o̞ z ã̠ m bʲ iː k ɯ̟ᵝ
モス	m o̞ s ɨᵝ
モスク	m o̞ s ɨ̥ᵝ k ɯ̟ᵝ
モスクワ	m o̞ s ɨᵝ k ɯ̟ᵝ ɰᵝ a̠
モスコビウム	m o̞ s ɨ̥ᵝ k o̞ bʲ i ɯ̟ᵝ m ɯ̟ᵝ
モスコー	m o̞ s ɨ̥ᵝ k o̞ː
モスリン	m o̞ s ɨᵝ ɾʲ ĩ ɴ
モスレム	m o̞ s ɨᵝ ɾ e̞ m ɯ̟ᵝ
モズ	m o̞ z ɨᵝ
