ա	ɑ
ռեցենզիա	r ɛ t͡sʰ ɛ n z j ɑ
ռեւոլյուցիա	r ɛ v ɔ l j u t͡sʰ j ɑ
ռեփ	r ɛ pʰ
ռեֆորմ	r ɛ f ɔ ɾ m
ռիգա	r i ɡ ɑ
ռինգ	r i ŋ ɡ
ռիոն	r i j ɔ n
ռիոնի	r i j ɔ n i
ռիչարդ	r i t͡ʃʰ ɑ ɾ d
ռիսկ	r i s k
ռիցա	r i t͡sʰ ɑ
ռյազան	r j ɑ z ɑ n
ռնգական	r ə ŋ ɡ ɑ k ɑ n
ռնգեղջյուր	r ŋ ɡ ɛ χ t͡ʃʰ j u ɾ
ռոբերտ	r ɔ b ɛ ɾ t
ռոբոտ	r ɔ b ɔ t
ռոդիում	r ɔ d i j u m
ռոզո	r ɔ z ɔ
ռոժ	r ɔ ʒ
ռոճիկ	r ɔ t͡ʃ i k
ռոմ	r ɔ m
ռոման	r ɔ m ɑ n
ռոմանշ	r ɔ m ɑ n ʃ
ռոյալթի	r ɔ j ɑ l tʰ i
ռոն	r ɔ n
ռոստով	r ɔ s t ɔ v
ռուանդա	r u ɑ n d ɑ
ռուբ	r u b
ռուբեն	r u b ɛ n
ռուբիդիում	r u b i d i j u m
ռուբինյան	r u b i n j ɑ n
ռուբլի	r u b l i
ռութենիում	r u tʰ ɛ n i j u m
ռումբ	r u m b
ռումբա	r u m b ɑ
ռումինական	r u m i n ɑ k ɑ n
ռումինացի	r u m i n ɑ t͡sʰ i
ռումիներեն	r u m i n ɛ ɾ ɛ n
ռումինիա	r u m i n j ɑ
ռունգ	r u ŋ ɡ
ռուպոր	r u p ɔ ɾ
ռուս	r u s
ռուսական	r u s ɑ k ɑ n
ռուսաստան	r u s ɑ s t ɑ n
ռուսաստանցի	r u s ɑ s t ɑ n t͡sʰ i
ռուսերեն	r u s ɛ ɾ ɛ n
ռուսիա	r u s j ɑ
ռուսուլման	r u s u l m ɑ n
ռուսուհի	r u s u h i
ռուստամյան	r u s t ɑ m j ɑ n
ս	s ə
սա	s ɑ
սաբոտաժ	s ɑ b ɔ t ɑ ʒ
սագ	s ɑ ɡ
սագո	s ɑ ɡ ɔ
սադափ	s ɑ d ɑ pʰ
սադրանք	s ɑ d ɾ ɑ ŋ kʰ
սադրել	s ɑ d ɾ ɛ l
սադրիչ	s ɑ d ɾ i t͡ʃʰ
սազ	s ɑ z
սազալ	s ɑ z ɑ l
սազել	s ɑ z ɛ l
սաթ	s ɑ tʰ
սաթենիկ	s ɑ tʰ ɛ n i k
սալ	s ɑ l
սալաթ	s ɑ l ɑ tʰ
սալախյան	s ɑ l ɑ χ j ɑ n
սալահեդդին	s ɑ l ɑ h ɛ dː i n
սալահյան	s ɑ l ɑ h j ɑ n
սալամանդր	s ɑ l ɑ m ɑ n d ə ɾ
սալաքար	s ɑ l ɑ kʰ ɑ ɾ
սալեխարդ	s ɑ l ɛ χ ɑ ɾ d
սալմաստ	s ɑ l m ɑ s t
սալյամի	s ɑ l j ɑ m i
սալոնիկ	s ɑ l ɔ n i k
սալոր	s ɑ l ɔ ɾ
սալորենի	s ɑ l ɔ ɾ ɛ n i
սալվադոր	s ɑ l v ɑ d ɔ ɾ
սախալին	s ɑ χ ɑ l i n
սակայն	s ɑ k ɑ j n
սակավ	s ɑ k ɑ v
սակավաթիվ	s ɑ k ɑ v ɑ tʰ i v
սակարկել	s ɑ k ɑ ɾ k ɛ l
սակարկություն	s ɑ k ɑ ɾ k u tʰ j u n
սակարկում	s ɑ k ɑ ɾ k u m
սակարկվել	s ɑ k ɑ ɾ k v ɛ l
սակե	s ɑ k ɛ
սակերեն	s ɑ k ɛ ɾ ɛ n
սահաթ	s ɑ h ɑ tʰ
սահաթչի	s ɑ h ɑ tʰ t͡ʃʰ i
սահակ	s ɑ h ɑ k
սահակյան	s ɑ h ɑ k j ɑ n
սահարա	s ɑ h ɑ ɾ ɑ
սահել	s ɑ h ɛ l
սահեցնել	s ɑ h ɛ t͡sʰ n ɛ l
սահման	s ɑ h m ɑ n
սահմանագծում	s ɑ h m ɑ n ɑ ɡ ə t͡s u m
սահմանադրական	s ɑ h m ɑ n ɑ d ɾ ɑ k ɑ n
սահմանադրություն	s ɑ h m ɑ n ɑ d ə ɾ u tʰ j u n
սահմանազատում	s ɑ h m ɑ n ɑ z ɑ t u m
սահմանական	s ɑ h m ɑ n ɑ k ɑ n
սահմանապահ	s ɑ h m ɑ n ɑ p ɑ h
սահմանափակ	s ɑ h m ɑ n ɑ pʰ ɑ k
սահմանափակել	s ɑ h m ɑ n ɑ pʰ ɑ k ɛ l
սահմանափակիչ	s ɑ h m ɑ n ɑ pʰ ɑ k i t͡ʃʰ
սահմանափակող	s ɑ h m ɑ n ɑ pʰ ɑ k ɔ ʁ
սահմանափակորեն	s ɑ h m ɑ n ɑ pʰ ɑ k ɔ ɾ ɛ n
սահմանափակություն	s ɑ h m ɑ n ɑ pʰ ɑ k u tʰ j u n
սահմանափակում	s ɑ h m ɑ n ɑ pʰ ɑ k u m
սահմանափակվածություն	s ɑ h m ɑ n ɑ pʰ ɑ k v ɑ t͡s u tʰ j u n
սահմանափակվել	s ɑ h m ɑ n ɑ pʰ ɑ k v ɛ l
սահմանել	s ɑ h m ɑ n ɛ l
սահմանվել	s ɑ h m ɑ n v ɛ l
սաղ	s ɑ ʁ
սաղանալ	s ɑ ʁ ɑ n ɑ l
սաղավարտ	s ɑ ʁ ɑ v ɑ ɾ t
սաղարթ	s ɑ ʁ ɑ ɾ tʰ
սաղացնել	s ɑ ʁ ɑ t͡sʰ n ɛ l
սաղլամ	s ɑ ʁ l ɑ m
սաղմ	s ɑ ʁ m
սաղմոն	s ɑ ʁ m ɔ n
սաղմոս	s ɑ ʁ m ɔ s
սամարա	s ɑ m ɑ ɾ ɑ
սամարիա	s ɑ m ɑ ɾ j ɑ
սամարիում	s ɑ m ɑ ɾ i j u m
սամարղանդ	s ɑ m ɑ ɾ ʁ ɑ n d
սամբա	s ɑ m b ɑ
սամբո	s ɑ m b ɔ
սամիթ	s ɑ m i tʰ
սամոսատ	s ɑ m ɔ s ɑ t
սամույր	s ɑ m u j ɾ
սամուրայ	s ɑ m u ɾ ɑ j
սամսար	s ɑ m s ɑ ɾ
սամվել	s ɑ m v ɛ l
սայդա	s ɑ j d ɑ
սայթաքել	s ɑ j tʰ ɑ kʰ ɛ l
սայլ	s ɑ j l
սայլակ	s ɑ j l ɑ k
սայլորդ	s ɑ j l ɔ ɾ tʰ
սան	s ɑ n
սանատրուկ	s ɑ n ɑ t ɾ u k
սանդ	s ɑ n d
սանդաթակ	s ɑ n d ɑ tʰ ɑ k
սանդղակ	s ɑ n d ʁ ɑ k
սանդուղք	s ɑ n d u χ kʰ
սանթուր	s ɑ n tʰ u ɾ
սանկցիա	s ɑ ŋ k t͡sʰ j ɑ
սանձ	s ɑ n d͡z
սանձահարել	s ɑ n d͡z ɑ h ɑ ɾ ɛ l
սանձարձակ	s ɑ n d͡z ɑ ɾ t͡sʰ ɑ k
սանձել	s ɑ n d͡z ɛ l
սանսկրիտ	s ɑ n s k ɾ i t
սանտիմ	s ɑ n t i m
սանտիմետր	s ɑ n t i m ɛ t ə ɾ
սանտյագո	s ɑ n t j ɑ ɡ ɔ
սանր	s ɑ n ə ɾ
սանրել	s ɑ n ɾ ɛ l
սանրվածք	s ɑ n ə ɾ v ɑ t͡s kʰ
սանրվել	s ɑ n ə ɾ v ɛ l
սաշիմի	s ɑ ʃ i m i
սաունա	s ɑ u n ɑ
սապոն	s ɑ p ɔ n
սապփո	s ɑ pʰː ɔ
սառ	s ɑ r
սառա	s ɑ r ɑ
սառել	s ɑ r ɛ l
սառը	s ɑ r ə
սառն	s ɑ r ə n
սառնամանիք	s ɑ r n ɑ m ɑ n i kʰ
սառնապուր	s ɑ r n ɑ p u ɾ
սառնավուն	s ɑ r n ɑ v u n
սառնարան	s ɑ r n ɑ ɾ ɑ n
սառոշկա	s ɑ r ɔ ʃ k ɑ
սառույց	s ɑ r u j t͡sʰ
սառուց	s ɑ r u t͡sʰ
սառուցյալ	s ɑ r u t͡sʰ j ɑ l
սառչել	s ɑ r t͡ʃʰ ɛ l
սառցադաշտ	s ɑ r t͡sʰ ɑ d ɑ ʃ t
սառցալեզվակ	s ɑ r t͡sʰ ɑ l ɛ z v ɑ k
սառցահատ	s ɑ r t͡sʰ ɑ h ɑ t
սառցարան	s ɑ r t͡sʰ ɑ ɾ ɑ n
սասան	s ɑ s ɑ n
սասանել	s ɑ s ɑ n ɛ l
սասիսկի	s ɑ s i s k i
սաստ	s ɑ s t
սաստիկ	s ɑ s t i k
սավան	s ɑ v ɑ n
սավառնել	s ɑ v ɑ r n ɛ l
սատանա	s ɑ t ɑ n ɑ
սատարել	s ɑ t ɑ ɾ ɛ l
սատելիտ	s ɑ t ɛ l i t
սատկել	s ɑ t k ɛ l
սատուռն	s ɑ t u r n
սատուրն	s ɑ t u ɾ n
սար	s ɑ ɾ
սարաեւո	s ɑ ɾ ɑ j ɛ v ɔ
սարայ	s ɑ ɾ ɑ j
սարանսկ	s ɑ ɾ ɑ n s k
սարավանդ	s ɑ ɾ ɑ v ɑ n d
սարավանդակ	s ɑ ɾ ɑ v ɑ n d ɑ k
սարատով	s ɑ ɾ ɑ t ɔ v
սարաֆյան	s ɑ ɾ ɑ f j ɑ n
սարգիս	s ɑ ɾ kʰ i s
սարգսյան	s ɑ ɾ kʰ ə s j ɑ n
սարդ	s ɑ ɾ d
սարդենի	s ɑ ɾ d ɛ n i
սարդեր	s ɑ ɾ d ɛ ɾ
սարդի	s ɑ ɾ d i
սարդիներեն	s ɑ ɾ d i n ɛ ɾ ɛ n
սարդինիա	s ɑ ɾ d i n j ɑ
սարդոստայն	s ɑ ɾ d ɔ s t ɑ j n
սարիղամիշ	s ɑ ɾ i ʁ ɑ m i ʃ
սարկազմ	s ɑ ɾ k ɑ z m
սարկավագ	s ɑ ɾ k ɑ v ɑ ɡ
սարկիսյան	s ɑ ɾ k i s j ɑ n
սարյակ	s ɑ ɾ j ɑ k
սարոյան	s ɑ ɾ ɔ j ɑ n
սարում	s ɑ ɾ u m
սարումյան	s ɑ ɾ u m j ɑ n
սարսափ	s ɑ ɾ s ɑ pʰ
սարսափագին	s ɑ ɾ s ɑ pʰ ɑ ɡ i n
սարսափազդեցիկ	s ɑ ɾ s ɑ pʰ ɑ z d ɛ t͡sʰ i k
սարսափազդու	s ɑ ɾ s ɑ pʰ ɑ z d u
սարսափալից	s ɑ ɾ s ɑ pʰ ɑ l i t͡sʰ
սարսափախառն	s ɑ ɾ s ɑ pʰ ɑ χ ɑ r ə n
սարսափածին	s ɑ ɾ s ɑ pʰ ɑ t͡s i n
սարսափահար	s ɑ ɾ s ɑ pʰ ɑ h ɑ ɾ
սարսափահարել	s ɑ ɾ s ɑ pʰ ɑ h ɑ ɾ ɛ l
սարսափահարություն	s ɑ ɾ s ɑ pʰ ɑ h ɑ ɾ u tʰ j u n
սարսափահարվել	s ɑ ɾ s ɑ pʰ ɑ h ɑ ɾ v ɛ l
սարսափանք	s ɑ ɾ s ɑ pʰ ɑ ŋ kʰ
սարսափել	s ɑ ɾ s ɑ pʰ ɛ l
սարսափելի	s ɑ ɾ s ɑ pʰ ɛ l i
սարսափելիություն	s ɑ ɾ s ɑ pʰ ɛ l i u tʰ j u n
սարսափեցնել	s ɑ ɾ s ɑ pʰ ɛ t͡sʰ n ɛ l
սարսափեցնող	s ɑ ɾ s ɑ pʰ ɛ t͡sʰ n ɔ ʁ
սարսափեցում	s ɑ ɾ s ɑ pʰ ɛ t͡sʰ u m
սարսափեցուցիչ	s ɑ ɾ s ɑ pʰ ɛ t͡sʰ u t͡sʰ i t͡ʃʰ
սարսափում	s ɑ ɾ s ɑ pʰ u m
սարսափուն	s ɑ ɾ s ɑ pʰ u n
սարք	s ɑ ɾ kʰ
սարքավորում	s ɑ ɾ kʰ ɑ v ɔ ɾ u m
սարքել	s ɑ ɾ kʰ ɛ l
սացիվի	s ɑ t͡sʰ i v i
սափոր	s ɑ pʰ ɔ ɾ
սափրել	s ɑ pʰ ɾ ɛ l
սափրիչ	s ɑ pʰ ɾ i t͡ʃʰ
սափրվել	s ɑ pʰ ə ɾ v ɛ l
սաքսոնիա	s ɑ kʰ s ɔ n j ɑ
սաքսոֆոն	s ɑ kʰ s ɔ f ɔ n
սաֆարյան	s ɑ f ɑ ɾ j ɑ n
սգալ	s ə kʰ ɑ l
սդ	s ə d ə
սե	s ɛ
սեբեոս	s ɛ b ɛ ɔ s
սեգ	s ɛ ɡ
սեդա	s ɛ d ɑ
սեդրակ	s ɛ tʰ ɾ ɑ k
սեզ	s ɛ z
սեզոն	s ɛ z ɔ n
սեթ	s ɛ tʰ
սել	s ɛ l
սելավ	s ɛ l ɑ f
սելեն	s ɛ l ɛ n
սելեւկիա	s ɛ l ɛ f k j ɑ
սելջուկ	s ɛ l d͡ʒ u k
սելջուկյան	s ɛ l d͡ʒ u k j ɑ n
սեխ	s ɛ χ
սեկվոյա	s ɛ k v ɔ j ɑ
սեղան	s ɛ ʁ ɑ n
սեղանապետ	s ɛ ʁ ɑ n ɑ p ɛ t
սեղանատամ	s ɛ ʁ ɑ n ɑ t ɑ m
սեղանատուն	s ɛ ʁ ɑ n ɑ t u n
սեղմ	s ɛ ʁ m
սեղմ	s ɛ χ m
սեղմագիր	s ɛ ʁ m ɑ ɡ i ɾ
սեղմագիր	s ɛ χ m ɑ ɡ i ɾ
սեղմակ	s ɛ ʁ m ɑ k
սեղմակ	s ɛ χ m ɑ k
սեղմել	s ɛ ʁ m ɛ l
սեղմել	s ɛ χ m ɛ l
սեղմիչ	s ɛ ʁ m i t͡ʃʰ
սեղմիչ	s ɛ χ m i t͡ʃʰ
սեղմիրան	s ɛ ʁ m i ɾ ɑ n
սեղմիրան	s ɛ χ m i ɾ ɑ n
սեմ	s ɛ m
սեմական	s ɛ m ɑ k ɑ n
սեմերջյան	s ɛ m ɛ ɾ d͡ʒ j ɑ n
սեմուշկա	s ɛ m u ʃ k ɑ
սեյլան	s ɛ j l ɑ n
սեյրան	s ɛ j ɾ ɑ n
սեն	s ɛ n
սենատ	s ɛ n ɑ t
սենդվիչ	s ɛ n d v i t͡ʃʰ
սենեգալ	s ɛ n ɛ ɡ ɑ l
սենյակ	s ɛ n j ɑ k
սենյորություն	s ɛ n j ɔ ɾ u tʰ j u n
սեուլ	s ɛ u l
սեպ	s ɛ p
սեպագիր	s ɛ p ɑ ɡ i ɾ
սեպուհ	s ɛ p u h
սեպտեմբեր	s ɛ p t ɛ m b ɛ ɾ
սեպտեմբերյան	s ɛ p t ɛ m b ɛ ɾ j ɑ n
սեռ	s ɛ r
սեռական	s ɛ r ɑ k ɑ n
սեռանիշ	s ɛ r ɑ n i ʃ
սեռի	s ɛ r i
սեսիա	s ɛ s j ɑ
սեր	s ɛ ɾ
սերբ	s ɛ ɾ b
սերբախորվաթերեն	s ɛ ɾ b ɑ χ ɔ ɾ v ɑ tʰ ɛ ɾ ɛ n
սերբական	s ɛ ɾ b ɑ k ɑ n
սերբերեն	s ɛ ɾ b ɛ ɾ ɛ n
սերբիա	s ɛ ɾ b j ɑ
սերգեյ	s ɛ ɾ ɡ ɛ j
սերգո	s ɛ ɾ ɡ ɔ
սերժ	s ɛ ɾ ʒ
սերկեւիլ	s ɛ ɾ k ɛ v i l
սերկեւիլենի	s ɛ ɾ k ɛ v i l ɛ n i
սերմ	s ɛ ɾ m
սերմնաբշտիկ	s ɛ ɾ m n ɑ b ə ʃ t i k
սերմնաբուշտ	s ɛ ɾ m n ɑ b u ʃ t
սերմնաբջիջ	s ɛ ɾ m n ɑ b ə d͡ʒ i d͡ʒ
սերմնաժայթքում	s ɛ ɾ m n ɑ ʒ ɑ j tʰ kʰ u m
սերմնածորան	s ɛ ɾ m n ɑ t͡s ɔ ɾ ɑ n
սերմնահեղուկ	s ɛ ɾ m n ɑ h ɛ ʁ u k
սերոժ	s ɛ ɾ ɔ ʒ
սերունդ	s ɛ ɾ u n d
սերուցք	s ɛ ɾ u t͡sʰ kʰ
սերտ	s ɛ ɾ t
սերֆինգ	s ɛ ɾ f i ŋ ɡ
սեւ	s ɛ v
սեւադա	s ɛ v ɑ d ɑ
սեւակ	s ɛ v ɑ k
սեւական	s ɛ v ɑ k ɑ n
սեւամորթ	s ɛ v ɑ m ɔ ɾ tʰ
սեւան	s ɛ v ɑ n
սեւաստոպոլ	s ɛ v ɑ s t ɔ p ɔ l
սեւավուն	s ɛ v ɑ v u n
սեւր	s ɛ v ə ɾ
սեւրուկյան	s ɛ v ɾ u k j ɑ n
սեփականություն	s ɛ pʰ ɑ k ɑ n u tʰ j u n
սեքս	s ɛ kʰ s
սեքսիզմ	s ɛ kʰ s i z m
սեֆերբերլիք	s ɛ f ɛ ɾ b ɛ ɾ l i kʰ
սեֆիլյան	s ɛ f i l j ɑ n
սեֆյան	s ɛ f j ɑ n
սզնի	s ə z n i
սթափ	ə s tʰ ɑ pʰ
սթափվել	ə s tʰ ɑ pʰ v ɛ l
սթենդ	ə s tʰ ɛ n d
սիբիր	s i b i ɾ
սիբիրախտ	s i b i ɾ ɑ χ t
սիբորգիում	s i b ɔ ɾ ɡ i j u m
սիգ	s i ɡ
սիգալ	s i ɡ ɑ l
սիգար	s i ɡ ɑ ɾ
սիգարետ	s i ɡ ɑ ɾ ɛ t
սիեստա	s i j ɛ s t ɑ
սիլլա	s i lː ɑ
սիկկիմ	s i kː i m
սիկղ	s i k ə ʁ
սիկոկու	s i k ɔ k u
սիկտիվկար	s i k t i f k ɑ ɾ
սիկտիր	s i k t i ɾ
սիկտիրվել	s i k t i ɾ v ɛ l
սիմոն	s i m ɔ n
սիմոնական	s i m ɔ n ɑ k ɑ n
սիմոնականություն	s i m ɔ n ɑ k ɑ n u tʰ j u n
սիմոնիդես	s i m ɔ n i d ɛ s
սիմոնյան	s i m ɔ n j ɑ n
սիմվոլ	s i m v ɔ l
սիմվոլիկ	s i m v ɔ l i k
սիմֆերոպոլ	s i m f ɛ ɾ ɔ p ɔ l
սին	s i n
սինգապուր	s i ŋ ɡ ɑ p u ɾ
սինդհի	s i n d h i
սինլքոր	s i n l ə kʰ ɔ ɾ
սինձ	s i n d͡z
սիսակ	s i s ɑ k
սիսեռ	s i s ɛ r
սիստեմ	s i s t ɛ m
սիտուացիա	s i t u ɑ t͡sʰ j ɑ
սիրաբանել	s i ɾ ɑ b ɑ n ɛ l
սիրած	s i ɾ ɑ t͡s
սիրակուզա	s i ɾ ɑ k u z ɑ
սիրահար	s i ɾ ɑ h ɑ ɾ
սիրահարվել	s i ɾ ɑ h ɑ ɾ v ɛ l
սիրամարգ	s i ɾ ɑ m ɑ ɾ ɡ
սիրավեպ	s i ɾ ɑ v ɛ p
սիրել	s i ɾ ɛ l
սիրելի	s i ɾ ɛ l i
սիրեկան	s i ɾ ɛ k ɑ n
սիրիա	s i ɾ j ɑ
սիրո	s i ɾ ɔ
սիրող	s i ɾ ɔ ʁ
սիրում	s i ɾ u m
սիրուն	s i ɾ u n
սիրվել	s i ɾ v ɛ l
սիրտ	s i ɾ t
սիրտն	s i ɾ t n
սիցիլիա	s i t͡sʰ i l j ɑ
սիցիլիացի	s i t͡sʰ i l j ɑ t͡sʰ i
սլայդ	s l ɑ j d
սլանալ	s ə l ɑ n ɑ l
սլավ	s ə l ɑ v
սլավական	s l ɑ v ɑ k ɑ n
սլավոն	s ə l ɑ v ɔ n
սլավոնական	s l ɑ v ɔ n ɑ k ɑ n
սլկվել	s ə l k ə v ɛ l
սլովակերեն	s l ɔ v ɑ k ɛ ɾ ɛ n
սլովակիա	s l ɔ v ɑ k j ɑ
սլովեներեն	s l ɔ v ɛ n ɛ ɾ ɛ n
սխալ	s ə χ ɑ l
սխալվել	s ə χ ɑ l v ɛ l
սխտոր	s ə χ t ɔ ɾ
սխրանք	s ə χ ɾ ɑ ŋ kʰ
սկա	ə s k ɑ
սկալդ	ə s k ɑ l d
սկանդինավյան	ə s k ɑ n d i n ɑ v j ɑ n
սկաներ	ə s k ɑ n ɛ ɾ
սկավառակ	ə s k ɑ v ɑ r ɑ k
սկեսար	ə s k ɛ s ɑ ɾ
սկեսուր	ə s k ɛ s u ɾ
սկեսրայր	ə s k ɛ s ɾ ɑ j ɾ
սկեսրար	ə s k ɛ s ɾ ɑ ɾ
սկզբնագիր	ə s k ə z b n ɑ ɡ i ɾ
սկզբնաղբյուր	ə s k ə z b n ɑ χ p j u ɾ
սկզբնատառ	ə s k ə z b n ɑ t ɑ r
սկզբունք	ə s k ə z b u ŋ kʰ
սկզբունքային	ə s k ə z b u ŋ kʰ ɑ j i n
սկզբունքայնություն	ə s k ə z b u ŋ kʰ ɑ j n u tʰ j u n
սկիզբ	ə s k i z b
սկլերոզ	ə s k l ɛ ɾ ɔ z
սկյութ	ə s k j u tʰ
սկյութիա	ə s k j u tʰ j ɑ
սկյուռ	ə s k j u r
սկոպյե	ə s k ɔ p j ɛ
սկոռի	ə s k ɔ r i
սկոտչ	ə s k ɔ t t͡ʃʰ
սկումբրիա	ə s k u m b ɾ j ɑ
սկունդ	ə s k u n d
սկուտեղ	ə s k u t ɛ ʁ
սկսած	ə s k ə s ɑ t͡s
սկսել	ə s k ə s ɛ l
սկսել	ə s kʰ ə s ɛ l
սկսնակ	ə s k ə s n ɑ k
սկսնակ	ə s kʰ ə s n ɑ k
սկվազնյակ	ə s k v ɑ z n j ɑ k
սղոց	s ə ʁ ɔ t͡sʰ
սղոցաձեւ	s ə ʁ ɔ t͡sʰ ɑ d͡z ɛ v
սղոցել	s ə ʁ ɔ t͡sʰ ɛ l
սմարթֆոն	s m ɑ ɾ tʰ f ɔ n
սմբակ	s ə m b ɑ k
սմբատ	s ə m b ɑ t
սմբատուհի	s ə m b ɑ t u h i
սմբուլ	s ə m b u l
սմբուկ	s ə m b u k
սմեգմա	s m ɛ ɡ m ɑ
սմետան	s m ɛ t ɑ n
սմոգ	s m ɔ ɡ
սմոլենսկ	s m ɔ l ɛ n s k
սյամ	s j ɑ m
սյուն	s j u n
սյունակ	s j u n ɑ k
սյունե	s j u n ɛ
սյունիք	s j u n i kʰ
սյունյակ	s j u n j ɑ k
սյուք	s j u kʰ
սնահավատ	s ə n ɑ h ɑ v ɑ t
սնահավատություն	s ə n ɑ h ɑ v ɑ t u tʰ j u n
սնանկանալ	s ə n ɑ ŋ k ɑ n ɑ l
սնանկացում	s ə n ɑ ŋ k ɑ t͡sʰ u m
սնգույր	s ə ŋ ɡ u j ɾ
սնգուրել	s ə ŋ ɡ u ɾ ɛ l
սնգուրում	s ə ŋ ɡ u ɾ u m
սնգուրվել	s ə ŋ ɡ u ɾ v ɛ l
սնդիկ	s ə n d i k
սնդուկ	s ə n d u k
սնկապուր	s ə ŋ k ɑ p u ɾ
սննդակարգ	s ə n ə n d ɑ k ɑ ɾ kʰ
սննդամթերք	s ə n ə n d ɑ m ə tʰ ɛ ɾ kʰ
սննկանալ	s ə n ə ŋ k ɑ n ɑ l
սնոտի	s ə n ɔ t i
սնոտիք	s ə n ɔ t i kʰ
սնուկեր	s n u k ɛ ɾ
սնունդ	s ə n u n d
սնուցում	s ə n u t͡sʰ u m
սոդոմականություն	s ɔ d ɔ m ɑ k ɑ n u tʰ j u n
սոլախյան	s ɔ l ɑ χ j ɑ n
սոլիստ	s ɔ l i s t
սոլոն	s ɔ l ɔ n
սոխ	s ɔ χ
սոխակ	s ɔ χ ɑ k
սոխուկ	s ɔ χ u k
սոկրատես	s ɔ k ɾ ɑ t ɛ s
սողալ	s ɔ ʁ ɑ l
սողանք	s ɔ ʁ ɑ ŋ kʰ
սողդերեն	s ɔ ʁ d ɛ ɾ ɛ n
սողոմոն	s ɔ ʁ ɔ m ɔ n
սողոմոնյան	s ɔ ʁ ɔ m ɔ n j ɑ n
սողուն	s ɔ ʁ u n
սոճի	s ɔ t͡ʃ i
սոմալի	s ɔ m ɑ l i
սոմելիե	s ɔ m ɛ l j ɛ
սոնա	s ɔ n ɑ
սոնիճ	s ɔ n i t͡ʃ
սոուլ	s ɔ u l
սոուս	s ɔ u s
սոչի	s ɔ t͡ʃʰ i
սոջու	s ɔ d͡ʒ u
սոսափ	s ɔ s ɑ pʰ
սոսափյուն	s ɔ s ɑ pʰ j u n
սոսի	s ɔ s i
սոսինձ	s ɔ s i n d͡z
սոսկ	s ɔ s k
սով	s ɔ v
սովալլուկ	s ɔ v ɑ lː u k
սոված	s ɔ v ɑ t͡s
սովամահ	s ɔ v ɑ m ɑ h
սովամահություն	s ɔ v ɑ m ɑ h u tʰ j u n
սովետական	s ɔ v ɛ t ɑ k ɑ n
սովոր	s ɔ v ɔ ɾ
սովորաբար	s ɔ v ɔ ɾ ɑ b ɑ ɾ
սովորական	s ɔ v ɔ ɾ ɑ k ɑ n
սովորել	s ɔ v ɔ ɾ ɛ l
սովորեցնել	s ɔ v ɔ ɾ ɛ t͡sʰ n ɛ l
սովորություն	s ɔ v ɔ ɾ u tʰ j u n
սովորույթ	s ɔ v ɔ ɾ u j tʰ
սոր	s ɔ ɾ
սորալ	s ɔ ɾ ɑ l
սորբոն	s ɔ ɾ b ɔ n
սորգո	s ɔ ɾ ɡ ɔ
սորել	s ɔ ɾ ɛ l
սորոս	s ɔ ɾ ɔ s
սոցիալական	s ɔ t͡sʰ j ɑ l ɑ k ɑ n
սոցիալիզմ	s ɔ t͡sʰ j ɑ l i z m
սոցիալիստական	s ɔ t͡sʰ j ɑ l i s t ɑ k ɑ n
սոցիոլոգ	s ɔ t͡sʰ j ɔ l ɔ ɡ
սոցիոլոգիա	s ɔ t͡sʰ j ɔ l ɔ ɡ j ɑ
սոցցանց	s ɔ t͡sʰː ɑ n t͡sʰ
սուբյեկտիվություն	s u b j ɛ k t i v u tʰ j u n
սուգ	s u kʰ
սուդան	s u d ɑ n
սուզանավ	s u z ɑ n ɑ v
սուզել	s u z ɛ l
սուզվել	s u z v ɛ l
սուլել	s u l ɛ l
սուլթան	s u l tʰ ɑ n
սուլիչ	s u l i t͡ʃʰ
սուլուգունի	s u l u ɡ u n i
սուխում	s u χ u m
սուխումի	s u χ u m i
սուկրե	s u k ɾ ɛ
սուղ	s u ʁ
սումեր	s u m ɛ ɾ
սումո	s u m ɔ
սույն	s u j n
սունդաներեն	s u n d ɑ n ɛ ɾ ɛ n
սունկ	s u ŋ k
սուշի	s u ʃ i
սուչավա	s u t͡ʃʰ ɑ v ɑ
սուպ	s u p
սուպերմարկետ	s u p ɛ ɾ m ɑ ɾ k ɛ t
սուջուխ	s u d͡ʒ u χ
սուս	s u s
սուսեր	s u s ɛ ɾ
սուսերամարտ	s u s ɛ ɾ ɑ m ɑ ɾ t
սուսերամարտիկ	s u s ɛ ɾ ɑ m ɑ ɾ t i k
սուսուփուս	s u s u pʰ u s
սուվա	s u v ɑ
սուտ	s u t
սուտակ	s u t ɑ k
սուտասան	s u t ɑ s ɑ n
սուր	s u ɾ
սուրահ	s u ɾ ɑ h
սուրամ	s u ɾ ɑ m
սուրամի	s u ɾ ɑ m i
սուրբ	s u ɾ pʰ
սուրգուտ	s u ɾ ɡ u t
սուրեն	s u ɾ ɛ n
սուրճ	s u ɾ t͡ʃ
սուրսաթ	s u ɾ s ɑ tʰ
սոփոկլես	s ɔ pʰ ɔ k l ɛ s
սոֆիա	s ɔ f i ɑ
սոֆոկլես	s ɔ f ɔ k l ɛ s
սպա	ə s p ɑ
սպահան	ə s p ɑ h ɑ n
սպանախ	ə s p ɑ n ɑ χ
սպանդ	ə s p ɑ n d
սպանդանոց	ə s p ɑ n d ɑ n ɔ t͡sʰ
սպանել	ə s p ɑ n ɛ l
սպանիա	ə s p ɑ n j ɑ
