ँ	ə̃
सलाम	s̪ ə l̪ ä̃ː m
सलामत	s̪ ə l̪ äː m ə t̪
सलामी	s̪ ə l̪ äː m iː
सलाह	s̪ ə l̪ äː ɦ
सलाहकार	s̪ ə l̪ äː ɦ k äː ɾ
सलीक़ा	s̪ ə l̪ iː k äː
सलीक़ा	s̪ ə l̪ iː q äː
सलीब	s̪ ə l̪ iː b
सलीम	s̪ ə l̪ ĩː m
सलूक	s̪ ə l̪ uː k
सलोतरी	s̪ ə l̪ oː t̪ ɾ iː
सलोना	s̪ ə l̪ oː n̪ äː
सल्तनत	s̪ ə l̪ t̪ ə n̪ ə t̪
सवर्ण	s̪ ə ʋ ə ɾ ɳ
सवा	s̪ ə ʋ äː
सवाना	s̪ ə ʋ äː n̪ äː
सवार	s̪ ə ʋ äː ɾ
सवाल	s̪ ə ʋ äː l̪
सवेरा	s̪ ə ʋ eː ɾ äː
सवेरे	s̪ ə ʋ eː ɾ eː
सशंक	s̪ ə ʃ ə̃ ŋ k
सशक्तिकरण	s̪ ə ʃ ə k t̪ ɪ k ə ɾ ə̃ ɳ
सशस्त्र	s̪ ə ʃ ə s̪ t̪ ɾᵊ
सशुल्क	s̪ ə ʃ ʊ l̪ k
ससुर	s̪ ə s̪ ʊ ɾ
ससुराल	s̪ ə s̪ ʊ ɾ äː l̪
सस्ता	s̪ ə s̪ t̪ äː
सस्ताई	s̪ ə s̪ t̪ äː iː
सस्तापन	s̪ ə s̪ t̪ äː p ə̃ n̪
सस्यविज्ञान	s̪ ə s̪ j ə ʋ ɪ ɡ j ä̃ː n̪
सहकर्मी	s̪ ɛ ɦ k ə ɾ m iː
सहकारी	s̪ ɛ ɦ k äː ɾ iː
सहचर	s̪ ɛ ɦ t͡ʃ ə ɾ
सहज	s̪ ɛ ɦ ɛ d͡ʒ
सहजात	s̪ ɛ ɦ d͡ʒ äː t̪
सहन	s̪ ə ɦ n̪
सहन	s̪ ɛ ɦ ɛ̃ n̪
सहना	s̪ ɛ ɦ n̪ äː
सहपाठी	s̪ ɛ ɦ p äː ʈʰ iː
सहबद्ध	s̪ ɛ ɦ b ə d̪ d̪ʱ
सहभागी	s̪ ɛ ɦ bʱ äː ɡ iː
सहमत	s̪ ɛ ɦ m ə t̪
सहमति	s̪ ɛ ɦ m ə t̪ iː
सहयोग	s̪ ɛ ɦ j oː ɡ
सहयोगी	s̪ ɛ ɦ j oː ɡ iː
सहर	s̪ ɛ ɦ ɛ ɾ
सहरा	s̪ ɛ ɦ ɾ äː
सहरी	s̪ ɛ ɦ ɾ iː
सहलाना	s̪ ɛ ɦ l̪ äː n̪ äː
सहवास	s̪ ɛ ɦ ʋ äː s̪
सहसंयोजक	s̪ ɛ ɦ s̪ ə̃ j oː d͡ʒ ə k
सहसा	s̪ ɛ ɦ s̪ äː
सहस्र	s̪ ɛ ɦ ɛ s̪ t̪ ɾᵊ
सहस्र	s̪ ɛ ɦ ɛ s̪ ɾᵊ
सहस्रपाद	s̪ ɛ ɦ ɛ s̪ ɾ ə p äː d̪
सहस्रमान	s̪ ɛ ɦ ɛ s̪ ɾ ə m ä̃ː n̪
सहस्रिमान	s̪ ɛ ɦ ɛ s̪ ɾ ɪ m ä̃ː n̪
सहायक	s̪ ə ɦ äː j ə k
सहायता	s̪ ə ɦ äː j t̪ äː
सहारा	s̪ ə ɦ äː ɾ äː
सहित	s̪ ə ɦ ɪ t̪
सही	s̪ ə ɦ iː
सहेजना	s̪ ə ɦ eː d͡ʒ n̪ äː
सहेली	s̪ ə ɦ eː l̪ iː
सहोदर	s̪ ə ɦ oː d̪ ə ɾ
स़िफ़र	s̪ ɪ f ə ɾ
स़िफ़र	s̪ ɪ pʰ ə ɾ
साँई	s̪ ä̃ː iː
साँझ	s̪ ä̃ː n̪ d͡ʒʱ
साँड़	s̪ ä̃ː ɽ
साँप	s̪ ä̃ː p
साँवला	s̪ ä̃ː ʋ l̪ äː
साँस	s̪ ä̃ː s̪
सांख्यिकी	s̪ ä̃ː kʰ j ɪ k iː
सांझ	s̪ ä̃ː n̪ d͡ʒʱ
सांड	s̪ ä̃ː ɳ ɖ
सांडा	s̪ ä̃ː ɳ ɖ äː
सांद्रता	s̪ ä̃ː n̪ d̪ ɾ ə t̪ äː
सांप	s̪ ä̃ː p
सांप्रदायिकता	s̪ ä̃ː p ɾ ə d̪ äː j ɪ k t̪ äː
सांबर	s̪ ä̃ː m b ə ɾ
सांस	s̪ ä̃ː n̪ s̪
सांसद	s̪ ä̃ː n̪ s̪ ə d̪
सांस्कृतिक	s̪ ä̃ː n̪ s̪ k ɾ ɪ t̪ ɪ k
साइकल	s̪ äː ɪ k ə l̪
साइकिल	s̪ äː ɪ k ɪ l̪
साइप्रस	s̪ äː ɪ p ɾ ə s̪
साउथहैंपटन	s̪ äː ʊ t̪ʰ ɦ ɛ̃ː m p ʈ ə̃ n̪
साउथॉल	s̪ äː ʊ t̪ʰ ɔ l̪
साक्षर	s̪ äː k ʃ ə ɾ
साक्षात्कार	s̪ äː k ʃ äː t̪ k äː ɾ
साक्षी	s̪ äː k ʃ iː
साक्ष्य	s̪ äː k ʃ jᵊ
साख	s̪ äː kʰ
साग	s̪ äː ɡ
सागर	s̪ äː ɡ ə ɾ
सागौन	s̪ äː ɡ ɔ̃ː n̪
साजन	s̪ äː d͡ʒ ə̃ n̪
साज़	s̪ äː d͡ʒ
साज़	s̪ äː z
साज़िश	s̪ äː d͡ʒ ɪ ʃ
साज़िश	s̪ äː z ɪ ʃ
साझा	s̪ äː d͡ʒʱ äː
साझेदार	s̪ äː d͡ʒʱ eː d̪ äː ɾ
साझेदारी	s̪ äː d͡ʒʱ eː d̪ äː ɾ iː
साठ	s̪ äː ʈʰ
साड़ी	s̪ äː ɽ iː
साढ़े	s̪ äː ɽʱ eː
सात	s̪ äː t̪
सातवाहन	s̪ äː t̪ w äː ɦ ə̃ n̪
साथ	s̪ äː t̪ʰ
साथसाथ	s̪ äː t̪ʰ s̪ äː t̪ʰ
साथी	s̪ äː t̪ʰ iː
साद	s̪ äː d̪
सादगी	s̪ äː d̪ ə ɡ iː
सादा	s̪ äː d̪ äː
सादिक़ाबाद	s̪ äː d̪ ɪ k äː b äː d̪
सादिक़ाबाद	s̪ äː d̪ ɪ q äː b äː d̪
साधन	s̪ äː d̪ʱ ə̃ n̪
साधना	s̪ äː d̪ʱ n̪ äː
साधारण	s̪ äː d̪ʱ äː ɾ ə̃ ɳ
साधारणतः	s̪ äː d̪ʱ äː ɾ ə̃ ɳ t̪ ə ɦ
साध्वी	s̪ äː d̪ʱ ʋ iː
सानी	s̪ äː n̪ iː
साप्ताहिक	s̪ äː p t̪ äː ɦ ɪ k
साफ	s̪ äː f
साफ	s̪ äː pʰ
साफ़	s̪ äː f
साफ़	s̪ äː pʰ
साबिक	s̪ äː b ɪ k
साबिक	s̪ äː b ɪ q
साबिक़	s̪ äː b ɪ k
साबिक़	s̪ äː b ɪ q
साबित	s̪ äː b ɪ t̪
साबू	s̪ äː b uː
साबूदाना	s̪ äː b uː d̪ äː n̪ äː
साम	s̪ ä̃ː m
सामग्री	s̪ äː m ə ɡ ɾ iː
सामन	s̪ äː m ə̃ n̪
सामना	s̪ ä̃ː m n̪ äː
सामने	s̪ ä̃ː m n̪ eː
सामरिक	s̪ ä̃ː m ɾ ɪ k
सामर्थ्य	s̪ äː m ə ɾ t̪ʰ j ə
सामवेद	s̪ ä̃ː m w eː d̪
सामान	s̪ äː m ä̃ː n̪
सामान्यतः	s̪ äː m ä̃ː n̪ j ə t̪ ə ɦ
सामान्यीकृत	s̪ äː m ä̃ː n̪ j iː k ɾ ɪ t̪
सामी	s̪ äː m iː
सामुदायिक	s̪ äː m ʊ d̪ äː j ɪ k
सामूहिक	s̪ äː m uː ɦ ɪ k
साम्य	s̪ ä̃ː m jᵊ
साम्यवाद	s̪ ä̃ː m j ə ʋ äː d̪
साम्यावस्था	s̪ ä̃ː m j äː ʋ ə s̪ t̪ʰ äː
साम्राज्य	s̪ ä̃ː m ɾ äː d͡ʒ jᵊ
साम्राज्यवाद	s̪ ä̃ː m ɾ äː d͡ʒ j ə ʋ äː d̪
सायबान	s̪ äː j b ä̃ː n̪
साया	s̪ äː j äː
सारंगी	s̪ äː ɾ ə̃ ŋ ɡ iː
सारणी	s̪ äː ɾ ɳ iː
सारथी	s̪ äː ɾ ə t̪ʰ iː
सारस	s̪ äː ɾ ə s̪
सारा	s̪ äː ɾ äː
सारांश	s̪ äː ɾ ä̃ː n̪ ʃ
सार्थ	s̪ äː ɾ t̪ʰ
सार्थक	s̪ äː ɾ t̪ʰ ə k
सार्वजनिक	s̪ äː ɾ ʋ d͡ʒ ə n̪ ɪ k
सार्वत्रिक	s̪ äː ɾ ʋ ə t̪ ɾ ɪ k
सार्वभौमिक	s̪ äː ɾ ʋ ə bʱ ɔː m ɪ k
साल	s̪ äː l̪
सालगिरह	s̪ äː l̪ ɡ ɪ ɾ ə ɦ
सालन	s̪ äː l̪ ə̃ n̪
सालभर	s̪ äː l̪ bʱ ə ɾ
सालाना	s̪ äː l̪ äː n̪ äː
सावधानी	s̪ äː ʋ d̪ʱ äː n̪ iː
सास	s̪ äː s̪
साहसी	s̪ äː ɦ s̪ iː
साहित्य	s̪ äː ɦ ɪ t̪ jᵊ
साहित्यिक	s̪ äː ɦ ɪ t̪ j ɪ k
साहिब	s̪ äː b
साहिब	s̪ äː ɦ b
साहिब	s̪ äː ɦ ə b
साहिब	s̪ äː ɦ ɪ b
साहिल	s̪ äː ɦ ɪ l̪
साही	s̪ äː ɦ iː
साहूकार	s̪ äː ɦ uː k äː ɾ
सिंगापुर	s̪ ɪ̃ ŋ ɡ äː p ʊ ɾ
सिंघ	s̪ ɪ̃ ŋ ɡʱ
सिंचाई	s̪ ɪ̃ n̪ t͡ʃ äː iː
सिंचित	s̪ ɪ̃ n̪ t͡ʃ ɪ t̪
सिंदूर	s̪ ɪ̃ n̪ d̪ uː ɾ
सिंह	s̪ ɪ̃ ŋ ɡʱ
सिंहला	s̪ ɪ̃ ŋ ɡʱ l̪ äː
सिंहला	s̪ ɪ̃ ŋ ɡʱ ə l̪ äː
सिंहाली	s̪ ɪ̃ ɦ äː l̪ iː
सिंहासन	s̪ ɪ̃ ŋ ɡʱ äː s̪ ə̃ n̪
सिकंदर	s̪ ɪ k ə̃ n̪ d̪ ə ɾ
सिकंदराबाद	s̪ ɪ k ə̃ n̪ d̪ ə ɾ äː b äː d̪
सिकोड़ना	s̪ ɪ k oː ɽ n̪ äː
सिक्का	s̪ ɪ k̚ k äː
सिक्किम	s̪ ɪ k̚ k ɪ̃ m
सिगरेट	s̪ ɪ ɡ ə ɾ eː ʈ
सिगार	s̪ ɪ ɡ äː ɾ
सिचुआन	s̪ ɪ t͡ʃ ʊ ä̃ː n̪
सिडनी	s̪ ɪ ɖ n̪ iː
सितंबर	s̪ ɪ t̪ ə̃ m b ə ɾ
सितम	s̪ ɪ t̪ ə̃ m
सितारा	s̪ ɪ t̪ äː ɾ äː
सिद्ध	s̪ ɪ d̪ d̪ʱ
सिद्धांत	s̪ ɪ d̪̚ d̪ʱ ä̃ː n̪ t̪
सिनेमा	s̪ ɪ n̪ eː m äː
सिनेमाघर	s̪ ɪ n̪ eː m äː ɡʱ ə ɾ
सिपाही	s̪ ɪ p äː ɦ iː
सिफ़त	s̪ ɪ f ə t̪
सिफ़त	s̪ ɪ pʰ ə t̪
सिफ़र	s̪ ɪ f ə ɾ
सिफ़र	s̪ ɪ pʰ ə ɾ
सिफ़ारत	s̪ ɪ f äː ɾ ə t̪
सिफ़ारत	s̪ ɪ pʰ äː ɾ ə t̪
सिफ़ारतख़ाना	s̪ ɪ f äː ɾ ə t̪ x äː n̪ äː
सिफ़ारतख़ाना	s̪ ɪ pʰ äː ɾ ə t̪ kʰ äː n̪ äː
सिफ़ारिश	s̪ ɪ f äː ɾ ɪ ʃ
सिफ़ारिश	s̪ ɪ pʰ äː ɾ ɪ ʃ
सिमटना	s̪ ɪ m ə ʈ n̪ äː
सिया	s̪ i j äː
सियापति	s̪ i j äː p ə t̪ iː
सियाप्पा	s̪ i j äː p̚ p äː
सियार	s̪ i j äː ɾ
सियालकोट	s̪ i j äː l̪ k oː ʈ
सियाह	s̪ i j äː ɦ
सियाही	s̪ i j äː ɦ iː
सियोल	s̪ i j oː l̪
सिर	s̪ ɪ ɾ
सिरका	s̪ ɪ ɾ k äː
सिरदर्द	s̪ ɪ ɾ d̪ ə ɾ d̪
सिरहाना	s̪ ɪ ɾ ɦ äː n̪ äː
सिरा	s̪ ɪ ɾ äː
सिर्फ	s̪ ɪ ɾ f
सिर्फ	s̪ ɪ ɾ pʰ
सिलपट	s̪ ɪ l̪ p ə ʈ
सिलवट	s̪ ɪ l̪ ʋ ə ʈ
सिलवाना	s̪ ɪ l̪ ʋ äː n̪ äː
सिलसिला	s̪ ɪ l̪ s̪ ɪ l̪ äː
सिलाई	s̪ ɪ l̪ äː iː
सिसकना	s̪ ɪ s̪ ə k n̪ äː
सी	s̪ iː
सींग	s̪ ĩː ŋ ɡ
सीखना	s̪ iː kʰ n̪ äː
सीख़चा	s̪ iː kʰ t͡ʃ äː
सीख़चा	s̪ iː x t͡ʃ äː
सीट	s̪ iː ʈ
सीठा	s̪ iː ʈʰ äː
सीढ़ी	s̪ iː ɽʱ iː
सीता	s̪ iː t̪ äː
सीताफल	s̪ iː t̪ äː pʰ ə l̪
सीधा	s̪ iː d̪ʱ äː
सीना	s̪ iː n̪ äː
सीनेट	s̪ iː n̪ eː ʈ
सीनेटर	s̪ iː n̪ eː ʈ ə ɾ
सीमा	s̪ iː m äː
सीमित	s̪ iː m ɪ t̪
सीरत	s̪ iː ɾ ə t̪
सीरिया	s̪ iː ɾ i j äː
सीस	s̪ iː s̪
सुंदर	s̪ ʊ̃ n̪ d̪ ə ɾ
सुंदरता	s̪ ʊ̃ n̪ d̪ ə ɾ t̪ äː
सुअर	s̪ ʊ ə ɾ
सुई	s̪ uː iː
सुईकार	s̪ ʊ iː k äː ɾ
सुईदाब	s̪ ʊ iː d̪ äː b
सुक़रात	s̪ ʊ k ɾ äː t̪
सुक़रात	s̪ ʊ q ɾ äː t̪
सुकून	s̪ ʊ k ũː n̪
सुख	s̪ ʊ kʰ
सुखपूर्वक	s̪ ʊ kʰ p uː ɾ ʋ ə k
सुखमय	s̪ ʊ kʰ m ə j
सुखाना	s̪ ʊ kʰ äː n̪ äː
सुगंध	s̪ ʊ ɡ ə̃ n̪ d̪ʱ
सुगन्ध	s̪ ʊ ɡ ə̃ n̪ d̪ʱ
सुग्गा	s̪ ʊ ɡ ɡ äː
सुचारु	s̪ ʊ t͡ʃ äː ɾ uː
सुझाना	s̪ ʊ d͡ʒʱ äː n̪ äː
सुझाव	s̪ ʊ d͡ʒʱ äː ʋ
सुडौल	s̪ ʊ ɖ ɔː l̪
सुथरा	s̪ ʊ t̪ʰ ɾ äː
सुधार	s̪ ʊ d̪ʱ äː ɾ
सुधारक	s̪ ʊ d̪ʱ äː ɾ ə k
सुधारना	s̪ ʊ d̪ʱ äː ɾ n̪ äː
सुधारवादी	s̪ ʊ d̪ʱ äː ɾ ʋ äː d̪ iː
सुनना	s̪ ʊ̃ n̪ n̪ äː
सुनवाई	s̪ ʊ̃ n̪ w äː iː
सुनसान	s̪ ʊ̃ n̪ s̪ ä̃ː n̪
सुनहरा	s̪ ʊ n̪ ɛ ɦ ɾ äː
सुनाई	s̪ ʊ n̪ äː iː
सुनाना	s̪ ʊ n̪ äː n̪ äː
सुनामी	s̪ ʊ n̪ äː m iː
सुनार	s̪ ʊ n̪ äː ɾ
सुनीत	s̪ ʊ n̪ iː t̪
सुन्दर	s̪ ʊ̃ n̪ d̪ ə ɾ
सुन्नत	s̪ ʊ̃ n̪ n̪ ə t̪
सुन्नी	s̪ ʊ̃ n̪ n̪ iː
सुपुर्द	s̪ ʊ p ʊ ɾ d̪
सुप्रभात	s̪ ʊ p ɾ ə bʱ äː t̪
सुबकना	s̪ ʊ b ə k n̪ äː
सुबह	s̪ ʊ b ə ɦ
सुबह	s̪ ʊ b ɦᵊ
सुबह	s̪ ʊ bʱ ə
सुबोध	s̪ ʊ b oː d̪ʱ
सुभानअल्लाह	s̪ ʊ bʱ ä̃ː n̪ ‿ ə l̪ l̪ äː ɦ
सुमन	s̪ ʊ m ə̃ n̪
सुमात्रा	s̪ ʊ m äː t̪ ɾ äː
सुर	s̪ ʊ ɾ
सुरंग	s̪ ʊ ɾ ə̃ ŋ ɡ
सुरक्षा	s̪ ʊ ɾ ə k ʃ äː
सुरक्षाबल	s̪ ʊ ɾ ə k ʃ äː b ə l̪
सुरत	s̪ ʊ ɾ ə t̪
सुरमा	s̪ ʊ ɾ m äː
सुराख़	s̪ ʊ ɾ äː kʰ
सुराख़	s̪ ʊ ɾ äː x
सुरिनाम	s̪ ʊ ɾ ɪ n̪ ä̃ː m
सुरीला	s̪ ʊ ɾ iː l̪ äː
सुर्ख़ाब	s̪ ʊ ɾ kʰ äː b
सुर्ख़ाब	s̪ ʊ ɾ x äː b
सुर्ख़ी	s̪ ʊ ɾ kʰ iː
सुर्ख़ी	s̪ ʊ ɾ x iː
सुलझा	s̪ ʊ l̪ d͡ʒʱ äː
सुलझाना	s̪ ʊ l̪ d͡ʒʱ äː n̪ äː
सुलभ	s̪ ʊ l̪ ə bʱ
सुलवाना	s̪ ʊ l̪ ʋ äː n̪ äː
सुलह	s̪ ʊ l̪ ə ɦ
सुलाना	s̪ ʊ l̪ äː n̪ äː
सुलेमान	s̪ ʊ l̪ eː m ä̃ː n̪
सुल्टाना	s̪ ʊ l̪ ʈ äː n̪ äː
सुल्ताना	s̪ ʊ l̪ t̪ äː n̪ äː
सुविख्यात	s̪ ʊ ʋ ɪ kʰ j äː t̪
सुविधा	s̪ ʊ ʋ ɪ d̪ʱ äː
सुशासन	s̪ ʊ ʃ äː s̪ ə̃ n̪
सुसंगत	s̪ ʊ s̪ ə̃ ŋ ɡ ə t̪
सुसंस्कृत	s̪ ʊ s̪ ə̃ n̪ s̪ k ɾ ɪ t̪
सुसज्जित	s̪ ʊ s̪ ə d̚ d͡ʒ ɪ t̪
सुस्ताना	s̪ ʊ s̪ t̪ äː n̪ äː
सुस्ती	s̪ ʊ s̪ t̪ iː
सुस्वादु	s̪ ʊ s̪ ʋ äː d̪ uː
सुस्सा	s̪ ʊ s̪ s̪ äː
सुहाग	s̪ ʊ ɦ äː ɡ
सुहाना	s̪ ʊ ɦ äː n̪ äː
सुहावना	s̪ ʊ ɦ äː ʋ n̪ äː
सूँघना	s̪ ũː ŋ ɡʱ n̪ äː
सूंघना	s̪ ũː ŋ ɡʱ n̪ äː
सूंस	s̪ ũː n̪ s̪
सूअर	s̪ uː ə ɾ
सूआ	s̪ uː äː
सूई	s̪ uː iː
सूकरमांस	s̪ uː k ə ɾ m ä̃ː n̪ s̪
सूक्ष्मदर्शी	s̪ uː k ʃ m ə d̪ ə ɾ ʃ iː
सूक्ष्माणु	s̪ uː k ʃ m äː ɳ uː
सूखना	s̪ uː kʰ n̪ äː
सूखा	s̪ uː kʰ äː
सूचक	s̪ uː t͡ʃ ə k
सूचना	s̪ uː t͡ʃ n̪ äː
सूचनात्मक	s̪ uː t͡ʃ n̪ äː t̪ m ə k
सूचित	s̪ uː t͡ʃ ɪ t̪
सूची	s̪ uː t͡ʃ iː
सूचीबद्ध	s̪ uː t͡ʃ iː b ə d̪ d̪ʱ
सूजन	s̪ uː d͡ʒ ə̃ n̪
सूजी	s̪ uː d͡ʒ iː
सूडान	s̪ uː ɖ ä̃ː n̪
सूत	s̪ uː t̪
सूतिका	s̪ uː t̪ ɪ k äː
सूतिकागार	s̪ uː t̪ ɪ k äː ɡ äː ɾ
सूतिकागृह	s̪ uː t̪ ɪ k äː ɡ ɾ ɪ ɦ
सूती	s̪ uː t̪ iː
सूत्र	s̪ uː t̪ ɾᵊ
सूद	s̪ uː d̪
सूना	s̪ uː n̪ äː
सूनू	s̪ uː n̪ uː
सूबा	s̪ uː b äː
सूर	s̪ uː ɾ
सूरज	s̪ uː ɾ ə d͡ʒ
सूरजमुखी	s̪ uː ɾ ə d͡ʒ m ʊ kʰ iː
सूरिया	s̪ uː ɾ i j äː
सूर्य	s̪ uː ɾ jᵊ
सूर्यकांति	s̪ uː ɾ j ə k ä̃ː n̪ t̪ iː
सूर्यकान्ति	s̪ uː ɾ j ə k ä̃ː n̪ t̪ iː
सूर्यास्त	s̪ uː ɾ j äː s̪ t̪
सूर्योदय	s̪ uː ɾ j oː d̪ ə j
सृजन	s̪ ɾ ɪ d͡ʒ ə̃ n̪
सृष्टि	s̪ ɾ ɪ ʃ ʈ iː
से	s̪ eː
सेंकना	s̪ ẽː ŋ k n̪ äː
सेंट	s̪ ẽː ɳ ʈ
सेंटी	s̪ ẽː ɳ ʈ iː
सेंटीमीटर	s̪ ẽː ɳ ʈ iː m iː ʈ ə ɾ
सेज	s̪ eː d͡ʒ
सेटिंग	s̪ eː ʈ ɪ̃ ŋ ɡ
सेटेलाईट	s̪ eː ʈ eː l̪ äː iː ʈ
सेठ	s̪ eː ʈʰ
सेना	s̪ eː n̪ äː
सेनेगल	s̪ eː n̪ eː ɡ ə l̪
सेब	s̪ eː b
सेर	s̪ eː ɾ
सेल	s̪ eː l̪
सेल्फ़ी	s̪ eː l̪ f iː
सेल्फ़ी	s̪ eː l̪ pʰ iː
सेवँई	s̪ eː ʋ ə̃ iː
सेवक	s̪ eː ʋ ə k
सेवा	s̪ eː ʋ äː
सेवानिवृत्त	s̪ eː ʋ äː n̪ ɪ ʋ ɾ ɪ t̪ t̪
सेवानिवृत्ति	s̪ eː ʋ äː n̪ ɪ ʋ ɾ ɪ t̪̚ t̪ iː
सेविका	s̪ eː ʋ ɪ k äː
सेहत	s̪ eː ɦ ə t̪
सेहतमंद	s̪ eː ɦ ə t̪ m ə̃ n̪ d̪
सेहरा	s̪ eː ɦ ɾ äː
सेही	s̪ eː ɦ iː
सैंतालीस	s̪ ɛ̃ː n̪ t̪ äː l̪ iː s̪
सैंतीस	s̪ ɛ̃ː n̪ t̪ iː s̪
सैकंड	s̪ ɛː k ə̃ ɳ ɖ
सैकड़ा	s̪ ɛː k ɽ äː
सैकण्ड	s̪ ɛː k ə̃ ɳ ɖ
सैकता	s̪ ɛː k t̪ äː
सैद्धांतिक	s̪ ɛː d̪̚ d̪ʱ ä̃ː n̪ t̪ ɪ k
सैनिक	s̪ ɛː n̪ ɪ k
सैन्य	s̪ ɛ̃ː n̪ jᵊ
सैर	s̪ ɛː ɾ
सैलाब	s̪ ɛː l̪ äː b
सॉकर	s̪ ɔ k ə ɾ
सॉफ़्टवेयर	s̪ ɔ f ʈ ə ʋ eː j ə ɾ
सॉफ़्टवेयर	s̪ ɔ pʰ ʈ ə ʋ eː j ə ɾ
सॉरी	s̪ ɔ ɾ iː
सॉसेज	s̪ ɔ s̪ eː d͡ʒ
सो	s̪ oː
सोआ	s̪ oː äː
सोखना	s̪ oː kʰ n̪ äː
सोग	s̪ oː ɡ
सोचना	s̪ oː t͡ʃ n̪ äː
सोची	s̪ oː t͡ʃ iː
सोणिया	s̪ oː ɳ i j äː
सोता	s̪ oː t̪ äː
सोना	s̪ oː n̪ äː
सोनार	s̪ oː n̪ äː ɾ
सोमवार	s oː m w aː ɾ
सोमालिया	s̪ oː m äː l̪ i j äː
सोमाली	s̪ oː m äː l̪ iː
सोलह	s̪ oː l̪ äː ɦ
सोलह	s̪ oː l̪ ə ɦ
सोवियत	s̪ oː ʋ i j ə t̪
सोशलिस्ट	s̪ oː ʃ l̪ ɪ s̪ ʈ
सोहाग	s̪ oː ɦ äː ɡ
सौ	s̪ ɔː
सौंदर्यशास्त्र	s̪ ɔ̃ː n̪ d̪ ə ɾ j ə ʃ äː s̪ t̪ ɾᵊ
सौंपना	s̪ ɔ̃ː m p n̪ äː
सौंफ	s̪ ɔ̃ː f
सौंफ	s̪ ɔ̃ː m pʰ
सौंफ	s̪ ɔ̃ː pʰ
सौंह	s̪ ɔ̃ː ɦ
सौगंद	s̪ ɔː ɡ ə̃ n̪ d̪
सौगन्द	s̪ ɔː ɡ ə̃ n̪ d̪
सौत	s̪ ɔː t̪
सौतेला	s̪ ɔː t̪ eː l̪ äː
सौदा	s̪ ɔː d̪ äː
सौदागर	s̪ ɔː d̪ äː ɡ ə ɾ
सौन्दर्य	s̪ ɔ̃ː n̪ d̪ ə ɾ jᵊ
सौभाग्य	s̪ ɔː bʱ äː ɡ jᵊ
सौम्य	s̪ ɔ̃ː m jᵊ
सौर	s̪ ɔː ɾ
सौरमंडल	s̪ ɔː ɾ m ə̃ ɳ ɖ ə l̪
सौराष्ट्र	s̪ ɔː ɾ äː ʃ ʈ ɾᵊ
सौर्य	s̪ ɔː ɾ jᵊ
स्कर्ट	s̪ k ə ɾ ʈ
स्कूल	s̪ k uː l̪
स्कूली	s̪ k uː l̪ iː
स्कॉट्स	s̪ k ɔ ʈ s̪
स्क्रीनिंग	s̪ k ɾ iː n̪ ɪ̃ ŋ ɡ
स्खलन	s̪ kʰ ə l̪ ə̃ n̪
स्टाक	s̪ ʈ äː k
स्टार	s̪ ʈ äː ɾ
स्टेटस	s̪ ʈ eː ʈ ə s̪
स्टेडियम	s̪ ʈ eː ɖ i j ə̃ m
स्टेथोस्कोप	s̪ ʈ eː t̪ʰ oː s̪ k oː p
स्टेशन	s̪ ɪ ʈ eː ʃ ə̃ n̪
स्टेशन	s̪ ʈ eː ʃ ə̃ n̪
स्टेशन	ɪ s̪ ʈ eː ʃ ə̃ n̪
स्तंभ	s̪ t̪ ə̃ m bʱ
स्तंभन	s̪ t̪ ə̃ m bʱ ə̃ n̪
स्तनधारी	s̪ t̪ ə̃ n̪ d̪ʱ äː ɾ iː
स्तनपायी	s̪ t̪ ə̃ n̪ p äː j iː
स्तर	s̪ t̪ ə ɾ
स्तुति	s̪ t̪ ʊ t̪ iː
स्तूप	s̪ t̪ uː p
स्तूप	s̪ t̪ uː p əᵊ
स्त्री	s̪ t̪ ɾ iː
स्त्रीत्व	s̪ t̪ ɾ iː t̪ wᵊ
स्त्रीलिंग	s̪ t̪ ɾ iː l̪ ɪ̃ ŋ ɡ
स्त्रोत	s̪ t̪ ɾ oː t̪
स्थगित	s̪ t̪ʰ ə ɡ ɪ t̪
स्थल	s̪ t̪ʰ ə l̪
स्थलीय	s̪ t̪ʰ ə l̪ iː jᵊ
स्थाई	s̪ t̪ʰ äː iː
स्थान	s̪ t̪ʰ ä̃ː n̪
स्थानांतरण	s̪ t̪ʰ äː n̪ ä̃ː n̪ t̪ ɾ ə̃ ɳ
स्थानीय	s̪ t̪ʰ äː n̪ iː jᵊ
स्थापत्य	s̪ t̪ʰ äː p ə t̪ jᵊ
स्थापना	s̪ t̪ʰ äː p n̪ äː
स्थापित	s̪ t̪ʰ äː p ɪ t̪
स्थायी	s̪ t̪ʰ äː j iː
स्थायीकार	s̪ t̪ʰ äː j iː k äː ɾ
स्थित	s̪ t̪ʰ ɪ t̪
स्थिति	s̪ t̪ʰ ɪ t̪ iː
स्थितिज	s̪ t̪ʰ ɪ t̪ ɪ d͡ʒ
स्थिर	s̪ t̪ʰ ɪ ɾ
स्थूल	s̪ t̪ʰ uː l̪
स्नातक	s̪ n̪ äː t̪ ə k
स्नातकोत्तर	s̪ n̪ äː t̪ ə k oː t̪̚ t̪ ə ɾ
स्नान	s̪ n̪ ä̃ː n̪
स्नानघर	s̪ n̪ ä̃ː n̪ ɡʱ ə ɾ
स्नानागार	s̪ n̪ äː n̪ äː ɡ äː ɾ
स्नायु	s̪ n̪ äː j uː
स्निग्ध	s̪ n̪ ɪ ɡ d̪ʱ
