ء	ʔ
ژرف‌ترین	ʒ æ ɾ f t æ ɾ iː n
ژم	ʒ æ m
ژنو	ʒ e n e v
ژولیدن	ʒ uː l iː d æ n
ژوپیتر	ʒ u p i t e ɾ
ژکفر	ʒ æ k f æ ɾ
کابل	k ɑː b u l
کابل	k ɒː b o l
کابل	k ɒː b ʊ l
کابل	k ɔː b u l
کادو	k ɑː d u
کادو	k ɒː d o
کادو	k ɒː d ʊ
کادو	k ɔː d u
کار	k ɑː ɾ
کار	k ɒː ɾ
کار	k ɔː ɾ
کارزار	k ɑː ɾ z ɑː ɾ
کارزار	k ɒː ɾ z ɒː ɾ
کارزار	k ɔː ɾ z ɔː ɾ
کاروان	k ɒː ɾ w ɒː n
کارواژه‌ها	k ɒː r v ɒː ʒ e h ɒː
کارواژگان	k ɒː r v ɒː ʒ e ɡ ɒː n
کاریز	k ɑː ɾ eː z
کاریز	k ɒː ɾ eː z
کاریز	k ɒː ɾ iː z
کاریز	k ɔː ɾ e z
کاسه	k ɒː s e
کاسه	k ɒː s æ
کاغذ	k ɑː ɣ a ð
کاغذ	k ɒː ɣ a z
کاغذ	k ɒː ɣ æ z
کاغذ	k ɔː ɣ a z
کاغذها	k ɒː ɣ æ z h ɒː
کافر	k ɒː f e r
کافی	k ɑː f iː
کافی	k ɒː f iː
کافی	k ɔː f iː
کالب	k ɒː l e b
کالب	k ɒː l o b
کالبد	k ɑː l b u d
کالبد	k ɒː l b o d
کالبد	k ɒː l b ʊ d
کالبد	k ɔː l b u d
کالیفرنیا	k ɒː l iː f o r n i j ɒː
کباب	k a b ɑː b
کباب	k a b ɒː b
کباب	k a b ɔː b
کباب	k æ b ɒː b
کبوتر	k æ b oː t æ ɾ
کبوتر	k æ b uː t æ ɾ
کبود	k æ b oː d
کبود	k æ b uː d
کتاب	k e t ɒː b
کتاب	k i t ɑː b
کتاب	k i t ɔː b
کتاب	k ɪ t ɒː b
کجا	k o d͡ʒ ɒː
کجا	k u d͡ʒ ɑː
کجا	k u d͡ʒ ɔː
کجا	k ʊ d͡ʒ ɒː
کرایه	k i ɾ ɒː j æ
کردار	k e ɾ d ɒː ɾ
کردار	k i ɾ d ɑː ɾ
کردار	k i ɾ d ɔː ɾ
کردار	k ɪ ɾ d ɒː ɾ
کردن	k a ɾ d a n
کردن	k e ɾ d æ n
کردن	k æ ɾ d æ n
کرس	k e ɾ s
کرس	k i ɾ s
کرس	k ɪ ɾ s
کرفس	k æ ɾ æ f s
کریمه	k e ɾ iː m e
کس	k a s
کس	k æ s
کسی	k a s e
کسی	k a s eː
کسی	k æ s iː
کشتن	k e ʃ t æ n
کشتن	k i ʃ t a n
کشتن	k o ʃ t æ n
کشتن	k u ʃ t a n
کشتن	k ɪ ʃ t a n
کشتن	k ʊ ʃ t a n
کشکول	k æ ʃ k uː l
کشیدن	k a ʃ i d a n
کشیدن	k a ʃ iː d a n
کشیدن	k æ ʃ iː d æ n
کشیش	k a ʃ i ʃ
کشیش	k a ʃ iː ʃ
کشیش	k æ ʃ iː ʃ
کفاش	k æ f f ɒ ʃ
کفتر	k e f t æ ɾ
کفش	k æ f ʃ
کلاس	k e l ɒː s
کلاغ	k a l ɑː ɣ
کلاغ	k a l ɒː ɣ
کلاغ	k a l ɔː ɣ
کلاغ	k æ l ɒː ɣ
کلان	k a l ɑː n
کلان	k a l ɒː n
کلان	k a l ɔː n
کلان	k æ l ɒː n
کلفخشنگ	k a l a f a x ʃ a n ɡ
کلفخشنگ	k æ l æ f æ x ʃ æ n ɡ
کلمه	k a l a m a
کلمه	k æ l æ m e
کلنگ	k o l æ ŋ ɡ ~ k o l o ŋ ɡ
کلنگ	k u l a ŋ ɡ ~ k u l u ŋ ɡ
کلنگ	k ʊ l a ŋ ɡ ~ k ʊ l ʊ ŋ ɡ
کلپ	k l æ p
کلید	k a l i d ~ k i l i d
کلید	k a l iː d ~ k i l iː d
کلید	k a l iː d ~ k ɪ l iː d
کلید	k æ l iː d ~ k e l iː d
کم	k a m
کم	k æ m
کماشیر	k a m ɑː ʃ eː ɾ
کماشیر	k a m ɒː ʃ eː ɾ
کماشیر	k a m ɔː ʃ e ɾ
کماشیر	k æ m ɒː ʃ iː ɾ
کمان	k a m ɑː n
کمان	k a m ɒː n
کمان	k a m ɔː n
کمان	k æ m ɒː n
کمانچه	k a m ɑː n t͡ʃ a
کمانچه	k a m ɒː n t͡ʃ a
کمانچه	k a m ɔ n t͡ʃ a
کمانچه	k æ m ɒː n t͡ʃ e
کمتر	k a m t a ɾ
کمتر	k æ m t æ ɾ
کمزور	k a m z oː ɾ
کمزور	k a m z ɵː ɾ
کمزور	k æ m z uː ɾ
کمو	k æ m uː
کمک	k o m æ k
کمک	k u m a k
کمک	k ʊ m a k
کم‌کم	k æ m k æ m
کن	k e n
کن	k o n
کن	k u n
کن	k ʊ n
کنار	k e n ɒː ɾ
کنده	k a n d a
کنده	k o n d e
کنده	k u n d a
کنده	k æ n d e
کنده	k ʊ n d a
کنسرت	k o n s e ɾ t
کنعان	k æ n ʔ ɒː n
کنفرانس	k o n f e ɾ ɒː n s
کنکور	k o ŋ k uː r
کنگره	k o n ɡ r e
کنیسه	k a n i s a
کنیسه	k a n iː s a
کنیسه	k æ n iː s e
که	k e
که	k e h
که	k i
که	k ɪ
کهر	k æ h æ ɾ
کهنه	k o h n e
کهنه	k u h n a
کهنه	k ɵː h n a
کهنه	k ʊ h n a
کهکشان	k a h k a ʃ ɑː n
کهکشان	k a h k a ʃ ɒː n
کهکشان	k a h k a ʃ ɔː n
کهکشان	k æ h k æ ʃ ɒː n
کهکشان‌ها	k æ h k æ ʃ ɒː n h ɒː
کوتاه	k oː t ɑː h
کوتاه	k oː t ɒː h
کوتاه	k uː t ɒː h
کوتاه	k ɵː t ɔː h
کوتاه‌تر	k uː t ɒː h t æ ɾ
کوتاه‌ترین	k uː t ɒː h t æ ɾ iː n
کود	k oː d
کود	k uː d
کود	k ɵː d
کودکان	k uː d æ k ɒː n
کوره	k oː ɾ a
کوره	k uː ɾ e
کوره	k ɵː ɾ a
کوزه	k u z a
کوزه	k uː z a
کوزه	k uː z e
کوشش	k oː ʃ i ʃ
کوشش	k oː ʃ ɪ ʃ
کوشش	k uː ʃ e ʃ
کوشش	k ɵː ʃ i ʃ
کوشک	k oː ʃ k
کوشک	k uː ʃ k
کوشک	k ɵː ʃ k
کوفته	k oː f t a
کوفته	k uː f t e
کوفته	k ɵː f t a
کون	kʰ u n
کوه	k oː h
کوه	k uː h
کوه	k ɵː h
کوهستان	k oː h i s t ɑː n
کوهستان	k oː h ɪ s t ɒː n
کوهستان	k uː h e s t ɒː n
کوهستان	k ɵː h i s t ɔː n
کوچه	k oː t͡ʃ a
کوچه	k uː t͡ʃ e
کوچه	k ɵː t͡ʃ a
کوچک‌تر	k uː t ʃ e k t æ ɾ
کوچک‌ترین	k uː t ʃ e k t æ ɾ iː n
کوکب	k a v k a b
کوکب	k a w k a b
کوکب	k o w k æ b
کی	k a j
کی	k e j
کی	k iː
کیر	k e ɾ
کیر	k eː ɾ
کیر	k iː ɾ
کیمیا	k iː m i j ɒː
کین	k iː n
کینه	k iː n e
کیهان	k a j h ɑː n
کیهان	k a j h ɒː n
کیهان	k a j h ɔː n
کیهان	k e j h ɒː n
کیهانی	k a j h ɑː n iː
کیهانی	k a j h ɒː n iː
کیهانی	k a j h ɔː n iː
کیهانی	k e j h ɒː n iː
کیچه	kʰ iː t͡ʃʰ e
کیچه	kʰ iː t͡ʃʰ æ
گا	ɡ ɒː
گائیدن	ɡ ɑː j iː d a n
گائیدن	ɡ ɒː j iː d a n
گائیدن	ɡ ɔː j i d a n
گاب	ɡ ɒː b
گاراژ	ɡ ɒː ɾ ɒː ʒ
گاری	ɡ ɒː ɾ iː
گاز	ɡ ɒː z
گاش	ɡ ɒː ʃ
گام	ɡ ɒː m
گان	ɡ ɑː n
گان	ɡ ɒː n
گان	ɡ ɔː n
گاه	ɡ ɒː h
گاو	ɡ o ʊ
گاو	ɡ ɒː v
گاو	ɡ ɒː w
گاومیش	ɡ ɑː v m eː ʃ
گاومیش	ɡ ɒː v m iː ʃ
گاومیش	ɡ ɒː w m eː ʃ
گاومیش	ɡ ɔː v m e ʃ
گجرات	ɡ o d͡ʒ æ ɾ ɒː t
گجرات	ɡ u d͡ʒ a ɾ ɑː t
گجرات	ɡ u d͡ʒ a ɾ ɔː t
گجرات	ɡ ʊ d͡ʒ a ɾ ɒː t
گدازه	ɡ o d ɒː z e
گذاشتن	ɡ o z ɒː ʃ t æ n
گذاشتن	ɡ u z ɔː ʃ t a n
گذاشتن	ɡ u ð ɑː ʃ t a n
گذاشتن	ɡ ʊ z ɒː ʃ t a n
گذراندن	ɡ o z æ ɾ ɒː n d æ n
گذراندن	ɡ o z ɒː ɾ uː n d æ n
گذراندن	ɡ u z a ɾ ɔː n d a n
گذراندن	ɡ u ð a ɾ ɑː n d a n
گذراندن	ɡ ʊ z a ɾ ɒː n d a n
گذشتن	ɡ o z æ ʃ t æ n
گذشتن	ɡ u z a ʃ t a n
گذشتن	ɡ u ð a ʃ t a n
گذشتن	ɡ ʊ z a ʃ t a n
گذشته	ɡ o z æ ʃ t e
گذشته	ɡ u z a ʃ t a
گذشته	ɡ u ð a ʃ t a
گذشته	ɡ ʊ z a ʃ t a
گرا	ɡ a ɾ ɑː
گرا	ɡ a ɾ ɒː
گرا	ɡ a ɾ ɔː
گرا	ɡ æ ɾ ɒː
گراز	ɡ o ɾ ɒː z
گران	ɡ a ɾ ɑː n ~ ɡ i ɾ ɑː n
گران	ɡ a ɾ ɒː n ~ ɡ ɪ ɾ ɒː n
گران	ɡ a ɾ ɔː n ~ ɡ i ɾ ɔː n
گران	ɡ æ ɾ ɒː n ~ ɡ e ɾ ɒː n
گران	ɡ ɒː ɾ uː n ~ ɡ e ɾ uː n
گربسن	ɡ e r b e s æ n
گربه	ɡ o ɾ b e
گربه	ɡ u ɾ b a
گربه	ɡ ʊ ɾ b a
گرختن	ɡ o ɾ eː x t æ n
گرختن	ɡ o ɾ oː x t æ n
گردن	ɡ a ɾ d a n
گردن	ɡ æ ɾ d æ n
گردیدن	ɡ a ɾ d i d a n
گردیدن	ɡ a ɾ d iː d a n
گردیدن	ɡ æ ɾ d iː d æ n
گرزمان	ɡ æ ɾ æ z m ɒː n
گرزه	ɡ o ɾ z e
گرزه	ɡ u ɾ z a
گرزه	ɡ ʊ ɾ z a
گرفتن	ɡ e ɾ e f t æ n
گرفتن	ɡ i ɾ i f t a n
گرفتن	ɡ ɪ ɾ ɪ f t a n
گرم	ɡ a ɾ m
گرم	ɡ æ ɾ m
گرمابه	ɡ æ ɾ m ɒː b e
گره	ɡ e r e h
گروه	ɡ o ɾ uː h
گروه	ɡ u ɾ oː h
گروه	ɡ u ɾ ɵː h
گروه	ɡ ʊ ɾ oː h
گرچه	ɡ a ɾ t͡ʃ a
گرچه	ɡ æ ɾ t͡ʃ e
گرگ	ɡ o ɾ ɡ
گرگ	ɡ u ɾ ɡ
گرگ	ɡ ʊ ɾ ɡ
گریختن	ɡ o ɾ iː x t æ n
گریختن	ɡ u ɾ e x t a n
گریختن	ɡ u ɾ eː x t a n
گریختن	ɡ ʊ ɾ eː x t a n
گریستن	ɡ e ɾ iː s t æ n
گریستن	ɡ i ɾ i s t a n
گریستن	ɡ i ɾ iː s t a n
گریستن	ɡ ɪ ɾ iː s t a n
گریه	ɡ e ɾ j e
گریه	ɡ i ɾ j a
گریه	ɡ ɪ ɾ j a
گز	ɡ æ z
گزاردن	ɡ o z ɒː ɾ d æ n
گزاردن	ɡ u z ɑː ɾ d a n
گزاردن	ɡ u z ɔː ɾ d a n
گزاردن	ɡ ʊ z ɒː ɾ d a n
گزاف	ɡ a z ɑː f
گزاف	ɡ a z ɒː f
گزاف	ɡ a z ɔː f
گزاف	ɡ æ z ɒː f
گزاف‌تر	ɡ æ z ɒː f t æ ɾ
گزاف‌ترین	ɡ æ z ɒː f t æ ɾ iː n
گزیدن	ɡ a z i d a n
گزیدن	ɡ a z iː d a n
گزیدن	ɡ o z iː d æ n
گزیدن	ɡ u z i d a n
گزیدن	ɡ u z iː d a n
گزیدن	ɡ æ z iː d æ n
گزیدن	ɡ ʊ z iː d a n
گزینش	ɡ o z iː n e ʃ
گزینش	ɡ u z i n i ʃ
گزینش	ɡ u z iː n i ʃ
گزینش	ɡ ʊ z iː n ɪ ʃ
گستاخ	ɡ o s t ɒː x
گستاخ	ɡ u s t ɑː x
گستاخ	ɡ u s t ɔː x
گستاخ	ɡ ʊ s t ɒː x
گستردن	ɡ o s t æ ɾ d æ n
گستردن	ɡ u s t a ɾ d a n
گستردن	ɡ ʊ s t a ɾ d a n
گسترده	ɡ o s t æ ɾ d e
گسستن	ɡ o s æ s t æ n
گسستن	ɡ u s a s t a n
گسستن	ɡ ʊ s a s t a n
گشاد	ɡ o ʃ ɒː d
گشادن	ɡ o ʃ ɒː d æ n
گشادن	ɡ u ʃ ɑː d a n
گشادن	ɡ u ʃ ɔː d a n
گشادن	ɡ ʊ ʃ ɒː d a n
گشتن	ɡ a ʃ t a n
گشتن	ɡ æ ʃ t æ n
گشنیز	ɡ e ʃ n iː z
گشنیز	ɡ i ʃ n i z
گشنیز	ɡ i ʃ n iː z
گشنیز	ɡ ɪ ʃ n iː z
گشودن	ɡ o ʃ uː d æ n
گشودن	ɡ u ʃ u d a n
گشودن	ɡ u ʃ uː d a n
گشودن	ɡ ʊ ʃ uː d a n
گفتار	ɡ o f t ɒː ɾ
گفتار	ɡ u f t ɑː ɾ
گفتار	ɡ u f t ɔː ɾ
گفتار	ɡ ʊ f t ɒː ɾ
گفتن	ɡ o f t æ n
گفتن	ɡ u f t a n
گفتن	ɡ ʊ f t a n
گفتگو	ɡ o f t o ɡ uː j
گفتگو	ɡ u f t u ɡ uː j
گفتگو	ɡ u f t u ɡ ɵː j
گفتگو	ɡ ʊ f t ʊ ɡ uː j
گل	ɡ e l
گل	ɡ o l
گل	ɡ u l
گل	ɡ ɪ l
گل	ɡ ʊ l
گلاب	ɡ o l ɒː b
گلاب	ɡ u l ɑː b
گلاب	ɡ u l ɔː b
گلاب	ɡ ʊ l ɒː b
گلابی	ɡ o l ɒː b iː
گلابی	ɡ u l ɑː b iː
گلابی	ɡ u l ɔː b iː
گلدان	ɡ o l d ɒː n
گلدان	ɡ u l d ɑː n
گلدان	ɡ u l d ɔː n
گلدان	ɡ ʊ l d ɒː n
گلستان	ɡ o l e s t ɒː n
گلستان	ɡ u l i s t ɑː n
گلستان	ɡ u l i s t ɔː n
گلستان	ɡ ʊ l ɪ s t ɒː n
گلف	ɡ o l f
گلو	ɡ a l u ~ ɡ u l u
گلو	ɡ a l uː ~ ɡ u l uː
گلو	ɡ a l uː ~ ɡ ʊ l uː
گلو	ɡ æ l uː ~ ɡ o l uː
گلپر	ɡ o l p æ ɾ
گلپر	ɡ u l p a ɾ
گلپر	ɡ ʊ l p a ɾ
گلی	ɡ o l iː
گلی	ɡ o l l iː
گم	ɡ o m
گم	ɡ u m
گم	ɡ ʊ m
گناه	ɡ o n ɒː h
گناه	ɡ u n ɑː h
گناه	ɡ u n ɔː h
گناه	ɡ ʊ n ɒː h
گنبد	ɡ o m b æ d
گنبد	ɡ u m b a d
گنبد	ɡ ʊ m b a d
گنجشک	ɡ o n d͡ʒ e ʃ k
گنجشک	ɡ u n d͡ʒ i ʃ k
گنجشک	ɡ ʊ n d͡ʒ ɪ ʃ k
گنجینه	ɡ a n d͡ʒ i n a
گنجینه	ɡ a n d͡ʒ iː n a
گنجینه	ɡ æ n d͡ʒ iː n e
گندم	ɡ a n d u m
گندم	ɡ a n d ʊ m
گندم	ɡ æ n d o m
گنم	ɡ e n o m
گهواره	ɡʲ a h v ɑː ɾ a
گهواره	ɡʲ a h v ɔː ɾ a
گهواره	ɡʲ a h w ɒː ɾ a
گهواره	ɡʲ æ h v ɒː ɾ e
گو	ɡ o w
گو	ɡ uː j
گو	ɡ ɵː j
گواشتن	ɡ o v ɒː ʃ t æ n
گواشتن	ɡ u v ɑː ʃ t a n
گواشتن	ɡ u v ɔː ʃ t a n
گواشتن	ɡ ʊ w ɒː ʃ t a n
گوجه	ɡ a v d͡ʒ a
گوجه	ɡ a w d͡ʒ a
گوجه	ɡ o w d͡ʒ e
گودرز	ɡ oː d æ ɾ z
گودرز	ɡ uː d æ ɾ z
گور	ɡ oː ɾ
گور	ɡ uː ɾ
گور	ɡ æ v ɾ
گور	ɡ æ w ɾ
گور	ɡ ɵː ɾ
گورخر	ɡ oː ɾ x æ ɾ
گورخر	ɡ uː ɾ e x æ ɾ
گورخر	ɡ uː ɾ x æ ɾ
گورستان	ɡ oː ɾ i s t ɑː n
گورستان	ɡ oː ɾ ɪ s t ɒː n
گورستان	ɡ uː ɾ e s t ɒː n
گورستان	ɡ ɵː ɾ i s t ɔː n
گوساله	ɡ uː s ɒː l e
گوسفند	ɡ oː s f a n d ~ ɡ oː s p a n d
گوسفند	ɡ uː s f e n d
گوسفند	ɡ uː s f æ n d ~ ɡ uː s p æ n d
گوسفند	ɡ ɵː s f a n d ~ ɡ ɵː s p a n d
گوش	ɡ oː ʃ
گوش	ɡ uː ʃ
گوش	ɡ ɵː ʃ
گوشت	ɡ oː ʃ t
گوشت	ɡ uː ʃ t
گوشت	ɡ ɵː ʃ t
گوشه	ɡ oː ʃ a
گوشه	ɡ uː ʃ e
گوشه	ɡ ɵː ʃ a
گون	ɡ oː n
گون	ɡ uː n
گون	ɡ ɵː n
گونه	ɡ oː n a
گونه	ɡ uː n e
گونه	ɡ ɵː n a
گوهر	ɡ a v h a ɾ
گوهر	ɡ a w h a ɾ
گوهر	ɡ o w h æ ɾ
گوگرد	ɡ oː ɡ ɪ ɾ d
گوگرد	ɡ uː ɡ e ɾ d
گوی	ɡ uː
گوی	ɡ uː j
گوی	ɡ ɵː j
گویش	ɡ oː j i ʃ
گویش	ɡ oː j ɪ ʃ
گویش	ɡ uː j e ʃ
گویش	ɡ ɵː j i ʃ
گی	a ɡ iː
گی	e ɡ iː
گیان	ɡ o j ɒː n
گیان	ɡ u j ɑː n
گیان	ɡ u j ɔː n
گیان	ɡ ʊ j ɒː n
گیتا	ɡ iː t ɒː
گیتی	ɡ eː t iː
گیتی	ɡ iː t iː
گیس	ɡ e s
گیس	ɡ eː s
گیس	ɡ iː s
گیسو	ɡ e s u
گیسو	ɡ eː s uː
گیسو	ɡ iː s uː
گیک	ɡ iː k
یا	j ɑː
یا	j ɒː
یا	j ɔː
یاب	j ɒː b
یاد	j ɑː d
یاد	j ɒː d
یاد	j ɔː d
یار	j ɑː ɾ
یار	j ɒː ɾ
یار	j ɔː ɾ
یاسا	j ɑː s ɑː
یاسا	j ɒː s ɒː
یاسا	j ɔː s ɔː
یاساء	j ɒː s ɒː ʔ
یاساق	j ɒː s ɒː q
یاسمن	j ɑː s a m a n
یاسمن	j ɒː s a m a n
یاسمن	j ɒː s æ m æ n
یاسمن	j ɔː s a m a n
یافتن	j ɑː f t a n
یافتن	j ɒː f t a n
یافتن	j ɒː f t æ n
یافتن	j ɔː f t a n
یاقوت	j ɑː q u t
یاقوت	j ɒː q ʊ t
یاقوت	j ɒː ɣ o t
یاقوت	j ɔː q u t
یاور	j ɒː v æ ɾ
یاکند	j ɑː k a n d
یاکند	j ɒː k a n d
یاکند	j ɒː k æ n d
یاکند	j ɔː k a n d
یتیم	j a t i m
یتیم	j a t iː m
یتیم	j æ t iː m
یخ	j a x
یخ	j æ x
یخچال	j a x t͡ʃ ɑː l
یخچال	j a x t͡ʃ ɒː l
یخچال	j a x t͡ʃ ɔː l
یخچال	j æ x t͡ʃ ɒː l
یراق	j æ ɾ ɒː ɣ
یزد	j a z d
یزد	j æ z d
یزدان	j æ z d ɒː n
یعنی	j a ʔ n iː
یعنی	j æ ʔ n iː
یلدا	j a l d ɒ
یم	j a m
یم	j æ m
یمن	j a m a n
یمن	j æ m æ n
ین	eː n
ین	iː n
یه	j e
یهود	j a h u d
یهود	j a h uː d
یهود	j æ h uː d
یهودی	j a h u d iː
یهودی	j a h uː d iː
یهودی	j æ h uː d iː
یواش	j æ v ɒː ʃ
یک	j a k
یک	j æ k
یکا	j a k ɑː
یکا	j a k ɒː
یکا	j a k ɔː
یکا	j æ k ɒː
یگانه	j a ɡ ɑː n a
یگانه	j a ɡ ɒː n a
یگانه	j a ɡ ɔː n a
یگانه	j æ ɡ ɒː n e
یی	j iː
