@	a̠ t̚ t o̞
花束	h a̠ n a̠ t a̠ b a̠
はなだより	h a̠ n a̠ d a̠ j o̞ ɾʲ i
鼻血	h a̠ n a̠ ʑ i
はなちらし	h a̠ n a̠ t͡ɕ i ɾ a̠ ɕ i
花時計	h a̠ n a̠ d o̞ k e̞ː
バナナ	b a̠ n a̠ n a̠
花吐き病	h a̠ n a̠ h a̠ kʲ i bʲ o̞ː
甚だ	h a̠ n a̠ h a̠ d a̠
はなばたけ	h a̠ n a̠ b a̠ t a̠ k e̞
甚だしい	h a̠ n a̠ h a̠ d a̠ ɕ i i
花蜂	h a̠ n a̠ b a̠ t͡ɕ i
華々しい	h a̠ n a̠ b a̠ n a̠ ɕ i i
花火	h a̠ n a̠ bʲ i
花冷え	h a̠ n a̠ bʲ i e̞
花火石菖	h a̠ n a̠ bʲ i z e̞ kʲ i ɕ o̞ː
花びら	h a̠ n a̠ bʲ i ɾ a̠
パナマ	p a̠ n a̠ m a̠
花実	h a̠ n a̠ mʲ i
花見	h a̠ n a̠ mʲ i
鼻眼鏡	h a̠ n a̠ m e̞ ɡ a̠ n e̞
花屋	h a̠ n a̠ j a̠
華やか	h a̠ n a̠ j a̠ k a̠
花野菜	h a̠ n a̠ j a̠ s a̠ i
はなよめ	h a̠ n a̠ j o̞ m e̞
離れ	h a̠ n a̠ ɾ e̞
ばなれ	b a̠ n a̠ ɾ e̞
離れ座敷	h a̠ n a̠ ɾ e̞ z a̠ ɕ i kʲ i
離れ磯	h a̠ n a̠ ɾ e̞ s o̞
はなれちち	h a̠ n a̠ ɾ e̞ t͡ɕ i t͡ɕ i
離れ離れ	h a̠ n a̠ ɾ e̞ b a̠ n a̠ ɾ e̞
ハニー	h a̠ ɲ̟ iː
バニー	b a̠ ɲ̟ iː
パニーニ	p a̠ ɲ̟ iː ɲ̟ i
パニーノ	p a̠ ɲ̟ iː n o̞
はにかみ	h a̠ ɲ̟ i k a̠ mʲ i
ハニトラ	h a̠ ɲ̟ i t o̞ ɾ a̠
バニラ	b a̠ ɲ̟ i ɾ a̠
羽	h a̠ n e̞
発条	b a̠ n e̞
パネェ	p a̠ n e̞ː
羽田	h a̠ n e̞ d a̠
跳ね橋	h a̠ n e̞ b a̠ ɕ i
はねペン	h a̠ n e̞ p ẽ̞ ɴ
跳満	h a̠ n e̞ m ã̠ ɴ
パネラー	p a̠ n e̞ ɾ a̠ː
ハノイ	h a̠ n o̞ i
ハノーファー	h a̠ n o̞ː ɸ a̠ː
パノラマ	p a̠ n o̞ ɾ a̠ m a̠
母	h a̠ h a̠
幅	h a̠ b a̠
パパ	p a̠ p a̠
ばば	b a̠ b a̠
婆	b a̠ b a̠
馬場	b a̠ b a̠
ばばあ	b a̠ b a̠ː
バハーラート	b a̠ h a̠ː ɾ a̠ː t o̞
パパイア	p a̠ p a̠ i a̠
バハイ教	b a̠ h a̠ i kʲ o̞ː
パパイヤ	p a̠ p a̠ i j a̠
母親	h a̠ h a̠ o̞ j a̠
ははかた	h a̠ h a̠ k a̠ t a̠
はばかり	h a̠ b a̠ k a̠ ɾʲ i
母子	h a̠ h a̠ k o̞
葉蜂	h a̠ b a̠ t͡ɕ i
ばばっちい	b a̠ b a̠ t̚ t͡ɕ iː
はばとび	h a̠ b a̠ t o̞ bʲ i
ハバナ	h a̠ b a̠ n a̠
幅広い	h a̠ b a̠ ç i ɾ o̞ i
バハマ	b a̠ h a̠ m a̠
バハラート	b a̠ h a̠ ɾ a̠ː t o̞
パパラッチ	p a̠ p a̠ ɾ a̠ t̚ t͡ɕ i
ババリア	b a̠ b a̠ ɾʲ i a̠
馬尾	b a̠ bʲ i
パピアメント語	p a̠ pʲ i a̠ m ẽ̞ n t o̞ ɡ o̞
ハビービー	h a̠ bʲ iː bʲ iː
ハピエン	h a̠ pʲ i ẽ̞ ɴ
馬尾松	b a̠ bʲ i ɕ o̞ː
ハピバ	h a̠ pʲ i b a̠
ハビビ	h a̠ bʲ i bʲ i
バビロニア	b a̠ bʲ i ɾ o̞ ɲ̟ i a̠
パフェ	p a̠ ɸ e̞
馬兵	b a̠ h e̞ː
歯偏	h a̠ h ẽ̞ ɴ
破片	h a̠ h ẽ̞ ɴ
はペン	h a̠ p ẽ̞ ɴ
ハボローネ	h a̠ b o̞ ɾ o̞ː n e̞
浜	h a̠ m a̠
破魔	h a̠ m a̠
葉巻き	h a̠ m a̠ kʲ i
バマコ	b a̠ m a̠ k o̞
破魔師	h a̠ m a̠ ɕ i
浜鯛	h a̠ m a̠ d a̠ i
はまだらか	h a̠ m a̠ d a̠ ɾ a̠ k a̠
魬	h a̠ m a̠ t͡ɕ i
浜名	h a̠ m a̠ n a̠
浜名湖	h a̠ m a̠ n a̠ k o̞
浜辺	h a̠ m a̠ b e̞
浜弁慶草	h a̠ m a̠ b ẽ̞ ŋ k e̞ː s o̞ː
破魔矢	h a̠ m a̠ j a̠
はまやき	h a̠ m a̠ j a̠ kʲ i
蝮	h a̠ mʲ i
馬銜	h a̠ mʲ i
バミー	b a̠ mʲ iː
歯磨き	h a̠ mʲ i ɡ a̠ kʲ i
歯磨き粉	h a̠ mʲ i ɡ a̠ kʲ i̥ k o̞
はみパン	h a̠ mʲ i p ã̠ ɴ
食み物	h a̠ mʲ i m o̞ n o̞
ばみり	b a̠ mʲ i ɾʲ i
羽目	h a̠ m e̞
場面	b a̠ m ẽ̞ ɴ
鱧	h a̠ m o̞
は文字	h a̠ m o̞ ʑ i
刃物	h a̠ m o̞ n o̞
葉物	h a̠ m o̞ n o̞
ハモり	h a̠ m o̞ ɾʲ i
波紋	h a̠ m õ̞ ɴ
破門	h a̠ m õ̞ ɴ
早	h a̠ j a̠
早足	h a̠ j a̠ a̠ ɕ i
早い	h a̠ j a̠ i
速い	h a̠ j a̠ i
早起き	h a̠ j a̠ o̞ kʲ i
はやおし	h a̠ j a̠ o̞ ɕ i
はやおしき	h a̠ j a̠ o̞ ɕ i kʲ i
はやがき	h a̠ j a̠ ɡ a̠ kʲ i
早合点	h a̠ j a̠ ɡ a̠ t ẽ̞ ɴ
速さ	h a̠ j a̠ s a̠
早咲き	h a̠ j a̠ z a̠ kʲ i
暴雨	h a̠ j a̠ s a̠ m e̞
はやし	h a̠ j a̠ ɕ i
囃子	h a̠ j a̠ ɕ i
林	h a̠ j a̠ ɕ i
はやしことば	h a̠ j a̠ ɕ i k o̞ t o̞ b a̠
早死に	h a̠ j a̠ ʑ i ɲ̟ i
早瀬	h a̠ j a̠ s e̞
早とちり	h a̠ j a̠ t o̞ t͡ɕ i ɾʲ i
早寝	h a̠ j a̠ n e̞
早飲み込み	h a̠ j a̠ n o̞ mʲ i k o̞ mʲ i
早々	h a̠ j a̠ b a̠ j a̠
早番	h a̠ j a̠ b ã̠ ɴ
はやびき	h a̠ j a̠ bʲ i kʲ i
早弁	h a̠ j a̠ b ẽ̞ ɴ
早見	h a̠ j a̠ mʲ i
早見表	h a̠ j a̠ mʲ i ç o̞ː
はやめ	h a̠ j a̠ m e̞
流行り	h a̠ j a̠ ɾʲ i
逸り	h a̠ j a̠ ɾʲ i
流行り言葉	h a̠ j a̠ ɾʲ i k o̞ t o̞ b a̠
流行りっ子	h a̠ j a̠ ɾʲ i k̚ k o̞
流行り病	h a̠ j a̠ ɾʲ i j a̠ m a̠ i
はよ	h a̠ j o̞
原	h a̠ ɾ a̠
腹	h a̠ ɾ a̠
薔薇	b a̠ ɾ a̠
パラ	p a̠ ɾ a̠
バラード	b a̠ ɾ a̠ː d o̞
払い	h a̠ ɾ a̠ i
はらいせ	h a̠ ɾ a̠ i s e̞
パライソ	p a̠ ɾ a̠ i s o̞
払い戻し	h a̠ ɾ a̠ i m o̞ d o̞ ɕ i
薔薇色	b a̠ ɾ a̠ i ɾ o̞
はらえ	h a̠ ɾ a̠ e̞
祓戸	h a̠ ɾ a̠ e̞ d o̞
薔薇園	b a̠ ɾ a̠ ẽ̞ ɴ
パラオ	p a̠ ɾ a̠ o̞
パラオ語	p a̠ ɾ a̠ o̞ ɡ o̞
はらから	h a̠ ɾ a̠ k a̠ ɾ a̠
同胞	d o̞ː h o̞ː
腹切り	h a̠ ɾ a̠ kʲ i ɾʲ i
腹芸	h a̠ ɾ a̠ ɡ e̞ː
パラコート	p a̠ ɾ a̠ k o̞ː t o̞
はらごしらえ	h a̠ ɾ a̠ ɡ o̞ ɕ i ɾ a̠ e̞
腹ごなし	h a̠ ɾ a̠ ɡ o̞ n a̠ ɕ i
ハラショー	h a̠ ɾ a̠ ɕ o̞ː
腹立たしい	h a̠ ɾ a̠ d a̠ t a̠ ɕ iː
腹立ち	h a̠ ɾ a̠ d a̠ t͡ɕ i
薔薇鱮	b a̠ ɾ a̠ t a̠ n a̠ ɡ o̞
腹違い	h a̠ ɾ a̠ t͡ɕ i ɡ a̠ i
パラチンタ	p a̠ ɾ a̠ t͡ɕ ĩ n t a̠
原っぱ	h a̠ ɾ a̠ p̚ p a̠
ハラッパー	h a̠ ɾ a̠ p̚ p a̠ː
はらばい	h a̠ ɾ a̠ b a̠ i
薔薇羽太	b a̠ ɾ a̠ h a̠ t a̠
はらはら	h a̠ ɾ a̠ h a̠ ɾ a̠
ぱらぱら	p a̠ ɾ a̠ p a̠ ɾ a̠
ばらばら	b a̠ ɾ a̠ b a̠ ɾ a̠
腹パン	h a̠ ɾ a̠ p ã̠ ɴ
腹ペコ	h a̠ ɾ a̠ p e̞ k o̞
パラボラ	p a̠ ɾ a̠ b o̞ ɾ a̠
はらみ	h a̠ ɾ a̠ mʲ i
腹身	h a̠ ɾ a̠ mʲ i
パラメータ	p a̠ ɾ a̠ m e̞ː t a̠
はらもち	h a̠ ɾ a̠ m o̞ t͡ɕ i
バラモン	b a̠ ɾ a̠ m õ̞ ɴ
バラモン教	b a̠ ɾ a̠ m õ̞ ŋʲ kʲ o̞ː
婆羅門参	b a̠ ɾ a̠ m õ̞ ɲ̟ d͡ʑ ĩ ɴ
バラライカ	b a̠ ɾ a̠ ɾ a̠ i k a̠
鮞	h a̠ ɾ a̠ ɾ a̠ ɡ o̞
はらり	h a̠ ɾ a̠ ɾʲ i
波瀾	h a̠ ɾ ã̠ ɴ
破卵	h a̠ ɾ ã̠ ɴ
波瀾万丈	h a̠ ɾ ã̠ m b ã̠ ɲ̟ d͡ʑ o̞ː
張り	h a̠ ɾʲ i
玻璃	h a̠ ɾʲ i
針	h a̠ ɾʲ i
鍼	h a̠ ɾʲ i
ばり	b a̠ ɾʲ i
バリ	b a̠ ɾʲ i
罵詈	b a̠ ɾʲ i
パリ	p a̠ ɾʲ i
巴里	p a̠ ɾʲ i
張り合い	h a̠ ɾʲ i a̠ i
ハリーサ	h a̠ ɾʲ iː s a̠
ハリーファ	h a̠ ɾʲ iː ɸ a̠
バリエーション	b a̠ ɾʲ i e̞ː ɕ õ̞ ɴ
針金雀児	h a̠ ɾʲ i e̞ ɲ̟ i ɕ i d a̠
張り扇	h a̠ ɾʲ i o̞ː ɡʲ i
バリオン	b a̠ ɾʲ i õ̞ ɴ
張形	h a̠ ɾʲ i k a̠ t a̠
針金	h a̠ ɾʲ i ɡ a̠ n e̞
張り紙	h a̠ ɾʲ i ɡ a̠ mʲ i
貼り紙	h a̠ ɾʲ i ɡ a̠ mʲ i
バリカン	b a̠ ɾʲ i k ã̠ ɴ
馬力	b a̠ ɾʲ i kʲ i
バリキャリ	b a̠ ɾʲ i kʲ a̠ ɾʲ i
バリケード	b a̠ ɾʲ i k e̞ː d o̞
バリケン	b a̠ ɾʲ i k ẽ̞ ɴ
張り子	h a̠ ɾʲ i k o̞
針子	h a̠ ɾʲ i k o̞
針仕事	h a̠ ɾʲ i ɕ i ɡ o̞ t o̞
針千本	h a̠ ɾʲ i s ẽ̞ m b õ̞ ɴ
罵詈雑言	b a̠ ɾʲ i z o̞ː ɡ õ̞ ɴ
玻璃長石	h a̠ ɾʲ i t͡ɕ o̞ː s e̞ kʲ i
ハリッサ	h a̠ ɾʲ i sː a̠
バリ島	b a̠ ɾʲ i t o̞ː
ばりばり	b a̠ ɾʲ i b a̠ ɾʲ i
パリピ	p a̠ ɾʲ i pʲ i
はりぼて	h a̠ ɾʲ i b o̞ t e̞
バリン	b a̠ ɾʲ ĩ ɴ
晴れ	h a̠ ɾ e̞
馬鈴薯	b a̠ ɾ e̞ː ɕ o̞
バレエ	b a̠ ɾ e̞ː
バレー	b a̠ ɾ e̞ː
ハレーション	h a̠ ɾ e̞ː ɕ õ̞ ɴ
パレード	p a̠ ɾ e̞ː d o̞
パレオ	p a̠ ɾ e̞ o̞
晴れがましい	h a̠ ɾ e̞ ɡ a̠ m a̠ ɕ iː
晴れ着	h a̠ ɾ e̞ ɡʲ i
バレッタ	b a̠ ɾ e̞ t̚ t a̠
バレット	b a̠ ɾ e̞ t̚ t o̞
パレット	p a̠ ɾ e̞ t̚ t o̞
晴れて	h a̠ ɾ e̞ t e̞
ばればれ	b a̠ ɾ e̞ b a̠ ɾ e̞
腫れぼったい	h a̠ ɾ e̞ b o̞ t̚ t a̠ i
腫れ物	h a̠ ɾ e̞ m o̞ n o̞
晴れやか	h a̠ ɾ e̞ j a̠ k a̠
バレリーナ	b a̠ ɾ e̞ ɾʲ iː n a̠
馬簾	b a̠ ɾ ẽ̞ ɴ
バレンシア	b a̠ ɾ ẽ̞ ɰ̃ ɕ i a̠
バレンシア語	b a̠ ɾ ẽ̞ ɰ̃ ɕ i a̠ ɡ o̞
破廉恥	h a̠ ɾ ẽ̞ ɲ̟ t͡ɕ i
パレンバン	p a̠ ɾ ẽ̞ m b ã̠ ɴ
パロ	p a̠ ɾ o̞
波浪	h a̠ ɾ o̞ː
ハロー	h a̠ ɾ o̞ː
判	h ã̠ ɴ
半	h ã̠ ɴ
恨	h ã̠ ɴ
班	h ã̠ ɴ
繁	h ã̠ ɴ
般	h ã̠ ɴ
飯	h ã̠ ɴ
BAN	b ã̠ ɴ
バン	b ã̠ ɴ
伴	b ã̠ ɴ
晩	b ã̠ ɴ
番	b ã̠ ɴ
盤	b ã̠ ɴ
蕃	b ã̠ ɴ
鷭	b ã̠ ɴ
パン	p ã̠ ɴ
犯意	h ã̠ ɰ̃ i
範囲	h ã̠ ɰ̃ i
藩医	h ã̠ ɰ̃ i
蕃衣	b ã̠ ɰ̃ i
反意語	h ã̠ ɰ̃ i ɡ o̞
パンイチ	p ã̠ ɰ̃ i t͡ɕ i
半影	h ã̠ ɰ̃ e̞ː
反映	h ã̠ ɰ̃ e̞ː
反英	h ã̠ ɰ̃ e̞ː
繁栄	h ã̠ ɰ̃ e̞ː
反映論	h ã̠ ɰ̃ e̞ː ɾ õ̞ ɴ
半円	h ã̠ ɰ̃ ẽ̞ ɴ
藩王	h ã̠ ɰ̃ o̞ː
反歌	h ã̠ ŋ k a̠
汎化	h ã̠ ŋ k a̠
繁夥	h ã̠ ŋ k a̠
繁柯	h ã̠ ŋ k a̠
繁科	h ã̠ ŋ k a̠
繁苛	h ã̠ ŋ k a̠
繁華	h ã̠ ŋ k a̠
挽歌	b ã̠ ŋ k a̠
版画	h ã̠ ŋ ɡ a̠
蕃茄	b ã̠ ŋ k a̠
ハンガー	h ã̠ ŋ ɡ a̠ː
バンカー	b ã̠ ŋ k a̠ː
半壊	h ã̠ ŋ k a̠ i
挽回	b ã̠ ŋ k a̠ i
蕃界	b ã̠ ŋ k a̠ i
番外	b ã̠ ŋ ɡ a̠ i
繁華街	h ã̠ ŋ k a̠ ɡ a̠ i
半化石	h ã̠ ŋ k a̠ s e̞ kʲ i
ハンカチ	h ã̠ ŋ k a̠ t͡ɕ i
蛮カラ	b ã̠ ŋ k a̠ ɾ a̠
ハンガリー	h ã̠ ŋ ɡ a̠ ɾʲ iː
ハンガリー語	h ã̠ ŋ ɡ a̠ ɾʲ iː ɡ o̞
ハンガリー人	h ã̠ ŋ ɡ a̠ ɾʲ iː ʑ ĩ ɴ
反感	h ã̠ ŋ k ã̠ ɴ
判官	h ã̠ ŋ ɡ ã̠ ɴ
半旗	h ã̠ ŋʲ kʲ i
半期	h ã̠ ŋʲ kʲ i
反旗	h ã̠ ŋʲ kʲ i
万機	b ã̠ ŋʲ kʲ i
晩期	b ã̠ ŋʲ kʲ i
版木	h ã̠ ŋʲ ɡʲ i
板木	b ã̠ ŋʲ ɡʲ i
半規管	h ã̠ ŋʲ kʲ i k ã̠ ɴ
反義語	h ã̠ ŋʲ ɡʲ i ɡ o̞
バンギャ	b ã̠ ŋʲ ɡʲ a̠
反響	h ã̠ ŋʲ kʲ o̞ː
半夏	h ã̠ ŋ ɡ e̞
判型	h ã̠ ŋ k e̞ː
半径	h ã̠ ŋ k e̞ː
パンケーキ	p ã̠ ŋ k e̞ː kʲ i
反撃	h ã̠ ŋ ɡ e̞ kʲ i
半夏生	h ã̠ ŋ ɡ e̞ ɕ o̞ː
半券	h ã̠ ŋ k ẽ̞ ɴ
番犬	b ã̠ ŋ k ẽ̞ ɴ
半減期	h ã̠ ŋ ɡ ẽ̞ ŋʲ kʲ i
判子	h ã̠ ŋ k o̞
万古	b ã̠ ŋ k o̞
反語	h ã̠ ŋ ɡ o̞
盤古	b ã̠ ŋ k o̞
パン粉	p ã̠ ŋ k o̞
蕃語	b ã̠ ŋ ɡ o̞
蛮語	b ã̠ ŋ ɡ o̞
反抗	h ã̠ ŋ k o̞ː
反攻	h ã̠ ŋ k o̞ː
犯行	h ã̠ ŋ k o̞ː
蛮行	b ã̠ ŋ k o̞ː
飯盒	h ã̠ ŋ ɡ o̞ː
番号	b ã̠ ŋ ɡ o̞ː
反抗期	h ã̠ ŋ k o̞ː kʲ i
犯行現場	h ã̠ ŋ k o̞ː ɡ ẽ̞ m b a̠
晩御飯	b ã̠ ŋ ɡ o̞ h ã̠ ɴ
半殺し	h ã̠ ŋ ɡ o̞ ɾ o̞ ɕ i
ハンコン	h ã̠ ŋ k õ̞ ɴ
瘢痕	h ã̠ ŋ k õ̞ ɴ
煩瑣	h ã̠ ɰ̃ s a̠
犯罪	h ã̠ n d͡z a̠ i
万歳	b ã̠ n d͡z a̠ i
犯罪行為	h ã̠ n d͡z a̠ i k o̞ː i
犯罪者	h ã̠ n d͡z a̠ i ɕ a̠
犯罪捜査	h ã̠ n d͡z a̠ i s o̞ː s a̠
犯罪的	h ã̠ n d͡z a̠ i t e̞ kʲ i
犯罪人	h ã̠ n d͡z a̠ i ɲ̟ ĩ ɴ
半割	h ã̠ n d͡z a̠ kʲ i
反砂堆	h ã̠ ɰ̃ s a̠ t a̠ i
晩餐	b ã̠ ɰ̃ s ã̠ ɴ
晩産化	b ã̠ ɰ̃ s ã̠ ŋ k a̠
晩餐会	b ã̠ ɰ̃ s ã̠ ŋ k a̠ i
藩士	h ã̠ ɰ̃ ɕ i
判事	h ã̠ ɲ̟ d͡ʑ i
晩市	b ã̠ ɰ̃ ɕ i
万事	b ã̠ ɲ̟ d͡ʑ i
バンシー	b ã̠ ɰ̃ ɕ iː
パンジー	p ã̠ ɲ̟ d͡ʑ iː
半時間	h ã̠ ɲ̟ d͡ʑ i k ã̠ ɴ
版式	h ã̠ ɰ̃ ɕ i̥ kʲ i
半自動	h ã̠ ɲ̟ d͡ʑ i d o̞ː
判じ物	h ã̠ ɲ̟ d͡ʑ i m o̞ n o̞
反射	h ã̠ ɰ̃ ɕ a̠
蕃社	b ã̠ ɰ̃ ɕ a̠
反射鏡	h ã̠ ɰ̃ ɕ a̠ kʲ o̞ː
反射材	h ã̠ ɰ̃ ɕ a̠ z a̠ i
反射的	h ã̠ ɰ̃ ɕ a̠ t e̞ kʲ i
反射板	h ã̠ ɰ̃ ɕ a̠ b ã̠ ɴ
板書	b ã̠ ɰ̃ ɕ o̞
番所	b ã̠ ɰ̃ ɕ o̞
蕃藷	b ã̠ ɰ̃ ɕ o̞
蕃女	b ã̠ ɲ̟ d͡ʑ o̞
反照	h ã̠ ɰ̃ ɕ o̞ː
万象	b ã̠ ɰ̃ ɕ o̞ː
晩餉	b ã̠ ɰ̃ ɕ o̞ː
繁盛	h ã̠ ɲ̟ d͡ʑ o̞ː
万丈	b ã̠ ɲ̟ d͡ʑ o̞ː
万状	b ã̠ ɲ̟ d͡ʑ o̞ː
盤上	b ã̠ ɲ̟ d͡ʑ o̞ː
蕃情	b ã̠ ɲ̟ d͡ʑ o̞ː
バンジョー	b ã̠ ɲ̟ d͡ʑ o̞ː
半身	h ã̠ ɰ̃ ɕ ĩ ɴ
反心	h ã̠ ɰ̃ ɕ ĩ ɴ
反臣	h ã̠ ɰ̃ ɕ ĩ ɴ
阪神	h ã̠ ɰ̃ ɕ ĩ ɴ
蕃人	b ã̠ ɲ̟ d͡ʑ ĩ ɴ
蛮人	b ã̠ ɲ̟ d͡ʑ ĩ ɴ
半信半疑	h ã̠ ɰ̃ ɕ ĩ ɰ̃ h ã̠ ŋʲ ɡʲ i
半生	h ã̠ ɰ̃ s e̞ː
反省	h ã̠ ɰ̃ s e̞ː
万世	b ã̠ ɰ̃ s e̞ː
伴星	b ã̠ ɰ̃ s e̞ː
蕃政	b ã̠ ɰ̃ s e̞ː
反戦	h ã̠ ɰ̃ s ẽ̞ ɴ
帆船	h ã̠ ɰ̃ s ẽ̞ ɴ
判然	h ã̠ n d͡z ẽ̞ ɴ
番宣	b ã̠ ɰ̃ s ẽ̞ ɴ
万全	b ã̠ n d͡z ẽ̞ ɴ
ハンセン病	h ã̠ ɰ̃ s ẽ̞ m bʲ o̞ː
反訴	h ã̠ ɰ̃ s o̞
帆走	h ã̠ ɰ̃ s o̞ː
搬送	h ã̠ ɰ̃ s o̞ː
伴奏	b ã̠ ɰ̃ s o̞ː
絆創膏	b ã̠ ɰ̃ s o̞ː k o̞ː
はんそで	h ã̠ ɰ̃ s o̞ d e̞
パンソリ	p ã̠ ɰ̃ s o̞ ɾʲ i
半田	h ã̠ n d a̠
パンダ	p ã̠ n d a̠
万朶	b ã̠ n d a̠
ハンター	h ã̠ n t a̠ː
反対	h ã̠ n t a̠ i
阪大	h ã̠ n d a̠ i
飯台	h ã̠ n d a̠ i
反対語	h ã̠ n t a̠ i ɡ o̞
繁体字	h ã̠ n t a̠ i ʑ i
反体制	h ã̠ n t a̠ i s e̞ː
はんだごて	h ã̠ n d a̠ ɡ o̞ t e̞
パンタロン	p ã̠ n t a̠ ɾ õ̞ ɴ
判断	h ã̠ n d ã̠ ɴ
蕃地	b ã̠ ɲ̟ t͡ɕ i
パンチ	p ã̠ ɲ̟ t͡ɕ i
番茶	b ã̠ ɲ̟ t͡ɕ a̠
パンチャン	p ã̠ ɲ̟ t͡ɕ ã̠ ɴ
班長	h ã̠ ɲ̟ t͡ɕ o̞ː
番長	b ã̠ ɲ̟ t͡ɕ o̞ː
半伝貰	b ã̠ ɲ̟ t͡ɕ õ̞ ɰ̃ s e̞
パンチラ	p ã̠ ɲ̟ t͡ɕ i ɾ a̠
はんで	h ã̠ n d e̞
ハンデ	h ã̠ n d e̞
判定	h ã̠ n t e̞ː
蕃丁	b ã̠ n t e̞ː
半纏	h ã̠ n t ẽ̞ ɴ
反転	h ã̠ n t ẽ̞ ɴ
飯店	h ã̠ n t ẽ̞ ɴ
バンテン	b ã̠ n t ẽ̞ ɴ
班田	h ã̠ n d ẽ̞ ɴ
盤纏	b ã̠ n t ẽ̞ ɴ
ハント	h ã̠ n t o̞
半途	h ã̠ n t o̞
反徒	h ã̠ n t o̞
版図	h ã̠ n t o̞
ハンド	h ã̠ n d o̞
バンド	b ã̠ n d o̞
パント	p ã̠ n t o̞
半島	h ã̠ n t o̞ː
反騰	h ã̠ n t o̞ː
反動	h ã̠ n d o̞ː
蟠桃	b ã̠ n t o̞ː
坂東	b ã̠ n d o̞ː
斑銅鉱	h ã̠ n d o̞ː k o̞ː
半島人	h ã̠ n t o̞ː ʑ ĩ ɴ
半導体	h ã̠ n d o̞ː t a̠ i
半透明	h ã̠ n t o̞ː m e̞ː
バンドエイド	b ã̠ n d o̞ e̞ i d o̞
パンドーラー	p ã̠ n d o̞ː ɾ a̠ː
半年	h ã̠ n t o̞ ɕ i
バンドマン	b ã̠ n d o̞ m ã̠ ɴ
パンドラ	p ã̠ n d o̞ ɾ a̠
半ドン	h ã̠ n d õ̞ ɴ
バンドン	b ã̠ n d õ̞ ɴ
坂内	b ã̠ nː a̠ i
半泣き	h ã̠ nː a̠ kʲ i
晚年	b ã̠ nː ẽ̞ ɴ
晩年	b ã̠ nː ẽ̞ ɴ
反応	h ã̠ nː o̞ː
飯能	h ã̠ nː o̞ː
万能	b ã̠ nː o̞ː
榛木	h ã̠ nː o̞ kʲ i
半端	h ã̠ m p a̠
ハンバーガー	h ã̠ m b a̠ː ɡ a̠ː
販売	h ã̠ m b a̠ i
バンパイア	b ã̠ m p a̠ i a̠
販売員	h ã̠ m b a̠ i ĩ ɴ
販売者	h ã̠ m b a̠ i ɕ a̠
販売店	h ã̠ m b a̠ i t ẽ̞ ɴ
半端ない	h ã̠ m p a̠ n a̠ i
半々	h ã̠ ɰ̃ h ã̠ ɴ
ぱんぱん	p ã̠ m p ã̠ ɴ
パンパン	p ã̠ m p ã̠ ɴ
パンパンガ	p ã̠ m p ã̠ ŋ ɡ a̠
パンピー	p ã̠ m pʲ iː
半開き	h ã̠ m bʲ i ɾ a̠ kʲ i
反米	h ã̠ m b e̞ː
番兵	b ã̠ m p e̞ː
半べそ	h ã̠ m b e̞ s o̞
半母音	h ã̠ m b o̞ ĩ ɴ
繁忙	h ã̠ m b o̞ː
繁忙期	h ã̠ m b o̞ː kʲ i
版本	h ã̠ m p õ̞ ɴ
ハンマー	h ã̠ mː a̠ː
ハンマー投げ	h ã̠ mː a̠ː n a̠ ɡ e̞
斑猫	h ã̠ mʲː o̞ː
万民	b ã̠ mʲː ĩ ɴ
万民法	b ã̠ mʲː ĩ ɰ̃ h o̞ː
半目	h ã̠ mː e̞
番目	b ã̠ mː e̞
判明	h ã̠ mː e̞ː
盤名	b ã̠ mː e̞ː
蕃名	b ã̠ mː e̞ː
半面	h ã̠ mː ẽ̞ ɴ
反面	h ã̠ mː ẽ̞ ɴ
盤面	b ã̠ mː ẽ̞ ɴ
繁茂	h ã̠ mː o̞
半盲	h ã̠ mː o̞ː
反毛	h ã̠ mː o̞ː
反問	h ã̠ mː õ̞ ɴ
煩悶	h ã̠ mː õ̞ ɴ
番屋	b ã̠ ɰ̃ j a̠
パンヤ	p ã̠ ɰ̃ j a̠
パン屋	p ã̠ ɰ̃ j a̠
パン屋さん	p ã̠ ɰ̃ j a̠ s ã̠ ɴ
汎用	h ã̠ ɰ̃ j o̞ː
ひ	ç i
ヒ	ç i
丕	ç i
比	ç i
火	ç i
目翳	ç i
被	ç i
費	ç i
非	ç i
飛	ç i
び	bʲ i
ビ	bʲ i
弥	bʲ i
微	bʲ i
美	bʲ i
ぴ	pʲ i
ピ	pʲ i
悲哀	ç i a̠ i
日間	ç i a̠ i
ひあそび	ç i a̠ s o̞ bʲ i
ひあたり	ç i a̠ t a̠ ɾʲ i
ピアニカ	pʲ i a̠ ɲ̟ i k a̠
ピアノ	pʲ i a̠ n o̞
ヒアリ	ç i a̠ ɾʲ i
ビアン	bʲ i ã̠ ɴ
ビー	bʲ iː
ピー	pʲ iː
B円	bʲ iː ẽ̞ ɴ
ビーカー	bʲ iː k a̠ː
B型	bʲ iː ɡ a̠ t a̠
贔屓	ç iː kʲ i
贔屓贔屓	ç iː kʲ i
PK	pʲ iː k e̞ː
梭子魚	ç iː ɡ o̞ː o̞
ビーコン	bʲ iː k õ̞ ɴ
ビーサン	bʲ iː s ã̠ ɴ
PC	pʲ iː ɕ iː
美意識	bʲ iː ɕ i kʲ i
B専	bʲ iː s ẽ̞ ɴ
ヒーター	ç iː t a̠ː
ピーター	pʲ iː t a̠ː
