a	eː
respondent	ɹ ɪ s p ɑ n d ə n t
respondent	ɹ ɪ s p ɑ n d n̩ t
responsibilities	ɹ ɪ s p ɑ n s ə b ɪ l ə ɾ i z
responsibility	ɹ ɪ s p ɑ n s ə b ɪ l ə ɾ i
responsible	ɹ ɪ s p ɑ n s ə b ɫ̩
retail	ɹ̠ʷ i tʰ e ɪ̯ ɫ
retard	ɹʷ ɪ tʰ ɑː d
retard	ɹʷ ɪ tʰ ɑ ɹ d
retard	ɹʷ ɪ i̯ t ɑː d
retard	ɹʷ ɪ i̯ tʰ ɑ ɹ d
rethink	ɹʷ ɪ i̯ θ ɪ ŋ k
retrospect	ɹ ɛ t͡ʃ ə s p ɛ k t
retrospective	ɹ ɛ t͡ʃ ə s p ɛ k t ɪ v
retrospective	ɹ ɛ t͡ʃ o ʊ s p ɛ k t ɪ v
Reuters	ɹ ɔ ɪ ɾ ɚ s
revelatory	ɹ ɛ v ə l ə t o ɹ i
revelry	ɹ ɛ v ə ɫ ɹ i
revision	ɹ ə v ɪ ʒ n̩
revision	ɹ ɪ v ɪ ʒ n̩
revitalization	ɹ iː v a ɪ ɾ ə l ə z e ɪ ʃ ə n
revitalize	ɹ i v a ɪ ɾ ə l a ɪ z
revive	ɹʷ ɪ v a ɪ̯ v
revive	ɹʷ ɪ i̯ v a ɪ v
rhah	ʁ a h
Rhene	ɹ̥ iː n iː
rhotic	ɹ o ʊ̯ ɾ ɪ k
rhubarb	ɹ uː b a ɹ b
rhyme	ɹ ɑ e̯ m
rich	ɹʷ ɪ t͡ʃ
richer	ɹʷ ɪ t͡ʃ ɚ
richer	ɹʷ ɪ t͡ʃ ɹ̩
ridden	ɹʷ ɪ d n̩
ridden	ɹʷ ɪ d̚ n̩
ridden	ɹʷ ɪ ɾ n̩
riddle	ɹʷ ɪ d ə l
riddle	ɹʷ ɪ d l̩
riddle	ɹʷ ɪ ɾ ə l
riddle	ɹʷ ɪ ɾ l̩
rider	ɹʷ a ɪ̯ d ɚ
rider	ɹʷ a ɪ̯ d ɹ̩
rider	ɹʷ a ɪ̯ ɾ ɚ
rider	ɹʷ a ɪ̯ ɾ ɹ̩
rider	ɹʷ ʌ ɪ d ɚ
rifleman	ɹʷ a ɪ̯ f ə l m ə n
rifleman	ɹʷ a ɪ̯ f l̩ m n̩
right	ɹ a ɪ t
right	ɹ ə i̯ t
right	ɹ e i̯ t
rim	ɹʷ ɪ m
ringaling	ɹ ɪ ŋ ə l ɪ ŋ
ringtone	ɹ ɪ ŋ tʰ o ʊ̯ n
ringtone	ɹ ɪ ŋ tʰ ə ʊ̯ n
ringtone	ɹ ɪ ŋ tʰ oː n
river	ɹʷ ɪ v ɚ
river	ɹʷ ɪ v ɹ̩
river	ɾ ɪ v ə ɾ
river	ɹ ɪ v ɚ
robotic	ɹ o ʊ b ɑ ɾ ɪ k
robotics	ɹ o ʊ b ɑ ɾ ɪ k s
rocky	ɹʷ ɑ k i
Roger	ɹ oː d ʒ ɐ
roil	ɹʷ ɔ ɪ l
role	ɹ o ʊ ɫ
roleless	ɹ o ʊ ɫ l ə s
roll	ɹ o ʊ ɫ
romantasy	ɹ o ʊ m æ̃ ɾ̃ ə s i
romantasy	ɹ o ʊ m æ n ə s i
rose	ɹ̠ʷ ə ʊ z̥
rose	ɻʷ ö̞ ʊ z̥
rose	ɾ oː z
rotamer	ɹ o ʊ ɾ ə m ɚ
roti	ɹ ɔ ʊ ɾ ɪ i̯
rotten	ɹ ɑ ʔ n̩
roture	ɹ ə tʰ ʊ ɚ
roture	ɹ ə tʰ ʊ ɹ̩
roture	ɹ ə tʰ o ɹ
roture	ɹ ə tʰ ɔ ɹ
rouge	ɹʷ ʊ u̯ ʒ
rounder	ɹ a ʊ̯ n d ɚ
rounder	ɹ a ʊ̯ n d ɹ̩
rounder	ɹ æ ʊ̯ n d ɚ
rounder	ɹ æ ʊ̯ n d ɹ̩
rounder	ɹ aː n d ɚ
rounder	ɹ aː n d ɹ̩
rowdy	ɹ a ʊ̯ ɾ i
Roy	ɹʷ o ɪ̯
Roy	ɹʷ ɔ ɪ̯
roy	ɹʷ o ɪ̯
roy	ɹʷ ɔ ɪ̯
royal	ɹʷ ɔ ɪ̯ ə l
royal	ɹʷ ɔ ɪ̯ l̩
royal	ɹʷ ɔ j ə l
royal	ɹʷ ɔ j l̩
rubbed	ɹ ʌˑ b̚ d̥
rudder	ɹ ʌ̈ d ɚ
rudder	ɹ ʌ̈ d ɹ̩
rug	ɹʷ ʌ ɡ
rug	ɹʷ ɜ ɡ
rug	ɹʷ ä̝ ɡ
rug	ɹʷ ɐ̞ ɡ
ruin	ɹ u w ɪ n
rupture	ɹʷ ʌ̈ p t͡ʃ ɚ
rupture	ɹʷ ʌ̈ p t͡ʃ ɹ̩
rut	ɹ ʌ ʔ
sabbatical	s ə b æ ɾ ɪ k ə ɫ
sabbatical	s ə b æ ɾ ɪ k ɫ
sadism	s e ɪ ɾ ɪ z ə m
safe	s e ɪ̯ f
said	s ɛ d̥
sail	s e ɪ ɫ
sail	s e i̯ ə ɫ
sail	s e i̯ l̩
sake	s e ɪ̯ k
salience	s e ɪ̯ l i ə n s
salinity	s ə l ɪ n ɪ ɾ i
salt	s ɑ ɫ t
salt	s ɑ ɫ ʔ
sample	s ɛ ə m p ə ɫ
san	s e ə̯ n
san	s ɛ ə̯ n
sanction	s e ɪ̯ ŋ k ʃ ə n
sanction	s e ɪ̯ ŋ k ʃ n̩
sanction	s ɛ̃ ŋ k ʃ ə n
sanction	s ɛ̃ ŋ k ʃ n̩
sand	s e ə n d
sand	s ɛ ə n d
sandwich	s æ m w ɪ t͡ʃ
sandwich	s æ m ɪ t͡ʃ
sandwich	s æ̃ w ɪ t͡ʃ
sandwich	s ɛ ə̯ m w ɪ t͡ʃ
sandwich	s ɛ ə̯ m ɪ t͡ʃ
sandwich	s ɛ̃ w ɪ t͡ʃ
sang	s e ɪ̯ ŋ
sang	s ɛ̃ ŋ
sangry	s e ɪ̯ ŋ ɡ ɹʷ ɪ i̯
sangry	s ɛ̃ ŋ ɡ ɹʷ ɪ i̯
sanitary	s ɛ ə n ɪ t ɛ ɹ i
sank	s e ɪ̯ ŋ k
sank	s ɛ̃ ŋ k
SAT	ɛ s e ɪ̯ tʰ i
SAT	s æ ʔ t̚
SAT	s æ ʔ
satan	s e ɪ ʔ n̩
satellite	s æ ɾ ə l a ɪ̯ t
satellite	s æ ɾ l̩ a ɪ̯ t
satiety	s ə tʰ a ɪ̯ ə tʰ ɪ i̯
satiety	s ə tʰ a ɪ̯ ə ɾ ɪ i̯
satin	s æ t n̩
satin	s æ ʔ n̩
Saturday	s æ ɾ ɚ d e ɪ̯
Saturday	s æ ɾ ɚ d i
sauce	s ɔ ə̯ s
sauce	s ʊ ə̯ s
sauce	s o ə̯ s
Savoy	s ə v ɔ ɪ̯
saw	s ɔ ɹ
say	s eː
scalability	s k e ɪ̯ l ə b ɪ l ə ɾ i
scalable	s k e ɪ̯ l ə b ɫ̩
scale	s k e ɪ̯ ə ɫ
scale	s k e ɪ̯ ɫ
scallion	s k æ l ɪ ə n
scallion	s k æ l j n̩
scam	s k e ə̯ m
scam	s k ɛ ə̯ m
scammer	s k æ m ɚ
scammer	s k e ə̯ m ɚ
scammer	s k e ə̯ m ɹ̩
scammer	s k ɛ ə̯ m ɚ
scammer	s k ɛ ə̯ m ɹ̩
scandal	s k e ə̯ n d ə l
scandal	s k e ə̯ n d l̩
scandal	s k ɛ ə̯ n d ə l
scandal	s k ɛ ə̯ n d l̩
scanner	s k æ n ɚ
scanner	s k æ n ɹ̩
scanner	s k e ə̯ n ɚ
scanner	s k e ə̯ n ɹ̩
scanner	s k ɛ ə̯ n ɚ
scanner	s k ɛ ə̯ n ɹ̩
scared	s k ɛ ɚ d
schemes	s k iː m z̥
schismatic	ʃ ɪ z m æ ɾ ɪ k
schismatic	s ɪ z m æ ɾ ɪ k
schmancy	ʃ m e ə n s i
schmancy	ʃ m ɛ ə n s i
school	s k u ɫ
scourge	s k ɔ ɹ d͡ʒ
scrag	s k ɹʷ e ɪ̯ ɡ
screech	s k ɹ iː t͡ʃ
screech	s k ɹ i t͡ʃ
screen	s k ɹ̈ʷ ɪ i̯ n
screener	s k ɹʷ ɪ i̯ n ɚ
screener	s k ɹʷ ɪ i̯ n ɹ̩
scribe	s k ɹ a ɪ̯ b
scribe	s k ɹ a ɪ̯ b
scribe	s k ɹ ɑ ɪ̯ b
scribe	s k ɹ a ɪ̯ b
scribe	s k ɹ ə j b
scribe	s k ɹ ɑ e̯ b
scribe	s k ɹ ɑ j b
seam	s ɪ i̯ m
season	s i z n̩
secluded	s ə kʰ ɫ ʏ u̯ ɾ ɪ d̚
secretary	s ɛ k ɹ ə tʰ ɛ ɹ i
secretary	s ɛ k ə tʰ ɛ ɹ i
sectile	s ɛ k tᵊ ɫ̩
securities	s ə k j ʊ ɹ ɪ ɾ i z
securities	s ə k j ɝ ɪ ɾ i z
security	s ə k j ʊ ɹ ɪ ɾ i
security	s ə k j ɝ ɪ ɾ i
seek	s ɪ i̯ k
seem	s ɪ i̯ m
seize	s ɪ i̯ z
selfish	s ɛ ɫ̥ f ɪ ʃ
semanticity	s ɪ m æ n tʰ ɪ s ɪ̈ t i
seme	s ɪ i̯ m
Semitic	s ə m ɪ ɾ ɪ k
sender	s ɛ n d ɚ
sender	s ɛ n d ɹ̩
sender	s ɪ̟ n d ɚ
sender	s ɪ̟ n d ɹ̩
sensible	s ɛ n s ə b l̩
sensibly	s ɛ n s ɪ̈ b l i
sensitive	s ɛ n s ɪ ɾ ɪ v
sensitivity	s ɛ n s ə t ɪ v ə ɾ i
sentence	s ɛ n t n̩ t s
sentence	s ɛ n t n̩ s
sentence	s ɛ n ʔ n̩ t s
sentence	s ɛ n ʔ n̩ s
sentry	s ɛ n t ɹ̝̊ ɪ i̯
sentry	s ɛ n t̠ ɹ̠̊ ˔ ɪ i̯
sentry	s ɪ̟ n t ɹ̝̊ ɪ i̯
sentry	s ɪ̟ n t̠ ɹ̠̊ ˔ ɪ i̯
separability	s ɛ p ɹ ə b ɪ l ə ɾ i
sepsis	s ɛ b s i s
septic	s ɛ p tʰ ɪ k
serendipity	s ɛ ɹ ə n d ɪ p ɪ ɾ i
serene	s ə ɹ ɪ i n
servant	s ɝ v n̩ ʔ
settlement	s ɛ t ə ɫ m ə n t
settlement	s ɛ t ɫ̩ m n̩ t
setup	s ɛ ɾ ʌ p
seven	s ɛ b m̩
sevendy	s ɛ v n̩ i
sevendy	s ɛ v n̩ ɾ̃ i
sexay	s ɛ k s e ɪːː
sha	ʃ æː
shadow	ʃʰ æ d o ʊ̯
shadow	ʃʰ æ d ɔ ʊ̯
shadow	ʃʰ æ ɾ o ʊ̯
shadow	ʃʰ æ ɾ ɔ ʊ̯
sham	ʃʰ æ m
sham	ʃʰ e ə̯ m
sham	ʃʰ ɛ ə̯ m
shamble	ʃ e ə̯ m b ə l
shamble	ʃ e ə̯ m b l̩
shamble	ʃ ɛ ə̯ m b ə l
shamble	ʃ ɛ ə̯ m b l̩
shame	ʃ e ɪ̯ m
shank	ʃʰ æ ŋ k
shank	ʃʰ e ɪ̯ ŋ k
shank	ʃʰ ɛ̃ ŋ k
shape	ʃ e ɪ̯ p
shard	ʃ ɑ ɹ d
shatter	ʃ æ ɾ ɚ
shave	ʃ e ɪ̯ v
shawty	ʃ ɔː ɾ i
shear	ʃ ɪ ɚ
shear	ʃ ɪ ɹ̩
shear	ʃ iː ɾ
sheep	ʃ ɪ i̯ p
sheísmo	ʃ e i z m o
shellfish	ʃ ɛ ɫˑ f ɪ ʃ
shelter	ʃʰ ɛ l tʰ ɚ
shelter	ʃʰ ɛ l tʰ ɹ̩
Shemitic	ʃ ə m ɪ ɾ ɪ k
sheng	ʃʰ ʌ ŋ
sheng	ʃʰ ɛ ŋ
sheng	ʃʰ ɪ̟ ŋ
sherd	ʃ ɝ d
shift	ʃʰ ɪ f t
ship	ʃʰ ɪ p
shipper	ʃ ɪ p ɚ
shipper	ʃ ɪ p ɹ̩
shitter	ʃ ɪ ɾ ɚ
shitty	ʃ ɪ ɾ i
shoddy	ʃ ɒ ɾ i
shooter	ʃʰ ʊ u̯ tʰ ɚ
shooter	ʃʰ ʊ u̯ tʰ ɹ̩
shooter	ʃʰ ʊ u̯ ɾ ɚ
shooter	ʃʰ ʊ u̯ ɾ ɹ̩
short	ʃ ɔ ɹ ʔ
shortcoming	ʃ ɑ ɹ t k ʌ m ɪ ŋ
shorter	ʃ ɔ ɹ ɾ ɚ
shortest	ʃ ɔ ɹ ɾ ɪ s t
shortstop	ʃ ɔ ɹˀ s t a p̥
shotgun	ʃʰ ɑ t ɡ ʌ n
shotty	ʃ ɑ ɾ i
shouldn't	ʃ ʊ d n̩ t
shovel	ʃ ʌ v ɫ̩
shrag	ʃ ɹʷ æ ɡ
shrag	ʃ ɹʷ e ɪ̯ ɡ
shrank	ʃ ɹʷ e ɪ̯ ŋ k
shrank	ʃ ɹʷ ɛ̃ ŋ k
shrink	ʃʰ ɹʷ ɪ ŋ k
shrub	ʃʰ ɹʷ ʌ b
shrug	ʃ ɹʷ ʌ ɡ
shrug	ʃ ɹʷ ɐ̞ ɡ
shrug	ʃ ɾ ə ɡ
shrug	ʃ ɾ ɜ ɡ
shrunk	ʃ ɹʷ ʌ ŋ k
shrunken	ʃʰ ɹʷ ʌ ŋ kʰ ə n
shrunken	ʃʰ ɹʷ ʌ ŋ kʰ n̩
shudder	ʃ ʌ ɾ ɚ
Shumcho	ɕ ʊ m t sʰ o
shutter	ʃʰ ʌ̈ tʰ ɚ
shutter	ʃʰ ʌ̈ tʰ ɹ̩
shutter	ʃʰ ʌ̈ ɾ ɚ
shutter	ʃʰ ʌ̈ ɾ ɹ̩
shuttle	ʃ ʌ ɾ ə ɫ
shuttlecock	ʃ ʌ ɾ ɫ̩ k ɑ k
shuyookh	ʃ ʊ j uː x
shuyookh	ʃ u j uː x
Siberia	s a ɪ b ɪ ɹ i ə
sibyl	s ɪ b ɫ̩
side	s a ɪ̯ d
side	s aː d
Sidetic	s ɪ d ɛ ɾ ɪ k
siege	s ɪ i̯ d͡ʒ
sign	s ɑ e̯ n
silence	s a ɪ̯ l ə n s
silence	s a ɪ̯ l n̩ s
silent	s a ɪ̯ l ə n t
silent	s a ɪ̯ l n̩ t
silent	s aː l ə n t
silent	s aː l n̩ t
similarity	s ɪ m ə l æ ɹ ə ɾ i
similarity	s ɪ m ə l ɛ ɹ ə ɾ i
similarity	s ɪ m ə l ɛ ɹ ɾ i
simp	s ɪ m p
simple	s ɪ m p ɫ̩
simpleton	s ɪ m p ə l tʰ ə n
simpleton	s ɪ m p l̩ tʰ n̩
sin	s ɪ n
sinful	s ɪ n f l̩
sing	s ɪ ŋ
sing	s i ŋ
sing	s ɪ̝ ŋ
singing	s ɪ ŋ ɪ ŋ
sinner	s ɪ n ɚ
sinner	s ɪ n ɹ̩
sitter	s ɪ ɾ ɚ
situation	s ɪ t j uː e ɪ ʃ n̩
situation	s ɪ t j u e ɪ ʃ n̩
situation	s ɪ t͡ʃ u e ɪ ʃ n̩
sixth	s ɪ k θ
sixth	s ɪ k s t̪
sixth	s ɪ k t̪
sixth	s ɪ k s
skank	s k e ɪ̯ ŋ k
skank	s k ɛ̃ ŋ k
skanker	s k æ ŋ k ɚ
skanker	s k æ ŋ k ɹ̩
skanker	s k e ɪ̯ ŋ k ɚ
skanker	s k e ɪ̯ ŋ k ɹ̩
skanker	s k ɛ̃ ŋ k ɚ
skanker	s k ɛ̃ ŋ k ɹ̩
skanky	s k e ɪ̯ ŋ k ɪ i̯
skanky	s k ɛ̃ ŋ k ɪ i̯
skeletal	s k ɛ l ə ɾ ə l
skeletal	s k ɛ l ə ɾ l̩
skeleton	s k ɛ l ə ʔ n̩
sket	s k ɛ t
sket	s k ɛ ʔ
sketch	s k ɛ t͡ʃ
sketty	s k ɛ ʔ i
skid	s k ɪ d
skidder	s k ɪ ɾ ɚ
skill	s k ɪ ɫ
skill	s k ɪ o̯
skill	s k ɪ ʊ̯
skill	s k iː o̯
skill	s k iː ʊ̯
skillful	s k ɪ ɫ f ə ɫ
skipper	s k ɪ p ɚ
skipper	s k ɪ p ɹ̩
skitter	s k ɪ ɾ ɚ
skittish	s k ɪ ɾ ɪ ʃ
skrrt	s k ɹ̩ ʔ ˥
skweee	s k w iː
slag	s l e ɪ̯ ɡ
slam	s l æ m
slam	s l e ə̯ m
slam	s l e ə̯ m
slamming	s l ɛ ə m ɪ ŋ
slang	s l e ɪ̯ ŋ
slang	s l ɛ̃ ŋ
slank	s l e ɪ̯ ŋ k
slank	s l ɛ̃ ŋ k
slaten	s l e ɪ t n̩
slaughter	s l ɔ ɾ ɚ
slaughter	s l ɑ ɾ ɚ
sled	s l ɛ d
sleep	s l ɪ i̯ p
slide	s l a ɪ̯ d
slight	s l̥ ɐ ɪ t
slight	s l̥ ə ɪ̯ t
slim	s l ɪ m
slime	s l ɑ e̯ m
sliotar	ʃ l ɪ t ɚ
slip	s l ɪ p
slipper	s l ɪ p ɚ
slouch	s l a ʊ̯ t͡ʃ
slouch	s l æ ʊ̯ t͡ʃ
sluggish	s l ʌ ɡ ɪ ʃ
smastes	s m e ɪ̯ s t͜s
smastes	s m e ɪ̯ sː
smastes	s m e ɪ̯ s
snail	s n̥ e ɪ̯ ɫ
snippet	s n ɪ p ɪ̈ ʔ t̚
snippet	s n ɪ p ɪ̈ t̚
snows	s n o ʊ̯ z
sobriety	s ə b ɹ a ɪ ə ɾ i
societal	s ə s a ɪ ə t ɫ̩
societal	s ə s a ɪ ə ɾ ɫ̩
society	s ə s a ɪ ə ɾ i
sockdolager	s ɑ k d ɑː ɫ ə d͡ʒ ɚ
sodaic	s o ʊ̯ d e j ɪ k
sodium	s o ʊ ɾ i ə m
soil	s ɔ ɪ̯ ɫ
soil	s ɔ i̯ ə ɫ
soil	s ɔ i̯ l̩
sole	s ɒ ʊ ɫ
sole	s ɔ ʊ ɫ
sole	s ɒ ʊ ɫ
sole	s ɔː ɫ
solecism	s o ʊ l ɨ s ɪ z ə m
soleless	s o ʊ ɫ l ə s
solidarity	s ɑ l ə d æ ɹ ɾ i
solidify	s ə l ɪ ɾ ə f a ɪ
solve	s ɔː ɫ v
solve	s ɔ ɫ v
somatic	s ə m æ ɾ ɪ k
some	s ɐ m
something	s ɐ m p θ ɪ ŋ
something	s ɐ m θ ɪ ŋ
something	s ʌ m p θ ɪ ŋ
something	s ʌ m θ ɪ ŋ
something	s ʌ n̪ θ ɪ ŋ
sophism	s ɔ f ɪ z ə m
sophism	s ɑ f ɪ z ə m
SOS	ɛ s o ʊ ʔ ɛ s
soul	s ɔ ʊ ɫ
soul	s ɒ ʊ ɫ
soul	s o̞ː ɫ
soulless	s o ʊ ɫ l ə s
sound	s a ʊ̯ n d
sound	s æ ʊ̯ n d
spank	s p e ɪ̯ ŋ k
spank	s p ɛ̃ ŋ k
spanking	s p æ ŋ kʰ ɪ ŋ
spanking	s p e ɪ̯ ŋ kʰ ɪ ŋ
spanking	s p ɛ̃ ŋ kʰ ɪ ŋ
spanner	s p e ə̯ n ɚ
spanner	s p ɛ ə̯ n ɚ
spanner	s p ä n ə ɾ
spar	s p ɑ ɹ
spar	s p ɑ ˞
spark	s p ɑ ɹ k
special	s p ɛ ʃ ɫ̩
specialization	s p ɛ ʃ ə l ɪ z e ɪ̯ ʃ n̩
specialization	s p ɛ ʃ ə l ə z e ɪ̯ ʃ n̩
spectator	s p ɛ k t e ɪ ɾ ɚ
spectrum	s p ɛ k t ɹ̝̊ ə m
spectrum	s p ɛ k t ɹ̝̊ m̩
spectrum	s p ɛ k t̠ ɹ̠̊ ˔ ə m
spectrum	s p ɛ k t̠ ɹ̠̊ ˔ m̩
speedran	s p iː d͡ʒ ɹʷ æ n
speedran	s p iː d͡ʒ ɹ æ n
spendy	s p ɛ n d ɪ i̯
sphacel	s f æ s ə l
sphacel	s f æ s l̩
spill	s p ɪ ɫ
spill	s p ɪ o̯
spill	s p ɪ ʊ̯
spink	s pʰ ɪ ŋ k
spirituality	s p ɪ ɹ ə t͡ʃ u æ l ə ɾ ɪ
Splatty	s p l æ ɾ i
spline	s p l a ɪ̯ n
splinter	s p l̥ ɪ n tʰ ɚ
splinter	s p l̥ ɪ n tʰ ɚ
splinter	s p l̥ ɪ ɾ̃ ɚ
splinter	s p l̥ ɪ ɾ̃ ɹ̩
splitter	s p l ɪ ɾ ɚ
spoofing	s p u̟ f ɪ̃ ŋ
spoon	s p ʊ u̯ n
sport	s p ɔ ɹ ʔ
sportive	s p o ɹ tʰ ɪ v
sportive	s p ɔ ɹ tʰ ɪ v
sportive	s p o ɹ ɾ ɪ v
sportive	s p ɔ ɹ ɾ ɪ v
spotted	s p ɑ ɾ ɪ̈ d
sprack	s p ɹʷ æ k
sprag	s p ɹʷ e ɪ̯ ɡ
spring	s p ɹʷ ɪ ŋ
spring	s p ɹʷ i ŋ
squander	s kʷ ɑ n d ɚ
square	s k w ɛ ˞
squee	s k w iː
squitten	s k w ɪ ʔ n̩
srah	t̪ ʁ a h
stability	s t ə b ɪ l ɪ ɾ i
stable	s t e ɪ b ɫ̩
staff	s t æ f
staff	s t ɛ ə f
staff	s t e ə f
staff	s t a f
staff	s t ä f
stag	s t æ ɡ
stag	s t e ɪ̯ ɡ
stand	s t e ə̯ n d
stand	s t ɛ ə̯ n d
stand	s t e̞ː n d
stand	s t ɛː n d
standardise	s t æ n d ə ɹ d a ɪ z
standardise	s t æ n d ə d a ɪ z
standardization	s t ɛ ə n d ɚ d ɪ z e ɪ ʃ n̩
standardization	s t ɛ ə n d ɚ d ə z e ɪ ʃ n̩
standardize	s t ɛ ə n d ɚ d a ɪ z
standby	s t æ n d b a ɪ̯
standby	s t æ n d b a ɪ̯
standstill	s t ɛ ə n d s t ɪ ɫ
standstill	s t ɛ ə n s t ɪ ɫ
stang	s t æ ŋ
stang	s t e ɪ̯ ŋ
stang	s t ɛ̃ ŋ
stank	s t e ɪ̯ ŋ k
stank	s t ɛ̃ ŋ k
stapes	s t e ɪ̯ pʰ ɪ i̯ z
starch	s t ɑ ɹ t͡ʃ
starling	s t ɑ ɹ l ɪ ŋ
started	s t ɑ ɹ ɾ ɪ d
starter	s t ɑ ɹ ɾ ɚ
starting	s t ɑ ɹ t ɪ ŋ
starting	s t ɑ ɹ ɾ ɪ ŋ
startup	s t ɑ ɹ ɾ ʌ p
static	s t æ ɾ ɪ k
statistical	s t ə t ɪ s t ɪ k l̩
statistically	s t ə t ɪ s t ɪ k l̩ i
status	s t e ɪ ɾ ə s
status	s t æ ɾ ə s
steel	s t iː ɫ
steeple	s t iː p ɫ̩
steeple	s t i p ɫ̩
stepmeal	s t ɛ p m i ə ɫ
stereotype	s t ɛ ɹ i ə t ʌ ɪ p
stereotype	s t ɪ ɹ i ə t ʌ ɪ p
steven	s t iː v n̩
steven	s t e ɪ̯ v n̩
steven	s t ɛ v n̩
steward	s t ʊ u̯ ɚ d
steward	s t ʊ u̯ ɹ̩ d
stiletto	s t ɪ l ɛ ɾ o ʊ
still	s t ɪ l
stockholder	s t ɑ k h o ʊ ɫ d ɚ
stope	s t o ʊ p
straddle	s t ɹ̝̊ʷ æ d ə l
straddle	s t ɹ̝̊ʷ æ d l̩
straddle	s t̠ ɹ̠̊ ˔ʷ æ d ə l
straddle	s t̠ ɹ̠̊ ˔ʷ æ d l̩
strafe	s t ɹ̝̊ʷ e ɪ f
strafe	s t̠ ɹ̠̊ ˔ʷ e ɪ̯ f
strafe	s t ɹ̝̊ʷ ɑː f
strafe	s t̠ ɹ̠̊ ˔ʷ ɑː f
strafe	s t ɹ̝̊ʷ æ f
strafe	s t̠ ɹ̠̊ ˔ʷ æ f
strafer	s t ɹ̝̊ʷ e ɪ̯ f ɚ
strafer	s t ɹ̝̊ʷ e ɪ̯ f ɹ̩
strafer	s t̠ ɹ̠̊ ˔ e ɪ̯ f ɚ
strafer	s t̠ ɹ̠̊ ˔ e ɪ̯ f ɹ̩
strand	s t ɹ̝̊ʷ æ n d
strand	s t̠ ɹ̠̊ ˔ʷ æ n d
strand	s t ɹ̝̊ʷ a n d
strand	s t ɾ ä n d
strand	s t ɹ̝̊ʷ æː n d
strand	s t ɹ̝̊ʷ ɛ n d
strand	s t ɹ̝̊ʷ e ə̯ n d
strand	s t ɹ̝̊ʷ e ə n d
strand	s t ɹ̝̊ʷ ɛ ə̯ n d
strand	s t ɹ̝̊ʷ ɛ ə̯ n d
strand	s t ɹ̝̊ʷ eː n d
strange	ʃ t ɹ e ɪ n d͡ʒ
strangle	s t ɹ̝̊ʷ e ɪ̯ ŋ ɡ ə l
strangle	s t̠ ɹ̠̊ ˔ʷ e ɪ̯ ŋ ɡ l̩
strangle	s t ɹ̝̊ʷ ɛ̃ ŋ ɡ ə l
strangle	s t̠ ɹ̠̊ ˔ʷ ɛ̃ ŋ ɡ l̩
strategies	s t ɹ æ ɾ ɪ d͡ʒ i z
strategies	s t ɹ æ ɾ ə d͡ʒ i z
strategy	s t ɹ æ ɾ ɪ d͡ʒ i
strategy	s t ɹ æ ɾ ə d͡ʒ i
stratum	s t ɹ e ɪ ɾ ə m
stratum	s t ɹ æ ɾ ə m
streal	s t ɹ̝̊ʷ ɪ i̯ l
streal	s t̠ ɹ̠̊ ˔ʷ ɪ i̯ l
stream	s t ɹ̝̊ʷ ɪ i̯ m
stream	s t̠ ɹ̠̊ ˔ʷ ɪ i̯ m
streel	s t ɹ̝̊ʷ ɪ i̯ l
streel	s t̠ ɹ̠̊ ˔ʷ ɪ i̯ l
streets	ʃ t͡ʃ ɹ i t͡s
strength	s t ɹ̝̊ʷ ɛ ŋ θ
strength	s t̠ ɹ̠̊ ˔ʷ ɛ ŋ θ
strength	s t ɹ̝̊ʷ ɛ n θ
strength	s t̠ ɹ̠̊ ˔ʷ ɛ n θ
strength	s t ɹ̝̊ʷ ɪ̟ ŋ θ
strength	s t̠ ɹ̠̊ ˔ʷ ɪ̟ ŋ θ
strength	s t ɹ̝̊ʷ ɪ̟ n θ
strength	s t̠ ɹ̠̊ ˔ʷ ɪ̟ n θ
strength	s t ɹ̝̊ʷ e ɪ ŋ θ
strength	s t̠ ɹ̠̊ ˔ʷ e ɪ ŋ θ
strengthen	s t ɹ e ɪ ŋ k θ ə n
strengthen	s t ɹ e ɪ ŋ θ ə n
strengthened	s t ɹ e ɪ ŋ k θ ə n d
strengthened	s t ɹ e ɪ ŋ θ ə n d
striation	s t ɹ a ɪ e ɪ ʃ ə n
stricture	s t ɹ̝̊ ɪ k t͡ʃ ɚ
stricture	s t ɹ̝̊ ɪ k t͡ʃ ɹ̩
strident	s t ɹ a ɪ d n̩ t
strike	s t iː ɹ̠ ʌ ɪ̯ kʰ
strike	s t iː ɹ̠ ʌ ɪ̯ k
strikeout	s t͡ʃʰ ɹ ə ɪː k æ ʊ̯ ʔ
strikeout	s t ɹ ə ɪː k æ ʊ̯ ʔ
strip	s t ɹ̝̊ʷ ɪ p
strip	s t̠ ɹ̠̊ ˔ʷ ɪ p
strong	s t̠͡ɹ̠ ɔ ŋ
strong	ʃ t̠͡ɹ̠ ɔ ŋ
strong	ʃ t͡ʃ ɹ ɔ ŋ
struggle	s t ɹ ʌ ɡ l̩
studied	s t ʌ ɾ i d
study	s t ʌ ɾ i
stupefaction	s t ʊ u̯ p ə f æ k ʃ ə n
stupefaction	s t ʊ u̯ p ə f æ k ʃ n̩
stye	s t a ɪ̯
styll	s t ɪ ɫ
Subaru	s u̟ w b ə ɹ u̟ w
Subaru	s ʉ w b ə ɹ ʉ w
subhuman	s ʌ b h j uː m ə n
