㑚	n a ʔ ⁴
跋麻雀	p u a ʔ ⁴ ⁻ ² ¹ m a ¹ ³ t͡sʰ y ɒ ʔ ² ¹
跌	t ɛ ʔ ⁴
跑	pʰ a u ⁴ ⁵ ³
距	k y ¹ ¹
距離	k y ¹ ¹ l i ¹ ³
跟	k y ŋ ⁵ ³ ³
跟	k ɛ ŋ ⁵ ³ ³
跡	t͡s i a ¹ ¹
跡	t͡s i ʔ ² ¹
跤	kʰ ɒ ⁵ ³ ³
跤球	kʰ ɒ ⁵ ³ ³ ⁻ ¹ ¹ i u ¹ ³
跤租	kʰ ɒ ⁵ ³ ³ ⁻ ¹ ¹ l ɔ u ⁵ ³ ³
跤肚頭	kʰ ɒ ⁵ ³ ³ ⁻ ¹ ¹ l ɔ u ⁴ ⁵ ³ tʰ a u ¹ ³
跤跡	kʰ ɒ ⁵ ³ ³ ⁻ ¹ ³ t͡s i a ¹ ¹
跤車	kʰ ɒ ¹ ³ ⁻ ¹ ¹ l i a ⁵ ³ ³
跪	k u i ¹ ¹
跪	kʰ u e i ⁴ ⁵ ³
跪堂	kʰ u e i ⁴ ⁵ ³ ⁻ ¹ ³ l u ŋ ¹ ³
跫	kʰ œ ŋ ⁵ ³ ³
路	l ɔ u ¹ ¹
路	t ɔ u ¹ ¹
路口	l ɔ u ¹ ¹ a u ⁴ ⁵ ³
路得記	l ɔ u ¹ ¹ ⁻ ⁴ ² l ɛ ʔ ² ¹ k i ⁴ ²
路用	l ɔ u ¹ ¹ ⁻ ⁴ ² œ ŋ ¹ ¹
路用	t ɔ u ¹ ¹ ⁻ ⁴ ² œ ŋ ¹ ¹
路由	l ɔ u ¹ ¹ i u ¹ ³
路線	l ɔ u ¹ ¹ ⁻ ⁵ ⁵ ɬ y ɒ ⁴ ²
跳	tʰ i e u ⁴ ²
跳級	tʰ i e u ⁴ ² kʰ i ʔ ² ¹
跳級	tʰ i e u ⁴ ² kʰ ɛ ʔ ² ¹
跳索	tʰ i e u ⁴ ² ɬ o ¹ ¹
跳舞	tʰ i e u ⁴ ² ⁻ ⁵ ⁵ u ⁴ ⁵ ³
跳躍	tʰ i e u ⁴ ² ⁻ ⁵ ⁵ œ ʔ ⁴
踏	t a ʔ ⁴
踏	t ɒ ¹ ³
踏	tʰ a ʔ ⁴
踏斗	t a ʔ ⁴ ⁻ ² ¹ t a u ⁴ ⁵ ³
踏斗隥	t a ʔ ⁴ ⁻ ² ¹ t a u ⁴ ⁵ ³ ⁻ ¹ ³ t͡s ɛ ŋ ⁴ ²
踐	t͡s ɛ ŋ ¹ ¹
踞	k y ⁴ ²
踢	tʰ ɛ ʔ ² ¹
踩街	t͡sʰ a i ⁴ ² ⁻ ⁵ ⁵ e ⁵ ³ ³
踽	k y ⁴ ⁵ ³
蹄	t e ¹ ³
蹊	h e ¹ ³
蹙	t͡sʰ ɒ ¹ ¹
蹤	t͡s ɒ ŋ ⁵ ³ ³
蹲	t ɔ ŋ ⁵ ³ ³
蹼	pʰ ɒ ʔ ² ¹
蹾	t ɔ ŋ ⁵ ³ ³
躉	t ɔ ŋ ⁴ ⁵ ³
躍	œ ʔ ⁴
躍進	œ ʔ ⁴ t͡s i ŋ ⁴ ²
躕	t͡sʰ y ¹ ³
躥	t͡sʰ u a ŋ ⁴ ²
身	ɬ i ŋ ⁵ ³ ³
身價	ɬ i ŋ ⁵ ³ ³ ⁻ ¹ ³ ŋ ɒ ⁴ ²
身屍	ɬ i ŋ ⁵ ³ ³ ⁻ ¹ ¹ n i ⁵ ³ ³
躲	t ɒ ⁴ ⁵ ³
躺	tʰ ɒ ŋ ⁴ ⁵ ³
軀	kʰ y ⁵ ³ ³
車	k y ⁵ ³ ³
車	t͡sʰ i a ⁵ ³ ³
車燈	t͡sʰ i a ⁵ ³ ³ ⁻ ¹ ¹ l ɛ ŋ ⁵ ³ ³
車牌	t͡sʰ i a ⁵ ³ ³ ⁻ ¹ ¹ e ¹ ³
車票	t͡sʰ i a ⁵ ³ ³ ⁻ ¹ ³ i e u ⁴ ²
車窗	t͡sʰ i a ⁵ ³ ³ ⁻ ¹ ¹ tʰ œ ŋ ⁵ ³ ³
車站	t͡sʰ i a ⁵ ³ ³ ⁻ ¹ ³ t͡s a ŋ ¹ ¹
車路	t͡sʰ i a ⁵ ³ ³ ⁻ ¹ ³ l ɔ u ¹ ¹
車路囝	t͡sʰ i a ⁵ ³ ³ ⁻ ¹ ³ l ɔ u ¹ ¹ y ɒ ⁴ ⁵ ³
車輦	t͡sʰ i a ⁵ ³ ³ ⁻ ¹ ¹ l œ ŋ ⁴ ⁵ ³
車門	t͡sʰ i a ⁵ ³ ³ ⁻ ¹ ¹ m ɔ ŋ ¹ ³
車頂	t͡sʰ i a ⁵ ³ ³ ⁻ ¹ ¹ l ɛ ŋ ⁴ ⁵ ³
車頭	t͡sʰ i a ⁵ ³ ³ ⁻ ¹ ¹ l a u ¹ ³
軋	a ʔ ² ¹
軋	k a ʔ ² ¹
軋	t͡s a ʔ ² ¹
軌	k u i ⁴ ⁵ ³
軍	k ɔ ŋ ⁵ ³ ³
軍委	k ɔ ŋ ⁵ ³ ³ ⁻ ¹ ¹ u i ⁴ ⁵ ³
軍帽	k ɔ ŋ ⁵ ³ ³ ⁻ ¹ ³ m o ¹ ¹
軍權	k ɔ ŋ ⁵ ³ ³ ⁻ ¹ ¹ k œ ŋ ¹ ³
軍法	k ɔ ŋ ⁵ ³ ³ ⁻ ¹ ³ h a ʔ ² ¹
軍艦	k ɔ ŋ ⁵ ³ ³ ⁻ ¹ ³ l a ŋ ¹ ¹
軒	h œ ŋ ⁵ ³ ³
軛	ɛ ʔ ² ¹
軟	n u e i ⁴ ⁵ ³
軟	n ɔ ŋ ⁴ ⁵ ³
軟件	n u e i ⁴ ⁵ ³ ⁻ ¹ ³ k y ɒ ¹ ¹
軹	t͡s i ⁴ ⁵ ³
軻	kʰ ɒ ⁵ ³ ³
軾	ɬ i ʔ ² ¹
軿	p i ŋ ¹ ³
輀	t͡s i ¹ ³
較	k a u ⁴ ²
輋	ɬ i a ⁵ ³ ³
輕軌	kʰ i ŋ ⁵ ³ ³ ⁻ ¹ ¹ k u i ⁴ ⁵ ³
輕鬆	kʰ i ŋ ⁵ ³ ³ ⁻ ¹ ¹ ɬ ɒ ŋ ⁵ ³ ³
輝	h u i ⁵ ³ ³
輟	t œ ʔ ² ¹
輟學	t œ ʔ ² ¹ ⁻ ⁴ ⁵ h a ʔ ⁴
輦	l œ ŋ ⁴ ⁵ ³
輪	l ɔ ŋ ¹ ³
輫	p a i ¹ ³
輯	t͡sʰ i ʔ ⁴
輶	i u ¹ ³
輸	ɬ y ⁵ ³ ³
輸	ɬ ɔ u ⁵ ³ ³
輸贏	ɬ ɔ u ⁵ ³ ³ ⁻ ¹ ¹ y ɒ ¹ ³
輻射	h ɒ ʔ ² ¹ ⁻ ⁴ ² ɬ i a ¹ ¹
輿	y ¹ ³
輿論	y ¹ ³ ⁻ ⁴ ² l ɔ ŋ ¹ ¹
轄	h a ʔ ⁴
轉	t u e i ⁴ ⁵ ³
轉	t œ ŋ ⁴ ⁵ ³
轉	t͡s u a ŋ ¹ ¹
轉	t͡s u a ŋ ⁴ ⁵ ³
轎	k i e u ¹ ¹
轘	h u a ŋ ¹ ³
轘	h u a ŋ ¹ ¹
辛	ɬ i ŋ ⁵ ³ ³
辛苦	ɬ i ŋ ⁵ ³ ³ ⁻ ¹ ¹ ŋ ɔ u ⁴ ⁵ ³
辜	k ɔ u ⁵ ³ ³
辣	l a ʔ ⁴
辣	l u a ¹ ³
辣	l u a ʔ ⁴
辣椒	l u a ʔ ⁴ ⁻ ² ¹ t͡s i e u ⁵ ³ ³
辣椒醬	l u a ʔ ⁴ ⁻ ² ¹ t͡s i e u ⁵ ³ ³ ⁻ ¹ ³ l i e u ⁴ ²
辣頭	l u a ¹ ³ ⁻ ¹ ¹ l a u ¹ ³
辦事處	p a ŋ ¹ ¹ n o ¹ ¹ ⁻ ⁵ ⁵ t͡sʰ y ⁴ ²
辦案	p a ŋ ¹ ¹ ⁻ ⁵ ⁵ a ŋ ⁴ ²
辦法	p a ŋ ¹ ¹ ⁻ ⁴ ² h a ʔ ² ¹
辭	ɬ i ¹ ³
辭	ɬ o ¹ ³
辭書	ɬ o ¹ ³ ⁻ ¹ ¹ ɬ y ⁵ ³ ³
辯	p ɛ ŋ ¹ ¹
辰	ɬ i ŋ ¹ ³
辱	t͡s œ ʔ ⁴
農	n ɒ ŋ ¹ ³
農村猴	n ɒ ŋ ¹ ³ ⁻ ¹ ¹ t͡sʰ œ ŋ ⁵ ³ ³ ⁻ ¹ ¹ k a u ¹ ³
農業	n ɒ ŋ ¹ ³ ⁻ ¹ ¹ ŋ i ɛ ʔ ⁴
農民	n ɒ ŋ ¹ ³ ⁻ ¹ ¹ m i ŋ ¹ ³
農民猴	n ɒ ŋ ¹ ³ ⁻ ¹ ¹ m i ŋ ¹ ³ ⁻ ¹ ¹ k a u ¹ ³
農民箍	n ɒ ŋ ¹ ³ ⁻ ¹ ¹ m i ŋ ¹ ³ ⁻ ¹ ¹ kʰ ɔ u ⁵ ³ ³
迂	y ⁵ ³ ³
迅	ɬ i ŋ ⁴ ²
迎	ŋ i a ¹ ³
迎	ŋ i ŋ ¹ ³
迎	ŋ y ŋ ¹ ³
迎春	ŋ i a ¹ ³ ⁻ ¹ ¹ l ɔ ŋ ⁵ ³ ³
近	k y ŋ ¹ ¹
近東	k y ŋ ¹ ¹ t ɒ ŋ ⁵ ³ ³
迓	k a ¹ ¹
返	h u a ŋ ⁴ ⁵ ³
迕	k ɔ u ⁴ ⁵ ³
迦南	k a ⁵ ³ ³ ⁻ ¹ ¹ n a ŋ ¹ ³
迦南	k i a ⁵ ³ ³ ⁻ ¹ ¹ n a ŋ ¹ ³
迫	pʰ ɛ ʔ ² ¹
迫近	pʰ ɛ ʔ ² ¹ ⁻ ⁴ ² k y ŋ ¹ ¹
述	ɬ ɔ ʔ ⁴
迵	tʰ a ŋ ⁴ ²
迷	p e ¹ ³
迷亂	p e ¹ ³ ⁻ ⁴ ² l u a ŋ ¹ ¹
迷惑	p e ¹ ³ ⁻ ¹ ¹ h ɛ ʔ ⁴
迷戀	p e ¹ ³ ⁻ ⁴ ² l œ ŋ ¹ ¹
追	t u i ⁵ ³ ³
追問	t u i ⁵ ³ ³ ⁻ ¹ ³ m ɔ ŋ ¹ ¹
追查	t u i ⁵ ³ ³ ⁻ ¹ ¹ t͡sʰ a ¹ ³
退	tʰ u e i ⁴ ²
退	tʰ u i ⁴ ²
退	tʰ ø ⁴ ²
退休	tʰ ø ⁴ ² ⁻ ⁵ ⁵ h i u ⁵ ³ ³
送	ɬ a ŋ ⁴ ²
送	ɬ ɒ ŋ ⁴ ²
送節	ɬ a ŋ ⁴ ² n e ¹ ¹
逃	t o ¹ ³
逃	t ɒ ¹ ³
逆	k i ʔ ⁴
逆境	k i ʔ ⁴ ⁻ ² ¹ k i ŋ ⁴ ⁵ ³
逆天	k i ʔ ⁴ ⁻ ² ¹ tʰ ɛ ŋ ⁵ ³ ³
逆子	k i ʔ ⁴ ⁻ ² ¹ t͡s o ⁴ ⁵ ³
逆風	k i ʔ ⁴ ⁻ ² ¹ h ɒ ŋ ⁵ ³ ³
透	tʰ a u ⁴ ²
透年	tʰ a u ⁴ ² n i ŋ ¹ ³
透日	tʰ a u ⁴ ² ⁻ ⁵ ⁵ l i ʔ ⁴
透明	tʰ a u ⁴ ² m i ŋ ¹ ³
透暝	tʰ a u ⁴ ² m a ¹ ³
透雨	tʰ a u ⁴ ² ɔ u ¹ ¹
逐	t a ʔ ⁴
逐	t œ ʔ ⁴
途	t ɔ u ¹ ³
這久	t͡s i ʔ ² ¹ k u ⁴ ⁵ ³
通	tʰ a ŋ ⁵ ³ ³
通	tʰ ɒ ŋ ⁵ ³ ³
通瓜	tʰ ɒ ŋ ⁵ ³ ³ ⁻ ¹ ¹ ŋ u a ⁵ ³ ³
通知	tʰ ɒ ŋ ⁵ ³ ³ ⁻ ¹ ¹ n i ⁵ ³ ³
通過	tʰ a ŋ ⁵ ³ ³ ⁻ ¹ ³ ŋ o ⁴ ²
逝	ɬ e ¹ ¹
速	ɬ ɒ ʔ ² ¹
速度	ɬ ɒ ʔ ² ¹ ⁻ ⁴ ² t ɔ u ¹ ¹
速率	ɬ ɒ ʔ ² ¹ ⁻ ⁴ ⁵ l ɔ ʔ ⁴
造	t͡sʰ ɒ ⁴ ²
造勢	t͡sʰ ɒ ⁴ ² ⁻ ⁵ ⁵ ɬ e ⁴ ²
造反	t͡sʰ ɒ ⁴ ² ⁻ ⁵ ⁵ u a ŋ ⁴ ⁵ ³
逢	h ɒ ŋ ¹ ³
逢	p ɒ ŋ ¹ ³
逢早	h ɒ ŋ ¹ ¹ n ɒ ⁴ ⁵ ³
連	l ɛ ŋ ¹ ³
逭	h u a ŋ ¹ ¹
進	t͡s i ŋ ⁴ ²
進步	t͡s i ŋ ⁴ ² p ɔ u ¹ ¹
逵	k i ¹ ³
逸	i ʔ ⁴
逼	p i ʔ ² ¹
遁	t ɔ ŋ ¹ ¹
遇	k y ¹ ¹
遊	i u ¹ ³
遊樂	i u ¹ ³ ⁻ ¹ ¹ l ɒ ʔ ⁴
遊覽	i u ¹ ³ ⁻ ¹ ¹ l a ŋ ⁴ ⁵ ³
運	ɔ ŋ ¹ ¹
運動	ɔ ŋ ¹ ¹ ⁻ ⁴ ² n ɒ ŋ ¹ ¹
運動會	ɔ ŋ ¹ ¹ n ɒ ŋ ¹ ¹ ⁻ ⁴ ² ŋ u e i ¹ ¹
運勢	ɔ ŋ ¹ ¹ ⁻ ⁵ ⁵ ɬ e ⁴ ²
運河	ɔ ŋ ¹ ¹ ŋ ɒ ¹ ³
過	k o ⁴ ²
過	k u e i ⁴ ²
過	k ɒ ⁴ ²
過世	k o ⁴ ² ⁻ ⁵ ⁵ ɬ e ⁴ ²
過厝	k o ⁴ ² ⁻ ⁵ ⁵ l ɔ u ⁴ ²
過年	k o ⁴ ² n i ŋ ¹ ³
過後	k o ⁴ ² h i e u ¹ ¹
過房	k o ⁴ ² a ŋ ¹ ³
過手	k o ⁴ ² ⁻ ⁵ ⁵ l i u ⁴ ⁵ ³
過晝	k o ⁴ ² ⁻ ⁵ ⁵ l a u ⁴ ²
過暝	k o ⁴ ² m a ¹ ³
過氣	k o ⁴ ² ⁻ ⁵ ⁵ u i ⁴ ²
過水	k o ⁴ ² ⁻ ⁵ ⁵ l u i ⁴ ⁵ ³
過濾	k o ⁴ ² l y ¹ ¹
過篩	k o ⁴ ² ⁻ ⁵ ⁵ tʰ a i ⁵ ³ ³
過路	k o ⁴ ² l ɔ u ¹ ¹
過頭	k o ⁴ ² l a u ¹ ³
過頭話	k o ⁴ ² l a u ¹ ³ ⁻ ⁴ ² u a ¹ ¹
遏	a ʔ ² ¹
遑	h ɒ ŋ ¹ ³
道	t ɒ ¹ ¹
道德	t ɒ ¹ ¹ ⁻ ⁴ ² t ɛ ʔ ² ¹
道理	t ɒ ¹ ¹ l i ⁴ ⁵ ³
達	t a ʔ ⁴
達州	t a ʔ ⁴ ⁻ ² ¹ t͡s i u ⁵ ³ ³
違	u i ¹ ³
違法	u i ¹ ³ ⁻ ⁴ ² h a ʔ ² ¹
違約	u i ¹ ³ ⁻ ⁴ ² y ɒ ʔ ² ¹
遘	k a u ⁴ ²
遙	i e u ¹ ³
遙控	i e u ¹ ³ ⁻ ⁵ ⁵ kʰ ɒ ŋ ⁴ ²
遙遠	i e u ¹ ³ ⁻ ¹ ¹ œ ŋ ⁴ ⁵ ³
遜	ɬ ɔ ŋ ⁴ ²
遞	t e ¹ ¹
遠	h u e i ¹ ¹
遠	œ ŋ ⁴ ⁵ ³
遣	kʰ ɛ ŋ ⁴ ⁵ ³
適	ɬ i ʔ ² ¹
適任	ɬ i ʔ ² ¹ ⁻ ⁴ ² t͡s i ŋ ¹ ¹
適合	ɬ i ʔ ² ¹ ⁻ ⁴ ⁵ h a ʔ ⁴
適應	ɬ i ʔ ² ¹ ⁻ ⁴ ⁵ i ŋ ⁴ ²
適用	ɬ i ʔ ² ¹ ⁻ ⁴ ² œ ŋ ¹ ¹
適當	ɬ i ʔ ² ¹ ⁻ ⁴ ⁵ t ɒ ŋ ⁴ ²
遭遇	t͡s ɒ ⁵ ³ ³ ⁻ ¹ ³ k y ¹ ¹
遲	t i ¹ ³
遵	t͡s ɔ ŋ ⁵ ³ ³
遵命	t͡s ɔ ŋ ⁵ ³ ³ ⁻ ¹ ³ m i ŋ ¹ ¹
遷	t͡sʰ ɛ ŋ ⁵ ³ ³
選	ɬ œ ŋ ⁴ ⁵ ³
遺	i ¹ ³
遺留	i ¹ ³ ⁻ ¹ ¹ l i u ¹ ³
遼	l i e u ¹ ³
遼寧	l i e u ¹ ³ ⁻ ¹ ¹ n ɛ ŋ ¹ ³
避	pʰ i a ¹ ¹
避	pʰ i ʔ ² ¹
避免	pʰ i ʔ ² ¹ ⁻ ⁴ ⁵ m ɛ ŋ ⁴ ⁵ ³
避開	pʰ i a ¹ ¹ ⁻ ⁵ ⁵ u i ⁵ ³ ³
邀	h i e u ⁵ ³ ³
還	h a i ¹ ³
還	h e ¹ ³
還	h u a ŋ ¹ ³
還	ɬ œ ŋ ¹ ³
還俗	h u a ŋ ¹ ³ ⁻ ¹ ¹ ɬ œ ʔ ⁴
還原	h u a ŋ ¹ ³ ⁻ ¹ ¹ ŋ œ ŋ ¹ ³
還錢	h e ¹ ³ ⁻ ¹ ¹ t͡s i ŋ ¹ ³
邇	t͡s i ⁴ ⁵ ³
邊	p i ŋ ⁵ ³ ³
邊	p ɛ ŋ ⁵ ³ ³
邊擦音	p ɛ ŋ ⁵ ³ ³ ⁻ ¹ ³ t͡sʰ a ʔ ² ¹ ⁻ ⁴ ⁵ i ŋ ⁵ ³ ³
邑	i ʔ ² ¹
邕	œ ŋ ⁵ ³ ³
邕寧	œ ŋ ⁵ ³ ³ ⁻ ¹ ¹ n ɛ ŋ ¹ ³
邙	m ɒ ŋ ¹ ³
邢	h i ŋ ¹ ³
邦	p a ŋ ⁵ ³ ³
邪	ɬ i a ¹ ³
邪念	ɬ i a ¹ ³ ⁻ ⁴ ² n i ɛ ŋ ¹ ¹
邯	h a ŋ ¹ ³
邱	kʰ i u ⁵ ³ ³
邱	kʰ u ⁵ ³ ³
邵	ɬ i e u ¹ ¹
郁	œ ʔ ² ¹
郇	h u a ŋ ¹ ³
郇	ɬ ɔ ŋ ¹ ³
郊尾	k a u ⁵ ³ ³ ⁻ ¹ ¹ u e i ⁴ ⁵ ³
郗	h i ⁵ ³ ³
郜	kʰ ɒ ʔ ² ¹
郡	k ɔ ŋ ¹ ¹
部	p ɔ u ¹ ¹
部位	p ɔ u ¹ ¹ ⁻ ⁴ ² u i ¹ ¹
部門	p ɔ u ¹ ¹ m ɔ ŋ ¹ ³
郭	k o ¹ ¹
郭	k ɒ ʔ ² ¹
郵	i u ¹ ³
郵政分	i u ¹ ³ ⁻ ¹ ¹ l i ŋ ⁴ ² ⁻ ⁵ ⁵ ŋ ɔ ŋ ⁵ ³ ³
郵政花	i u ¹ ³ ⁻ ¹ ¹ l i ŋ ⁴ ² ⁻ ⁵ ⁵ ŋ u a ⁵ ³ ³
郵票	i u ¹ ³ ⁻ ⁵ ⁵ i e u ⁴ ²
鄂	k ɒ ʔ ⁴
鄃	ɬ y ⁵ ³ ³
鄉	h i e u ⁵ ³ ³
鄉	h y ɒ ŋ ⁵ ³ ³
鄉下	h i e u ⁵ ³ ³ ⁻ ¹ ³ ɒ ¹ ¹
鄉土	h y ɒ ŋ ⁵ ³ ³ ⁻ ¹ ¹ tʰ ɔ u ⁴ ⁵ ³
鄉民	h y ɒ ŋ ⁵ ³ ³ ⁻ ¹ ¹ m i ŋ ¹ ³
鄉長	h i e u ⁵ ³ ³ ⁻ ¹ ¹ l y ɒ ŋ ⁴ ⁵ ³
鄒	t͡s i e u ⁵ ³ ³
鄧	t ɛ ŋ ⁴ ²
鄩	ɬ i ŋ ¹ ³
鄭	t a ¹ ¹
鄭	t i ŋ ¹ ¹
鄭州	t a ¹ ¹ l i u ⁵ ³ ³
鄰	l i ŋ ¹ ³
鄰里	l i ŋ ¹ ³ ⁻ ¹ ¹ l i ⁴ ⁵ ³
鄲	t a ŋ ⁵ ³ ³
鄾	i u ⁵ ³ ³
酅	h e ¹ ³
酉	i u ⁴ ⁵ ³
酋	t͡sʰ i u ¹ ³
配	pʰ u e i ⁴ ²
配音	pʰ u e i ⁴ ² ⁻ ⁵ ⁵ i ŋ ⁵ ³ ³
酒	t͡s i u ⁴ ⁵ ³
酒店	t͡s i u ⁴ ⁵ ³ ⁻ ¹ ¹ l e ⁴ ²
酒量	t͡s i u ⁴ ⁵ ³ ⁻ ¹ ³ l y ɒ ŋ ¹ ¹
酒鬼	t͡s i u ⁴ ⁵ ³ ⁻ ¹ ¹ k u i ⁴ ⁵ ³
酒麴	t͡s i u ⁴ ⁵ ³ ⁻ ¹ ³ kʰ ɒ ʔ ² ¹
酗	y ⁴ ²
酥	ɬ ɔ u ⁵ ³ ³
酩	m i ŋ ⁴ ⁵ ³
酬	ɬ i u ¹ ³
酯	t͡s i ⁴ ⁵ ³
酷	kʰ ɒ ʔ ² ¹
酸	ɬ u a ŋ ⁵ ³ ³
酸	ɬ ø ⁵ ³ ³
醉	t͡s u i ⁴ ²
醉船	t͡s u i ⁴ ² l ɔ ŋ ¹ ³
醉車	t͡s u i ⁴ ² ⁻ ⁵ ⁵ l i a ⁵ ³ ³
醉車藥	t͡s u i ⁴ ² ⁻ ⁵ ⁵ l i a ⁵ ³ ³ ⁻ ¹ ¹ i e u ¹ ³
醋	t͡sʰ ɔ u ⁴ ²
醑	ɬ y ⁵ ³ ³
醒	t͡sʰ a ⁴ ⁵ ³
醒	ɬ i ŋ ⁴ ⁵ ³
醛	t͡sʰ œ ŋ ⁵ ³ ³
醜	t͡sʰ i u ⁴ ⁵ ³
醞釀	ɔ ŋ ⁴ ² t͡s y ɒ ŋ ¹ ¹
醫	i ⁵ ³ ³
醫保	i ⁵ ³ ³ ⁻ ¹ ¹ p ɒ ⁴ ⁵ ³
醫生	i ⁵ ³ ³ ⁻ ¹ ¹ l ɛ ŋ ⁵ ³ ³
醫療	i ⁵ ³ ³ ⁻ ¹ ¹ l i e u ¹ ³
醫院	i ⁵ ³ ³ ⁻ ¹ ³ i ŋ ¹ ¹
醬	t͡s i e u ⁴ ²
醬	t͡s y ɒ ŋ ⁴ ²
醬油	t͡s i e u ⁴ ² i u ¹ ³
醯	h e ⁵ ³ ³
醱	h u a ʔ ² ¹
醱	pʰ u a ʔ ² ¹
醺	h ɔ ŋ ⁵ ³ ³
釁	h y ŋ ⁴ ²
釉	i u ¹ ¹
釋	ɬ i ʔ ² ¹
里	l i ⁴ ⁵ ³
重	t a ŋ ¹ ¹
重	t œ ŋ ¹ ³
重	t œ ŋ ¹ ¹
重慶	t œ ŋ ¹ ³ ⁻ ⁵ ⁵ kʰ i ŋ ⁴ ²
重要	t œ ŋ ¹ ¹ ⁻ ⁵ ⁵ i e u ⁴ ²
重點	t œ ŋ ¹ ¹ t i ɛ ŋ ⁴ ⁵ ³
野	i a ⁴ ⁵ ³
野和尚	i a ⁴ ⁵ ³ ⁻ ¹ ¹ ɒ ¹ ³ ⁻ ⁴ ² l y ɒ ŋ ¹ ¹
野獸	i a ⁴ ⁵ ³ ⁻ ¹ ¹ ɬ i u ⁴ ²
野花	i a ⁴ ⁵ ³ ⁻ ¹ ¹ h u a ⁵ ³ ³
野蘆薈	i a ⁴ ⁵ ³ ⁻ ¹ ¹ l ɔ u ¹ ³ ⁻ ⁴ ² u e i ¹ ¹
野貓	i a ⁴ ⁵ ³ ⁻ ¹ ³ m ɒ ¹ ³
量	l y ɒ ŋ ¹ ³
量	l y ɒ ŋ ¹ ¹
量	n i e u ¹ ³
量	n i e u ¹ ¹
量詞	l y ɒ ŋ ¹ ¹ ɬ o ¹ ³
金	k i ŋ ⁵ ³ ³
金店	k i ŋ ⁵ ³ ³ ⁻ ¹ ³ n e ⁴ ²
金手指	k i ŋ ⁵ ³ ³ ⁻ ¹ ¹ n i u ⁴ ⁵ ³ ⁻ ¹ ¹ l a i ⁴ ⁵ ³
金爿	k i ŋ ⁵ ³ ³ ⁻ ¹ ¹ m e ¹ ³
金紙	k i ŋ ⁵ ³ ³ ⁻ ¹ ¹ n y ɒ ⁴ ⁵ ³
金針	k i ŋ ⁵ ³ ³ ⁻ ¹ ¹ n i ɛ ŋ ⁵ ³ ³
金針菜	k i ŋ ⁵ ³ ³ ⁻ ¹ ¹ n i ɛ ŋ ⁵ ³ ³ ⁻ ¹ ³ n a i ⁴ ²
金門	k i ŋ ⁵ ³ ³ ⁻ ¹ ¹ m u e i ¹ ³
金黍	k i ŋ ⁵ ³ ³ ⁻ ¹ ¹ n ø ⁴ ⁵ ³
釘	t ɛ ŋ ⁴ ²
釘	t ɛ ŋ ⁵ ³ ³
釜	h u ⁴ ⁵ ³
針	t͡s i ɛ ŋ ⁵ ³ ³
針尾	t͡s i ɛ ŋ ⁵ ³ ³ ⁻ ¹ ¹ p u e i ⁴ ⁵ ³
針機	t͡s i ɛ ŋ ⁵ ³ ³ ⁻ ¹ ¹ ŋ u i ⁵ ³ ³
針空	t͡s i ɛ ŋ ⁵ ³ ³ ⁻ ¹ ¹ kʰ a ŋ ⁵ ³ ³
針跤	t͡s i ɛ ŋ ⁵ ³ ³ ⁻ ¹ ¹ kʰ ɒ ⁵ ³ ³
針車	t͡s i ɛ ŋ ⁵ ³ ³ ⁻ ¹ ¹ t͡sʰ i a ⁵ ³ ³
針黹	t͡s i ɛ ŋ ⁴ ⁵ ³ ⁻ ¹ ¹ n i ⁴ ⁵ ³
針鼻	t͡s i ɛ ŋ ⁵ ³ ³ ⁻ ¹ ³ pʰ i ⁴ ²
釧	t͡sʰ œ ŋ ⁴ ²
釵	t͡sʰ a i ⁵ ³ ³
釵	t͡sʰ ɒ ⁵ ³ ³
鈀	p a ⁴ ⁵ ³
鈃	h i ŋ ¹ ³
鈍	t ɔ ŋ ¹ ¹
鈕	t i u ⁴ ⁵ ³
鈞	k y ŋ ⁵ ³ ³
鈴	l ɛ ŋ ¹ ³
鈾	i u ¹ ³
鈿	t ɛ ŋ ¹ ³
鈿	t ɛ ŋ ¹ ¹
鉉	h œ ŋ ¹ ¹
鉕	pʰ ɒ ⁴ ⁵ ³
鉗囝	kʰ i ɛ ŋ ¹ ³ ⁻ ¹ ¹ ŋ y ɒ ⁴ ⁵ ³
鉚	p a u ⁴ ⁵ ³
鉛	t͡s u e i ¹ ³
鉛	œ ŋ ¹ ³
鉬	p ɒ ʔ ⁴
鉸刀	k ɒ ⁵ ³ ³ ⁻ ¹ ¹ l o ⁵ ³ ³
鉸刀錘囝布	k ɒ ⁵ ³ ³ ⁻ ¹ ¹ l o ⁵ ³ ³ ⁻ ¹ ¹ tʰ u i ¹ ³ ⁻ ¹ ¹ y ɒ ⁴ ⁵ ³ ⁻ ¹ ¹ p ɔ u ⁴ ²
鉺	t͡s i ⁴ ⁵ ³
銀	ŋ y ŋ ¹ ³
銀川	ŋ y ŋ ¹ ³ ⁻ ¹ ¹ t͡sʰ œ ŋ ⁵ ³ ³
銀紙	ŋ y ŋ ¹ ³ ⁻ ¹ ¹ n y ɒ ⁴ ⁵ ³
銀行	ŋ y ŋ ¹ ³ ⁻ ¹ ¹ h a ŋ ¹ ³
銃	t͡sʰ œ ŋ ¹ ¹
銃子	t͡sʰ œ ŋ ¹ ¹ n i ⁴ ⁵ ³
