'day	d a j
tabako	t a b a k o
tabakuhan	t a b a k u h a n
tabal	t a b a l
taban	t a b a n
tabang	t a b a ŋ
tabas	t a b a s
tabasko	t a b a s k o
tabatsing	t a b a t s i ŋ
tabatsing	t a b a t͡ʃ i ŋ
tabatsingtsing	t a b a t s i ŋ t s i ŋ
tabatsingtsing	t a b a t͡ʃ i ŋ t͡ʃ i ŋ
tabatsoy	t a b a t s o j
tabatsoy	t a b a t͡ʃ o j
tabaw	t a b a w
tabayag	t a b a j a ɡ
taberna	t a b e ɾ n a
tabernakulo	t a b e ɾ n a k u l o
tabi	t a b e
tabi	t a b i
tabi	t a b i ʔ
tabig	t a b i ɡ
tabigi	t a b i ɡ i ʔ
tabike	t a b i k e
tabike	t a b i k e ʔ
tabil	t a b i l
tabing	t a b i ŋ
tabingi	t a b i ŋ i ʔ
tabla	t a b l a
tablan	t a b l a n
tablaro	t a b l a ɾ o
tablasuson	t a b l a s u s o n
tablaw	t a b l a w
tablay	t a b l a j
tablea	t a b l e a
tablero	t a b l e ɾ o
tabletas	t a b l e t a s
tableya	t a b l e a
tabliya	t a b l i a
tabloyd	t a b l o j d
tabo	t a b o ʔ
tabog	t a b o ɡ
tabol	t a b o l
tabon	t a b o n
taboy	t a b o j
tabsik	t a b s i k
tabtab	t a b t a b
tabtabin	t a b t a b i n
tabugi	t a b u ɡ i ʔ
tabugian	t a b u ɡ i ʔ a n
tabunan	t a b u n a n
taburaw	t a b u ɾ a w
taburete	t a b u ɾ e t e
tadhana	t a d h a n a ʔ
tadlong	t a d l o ŋ
tadtad	t a d t a d
tadyak	t a d j a k
tadyang	t a d j a ŋ
tae	t a ʔ e
taeb	t a ʔ e b
taena	t a ʔ e n a
taga	t a ɡ a ʔ
tagaangkat	t a ɡ a ʔ a ŋ k a t
tagababa	t a ɡ a b a b a ʔ
tagabantay	t a ɡ a b a n t a j
tagabas	t a ɡ a b a s
tagabasa	t a ɡ a b a s a
tagabukid	t a ɡ a b u k i d
tagagamit	t a ɡ a ɡ a m i t
tagahanga	t a ɡ a h a ŋ a ʔ
tagahugas	t a ɡ a h u ɡ a s
tagaigib	t a ɡ a ʔ i ɡ i b
tagain	t a ɡ a ʔ i n
tagak	t a ɡ a k
tagaktak	t a ɡ a k t a k
tagal	t a ɡ a l
tagalinang	t a ɡ a l i n a ŋ
tagalinis	t a ɡ a l i n i s
tagaluto	t a ɡ a l u t o ʔ
tagamasid	t a ɡ a m a s i d
tagan	t a ɡ a n
tagapaglathala	t a ɡ a p a ɡ l a t h a l a ʔ
tagapagligtas	t a ɡ a p a ɡ l i ɡ t a s
tagapaglipat	t a ɡ a p a ɡ l i p a t
tagapagluto	t a ɡ a p a ɡ l u t o ʔ
tagapagmana	t a ɡ a p a ɡ m a n a
tagapagsagawa	t a ɡ a p a ɡ s a ɡ a w a ʔ
tagapagsaliksik	t a ɡ a p a ɡ s a l i k s i k
tagapagsalin	t a ɡ a p a ɡ s a l i n
tagapagsalita	t a ɡ a p a ɡ s a l i t a ʔ
tagapagturo	t a ɡ a p a ɡ t u ɾ o ʔ
tagapakinig	t a ɡ a p a k i n i ɡ
tagapamagitan	t a ɡ a p a m a ɡ i t a n
tagapamahala	t a ɡ a p a m a h a l a ʔ
tagapamanihala	t a ɡ a p a m a n i h a l a ʔ
tagapamatnubay	t a ɡ a p a m a t n u b a j
tagapanayam	t a ɡ a p a n a j a m
tagapangasiwa	t a ɡ a p a ŋ a s i w a ʔ
tagapangulo	t a ɡ a p a ŋ u l o
tagapayo	t a ɡ a p a j o
tagarito	t a ɡ a ɾ i t o
tagariyan	t a ɡ a ɾ i a n
tagaroon	t a ɡ a ɾ o ʔ o n
tagas	t a ɡ a s
tagasaan	t a ɡ a s a ʔ a n
tagasan	t a ɡ a s a n
tagasaw	t a ɡ a s a w
tagasunod	t a ɡ a s u n o d
tagasuporta	t a ɡ a s u p o ɾ t a
tagatuos	t a ɡ a t u ʔ o s
tagay	t a ɡ a j
tagaytay	t a ɡ a j t a j
tagbagyo	t a ɡ b a ɡ j o
tagbik	t a ɡ b i k
tagdan	t a ɡ d a n
tagenggong	t a ɡ e ŋ ɡ o ŋ
tagginaw	t a ɡ ɡ i n a w
taggutom	t a ɡ ɡ u t o m
taghap	t a ɡ h a p
taghikaw	t a ɡ h i k a w
taghirap	t a ɡ h i ɾ a p
taghiyawat	t a ɡ h i a w a t
taghiyawat	t a ɡ j a w a t
taghok	t a ɡ h o k
taghoy	t a ɡ h o j
taghoy	t a ɡ o j
tagiamo	t a ɡ i ʔ a m o ʔ
tagibang	t a ɡ i b a ŋ
tagigapay	t a ɡ i ɡ a p a j
tagihaba	t a ɡ i h a b a ʔ
tagihawat	t a ɡ i h a w a t
tagihilis	t a ɡ i h i l i s
tagikaw	t a ɡ i k a w
tagiktik	t a ɡ i k t i k
tagilaiw	t a ɡ i l a ʔ i w
tagilayiw	t a ɡ i l a j i w
tagilid	t a ɡ i l i d
tagiliran	t a ɡ i l i ɾ a n
tagilo	t a ɡ i l o
tagilog	t a ɡ i l o ɡ
tagis	t a ɡ i s
tagisuyo	t a ɡ i s u j o ʔ
taglagas	t a ɡ l a ɡ a s
taglamig	t a ɡ l a m i ɡ
taglay	t a ɡ l a j
tagmangga	t a ɡ m a ŋ ɡ a
tagniyebe	t a ɡ n i e b e
tago	t a ɡ o ʔ
tagok	t a ɡ o k
tagos	t a ɡ o s
tagpi	t a ɡ p i ʔ
tagpo	t a ɡ p o ʔ
tagpuan	t a ɡ p u ʔ a n
tagpuin	t a ɡ p u ʔ i n
tagsibol	t a ɡ s i b o l
tagtag	t a ɡ t a ɡ
tagtanim	t a ɡ t a n i m
tagtrangkaso	t a ɡ t ɾ a ŋ k a s o
tagtuyot	t a ɡ t u j o t
taguan	t a ɡ u ʔ a n
tagubilin	t a ɡ u b i l i n
tagulabay	t a ɡ u l a b a j
tagulamin	t a ɡ u l a m i n
taguling	t a ɡ u l i ŋ
tagumanak	t a ɡ u m a n a k
tagumpay	t a ɡ u m p a j
tagunya	t a ɡ u n j a ʔ
tagupak	t a ɡ u p a k
taguri	t a ɡ u ɾ i ʔ
taguyod	t a ɡ u j o d
tagway	t a ɡ w a j
tagyawat	t a ɡ j a w a t
tagyelo	t a ɡ j e l o
tahajud	t a h a d j u d
tahajud	t a h a d͡ʒ u d
tahak	t a h a k
tahaklaw	t a h a k l a w
tahan	t a h a n
tahanan	t a h a n a n
tahandas	t a h a n d a s
tahapik	t a h a p i k
tahas	t a h a s
tahasan	t a h a s a n
tahasik	t a h a s i k
tahaw	t a h a w
tahi	t a h i ʔ
tahid	t a h i d
tahik	t a h i k
tahilan	t a h i l a n
tahimik	t a h i m i k
tahinga	t a h i ŋ a
taho	t a h o
taho	t a h o ʔ
tahol	t a h o l
tahong	t a h o ŋ
tahure	t a h u ɾ e
tahure	t a w ɾ e
taib	t a ʔ i b
taihan	t a ʔ i h a n
taimtim	t a ʔ i m t i m
tainga	t a j ŋ a
tainga	t a ʔ i ŋ a
tainga	t e ŋ a
taingambaboy	t a j ŋ a m b a b o j
taingambaboy	t a ʔ i ŋ a m b a b o j
taingambabuy	t a j ŋ a m b a b u j
taingambabuy	t a ʔ i ŋ a m b a b u j
taingambabuy	t e ŋ a m b a b u j
taiwanak	t a ʔ i w a n a k
taka	t a k a
taka	t a k a ʔ
takal	t a k a l
takam	t a k a m
takap	t a k a p
takas	t a k a s
takatak	t a k a t a k
takaw	t a k a w
takba	t a k b a
takban	t a k b a n
takbir	t a k b i ɾ
takbo	t a k b o
takbuhan	t a k b u h a n
takbuhin	t a k b u h i n
takda	t a k d a ʔ
takdang	t a k d a ŋ
takig	t a k i ɡ
takilya	t a k i l j a
takin	t a k i n
taking	t a k i ŋ
takip	t a k i p
takipsilim	t a k i p s i l i m
takitaki	t a k i t a k i
taklab	t a k l a b
taklesa	t a k l e s a
taklip	t a k l i p
taklob	t a k l o b
taklobo	t a k l o b o
taknahaynayan	t a k n a h a j n a j a n
tako	t a k o
tako	t a k o ʔ
takob	t a k o b
takong	t a k o ŋ
takore	t a k o ɾ e
takore	t a k o ɾ e ʔ
takot	t a k o t
takoyaki	t a k o j a k i
takpan	t a k p a n
taksan	t a k s a n
taksi	t a k s i
taksil	t a k s i l
taktak	t a k t a k
takte	t a k t e
taktika	t a k t i k a
takuko	t a k u k o
takupis	t a k u p i s
takure	t a k u ɾ e
takure	t a k u ɾ e ʔ
takuri	t a k u ɾ e
takuri	t a k u ɾ e ʔ
takuri	t a k u ɾ i
takuri	t a k u ɾ i ʔ
takutin	t a k u t i n
takwil	t a k w i l
tala	t a l a
tala	t a l a ʔ
talaan	t a l a ʔ a n
talaantugoy	t a l a ʔ a n t u ɡ o j
talaarawan	t a l a ʔ a ɾ a w a n
talaawitan	t a l a ʔ a w i t a n
talab	t a l a b
talaba	t a l a b a
talababa	t a l a b a b a ʔ
talabatasan	t a l a b a t a s a n
talabing	t a l a b i ŋ
talabis	t a l a b i s
talabunyian	t a l a b u n j i ʔ a n
taladalasan	t a l a d a l a s a n
talaga	t a l a ɡ a
talaga	t a l a ɡ a ʔ
talaghay	t a l a ɡ h a j
talahanayan	t a l a h a n a j a n
talahib	t a l a h i b
talahiban	t a l a h i b a n
talahuluganan	t a l a h u l u ɡ a n a n
talak	t a l a k
talakay	t a l a k a j
talakayan	t a l a k a j a n
talakitok	t a l a k i t o k
talaksan	t a l a k s a n
talalahian	t a l a l a h i ʔ a n
talalan	t a l a l a n
talamak	t a l a m a k
talamapahan	t a l a m a p a h a n
talamayawan	t a l a m a j a w a n
talambuhay	t a l a m b u h a j
talamitam	t a l a m i t a m
talampak	t a l a m p a k
talampakan	t a l a m p a k a n
talampas	t a l a m p a s
talandak	t a l a n d a k
talandi	t a l a n d i ʔ
talang	t a l a ŋ
talanga	t a l a ŋ a ʔ
talangas	t a l a ŋ a s
talangbulo	t a l a ŋ b u l o
talangguhit	t a l a ŋ ɡ u h i t
talangi	t a l a ŋ i ʔ
talangka	t a l a ŋ k a ʔ
talangkas	t a l a ŋ k a s
talangnginag	t a l a ŋ ŋ i n a ɡ
talangpas	t a l a ŋ p a s
talanyo	t a l a n j o ʔ
talaorasan	t a l a ʔ o ɾ a s a n
talapak	t a l a p a k
talapihitan	t a l a p i h i t a n
talaro	t a l a ɾ o ʔ
talarok	t a l a ɾ o k
talas	t a l a s
talasalitaan	t a l a s a l i t a ʔ a n
talasantauhan	t a l a s a n t a ʔ u h a n
talasimpanan	t a l a s i m p a n a n
talasok	t a l a s o k
talasokrasiya	t a l a s o k ɾ a s i a
talasokrasya	t a l a s o k ɾ a s j a
talastas	t a l a s t a s
talasukatan	t a l a s u k a t a n
talata	t a l a t a ʔ
talataan	t a l a t a ʔ a n
talatakdaan	t a l a t a k d a ʔ a n
talatanungan	t a l a t a n u ŋ a n
talatinigan	t a l a t i n i ɡ a n
talatugtugan	t a l a t u ɡ t u ɡ a n
talatuntunan	t a l a t u n t u n a n
talaupahan	t a l a ʔ u p a h a n
talausapan	t a l a ʔ u s a p a n
talaw	t a l a w
talbog	t a l b o ɡ
talbos	t a l b o s
talbustubo	t a l b u s t u b o
talentado	t a l e n t a d o
talento	t a l e n t o
talhak	t a l h a k
tali	t a l e ʔ
tali	t a l i
tali	t a l i ʔ
taliba	t a l i b a ʔ
talibad	t a l i b a d
talibadbad	t a l i b a d b a d
talibas	t a l i b a s
talibatab	t a l i b a t a b
talibong	t a l i b o ŋ
talibugso	t a l i b u ɡ s o ʔ
talihabso	t a l i h a b s o ʔ
talihalat	t a l i h a l a t
talihilig	t a l i h i l i ɡ
talik	t a l i k
talikakas	t a l i k a k a s
talikala	t a l i k a l a ʔ
talikba	t a l i k b a
talikba	t a l i k b a ʔ
talikod	t a l i k o d
talikodgenic	t a l i k o d j e n i k
talikodgenic	t a l i k o d͡ʒ e n i k
taliktik	t a l i k t i k
talikuran	t a l i k u ɾ a n
talilis	t a l i l i s
talilong	t a l i l o ŋ
talim	t a l i m
talima	t a l i m a
talimang	t a l i m a ŋ
talimangmang	t a l i m a ŋ m a ŋ
talimaras	t a l i m a ɾ a s
talimusak	t a l i m u s a k
talindaw	t a l i n d a w
taling	t a l i ŋ
talingdaw	t a l i ŋ d a w
talingdiking	t a l i ŋ d i k i ŋ
talinghaga	t a l i ŋ h a ɡ a ʔ
talino	t a l i n o
talinong	t a l i n o ŋ
talipa	t a l i p a
talipa	t a l i p a ʔ
talipandas	t a l i p a n d a s
talipapa	t a l i p a p a ʔ
talipya	t a l i p j a ʔ
taliris	t a l i ɾ i s
talisay	t a l i s a j
talisod	t a l i s o d
talisuyo	t a l i s u j o ʔ
talitis	t a l i t i s
taliwakas	t a l i w a k a s
taliwas	t a l i w a s
talo	t a l o
talo	t a l o ʔ
talob	t a l o b
talohimig	t a l o h i m i ɡ
taloiryap	t a l o ʔ i ɾ j a p
talon	t a l o n
talong	t a l o ŋ
talop	t a l o p
talortor	t a l u ɾ t o ɾ
talos	t a l o s
talpak	t a l p a k
talpog	t a l p o ɡ
talsik	t a l s i k
taltaguhit	t a l t a ɡ u h i t
taltak	t a l t a k
taltal	t a l t a l
talubanat	t a l u b a n a t
talubata	t a l u b a t a ʔ
taludtod	t a l u d t o d
taludturan	t a l u d t u ɾ a n
taluhiyang	t a l u h i a ŋ
taluhog	t a l u h o ɡ
taluidyap	t a l u ʔ i d j a p
taluiryap	t a l u ʔ i ɾ j a p
talukab	t a l u k a b
talukap	t a l u k a p
talukbong	t a l u k b o ŋ
talulot	t a l u l o t
talumpati	t a l u m p a t i ʔ
talunan	t a l u n a n
talundas	t a l u n d a s
talungtong	t a l u ŋ t o ŋ
talunin	t a l u n i n
talunton	t a l u n t o n
talunyuhay	t a l u n j u h a j
talupak	t a l u p a k
talurami	t a l u ɾ a m i
talurang	t a l u ɾ a ŋ
talusaling	t a l u s a l i ŋ
talusik	t a l u s i k
taluugat	t a l u ʔ u ɡ a t
talyasi	t a l j a s i ʔ
talyer	t a l j e ɾ
tama	t a m a ʔ
tamaan	t a m a ʔ a n
tamad	t a m a d
tamak	t a m a k
tamales	t a m a l e s
tamalis	t a m a l i s
tamaraw	t a m a ɾ a w
tamasa	t a m a s a
tambaas	t a m b a ʔ a s
tambad	t a m b a d
tambag	t a m b a ɡ
tambak	t a m b a k
tambakan	t a m b a k a n
tambakol	t a m b a k o l
tambal	t a m b a l
tambalan	t a m b a l a n
tamban	t a m b a n
tambang	t a m b a ŋ
tambangan	t a m b a ŋ a n
tambanggalan	t a m b a ŋ ɡ a l a n
tambaw	t a m b a w
tambay	t a m b a j
tambayan	t a m b a j a n
tambiki	t a m b i k i ʔ
tambilang	t a m b i l a ŋ
tambisi	t a m b i s i ʔ
tambiyolo	t a m b i o l o
tambling	t a m b l i ŋ
tambo	t a m b o ʔ
tambog	t a m b o ɡ
tambok	t a m b o k
tambol	t a m b o l
tambolero	t a m b o l e ɾ o
tambs	t a m b s
tambugak	t a m b u ɡ a k
tambukulan	t a m b u k u l a n
tambulan	t a m b u l a n
tambuli	t a m b u l i ʔ
tamburin	t a m b u ɾ i n
tambutso	t a m b u t s o
tambutso	t a m b u t͡ʃ o
tambyolo	t a m b j o l o
tameme	t a m e m e ʔ
tamis	t a m i s
tamlay	t a m l a j
tamnan	t a m n a n
tamo	t a m o
tamo	t a m o ʔ
tamod	t a m o d
tampa	t a m p a
tampak	t a m p a k
tampal	t a m p a l
tampalasan	t a m p a l a s a n
tampalpuke	t a m p a l p u k e
tampalpuki	t a m p a l p u k i
tampat	t a m p a t
tampay	t a m p a j
tampi	t a m p i ʔ
tampipi	t a m p i p i ʔ
tampisaw	t a m p i s a w
tampo	t a m p o
tamtaman	t a m t a m a n
tana	t a n a
tanan	t a n a n
tanaw	t a n a w
tanawan	t a n a w a n
tanda	t a n d a
tanda	t a n d a ʔ
tandang	t a n d a ŋ
tandayag	t a n d a j a ɡ
tanders	t a n d e ɾ s
tandiyerin	t a n d i e ɾ i n
tandos	t a n d o s
tandyerin	t a n d j e ɾ i n
tanga	t a ŋ a
tanga	t a ŋ a ʔ
tangalog	t a ŋ a l o ɡ
tangan	t a ŋ a n
tangay	t a ŋ a j
tange	t a ŋ e ʔ
tangek	t a ŋ e k
tangengot	t a ŋ e ŋ o t
tangga	t a ŋ ɡ a
tanggal	t a ŋ ɡ a l
tanggalin	t a ŋ ɡ a l i n
tanggap	t a ŋ ɡ a p
tanggapan	t a ŋ ɡ a p a n
tanggi	t a ŋ ɡ i
tangginggi	t a ŋ ɡ i ŋ ɡ i ʔ
tanggo	t a ŋ ɡ o
tanggol	t a ŋ ɡ o l
tanghal	t a ŋ h a l
tanghali	t a ŋ h a l i ʔ
tanghalian	t a ŋ h a l i ʔ a n
tanghaliin	t a ŋ h a l i ʔ i n
tanghas	t a ŋ h a s
tangherina	t a ŋ h e ɾ i n a
tanghod	t a ŋ h o d
tangi	t a ŋ i ʔ
tangile	t a ŋ i l e
tangile	t a ŋ i l e ʔ
tangina	t a ŋ i n a
tangina	t a ŋ ʔ i n a
tangis	t a ŋ i s
tangka	t a ŋ k a ʔ
tangkad	t a ŋ k a d
tangkal	t a ŋ k a l
tangkalag	t a ŋ k a l a ɡ
tangkas	t a ŋ k a s
tangkay	t a ŋ k a j
tangke	t a ŋ k e
tangkig	t a ŋ k i ɡ
tangkilik	t a ŋ k i l i k
tangkito	t a ŋ k i t o
tangkulok	t a ŋ k u l o k
tanglad	t a ŋ l a d
tanglaw	t a ŋ l a w
tangluyan	t a ŋ l u j a n
tango	t a ŋ o ʔ
tangos	t a ŋ o s
tangrib	t a ŋ ɾ i b
tangwa	t a ŋ w a
tangway	t a ŋ w a j
tanigi	t a n i ɡ i ʔ
tanikala	t a n i k a l a ʔ
tanim	t a n i m
taniman	t a n i m a n
taning	t a n i ŋ
tanke	t a ŋ k e
tankito	t a ŋ k i t o
tanlap	t a n l a p
tanlaw	t a n l a w
tanod	t a n o d
tanong	t a n o ŋ
tansan	t a n s a n
tansiya	t a n s i a
tanso	t a n s o ʔ
tansya	t a n s j a
tantan	t a n t a n
tantiya	t a n t i a
tantiyado	t a n t i a d o
tantiyahin	t a n t i a h i n
tanto	t a n t o
tanto	t a n t o ʔ
tantsing	t a n t s i ŋ
tantsing	t a n t͡ʃ i ŋ
tantya	t a n t j a
tanungin	t a n u ŋ i n
tanway	t a n w a j
tanyag	t a n j a ɡ
tao	t a ʔ o
taob	t a ʔ o b
taog	t a ʔ o ɡ
taoke	t a w k e
taol	t a ʔ o l
taon	t a ʔ o n
taong	t a ʔ o ŋ
taos	t a ʔ o s
tapa	t a p a
tapaboka	t a p a b o k a
tapak	t a p a k
tapal	t a p a l
tapalodo	t a p a l o d o
tapang	t a p a ŋ
tapangko	t a p a ŋ k o
tapapetso	t a p a p e t s o
tapapetso	t a p a p e t͡ʃ o
tapas	t a p a s
tapat	t a p a t
tapatin	t a p a t i n
tapay	t a p a j
tapayan	t a p a j a n
tapayin	t a p a j i n
tapeta	t a p e t a
tapetan	t a p e t a n
tapi	t a p i ʔ
tapik	t a p i k
tapil	t a p i l
tapilok	t a p i l o k
taping	t a p i ŋ
tapir	t a p i ɾ
tapis	t a p i s
tapon	t a p o n
tapos	t a p o s
tapsi	t a p s i
tapsilog	t a p s i l o ɡ
tapsilogan	t a p s i l o ɡ a n
tapsilugan	t a p s i l u ɡ a n
tapulaw	t a p u l a w
tapunan	t a p u n a n
tapusin	t a p u s i n
tapyas	t a p j a s
tapyoka	t a p j o k a
tara	t a ɾ a
tarak	t a ɾ a k
tarakan	t a ɾ a k a n
taralets	t a ɾ a l e t s
tarambulo	t a ɾ a m b u l o
tarampula	t a ɾ a m p u l a
taranate	t a ɾ a n a t e
tarang	t a ɾ a ŋ
tarangka	t a ɾ a ŋ k a
tarangkahan	t a ɾ a ŋ k a h a n
taranta	t a ɾ a n t a
tarantado	t a ɾ a n t a d o
taras	t a ɾ a s
tarat	t a ɾ a t
tarawi	t a ɾ a w i
taray	t a ɾ a j
tarheta	t a ɾ h e t a
tarik	t a ɾ e k
tarik	t a ɾ i k
tarika	t a ɾ i k a
tariktik	t a ɾ i k t i k
taring	t a ɾ i ŋ
taripa	t a ɾ i p a
tarnate	t a ɾ n a t e
tarp	t a ɾ p
tarpo	t a ɾ p o
tarpolin	t a ɾ p o l i n
tarpolitiko	t a ɾ p o l i t i k o
tarugo	t a ɾ u ɡ o
tarya	t a ɾ j a
tas	t a s
tasa	t a s a
tasahan	t a s a h a n
tasbi	t a s b i
tasbih	t a s b i
tasik	t a s i k
tastas	t a s t a s
tata	t a t a
tata	t a t a ʔ
tatag	t a t a ɡ
tataghay	t a t a ɡ h a j
tatagnan	t a t a ɡ n a n
tatagukan	t a t a ɡ u k a n
tatahanan	t a t a h a n a n
tatak	t a t a k
tatakan	t a t a k a n
tatakangbislig	t a t a k a ŋ b i s l i ɡ
tatal	t a t a l
tatalunan	t a t a l u n a n
tatama	t a t a m a ʔ
tatang	t a t a ŋ
tatangnan	t a t a ŋ n a n
tatap	t a t a p
tatas	t a t a s
tataw	t a t a w
tatawagan	t a t a w a ɡ a n
tatay	t a t a j
tate	t a t e ʔ
tatiyaw	t a t i a w
tatlo	t a t l o
tatlumpu	t a t l u m p u ʔ
tatlundaan	t a t l u n d a ʔ a n
tato	t a t o ʔ
tatsiha	t a t s i h a ʔ
tatsihaan	t a t s i h a ʔ a n
tatsulok	t a t s u l o k
tatu	t a t u
tatu	t a t u ʔ
tatwa	t a t w a ʔ
tatyaw	t a t j a w
tauban	t a ʔ u b a n
tauhan	t a ʔ u h a n
taumbayan	t a ʔ u m b a j a n
taunan	t a ʔ u n a n
taupu	t a ʔ u p u ʔ
tautay	t a ʔ u t a j
tawa	t a w a
tawad	t a w a d
tawag	t a w a ɡ
tawagan	t a w a ɡ a n
tawak	t a w a k
tawanan	t a w a n a n
tawaran	t a w a ɾ a n
tawas	t a w a s
taway	t a w a j
tawge	t a w ɡ e
tawid	t a w i d
tawilis	t a w i l i s
tawing	t a w i ŋ
tawiran	t a w i ɾ a n
tawke	t a w k e
tawo	t a w o
tawpe	t a w p e
tawpu	t a w p u ʔ
tawsi	t a w s i ʔ
tawtaw	t a w t a w
tay	t a j
taya	t a j a
taya	t a j a ʔ
tayaba	t a j a b a
tayabas	t a j a b a s
tayabutab	t a j a b u t a b
tayahan	t a j a h a n
tayakad	t a j a k a d
tayamutam	t a j a m u t a m
tayangtang	t a j a ŋ t a ŋ
tayinga	t a j i ŋ a
tayiwanak	t a j i w a n a k
taympers	t a j m p e ɾ s
tayo	t a j o
tayo	t a j o ʔ
tayog	t a j o ɡ
tayom	t a j o m
tayon	t a j o n
tayong	t a j o ŋ
taytay	t a j t a j
tayubasi	t a j u b a s i
tayudtod	t a j u d t o d
tayudturan	t a j u d t u ɾ a n
tayukod	t a j u k o d
tayuman	t a j u m a n
tayutay	t a j u t a j
tayuto	t a j u t o ʔ
tayuwanak	t a j u a n a k
tayuwat	t a j u a t
taywanak	t a j w a n a k
te	t e
teatro	t e a t ɾ o
tebol	t e b o l
tegi	t e ɡ i
teh	t e
teham	t e h a m
teismo	t e i s m o
teista	t e i s t a
teka	t e k a
tekas	t e k a s
tekayo	t e k a j o
tekila	t e k i l a
tekla	t e k l a
teklado	t e k l a d o
teknik	t e k n i k
teknika	t e k n i k a
teknikalidad	t e k n i k a l i d a d
teknikolor	t e k n i k o l o ɾ
teknolohiya	t e k n o l o h i a
teks	t e k s
teksas	t e k s a s
teksbuk	t e k s b u k
teksmeyt	t e k s m e j t
teksto	t e k s t o
tekstura	t e k s t u ɾ a
tekwan	t e k w a n
tela	t e l a
telebabad	t e l e b a b a d
telebasura	t e l e b a s u ɾ a
telebisyon	t e l e b i s j o n
telegrama	t e l e ɡ ɾ a m a
telegrapo	t e l e ɡ ɾ a p o
telekomunikasyon	t e l e k o m u n i k a s j o n
telekonsulta	t e l e k o n s u l t a
telenobela	t e l e n o b e l a
teleolohiya	t e l e o l o h i a
telepatiya	t e l e p a t i a
telepono	t e l e p o n o
teleradyo	t e l e ɾ a d j o
teleserye	t e l e s e ɾ j e
teleskopyo	t e l e s k o p j o
tema	t e m a
temperatura	t e m p e ɾ a t u ɾ a
templo	t e m p l o
tempura	t e m p u ɾ a
temuna	t e m u n a
tenedor	t e n e d o ɾ
teneduriya	t e n e d u ɾ i a
tenga	t e ŋ a
tengga	t e ŋ ɡ a
tenidor	t e n i d o ɾ
tenis	t e n i s
tenkyu	t e ŋ k j u
tenor	t e n o ɾ
tenoryo	t e n o ɾ j o
tensiyon	t e n s i o n
tensiyonado	t e n s i o n a d o
tensyon	t e n s j o n
tensyonado	t e n s j o n a d o
tenyente	t e n j e n t e
teodisea	t e o d i s e a
teodisiya	t e o d i s i a
teokrasya	t e o k ɾ a s j a
teologo	t e o l o ɡ o
teolohia	t e o l o h i a
teolohiya	t e o l o h i a
teoriya	t e o ɾ i a
teorya	t e o ɾ j a
tepok	t e p o k
terakota	t e ɾ a k o t a
terasa	t e ɾ a s a
terestriyal	t e ɾ e s t ɾ i a l
terible	t e ɾ i b l e
teritoryo	t e ɾ i t o ɾ j o
terminal	t e ɾ m i n a l
termino	t e ɾ m i n o
termometro	t e ɾ m o m e t ɾ o
termos	t e ɾ m o s
ternate	t e ɾ n a t e
terno	t e ɾ n o
terorismo	t e ɾ o ɾ i s m o
terorista	t e ɾ o ɾ i s t a
tersera	t e ɾ s e ɾ a
tersiyaryo	t e ɾ s i a ɾ j o
tersiyopelo	t e ɾ s i o p e l o
tesauro	t e s a w ɾ o
tesawro	t e s a w ɾ o
tesbuk	t e s b u k
tesis	t e s i s
tesoreriya	t e s o ɾ e ɾ i a
tesorero	t e s o ɾ e ɾ o
testamento	t e s t a m e n t o
testigo	t e s t i ɡ o
testimonya	t e s t i m o n j a
testimonyo	t e s t i m o n j o
testing	t e s t i ŋ
testo	t e s t o
testura	t e s t u ɾ a
tetano	t e t a n o
tewanak	t e w a n a k
teybol	t e j b o l
teyms	t e j m s
teyp	t e j p
teyping	t e j p i ŋ
ti	t i
tiad	t i ʔ a d
tiangge	t i a ŋ ɡ e ʔ
tiba	t i b a
tiba	t i b a ʔ
tibadbad	t i b a d b a d
tibag	t i b a ɡ
tibagan	t i b a ɡ a n
tibak	t i b a k
tibalbal	t i b a l b a l
tibalsik	t i b a l s i k
tibalyaw	t i b a l j a w
tibatib	t i b a t i b
tibaw	t i b a w
tibay	t i b a j
tibi	t i b i
tibig	t i b i ɡ
tibo	t i b o ʔ
tibok	t i b o k
tibong	t i b o ŋ
tiboom	t i b u m
tibs	t i b s
tibtib	t i b t i b
tibubos	t i b u b o s
tibuyo	t i b u j o ʔ
tifon	t i f o n
tifon	t i p o n
tigad	t i ɡ a d
tigal	t i ɡ a l
tigam	t i ɡ a m
tigang	t i ɡ a ŋ
tigas	t i ɡ a s
tigasaan	t i ɡ a s a ʔ a n
tigasan	t i ɡ a s a n
tigasin	t i ɡ a s i n
tigbi	t i ɡ b i
tigbuhol	t i ɡ b u h o l
tigdas	t i ɡ d a s
tighaba	t i ɡ h a b a ʔ
tighabol	t i ɡ h a b o l
tighoy	t i ɡ h o j
tigib	t i ɡ i b
tigidig	t i ɡ i d i ɡ
tigil	t i ɡ i l
tigilan	t i ɡ i l a n
tigis	t i ɡ i s
tigiti	t i ɡ i t i
tigkal	t i ɡ k a l
tigmak	t i ɡ m a k
tigmamanok	t i ɡ m a m a n o k
tigmata	t i ɡ m a t a
tignan	t i ɡ n a n
tignas	t i ɡ n a s
tigok	t i ɡ o k
tigpas	t i ɡ p a s
tigpo	t i ɡ p o ʔ
tigre	t i ɡ ɾ e
tigyawat	t i ɡ j a w a t
tiham	t i h a m
tihaya	t i h a j a ʔ
tiheras	t i h e ɾ a s
