á	aː
skrze	s k r̩ z e
skuhroš	s k u ɦ r ɔ ʃ
Škulavík	ʃ k u l a v iː k
Škultéty	ʃ k u l t eː t i
Škumát	ʃ k u m aː t
škumpa	ʃ k u m p a
škuner	ʃ k u ɲ e r
skupáň	s k u p aː ɲ
Skurčák	s k u r t͡ʃ aː k
skúsenejší	s k uː s e ɲ e j ʃ iː
skúsený	s k uː s e n iː
Škuta	ʃ k u t a
skutočnosť	s k u t ɔ t͡ʃ n ɔ s c
Škvarenina	ʃ k v a r e ɲ i n a
Škvor	ʃ k v ɔ r
škvŕn	ʃ k v r̩ː n
škvrna	ʃ k v r̩ n a
škvrnový	ʃ k v r̩ n ɔ v iː
Skyba	s k i b a
šla	ʃ l a
slabá	s l a b aː
slabičný	s l a b i t͡ʃ n iː
slabika	s l a b i k a
slabina	s l a b i n a
slabosť	s l a b ɔ s c
slabý	s l a b iː
šľacha	ʃ ʎ a x a
šľachetný	ʃ ʎ a x e t n iː
šľachtic	ʃ ʎ a x c i t͡s
šľachtičná	ʃ ʎ a x c i t͡ʃ n aː
sláčik	s ɫ aː t͡ʃ i k
slad	s l a t
Sládek	s l aː d e k
sladký	s l a t k iː
sladovka	s l a d ɔ v k a
Sladovník	s l a d ɔ v ɲ iː k
Slafkovský	s l a f k ɔ v s k iː
šláger	ʃ l aː ɡ e r
šľahúň	ʃ ʎ a ɦ uː ɲ
slák	s l aː k
slama	s l a m a
Slančo	s l a n t͡ʃ ɔ
Slanička	s l a ɲ i t͡ʃ k a
slanina	s l a ɲ i n a
slaný	s l a n iː
Šlapka	ʃ l a p k a
slasť	s l a s c
Slašťan	s l a ʃ c a n
sláv	s l aː v
sláva	s l aː v a
Sláva	s ɫ aː v a
slávach	s l aː v a x
slávam	s l aː v a m
slávami	s l aː v a m i
sláve	s l aː v e
sláviček	s l aː v i t͡ʃ e k
slávičí	s l aː v i t͡ʃ iː
Slavík	s l a v iː k
slávik	s l aː v i k
Slávik	s l aː v i k
Slávka	s ɫ aː u̯ k a
Slavkovský	s l a v k ɔ v s k iː
Slavomír	s l a v ɔ m iː r
Slavomíra	s ɫ a v ɔ m iː r a
Slavónsko	s ɫ a v ɔː n s k ɔ
slávou	s l aː v ɔ v
slávu	s l aː v u
slávy	s l aː v i
slepo	s ʎ e p ɔ
slepý	s ʎ e p iː
slez	s ʎ e s
Slezák	s ʎ e z aː k
slezina	s ʎ e z i n a
slezový	s ʎ e z ɔ v iː
šli	ʃ ʎ i
šliapadlo	ʃ ʎ ɪ̯ a p a d l ɔ
šliapadlový	ʃ ʎ ɪ̯ a p a d l ɔ v iː
sliedič	s ʎ ɪ̯ e ɟ i t͡ʃ
sliepka	s ʎ ɪ̯ e p k a
sliepočka	s l i̯ ɛ p ɔ t͡ʃ k a
Sliezsko	s l i̯ ɛ s s k ɔ
sliezština	s ʎ ɪ̯ e ʃ c i n a
slimák	s ʎ i m aː k
Slimák	s ʎ i m aː k
slina	s ʎ i n a
Sliško	s ʎ i ʃ k ɔ
Sliva	s ʎ i v a
slivka	s ʎ i v k a
Slivka	s l i u̯ k a
Slivko	s ʎ i v k ɔ
slivovica	s ʎ i v ɔ v i t͡s a
sliz	s ʎ i s
slíž	s ʎ iː ʃ
sliziak	s ʎ i z ɪ̯ a k
sliznica	s ʎ i z ɲ i t͡s a
sĺnc	s l̩ː n t͡s
slnce	s ɫ̩ n t͡s ɛ
slncový	s l̩ n t͡s ɔ v iː
slnečný	s ɫ̩ ɲ ɛ t͡ʃ n iː
slniečko	s ɫ̩ ɲ i̯ ɛ t͡ʃ k ɔ
sĺnk	s l̩ː n k
slnko	s ɫ̩ ŋ k ɔ
slnovrat	s l̩ n ɔ v r a t
šlo	ʃ l ɔ
slobôd	s l ɔ b u̯ ɔ t
sloboda	s l ɔ b ɔ d a
Sloboda	s l ɔ b ɔ d a
Slobodník	s l ɔ b ɔ d ɲ iː k
slobodný	s l ɔ b ɔ d n iː
slobodomurárstvo	s l ɔ b ɔ d ɔ m u r aː r s t v ɔ
sloj	s l ɔ j
sloja	s l ɔ j a
sloje	s l ɔ j e
sloji	s l ɔ j i
slojmi	s l ɔ j m i
slojoch	s l ɔ j ɔ x
slojom	s l ɔ j ɔ m
slojov	s l ɔ j ɔ v
slojový	s l ɔ j ɔ v iː
sloju	s l ɔ j u
slon	s l ɔ n
slonej	s l ɔ ɲ e j
sloní	s ɫ ɔ ɲ iː
slonia	s l ɔ ɲ ɪ̯ a
slonica	s l ɔ ɲ i t͡s a
slonie	s l ɔ ɲ ɪ̯ e
sloník	s l ɔ ɲ iː k
sloníka	s l ɔ ɲ iː k a
sloníkmi	s l ɔ ɲ iː k m i
sloníkoch	s l ɔ ɲ iː k ɔ x
sloníkom	s l ɔ ɲ iː k ɔ m
sloníkov	s l ɔ ɲ iː k ɔ v
sloníkovi	s l ɔ ɲ iː k ɔ v i
sloníky	s l ɔ ɲ iː k i
sloniu	s l ɔ ɲ ɪ̯ u
slonovina	s l ɔ n ɔ v i n a
slonovine	s l ɔ n ɔ v i ɲ e
slonovinový	s l ɔ n ɔ v i n ɔ v iː
slonovinu	s l ɔ n ɔ v i n u
slonoviny	s l ɔ n ɔ v i n i
Slosiar	s l ɔ s ɪ̯ a r
slota	s l ɔ t a
Slota	s l ɔ t a
Slováček	s l ɔ v aː t͡ʃ e k
Slováci	s ɫ ɔ v aː t͡s i
Slovák	s l ɔ v aː k
Slováková	s l ɔ v aː k ɔ v aː
Slovan	s l ɔ v a n
Slovania	s l ɔ v a ɲ ɪ̯ a
slovanský	s l ɔ v a n s k iː
slovenčina	s l ɔ v e n t͡ʃ i n a
slovenčine	s l ɔ v e n t͡ʃ i ɲ e
slovenčinou	s l ɔ v e n t͡ʃ i n ɔ v
slovenčinu	s l ɔ v e n t͡ʃ i n u
slovenčiny	s l ɔ v e n t͡ʃ i n i
Slovenka	s l ɔ v e n k a
Slovenska	s l ɔ v e n s k a
slovenskí	s l ɔ v e n s k iː
Slovensko	s l ɔ v e n s k ɔ
Slovenskonovovešťan	s l ɔ v e n s k ɔ n ɔ v ɔ v e ʃ c a n
Slovenskonovovešťanka	s l ɔ v e n s k ɔ n ɔ v ɔ v e ʃ c a n k a
slovensky	s ɫ ɔ v ɛ n s k i
slovenský	s l ɔ v e n s k iː
slovesá	s l ɔ v e s aː
slovesný	s l ɔ v e s n iː
sloveso	s l ɔ v e s ɔ
slovies	s l ɔ v ɪ̯ e s
Slovík	s l ɔ v iː k
slovinčina	s l ɔ v i n t͡ʃ i n a
slovinčine	s l ɔ v i n t͡ʃ i ɲ e
slovinčinou	s l ɔ v i n t͡ʃ i n ɔ v
slovinčinu	s l ɔ v i n t͡ʃ i n u
Slovinec	s ɫ ɔ v i ɲ ɛ t͡s
Slovinka	s l ɔ v i n k a
Slovinsko	s l ɔ v i n s k ɔ
slovinský	s ɫ ɔ v i n s k iː
slovník	s l ɔ v ɲ iː k
slovníka	s ɫ o ʋ ɲ iː k a
slovníkmi	s ɫ o ʋ ɲ iː k m i
slovníkoch	s ɫ o ʋ ɲ iː k o x
slovníkom	s ɫ o ʋ ɲ iː k o m
slovníkov	s ɫ o ʋ ɲ iː k o u̯
slovníkový	s l ɔ v ɲ iː k ɔ v iː
slovníku	s ɫ o ʋ ɲ iː k u
slovníky	s ɫ o ʋ ɲ iː k i
slovo	s ɫ ɔ v ɔ
sľub	s ʎ u p
sľúbiť	s ʎ uː b i c
sľubový	s ʎ u b ɔ v iː
sluch	s l u x
Šľuch	ʃ ʎ u x
sluchom	s l u x ɔ m
sľuda	s ʎ u d a
sluha	s l u ɦ a
sluhovský	s l u ɦ ɔ v s k iː
Sluka	s l u k a
Slúka	s l uː k a
Sľúka	s ʎ uː k a
služba	s l u ʒ b a
sĺz	s l̩ː s
slza	s l̩ z a
slzička	s ɫ̩ z i t͡ʃ k a
smäd	s m ɛ t
smäd	s m æ t
smädiť	s m æ ɟ i c
smädnejší	s m æ d ɲ e j ʃ iː
smädný	s m e d n iː
smädný	s m æ d n iː
Smädo	s m æ d ɔ
Smaho	s m a ɦ ɔ
Smatana	s m a t a n a
Šmatlák	ʃ m a t l aː k
šmatlavejší	ʃ m a t l a v e j ʃ iː
šmatlavý	ʃ m a t l a v iː
smažiť	s m a ʒ i c
sme	z m e
smeč	s m e t͡ʃ
smečový	s m e t͡ʃ ɔ v iː
Šmelko	ʃ m e l k ɔ
smelosť	s m e l ɔ s c
smelý	s m e l iː
smer	s m e r
smere	s m e r e
smermi	s m e r m i
smeroch	s m e r ɔ x
smerom	s m e r ɔ m
smerov	s m e r ɔ v
smeroval	s m e r ɔ v a l
smerovala	s m e r ɔ v a l a
smerovali	s m e r ɔ v a ʎ i
smerovalo	s m e r ɔ v a l ɔ
smerovanie	s m e r ɔ v a ɲ ɪ̯ e
smerovaný	s m e r ɔ v a n iː
smerovať	s m e r ɔ v a c
smerový	s m e r ɔ v iː
smeru	s m e r u
smeruj	s m e r u j
smeruje	s m e r u j e
smerujem	s m e r u j e m
smerujeme	s m e r u j e m e
smeruješ	s m e r u j e ʃ
smerujete	s m e r u j e c e
smerujme	s m e r u j m e
smerujte	s m e r u j c e
smerujú	s m e r u j uː
smerujúc	s m e r u j uː t͡s
smerujúci	s m e r u j uː t͡s i
smery	s m e r i
smeť	s m e c
smetiar	s m e c ɪ̯ a r
smetiarka	s m e c ɪ̯ a r k a
smetný	s m e t n iː
smiať	s m ɪ̯ a c
Šmicer	ʃ m i t͡s e r
Šmíd	ʃ m iː t
smiech	s m ɪ̯ e x
Smieška	s m ɪ̯ e ʃ k a
smieť	s m ɪ̯ e c
smietka	s m ɪ̯ e t k a
Smik	s m i k
smilniť	s m i l ɲ i c
šmirgeľ	ʃ m i r ɡ e ʎ
Šmíro	ʃ m iː r ɔ
Smolák	s m ɔ l aː k
Smoľak	s m ɔ ʎ a k
Smolka	s m ɔ l k a
smotana	s m ɔ t a n a
smrek	s m r e k
smrekovec	s m r e k ɔ v e t͡s
šmrnc	ʃ m r̩ n t͡s
smršť	s m r̩ ʃ c
smrť	s m r̩ c
smrti	s m r̩ c i
smrtonosný	s m r̩ t ɔ n ɔ s n iː
Smrž	s m r̩ ʃ
šmuha	ʃ m u ɦ a
smutnejší	s m u t ɲ e j ʃ iː
smutný	s m u t n iː
Smutný	s m u t n iː
smútok	s m uː t ɔ k
šmúžka	ʃ m uː ʃ k a
Smyk	s m i k
snáď	s n aː c
Snak	s n a k
sneh	s ɲ e x
snehom	s ɲ e ɦ ɔ m
snehový	s ɲ e ɦ ɔ v iː
snehu	s ɲ e ɦ u
snehuliačik	s ɲ e ɦ u ʎ ɪ̯ a t͡ʃ i k
snehuliačika	s ɲ e ɦ u ʎ ɪ̯ a t͡ʃ i k a
snehuliak	s ɲ e ɦ u ʎ ɪ̯ a k
šnek	ʃ n e k
šnekový	ʃ ɲ e k ɔ v iː
sneží	s ɲ e ʒ iː
snežiť	s ɲ e ʒ i c
Sninský	s ɲ i n s k iː
snob	s n ɔ p
snúbenica	s n uː b e ɲ i t͡s a
šnuptichel	ʃ n u p t i x e l
so	z o
so	s o
sob	s ɔ p
sobáš	s ɔ b aː ʃ
Sobek	s ɔ b e k
sobí	s ɔ b iː
sobia	s ɔ b ɪ̯ a
sobie	s ɔ b ɪ̯ e
sobmi	s ɔ b m i
soboch	s ɔ b ɔ x
soboľ	s ɔ b ɔ ʎ
sobolí	s ɔ b ɔ ʎ iː
sobom	s ɔ b ɔ m
sobota	s ɔ b ɔ t a
Sobotka	s ɔ b ɔ t k a
sobotňajší	s ɔ b ɔ t ɲ a j ʃ iː
sobotný	s ɔ b ɔ t n iː
sobov	s ɔ b ɔ v
sôch	s u̯ ɔ x
socha	s ɔ x a
Socha	s ɔ x a
sochárstvo	s ɔ x aː r s t v ɔ
soche	s ɔ x e
sochor	s ɔ x ɔ r
socialistický	s ɔ t͡s i a l i s t i t͡s k iː
socializmu	s ɔ t͡s i a l i z m u
socializmus	s ɔ t͡s i a l i z m u s
sociálny	s ɔ t͡s i aː ɫ n i
sociolingvistika	s ɔ t͡s i ɔ l i n ɡ v i s t i k a
sociológ	s ɔ t͡s i ɔ l ɔː k
sociológia	s ɔ t͡s i ɔ l ɔː ɡ i a
sociologička	s ɔ t͡s i ɔ l ɔ ɡ i t͡ʃ k a
sodík	s ɔ ɟ iː k
sodný	s ɔ d n iː
šofér	ʃ ɔ f eː r
šoférka	ʃ ɔ f eː r k a
šoférovať	ʃ ɔ f eː r ɔ v a c
šoférsky	ʃ ɔ f eː r s k i
Sofia	s ɔ f i a
Sofoniáš	s ɔ f ɔ n i aː ʃ
softvér	s ɔ f t v ɛː r
šógun	ʃ ɔː ɡ u n
sojka	s ɔ j k a
šok	ʃ ɔ k
sokol	s ɔ k ɔ l
Sokol	s ɔ k ɔ l
sokolí	s ɔ k ɔ ʎ iː
sokolica	s ɔ k ɔ ʎ i t͡s a
sokorca	s ɔ k ɔ r t͡s a
sokorec	s ɔ k ɔ r e t͡s
Sokrates	s ɔ k r a t ɛ s
soľ	s ɔ ʎ
Solár	s ɔ l aː r
soli	s ɔ ʎ i
solička	s ɔ ʎ i t͡ʃ k a
solidárnosť	s ɔ ʎ i d aː r n ɔ s c
sólista	s ɔː l i s t a
sólistický	s ɔː ʎ i s c i t͡s k iː
sólistka	s ɔː ʎ i s t k a
soľnička	s ɔ ʎ ɲ i t͡ʃ k a
soľný	s ɔ ʎ n iː
soľou	s ɔ ʎ ɔ v
Šoltés	ʃ ɔ l t eː s
Šoltis	ʃ ɔ l c i s
Šoltýs	ʃ ɔ l t iː s
Šoltýska	ʃ ɔ l t iː s k a
Solúnčanom	s ɔ l uː n t͡ʃ a n ɔ m
som	s ɔ m
Somálsko	s ɔ m aː l s k ɔ
somár	s ɔ m aː r
somarina	s ɔ m a r i n a
sombrero	s ɔ m b r e r ɔ
Šompľak	ʃ ɔ m p ʎ a k
Soňa	s ɔ ɲ a
sonet	s ɔ n e t
sopeľ	s ɔ p e ʎ
sopka	s ɔ p k a
Sopko	s ɔ p k ɔ
sople	s ɔ p ʎ e
Šopron	ʃ ɔ p r ɔ n
sorabistika	s ɔ r a b i s t i k a
sorabistike	s ɔ r a b i s c i k e
sorabistikou	s ɔ r a b i s c i k ɔ v
sorabistiku	s ɔ r a b i s c i k u
sorabistiky	s ɔ r a b i s c i k i
šos	ʃ ɔ s
šošovica	ʃ ɔ ʃ ɔ v i t͡s a
Šošovica	ʃ ɔ ʃ ɔ v i t͡s a
šošovka	ʃ ɔ ʃ ɔ u̯ k a
Šosták	ʃ ɔ s t aː k
šot	ʃ ɔ t
Soták	s ɔ t aː k
Šotek	ʃ ɔ c e k
sotiť	s ɔ c i c
šou	ʃ ɔ w
Šouc	ʃ ɔ u t͡s
Soukup	s ɔ u k u p
Soul	s ɔ u l
sova	s ɔ v a
Sova	s ɔ v a
sôvä	s u̯ ɔ v ɛ
sôvä	s u̯ ɔ v æ
sôvät	s u̯ ɔ v æ t
sove	s ɔ v e
soví	s ɔ v iː
sovia	s ɔ v ɪ̯ a
sovie	s ɔ v ɪ̯ e
sovietsky	s ɔ v i̯ ɛ t s k i
špachtľa	ʃ p a x t ʎ a
špageta	ʃ p a ɡ ɛ t a
špagety	ʃ p a ɡ ɛ t i
spájkovačka	s p aː j k ɔ v a t͡ʃ k a
spajvér	s p a j v eː r
špajza	ʃ p a j z a
spálenisko	s p aː ʎ e ɲ i s k ɔ
spálňa	s p aː l ɲ a
Španiel	ʃ p a ɲ ɪ̯ e l
španielčina	ʃ p a ɲ ɪ̯ e l t͡ʃ i n a
Španielsko	ʃ p a ɲ ɪ̯ e l s k ɔ
Španko	ʃ p a n k ɔ
špargľa	ʃ p a r ɡ ʎ a
spať	s p a c
späť	s p æ c
spech	s p e x
spektrum	s p e k t r u m
špekulácia	ʃ p e k u ɫ aː t͡s i a
speleológia	s p e l e ɔ l ɔː ɡ i a
speleonymum	s p e ʎ e ɔ n i m u m
špenát	ʃ p ɛ n aː t
spermia	s p e r m i a
spermobanka	s p e r m ɔ b a n k a
spiac	s p ɪ̯ a t͡s
Špicbergoch	ʃ p i d͡z b e r ɡ ɔ x
Špicbergy	ʃ p i t͡s b ɛ r ɡ i
špičiak	ʃ p i t͡ʃ ɪ̯ a k
špička	ʃ p i t͡ʃ k a
spieva	s p ɪ̯ e v a
spievaj	s p ɪ̯ e v a j
spievajme	s p ɪ̯ e v a j m e
spievajte	s p ɪ̯ e v a j c e
spievajú	s p ɪ̯ e v a j uː
spievajúci	s p ɪ̯ e v a j uː t͡s i
spieval	s p ɪ̯ e v a l
spievam	s p ɪ̯ e v a m
spievame	s p ɪ̯ e v a m e
spievanie	s p ɪ̯ e v a ɲ ɪ̯ e
spievaš	s p ɪ̯ e v a ʃ
spievať	s p ɪ̯ e v a c
spievate	s p ɪ̯ e v a c e
Špigút	ʃ p i ɡ uː t
Špiner	ʃ p i ɲ e r
špinka	ʃ p i n k a
Spišák	s p i ʃ aː k
spisovateľ	s p i s ɔ v a c e ʎ
spisovateľka	s p i s ɔ v a c e ʎ k a
spisovateľstvo	s p i s ɔ v a c e ʎ s t v ɔ
Spišskonovovešťan	s p i ʃ s k ɔ n ɔ v ɔ v e ʃ c a n
Spišskonovovešťanka	s p i ʃ s k ɔ n ɔ v ɔ v e ʃ c a n k a
Špitalik	ʃ p i t a ʎ i k
šplh	ʃ p l̩ x
spln	s p ɫ̩ n
splň	s p l̩ ɲ
splniť	s p l̩ ɲ i c
spojka	s p ɔ j k a
spojler	s p ɔ j l e r
spolieha	s p ɔ ʎ ɪ̯ e ɦ a
spoliehať	s p ɔ ʎ ɪ̯ e ɦ a c
spoločenstiev	s p ɔ l ɔ t͡ʃ e n s c ɪ̯ e v
spoločenstvo	s p ɔ l ɔ t͡ʃ e n s t v ɔ
spoločnosť	s p ɔ l ɔ t͡ʃ n ɔ s c
spoluhláska	s p ɔ l u ɦ l aː s k a
spolupáchateľ	s p ɔ l u p aː x a c e ʎ
spolupáchateliek	s p ɔ l u p aː x a c e ʎ ɪ̯ e k
spolupáchateľka	s p ɔ l u p aː x a c e ʎ k a
spolužiačka	s p ɔ l u ʒ ɪ̯ a t͡ʃ k a
spolužiak	s p ɔ l u ʒ ɪ̯ a k
spomienka	s p ɔ m ɪ̯ e n k a
spontánnosť	s p ɔ n t aː nː ɔ s c
spor	s p ɔ r
špor	ʃ p ɔ r
sporí	s p ɔ r iː
spôsob	s p u̯ ɔ s ɔ p
spot	s p ɔ t
spotrebiteľ	s p ɔ t r e b i c e ʎ
spotrebiteľka	s p ɔ t r e b i c e ʎ k a
spotrebiteľský	s p ɔ t r e b i c e ʎ s k iː
sprašový	s p r a ʃ ɔ v iː
správa	s p r aː v a
správanie	s p r aː v a ɲ ɪ̯ e
správať	s p r aː v a c
správca	s p r aː v t͡s a
spravíš	s p r a v iː ʃ
spraviť	s p r a v i c
správkyňa	s p r aː v k i ɲ a
spravodlivosť	s p r a v ɔ d ʎ i v ɔ s c
spŕch	s p r̩ː x
sprcha	s p r̩ x a
sprchový	s p r̩ x ɔ v iː
spriažka	s p r ɪ̯ a ʃ k a
sprostý	s p r ɔ s t iː
spŕška	s p r̩ː ʃ k a
spŕšky	s p r̩ː ʃ k i
spŕšok	s p r̩ː ʃ ɔ k
šprt	ʃ p r̩ t
spúšť	s p uː ʃ c
spyware	s p a j v eː r
squash	s k v ɔ ʃ
sračka	s r a t͡ʃ k a
sranie	s r a ɲ ɪ̯ e
srať	s r a c
Srb	s r̩ p
srbčina	s r̩ p t͡ʃ i n a
srbochorvátčina	s r̩ b ɔ x ɔ r v aː t͡ʃː i n a
Srbsko	s r̩ p s k ɔ
srbský	s r̩ p s k iː
sŕdc	s r̩ː t͡s
srdca	s r̩ t͡s a
srdcami	s r̩ t͡sː a m i
srdce	s r̩ t͡sː e
srdcia	s r̩ t͡s i̯ a
srdciach	s r̩ t͡s i̯ a x
srdciam	s r̩ t͡s i̯ a m
srdciami	s r̩ t͡s i̯ a m i
srdciar	s r̩ t͡sː ɪ̯ a r
srdcom	s r̩ t͡s ɔ m
srdcovnica	s r̩ t͡sː ɔ v ɲ i t͡s a
srdcu	s r̩ t͡s u
srdiečko	s r̩ ɟ i̯ ɛ t͡ʃ k ɔ
srdiečkovať	s r̩ ɟ ɪ̯ e t͡ʃ k ɔ v a c
sŕn	s r̩ː n
srna	s r̩ n a
sŕňa	s r̩ː ɲ a
sŕňatko	s r̩ː ɲ a t k ɔ
srne	s r̩ ɲ e
srnu	s r̩ n u
Sršeň	s r̩ ʃ e ɲ
srsť	s r̩ s c
srvátka	s r̩ v aː t k a
štáb	ʃ t aː p
Stach	s t a x
Stacho	s t a x ɔ
Stachovič	s t a x ɔ v i t͡ʃ
Stachura	s t a x u r a
stádo	s t aː d ɔ
Stahoň	s t a ɦ ɔ ɲ
stajňa	s t a j ɲ a
stajnička	s t a j ɲ i t͡ʃ k a
stajňový	s t a j ɲ ɔ v iː
stalaktit	s t a l a k t i t
stále	s t aː ʎ e
štamperlík	ʃ t a m p e r ʎ iː k
stan	s t a n
Staňák	s t a ɲ aː k
Stanislav	s t a ɲ i s ɫ a u̯
Stanislava	s t a ɲ i s ɫ a v a
Stanko	s t a n k ɔ
Stano	s t a n ɔ
Staraba	s t a r a b a
starček	s t a r t͡ʃ e k
staré	s t a r eː
Staré	s t a r eː
starec	s t a r e t͡s
starena	s t a r e n a
starenka	s t a r e n k a
stárež	s t aː r e ʃ
starká	s t a r k aː
starký	s t a r k iː
starogréčtina	s t a r ɔ ɡ r eː t͡ʃ c i n a
Staroň	s t a r ɔ ɲ
starostlivosť	s t a r ɔ s t l i v ɔ s c
starovek	s t a r ɔ v e k
starší	s t a r ʃ iː
štart	ʃ t a r t
štartový	ʃ t a r t ɔ v iː
starý	s t a r iː
Starý	s t a r iː
Staško	s t a ʃ k ɔ
šťastena	ʃ c a s c e n a
šťastia	ʃ c a s c ɪ̯ a
šťastie	ʃ c a s c ɪ̯ e
šťastný	ʃ c a s t n iː
Šťastný	ʃ c a s t n iː
stať	s t a c
stáť	s t aː c
štát	ʃ t aː t
šťať	ʃ c a c
štatárium	ʃ t a t aː r i u m
štátny	ʃ t aː t n i
statok	s t a t ɔ k
stav	s t a v
šťav	ʃ c a v
staval	s t a v a l
stavala	s t a v a l a
stavať	s t a v a c
stávať	s t aː v a c
stavba	s t a v b a
stavec	s t a v e t͡s
šťaveľ	ʃ c a v e ʎ
stavia	s t a v ɪ̯ a
staviaš	s t a v ɪ̯ a ʃ
staviť	s t a v i c
stávka	s t aː v k a
stavovec	s t a v ɔ v e t͡s
sťažeň	s c a ʒ e ɲ
sťažňa	s c a ʒ ɲ a
sťažňami	s c a ʒ ɲ a m i
sťažni	s c a ʒ ɲ i
sťažňový	s c a ʒ ɲ ɔ v iː
ste	s c ɛ
stebiel	s c e b ɪ̯ e l
stebla	s c e b l a
steblá	s c e b l aː
steblo	s c e b l ɔ
steblom	s c e b l ɔ m
steblu	s c e b l u
Štech	ʃ c e x
štedrejší	ʃ c e d r e j ʃ iː
štedrosť	ʃ c e d r ɔ s c
štedrý	ʃ c e d r iː
Štefan	ʃ c ɛ f a n
Štefanco	ʃ c e f a n t͡s ɔ
Štefanec	ʃ c e f a ɲ e t͡s
Štefanek	ʃ c e f a ɲ e k
Štefánia	ʃ c ɛ f aː n i a
Štefanides	ʃ t e f a n i d e s
Štefanidesová	ʃ c e f a ɲ i ɟ e s ɔ v aː
Štefanovič	ʃ c e f a n ɔ v i t͡ʃ
Šteflovič	ʃ c e v l ɔ v i t͡ʃ
Štefula	ʃ c e f u l a
steh	s c e x
stehličí	s c e ɦ ʎ i t͡ʃ iː
stehlík	s c e ɦ ʎ iː k
stehu	s c e ɦ u
Stejskal	s c e j s k a l
štekať	ʃ c e k a c
Stel	s t e l
Stela	s t ɛ ɫ a
Štempel	ʃ c e m p e l
stena	s c e n a
stenám	s c e n aː m
Stenchlák	s c e n x l aː k
štetca	ʃ c e t͡sː a
štetcami	ʃ c e t͡sː a m i
štetce	ʃ c e t͡sː e
štetci	ʃ c e t͡sː i
štetcoch	ʃ c e t͡sː ɔ x
štetcom	ʃ c e t͡sː ɔ m
štetcov	ʃ c e t͡sː ɔ v
štetcový	ʃ c e t͡sː ɔ v iː
štetcu	ʃ c e t͡sː u
štetec	ʃ c e c e t͡s
Štetín	ʃ c e c iː n
štetka	ʃ c e t k a
Števčať	ʃ c e v t͡ʃ a c
Števček	ʃ c e v t͡ʃ e k
štiav	ʃ c ɪ̯ a v
štiavec	ʃ c ɪ̯ a v e t͡s
štiavička	ʃ c ɪ̯ a v i t͡ʃ k a
Štich	ʃ c i x
stierka	s c ɪ̯ e r k a
Štígel	ʃ c iː ɡ e l
Štiglinc	ʃ c i ɡ ʎ i n t͡s
štikútať	ʃ c i k uː t a c
štikútka	ʃ c i k uː t k a
štiny	ʃ c i n i
stípliar	s t iː p ʎ ɪ̯ a r
stípliarka	s c iː p ʎ ɪ̯ a r k a
štít	ʃ c iː t
stlč	s t l̩ t͡ʃ
stĺcť	s t l̩ː t͡s c
stĺp	s t l̩ː p
stĺpa	s t l̩ː p a
stĺpe	s t l̩ː p e
stĺpica	s t l̩ː p i t͡s a
stĺpik	s t l̩ː p i k
stĺpmi	s t l̩ː p m i
stĺpový	s t l̩ː p ɔ v iː
stĺpu	s t l̩ː p u
sto	s t ɔ
stodola	s t ɔ d ɔ l a
Štofko	ʃ t ɔ f k ɔ
stoici	s t ɔ i t͡s i
stoika	s t ɔ i k a
stoj	s t ɔ j
Stoják	s t ɔ j aː k
stojan	s t ɔ j a n
stojisko	s t ɔ j i s k ɔ
Stojka	s t ɔ j k a
stojka	s t ɔ j k a
stôk	s t u̯ ɔ k
stoka	s t ɔ k a
stokách	s t ɔ k aː x
stokami	s t ɔ k a m i
stokár	s t ɔ k aː r
stokári	s t ɔ k aː r i
stokárka	s t ɔ k aː r k a
stoke	s t ɔ k e
Štokholm	ʃ t ɔ ɡ ɦ ɔ l m
Štokholme	ʃ t ɔ ɡ ɦ ɔ l m e
Štokholmu	ʃ t ɔ ɡ ɦ ɔ l m u
stokou	s t ɔ k ɔ v
stoku	s t ɔ k u
stoky	s t ɔ k i
stôl	s t u̯ ɔ ɫ
stola	s t ɔ l a
štóla	ʃ t ɔː l a
Stolár	s t ɔ l aː r
stolica	s t ɔ ʎ i t͡s a
stolička	s t ɔ ʎ i t͡ʃ k a
stoličkový	s t ɔ ʎ i t͡ʃ k ɔ v iː
stolík	s t ɔ ʎ iː k
stolný	s t ɔ l n iː
stolový	s t ɔ l ɔ v iː
stonka	s t ɔ n k a
stonke	s t ɔ n k e
štopeľ	ʃ t ɔ p e ʎ
stopka	s t ɔ p k a
storočia	s t ɔ r ɔ t͡ʃ ɪ̯ a
storočie	s t ɔ r ɔ t͡ʃ ɪ̯ e
storočnica	s t ɔ r ɔ t͡ʃ ɲ i t͡s a
story	s t ɔ r i
stôs	s t u̯ ɔ s
štós	ʃ t ɔː s
štôs	ʃ t u̯ ɔ s
stotisíci	s t ɔ c i s iː t͡s i
stotisícina	s t ɔ c i s iː t͡s i n a
strach	s t r a x
strachmi	s t r a x m i
strachoch	s t r a x o x
strachom	s t r a x o m
strachov	s t r a x o u̯
strachu	s t r a x u
strachy	s t r a x i
Stračina	s t r a t͡ʃ i n a
štrajk	ʃ t r a j k
štrajkovať	ʃ t r a j k ɔ v a c
strák	s t r aː k
straka	s t r a k a
Straka	s t r a k a
strakatý	s t r a k a t iː
Strákoš	s t r aː k ɔ ʃ
strán	s t r aː n
strana	s t r a n a
stranách	s t r a n aː x
Straňák	s t r a ɲ aː k
stranám	s t r a n aː m
stranami	s t r a n a m i
stranu	s t r a n u
strany	s t r a n i
