Амыщ	aː m ə ɕ
шъэо	ʂ a w a
шъэогъу	ʂ a w a ʁʷ
шъэожъые	ʂ a w a ʐ ə j a
шъэфы	ʂ a f ə
шы	ʃ ə
шыбгъэ	ʃ ə b ʁ a
шыбзы	ʃ ə b z ə
шыблэ	ʃ ə b l a
шыгу	ʃ ə ɡʷ
шыгугъон	ʃ ə ɡʷ ʁʷ a n
шыгъо	ʃ ə ʁʷ a
шыдгъо	ʃ ə d ʁʷ a
шыдзыен	ʃ ə d͡ʒ ə j a n
шыдкъолэн	ʃ ə d qʷ a l a n
шыкъолэн	ʃ ə qʷ a l a n
шыкъу	ʃ ə qʷ
шыкӏадзэ	ʃ ə t͡ʃʼ aː d͡z a
шыкӏэ	ʃ ə t͡ʃ a
шыкӏэпшынэ	ʃ ə kʲ a p ʃ ə n a
шын	ʃ ə n
шынахьыжъ	ʃ ə n aː ħ ə ʐ
шынахьыкӏ	ʃ ə n aː ħ ə t͡ʃʼ
шыпхъу	ʃ ə p χʷ
шыпын	ʃ ə p ə n
шыр	ʃ ə r
шытепхъо	ʃ ə t a j p χʷ a
шыу	ʃ ə w
шыукӏытэн	ʃ ə w t͡ʃʼ ə t a n
шыукӏьытэн	ʃ ə w kʲʼ ə t a n
шыфэн	ʃ ə f a n
шыхъон	ʃ ə χʷ a n
шыхьат	ʃ ə ħ aː t
шышъхьэӏумаз	ʃ ə ʂ ħ a ʔʷ ə m aː z
шэ	ʃ a
шэдыгъо	ʃ a d ə ʁʷ a
шэзгъэ	ʃ a z ʁ a
шэкэр	ʃ a kʲ a r
шэкэрхафэ	ʃ a kʲ a r x aː f a
шэкэрыпс	ʃ a kʲ a r ə p s
шэкӏ	ʃ a t͡ʃʼ
шэкӏогъумаз	ʃ a kʷʼ a ʁʷ ə m aː z
шэкӏуахь	ʃ a kʷʼ aː ħ
шэмбэт	ʃ a m b a t
шэн	ʃ a n
шэнджэ	ʃ a n d͡ʒ a
шэнтэ	ʃ a n t a
шэнчъэ	ʃ a n t͡ʂ a
шэны	ʃ a n
шэнынчъ	ʃ a n t͡ʂ a
шэнынчъэ	ʃ a n t͡ʂ a
шэнычъэ	ʃ a n t͡ʂ a
шэплъы	ʃ a p ɬ ə
шэпсэун	ʃ a p s a w ə n
шэрсэн	ʃ a r s a n
шэфы	ʃ a f ə
шэчалъ	ʃ a t͡ʃ aː ɬ
шэшэн	ʃ a ʃ a n
шӏагъо	ʃʼ aː ʁʷ a
шӏобзы	ʃʷʼ a b z ə
шӏобзын	ʃʷʼ a b z ə n
шӏогъэшӏэгъонын	ʃʷʼ a ʁ a ʃʼ a ʁʷ a n
шӏои	ʃʷʼ a j ə
шӏоигъоджэн	ʃʷ a j ə ʁʷ a d͡ʒ a n
шӏоигъон	ʃʷ a j ə ʁʷ a n
шӏоигъуадж	ʃʷ a j ə ʁʷ aː d͡ʒ
шӏоилъ	ʃʷʼ a j ə ɬ
шӏойбэхь	ʃʷʼ a j b a ħ
шӏокӏон	ʃʷʼ a kʷʼ a n
шӏокӏын	ʃʷʼ a t͡ʃʼ ə n
шӏокӏьын	ʃʷʼ a kʲʼ ə n
шӏомыкӏы	ʃʷʼ a m ə t͡ʃʼ
шӏошъхъуныгъэ	ʃʷʼ a ʃʷʼ χʷ ə n ʁ a
шӏошъын	ʃʷ a ʂ ə n
шӏошӏ	ʃʷʼ a ʃʷ
шӏошӏун	ʃʷ a ʃʷ ə n
шӏошӏухъунгъэ	ʃʷʼ a ʃʷʼ χʷ ə n ʁ a
шӏошӏухъуныгъэ	ʃʷʼ a ʃʷʼ χʷ ə n ʁ a
шӏошӏын	ʃʷ a ʃʼ ə n
шӏоӏун	ʃʷʼ a ʔʷ ə n
шӏу	ʃʷʼ ə
шӏуабэ	ʃʷ ʔ aː b a
шӏуалъэ	ʃʷʼ aː ɬ a
шӏуанэ	ʃʷʼ aː n a
шӏугуащэ	ʂʷ ə ɡʷ aː ɕ a
шӏугъэ	ʃʷʼ ə ʁ a
шӏуежьэжьын	ʃʷʼ a j ʑ a ʑ ə n
шӏулъэгъун	ʃʷʼ ə ɬ a ʁʷ ə n
шӏункӏы	ʃʷʼ ə n t͡ʃ ə
шӏупщы	ʂʷ ə p ɕ ə
шӏусӏэ	ʃʷʼ ə sʼ a
шӏуфэс	ʃʷʼ ə f a s
шӏухъогъон	ʃʷʼ ə χʷ ə ʁʷ a n
шӏухьафтын	ʃʷʼ ə ħ aː f t ə n
шӏуцӏагъэ	ʃʷʼ t͡sʼ aː ʁ a
шӏуцӏэ	ʃʷʼ ə t͡sʼ a
шӏушӏэ	ʃʷʼ ə ʃʼ a
шӏыбзыу	ʃʼ ə b z ə w
шӏыжьын	ʃ ə ʑ ə n
шӏыкӏай	ʃʼ ə t͡ʃʼ aː j
шӏыкӏашӏу	ʃʼ ə t͡ʃʼ aː ʃʷʼ
шӏыкӏьэ	ʃʼ ə kʲʼ a
шӏыкӏэ	ʃʼ ə t͡ʃʼ a
шӏыкӏэен	ʃʼ ə t͡ʃʼ a j a n
шӏын	ʃ ə n
шӏыхьагъэ	ʃʼ ə ħ aː ʁ a
шӏыхьан	ʃʼ ə ħ aː n
шӏэн	ʃ a n
шӏэнгъэ	ʃʼ a n ʁ a
шӏэныгъэ	ʃʼ a n ə ʁ a
шӏэпэн	ʃʼ a p a n
шӏэхын	ʃʼ a x ə n
шӏэхэу	ʃʼ a x a w
щабзэ	ɕ aː b z a
щагу	ɕ a ɡʷ
щае	ɕ aː j a
щазымэ	ɕ aː z ə m a
щаибжъэ	ɕ aː j ə b ʐ a
щайныч	ɕ aː j n ə t͡ʃ
щайуц	ɕ aː j w ə t͡s
щалъ	ɕ aː ɬ
щамсый	ɕ aː m s ə j
щанэ	ɕ aː n a
щао	ʃ aː w a
щапӏэ	ɕ aː pʼ a
щкъэн	ɕ q a n
щтапхэ	ɕ t aː p x a
щтын	ɕ t ə n
щтыргъукӏы	ɕ t ə r ʁʷ ə t͡ʃ
щтэ	ɕ t a
щтэн	ɕ t a n
щтэпхэрый	ɕ t a p x a r ə j
щхъырыб	ɕ χ ə r ə b
щхын	ɕ x ə n
щхыпцӏы	ɕ x ə p t͡sʼ
щхыпцӏын	ɕ x ə p t͡sʼ ə n
щхэны	ɕ x a n ə
щы	ɕ ə
щыбжьый	ɕ ə b ʑ ə j
щыбырысыр	ɕ ə b ə r ə s ə r
щыгугъын	ɕ ə ɡʷ ə ʁ ə n
щыгушӏукӏын	ʃ ə ɡʷ ə ʃʷʼ t͡ʃʼ ə n
щыгушӏукӏьын	ʃ ə ɡʷ ə ʃʷʼ kʲʼ ə n
щыгъозэн	ɕ ə ʁʷ a z a n
щыгъу	ɕ ə ʁʷ
щыгъупшын	ɕ ə ʁʷ ə p ʃ ə n
щыгъущ	ɕ ə ʁʷ ə ɕ
щыгъын	ɕ ə ʁ ə n
щыгъэгуфэн	ɕ ə ʁ a ɡʷ ə f a n
щыгъэгъупщын	ɕ ə ʁ a ʁʷ ə p ʃ ə n
щыгъэзыен	ʃ ə ʁ a z ə j a n
щыгъэзын	ɕ ə ʁ a ʁʷ ə p ʃ ə n
щыгъэн	ɕ ə ʁ a n
щыгъэтын	ɕ ə ʁ a t ə n
щыгъэӏэн	ɕ ə ʔ a n
щыды	ɕ ə d ə
щыдыхьэщхын	ɕ ə d ə ħ a ɕ x ə n
щыдэхьащхын	ɕ ə d ə ħ a ɕ x ə n
щызымэ	ɕ ə z ə m a
щызэу	ɕ ə z a w
щыкӏагъэ	ɕ ə t͡ʃʼ aː ʁ a
щыкӏэгъэн	ɕ ə t͡ʃʼ a ʁ a n
щыкӏэн	ɕ ə t͡ʃʼ a n
щыкӏэпс	ɕ ə kʲʼ a p s
щылъэн	ɕ ə ɬ a n
щылыч	ɕ ə l ə t͡ʃ
щылэмаз	ɕ ə l a m aː z
щымыгъуаз	ɕ ə m ə ʁʷ aː z
щымын	z a w ə ʂ a f ə n
щымэхъэшэн	ɕ ə m a χ a ʃ a n
щынагъо	ɕ ə n a ʁʷ a
щынагъу	ɕ ə n aː ʁʷ
щынапхэ	ɕ ə n aː p x a
щыны	ɕ ə n ə
щынэжьын	ɕ ə n a ʑ ə n
щынэн	ɕ ə n a n
щыпын	ɕ ə p ə n
щыпэлъф	ɕ ə p a ɬ f
щыр	ɕ ə r
щырыкъу	ɕ ə r ə qʷ
щысыпӏэ	ɕ ə s ə pʼ a
щысэ	ɕ ə s a
щысэхъукӏын	ɕ ə s a χʷ ə t͡ʃʼ ə n
щытапхэ	ɕ t aː p x a
щытхъу	ɕ ə t χʷ
щытхъун	ɕ ə t χʷ ə n
щытын	ɕ ə t ə n
щыуан	ɕ ə w aː n
щыуанкъопс	ɕ ə w aː n qʷ a p s
щыуаныжъ	ɕ ə w aː n ə ʐ
щыугъэ	ɕ ə w ə ʁ a
щыун	ɕ ə w ə n
щыфэн	ɕ ə f a n
щыхын	ɕ ə x ə n
щыхьан	ɕ ə ħ aː n
щыхьэн	ɕ ə ħ a n
щышӏын	ɕ ə ʃ ə n
щыщынэн	ɕ ə ɕ ə n a n
щыщэн	ɕ ə ɕ a n
щыӏ	ɕ ə ʔ
щыӏэн	ɕ ə ʔ a n
щыӏэцӏэ	ɕ ə ʔ a t͡sʼ a
щэ	ɕ a
щэбзащ	ɕ a b z aː ɕ
щэгъэпцӏагъэ	ɕ a ʁ a p t͡sʼ aː ʁ a
щэгьагъо	ɕ a d͡ʒ aː ʁʷ a
щэгьагъо	ɕ a ɡʲ aː ʁʷ a
щэгьэгъож	ɕ a ɡʲ a ʁʷ a ʒ
щэгьэгъожь	ɕ a ɡʲ a ʁʷ a ʒ
щэгьэгъоуж	ɕ a ɡʲ a ʁʷ a ʒ
щэдж	ɕ a d͡ʒ
щэджагъо	ɕ a d͡ʒ aː ʁʷ a
щэджэгъоуж	ɕ a d͡ʒ a ʁʷ a w ʒ
щэджэгъуашхэ	ɕ a d͡ʒ a ʁʷ aː ʃ x a
щэкьын	ɕ a kʲ ə n
щэкӏы	ɕ a t͡ʃ ə
щэн	ɕ a n
щэный	ɕ a n ə j
щэрыу	ɕ a r ə w
щэрыхъ	ɕ a r ə χ
щэрэб	ɕ a r a b
щэрэхъ	ɕ a r a χ
щэуалэ	ɕ a w aː ɮ a
щэфын	ɕ a f ə n
щэхъу	ɕ a χʷ
щэхьын	ɕ a ħ ə n
щэчанэ	ɕ a t͡ʃ aː n a
щэчын	ɕ a t͡ʃ ə n
щэӏун	ɕ a ʔʷ ə n
ыгузэгу	ə ɡʷ ə z a ɡʷ
ыгупэн	ə ɡʷ ə p a n
ыгъэпэн	ə ʁ a p a n
ыкъудыин	ə qʷ ə d ə j ə n
ыкӏи	ə t͡ʃʼ ə j
ымышӏахэу	ə m ə ʃʼ aː x a w
ыунэхъун	ʁ a w n a χʷ ʁ n
ыцӏэжьын	ə t͡sʼ a ʑ ə n
ычӏэгъ	ə t͡ʃʼ a ʁ
ышъхьагъ	ə ʂ ħ aː ʁ
ышӏэпэн	ə ʃʼ a p a n
ягъэ	j aː ʁ a
яжьашъу	j aː ʑ aː ʂʷ
яжьэ	j aː ʑ a
язырэ	j aː z ə r a
ялыегъэ	j aː ɮ ə j a ʁ a
янэ	j aː n a
янэхь	j aː n a ħ
янэш	j aː n a ʃ
япхъурэлъф	aː p χʷ ə r a ɬ f
япэ	j aː p a
япэрэ	j aː p a r a
япэрэу	j aː p a r a w
ятэ	j aː t a
ятэш	j aː t a ʃ
ятӏэ	j aː tʼ a
яужым	j aː w ʒ ə m
Ӏу	ʔʷ ə
ӏа	ʔ aː
ӏаджэ	ʔ aː d͡ʒ a
ӏадэ	ʔ aː d a
ӏае	ʔ aː j a
ӏазэ	ʔ aː z a
ӏалъмэкъ	ʔ aː ɬ m a q
ӏалы	ʔ aː ɮ ə
ӏанлъэ	ʔ aː n ɬ a
ӏанэ	ʔ aː n a
ӏаплӏэ	ʔ aː p ɬʼ a
ӏапшъ	ʔ aː p ʂ
ӏапэ	ʔ aː p a
ӏапӏэ	ʔ aː pʼ a
ӏасэ	ʔ aː s a
ӏасэу	ʔ aː s a w
ӏахъо	ʔ a χʷ a
ӏахь	ʔ aː ħ
ӏахьыл	ʔ aː ħ ə ɮ
ӏашкӏ	ʔ aː ʃ t͡ʃʼ
ӏашэ	ʔ aː ʃ a
ӏашэнчъ	ʔ aː ʃ a t n t͡ʂ
ӏашэнчъэ	ʔ aː ʃ a t n t͡ʂ a
ӏашӏу	ʔ a ʃʷʼ ə
ӏекӏын	ʔʲ a t͡ʃʼ ə n
ӏелъын	ʔ a j ɬ ə n
ӏо	ʔʷ a
ӏогъолъхьан	t a ʁʷ a ɬ ħ aː n
ӏоен	ʔʷ a j a n
ӏолӏэн	ʔʷ a ɬʼ a n
ӏон	ʔʷ a n
ӏонтагъ	ʔʷ a n t aː ʁ
ӏоныгъомаз	ʔʷ a n ə ʁʷ a m aː z
ӏоржъор	ʔʷ a r ʒʷ a r
ӏорытх	ʔʷ a r ə t x
ӏорышӏадж	ʔʷ a r ə ʃʼ aː d͡ʒ
ӏорышӏэ	ʔʷ a r ə ʃʼ a
ӏорышӏэджэн	ʔʷ a r ʃʼ a d͡ʒ a n
ӏорышӏэн	ʔʷ a r ʃʼ a n
ӏорӏотэжь	ʔʷ a r ʔʷ a t a ʑ
ӏоталъ	ʔʷ a t aː ɬ
ӏотэн	ʔʷ a t a n
ӏоф	ʔʷ a f
ӏофшӏакӏэ	ʔʷ a f ʃʼ aː t͡ʃʼ a
ӏофшӏэгъу	ʔʷ a f ʃʼ a ʁʷ
ӏофшӏэн	ʔʷ a f ʃʼ a n
ӏофшӏэнынчъэ	ʔʷ a f ʃʼ a n ə n t͡ʂ a
ӏофы	ʔʷ a f ə
ӏофыгъу	ʔʷ a f ə ʁʷ
ӏофынчъэ	ʔʷ a f ə n t͡ʂ a
ӏофытхьабз	ʔʷ a f ə t ħ aː b z
ӏофытэн	ʔʷ a f ə t a n
ӏохъун	ʔʷ a χʷ ə n
ӏуагъэ	ʔʷ aː ʁ a
ӏуашъхьэ	ʔʷ aː ʂ ħ a
ӏуашъхьэмафэ	ʔʷ aː ʂ ħ a m aː f a
ӏугъо	ʔʷ ə ʁʷ a
ӏугъуашъо	ʔʷ ə ʁʷ a ʃʷ a
ӏугъэкӏын	ʔʷ a ʁ a t͡ʃʼ ə n
ӏудан	ʔʷ ə d aː n
ӏужъу	ʔʷ a ʐʷ ə
ӏукьын	ʔʷ a kʲ ə n
ӏукӏын	ʔʷ a t͡ʃʼ ə n
ӏукӏыхьан	ʔʷ ə t͡ʃ ə ħ aː n
ӏукӏьыбзэ	ʔʷ ə kʲʼ ə b z a
ӏукӏэн	ʔʷ ə t͡ʃ a n
ӏукӏэхьан	ʔʷ ə t͡ʃʼ a ħ aː n
ӏул	ʔʷ ə ɮ
ӏулэ	ʔʷ ə ɮ a
ӏулэлын	ʔʷ ə l a l ə n
ӏулӏэн	ʔʷ ə ɬʼ a n
ӏумпэм	ʔʷ a m p a m
ӏун	ʔʷ ə n
ӏункӏыбзэ	ʔʷ ə n t͡ʃʼ ə b z a
ӏункӏэн	ʔʷ ə n t͡ʃʼ a n
ӏунэн	ʔʷ ə n a n
ӏупс	ʔʷ ə p
ӏупчъэпчъэн	ʔʷ ə p t͡ʂ a p t͡ʂ a n
ӏупшӏэ	ʔʷ ə p ʃʼ a
ӏупэ	ʔʷ ə p a
ӏупэлэн	ʔʷ ə p a l a n
ӏуртӏагъ	ʔʷ ə n tʼ aː ʁ
ӏус	ʔʷ ə s
ӏухын	ʔʷ ə x ə n
ӏухьан	ʔʷ ə ħ aː n
ӏуш	ʔʷ ə ʃ
ӏушъо	ʔʷ ə ʃʷ a
ӏушъэшъэн	ʔʷ ə ʂ a ʂ a n
ӏыгъэн	ʔ ə ʁ a n
ӏынджыр	ʔ ə n d͡ʒ ə r
ӏыхын	ʔ ə x ə n
ӏьалэ	ʔʲ aː l a
ӏэ	ʔ a
ӏэбжъанэ	ʔ a b ʐ aː n a
ӏэбжъэнэпыупкӏы	ʔ a b ʐ a n a p ə w p t͡ʃ ə
ӏэбжыб	ʔ a b ʒ ə b
ӏэбжым	ʔ a b ʒ ə m ə
ӏэбыцу	ʔ a b ə t͡sʷ
ӏэбычъу	ʔ a b ə t͡ʃʷ
ӏэбэн	ʔ a b a n
ӏэгу	ʔ a ɡʷ
ӏэгуау	ʔ a ɡʷ aː w
ӏэгъуапэ	ʔ a ʁʷ aː p a
ӏэгьы	ʔ a ɡʲ ə
ӏэгьэ	ʔ a ɡʲ a
ӏэдакъэ	ʔ a d aː q a
ӏэджэбыжэ	ʔ a d͡ʒ a b ə ʒ a
ӏэдэб	ʔ a d a b
ӏэзэ	ʔ a z a
ӏэзэгъу	ʔ a z ə ʁʷ
ӏэкощ	ʔ a kʷʼ a ɕ
ӏэкӏэгъэхьан	ʔ ə t͡ʃʼ a ħ aː n
ӏэкӏэзын	ʔ a t͡ʃʼ a z ə n
ӏэкӏэкӏын	ʔ a t͡ʃʼ a t͡ʃʼ ə n
ӏэкӏэукӏэн	ʔ a t͡ʃʼ a w t͡ʃʼ a n
ӏэкӏэхьан	ʔ ə t͡ʃʼ a ħ aː n
ӏэл	ʔ a ɮ
ӏэлгьанэ	ʔ a l ɡʲ aː a n a
ӏэлджанэ	ʔ a l d͡ʒ aː a n a
ӏэлъмэкъ	ʔ a ɬ m a q
ӏэлъын	ʔ a ɬ ə n
ӏэмал	ʔ a m aː l
ӏэмэпсымэ	ʔ a m a p s ə m a
ӏэнатӏэ	ʔ a n aː tʼ a
ӏэндыкъ	ʔ a n d ə q
ӏэнтэгъу	ʔ a n t a ʁʷ
ӏэнэгъунэ	ʔ a n a ʁʷ ə n a
ӏэнэжъ	ʔ a n a ʐ
ӏэпапсӏэ	ʔ a p aː p sʼ a
ӏэпапцӏэ	ʔ a p aː p sʼ a
ӏэплъэкӏ	ʔ a p ɬ a t͡ʃ
ӏэплъэкӏжъые	ʔ a p ɬ a t͡ʃ ʐ ə j a
ӏэпхъабэ	ʔ a p χ aː b a
ӏэпхъотэн	ʔ a p χʷ a t a n
ӏэпхъощ	ʔ a p χʷ a ɕ
ӏэпшъэхъу	ʔ a p ʂ a χʷ
ӏэпшэхъу	ʔ a p ʃ a χʷ
ӏэпыгъэзын	ʔ a p ə ʁ a z ə n
ӏэпыгъэтӏэрын	ʔ a p ə ʁ a tʼ a r ə n
ӏэпызын	ʔ a p ə z ə n
ӏэпыкӏын	ʔ a p ə t͡ʃʼ ə n
ӏэпыкӏьын	ʔ a p ə kʲʼ ə n
ӏэпытӏэрын	ʔ a p ə tʼ a r ə n
ӏэпыӏэгъу	ʔ a p ə ʔ a ʁʷ
ӏэпыӏэн	ʔ a p ə ʔ a n
ӏэпэгъуапэ	ʔ a p a ʁʷ aː p a
ӏэпэпс	ʔ a p a p s
ӏэпэпсӏий	ʔ a p a p sʼ ə j
ӏэпэтӏэрын	ʔ a p ə tʼ a r ə n
ӏэпэӏас	ʔ a p a ʔ aː s
ӏэргъуй	ʔ a r ʁʷ ə j
ӏэрс	ʔ a p s
ӏэтын	ʔ aː t ə n
ӏэтэгъ	ʔ a t a ʁ
ӏэтэгъу	ʔ a t a ʁʷ
ӏэтэжъ	ʔ a t a ʐ
ӏэтэчэн	ʔ a t a t͡ʃ a n
ӏэубытыпӏэ	ʔ a w b ə t ə pʼ a
ӏэхъогъу	ʔ a χʷ a ʁʷ
ӏэхъу	ʔ a χʷ
ӏэхъуамбэ	ʔ a χʷ aː m b a
ӏэхын	ʔ ə x ə n
ӏэчӏэхьан	ʔ a t͡ʃʼ a ħ aː n
ӏэшъхьэ	ʔ a ʂ ħ a
ӏэшъхьэтет	ʔ a ʂ ħ a t a j t
ӏэшъхьэхъу	ʔ a ʂ ħ a χʷ
ӏэшӏу	ʔ a ʃʷʼ ə
ӏэшӏэх	ʔ a ʃʼ a x
ӏэщхьэ	ʔ a ɕ ħ a
