Abae	aː b e
sicilis	s iː t͡ʃ i l i s
siclus	s iː k l u s
siculus	s iː k u l u s
sidērītis	s i d e r iː t i s
siem	s iː e m
sient	s iː e n t
sierim	s iː e r i m
siet	s iː e t
sigillāre	s i d͡ʒ i l l aː r e
sigillātor	s i d͡ʒ i l l aː t o r
sigmodontis	s i ɡ m o d ɔ n t i s
significantia	s i ɲ ɲ i f i k a n t͡s i a
significatus	s i ɲ ɲ i f i k aː t u s
significātorius	s i ɲ ɲ i f i k a t ɔː r i u s
significātus	s i ɲ ɲ i f i k aː t u s
signā	s i ɲ ɲ a
signāret	s i ɲ ɲ aː r e t
sikkimēnsis	s i k k i m ɛ n s i s
silentēs	s i l ɛ n t e s
silentō	s i l ɛ n t o
silesicus	s i l ɛː s̬ i k u s
siliculōsus	s i l i k u l ɔː s̬ u s
sillyba	s i l l i b a
sillybe	s i l l i b e
sillybī	s i l l i b i
sillybīs	s i l l i b i s
sillybō	s i l l i b o
sillybōrum	s i l l i b ɔː r u m
sillybōs	s i l l i b o s
silūrī	s i l uː r i
sim	s i m
simila	s iː m i l a
similibus	s i m iː l i b u s
similior	s i m iː l i o r
similārium	s i m i l aː r i u m
similārēs	s i m i l aː r e s
simple	s i m p l e
simplice	s i m p l i t͡ʃ e
simplicem	s i m p l i t͡ʃ e m
simplicia	s i m p l iː t͡ʃ i a
simplicibus	s i m p l iː t͡ʃ i b u s
simplicis	s i m p l i t͡ʃ i s
simplicium	s i m p l iː t͡ʃ i u m
simplicābile	s i m p l i k aː b i l e
simplicābilem	s i m p l i k aː b i l e m
simplicābilia	s i m p l i k a b iː l i a
simplicābilibus	s i m p l i k a b iː l i b u s
simplicābilium	s i m p l i k a b iː l i u m
simplicābilēs	s i m p l i k aː b i l e s
simplicābilī	s i m p l i k aː b i l i
simplicāre	s i m p l i k aː r e
simplicāta	s i m p l i k aː t a
simplicātae	s i m p l i k aː t e
simplicātam	s i m p l i k aː t a m
simplicāte	s i m p l i k aː t e
simplicātis	s i m p l i k aː t i s
simplicātum	s i m p l i k aː t u m
simplicātus	s i m p l i k aː t u s
simplicātārum	s i m p l i k a t aː r u m
simplicātās	s i m p l i k aː t a s
simplicātī	s i m p l i k aː t i
simplicātō	s i m p l i k aː t o
simplicātōrum	s i m p l i k a t ɔː r u m
simplicātōs	s i m p l i k aː t o s
simplicātūra	s i m p l i k a t uː r a
simplicātūrae	s i m p l i k a t uː r e
simplicātūram	s i m p l i k a t uː r a m
simplicātūre	s i m p l i k a t uː r e
simplicātūrum	s i m p l i k a t uː r u m
simplicātūrus	s i m p l i k a t uː r u s
simplicātūrārum	s i m p l i k a t u r aː r u m
simplicātūrās	s i m p l i k a t uː r a s
simplicātūrī	s i m p l i k a t uː r i
simplicātūrīs	s i m p l i k a t uː r i s
simplicātūrō	s i m p l i k a t uː r o
simplicātūrōrum	s i m p l i k a t u r ɔː r u m
simplicātūrōs	s i m p l i k a t uː r o s
simplicāvī	s i m p l i k aː v i
simplicēs	s i m p l i t͡ʃ e s
simplicī	s i m p l i t͡ʃ i
simplificandō	s i m p l i f i k a n d o
simplificāre	s i m p l i f i k aː r e
simplificārī	s i m p l i f i k aː r i
simplī	s i m p l i
simulter	s i m u l t e r
simultānea	s i m u l t aː n e a
simultānee	s i m u l t aː n e e
simultāneī	s i m u l t aː n e i
sincipita	s i n̠ʲ t͡ʃ iː p i t a
sincipitālem	s i n̠ʲ t͡ʃ i p i t aː l e m
sincipitālibus	s i n̠ʲ t͡ʃ i p i t aː l i b u s
sincēra	s i n̠ʲ t͡ʃ ɛː r a
sincērō	s i n̠ʲ t͡ʃ ɛː r o
sindone	s i n d o n e
sindonem	s i n d o n e m
sindonibus	s i n d ɔː n i b u s
sindonis	s i n d o n i s
sindonum	s i n d o n u m
sindonēs	s i n d o n e s
sindonī	s i n d o n i
sine	s iː n e
sinere	s iː n e r e
singula	s i ŋ ɡ u l a
singulae	s i ŋ ɡ u l e
singulam	s i ŋ ɡ u l a m
singule	s i ŋ ɡ u l e
singultissimē	s i ŋ ɡ u l t i s s i m e
singultius	s i ŋ ɡ u l t͡s i u s
singulum	s i ŋ ɡ u l u m
singulārum	s i ŋ ɡ u l aː r u m
singulārēs	s i ŋ ɡ u l aː r e s
singulās	s i ŋ ɡ u l a s
singulī	s i ŋ ɡ u l i
singulīs	s i ŋ ɡ u l i s
singulō	s i ŋ ɡ u l o
singulōrum	s i ŋ ɡ u l ɔː r u m
singulōs	s i ŋ ɡ u l o s
sinica	s iː n i k a
sinicā	s iː n i k a
sinistra	s i n i s t r a
sint	s i n t
sinum	s iː n u m
sinus	s iː n u s
sināpe	s i n aː p e
sināpi	s i n aː p i
sināpis	s i n aː p i s
sināpium	s i n aː p i u m
sināpum	s i n aː p u m
sināpī	s i n aː p i
sināpīs	s i n aː p i s
sirpus	s i r p u s
sirpō	s i r p o
sistī	s i s t i
sit	s i t
sitis	s iː t i s
sittybae	s i t t i b e
sittybam	s i t t i b a m
sittybe	s i t t i b e
sittybum	s i t t i b u m
sittybārum	s i t t i b aː r u m
sittybās	s i t t i b a s
sittybī	s i t t i b i
sittybīs	s i t t i b i s
sittybō	s i t t i b o
sittybōrum	s i t t i b ɔː r u m
sittybōs	s i t t i b o s
situla	s iː t u l a
situlae	s iː t u l e
situlum	s iː t u l u m
situlus	s iː t u l u s
situlās	s iː t u l a s
situs	s iː t u s
situāte	s i t u aː t e
sitītor	s i t iː t o r
sitū	s iː t u
siēmus	s i ɛː m u s
siēs	s iː e s
siētis	s i ɛː t i s
skrbinēnsis	s k e r b i n ɛ n s i s
slavicus	z l aː v i k u s
slovācus	z l o v aː k u s
smyrnae	z m i r n e
smyrnam	z m i r n a m
smyrnārum	z m i r n aː r u m
smyrnās	z m i r n a s
smyrnīs	z m i r n i s
smēgmata	z m ɛ ɡ m a t a
smēgmate	z m ɛ ɡ m a t e
smēgmatibus	z m e ɡ m aː t i b u s
smēgmatis	z m ɛ ɡ m a t i s
smēgmatum	z m ɛ ɡ m a t u m
smēgmatī	z m ɛ ɡ m a t i
smēgmatīs	z m ɛ ɡ m a t i s
smēgmatōrum	z m e ɡ m a t ɔː r u m
smīlace	z m iː l a t͡ʃ e
smīlacem	z m iː l a t͡ʃ e m
smīlacibus	z m i l aː t͡ʃ i b u s
smīlacis	z m iː l a t͡ʃ i s
smīlacum	z m iː l a k u m
smīlacēs	z m iː l a t͡ʃ e s
smīlacī	z m iː l a t͡ʃ i
sobrīnō	s o b r iː n o
soccitō	s ɔ t t͡ʃ i t o
societāte	s o t͡ʃ i e t aː t e
societātem	s o t͡ʃ i e t aː t e m
societātibus	s o t͡ʃ i e t aː t i b u s
societātis	s o t͡ʃ i e t aː t i s
societātum	s o t͡ʃ i e t aː t u m
societātēs	s o t͡ʃ i e t aː t e s
societātī	s o t͡ʃ i e t aː t i
sociofraude	s o t͡ʃ i o f r aː u̯ d e
sociāle	s o t͡ʃ i aː l e
sociālēs	s o t͡ʃ i aː l e s
sociālī	s o t͡ʃ i aː l i
sociī	s ɔː t͡ʃ i i
sociō	s ɔː t͡ʃ i o
socotrānus	s o k o t r aː n u s
socrus	s ɔː k r u s
sodālitiārius	s o d a l i t t͡s i aː r i u s
sofista	s o f i s t a
sofistica	s o f i s t i k a
sofisticam	s o f i s t i k a m
sofisticus	s o f i s t i k u s
sofisticās	s o f i s t i k a s
sofisticī	s o f i s t i t͡ʃ i
sofisticō	s o f i s t i k o
sofistās	s o f i s t a s
soldus	s ɔ l d u s
soleātus	s o l e aː t u s
soleīs	s ɔː l e i s
solfataricus	s o l f a t aː r i k u s
solida	s ɔː l i d a
solide	s ɔː l i d e
solidissima	s o l i d i s s i m a
solidissimae	s o l i d i s s i m e
solidissimam	s o l i d i s s i m a m
solidissimum	s o l i d i s s i m u m
solidissimus	s o l i d i s s i m u s
solidissimārum	s o l i d i s s i m aː r u m
solidissimās	s o l i d i s s i m a s
solidissimīs	s o l i d i s s i m i s
solidissimōrum	s o l i d i s s i m ɔː r u m
solidissimōs	s o l i d i s s i m o s
solidum	s ɔː l i d u m
solidī	s ɔː l i d i
solitās	s ɔː l i t a s
solitō	s ɔː l i t o
solle	s ɔ l l e
sollemnis	s o l l ɛ m n i s
sollempnis	s o l l ɛ m p n i s
sollennis	s o l l ɛ n n i s
solliferreum	s o l l i f ɛ r r e u m
soloecisme	s o l e t͡ʃ i z m e
soloecismum	s o l e t͡ʃ i z m u m
soloecismī	s o l e t͡ʃ i z m i
soloecismīs	s o l e t͡ʃ i z m i s
soloecismō	s o l e t͡ʃ i z m o
soloecismōrum	s o l e t͡ʃ i z m ɔː r u m
soloecismōs	s o l e t͡ʃ i z m o s
solomonēnsis	s o l o m o n ɛ n s i s
soluisse	s o l u i s s e
soluit	s ɔː l u i t
solum	s ɔː l u m
solve	s ɔ l v e
solvit	s ɔ l v i t
somalicus	s o m aː l i k u s
somniātrīce	s o m n i a t r iː t͡ʃ e
somniātrīcem	s o m n i a t r iː t͡ʃ e m
somniātrīcibus	s o m n i a t r iː t͡ʃ i b u s
somniātrīcis	s o m n i a t r iː t͡ʃ i s
somniātrīcum	s o m n i a t r iː k u m
somniātrīcēs	s o m n i a t r iː t͡ʃ e s
somniātrīcī	s o m n i a t r iː t͡ʃ i
somniī	s ɔ m n i i
somniīs	s ɔ m n i i s
sonantō	s o n a n t o
sondaicus	s o n d aː i k u s
sone	s ɔː n e
songoricus	s o ŋ ɡ ɔː r i k u s
sonibus	s ɔː n i b u s
sonitus	s ɔː n i t u s
sonor	s ɔː n o r
sonte	s ɔ n t e
sonum	s ɔː n u m
sonuum	s ɔː n u u m
sonuī	s ɔː n u i
sonī	s ɔː n i
sonīs	s ɔː n i s
sonō	s ɔː n o
sonōra	s o n ɔː r a
sonōrae	s o n ɔː r e
sonōram	s o n ɔː r a m
sonōre	s o n ɔː r e
sonōrem	s o n ɔː r e m
sonōribus	s o n ɔː r i b u s
sonōris	s o n ɔː r i s
sonōrum	s o n ɔː r u m
sonōrā	s o n ɔː r a
sonōrārum	s o n o r aː r u m
sonōrās	s o n ɔː r a s
sonōrē	s o n ɔː r e
sonōrēs	s o n ɔː r e s
sonōrī	s o n ɔː r i
sonōrīs	s o n ɔː r i s
sonōrō	s o n ɔː r o
sonōrōrum	s o n o r ɔː r u m
sonōrōs	s o n ɔː r o s
sonōs	s ɔː n o s
sonū	s ɔː n u
sopha	s ɔː f a
sophisma	s o f i z m a
sophista	s o f i s t a
sophistam	s o f i s t a m
sophos	s ɔː f o s
sophā	s ɔː f a
sophōs	s ɔː f o s
sorabicus	s o r aː b i k u s
sorbitia	s o r b i t t͡s i a
sorbitiī	s o r b i t t͡s i i
sorbitiīs	s o r b i t t͡s i i s
sorbitiō	s o r b i t t͡s i o
sorbitiōne	s o r b i t t͡s i ɔː n e
sorbitiōnem	s o r b i t t͡s i ɔː n e m
sorbitiōnibus	s o r b i t t͡s i ɔː n i b u s
sorbitiōnis	s o r b i t t͡s i ɔː n i s
sorbitiōnum	s o r b i t t͡s i ɔː n u m
sorbitiōnēs	s o r b i t t͡s i ɔː n e s
sorbitiōnī	s o r b i t t͡s i ɔː n i
sorbitiōrum	s o r b i t t͡s i ɔː r u m
sorde	s ɔ r d e
sordērum	s o r d ɛː r u m
sordī	s ɔ r d i
sorpsī	s ɔ r p s i
sorpta	s ɔ r p t a
sorptae	s ɔ r p t e
sorptam	s ɔ r p t a m
sorpte	s ɔ r p t e
sorptum	s ɔ r p t u m
sorptus	s ɔ r p t u s
sorptārum	s o r p t aː r u m
sorptās	s ɔ r p t a s
sorptī	s ɔ r p t i
sorptīs	s ɔ r p t i s
sorptō	s ɔ r p t o
sorptōrum	s o r p t ɔː r u m
sorptōs	s ɔ r p t o s
sorptūra	s o r p t uː r a
sorptūrae	s o r p t uː r e
sorptūram	s o r p t uː r a m
sorptūre	s o r p t uː r e
sorptūrum	s o r p t uː r u m
sorptūrus	s o r p t uː r u s
sorptūrārum	s o r p t u r aː r u m
sorptūrās	s o r p t uː r a s
sorptūrī	s o r p t uː r i
sorptūrīs	s o r p t uː r i s
sorptūrō	s o r p t uː r o
sorptūrōrum	s o r p t u r ɔː r u m
sorptūrōs	s o r p t uː r o s
sortiunda	s o r t͡s i u n d a
sortiundae	s o r t͡s i u n d e
sortiundam	s o r t͡s i u n d a m
sortiunde	s o r t͡s i u n d e
sortiundum	s o r t͡s i u n d u m
sortiundus	s o r t͡s i u n d u s
sortiundārum	s o r t͡s i u n d aː r u m
sortiundās	s o r t͡s i u n d a s
sortiundī	s o r t͡s i u n d i
sortiundīs	s o r t͡s i u n d i s
sortiundō	s o r t͡s i u n d o
sortiundōrum	s o r t͡s i u n d ɔː r u m
sortiundōs	s o r t͡s i u n d o s
sortītor	s o r t iː t o r
sortītus	s o r t iː t u s
spadōnīnus	s p a d o n iː n u s
spare	s p aː r e
sparsa	s p a r s a
sparsae	s p a r s e
sparsam	s p a r s a m
sparse	s p a r s e
sparsum	s p a r s u m
sparsā	s p a r s a
sparsārum	s p a r s aː r u m
sparsās	s p a r s a s
sparsī	s p a r s i
sparsīs	s p a r s i s
sparsō	s p a r s o
sparsōrum	s p a r s ɔː r u m
sparsōs	s p a r s o s
sparus	s p aː r u s
spasmī	s p a z m i
spathulātus	s p a t u l aː t u s
spatiālis	s p a t t͡s i aː l i s
spatiārus	s p a t t͡s i aː r u s
speca	s p ɛː k a
specibus	s p ɛː t͡ʃ i b u s
specimina	s p e t͡ʃ iː m i n a
speciunda	s p e t͡ʃ i u n d a
speciundae	s p e t͡ʃ i u n d e
speciundam	s p e t͡ʃ i u n d a m
speciunde	s p e t͡ʃ i u n d e
speciundum	s p e t͡ʃ i u n d u m
speciundus	s p e t͡ʃ i u n d u s
speciundārum	s p e t͡ʃ i u n d aː r u m
speciundās	s p e t͡ʃ i u n d a s
speciundī	s p e t͡ʃ i u n d i
speciundīs	s p e t͡ʃ i u n d i s
speciundō	s p e t͡ʃ i u n d o
speciundōrum	s p e t͡ʃ i u n d ɔː r u m
speciundōs	s p e t͡ʃ i u n d o s
speciāle	s p e t͡ʃ i aː l e
speciālī	s p e t͡ʃ i aː l i
speciē	s p ɛː t͡ʃ i e
spectra	s p ɛ k t r a
spectrī	s p ɛ k t r i
spectrīs	s p ɛ k t r i s
spectrō	s p ɛ k t r o
spectrōrum	s p e k t r ɔː r u m
spectāram	s p e k t aː r a m
spectārāmus	s p e k t a r aː m u s
specubus	s p ɛː k u b u s
specula	s p ɛː k u l a
speculāte	s p e k u l aː t e
specum	s p ɛː k u m
specuum	s p ɛː k u u m
specuī	s p ɛː k u i
specū	s p ɛː k u
spepondī	s p e p ɔ n d i
sphondyle	s f ɔ n d i l e
sphondylum	s f ɔ n d i l u m
sphondylī	s f ɔ n d i l i
sphondylīs	s f ɔ n d i l i s
sphondylō	s f ɔ n d i l o
sphondylōrum	s f o n d i l ɔː r u m
sphondylōs	s f ɔ n d i l o s
sphēnoīdālis	s f e n o i d aː l i s
spiciuntor	s p i t͡ʃ i u n t o r
spiciō	s p iː t͡ʃ i o
spissē	s p i s s e
spissō	s p i s s o
spode	s p ɔː d e
spodoe	s p ɔː d e
spodon	s p ɔː d o n
spodī	s p ɔː d i
spodīs	s p ɔː d i s
spodō	s p ɔː d o
spodōrum	s p o d ɔː r u m
spoliātor	s p o l i aː t o r
spondent	s p ɔ n d e n t
spondet	s p ɔ n d e t
spondyle	s p ɔ n d i l e
spondylum	s p ɔ n d i l u m
spondylī	s p ɔ n d i l i
spondylīs	s p ɔ n d i l i s
spondylō	s p ɔ n d i l o
spondylōrum	s p o n d i l ɔː r u m
spondylōs	s p ɔ n d i l o s
spondēmus	s p o n d ɛː m u s
spondēs	s p ɔ n d e s
spondētis	s p o n d ɛː t i s
spondī	s p ɔ n d i
spontānea	s p o n t aː n e a
spontānee	s p o n t aː n e e
spontāneī	s p o n t aː n e i
spontāneō	s p o n t aː n e o
spopondī	s p o p ɔ n d i
spurce	s p u r t͡ʃ e
spurcē	s p u r t͡ʃ e
spuria	s p uː r i a
spurie	s p uː r i e
spurium	s p uː r i u m
spuriō	s p uː r i o
spādīca	s p a d iː k a
spādīcas	s p a d iː k a s
spādīce	s p a d iː t͡ʃ e
spādīcem	s p a d iː t͡ʃ e m
spādīcia	s p a d iː t͡ʃ i a
spādīcibus	s p a d iː t͡ʃ i b u s
spādīcis	s p a d iː t͡ʃ i s
spādīcium	s p a d iː t͡ʃ i u m
spādīcum	s p a d iː k u m
spādīcē̆s	s p a d iː t͡ʃ e s
spādīcī	s p a d iː t͡ʃ i
spē	s p ɛː
spēcula	s p ɛː k u l a
spēluncae	s p e l u n̠ʲ t͡ʃ e
spēluncam	s p e l u ŋ k a m
spēluncārum	s p e l u ŋ k aː r u m
spēluncās	s p e l u ŋ k a s
spēluncīs	s p e l u n̠ʲ t͡ʃ i s
spēlēa	s p e l ɛː a
spēlēī	s p e l ɛː i
spēlēō	s p e l ɛː o
spīcum	s p iː k u m
spīnae	s p iː n e
spīrantī	s p i r a n t i
spīritibus	s p i r iː t i b u s
spīritum	s p iː r i t u m
spīrituum	s p i r iː t u u m
spīrituālis	s p i r i t u aː l i s
spīrituālitās	s p i r i t u aː l i t a s
spīrituī	s p i r iː t u i
spīritū	s p iː r i t u
spīrātus	s p i r aː t u s
spōnsus	s p ɔ n s u s
spōnsāle	s p o n s aː l e
spōnsālem	s p o n s aː l e m
spōnsālia	s p o n s aː l i a
spōnsālibus	s p o n s aː l i b u s
spōnsālium	s p o n s aː l i u m
spōnsāliōrum	s p o n s a l i ɔː r u m
spōnsālēs	s p o n s aː l e s
spōnsālī	s p o n s aː l i
spōnsō	s p ɔ n s o
spūmantī	s p u m a n t i
spūmigenae	s p u m iː d͡ʒ e n e
spūmigenam	s p u m iː d͡ʒ e n a m
spūmigenārum	s p u m i d͡ʒ e n aː r u m
spūmigenās	s p u m iː d͡ʒ e n a s
spūmigenīs	s p u m iː d͡ʒ e n i s
spūtātor	s p u t aː t o r
squalenifaciēns	s kʷ a l e n i f aː t͡ʃ i e n s
squalus	s kʷ aː l u s
squillam	s kʷ i l l a m
squillārum	s kʷ i l l aː r u m
squillīs	s kʷ i l l i s
squālus	s kʷ aː l u s
squāmea	s kʷ aː m e a
squāmeae	s kʷ aː m e e
squāmeam	s kʷ aː m e a m
squāmee	s kʷ aː m e e
squāmeum	s kʷ aː m e u m
squāmeārum	s kʷ a m e aː r u m
squāmeās	s kʷ aː m e a s
squāmeī	s kʷ aː m e i
squāmeīs	s kʷ aː m e i s
squāmeō	s kʷ aː m e o
squāmeōrum	s kʷ a m e ɔː r u m
squāmeōs	s kʷ aː m e o s
stabilior	s t a b iː l i o r
stabilissima	s t a b i l i s s i m a
stabilissimae	s t a b i l i s s i m e
stabilissimam	s t a b i l i s s i m a m
stabilissime	s t a b i l i s s i m e
stabilissimum	s t a b i l i s s i m u m
stabilissimus	s t a b i l i s s i m u s
stabilissimārum	s t a b i l i s s i m aː r u m
stabilissimās	s t a b i l i s s i m a s
stabilissimī	s t a b i l i s s i m i
stabilissimīs	s t a b i l i s s i m i s
stabilissimō	s t a b i l i s s i m o
stabilissimōrum	s t a b i l i s s i m ɔː r u m
stabilissimōs	s t a b i l i s s i m o s
stabilius	s t a b iː l i u s
stabiliōra	s t a b i l i ɔː r a
stabiliōre	s t a b i l i ɔː r e
stabiliōrem	s t a b i l i ɔː r e m
stabiliōribus	s t a b i l i ɔː r i b u s
stabiliōris	s t a b i l i ɔː r i s
stabiliōrum	s t a b i l i ɔː r u m
stabiliōrēs	s t a b i l i ɔː r e s
stabiliōrī	s t a b i l i ɔː r i
stabilī	s t aː b i l i
stabla	s t aː b l a
stablum	s t aː b l u m
stablī	s t aː b l i
stabula	s t aː b u l a
stabulā	s t aː b u l a
stadiī	s t aː d i i
stadiōs	s t aː d i o s
stadī	s t aː d i
stagne	s t a ɲ ɲ e
stagneus	s t a ɲ ɲ e u s
stagnum	s t a ɲ ɲ u m
stagnī	s t a ɲ ɲ i
stagnō	s t a ɲ ɲ o
stagnōs	s t a ɲ ɲ o s
standō	s t a n d o
stant	s t a n t
stapediī	s t a p ɛː d i i
stat	s t a t
statica	s t aː t i k a
staticī	s t aː t i t͡ʃ i
staticō	s t aː t i k o
statiōra	s t a t t͡s i ɔː r a
statiōrī	s t a t t͡s i ɔː r i
statiōrīs	s t a t t͡s i ɔː r i s
statiōrō	s t a t t͡s i ɔː r o
statiōrōrum	s t a t t͡s i o r ɔː r u m
status	s t aː t u s
statī	s t aː t i
statīva	s t a t iː v a
statīvō	s t a t iː v o
statūram	s t a t uː r a m
stegma	s t ɛ ɡ m a
stem	s t ɛ m
stent	s t ɛ n t
stercorātum	s t e r k o r aː t u m
sterilizō	s t e r i l i d d͡z o
sternocleidomastoīdeī	s t e r n o k l e j d o m a s t o iː d e i
sternohȳoīdeī	s t e r n o i o iː d e i
sternothyroīdeī	s t e r n o t i r o iː d e i
sternunda	s t e r n u n d a
sternundae	s t e r n u n d e
sternundam	s t e r n u n d a m
sternunde	s t e r n u n d e
sternundum	s t e r n u n d u m
sternundus	s t e r n u n d u s
sternundārum	s t e r n u n d aː r u m
sternundās	s t e r n u n d a s
sternundī	s t e r n u n d i
sternundīs	s t e r n u n d i s
sternundō	s t e r n u n d o
sternundōrum	s t e r n u n d ɔː r u m
sternundōs	s t e r n u n d o s
sternēbāmus	s t e r n e b aː m u s
stertor	s t ɛ r t o r
stet	s t ɛ t
stibinus	s t iː b i n u s
sticulae	s t iː k u l e
sticulam	s t iː k u l a m
sticulārum	s t i k u l aː r u m
sticulās	s t iː k u l a s
sticulīs	s t iː k u l i s
stigma	s t i ɡ m a
stigmaticus	s t i ɡ m aː t i k u s
stillātiōne	s t i l l a t t͡s i ɔː n e
stillātiōnem	s t i l l a t t͡s i ɔː n e m
stillātiōnibus	s t i l l a t t͡s i ɔː n i b u s
stillātiōnis	s t i l l a t t͡s i ɔː n i s
stillātiōnum	s t i l l a t t͡s i ɔː n u m
stillātiōnēs	s t i l l a t t͡s i ɔː n e s
stillātiōnī	s t i l l a t t͡s i ɔː n i
stillātīva	s t i l l a t iː v a
stillātīvae	s t i l l a t iː v e
stillātīvam	s t i l l a t iː v a m
stillātīve	s t i l l a t iː v e
stillātīvum	s t i l l a t iː v u m
stillātīvā	s t i l l a t iː v a
stillātīvārum	s t i l l a t i v aː r u m
stillātīvās	s t i l l a t iː v a s
stillātīvī	s t i l l a t iː v i
stillātīvīs	s t i l l a t iː v i s
stillātīvō	s t i l l a t iː v o
stillātīvōrum	s t i l l a t i v ɔː r u m
stillātīvōs	s t i l l a t iː v o s
stimulantis	s t i m u l a n t i s
stimule	s t iː m u l e
stimulea	s t i m uː l e a
stimuleae	s t i m uː l e e
stimuleam	s t i m uː l e a m
stimulee	s t i m uː l e e
stimuleum	s t i m uː l e u m
stimuleārum	s t i m u l e aː r u m
stimuleās	s t i m uː l e a s
stimuleī	s t i m uː l e i
stimuleīs	s t i m uː l e i s
stimuleō	s t i m uː l e o
stimuleōrum	s t i m u l e ɔː r u m
stimuleōs	s t i m uː l e o s
stimulī	s t iː m u l i
stinguere	s t i ŋ ɡʷ e r e
stipendiārius	s t i p e n d i aː r i u s
stipis	s t iː p i s
stirpēs	s t i r p e s
stiteram	s t iː t e r a m
stiterant	s t iː t e r a n t
stiterat	s t iː t e r a t
stiterim	s t iː t e r i m
stiterimus	s t i t ɛː r i m u s
stiterint	s t iː t e r i n t
stiteris	s t iː t e r i s
stiteritis	s t i t ɛː r i t i s
stiterāmus	s t i t e r aː m u s
stiterās	s t iː t e r a s
stiterātis	s t i t e r aː t i s
stiterō	s t iː t e r o
stitimus	s t iː t i m u s
stitisse	s t i t i s s e
stitissem	s t i t i s s e m
stitissent	s t i t i s s e n t
stitisset	s t i t i s s e t
stitissēmus	s t i t i s s ɛː m u s
stitissēs	s t i t i s s e s
stitissētis	s t i t i s s ɛː t i s
stitistis	s t i t i s t i s
stitistī	s t i t i s t i
stitit	s t iː t i t
stitēre	s t i t ɛː r e
stitērunt	s t i t ɛː r u n t
stlīs	s t l i s
stoicheiologia	s t e k e j o l ɔː d͡ʒ i a
stolida	s t ɔː l i d a
stolide	s t ɔː l i d e
stolidī	s t ɔː l i d i
stolō	s t ɔː l o
storax	s t ɔː r a k s
strabō	s t r aː b o
stratosphericus	s t r a t o s f ɛː r i k u s
strepitus	s t r ɛː p i t u s
stria	s t r iː a
striga	s t r iː ɡ a
strigae	s t r iː d͡ʒ e
strigam	s t r iː ɡ a m
strigulātus	s t r i ɡ u l aː t u s
strigārum	s t r i ɡ aː r u m
strigās	s t r iː ɡ a s
strigātus	s t r i ɡ aː t u s
strigīs	s t r iː d͡ʒ i s
stringe	s t r i n̠ʲ d͡ʒ e
stringendus	s t r i n̠ʲ d͡ʒ ɛ n d u s
stringundus	s t r i ŋ ɡ u n d u s
stringāre	s t r i ŋ ɡ aː r e
stringī	s t r i n̠ʲ d͡ʒ i
striolātus	s t r i o l aː t u s
striās	s t r iː a s
striāta	s t r i aː t a
striāte	s t r i aː t e
striātī	s t r i aː t i
striātō	s t r i aː t o
striīs	s t r iː i s
strobile	s t r ɔː b i l e
strobilum	s t r ɔː b i l u m
strobilī	s t r ɔː b i l i
strobilīs	s t r ɔː b i l i s
strobilō	s t r ɔː b i l o
strobilōrum	s t r o b i l ɔː r u m
strobilōs	s t r ɔː b i l o s
strontium	s t r ɔ n t͡s i u m
stroppe	s t r ɔ p p e
struēs	s t r uː e s
strāgulum	s t r aː ɡ u l u m
strāta	s t r aː t a
strātus	s t r aː t u s
strātī	s t r aː t i
strātō	s t r aː t o
strātūs	s t r aː t u s
strēnue	s t r ɛː n u e
strēnuē	s t r ɛː n u e
strīdere	s t r i d ɛː r e
strīdere	s t r iː d e r e
strīdeō	s t r iː d e o
strīdula	s t r iː d u l a
strīdulae	s t r iː d u l e
strīdulam	s t r iː d u l a m
strīdule	s t r iː d u l e
strīdulum	s t r iː d u l u m
strīdulārum	s t r i d u l aː r u m
strīdulās	s t r iː d u l a s
strīdulī	s t r iː d u l i
strīdulīs	s t r iː d u l i s
strīdulō	s t r iː d u l o
strīdulōrum	s t r i d u l ɔː r u m
strīdulōs	s t r iː d u l o s
strīdēre	s t r i d ɛː r e
strī̆ga	s t r iː ɡ a
strī̆gae	s t r iː d͡ʒ e
strī̆gam	s t r iː ɡ a m
strī̆gārum	s t r i ɡ aː r u m
strī̆gās	s t r iː ɡ a s
strī̆gīs	s t r iː d͡ʒ i s
strī̆x	s t r i k s
strōmata	s t r ɔː m a t a
strōmate	s t r ɔː m a t e
strōmatibus	s t r o m aː t i b u s
strōmatis	s t r ɔː m a t i s
strōmatum	s t r ɔː m a t u m
strōmatī	s t r ɔː m a t i
strūctilis	s t r u k t i l i s
strūctor	s t r u k t o r
student	s t uː d e n t
studiō	s t uː d i o
studēre	s t u d ɛː r e
stultē	s t u l t e
stupidō	s t uː p i d o
stupra	s t uː p r a
stuprī	s t uː p r i
stuprīs	s t uː p r i s
stuprōrum	s t u p r ɔː r u m
styloglōssī	s t i l o ɡ l ɔ s s i
stylohȳoīdeī	s t i l o i o iː d e i
stylopharyngeī	s t i l o f a r i n̠ʲ d͡ʒ e i
stylus	s t iː l u s
