Abel	ǎː b e l
spopasti	s p ǒ p a s t i
spor	s p ô r
sporadičan	s p o r ǎ d i t͡ʃ a n
sporadično	s p o r ǎ d i t͡ʃ n o
sporan	s p ôː r a n
sporazum	s p ô r a z uː m
sporazumeti	s p o r a z ǔ m e t i
sporazumevati	s p o r a z u m ěː ʋ a t i
sporazumijevati	s p o r a z u m j ěː ʋ a t i
sporazumjeti	s p o r a z ǔ m j e t i
sporedan	s p ô r e d a n
sporno	s p ôː r n o
sport	s p ô r t
sportaš	s p ǒ r t aː ʃ
sportski	s p ô r t s k i
sportski	s p ô r t s k iː
sposobnost	s p o s ǒː b n oː s t
spoznaja	s p ô z n a j a
spoznati	s p ǒ z n a t i
spoznavati	s p o z n ǎː ʋ a t i
sprat	s p r â t
sprati	s p r â t i
sprava	s p r â ʋ a
sprdati	s p řː d a t i
sprdačina	s p r̩ d ǎ t͡ʃ i n a
sprdnja	s p řː d ɲ a
spreda	s p r ěː d a
sprej	s p r ê j
spreman	s p r ê m a n
spremati	s p r ěː m a t i
spremiti	s p r ěː m i t i
spremno	s p r ê m n o
spremnost	s p r ê m n oː s t
spretan	s p r ê t a n
spretno	s p r ê t n o
spretnost	s p r ê t n oː s t
sprečavati	s p r e t͡ʃ ǎː ʋ a t i
sprečiti	s p r ěː t͡ʃ i t i
sprijateljiti	s p r i j a t ě ʎ i t i
sprijateljivati	s p r i j a t e ʎ ǐː ʋ a t i
sprijeda	s p r j ěː d a
spriječiti	s p r i j ěː t͡ʃ i t i
sprovesti	s p r ǒ ʋ e s t i
sprovoditi	s p r o ʋ ǒ d i t i
sprud	s p r ûː d
spustiti	s p ǔ s t i t i
sputan	s p û t aː n
sputati	s p ǔ t a t i
sputavati	s p u t ǎː ʋ a t i
spuštati	s p ǔː ʃ t a t i
sram	s r âː m
sraman	s r âː m a n
sramežljivac	s r a m ě ʒ ʎ i ʋ a t͡s
sramežljivica	s r a m ě ʒ ʎ i ʋ i t͡s a
sramiti	s r ǎː m i t i
sramno	s r âː m n o
sramota	s r a m ǒ t a
sramotan	s r â m o t a n
sramotiti	s r a m ǒ t i t i
sramotno	s r â m o t n o
sranje	s r ǎː ɲ e
srati	s r â t i
sraz	s r âː z
sraćka	s r â t͡ɕ k a
sračunati	s r a t͡ʃ ǔ n a t i
sračunavati	s r a t͡ʃ u n ǎː ʋ a t i
srbijanski	s r b ǐ j aː n s k iː
srcolik	s r̩ t͡s ǒ l i k
srditi	s řː d i t i
srdobolja	s r d ǒ b o ʎ a
srebren	s r ê b r e n
srebrn	s r ê b r n
srebro	s r ě b r o
sred	s r ê d
sreda	s r ěː d a
sredina	s r e d ǐ n a
sredinom	s r e d ǐ n oː m
srediti	s r ěː d i t i
središni	s r ě d iː ʃ n iː
središnji	s r ě d i ʃ ɲ iː
središte	s r ê d iː ʃ t e
srednji	s r ê d ɲ iː
srednjoafrički	s r e d ɲ o ǎ f r i t͡ʃ k iː
srednjoamerički	s r e d ɲ o a m ě r i t͡ʃ k iː
srednjovekovni	s r e d ɲ o ʋ ě k oː ʋ n iː
srednjovjekovni	s r e d ɲ o ʋ j ě k oː ʋ n iː
srednjoškolac	s r e d ɲ o ʃ k ǒː l a t͡s
sredozemni	s r ê d o z eː m n iː
sredstvo	s r ě d s t ʋ o
sresti	s r ê s t i
sretan	s r ê t a n
sretati	s r ê t a t i
sreća	s r ê t͡ɕ a
srećan	s r ê t͡ɕ a n
srećom	s r ê t͡ɕ oː m
sređivati	s r e d͡ʑ ǐː ʋ a t i
srijeda	s r j ěː d a
srkati	s řː k a t i
srknuti	s řː k n u t i
srljati	s ř ʎ a t i
srnuti	s řː n u t i
srodan	s r ô d a n
srodnost	s r ô d n oː s t
srodstvo	s r ǒ d s t ʋ o
srok	r ǐː m a
srpanj	s r̂ː p a ɲ
srpanjski	s r̂ː p a ɲ s k iː
srpstvo	s ř p s t ʋ o
srtati	s r̂ t a t i
srušiti	s r û ʃ i t i
srž	s r̂ː ʒ
stabilan	s t â b iː l a n
stabilizacija	s t a b i l i z ǎː t͡s i j a
stabilno	s t â b iː l n o
stabilnost	s t a b ǐː l n oː s t
stabljika	s t ǎ b ʎ i k a
stablo	s t ǎː b l o
stagnacija	s t a ɡ n ǎː t͡s i j a
stagnantan	s t a ɡ n ǎ n t a n
stagnirati	s t a ɡ n ǐː r a t i
staja	s t â j a
stajalište	s t â j a l iː ʃ t e
stajati	s t â j a t i
stajati	s t ǎ j a t i
staklar	s t ǎ k l aː r
staklast	s t â k l a s t
staklen	s t ǎ k l e n
staklenik	s t a k l ě n iː k
staklenka	s t ǎ k l eː n k a
staklo	s t ǎ k l o
staklopuhač	s t a k l o p ǔ x aː t͡ʃ
stalan	s t ǎː l a n
staleški	s t ǎː l e ʃ k iː
stalež	s t ǎː l e ʒ
staljinizam	s t a ʎ i n ǐ z a m
stalno	s t âː l n o
stambeni	s t ǎ m b e n iː
stampedo	s t a m p êː d o
stan	s t âː n
stanar	s t ǎ n aː r
stanarka	s t ǎ n aː r k a
stanarski	s t ǎ n aː r s k i
stanarski	s t ǎ n aː r s k iː
standard	s t ǎ n d a r d
standardizacija	s t a n d a r d i z ǎː t͡s i j a
stanica	s t ǎ n i t͡s a
stanični	s t ǎ n i t͡ʃ n iː
stanište	s t â n iː ʃ t e
stanje	s t ǎː ɲ e
stanovati	s t a n ǒ ʋ a t i
stanovništvo	s t a n o ʋ n ǐː ʃ t ʋ o
stapati	s t ǎː p a t i
star	s t â r
starac	s t â r a t͡s
staralac	s t ǎ r a l a t͡s
starati	s t â r a t i
starački	s t â r a t͡ʃ k iː
starenje	s t â r eː ɲ e
stareti	s t â r e t i
starina	s t a r ǐ n a
starinski	s t a r ǐ n s k iː
stariti	s t â r i t i
starjeti	s t â r j e t i
staromodan	s t â r o m oː d a n
staromodno	s t â r o m oː d n o
staroslavenski	s t a r o s l ǎ ʋ eː n s k iː
staroslovenski	s t a r o s l ǒ ʋ eː n s k iː
starost	s t â r oː s t
starčev	s t âː r t͡ʃ e ʋ
starčić	s t ǎ r t͡ʃ i t͡ɕ
stati	s t â t i
stati	s t âː t i
statika	s t ǎ t i k a
statist	s t ǎ t i s t
statistika	s t a t ǐ s t i k a
statističar	s t a t ǐ s t i t͡ʃ aː r
statističarka	s t a t ǐ s t i t͡ʃ aː r k a
statistički	s t a t ǐ s t i t ʃ k i
statistički	s t a t ǐ s t i t ʃ k iː
statičan	s t ǎ t i t͡ʃ a n
statički	s t ǎ t i t ʃ k i
statički	s t ǎ t i t ʃ k iː
status	s t ǎː t u s
statusni	s t ǎː t u s n iː
statut	s t ǎ t uː t
stav	s t â ʋ
stavak	s t â ʋ a k
staviti	s t â ʋ i t i
stavka	s t âː ʋ k a
stavljati	s t ǎː ʋ ʎ a t i
staž	s t âː ʒ
stearin	s t e ǎ r iː n
stegno	s t êː ɡ n o
stegnuti	s t ěː ɡ n u t i
steknuti	s t ê k n u t i
stena	s t ěː n a
steon	s t ê o n
stepa	s t ê p a
stepen	s t ê p eː n
stepenica	s t e p ě n i t͡s a
stepka	s t ê p k a
stepski	s t ê p s k iː
stetoskop	s t ê t o s k o p
steći	s t êː t͡ɕ i
stečaj	s t ê t͡ʃ aː j
stečajni	s t ê t͡ʃ aː j n iː
stečevina	s t ě t͡ʃ e ʋ i n a
sticati	s t i t͡s a t i
stid	s t îː d
stidan	s t ǐː d a n
stideti	s t ǐː d e t i
stidjeti	s t ǐː d j e t i
stidljiv	s t ǐ d ʎ i ʋ
stidljivo	s t ǐ d ʎ i ʋ o
stignuti	s t î ɡ n u t i
stih	s t î x
stijena	s t i j ěː n a
stil	s t î l
stilistika	s t i l ǐ s t i k a
stilski	s t î l s k iː
stipendija	s t i p ě n d i j a
stiska	s t î s k a
stiskati	s t ǐː s k a t i
stisnuti	s t î s n u t i
stizati	s t î z a t i
stići	s t î t͡ɕ i
stišati	s t ǐ ʃ a t i
stišavati	s t i ʃ ǎː ʋ a t i
stjecati	s t j ê t͡s a t i
sto	s t ôː
stog	s t ôː ɡ
stoga	s t ô ɡ aː
stogodišnjica	s t o ɡ ǒ d i ʃ ɲ i t͡s a
stojećke	s t ǒ j eː t͡ɕ k e
stoklasa	s t ǒ k l a s a
stolac	s t ǒ l a t͡s
stolećima	s t ǒ l e t͡ɕ i m a
stolica	s t ǒ l i t͡s a
stoljećima	s t ǒ ʎ e t͡ɕ i m a
stolnjak	s t ôː l ɲ aː k
stolčić	s t ǒː l t͡ʃ i t͡ɕ
stomak	s t ô m aː k
stopa	s t ǒ p a
stopalo	s t ǒ p a l o
stopiti	s t ǒ p i t i
stotina	s t o t ǐ n a
stotina	s t ô t i n a
stotinjak	s t o t ǐː ɲ aː k
stotinka	s t ǒ t iː n k a
stočarski	s t ô t͡ʃ a r s k iː
stočić	s t ǒː t͡ʃ i t͡ɕ
stradalac	s t r ǎː d a l a t͡s
stradati	s t r ǎː d a t i
stradavati	s t r a d ǎː ʋ a t i
strah	s t r âː x
strahopoštovanje	s t r a x o p o ʃ t o ʋ ǎː ɲ e
strahota	s t r a x ǒ t a
strahotan	s t r â x o t a n
strahovati	s t r a x ǒ ʋ a t i
strahovit	s t r a x ǒ ʋ i t
stran	s t r âː n
strana	s t r ǎː n a
stranac	s t r ǎː n a t͡s
stranica	s t r ǎ n i t͡s a
stranka	s t r â n k a
strast	s t r âː s t
strastven	s t r â s t ʋ e n
strategija	s t r ǎ t eː ɡ i j a
strategijski	s t r ǎ t e ɡ iː j s k iː
strateški	s t r ǎ t eː ʃ k iː
stratigrafija	s t r a t i ɡ r ǎ f i j a
stratopauza	s t r a t o p â u z a
stratosfera	s t r a t o s f ěː r a
strava	s t r ǎː ʋ a
strašan	s t r ǎː ʃ a n
strašilo	s t r â ʃ i l o
strašiti	s t r â ʃ i t i
strašno	s t r ǎː ʃ n o
straža	s t r âː ʒ a
stražar	s t r ǎ ʒ aː r
stražnjica	s t r â ʒ ɲ i t͡s a
streha	s t r ě x a
strejtaš	s t r ê j t aː ʃ
strelica	s t r ě l i t͡s a
strepiti	s t r ěː p i t i
strepnja	s t r ěː p ɲ a
stres	s t r ê s
strip	s t r î p
striper	s t r î p e r
striptiz	s t r ǐ p t iː z
striptizer	s t r i p t ǐ z eː r
striptizeta	s t r i p t i z ě t a
strizati	s t r ǐː z a t i
strići	s t r î t͡ɕ i
stričev	s t r ǐː t͡ʃ e ʋ
strm	s t r̂ m
strmina	s t r m ǐ n a
strmo	s t r̂ m o
strmoglavce	s t r̩ m ǒ ɡ l a ʋ t͡s eː
strmoglavo	s t r m ǒ ɡ l a ʋ o
strog	s t r ô ɡ
strogo	s t r ô ɡ o
stroj	s t r ôː j
strojnica	s t r ǒː j n i t͡s a
strojopis	s t r ô j o p iː s
strpeti	s t řː p e t i
strpjeti	s t řː p j e t i
strpljenje	s t r p ʎ ěː ɲ e
strpljiv	s t ř p ʎ i ʋ
strpljivo	s t ř p ʎ i ʋ o
strpljivost	s t ř p ʎ i ʋ oː s t
strugati	s t r ǔː ɡ a t i
strugnuti	s t r û ɡ n u t i
struk	s t r ûː k
struka	s t r û k a
struktura	s t r u k t ǔː r a
stručan	s t r û t͡ʃ a n
stručnjak	s t r û t͡ʃ ɲ aː k
stručno	s t r û t͡ʃ n o
strvina	s t ř ʋ i n a
strvinar	s t ř ʋ i n aː r
stub	s t ûː b
stuba	s t û b a
studenac	s t u d ěː n a t͡s
studeni	s t ǔ d e n iː
student	s t ǔ d e n t
studij	s t ûː d iː j
studija	s t ûː d i j a
studirati	s t u d ǐː r a t i
stup	s t ûː p
stupa	s t û p a
stupac	s t ǔː p a t͡s
stupati	s t ǔː p a t i
stupiti	s t ǔː p i t i
stupić	s t ǔ p i t͡ɕ
stvaran	s t ʋ âː r a n
stvarati	s t ʋ ǎː r a t i
stvarno	s t ʋ âː r n o
stvor	s t ʋ ô r
stvorenje	s t ʋ o r ěː ɲ e
stvoriti	s t ʋ ǒ r i t i
subliman	s û b l iː m a n
subota	s ǔ b o t a
subotnji	s ǔ b o t ɲ iː
sud	s ûː d
sudac	s ǔː d a t͡s
sudanski	s ǔ d a n s k iː
sudar	s û d aː r
sudba	s ǔ d b a
sudbina	s û d b i n a
sudbonosan	s u d b ǒ n o s a n
sudbonosno	s u d b ǒ n o s n o
sudbonosnost	s u d b ǒ n o s n oː s t
sudelovati	s ǔ d e l o ʋ a t i
sudeonica	s u d e ǒ n i t͡s a
sudeonik	s u d e ǒ n iː k
sudionica	s u d i ǒ n i t͡s a
sudionik	s u d i ǒ n iː k
suditi	s ǔː d i t i
sudjelovati	s ǔ d j e l o ʋ a t i
sudopera	s ǔ d o p e r a
sudski	s ǔ d s k iː
sudstvo	s ǔ d s t ʋ o
sudžuk	s ǔ d͡ʒ u k
sufizam	s u f ǐ z a m
sugestija	s u ɡ ě s t i j a
sugestivan	s û ɡ e s t iː ʋ a n
sugestivno	s û ɡ e s t iː ʋ n o
sugestivnost	s u ɡ e s t ǐː ʋ n oː s t
suglasan	s ǔ ɡ l a s a n
suglasnik	s ǔ ɡ l a s n iː k
suglasnički	s ǔ ɡ l a s n i t ʃ k i
suglasnički	s ǔ ɡ l a s n i t ʃ k iː
sugovornik	s û ɡ o ʋ o r n iː k
sugrađanin	s ǔ ɡ r a d͡ʑ a n i n
sugrađanka	s ǔ ɡ r a d͡ʑ aː n k a
sugreb	s ǔː ɡ r e b
suh	s ûː x
suhoparan	s û x o p aː r a n
suhoća	s u x ǒ t͡ɕ a
suicid	s u ǐ t͡s iː d
suicidalan	s û i t͡s i d aː l a n
suicidalno	s û i t͡s i d aː l n o
suicidalnost	s u i t͡s i d ǎː l n oː s t
suigrač	s u ǐ ɡ r aː t͡ʃ
sujetan	s ǔ j e t a n
sujeveran	s û j e ʋ eː r a n
sujeverje	s û j e ʋ eː r j e
sujevernost	s u j e ʋ ěː r n oː s t
sujevjeran	s û j e ʋ j eː r a n
sujevjerje	s û j e ʋ j eː r j e
sujevjernost	s u j e ʋ j ěː r n oː s t
sukladan	s ǔ k l a d a n
sukladno	s ǔ k l a d n o
suknja	s û k ɲ a
sukno	s ǔː k n o
sukob	s ǔː k o b
sukobiti	s u k ǒ b i t i
sukobljavati	s u k o b ʎ ǎː ʋ a t i
sukus	s ǔ k u s
sultan	s ǔ l t aː n
sultanat	s u l t ǎ n aː t
sultanstvo	s u l t ǎː n s t ʋ o
sulud	s û l uː d
sulundar	s u l ǔ n d aː r
suma	s û m a
sumaglica	s ǔ m a ɡ l i t͡s a
sumanut	s ǔ m aː n uː t
sumerski	s ǔ m eː r s k iː
sumnja	s ǔː m ɲ a
sumnjati	s ǔː m ɲ a t i
sumnjiv	s ǔ m ɲ i ʋ
sumnjivac	s ǔ m ɲ i ʋ a t͡s
sumnjivo	n e s ǔ m ɲ i ʋ
sumnjičav	s ǔ m ɲ i t͡ʃ a ʋ
sumnjičavo	s ǔ m ɲ i t͡ʃ a ʋ o
sumnjičavost	s ǔ m ɲ i t͡ʃ a ʋ oː s t
sumnjičiti	s ǔ m ɲ i t͡ʃ i t i
sumoran	s û m oː r a n
sumorno	s û m oː r n o
sumpor	s ûː m p o r
sumrak	s û m r aː k
sunce	s ûː n t͡s e
suncobran	s û n t͡s o b r aː n
suncostaj	s û n t͡s o s t aː j
sunovrat	s û n o ʋ r aː t
sunuti	s ǔː n u t i
sunčanik	s u n t͡ʃ ǎ n iː k
sunčati	s ǔ n t͡ʃ a t i
sunđer	s ǔ n d͡ʑ e r
suočavati	s u o t͡ʃ ǎː ʋ a t i
suočiti	s u ǒ t͡ʃ i t i
sup	s û p
supa	s û p a
suparnik	s ǔ p aː r n iː k
superioran	s û p e r i oː r a n
superiorno	s û p e r i oː r n o
superiornost	s u p e r i ǒː r n oː s t
superlativ	s û p e r l a t iː ʋ
superlativan	s û p e r l a t iː ʋ a n
supernova	s u p e r n ôː ʋ a
supersoničan	s u p e r s ǒ n i t͡ʃ a n
supervizija	s u p e r ʋ ǐː z i j a
supervizor	s û p e r ʋ iː z o r
suprotan	s ǔ p r o t a n
suprotstaviti	s u p r ǒ t s t a ʋ i t i
suprotstavljati	s u p r ǒ t s t a ʋ ʎ a t i
suprug	s û p r u ɡ
supstanca	s u p s t ǎ n t͡s a
supstancija	s u p s t ǎ n t͡s i j a
supstitucija	s u p s t i t ǔː t͡s i j a
supstrat	s ǔ p s t r aː t
suptilan	s û p t iː l a n
suptilno	s û p t iː l n o
sur	s ûː r
surađivati	s u r a d͡ʑ ǐː ʋ a t i
surjekcija	s u r j ě k t͡s i j a
surla	s ûː r l a
surogat	s û r o ɡ aː t
surov	s ǔ r o ʋ
surovo	s ǔ r o ʋ o
surovost	s ǔ r o ʋ oː s t
surutka	s û r u t k a
survati	s ǔ r ʋ a t i
survavati	s u r ʋ ǎː ʋ a t i
sused	s ǔː s e d
susedni	s ǔː s e d n iː
susjed	s ǔː s j e d
susjedni	s ǔː s j e d n iː
suspenzija	s u s p ě n z i j a
susresti	s ǔ s r e s t i
susret	s ǔ s r e t
susretati	s ǔ s r e t a t i
susretljiv	s u s r ě t ʎ i ʋ
susretljivo	s u s r ě t ʎ i ʋ o
susretljivost	s u s r ě t ʎ i ʋ oː s t
sustajati	s ǔ s t a j a t i
sustanar	s û s t a n aː r
sustanarka	s û s t a n aː r k a
sustati	s ǔ s t a t i
sustav	s ǔː s t a ʋ
sustavan	s ǔː s t aː ʋ a n
sustavno	s ǔː s t aː ʋ n o
sustignuti	s ǔ s t i ɡ n u t i
sustizati	s ǔ s t i z a t i
sustići	s ǔ s t i t͡ɕ i
sutkinja	s û t k i ɲ a
suton	s ǔː t o n
sutra	s û t r a
sutradan	s u t r ǎ d aː n
sutrašnji	s ǔ t r a ʃ ɲ iː
sutrašnjica	s ǔ t r a ʃ ɲ i t͡s a
suv	s ûː ʋ
suvenir	s u ʋ ě n iː r
suveren	s u ʋ ě r eː n
suveren	s ǔ ʋ e r e n
suverenitet	s u ʋ e r e n ǐ t eː t
suvereno	s ǔ ʋ e r e n o
suverenost	s ǔ ʋ e r e n oː s t
suvisao	s ǔ ʋ i s a o
suvislo	s ǔ ʋ i s l o
suvislost	s ǔ ʋ i s l oː s t
suvišan	s û ʋ iː ʃ a n
suviše	s û ʋ i ʃ eː
suvišno	s û ʋ iː ʃ n o
suvlasnica	s ǔ ʋ l aː s n i t͡s a
suvlasnik	s ǔ ʋ l aː s n iː k
suvozač	s û ʋ o z aː t͡ʃ
suvremen	s ǔ ʋ r e m e n
suvremenik	s ǔ ʋ r e m e n iː k
suza	s û z a
suzan	s û z a n
suzavac	s û z a ʋ a t͡s
suzbijati	s u z b ǐː j a t i
suzbiti	s ǔ z b i t i
suzdržati	s u z d ř ʒ a t i
suzdržavati	s u z d r ʒ ǎː ʋ a t i
suzica	s û z i t͡s a
suziti	s û z i t i
suziti	s ǔː z i t i
suzivati	s u z ǐː ʋ a t i
sućut	s û t͡ɕ uː t
suđe	s ǔ d͡ʑ e
suđenje	s ǔː d͡ʑ eː ɲ e
suša	s ûː ʃ a
suši	s û ʃ i
sušica	s ǔ ʃ i t͡s a
sušiti	s ǔː ʃ i t i
sušti	s ûː ʃ t iː
suština	s u ʃ t ǐ n a
sužanjski	s ûː ʒ a ɲ s k i
sužanjski	s ûː ʒ a ɲ s k iː
sužanjstvo	s ûː ʒ a ɲ s t ʋ o
sužavati	s u ʒ ǎː ʋ a t i
sužen	s ûː ʒ e n
suživot	s û ʒ i ʋ o t
svadba	s ʋ ǎ d b a
svadbeni	s ʋ ǎ d b e n iː
svadljiv	s ʋ ǎ d ʎ i ʋ
svadljivac	s ʋ ǎ d ʎ i ʋ a t͡s
svadljivo	s ʋ ǎ d ʎ i ʋ o
svadljivost	s ʋ ǎ d ʎ i ʋ oː s t
svagda	s ʋ â ɡ d a
svagdanji	s ʋ ǎ ɡ d a ɲ iː
svagdašnji	s ʋ ǎ ɡ d a ʃ ɲ iː
svagdašnjica	s ʋ ǎ ɡ d a ʃ ɲ i t͡s a
svagde	s ʋ â ɡ d e
svagdje	s ʋ â ɡ d j e
svak	s ʋ â k
svak	s ʋ âː k
svakakav	s ʋ â k a k a ʋ
svakako	s ʋ â k aː k o
svaki	s ʋ â k iː
svakidašnji	s ʋ â k i d a ʃ ɲ iː
svakidašnjica	s ʋ â k i d a ʃ ɲ i t͡s a
svako	s ʋ â k o
svakodnevan	s ʋ â k o d n eː ʋ a n
svakodnevica	s ʋ â k o d n eː ʋ i t͡s a
svakojak	s ʋ â k o j aː k
svakoji	s ʋ â k o j iː
svanuti	s ʋ ǎ n u t i
svanuće	s ʋ a n ǔː t͡ɕ e
svariti	s ʋ ǎː r i t i
svarivati	s ʋ a r ǐː ʋ a t i
svatko	s ʋ â t k o
svačiji	s ʋ â t͡ʃ i j iː
svađa	s ʋ â d͡ʑ a
svađati	s ʋ â d͡ʑ a t i
svašta	s ʋ â ʃ t a
sve	s ʋ ê
svedodžba	s ʋ e d ǒ d͡ʒ b a
svedočanstvo	s ʋ e d o t͡ʃ ǎː n s t ʋ o
svedočiti	s ʋ e d ǒ t͡ʃ i t i
svejedno	s ʋ e j ě d n o
svekar	s ʋ ě k a r
svekrva	s ʋ ê k r ʋ a
svemir	s ʋ ê m iː r
svemirac	s ʋ e m ǐː r a t͡s
svemiroplov	s ʋ ê m iː r o p l oː ʋ
svemirski	s ʋ ê m iː r s k iː
svemoguć	s ʋ ê m o ɡ uː t͡ɕ
svemoć	s ʋ ê m oː t͡ɕ
svemoćan	s ʋ ê m o t͡ɕ a n
svemoćno	s ʋ ê m o t͡ɕ n o
svemoćnost	s ʋ ê m o t͡ɕ n oː s t
sveobuhvatan	s ʋ e o b ǔ x ʋ a t a n
svesno	s ʋ ê s n o
svesrdan	s ʋ ě s r d a n
svesrdno	s ʋ ě s r d n o
svest	s ʋ êː s t
svestan	s ʋ ê s t a n
svesti	s ʋ ê s t i
svestran	s ʋ ě s t r a n
svet	s ʋ êː t
svetac	s ʋ ěː t a t͡s
svetao	s ʋ ěː t a o
svetica	s ʋ ě t i t͡s a
svetina	s ʋ ě t i n a
svetinja	s ʋ ěː t i ɲ a
svetionik	s ʋ e t i ǒ n iː k
svetioničar	s ʋ e t i ǒ n i t͡ʃ aː r
svetitelj	s ʋ ě t i t e ʎ
svetište	s ʋ ê t iː ʃ t e
svetkovati	s ʋ e t k ǒ ʋ a t i
svetkovina	s ʋ ě t k o ʋ i n a
svetlo	s ʋ ê t l o
svetlomer	s ʋ ê t l o m eː r
svetlucati	s ʋ e t l ǔ t͡s a t i
svetlucav	s ʋ e t l ǔ t͡s a ʋ
svetogrdan	s ʋ ê t o ɡ rː d a n
svetogrdno	s ʋ ê t o ɡ rː d n o
svetski	s ʋ ě t s k i
svetski	s ʋ ě t s k iː
sveukupan	s ʋ e ǔ k u p a n
sveza	s ʋ ê z a
svezak	s ʋ ê z a k
svezati	s ʋ ěː z a t i
svezivati	s ʋ e z ǐː ʋ a t i
sveznajuć	s ʋ ě z n a j uː t͡ɕ
sveća	s ʋ ěː t͡ɕ a
svećar	s ʋ ě t͡ɕ aː r
svećica	s ʋ ě t͡ɕ i t͡s a
svečan	s ʋ ě t͡ʃ a n
svečano	s ʋ ě t͡ʃ a n o
svečanost	s ʋ ě t͡ʃ a n oː s t
sveščić	s ʋ ê ʃ t͡ʃ i t͡ɕ
svež	s ʋ ê ʒ
sveže	s ʋ ê ʒ e
svežina	s ʋ e ʒ ǐ n a
svib	s ʋ îː b
svibanj	s ʋ îː b a ɲ
svibanjski	s ʋ îː b a ɲ s k iː
svideti	s ʋ î d e t i
svidjeti	s ʋ î d j e t i
svijest	s ʋ i j êː s t
svijet	s ʋ j êː t
svijetao	s ʋ j ěː t a o
svijeća	s ʋ i j ěː t͡ɕ a
svilast	s ʋ î l a s t
svilen	s ʋ ǐ l e n
svinja	s ʋ ǐː ɲ a
svinjac	s ʋ ǐː ɲ a t͡s
svinjar	s ʋ ǐ ɲ aː r
svinjarija	s ʋ i ɲ ǎ r i j a
svinjetina	s ʋ ǐ ɲ e t i n a
svinjski	s ʋ ǐ ɲ s k iː
svirala	s ʋ ǐ r a l a
svirati	s ʋ ǐː r a t i
svirač	s ʋ ǐ r aː t͡ʃ
svirački	s ʋ ǐ r aː t ʃ k i
svirački	s ʋ ǐ r aː t ʃ k iː
svirep	s ʋ ǐ r e p
svirepo	s ʋ ǐ r e p o
svirepost	s ʋ ǐ r e p oː s t
svirka	s ʋ îː r k a
svitak	s ʋ ǐː t a k
svitanje	s ʋ î t aː ɲ e
svitati	s ʋ î t a t i
svizac	s ʋ ǐː z a t͡s
sviđati	s ʋ ǐː d͡ʑ a t i
svjedodžba	s ʋ j e d ǒ d͡ʒ b a
svjedočanstvo	s ʋ j e d o t͡ʃ ǎː n s t ʋ o
svjedočiti	s ʋ j e d ǒ t͡ʃ i t i
svjesno	s ʋ j ê s n o
svjestan	s ʋ j ê s t a n
svjetina	s ʋ j ě t i n a
svjetionik	s ʋ j e t i ǒ n iː k
svjetioničar	s ʋ j e t i ǒ n i t͡ʃ aː r
svjetlo	s ʋ j ê t l o
svjetlomjer	s ʋ j ê t l o m j eː r
svjetlopis	s ʋ j ê t l o p iː s
svjetlucati	s ʋ j e t l ǔ t͡s a t i
svjetlucav	s ʋ j e t l ǔ t͡s a ʋ
svjetski	s ʋ j ě t s k i
svjetski	s ʋ j ě t s k iː
svjećar	s ʋ j ě t͡ɕ aː r
svjećica	s ʋ j ě t͡ɕ i t͡s a
svjež	s ʋ j ê ʒ
svježe	s ʋ j ê ʒ e
svježina	s ʋ j e ʒ ǐ n a
svladati	s ʋ l ǎː d a t i
svladavati	s ʋ l a d ǎː ʋ a t i
svlačionica	s ʋ l a t͡ʃ i ǒː n i t͡s a
svlačiti	s ʋ l ǎː t͡ʃ i t i
svod	s ʋ ô d
svoditi	s ʋ ǒ d i t i
svodljiv	s ʋ ǒ d ʎ i ʋ
svodnik	s ʋ ô d n iː k
svojedobno	s ʋ ô j e d o b n o
svojeglav	s ʋ o j ě ɡ l a ʋ
svojeglavo	s ʋ o j ě ɡ l a ʋ o
svojeglavost	s ʋ o j ě ɡ l a ʋ oː s t
svojevoljan	s ʋ ô j e ʋ oː ʎ a n
svojevoljno	s ʋ ô j e ʋ oː ʎ n o
svojevremeno	s ʋ ô j e ʋ r e m e n o
svojina	s ʋ o j ǐ n a
svojstven	s ʋ ǒ j s t ʋ e n
svojstvo	s ʋ ǒː j s t ʋ o
svojta	s ʋ ôː j t a
svota	s ʋ ô t a
svrab	s ʋ r âː b
svraka	s ʋ r â k a
svratiti	s ʋ r ǎː t i t i
svratište	s ʋ r â t iː ʃ t e
svraćati	s ʋ r â t͡ɕ a t i
svračji	s ʋ r â t͡ʃ j iː
svrbeti	s ʋ ř b e t i
svrbež	s ʋ řː b e ʒ
svrbjeti	s ʋ ř b j e t i
svrdlo	s ʋ r̂ d l o
svrgnuti	s ʋ r̂ ɡ n u t i
svrha	s ʋ ř x a
svrhovit	s ʋ r x ǒ ʋ i t
svrhovito	s ʋ r x ǒ ʋ i t o
svrhovitost	s ʋ r x ǒ ʋ i t oː s t
svrsishodan	s ʋ r̂ s i s x o d a n
svrsishodno	s ʋ r̂ s i s x o d n o
svrsishodnost	s ʋ r̂ s i s x o d n oː s t
svrstati	s ʋ ř s t a t i
svrstavati	s ʋ r s t ǎː ʋ a t i
svršavati	s ʋ r ʃ ǎː ʋ a t i
svršeni	s ʋ r̂ː ʃ e n iː
svršetak	s ʋ r ʃ ěː t a k
svršiti	s ʋ řː ʃ i t i
svud	s ʋ û d
svuda	s ʋ ǔ d a
svugde	s ʋ û ɡ d e
svugdje	s ʋ û ɡ d j e
svukud	s ʋ û k u d
svukuda	s ʋ û k u d a
svući	s ʋ ûː t͡ɕ i
t	t
