ഁ	◌̃
രവി	ɾ ɐ ʋ i
രശീതി	ɾ ä ʃ iː d̪ i
രശ്മി	ɾ ɐ ʃ m i
രസം	ɾ ɐ s ɐ m
രസതന്ത്രം	ɾ ä s ä d̪ ä n t̪ ɾ ɐ m
രസാതലം	ɾ ɐ s aː d̪ ɐ l ɐ m
രസീത്	ɾ ɐ s iː d̪ ə̆
രഹസ്യ	ɾ ɐ h ɐ s j ɐ
രഹസ്യം	ɾ ɐ h ɐ s j ɐ m
രഹിത	ɾ ɐ h i d̪ ɐ
രാക്ഷസൻ	ɾ aː k ʂ ɐ s ɐ n
രാജ	ɾ aː d͡ʒ ɐ
രാജകീയ	ɾ aː ɟ a k iː j a
രാജത്വം	ɾ aː d͡ʒ ɐ t̪ ʋ ɐ m
രാജസ്ഥാൻ	ɾ aː d͡ʒ ɐ s t̪ʰ aː n
രാജാവ്	ɾ aː d͡ʒ aː ʋ ə̆
രാജി	ɾ aː d͡ʒ i
രാജ്ഞി	ɾ aː d͡ʒ ɲ i
രാജ്യം	ɾ aː d͡ʒ j ɐ m
രാജ്യദ്രോഹം	ɾ aː d͡ʒ j ɐ d̪ r oː h ɐ m
രാജൻ	ɾ aː d͡ʒ ɐ n
രാണുവം	ɾ aː ɳ u ʋ a m
രാത്രി	ɾ aː t̪ r i
രാമായണം	ɾ aː m aː j ɐ ɳ ɐ m
രാവിലെ	ɾ aː ʋ i l e
രാവ്	ɾ aː ʋ ə̆
രാഷ്ട്രീയം	ɾ aː ʂ ʈ r iː j a m
രാസ	ɾ aː s ɐ
രാസവളം	ɾ aː s a ʋ a ɭ a m
രാസവസ്തു	ɾ aː s ɐ ʋ ɐ s t̪ u
രാസഷണ്ഡീകരണം	ɾ aː s ɐ ʂ ɐ ɳ ɖ iː ɡ ɐ ɾ ɐ ɳ ɐ m
രീതി	ɾ iː d̪ i
രുചി	ɾ u d͡ʒ i
രുധിരം	ɾ u d̪ʱ i ɾ ɐ m
രൂപ	ɾ uː b ɐ
രൂപഘടന	ɾ uː b ɐ ɡʱ ɐ ɖ ɐ n ɐ
രൂപീകരണം	ɾ uː b iː ɡ ɐ ɾ ɐ ɳ ɐ m
രേതസ്	ɾ eː d̪ ɐ s ə̆
രേഫം	ɾ eː f ɐ m
രോഗം	ɾ oː ɡ ɐ m
രോമം	ɾ oː m ɐ m
രോഷം	ɾ oː ʂ a m
രൗദ്രം	ɾ ɐ u̯ d̪ r ɐ m
റ	r
റ	r ɐ
റ	ɾ ɐ
റംബൂട്ടാൻ	r ɐ m b uː ʈ ʈ aː n
റംസാൻ	r ɐ m s aː n
റജിസ്ത്ര്	r ɐ d͡ʒ i s t̪ ɾ ɨ̆
റദ്ദാക്കുക	r ɐ d̪ d̪ aː k k u ɡ ɐ
റദ്ദാക്കൽ	r ɐ d̪ d̪ aː k k ɐ l
റദ്ദ്	r ɐ d̪ d̪ ə̆
റബ്ബാൻ	r ɐ b b aː n
റബ്ബർ	r ɐ b b ɐ r
റബർ	r ɐ b ɐ r
റമദാൻ	r ɐ m ɐ d̪ aː n
റവ	r ɐ ʋ ɐ
റഷ്യ	r ɐ ʂ j ɐ
റഷ്യൻ	r ɐ ʂ j ɐ n
റഹ്മാൻ	r ä h m äː n
റാണി	r aː ɳ i
റാന്തൽ	r aː n̪ d̪ ɐ l
റാവുത്തർ	r aː ʋ u t̪ t̪ ɐ r
റിക്കാട്ട്	r i kː äː ʈː ɨ̆
റിപ്പോർട്ട്	r i pː oː r ʈː ɨ̆
റിമോട്ട്	r i m oː ʈː ɨ̆
റിഹേഴ്സൽ	r i h eː ɻ s ɐ l
റീസൈക്ലിങ്	r iː s ä i k ɭ i ŋ ɨ̆
റൂം	r uː m
റൂളി	r uː ɭ i
റെക്കോഡ്	r e kː oː ɖ ɨ̆
റെഡി	r e ɖ i
റെഡിയാവുക	r e ɖ i j äː ʋ u ɡ v
റെഡ്	r e ɖ ɨ̆
റെറ്റിന	r e t i n ä
റേഡിയോ	r eː ɖ i j oː
റൊക്കം	r o k k ɐ m
റൊട്ടി	r o ʈ ʈ i
റോക്കറ്റ്	r oː kː ɐ t ɨ̆
റോഡ്	r oː ɖ ɨ̆
റ്റ	t t ɐ
റ്റാറ്റാ	t t aː t t aː
റൗണ്ട്	r ä u ɳ ʈ ɨ̆
റൺ	r ä ɳ
ല	l
ല	l ɐ
ലംഘനം	l ɐ ŋ ɡʱ ɐ n ɐ m
ലംഘിക്കുക	l ɐ ŋ ɡʱ i k k u ɡ ɐ
ലക്ഷം	l ɐ k ʂ ɐ m
ലക്ഷണം	l ɐ k ʂ ɐ ɳ ɐ m
ലക്ഷദ്വീപ്	l ɐ k ʂ ɐ d̪ ʋ iː b ə̆
ലക്ഷ്മി	l ɐ k ʂ m i
ലക്ഷ്യം	l ɐ k ʂ j ɐ m
ലഘു	l ɐ ɡʱ u
ലഘുഭക്ഷണം	l a ɡʱ u bʱ a k ʂ a ɳ a m
ലഘുശൂലം	l ɐ ɡʱ u ʃ uː l ɐ m
ലങ്ക	l ɐ ŋ ɡ ɐ
ലത്തീൻ	l ɐ t̪ t̪ iː n
ലദാഖ്	l ɐ d̪ aː kʰ ə̆
ലന്ത	l ɐ n̪ d̪ ɐ
ലഭിക്കുക	l ɐ bʱ i k k u ɡ ɐ
ലഭ്യം	l ɐ bʱ j ɐ m
ലഭ്യത	l ɐ bʱ j ɐ d̪ ɐ
ലയനം	l ɐ j ɐ n ɐ m
ലയിക്കുക	l ɐ j i k k u ɡ ɐ
ലളിത	l ɐ ɭ i d̪ ɐ
ലളിതം	l ɐ ɭ i d̪ ɐ m
ലളിതമായ	l ɐ ɭ i d̪ ɐ m aː j ɐ
ലളിതമായി	l ɐ ɭ i d̪ ɐ m aː j i
ലവണം	l ɐ ʋ ɐ ɳ ɐ m
ലഹരിപാനീയം	l ɐ h ɐ ɾ i b aː n iː j ɐ m
ലഹള	l ɐ h ɐ ɭ ɐ
ലാഘവം	l aː ɡʱ a ʋ a m
ലാത്തി	l aː t̪ t̪ i
ലാപ്ടോപ്പ്	l äː p ʈ oː pː ɨ̆
ലാഭം	l aː bʱ ɐ m
ലായകം	l aː j a k a m
ലായനി	l aː j a n i
ലാവണ്യം	l aː ʋ ɐ ɳ j ɐ m
ലിംഗം	l i ŋ ɡ ɐ m
ലിഖിതം	l i kʰ i d̪ ɐ m
ലിഥിയം	l i t̪ʰ i j a m
ലിപി	l i b i
ലിപിമാറ്റം	l i b i m aː t t ɐ m
ലിപ്യന്തരണം	l i p j ɐ n̪ d̪ ɐ ɾ ɐ ɳ ɐ m
ലിസ്റ്റ്	l i s t ɨ̆
ലീസ്ത്	l iː s t̪ ɨ̆
ലുബ്ധത	l u b d̪ʱ ɐ d̪ ɐ
ലുബ്ധൻ	l u b d̪ʱ ɐ n
ലേഖനം	l eː kʰ a n a m
ലേപനം	l eː b ɐ n ɐ m
ലേറ്റ്	l eː t ɨ̆
ലേലം	l eː l ɐ m
ലേശം	l eː ʃ a m
ലൈംഗിക	l ɐ i̯ ŋ ɡ i ɡ ɐ
ലൈംഗികം	l ɐ i̯ ŋ ɡ i ɡ ɐ m
ലൈംഗികത	l ɐ i̯ ŋ ɡ i ɡ ɐ d̪ ɐ
ലൈസൻസ്	l ä i s ɐ n s ɨ̆
ലോകം	l oː ɡ ɐ m
ലോചനം	l oː d͡ʒ ɐ n ɐ m
ലോപനം	l oː b ɐ n ɐ m
ലോഭം	l oː bʱ a m
ലോഭി	l oː bʱ i
ലോറി	l oː r i
ലോഷൻ	l oː ʂ ɐ n
ലോഹനാശനം	l oː h ɐ n aː ʃ ɐ n ɐ m
ലോൺ	l oː ɳ
ല്ല	l l a
ള	ɭ
ള	ɭ ɐ
ളാക്കൂർ	ɭ aː k k uː r
ളോഹ	ɭ oː h ɐ
ഴ	ɻ
ഴ	ɻ ɐ
വ	ʋ
വ	ʋ ɐ
വംശം	ʋ ɐ m ʃ ɐ m
വംശഹത്യ	ʋ a m ʃ a h a t̪ j a
വകുപ്പ്	ʋ ɐ ɡ u p p ə̆
വക്കാലത്ത്	ʋ ɐ k k aː l ɐ t̪ t̪ ə̆
വക്കീൽ	ʋ ɐ k k iː l
വക്ക്	ʋ ɐ k k ə̆
വക്താവ്	ʋ a k t̪ aː ʋ ə
വക്രത	ʋ ɐ k r ɐ d̪ ɐ
വചനം	ʋ ɐ d͡ʒ ɐ n ɐ m
വജ്രം	ʋ ɐ d͡ʒ r ɐ m
വജ്രായുധം	ʋ ɐ d͡ʒ r aː j u d̪ʱ ɐ m
വഞ്ചി	ʋ ɐ ɲ d͡ʒ i
വഞ്ചിക്കുക	ʋ ɐ ɲ d͡ʒ i k k u ɡ ɐ
വഞ്ചിപ്പാട്ട്	ʋ ɐ ɲ d͡ʒ i p p aː ʈ ʈ ə̆
വട	ʋ ɐ ɖ ɐ
വടം	ʋ ɐ ɖ ɐ m
വടക്ക്	ʋ ɐ ɖ ɐ k k ə̆
വടക്കൻ	ʋ ɐ ɖ ɐ k k ɐ n
വടി	ʋ ɐ ɖ i
വടുകൻ	ʋ ɐ ɖ u ɡ ɐ n
വട്ടം	ʋ ɐ ʈ ʈ ɐ m
വട്ടത്തിലുള്ള	ʋ ɐ ʈ ʈ ɐ t̪ t̪ i l u ɭ ɭ ɐ
വട്ടമേശ	ʋ ɐ ʈ ʈ ɐ m eː ʃ ɐ
വട്ടി	ʋ ɐ ʈ ʈ i
വട്ടെഴുത്ത്	ʋ ɐ ʈ ʈ e ɻ u t̪ t̪ ə̆
വട്ട്	ʋ ɐ ʈ ʈ ə̆
വണക്കം	ʋ ɐ ɳ ɐ k k ɐ m
വണങ്ങുക	ʋ ɐ ɳ ɐ ŋ ŋ u ɡ ɐ
വണ്ടി	ʋ ɐ ɳ ɖ i
വണ്ട്	ʋ ɐ ɳ ɖ ə̆
വണ്ണ	ʋ ɐ ɳ ɳ ɐ
വണ്ണം	ʋ ɐ ɳ ɳ ɐ m
വണ്ണമുള്ള	ʋ ɐ ɳ ɳ ɐ m u ɭ ɭ ɐ
വത്സരം	ʋ ɐ t̪ s ɐ ɾ ɐ m
വദനം	ʋ a d̪ a n a m
വധം	ʋ ɐ d̪ʱ ɐ m
വധിക്കുക	ʋ ɐ d̪ʱ i k k u ɡ ɐ
വധു	ʋ ɐ d̪ʱ u
വനജ	ʋ ɐ n ɐ d͡ʒ ɐ
വന്ദനം	ʋ ɐ n̪ d̪ ɐ n ɐ m
വന്ദിക്കുക	ʋ ɐ n̪ d̪ i k k u ɡ ɐ
വന്യ	ʋ ɐ n j ɐ
വമ്പൻ	ʋ ɐ m b ɐ n
വയനാട്	ʋ ɐ j ɐ n aː ɖ ə̆
വയറിളക്കം	ʋ ɐ j ɐ r i ɭ ɐ k k ɐ m
വയലറ്റ്	ʋ ɐ j ɐ l ɐ t t ə̆
വയസ്സ്	ʋ ɐ j ɐ s s ə̆
വയസ്സൻ	ʋ ɐ j ɐ s s ɐ n
വയോധികൻ	ʋ ɐ j oː d̪ʱ i ɡ ɐ n ə̆
വയ്ക്കുക	ʋ ɐ j k k u ɡ ɐ
വയ്യ	ʋ ɐ j j ɐ
വയ്യാത്ത	ʋ ɐ j j aː t̪ t̪ ɐ
വയ്യായ്ക	ʋ ɐ j j aː j ɡ ɐ
വയർ	ʋ ɐ j ɐ r
വയൽ	ʋ ɐ j ɐ l
വര	ʋ ɐ ɾ ɐ
വരണ്ട	ʋ ɐ ɾ ɐ ɳ ɖ ɐ
വരമ്പ്	ʋ ɐ ɾ ɐ m b ə̆
വരയാട്	ʋ ɐ ɾ ɐ j aː ɖ ə̆
വരയ്ക്കുക	ʋ ɐ ɾ ɐ j k k u ɡ ɐ
വരളുക	ʋ ɐ ɾ ɐ ɭ u ɡ ɐ
വരവേല്പ്	ʋ ɐ ɾ ɐ ʋ eː l p ə̆
വരാന്ത	ʋ ɐ ɾ aː n̪ d̪ ɐ
വരാളം	ʋ ɐ ɾ aː ɭ ɐ m
വരാഹം	ʋ ɐ ɾ aː h ɐ m
വരാൽ	ʋ ɐ ɾ aː l
വരി	ʋ ɐ ɾ i
വരിക	ʋ ɐ ɾ i ɡ ɐ
വരും	ʋ ɐ ɾ u m
വരുക	ʋ ɐ ɾ u ɡ ɐ
വരുത്തുക	ʋ ɐ ɾ u t̪ t̪ u ɡ ɐ
വരെ	ʋ ɐ ɾ e
വറുക്കുക	ʋ ɐ r u k k u ɡ ɐ
വറ്റ	ʋ ɐ t t ɐ
വല	ʋ ɐ l ɐ
വലത്	ʋ ɐ l ɐ d̪ ə̆
വലി	ʋ ɐ l i
വലിക്കുക	ʋ ɐ l i k k u ɡ ɐ
വലിക്ക്	ʋ ɐ l i k k ə̆
വലിയ	ʋ ɐ l i j ɐ
വലുപ്പം	ʋ ɐ l u p p ɐ m
വല്യ	ʋ ɐ l j ɐ
വല്യച്ഛൻ	ʋ ɐ l j ɐ t͡ʃ t͡ʃʰ ɐ n
വല്യമ്മ	ʋ ɐ l j ɐ m m ɐ
വല്ലഭൻ	ʋ ɐ l l ɐ bʱ ɐ n
വള	ʋ ɐ ɭ ɐ
വളക്കുക	ʋ ɐ ɭ ɐ k k u ɡ ɐ
വളയം	ʋ ɐ ɭ ɐ j ɐ m
വളയുക	ʋ ɐ ɭ ɐ j u ɡ ɐ
വളയ്ക്കുക	ʋ ɐ ɭ ɐ j k k u ɡ ɐ
വളരുക	ʋ ɐ ɭ ɐ ɾ u ɡ ɐ
വളരെ	ʋ ɐ ɭ ɐ ɾ e
വളവ്	ʋ ɐ ɭ ɐ ʋ ə̆
വളി	ʋ ɐ ɭ i
വള്ളം	ʋ ɐ ɭ ɭ ɐ m
വള്ളംകളി	ʋ ɐ ɭ ɭ ɐ ŋ k ɐ ɭ i
വള്ളപ്പാട്ട്	ʋ ɐ ɭ ɭ ɐ p p aː ʈ ʈ ə̆
വള്ളി	ʋ ɐ ɭ ɭ i
വളർച്ച	ʋ ɐ ɭ ɐ r t͡ʃ t͡ʃ ɐ
വളർത്തുക	ʋ ɐ ɭ ɐ r t̪ t̪ u ɡ ɐ
വഴക്കം	ʋ a ɻ a kː a m
വഴക്കുക	ʋ ɐ ɻ ɐ k k u ɡ ɐ
വഴങ്ങുക	ʋ ɐ ɻ ɐ ŋ ŋ u ɡ ɐ
വഴി	ʋ ɐ ɻ i
വഴിതെറ്റിക്കുക	ʋ ä ɻ i d̪ e t i kʲː u ɡ ä
വഴിപാട്	ʋ ɐ ɻ i b aː ɖ ə̆
വഴുതന	ʋ ɐ ɻ u d̪ ɐ n ɐ
വഴുതനങ്ങ	ʋ ɐ ɻ u d̪ ɐ n ɐ ŋ ŋ ɐ
വഴുവ	ʋ ɐ ɻ u ʋ ɐ
വവ്വാല്	ʋ ɐ ʋː äː l ɨ̆
വവ്വാൽ	ʋ ɐ ʋ ʋ aː l
വശം	ʋ ɐ ʃ ɐ m
വശീകരണം	ʋ ɐ ʃ iː ɡ ɐ ɾ ɐ ɳ ɐ m
വശീകരിക്കുക	ʋ ɐ ʃ iː ɡ ɐ ɾ i k k u ɡ ɐ
വഷളാകുക	ʋ ɐ ʂ ɐ ɭ aː ɡ u k ɐ
വഷൾ	ʋ ɐ ʂ ɐ ɭ
വസതി	ʋ ɐ s ɐ d̪ i
വസന്തം	ʋ ɐ s ɐ n̪ d̪ ɐ m
വസുമതി	ʋ ɐ s u m ɐ d̪ i
വസൂരി	ʋ ɐ s uː ɾ i
വസ്തു	ʋ ɐ s t̪ u
വസ്ത്രം	ʋ ɐ s t̪ r ɐ m
വഹിക്കുക	ʋ ɐ h i k k u ɡ ɐ
വഹ്നി	ʋ ɐ n n i
വാ	ʋ aː
വാക്ക്	ʋ aː k k ə̆
വാക്യഘടന	ʋ aː k j ɐ ɡʱ ɐ ɖ ɐ n ɐ
വാഗ്വാദം	ʋ aː ɡ ʋ aː d̪ a m
വാങ്ങിക്കുക	ʋ aː ŋ ŋ i k k u ɡ ɐ
വാങ്ങുക	ʋ aː ŋ ŋ u ɡ ɐ
വാങ്ങൽ	ʋ aː ŋ ŋ ɐ l
വാങ്മയം	ʋ aː ŋ m ɐ j ɐ m
വാടക	ʋ aː ɖ ɐ ɡ ɐ
വാടുക	ʋ aː ɖ u ɡ ɐ
വാട്ടുക	ʋ aː ʈ ʈ u ɡ ɐ
വാട്ടർ	ʋ äː ʈː ɐ r
വാണം	ʋ äː ɳ ɐ m
വാണിജ്യ	ʋ aː ɳ i ɟ j a
വാണിജ്യം	ʋ aː ɳ i d͡ʒ j ɐ m
വാണിഭം	ʋ aː ɳ i bʱ ɐ m
വാതകം	ʋ aː d̪ a ɡ a m
വാതിൽ	ʋ aː d̪ i l
വാദം	ʋ aː d̪ ɐ m
വാദി	ʋ aː d̪ i
വാദിക്കുക	ʋ aː d̪ i k k u ɡ ɐ
വാദ്യം	ʋ aː d̪ j ɐ m
വാപി	ʋ aː b i
വാപ്പ	ʋ aː p p ɐ
വാപ്പച്ചി	ʋ aː p p ɐ t͡ʃ t͡ʃ i
വാമനൻ	ʋ aː m ɐ n ɐ n
വാമഭാഗം	ʋ aː m a bʱ aː ɡ a m
വായ	ʋ aː j ɐ
വായന	ʋ aː j ɐ n ɐ
വായനശാല	ʋ aː j ɐ n ɐ ʃ aː l ɐ
വായിക്കുക	ʋ aː j i k k u ɡ ɐ
വായു	ʋ aː j u
വായ്	ʋ aː j
വായ്നോക്കുക	ʋ aː j n oː k k u ɡ ɐ
വായ്പ	ʋ aː j b ɐ
വാരം	ʋ aː ɾ ɐ m
വാരാണസി	ʋ aː ɾ aː ɳ ɐ s i
വാരാന്ത്യം	ʋ aː ɾ aː n̪ d̪ j ɐ m
വാരാഹി	ʋ aː ɾ aː h i
വാരുക	ʋ aː ɾ u ɡ ɐ
വാര്യർ	ʋ aː ɾ j ɐ r
വാറണ്ട്	w äː r ɐ ɳ ʈ ɨ̆
വാറന്റ്	w äː r ɐ n d ɨ̆
വാറാണ്ട്	w äː r äː ɳ ʈ ɨ̆
വാറ്റുക	ʋ aː t t u ɡ ɐ
വാലുക	ʋ aː l u ɡ ɐ
വാല്മീകി	ʋ aː l m iː ɡ i
വാളൻപുളി	ʋ äː ɭ ɐ n b u ɭ i
വാഴ	ʋ aː ɻ ɐ
വാഴപ്പഴം	ʋ aː ɻ ɐ p p ɐ ɻ ɐ m
വാഴുക	ʋ aː ɻ u ɡ ɐ
വാവ്	ʋ aː ʋ ə̆
വാസം	ʋ aː s ɐ m
വാസ്തവം	ʋ aː s t̪ a ʋ a m
വാഹനം	ʋ aː h ɐ n ɐ m
വാർക്കുക	ʋ aː r k k u ɡ ɐ
വാർധക്യ	ʋ aː r d̪ʱ ɐ k j ɐ
വാൽ	ʋ aː l
വാൽമാക്രി	ʋ aː l m aː k r i
വാൾ	ʋ aː ɭ
വാൾപേപ്പർ	ʋ äː ɭ p eː pː ɐ r
വികടകവി	ʋ i ɡ ɐ ɖ ɐ ɡ ɐ ʋ i
വികസിക്കുക	ʋ i ɡ ɐ s i k k u ɡ ɐ
വികാരം	ʋ i ɡ aː ɾ ɐ m
വിക്കിനിഘണ്ടു	ʋ i k k i n i ɡʱ ɐ ɳ ɖ u
വിഗ്രഹം	ʋ i ɡ ɾ ɐ h ɐ m
വിഗ്രഹിക്കുക	ʋ i ɡ ɾ ɐ h i k k u ɡ ɐ
വിഘടനം	ʋ i ɡʱ ɐ ɖ ɐ n ɐ m
വിഘടനവാദം	ʋ i ɡʱ a ɖ a n a ʋ aː d̪ a m
വിഘടനവാദി	ʋ i ɡʱ ɐ ɖ ɐ n ɐ ʋ aː d̪ i
വിചക്ഷണൻ	ʋ i d͡ʒ a k ʂ a ɳ a n
വിചാരം	ʋ i d͡ʒ aː ɾ ɐ m
വിജയം	ʋ i d͡ʒ ɐ j ɐ m
വിജ്ഞാന	ʋ i d͡ʒ ɲ aː n ɐ
വിട	ʋ i ɖ ɐ
വിടവ്	ʋ i ɖ ɐ ʋ ə̆
വിടുക	ʋ i ɖ u ɡ ɐ
വിടുകഥ	ʋ i ɖ u ɡ ɐ t̪ʰ ɐ
വിടുകയ്യൻ	ʋ i ɖ u ɡ ɐ j j ɐ n
വിഡ്ഢി	ʋ i ɖ ɖʱ i
വിഡ്ഢിത്തം	ʋ i ɖ ɖʱ i t̪ t̪ ɐ m
വിണ്ടലം	ʋ i ɳ ɖ ɐ l ɐ m
വിണ്ണ്	ʋ i ɳː ɨ
വിതാനം	ʋ i t̪ aː n a m
വിത്ത്	ʋ i t̪ t̪ ə̆
വിദഗ്ധൻ	ʋ i d̪ ɐ ɡ d̪ʱ ɐ n
വിദ്യാഭ്യാസ	ʋ i d̪ j aː bʱ j aː s ɐ
വിദ്യാർഥി	ʋ i d̪ j aː r t̪ʰ i
വിധം	ʋ i d̪ʱ ɐ m
വിധി	ʋ i d̪ʱ i
വിധിക്കുക	ʋ i d̪ʱ i k k u ɡ ɐ
വിനയപൂർവം	ʋ i n a j a b uː r ʋ a m
വിനാഗിരി	ʋ i n aː ɡ i ɾ i
വിനിയോഗിക്കുക	ʋ i n i j oː ɡ i k k u ɡ ɐ
വിനീത	ʋ i n iː d̪ ɐ
വിനീതം	ʋ i n iː d̪ a m
വിനോദം	ʋ i n oː d̪ ɐ m
വിനോദസഞ്ചാരം	ʋ i n oː d̪ ɐ s ɐ ɲ d͡ʒ aː ɾ ɐ m
വിപണി	ʋ i b ɐ ɳ i
വിപരീത	ʋ i b ɐ ɾ iː d̪ ɐ
വിപരീതം	ʋ ɪ p ɾ iː t̪ ɐ m
വിഭക്തി	ʋ i bʱ ɐ k t̪ i
വിഭജിക്കുക	ʋ i bʱ ɐ d͡ʒ i k k u ɡ ɐ
വിഭാഗ	ʋ i bʱ aː ɡ ɐ
വിഭാഗം	ʋ i bʱ aː ɡ a m
വിഭാഗീയത	ʋ i bʱ aː ɡ iː j ɐ d̪ ɐ
വിഭിന്നത	ʋ i bʱ i n̪ n̪ ɐ d̪ ɐ
വിമതൻ	ʋ i m ɐ d̪ ɐ n
വിമർശനം	ʋ i m a r ʃ a n a m
വിമർശിക്കുക	ʋ i m a r ʃ i k k u ɡ a
വിയം	ʋ i j ɐ m
വിയോഗം	ʋ i j oː ɡ a m
വിയോജിക്കുക	ʋ i j oː d͡ʒ i k k u ɡ ɐ
വിയർക്കുക	ʋ i j ɐ r k k u ɡ ɐ
വിരാമം	ʋ i ɾ aː m ɐ m
വിരിക്കുക	ʋ i ɾ i k k u ɡ ɐ
വിരുദ്ധ	ʋ i ɾ u d̪ d̪ʱ ɐ
വിരുന്നുകാരി	ʋ i ɾ u n̪ n̪ u ɡ aː ɾ i
വിരുന്നുകാരൻ	ʋ i ɾ u n̪ n̪ u ɡ aː ɾ ɐ n
വിരുന്ന്	ʋ i ɾ u n̪ n̪ ə̆
വിരൽ	ʋ i ɾ ɐ l
വിറക്	ʋ i r ɐ ɡ ə̆
വിറപ്പിക്കുക	ʋ i r ɐ p p i k k u ɡ ɐ
വിറയ്ക്കുക	ʋ i r ɐ j k k u ɡ ɐ
വില	ʋ i l ɐ
വിലക്കുക	ʋ i l ɐ k k u ɡ ɐ
വിലങ്ങ്	ʋ i l ɐ ŋ ŋ ə̆
വിലപ്പെട്ട	ʋ i l ɐ p p e ʈ ʈ ɐ
വിലമതിക്കാനാവാത്ത	ʋ i l ɐ m ɐ d̪ i k k aː n aː ʋ aː t̪ t̪ ɐ
വിലാസം	ʋ i l aː s ɐ m
വിലാസം	ʋ i l äː s ɐ m
വിലോചനം	ʋ i l oː d͡ʒ ɐ n ɐ m
വിലോമം	ʋ i l oː m ɐ m
വില്ലേജ്	ʋ i lː eː d͡ʒ ɨ̆
വില്ല്	ʋ i l l ə̆
വിളക്ക്	ʋ i ɭ ɐ k k ə̆
വിളങ്ങുക	ʋ i ɭ ɐ ŋ ŋ u ɡ ɐ
വിളിക്കുക	ʋ i ɭ i k k u ɡ ɐ
വിഴം	ʋ i ɻ ɐ m
വിഴുങ്ങുക	ʋ i ɻ u ŋ ŋ u ɡ ɐ
വിവരം	ʋ i ʋ a ɾ a m
വിവരക്കേട്	ʋ i ʋ ɐ ɾ ɐ k k eː ɖ ə̆
വിവരിക്കുക	ʋ i ʋ ɐ ɾ i k k u ɡ ɐ
വിവാഹം	ʋ i ʋ aː h ɐ m
വിവേക്	ʋ i ʋ eː ɡ ə̆
വിവർത്തനം	ʋ i ʋ ɐ r t̪ t̪ ɐ n ɐ m
വിവർത്തിക്കുക	ʋ i ʋ ɐ r t̪ t̪ i k k u ɡ ɐ
വിശകലനം	ʋ i ʃ a ɡ a l a n a m
വിശക്കുക	ʋ i ʃ ɐ k k u ɡ ɐ
വിശപ്പ്	ʋ i ʃ ɐ p p ə̆
വിശറി	ʋ i ʃ ɐ r i
വിശുദ്ധ	ʋ i ʃ u d̪ d̪ʱ ɐ
വിശുദ്ധം	ʋ i ʃ u d̪ d̪ʱ ɐ m
വിശേഷണ	ʋ i ʃ eː ʂ ɐ ɳ ɐ
വിശ്രമിക്കുക	ʋ i ʃ r ɐ m i k k u ɡ ɐ
വിശ്ലേഷണം	ʋ i ʃ l eː ʂ a ɳ a m
വിശ്വ	ʋ i ʃ ʋ ɐ
വിശ്വം	ʋ i ʃ ʋ ɐ m
വിശ്വസനീയ	ʋ i ʃ ʋ ɐ s ɐ n iː j ɐ
വിശ്വസിക്കുക	ʋ i ʃ ʋ ɐ s i k k u ɡ ɐ
വിശ്വാസം	ʋ i ʃ ʋ aː s ɐ m
വിശ്വാസി	ʋ i ʃ ʋ aː s i
വിഷം	ʋ i ʂ ɐ m
വിഷമം	ʋ i ʂ ɐ m ɐ m
വിഷമിക്കുക	ʋ i ʂ ɐ m i k k u ɡ ɐ
വിഷയസൂചി	ʋ i ʂ ɐ j ɐ s uː d͡ʒ i
വിഷു	ʋ i ʂ u
വിഷുവം	ʋ i ʂ u ʋ ɐ m
വിഷ്ണു	ʋ i ʂ ɳ u
വിസ	ʋ i s ɐ
വിസ്തീർണ്ണം	ʋ i s t̪ iː r ɳ ɳ ɐ m
വിസർഗം	ʋ i s ɐ r ɡ ɐ m
വിൽക്കുക	ʋ i l kː u ɡ a
വീക്കം	ʋ iː k k ɐ m
വീക്കുക	ʋ iː k k u ɡ ɐ
വീക്ഷണം	ʋ iː k ʂ a ɳ a m
വീക്ഷിക്കുക	ʋ iː k ʂ i k k u ɡ ɐ
വീഞ്ഞ്	ʋ iː ɲ ɲ ə̆
വീട്	ʋ iː ɖ ə̆
വീട്ടുക	ʋ iː ʈ ʈ u ɡ ɐ
വീഡിയോ	ʋ iː ɖ i j oː
വീണ	ʋ iː ɳ ɐ
വീമ്പടിക്കുക	ʋ iː m p ɐ ɖ i kʲː u ɡ ä
വീര	ʋ iː ɾ ɐ
വീരാഹുതി	ʋ iː ɾ aː h u d̪ i
വീര്യം	ʋ iː ɾ j ɐ m
വീഴുക	ʋ iː ɻ u ɡ ɐ
വീഴ്	ʋ iː ɻ ə̆
വീഴ്ച	ʋ iː ɻ t͡ʃ ɐ
വീഴ്ത്തുക	ʋ iː ɻ t̪ t̪ u ɡ ɐ
വീശുക	ʋ iː ʃ u ɡ ɐ
വീശ്	ʋ iː ʃ ə̆
വീർക്കുക	ʋ iː r k k u ɡ ɐ
വീർക്ക്	ʋ iː r k k ə̆
വീൽ	ʋ iː l
വീൽചെയർ	ʋ iː l t͡ʃ e j ɐ r
വുഡ്	ʋ u ɖ ɨ̆
വൃകം	ʋ r i ɡ ɐ m
വൃക്ഷം	ʋ r i k ʂ ɐ m
വൃത്തം	ʋ r i t̪ t̪ ɐ m
വൃത്തി	ʋ r i t̪ t̪ i
വൃത്തികേട്	ʋ r i t̪ t̪ i ɡ eː ɖ ə̆
