AB	ɑː b eː
Östersjön	² ø sː t ɛ r ɧ ø n
Östersjön	² ø sː t ɛ ɧ ø n
Östersund	œ s t ɛ r s ɵ n d
Österåker	² œ s t ɛ r oː k ɛ r
Östeuropa	œ s t ɛ r uː p a
Östhammar	œ s t h a m a r
à	aː
ä	æ
ä	æː
ä	ɛ
ä	ɛː
äckelgubbe	ɛ k ɛ l ɡ ɵ b ɛ
äcklig	² ɛ k l ɪ
äcklig	² ɛ k l ɪ ɡ
äga	² ɛː ɡ a
ägare	ɛː ɡ a r ɛ
ägg	ɛ ɡː
äggakaka	² ɛ ɡ a k ɑː k a
äggtoddy	ɛ ɡ t ɔ d ʏ
äggula	ɛ ɡ ʉː l a
ägretthäger	ɛ ɡ r ɛ t h ɛ ɡ ɛ r
äh	æ
äh	ɛ
äldre	ɛ l d r ɛ
äldst	ɛ l s t
älg	ɛ l j
älgar	ɛ l jː a r
älling	² ɛ l ɪ ŋ
älska	ɛ l s k a
älskling	² ɛ lː s k l ɪ ŋ
älta	ɛ l t a
älv	ɛ l v
älva	ɛ l v a
än	ɛ nː
ända	² ɛ n d a
ändelse	ɛ n d ɛ l s ɛ
ändå	² ɛ n d oː
ändå	² ɛ n d ɔ
ändå	ɛ n d oː
äng	ɛ ŋː
ängel	ɛ ŋː ɛ l
ängshök	ɛ ŋ s h øː k
ängspiplärka	ɛ ŋ s p iː p l ɛ r k a
änkestöt	ɛ ŋ k e s t øː t
ännu	² ɛ nː ɵ
ännu	ɛ n ʉː
äntligen	ɛ n t l ɪ ɛ n
äntligen	ɛ n t l ɪ ɡ ɛ n
äntligen	ɛ ŋ k l ɪ ɛ n
äntligen	ɛ ŋ k l ɪ ɡ ɛ n
äppeljuice	æ p ɛ l j uː s
äppelknyckarbyxa	ɛ p ɛ l k n ʏ k a r b ʏ k s a
äpple	ɛ p l ɛ
äpplen	ɛ p l ɛ n
är	eː
är	eː r
är	æː r
är	ɛː
är	ɛː r
ära	² æː r a
ärkebiskop	æ rː k ɛ b ɪ sː k ɔ p
ärla	ɛː r l a
ärlig	² æː ɭ ɪ
ärlig	² æː ɭ ɪ ɡ
ärt	ɛ r t
ät	ɛː t
äta	² ɛː t a
äter	ɛː t ɘ r
ätt	ɛ t
även	² ɛː v ɛ n
äventyrlig	² ɛː v ɛ n t yː l ɪ
äventyrlig	² ɛː v ɛ n t yː l ɪ ɡ
äventyrlig	² ɛː v ɛ n t yː r l ɪ
äventyrlig	² ɛː v ɛ n t yː r l ɪ ɡ
å	oː
å	ɔ
åboensisk	oː b ʊ ɛ n s ɪ s k
åda	² oː d a
ågren	oː ɡ r eː n
åhr	oː r
åka	oː k a
ål	oː l
ålade	² oː l a d ɛ
ålade	² oː l ɑː
ålade	² oː l ɑː d ɛ
ålagille	² oː l a j ɪ lː ɛ
ålägga	² oː l ɛ ɡ a
ångmaskin	ɔ ŋː m a ɧ iː n
ångström	² ɔ ŋ s t r ø m
ånyo	ɔ ² n yː ʊ
år	oː r
åra	² oː r a
åren	oː r ɛ n
årlig	² oː ɭ ɪ
årlig	² oː ɭ ɪ ɡ
årta	oː ɾ t a
ås	oː s
åsikt	oː s ɪ k t
åsiktsyttring	² oː s ɪ k t s ² ʏ t r ɪ ŋ
åskblå	² ɔ s k b l oː
åstadkomma	² oː s t a k ɔ m a
åt	oː t
åtal	² oː t ɑː l
åter	oː t ɛ r
återseende	² oː t ɛ r s eː ɛ n d ə
åtminstone	oː t ² m ɪ n s t ɔ n d ɛ
åtminstone	oː t ² m ɪ n s t ɔ n ɛ
åtskillnad	² oː t ɧ ɪ lː n a d
åtta	² ɔ tː a
åttahundra	² ɔ tː a h ɵ n d r a
åttio	² ɔ t ɪ
åttio	² ɔ t ɪ ʊ
åttioen	² ɔ tː ɪ uː ɛ n
åttioförsta	² ɔ tː ɪ ʊ f œ ʂ t a
åttonde	ɔ t ɔ n d ɛ
é	eː
ö	øː
ö	œ
ödem	ø d eː m
ödmjukhet	øː d m j ʉ̟ː k h eː t
öga	øː ɡ a
öken	øː k ɛ n
ökenlöpare	œ k ɛ n l øː p a r ɛ
ökenpipare	øː k ɛ n p iː p a ɾ ɛ
öknamn	œ kː n a m n
ökänd	² øː ɕ ɛ n d
ökändhet	² øː ɕ ɛ n d h eː t
öl	øː l
öm	œ m
ömsom	œ m s ɔ m
ömtålig	² œ m t oː l ɪ ɡ
ön	øː n
önskvärd	œ n s k v æː ɖ
öppen	² œ p ɛ n
öppenhjärtig	² œ p ɛ n j ɛ r t ɪ
öppenhjärtig	² œ p ɛ n j ɛ r t ɪ ɡ
öppenhjärtlig	² œ p ɛ n j ɛ r t l ɪ
öppenhjärtlig	² œ p ɛ n j ɛ r t l ɪ ɡ
öra	² øː r a
örhänge	øː r h ɛ ŋ ɛ
örn	øː ɳ
örnvinge	² øː r n v ɪ ŋ ɛ
örnvråk	øː r n v r oː k
öronsäl	øː r ɔ n s ɛː l
ös	øː s
ösa	² øː s a
ösregn	² øː s r ɛ ŋ n
öst	øː s t
öst	œ s t
östafrikansk	² øː s t a f r iː k a n s k
öster	œ sː t ɛ r
östgöte	œ s t j øː t ɛ
östgöte	œ ɧ œ t ɛ
östgötska	œ s t j øː t s k a
östgötska	œ ɧ œ t s k a
över	øː v ɛ r
överflöd	øː v ɛ r f l øː d
övergrepp	øː v ɛ r ɡ r e pː
övergångsjacka	œ v ɛ r ɡ oː ŋ s j a kː a
överlag	øː v ɛ r l ɑː ɡ
överleva	øː v ə r l eː v a
överläge	øː v ɛ r l ɛː ɡ ɛ
översättning	² øː v ɛ ʂ ɛ tː n ɪ ŋ
övervärdera	œ v ɛ r v ɛː r d eː r a
Ā	ɛ
Ā	ɛː
ā	ɛ
ā	ɛː
Ō	øː
Ō	œ
ō	øː
ō	œ
