abeag	ɑː b æ͜ɑː ɣ
wiþhogdest	w i θ h o ɣ d e s t
wiþhogdon	w i θ h o ɣ d o n
wiþhogian	w i θ h o ɣ i ɑ n
wiþhycgan	w i θ h y d d͡ʒ ɑ n
wiþhycgaþ	w i θ h y d d͡ʒ ɑ θ
wiþhycge	w i θ h y d d͡ʒ e
wiþhycgen	w i θ h y d d͡ʒ e n
wiþhycgende	w i θ h y d d͡ʒ e n d e
wiþhycgenne	w i θ h y d d͡ʒ e n n e
wiþhyge	w i θ h y j e
wiþhygst	w i θ h y j s t
wiþhygþ	w i θ h y j θ
wiþig	w iː ð i j
wiþige	w iː ð i j e
wiþiges	w iː ð i j e s
wiþinnan	w i ð i n n ɑ n
wiþlæd	w i ð l æː d
wiþlædan	w i ð l æː d ɑ n
wiþlædaþ	w i ð l æː d ɑ θ
wiþlædde	w i ð l æː d d e
wiþlædden	w i ð l æː d d e n
wiþlæddest	w i ð l æː d d e s t
wiþlæddon	w i ð l æː d d o n
wiþlæde	w i ð l æː d e
wiþlæded	w i ð l æː d e d
wiþlæden	w i ð l æː d e n
wiþlædende	w i ð l æː d e n d e
wiþlædenne	w i ð l æː d e n n e
wiþlædeþ	w i ð l æː d e θ
wiþlæt	w i ð l æː t
wiþlætst	w i ð l æː t s t
wiþmæt	w i ð m æ t
wiþmæton	w i ð m æː t o n
wiþmet	w i ð m e t
wiþmetan	w i ð m e t ɑ n
wiþmetaþ	w i ð m e t ɑ θ
wiþmete	w i ð m e t e
wiþmeten	w i ð m e t e n
wiþmetendlic	w i ð m e t e n d l iː t͡ʃ
wiþmetenlic	w i ð m e t e n l iː t͡ʃ
wiþmetenne	w i ð m e t e n n e
wiþmetennes	w i ð m e t e n n e s
wiþmetennesse	w i ð m e t e n n e s s e
wiþneoþan	w i θ n e͜o ð ɑ n
wiþsecgan	w i θ s e d d͡ʒ ɑ n
wiþsecgaþ	w i θ s e d d͡ʒ ɑ θ
wiþsecge	w i θ s e d d͡ʒ e
wiþsecgen	w i θ s e d d͡ʒ e n
wiþsecgende	w i θ s e d d͡ʒ e n d e
wiþsecgenne	w i θ s e d d͡ʒ e n n e
wiþsett	w i θ s e t
wiþstiellan	w i θ s t i͜y ɫ ɫ ɑ n
wiþtogen	w i θ t o ɣ e n
wiþtuge	w i θ t u ɣ e
wiþtugen	w i θ t u ɣ e n
wiþtugon	w i θ t u ɣ o n
wiþþingian	w i θ θ i ŋ ɡ i ɑ n
wiþufan	w i θ u v ɑ n
wiþutan	w i ð uː t ɑ n
wiþwearp	w i ð w æ͜ɑ rˠ p
wiþweorp	w i ð w e͜o rˠ p
wiþweorpan	w i ð w e͜o rˠ p ɑ n
wiþweorpaþ	w i ð w e͜o rˠ p ɑ θ
wiþweorpe	w i ð w e͜o rˠ p e
wiþweorpende	w i ð w e͜o rˠ p e n d e
wiþwierpst	w i ð w i͜y rˠ p s t
wiþwierpþ	w i ð w i͜y rˠ p θ
wiþwindan	w i ð w i n d ɑ n
wiþwinde	w i ð w i n d e
wiþworpen	w i ð w o rˠ p e n
wiþwurpe	w i ð w u rˠ p e
wiþwurpon	w i ð w u rˠ p o n
wlætung	w l æː t u ŋ ɡ
wlætunge	w l æː t u ŋ ɡ e
wlanc	w l ɑ ŋ k
wlanca	w l ɑ ŋ k ɑ
wlancan	w l ɑ ŋ k ɑ n
wlancaþ	w l ɑ ŋ k ɑ θ
wlance	w l ɑ ŋ k e
wlancena	w l ɑ ŋ k e n ɑ
wlances	w l ɑ ŋ k e s
wlancian	w l ɑ ŋ k i ɑ n
wlancige	w l ɑ ŋ k i j e
wlancne	w l ɑ ŋ k n e
wlancode	w l ɑ ŋ k o d e
wlancra	w l ɑ ŋ k r ɑ
wlancre	w l ɑ ŋ k r e
wlancum	w l ɑ ŋ k u m
wlatung	w l ɑː t u ŋ ɡ
wlatunga	w l ɑː t u ŋ ɡ ɑ
wlatunge	w l ɑː t u ŋ ɡ e
wlatungum	w l ɑː t u ŋ ɡ u m
wlence	w l e ŋ k e
wlitebeorht	w l i t e b e͜o rˠ x t
wlitebeorhtan	w l i t e b e͜o rˠ x t ɑ n
wlitebeorhte	w l i t e b e͜o rˠ x t e
wlitebeorhtes	w l i t e b e͜o rˠ x t e s
wlitebeorhtne	w l i t e b e͜o rˠ x t n e
wlitebeorhtra	w l i t e b e͜o rˠ x t r ɑ
wlitebeorhtre	w l i t e b e͜o rˠ x t r e
wlitebeorhtum	w l i t e b e͜o rˠ x t u m
wlitegestum	w l i t e ɣ e s t u m
wlitegostum	w l i t e ɣ o s t u m
wlitt	w l iː t
wlonc	w l o ŋ k
wlonce	w l o ŋ k e
wodnesdæg	w oː d n e z d æ j
wodnesniht	w oː d n e z n i ç t
wodnesnihta	w oː d n e z n i ç t ɑ
wodnesnihte	w oː d n e z n i ç t e
Wodning	w oː d n i ŋ ɡ
wœrge	w øː rˠ j e
wœrgum	w øː rˠ j u m
woestihg	w ø s t i ç j
wogaþ	w oː ɣ ɑ θ
wogera	w oː ɣ e r ɑ
wogeras	w oː ɣ e r ɑ s
wogere	w oː ɣ e r e
wogeres	w oː ɣ e r e s
wogerum	w oː ɣ e r u m
wogian	w oː ɣ i ɑ n
wogiaþ	w oː ɣ i ɑ θ
wogode	w oː ɣ o d e
wohbogen	w oː x b o ɣ e n
wohceapung	w oː x t͡ʃ æ͜ɑː p u ŋ ɡ
wohfull	w oː x f u ɫ
wohfulla	w oː x f u ɫ ɫ ɑ
wohfullan	w oː x f u ɫ ɫ ɑ n
wohfulle	w oː x f u ɫ ɫ e
wohfulles	w oː x f u ɫ ɫ e s
wohfullum	w oː x f u ɫ ɫ u m
wohfulne	w oː x f u ɫ n e
wohfulra	w oː x f u ɫ r ɑ
wohfulre	w oː x f u ɫ r e
wohgeorn	w oː x j e͜o rˠ n
wohhæmed	w oː x h æː m e d
wohhæmende	w oː x h æː m e n d e
wohhæmere	w oː x h æː m e r e
wohhandede	w oː x h ɑ n d e d e
Woingas	w oː i ŋ ɡ ɑ s
wolc	w o ɫ k
wolcen	w o ɫ k e n
wolcn	w o ɫ k n
woldaga	w oː l d ɑ ɣ ɑ
woldagas	w oː l d ɑ ɣ ɑ s
woldagum	w oː l d ɑ ɣ u m
woldan	w o ɫ d ɑ n
wolde	w o ɫ d e
wolden	w o ɫ d e n
woldest	w o ɫ d e s t
woldon	w o ɫ d o n
wolgewinn	w oː l j e w i n
womm	w o m
wong	w o ŋ ɡ
wonge	w o ŋ ɡ e
wonges	w o ŋ ɡ e s
wongtoþ	w o ŋ ɡ t oː θ
wonn	w o n
wonung	w o n u ŋ ɡ
wonunga	w o n u ŋ ɡ ɑ
wonunge	w o n u ŋ ɡ e
wonungum	w o n u ŋ ɡ u m
worc	w o rˠ k
worca	w o rˠ k ɑ
worce	w o rˠ k e
worces	w o rˠ k e s
worcum	w o rˠ k u m
word	w o rˠ d
worda	w o rˠ d ɑ
wordboc	w o rˠ d b oː k
worde	w o rˠ d e
worden	w o rˠ d e n
wordfæst	w o rˠ d f æ s t
wordgecwide	w o rˠ d j e k w i d e
wordhord	w o rˠ d h o rˠ d
wordig	w o rˠ d i j
wordiges	w o rˠ d i j e s
wordigne	w o rˠ d i j n e
wordigum	w o rˠ d i j u m
wordlaþe	w o rˠ d l ɑ ð e
wordlaþu	w o rˠ d l ɑ ð u
wordmittung	w o rˠ d m i t t u ŋ ɡ
wordpredicung	w o rˠ d p r e d i k u ŋ ɡ
wordriht	w o rˠ d r i ç t
wordrihta	w o rˠ d r i ç t ɑ
wordrihtes	w o rˠ d r i ç t e s
wordsawere	w o rˠ d s ɑː w e r e
wordsnotor	w o rˠ d s n o t o r
wordsnotora	w o rˠ d s n o t o r ɑ
wordsnotoran	w o rˠ d s n o t o r ɑ n
wordsnotore	w o rˠ d s n o t o r e
wordsnotores	w o rˠ d s n o t o r e s
wordsnotorne	w o rˠ d s n o t o rˠ n e
wordsnotorra	w o rˠ d s n o t o rˠ rˠ ɑ
wordsnotorre	w o rˠ d s n o t o rˠ rˠ e
wordsnotorum	w o rˠ d s n o t o r u m
worð	w o rˠ θ
worða	w o rˠ ð ɑ
worðað	w o rˠ ð ɑ θ
worðe	w o rˠ ð e
worðeð	w o rˠ ð e θ
worðes	w o rˠ ð e s
worðo	w o rˠ θ o
worhana	w o r h ɑ n ɑ
worht	w o rˠ x t
worhtan	w o rˠ x t ɑ n
worhten	w o rˠ x t e n
worhtest	w o rˠ x t e s t
worhton	w o rˠ x t o n
world	w o rˠ ɫ d
worn	w o rˠ n
worna	w o rˠ n ɑ
wornas	w o rˠ n ɑ s
worne	w o rˠ n e
wornum	w o rˠ n u m
worold	w o r o ɫ d
woroldar	w o r o ɫ d ɑː r
worolde	w o r o ɫ d e
worpen	w o rˠ p e n
worþ	w o rˠ θ
worþa	w o rˠ ð ɑ
worþana	w o rˠ ð ɑ
worþe	w o rˠ ð e
worþig	w o rˠ ð i j
worþum	w o rˠ ð u m
woruld	w o r u ɫ d
worulda	w o r u ɫ d ɑ
worulde	w o r u ɫ d e
woruldlic	w o r u ɫ d l iː t͡ʃ
woruldlican	w o r u ɫ d l iː t͡ʃ ɑ n
woruldlice	w o r u ɫ d l iː t͡ʃ e
woruldlices	w o r u ɫ d l iː t͡ʃ e s
woruldlicra	w o r u ɫ d l iː k r ɑ
woruldlicre	w o r u ɫ d l iː k r e
woruldlicu	w o r u ɫ d l iː t͡ʃ u
woruldlicum	w o r u ɫ d l iː t͡ʃ u m
woruldrice	w o r u ɫ d r iː t͡ʃ e
wosig	w oː z i j
wosige	w oː z i j e
wosigum	w oː z i j u m
woþa	w oː ð ɑ
woþe	w oː ð e
wraða	w r ɑː ð ɑ
wraðan	w r ɑː ð ɑ n
wraðe	w r ɑː ð e
wraðes	w r ɑː ð e s
wraðne	w r ɑː ð n e
wraðra	w r ɑː ð r ɑ
wraðre	w r ɑː ð r e
wraðum	w r ɑː ð u m
wræcsiþa	w r æ k s iː ð ɑ
wræcsiþas	w r æ k s iː ð ɑ s
wræcsiþe	w r æ k s iː ð e
wræcsiþes	w r æ k s iː ð e s
wræcsiþum	w r æ k s iː ð u m
wræsnan	w r æː z n ɑ n
wræsne	w r æː z n e
wræstlunge	w r æː s t l u ŋ ɡ e
wrætt	w r æː t
wræþan	w r æː ð ɑ n
wræþde	w r æː ð d e
wrang	w r ɑ ŋ ɡ
wranga	w r ɑ ŋ ɡ ɑ
wrangan	w r ɑ ŋ ɡ ɑ n
wrange	w r ɑ ŋ ɡ e
wrangwis	w r ɑ ŋ ɡ w iː s
wraþan	w r ɑː ð ɑ n
wraþe	w r ɑ ð e
wraþe	w r ɑː ð e
wraþena	w r ɑː ð e n ɑ
wraþes	w r ɑː ð e s
wraþne	w r ɑː ð n e
wraþra	w r ɑː ð r ɑ
wraþre	w r ɑː ð r e
wraþu	w r ɑ ð u
wreht	w r e ç t
wrehte	w r e ç t e
wrehtest	w r e ç t e s t
wrehton	w r e ç t o n
wreþian	w r e ð i ɑ n
wreþiaþ	w r e ð i ɑ θ
wreþiende	w r e ð i e n d e
wreþienne	w r e ð i e n n e
wrige	w r i ɣ e
wrigen	w r i ɣ e n
wringan	w r i ŋ ɡ ɑ n
wringaþ	w r i ŋ ɡ ɑ θ
wringe	w r i ŋ ɡ e
wringende	w r i ŋ ɡ e n d e
wringenne	w r i ŋ ɡ e n n e
wringst	w r i ŋ ɡ s t
wringþ	w r i ŋ ɡ θ
writing	w r iː t i ŋ ɡ
writinge	w r iː t i ŋ ɡ e
writt	w r iː t
wriþa	w r i ð ɑ
wriþan	w r iː ð ɑ n
wriþaþ	w r iː ð ɑ θ
wriþe	w r iː ð e
wriþen	w r iː ð e n
wriþen	w r i ð e n
wriþende	w r iː ð e n d e
wriþenne	w r iː ð e n n e
wriþon	w r i ð o n
wrogen	w r o ɣ e n
wrugon	w r u ɣ o n
wrunge	w r u ŋ ɡ e
wrungen	w r u ŋ ɡ e n
wrungon	w r u ŋ ɡ o n
wudiht	w u d i ç t
wudihtes	w u d i ç t e s
wuduælfen	w u d u æ ɫ v e n
wuducerfille	w u d u k e rˠ v i ɫ ɫ e
wuduculfre	w u d u k u ɫ v r e
wudufugol	w u d u f u ɣ o l
wuduhana	w u d u h ɑ n ɑ
wuduhenn	w u d u h e n
wuduhunig	w u d u h u n i j
wuduielfen	w u d u i͜y ɫ v e n
wuduielfenne	w u d u i͜y ɫ v e n n e
wudumerce	w u d u m e rˠ t͡ʃ e
wudurofe	w u d u r o v e
wuduwasa	w u d u w ɑː z ɑ
wuduweard	w u d u w æ͜ɑ rˠ d
wuduwearda	w u d u w æ͜ɑ rˠ d ɑ
wuduweardas	w u d u w æ͜ɑ rˠ d ɑ s
wuduwearde	w u d u w æ͜ɑ rˠ d e
wuduweardes	w u d u w æ͜ɑ rˠ d e s
wuduweardum	w u d u w æ͜ɑ rˠ d u m
wulder	w u ɫ d e r
wuldor	w u ɫ d o r
wuldorbeag	w u ɫ d o r b æ͜ɑː ɣ
wuldorbeaga	w u ɫ d o r b æ͜ɑː ɣ ɑ
wuldorbeagas	w u ɫ d o r b æ͜ɑː ɣ ɑ s
wuldorbeagaþ	w u ɫ d o rˠ b æ͜ɑː ɣ ɑ θ
wuldorbeage	w u ɫ d o r b æ͜ɑː ɣ e
wuldorbeages	w u ɫ d o r b æ͜ɑː ɣ e s
wuldorbeagian	w u ɫ d o r b æ͜ɑː ɣ i ɑ n
wuldorbeagiaþ	w u ɫ d o rˠ b æ͜ɑː ɣ i ɑ θ
wuldorbeagienne	w u ɫ d o rˠ b æ͜ɑː ɣ i e n n e
wuldorbeagod	w u ɫ d o rˠ b æ͜ɑː ɣ o d
wuldorbeagode	w u ɫ d o rˠ b æ͜ɑː ɣ o d e
wuldorbeagodest	w u ɫ d o rˠ b æ͜ɑː ɣ o d e s t
wuldorbeagum	w u ɫ d o r b æ͜ɑː ɣ u m
wuldorbeah	w u ɫ d o r b æ͜ɑː x
wuldorcyning	w u ɫ d o r k y n i ŋ ɡ
wuldorcyninge	w u ɫ d o r k y n i ŋ ɡ e
wuldorcyninges	w u ɫ d o r k y n i ŋ ɡ e s
wuldordream	w u ɫ d o r d r æ͜ɑː m
wuldordreama	w u ɫ d o r d r æ͜ɑː m ɑ
wuldordreamas	w u ɫ d o r d r æ͜ɑː m ɑ s
wuldordreame	w u ɫ d o r d r æ͜ɑː m e
wuldordreames	w u ɫ d o r d r æ͜ɑː m e s
wuldordreamum	w u ɫ d o r d r æ͜ɑː m u m
wuldorfæder	w u ɫ d o r f æ d e r
wuldorfæst	w u ɫ d o r f æ s t
wuldorfæsta	w u ɫ d o r f æ s t ɑ
wuldorfæstan	w u ɫ d o r f æ s t ɑ n
wuldorfæste	w u ɫ d o r f æ s t e
wuldorfæstes	w u ɫ d o r f æ s t e s
wuldorfæstne	w u ɫ d o r f æ s t n e
wuldorfæstre	w u ɫ d o r f æ s t r e
wuldorfæstum	w u ɫ d o r f æ s t u m
wuldorfull	w u ɫ d o r f u ɫ
wuldorfulla	w u ɫ d o rˠ v u ɫ ɫ ɑ
wuldorfullan	w u ɫ d o rˠ v u ɫ ɫ ɑ n
wuldorfulle	w u ɫ d o rˠ v u ɫ ɫ e
wuldorfullian	w u ɫ d o rˠ v u ɫ ɫ i ɑ n
wuldorfulliaþ	w u ɫ d o rˠ v u ɫ ɫ i ɑ θ
wuldorfullice	w u ɫ d o r f u l l iː t͡ʃ e
wuldorfullod	w u ɫ d o rˠ v u ɫ ɫ o d
wuldorfullode	w u ɫ d o rˠ v u ɫ ɫ o d e
wuldorfullum	w u ɫ d o rˠ v u ɫ ɫ u m
wuldorfulre	w u ɫ d o rˠ v u ɫ r e
wuldorgast	w u ɫ d o r ɡ ɑː s t
wuldorgeflogena	w u ɫ d o r j e f l o ɣ e n ɑ
wuldorgeweorc	w u ɫ d o r j e w e͜o rˠ k
wuldorgifu	w u ɫ d o r j i v u
wuldorgimm	w u ɫ d o r j i m
wuldorgimme	w u ɫ d o r j i m m e
wuldorgimmes	w u ɫ d o r j i m m e s
wuldorhama	w u ɫ d o r h ɑ m ɑ
wuldorheap	w u ɫ d o r h æ͜ɑː p
wuldorhelm	w u ɫ d o r h e ɫ m
wuldorlean	w u ɫ d o r l æ͜ɑː n
wuldorlic	w u ɫ d o r l iː t͡ʃ
wuldorlican	w u ɫ d o rˠ l iː t͡ʃ ɑ n
wuldorlice	w u ɫ d o r l iː t͡ʃ e
wuldorlicne	w u ɫ d o rˠ l iː k n e
wuldormaga	w u ɫ d o r m ɑː ɣ ɑ
wuldornyttung	w u ɫ d o r n y t t u ŋ ɡ
wuldornyttunga	w u ɫ d o r n y t t u ŋ ɡ ɑ
wuldornyttunge	w u ɫ d o r n y t t u ŋ ɡ e
wuldornyttungum	w u ɫ d o r n y t t u ŋ ɡ u m
wuldorsang	w u ɫ d o r s ɑ ŋ ɡ
wuldorsanga	w u ɫ d o r s ɑ ŋ ɡ ɑ
wuldorsangas	w u ɫ d o r s ɑ ŋ ɡ ɑ s
wuldorsange	w u ɫ d o r s ɑ ŋ ɡ e
wuldorsanges	w u ɫ d o r s ɑ ŋ ɡ e s
wuldorsangum	w u ɫ d o r s ɑ ŋ ɡ u m
wuldorsped	w u ɫ d o r s p eː d
wuldorspedig	w u ɫ d o r s p eː d i j
wuldorspedige	w u ɫ d o rˠ s p eː d i j e
wuldorspedigre	w u ɫ d o rˠ s p eː d i j r e
wuldorspedigum	w u ɫ d o rˠ s p eː d i j u m
wuldorspedum	w u ɫ d o r s p eː d u m
wuldortan	w u ɫ d o r t ɑː n
wuldortanas	w u ɫ d o r t ɑː n ɑ s
wuldorþrymm	w u ɫ d o r θ r y m
wuldorwerod	w u ɫ d o r w e r o d
wuldorwerode	w u ɫ d o r w e r o d e
wuldorwerodes	w u ɫ d o r w e r o d e s
wuldorword	w u ɫ d o r w o rˠ d
wuldorworda	w u ɫ d o r w o rˠ d ɑ
wuldorworde	w u ɫ d o r w o rˠ d e
wuldorwordes	w u ɫ d o r w o rˠ d e s
wuldorwordum	w u ɫ d o r w o rˠ d u m
wuldraþ	w u ɫ d r ɑ θ
wuldrian	w u ɫ d r i ɑ n
wuldriaþ	w u ɫ d r i ɑ θ
wuldriende	w u ɫ d r i e n d e
wuldrienne	w u ɫ d r i e n n e
wuldrig	w u ɫ d r i j
wuldrige	w u ɫ d r i j e
wuldrigo	w u ɫ d r i j o
wuldrigum	w u ɫ d r i j u m
wuldrod	w u ɫ d r o d
wuldrode	w u ɫ d r o d e
wuldrodest	w u ɫ d r o d e s t
wuldrodon	w u ɫ d r o d o n
wuldrung	w u ɫ d r u ŋ ɡ
wulf	w u ɫ f
wulfa	w u ɫ v ɑ
wulfas	w u ɫ v ɑ s
Wulfbeorht	w u ɫ v b e͜o rˠ x t
wulfe	w u ɫ v e
wulfes	w u ɫ v e s
Wulfgar	w u ɫ v ɡ ɑː r
Wulfgare	w u ɫ v ɡ ɑː r e
Wulfgares	w u ɫ v ɣ ɑː r e s
Wulfgeat	w u ɫ v j æ͜ɑː t
Wulfgeate	w u ɫ v j æ͜ɑː t e
Wulfgeates	w u ɫ v j æ͜ɑː t e s
Wulfgifu	w u ɫ v j i f u
Wulfgyþ	w u ɫ v ɣ yː θ
Wulfheah	w u ɫ f h æ͜ɑː x
Wulfheard	w u ɫ f h æ͜ɑ rˠ d
wulfheort	w u ɫ f h e͜o rˠ t
Wulfhild	w u ɫ f h i ɫ d
Wulfhun	w u ɫ f h uː n
Wulflaf	w u ɫ v l ɑː f
Wulflafe	w u ɫ v l ɑː v e
Wulflafes	w u ɫ v l ɑː v e s
Wulfmær	w u ɫ v m æː r
Wulfmære	w u ɫ v m æː r e
Wulfmæres	w u ɫ v m æː r e s
Wulfnoþ	w u ɫ v n oː θ
Wulfnoþe	w u ɫ v n oː ð e
Wulfnoþes	w u ɫ v n oː ð e s
Wulfræd	w u ɫ v r æː d
Wulfric	w u ɫ v r iː k
Wulfrun	w u ɫ v r uː n
Wulfsige	w u ɫ f s i j e
Wulfsiges	w u ɫ f s i j e s
Wulfstan	w u ɫ f s t ɑː n
Wulfstane	w u ɫ f s t ɑː n e
Wulfstanes	w u ɫ f s t ɑː n e s
Wulfswiþ	w u ɫ f s w i θ
Wulfþryþ	w u ɫ f θ r yː θ
wulfum	w u ɫ v u m
Wulfweald	w u ɫ v w æ͜ɑ ɫ d
Wulfweard	w u ɫ v w æ͜ɑ rˠ d
Wulfwig	w u ɫ v w iː j
Wulfwine	w u ɫ v w i n e
Wulfwines	w u ɫ v w i n e s
Wulfwyn	w u ɫ v w y n
Wulfwynn	w u ɫ v w y n
wull	w u ɫ
Wullafe	w u l l ɑː v e
Wullafes	w u l l ɑː v e s
wulle	w u ɫ ɫ e
wunderlican	w u n d e rˠ l iː t͡ʃ ɑ n
wunderlices	w u n d e rˠ l iː t͡ʃ e s
wunderlicra	w u n d e rˠ l iː k r ɑ
wunderlicre	w u n d e rˠ l iː k r e
wundorfulla	w u n d o r f u ɫ ɫ ɑ
wundorfullum	w u n d o r f u ɫ ɫ u m
wundorfulre	w u n d o rˠ v u ɫ r e
wundorgiefu	w u n d o r j i͜y v u
wundorhus	w u n d o r h uː s
wundswaþe	w u n d s w ɑ ð e
wundswaþu	w u n d z w ɑ ð u
wundsweþu	w u n d s w e ð u
wunung	w u n u ŋ ɡ
wununga	w u n u ŋ ɡ ɑ
wununge	w u n u ŋ ɡ e
wunungum	w u n u ŋ ɡ u m
wurdan	w u rˠ d ɑ n
wurde	w u rˠ d e
wurdon	w u rˠ d o n
wurma	w u rˠ m ɑ
wurman	w u rˠ m ɑ n
wurmena	w u rˠ m e n ɑ
wurmille	w u rˠ m i ɫ ɫ e
wurmum	w u rˠ m u m
wurþ	w u rˠ θ
wurþa	w u rˠ ð ɑ
wurþan	w u rˠ ð ɑ n
wurþaþ	w u rˠ ð ɑ θ
wurþe	w u rˠ ð e
wurþiaþ	w u rˠ ð i ɑ θ
wurþscipa	w u rˠ θ ʃ i p ɑ
wurþscipas	w u rˠ θ ʃ i p ɑ s
wurþscipe	w u rˠ θ ʃ i p e
wurþscipes	w u rˠ θ ʃ i p e s
wurþscipum	w u rˠ θ ʃ i p u m
wurþscypa	w u rˠ θ ʃ y p ɑ
wurþscypas	w u rˠ θ ʃ y p ɑ s
wurþscype	w u rˠ θ ʃ y p e
wurþscypes	w u rˠ θ ʃ y p e s
wurþscypum	w u rˠ θ ʃ y p u m
wurþum	w u rˠ ð u m
wuruld	w u r u ɫ d
wuscbearn	w uː s k b æ͜ɑ rˠ n
wuscbearna	w uː s k b æ͜ɑ rˠ n ɑ
wuscbearne	w uː s k b æ͜ɑ rˠ n e
wuscbearnum	w uː s k b æ͜ɑ rˠ n u m
wycg	w y d͡ʒ
wylf	w y ɫ f
wylfen	w y ɫ v e n
wylfenan	w y ɫ v e n ɑ n
wylfene	w y ɫ v e n e
wylfenne	w y ɫ v e n n e
wyll	w y ɫ
wyll	w y ɫ
wyllan	w y ɫ ɫ ɑ n
wyllaþ	w y ɫ ɫ ɑ θ
wyllen	w y ɫ ɫ e n
wyllenan	w y ɫ ɫ e n ɑ n
wyllene	w y ɫ ɫ e n e
wyllenes	w y ɫ ɫ e n e s
wyllenne	w y ɫ ɫ e n n e
wyllenra	w y ɫ ɫ e n r ɑ
wyllenum	w y ɫ ɫ e n u m
wylm	w y ɫ m
wylt	w y ɫ t
wylwan	w y ɫ w ɑ n
wynfull	w y n f u ɫ
wynfulla	w y n v u ɫ ɫ ɑ
wynfullan	w y n v u ɫ ɫ ɑ n
wynfulle	w y n v u ɫ ɫ e
wynfulles	w y n v u ɫ ɫ e s
wynfullum	w y n v u ɫ ɫ u m
wynfulne	w y n v u ɫ n e
wynfulra	w y n v u ɫ r ɑ
wynfulre	w y n v u ɫ r e
Wynhelm	w y n h e ɫ m
Wynhere	w y n h e r e
wynleasne	w y n l æ͜ɑː z n e
wynn	w y n
Wynnbeald	w y n b æ͜ɑ ɫ d
Wynnbealde	w y n b æ͜ɑ ɫ d e
Wynnbealdes	w y n b æ͜ɑ ɫ d e s
Wynnfriþ	w y n f r i θ
Wynnstan	w y n w i n e
Wynnwulf	w y n w u ɫ f
Wynnwulfe	w y n w u ɫ v e
Wynnwulfes	w y n w u ɫ v e s
wynsuma	w y n z u m ɑ
wynsuman	w y n z u m ɑ n
wynsume	w y n z u m e
wynsumes	w y n z u m e s
wynsumne	w y n z u m n e
wynsumnessa	w y n z u m n e s s ɑ
wynsumnesse	w y n z u m n e s s e
wynsumra	w y n z u m r ɑ
wynsumre	w y n z u m r e
wynsumu	w y n z u m u
wynsumum	w y n z u m u m
wyrc	w y rˠ t͡ʃ
wyrcan	w y rˠ t͡ʃ ɑ n
wyrcaþ	w y rˠ t͡ʃ ɑ θ
wyrce	w y rˠ t͡ʃ e
wyrcean	w y rˠ t͡ʃ ɑ n
wyrcen	w y rˠ t͡ʃ e n
wyrcend	w y rˠ t͡ʃ e n d
wyrcende	w y rˠ t͡ʃ e n d e
wyrcendum	w y rˠ t͡ʃ e n d u m
wyrcenne	w y rˠ t͡ʃ e n n e
wyrcest	w y rˠ t͡ʃ e s t
wyrceþ	w y rˠ t͡ʃ e θ
wyrcing	w y rˠ t͡ʃ i ŋ ɡ
wyrcst	w y rˠ k s t
wyrcþ	w y rˠ k θ
wyrcung	w y rˠ t͡ʃ u ŋ ɡ
wyrd	w y rˠ d
Wyrd	w y rˠ d
wyrda	w y rˠ d ɑ
wyrdan	w y rˠ d ɑ n
wyrdaþ	w y rˠ d ɑ θ
wyrded	w y rˠ d e d
wyrdende	w y rˠ d e n d e
wyrdeþ	w y rˠ d e θ
wyrdstæf	w y rˠ d s t æ f
wyrdstæfe	w y rˠ d s t æ v e
wyrdstæfes	w y rˠ d s t æ v e s
wyrdstafa	w y rˠ d s t ɑ v ɑ
wyrdstafas	w y rˠ d s t ɑ v ɑ s
wyrdstafum	w y rˠ d s t ɑ v u m
wyrdum	w y rˠ d u m
wyrð	w y rˠ θ
wyrðest	w y rˠ ð e s t
wyrg	w y rˠ j
wyrgan	w y rˠ j ɑ n
wyrgaþ	w y rˠ j ɑ θ
wyrgde	w y rˠ j d e
wyrgdest	w y rˠ j d e s t
wyrgdon	w y rˠ j d o n
wyrge	w y rˠ j e
wyrgen	w y rˠ j e n
wyrgende	w y rˠ j e n d e
wyrgest	w y rˠ j e s t
wyrgeþ	w y rˠ j e θ
wyrgþ	w y rˠ j θ
wyrgþa	w y rˠ j ð ɑ
wyrgþe	w y rˠ j ð e
wyrgþu	w y rˠ ɣ θ u
wyrgþum	w y rˠ j ð u m
wyrht	w y rˠ x t
wyrhta	w y rˠ x t ɑ
wyrhtan	w y rˠ x t ɑ n
wyrhte	w y rˠ x t e
wyrhtena	w y rˠ x t e n ɑ
wyrm	w y rˠ m
wyrmcynn	w y rˠ m k y n
wyrmende	w y rˠ m e n d e
wyrmgalera	w y rˠ m ɡ ɑ l e r ɑ
wyrmgalere	w y rˠ m ɣ ɑ l e r e
wyrmhord	w y rˠ m h o rˠ d
wyrmhorde	w y rˠ m h o rˠ d e
wyrmhordes	w y rˠ m h o rˠ d e s
wyrmlic	w y rˠ m l iː t͡ʃ
wyrmlicum	w y rˠ m l iː k u m
wyrmlicum	w y rˠ m l iː t͡ʃ u m
wyrmread	w y rˠ m r æ͜ɑː d
wyrmreada	w y rˠ m r æ͜ɑː d ɑ
wyrmreadan	w y rˠ m r æ͜ɑː d ɑ n
wyrmreade	w y rˠ m r æ͜ɑː d e
wyrmreadena	w y rˠ m r æ͜ɑː d e n ɑ
wyrmreades	w y rˠ m r æ͜ɑː d e s
wyrmreadne	w y rˠ m r æ͜ɑː d n e
wyrmreadra	w y rˠ m r æ͜ɑː d r ɑ
