'day	d a i
politikal	p o l i t i k a l
politikal	p o l i t i k a l
politiko	p o l i t i k o
polo	p o l o
polonya	p o l o n j a
polyeto	p o l j e t o
pondo	p o n d o
pondohan	p o n d o h a n
ponema	p o n e m a
ponkan	p o ŋ k a n
poon	p u n
portugal	p o ɾ t u ɡ a l
portuges	p o ɾ t u ɡ e s
posas	p o s a s
posporo	p o s p o ɾ o
post	p o u s t
poster	p o s t e ɾ
potensiyal	p o t e n s i a l
prado	p ɾ a d o
prangka	p ɾ a ŋ k a
prangko	p ɾ a ŋ k o
praning	p ɾ a n i ŋ
prayoridad	p ɾ a j o ɾ i d a d
premyo	p ɾ e m j o
presensiya	p ɾ e s e n s i a
preso	p ɾ e s o
pribilehiyo	p ɾ i b i l e h i o
probinsiyano	p ɾ o b i n s i a n o
proklamasyon	p ɾ o k l a m a s j o n
promdi	p r a m d i
promdi	p r o m d i
propagandista	p ɾ o p a ɡ a n d i s t a
propesyon	p ɾ o p e s j o n
propesyonal	p ɾ o p e s j o n a l
propesyonalismo	p ɾ o p e s j o n a l i s m o
protekta	p ɾ o t e k t a
prudente	p ɾ u d e n t e
pua	p u a
puday	p u d a i
pudpod	p u d p o d
pugad	p u ɡ a d
pugo	p u ɡ o ʔ
pugok	p u ɡ o k
pugon	p u ɡ o n
pugot	p u ɡ o t
pugutan	p u ɡ u t a n
puhunan	p u h u n a n
puig	p u t͡ʃ
puke	p u k e
puke	p u k e ʔ
puki	p u k i
puki	p u k i ʔ
pukyutan	p u k j u t a n
pula	p ʊ l a
pulahan	p u l a h a n
pulbura	p u l b u ɾ a
pulgada	p u l ɡ a d a
pulgas	p u l ɡ a s
pulikat	p u l i k a t
pulis	p u l i s
pulmonya	p u l m o n j a
pulo	p u l o ʔ
pulot	p u l o t
pulot	p u l o t
pultaon	p u l t a ʔ ɔ n
pulubi	p u l u b i
pulutan	p u l u t a n
pumalakpak	p u m a l a k p a k
pumarada	p u m a ɾ a d a
pumasok	p u m a s o k
pumatay	p u m a t a i
pumayag	p u m a j a ɡ
pumila	p u m i l a
pumisik	p u m i s i k
pumula	p u m u l a
pumunta	p u m u n t a
pumuti	p u m u t i ʔ
pumutok	p u m u t o k
pundasyon	p u n d a s j o n
pundido	p u n d i d o
punerarya	p u n e ɾ a ɾ j a
puno	p u n o ʔ
puno	p u n o ʔ
punongbayan	p u n o ŋ b a j a n
punongkahoy	p u n o ŋ k a h o i
punsalang	p u n s a l a ŋ
punso	p u n s o
punso	p u n s o ʔ
punta	p u n t a
punta	p u n t a
punta	p u n t a ʔ
puntahan	p u n t a h a n
puntirya	p u n t i ɾ j a
punto	p u n t o
punzalan	p u n s a l a n
puro	p u ɾ o
pusa	p u s a ʔ
pusit	p u s i t
puso	p u s o ʔ
pusod	p u s o d
pusod	p u s o d
puson	p u s o n
pusta	p u s t a
pustahan	p u s t a h a n
pustiso	p u s t i s o
pusyaw	p ʊ s j a u
putakti	p u t a k t i
putbol	p u t b o l
puti	p u t ɪ ʔ
putik	p u t i k
putol	p u t o l
putol	p u t o l
putulin	p u t u l i n
puwas	p u a s
puwes	p u e s
puyat	p u j a t
puyat	p u j a t
puyod	p u j o d
que	k ɛ
quezon	k e s o n
quiambao	k j a m b a u
quiapo	k j a p o ʔ
quimpo	k i m p o
quintos	k i n t o s
quirante	k i ɾ a n t e
quisumbing	k i s u m b i ŋ
quitain	k i t a i n
quiñones	k i ɲ o n e s
racelis	ɾ a s e l i s
ragas	ɾ a ɡ a s
ragasa	ɾ a ɡ a s a
ragsak	ɾ a ɡ s a k
ragudo	ɾ a ɡ u d o
raha	ɾ a h a
rajah	ɾ a h a
raket	ɾ a k e t
rali	ɾ a l i
raliyista	ɾ a l i j i s t a
rambol	ɾ a m b o l
rambulan	ɾ a m b u l a n
rantso	ɾ a n t͡ʃ o
rason	ɾ a s o n
raw	ɾ a u
rayos	ɾ a j o s
razon	ɾ a s o n
reaño	ɾ e a ɲ o
rebelde	ɾ e b e l d e
rebelyon	r ɛ b ɛ l j o n
rebentador	ɾ e b e n t a d o ɾ
rebisa	ɾ e b i s a
rebulto	ɾ e b u l t o
redondo	ɾ e d o n d o
regala	ɾ e ɡ a l a
regidor	ɾ e h i d o ɾ
rehas	ɾ e h a s
rehimen	ɾ e h i m e n
rehistro	ɾ e h i s t ɾ o
rekisito	ɾ e k i s i t o
rekisitos	ɾ e k i s i t o s
relihiyon	ɾ e l i h i o n
relo	ɾ ɛ l o
remigio	ɾ e m i h j o
remolatsa	ɾ e m o l a t͡ʃ a
remulla	ɾ e m u l l a
reodica	ɾ e o d i k a
reperendum	ɾ ɛ p ɛ ɾ ɛ n d u m
replyan	ɾ e p l a j a n
resistensya	ɾ e s i s t e n s j a
responsable	ɾ e s p o n s a b l e
resurreccion	ɾ e s u ɾ e k s j o n
retratista	ɾ e t ɾ a t i s t a
retrato	ɾ e t ɾ a t o
reyes	ɾ e j e s
reyna	ɾ e i n a
ricafort	ɾ i k a f o ɾ t
ricarte	ɾ i k a ɾ t e
riles	ɾ i l e s
rimarim	ɾ i m a ɾ i m
rimas	ɾ i m a s
rin	ɾ i n
rin	ɾ e n
rine	ɾ i n e
rito	ɾ i t o
rivero	ɾ i b e ɾ o
riyan	ɾ i a n
rizal	ɾ i s a l
riñon	ɾ i ɲ o n
roberto	ɾ o b e ɾ t o
rocafort	ɾ o k a f o ɾ t
rodrigo	ɾ o d ɾ i ɡ o
rodriguez	ɾ o d ɾ i ɡ e s
rombaoa	ɾ o m b a w a
romualdez	ɾ o m w a l d e s
romualdo	ɾ o m w a l d o
roon	ɾ o ʔ o n
rosaryo	ɾ o s a ɾ j o
rosete	ɾ o s e t e
roxas	ɾ o h a s
rulloda	ɾ u l l o d a
rumupok	ɾ u m u p o k
rusoblanka	ɾ u s o b l a n k a
rusya	ɾ u s j a
ruta	ɾ u t a
sa	s a
saan	s a ʔ a n
saan	s a n
saba	s a b a
sabado	s a b a d o
sabana	s a b a n a
sabangan	s a b a ŋ a n
sabater	s a b a t e ɾ
sabi	s a b i
sabi	s a b i
sabihin	s a b i h i n
sabila	s a b i l a
sabog	s a b o ɡ
sabon	s a b o n
saboy	s a b o i
sabsab	s a b s a b
sabunan	s a b u n a n
sabunan	s a b u n a n
sabunin	s a b u n i n
sabunot	s a b u n o t
sabunutan	s a b u n u t a n
saburo	s a b u ɾ o
sacdalan	s a k d a l a n
sadie	s e i d i
sadya	s a d j a ʔ
saga	s a ɡ a ʔ
sagana	s a ɡ a n a
sagay	s a ɡ a j
sagilap	s ɐ ɡ i l a p
sagimuymoy	s a ɡ i m u j m o j
saging	s a ɡ i ŋ
saglit	s a ɡ l i t
saguinsin	s a ɡ i n s i n
sagun	s a ɡ u n
saha	s a h a ʔ
sahagun	s a h a ɡ u n
sahog	s a h o ɡ
saing	s a ʔ i ŋ
sais	s a ʔ i s
saka	s a k a
sakal	s a k a l
sakali	s a k a l i ʔ
sakdal	s a k d a l
sakit	s a k i t
sakitin	s a k i t i n
saksak	s a k s a k
saksi	s a k s i
saksihan	s a k s i h a n
saktan	s a k t a n
sakto	s a k t o
sakuna	s a k u n a
sakupbayan	s a k u p b a j a n
sakwa	s a k w a
sala	s a l a
salagubang	s a l a ɡ u b a ŋ
salamat	s a l a m a t
salap	s a l a p
salap	s a l a p
salapi	s a l a p i ʔ
salarin	s a l a ɾ i n
salaula	s a l a ʔ u l a ʔ
salawal	s a l a w a l
salazar	s a l a s a ɾ
salba	s a l b a
saldaña	s a l d a ɲ a
sales	s a l e s
salinlahi	s a l i n l a h i ʔ
salipawpaw	s a l i p a u p a u
salitre	s a l i t ɾ e
salog	s a l o ɡ
salonga	s a l o ŋ ɡ a
salot	s a l o t
salud	s a l u d
salumbides	s a l u m b i d e s
salvacion	s a l b a s i o n
salvador	s a l b a d o ɾ
salvatierra	s a l b a t j e ɾ a
samahan	s a m a h a n
samahan	s a m a h a n
samaniego	s a m a n j e ɡ o
samantala	s a m a n t a l a ʔ
samantha	s a m a n t a
samat	s a m a t
samat	s a m a t
sambasamba	s a m b a s a m b a
samid	s a m i d
samonte	s a m o n t e
sampaloc	s a m p a l o k
sampalok	s a m p a l o k
sampan	s a m p a n
sampay	s a m p a i
sampayan	s a m p a j a n
sampo	s a m p ɔ ʔ
sampu	s a m p u ʔ
sana	s a n a
sanchez	s a n t͡ʃ e s
sandali	s a n d a l i ʔ
sandali	s a n d ɐ l i ʔ
sangalang	s a ŋ ɡ a l a ŋ
sangat	s a ŋ a t
sangco	s a ŋ k o
sanggol	s a ŋ ɡ o l
sanggumay	s a ŋ ɡ u m a i
sangkot	s a ŋ k o t
sangla	s a ŋ l a ʔ
sanidad	s a n i d a d
sanitaryo	s a n i t a ɾ j o
sanke	s a n k e
sanki	s a n k i
santiago	s a n t j a ɡ o
santo	s a n t o
santos	s a n t o s
sapa	s a p a ʔ
sapak	s a p a k
sapak	s a p a k
sapatos	s a p a t o s
sapodilya	s a p o d i l j a
sapok	s a p o k
sapot	s a p o t
sapot	s a p o t
saquing	s a k i ŋ
sara	s ɐ ɾ a
sarabia	s a r a b j a
saranggola	s a ɾ a ŋ ɡ o l a
sarhento	s a ɾ h ɛ n t o
sarimanok	s a ɾ i m a n o k
sasakyan	s a s a k j a n
sasakyan	s a s a k j a n
satomi	s a t o m i
saturno	s a t u ɾ n o
sawa	s a w a
sawa	s a w a ʔ
sawa	s a w a ʔ
saway	s a w a i
sawayin	s a w a j i n
sawi	s a w i ʔ
saya	s a j a
sayari	s a j a ɾ i ʔ
sayson	s a i s o n
see	s iː
segismundo	s e ɡ i s m u n d o
segui	s e ɡ i
segunda	s e ɡ u n d a
sekreto	s e k ɾ e t o
selan	s e l a n
selang	s e l a ŋ
selda	s e l d a
selepono	s e l e p o n o
selpon	s e l p o n
selula	s ɛ l ʊ l ɐ
selular	s e l u l a ɾ
selyo	s e l j o
semantika	s e m a n t i k a
semaña	s e m a ɲ a
sementeryo	s e m e n t e ɾ j o
semento	s e m e n t o
semestre	s e m e s t ɾ e
semilla	s e m i l j a
seminar	s e m i n a ɾ
seminaryo	s e m i n a ɾ j o
sentenaryo	s e n t e n a ɾ j o
sentensiya	s e n t e n s j a
sentensiyahan	s e n t e n s j a h a n
sentido	s e n t i d o
sentigrado	s e n t i ɡ ɾ a d o
sentimo	s e n t i m o
sepulturero	s e p u l t u ɾ e ɾ o
seremonya	s e ɾ e m o n j a
serna	s e ɾ n a
setsuko	s e t͡ʃ u k o
setyembre	s e t j e m b ɾ e
shabu	s j a b u
shao	ʃ a ʊ
shau	ʃ a ʊ
shaw	ʃ a ʊ
shizuko	s h i s u k o
shohei	s h o h e i
sia	s j a
siao	ʃ a ʊ
siason	s j a s o n
sibayan	s i b a j a n
sibog	s i b o ɡ
sibug	s i b u ɡ
sibuyas	s i b u j a s
sidras	s i d ɾ a s
siga	s i ɡ a ʔ
siga	s i ɡ a ʔ
sigarilyas	s i ɡ a ɾ i l j a s
sige	s i ɡ e
siglo	s i ɡ l o
sigmuan	s i ɡ m u a n
siguraduhin	s i ɡ u ɾ a d u h i n
siguro	s i ɡ u ɾ o
sigwasan	s i ɡ w a s a n
sihay	s i h a i
sihayan	s i h a j a n
sikatsikat	s i k a t s i k a t
sikhay	s i k h a j
siko	s i k o
sikreto	s i k ɾ e t o
siksin	s i k s i n
silang	s i l a ŋ
silang	s i l a ŋ
silangan	s i l a ŋ a n
silayan	s i l a j a n
silidkaphay	s i l i d k a p h a i
silidkapnayan	s i l i d k a p n a j a n
silidkatwan	s i l i d k a t w a n
silidkilos	s i l i d k i l o s
silidkulay	s i l i d k u l a j
silidlawas	s i l i d l a w a s
silidmanahan	s i l i d m a n a h a n
silindro	s i l i n d ɾ o
simbahan	s i m b a h a n
simbulan	s i m b u l a n
simenteryo	s i m e n t e ɾ j o
simento	s i m e n t o
simoy	s i m o j
simpatiko	s i m p a t i k o
simple	s i m p l ɛ
sinag	s i n a ɡ
sinamomo	s i n a m o m o
sinapupunan	s i n a p u p u n a n
sinat	s i n a t
sinauna	s i n a u n a
sinco	s i n k o
sindikato	s ɪ n d ɪ k a t o
sine	s i n e
sinelas	s i n e l a s
singgapur	s i ŋ ɡ a p u ɾ
singil	s i ŋ i l
singkal	s i ŋ k a l
singkamasan	o r a s a n
singkit	s i ŋ k i t
singko	s i ŋ k o
sinigwelas	s i n i ɡ w e l a s
sino	s i n o
sinturon	s i n t u ɾ o n
sinukmani	s i n u k m a n i
sioson	s j o s o n
siping	s i p i ŋ
sipnayan	s i p n a j a n
sipon	s i p o n
sipon	s i p ʔ o n
sipsip	s i p s i p
sira	s i ɾ a ʔ
sira	s i ɾ a ʔ
sirain	s i ɾ a ʔ i n
sirena	s i ɾ e n a
sirwelas	s i ɾ w e l a s
sisi	s i s i
sisid	s i s i d
sisihan	s i s i h a n
sitse	s i t͡ʃ e
sitwasyon	s i t w a s j o n
siya	s i a
siya	s i j a
siyam	s i j a m
siyam	ʃ j a m
siyamnapu	s i j a m n a p u ʔ
siyamnaraan	s i j a m n a r a a n
siyampu	s i a m p u
siyasat	s i j aː s a t
siyempre	s i e m p ɾ e
siyesta	s i e s t a
siyete	s i e t e
siyokoy	s i o k o i
so	s ɔ
sobrepeña	s o b ɾ e p e ɲ a
soledad	s o l e d a d
solidum	s o l i d u m
solis	s o l i s
solis	s o l i s
son	s o n
songco	s o ŋ k o
sosa	s o s a
sosyal	s o s j a l
spg	ʔ e s p i d͡ʒ i
strikto	s t ɾ i k t o
suan	s w a n
suazo	s w a s o
subok	s u b ɔ k
subok	s u b o k
subsidiya	s u b s i d i a
sucgang	s u k ɡ a ŋ
sugaan	s u ɡ a ʔ a n
sugal	s u ɡ a l
sugarol	s u ɡ a ɾ o l
suglaguman	s u ɡ l a ɡ u m a n
sugnay	s u ɡ n a j
sugnayan	s u ɡ n a j a n
sugnayanin	s u ɡ n a j a n i n
sugnayanon	s u ɡ n a j a n o n
sugnayin	s u ɡ n a j i n
sugok	s u ɡ o k
suha	s u h a ʔ
suhi	s u h i ʔ
suhol	s u h o l
suico	s u i k o
suka	s u k a
suka	s u k a ʔ
suka	s u k a ʔ
sukal	s u k a l
sukgisan	s u k ɡ i s a n
sulidlawas	s u l i d l a w a s
sulsol	s u l s o l
sultan	s u l t a n
sultan	s u l t a n
sultana	s u l t a n a
sultana	s u l t a n a
sultanato	s u l t a n a t o
sulyasid	s u l j a s i d
sumabog	s u m a b o ɡ
sumadsad	s u m a d s a d
sumadsad	s u m a d s a d
sumagot	s u m a ɡ o t
sumakit	s u m a k i t
sumalapang	s u m a l a p a ŋ
sumalapaw	s u m a l a p a u
sumama	s u m a m a
sumama	s u m a m a ʔ
sumbi	s u m b i ʔ
sumeksi	s u m ɛ k s i
sumemplang	s u m e m p l a ŋ
sumikat	s u m i k a t
sumikip	s u m i k i p
sumiko	s u m i k o
sumimangot	s u m i m a ŋ o t
suminga	s u m i ŋ a
sumuka	s u m u k a
sumulat	s u m u l a t
sundang	s u n d a ŋ
suntok	s u n t o k
suntukan	s u n t u k a n
suntukin	s u n t u k i n
suot	s u o t
supil	s u p i l
supil	s u p i l
supil	s u p i l
suplete	s u p l ɛ t ɛ
supling	s u p l i ŋ
surimbangkay	s u ɾ i m b a ŋ k a i
surot	s u ɾ o t
susmaryosep	s u s m a ɾ j o s e p
sustento	s u s t e n t o
suwelas	s u e l a s
suweldo	s w e l d o
suwesya	s u e s j a
suya	s u j a ʔ
suyod	s u j o d
swerte	s w e r t e
sy	s iː
syaw	ʃ a ʊ
syota	s j o t a ʔ
sze	t ʃ e
tabas	t a b a s
tabas	t a b a s
tabigi	t a b i ɡ i ʔ
tabla	t a b l a
tabla	t a b l a
tablaw	t a b l a w
tabon	t a b o n
taboy	t a b o i
taduran	t a d u ɾ a n
tae	t a ʔ e
tagabukid	t a ɡ a b u k i d
tagal	t a ɡ a l
tagalinis	t a ɡ a l i n i s
tagalog	t ɐ ɡ aː l o ɡ
tagapagmana	t a ɡ a p a ɡ m a n a
tagapangasiwa	t a ɡ a p a ŋ a s i w a ʔ
tagas	t a ɡ a s
tagasaw	t a ɡ a s a u
tagiktik	t a ɡ i k t i k
tagiliran	t a ɡ i l i ɾ a n
taglagas	t a ɡ l a ɡ a s
tago	t a ɡ o ʔ
tagos	t a ɡ o s
tagtuyot	t a ɡ t u j o t
taguba	t a ɡ u b a
tagubilin	t a ɡ u b i l i n
taguinod	t a ɡ i n o d
tagunya	t a ɡ u n j a ʔ
tagupa	t a ɡ u p a
tahasik	t a h a s i k
taib	t a ʔ i b
taihan	t a i h a n
takahashi	t a k a h a s j i
takako	t a k a k o
takal	t a k a l
takal	t a k a l
takbo	t a k b o
takeko	t a k e k o
takilya	t a k i l j a
tala	t a l a ʔ
tala	t a l a ʔ
talabong	t a l a b o ŋ
talag	t a l a ɡ
talampas	t a l a m p a s
talang	t a l a ŋ
talavera	t a l a b e ɾ a
talento	t a l e n t o
talo	t a l o
talon	t a l o n
talong	t a l o ŋ
taludtod	t a l u d t o d
talukbong	t a l u k b o ŋ
talulot	t a l u l o t
talunan	t a l u n a n
talunan	t a l u n a n
tam	t a m
tambakol	t a m b a k o l
tambalan	t a m b a l a n
tamban	t a m b a n
tambayan	t a m b a j a n
tamiko	t a m i k o
tamis	t a m i s
tamod	t a m o d
tampal	t a m p a l
tampisaw	t a m p i s a u
tan	t a n
tanauan	t a n a w a n
tanauan	t a n ʔ a w a n
tancinco	t a n s i n k o
tang	t a ŋ
tanga	t a ŋ a
tangco	t a ŋ k o
tanggal	t a ŋ ɡ a l
tanghali	t a ŋ h a l i ʔ
tanghalian	t a ŋ h a l i ʔ a n
tanghas	t a ŋ h a s
tangka	t a ŋ k a ʔ
tangkal	t a ŋ k a l
tanikala	t a n i k a l a ʔ
taning	t a n i ŋ
tanlap	t a n l a p
tansan	t a n s a n
tansan	t a n s a n
tansiya	t a n s i a
tanso	t a n s o ʔ
tantiya	t a n t i a
tao	t a ʔ o
tao	t a ʔ o
taog	t a ʔ o ɡ
taon	t a ʔ o n
tapales	t a p a l e s
tapat	t a p a t
tapay	t a p a i
tapilok	t a p i l o k
tapos	t a p o s
tapos	t a p o s
tapos	t a s
tapsilog	t a p s i l o ɡ
tapulaw	t a p u l a u
tapunan	t a p u n a n
tapunan	t a p u n a n
tapusin	t a p u s i n
tarik	t a ɾ i k
taruc	t a ɾ u k
tas	t a s
tasa	t a s a
tataw	t a t a w
tataw	t a t a w
tatlo	t a t l ɔ
tatlonghari	t a t l o ŋ h a ɾ i
tatlumpu	t a t l u m p u ʔ
tatlundaan	t a t l u n d a a n
tato	t a t o ʔ
tatsuko	t a t͡ʃ u k o
tatsulok	t a t͡ʃ u l o k
tauhan	t a ʔ u h a n
tawag	t a w a ɡ
tawanan	t a w a n a n
tawanan	t a w a n a n
tawanan	t a w a n a n
tayabas	t a j a b a s
tayahan	t a j a h a n
tayo	t a j o
tayo	t a j o ʔ
tañada	t a ɲ a d a
tecson	t e k s o n
tee	t iː
teklado	t e k l a d o
teknolohiya	t e k n o l o h i a
telebisyon	t e l e b i s j o n
telepono	t e l e p o n o
tenga	t e ŋ a
tenorio	t e n o ɾ j o
tenyente	t e n j e n t e
teodoro	t e o d o ɾ o
teoriya	t e o ɾ i a
teritoryo	t e ɾ i t o ɾ j o
teruko	t e ɾ u k o
tetano	t e t a n o
tiamson	t j a m s o n
tian	t j a n
tiangco	t j a ŋ k o
tibay	t i b a i
tibig	t i b i ɡ
tibo	t ɪ b ɔ ʔ
tibo	t ɪ b ɔ ʔ
tiburcio	t i b u ɾ s j o
ticzon	t i k s o n
tien	t j e n
tigang	t i ɡ a ŋ
tigang	t i ɡ a ŋ
tigas	t i ɡ a s
tigilan	t i ɡ i l a n
tignan	t i ɡ n a n
tigyawat	t i ɡ j a w a t
tiis	t i ʔ i s
tikbalang	t i k b a l a ŋ
tikling	t i k l i ŋ
tiklop	t i k l o p
tiktik	t i k t i k
timbang	t i m b a ŋ
timog	t i m o ɡ
timoteo	t i m o t e o
tin	t ɪ n
tina	t i n a ʔ
tinapa	t i n a p a
tinapay	t i n a p a i
tinda	t i n d a
tindera	t i n d e ɾ a
tindero	t i n d e ɾ o
tindig	t i n d i ɡ
ting	t ɪ ŋ
tinga	t i ŋ a
tingala	t i ŋ a l a ʔ
tingalaan	t i ŋ a l a a n
tingga	t i ŋ ɡ a ʔ
tingid	t i ŋ i d
tingin	t i ŋ i n
tingnan	t i ŋ n a n
tinidor	t i n i d o ɾ
tinig	t i n i ɡ
tinik	t i n i k
tinikling	t i n i k l i ŋ
tino	t i n o ʔ
tinta	t i n t a
tio	t j o
tiongco	t i o ŋ k o
tiozon	t j o s o n
tipak	t i p a k
tipaklong	t i p a k l o ŋ
tiple	t i p l e
tipon	t i p o n
tira	t i ɾ a
tira	t i ɾ a
tira	t i ɾ a ʔ
tirada	t i ɾ a d a
tirahan	t i ɾ a h a n
tirahan	t i ɾ a h a n
tiraniya	t i ɾ a n i a
tirik	t i ɾ i k
tirik	t i ɾ i k
tiris	t i ɾ i s
tirona	t i ɾ o n a
tisod	t i s o d
tita	t i t a
titik	t i t i k
tito	t i t o
tito	t i t o ʔ
tiu	t j uː
tiwala	t i w a l a ʔ
tiwali	t i w a l i ʔ
tiya	t i a
tiyaga	t i a ɡ a ʔ
tiyahin	t i a h i n
tiyahin	t͡ʃ a h i n
tiyan	t i a n
tiyanak	t i a n a k
tiyangge	t i a ŋ ɡ e ʔ
tiyesa	t i e s a
tiyo	t i o
tiyubibo	t i j u b i b ɔ
tiyuhin	t i u h i n
tiyuhin	t͡ʃ u h i n
to	t o
tokayo	t o k a j o
tomiko	t o m i k o
tomoko	t o m o k o
tonelada	t o n e l a d a
tong	t o ŋ
topacio	t o p a s j o
topak	t o p a k
tordo	t o ɾ d o
tore	t o ɾ e
torotot	t o ɾ o t o t
torralba	t o ɾ ɾ a l b a
torrecampo	t o ɾ ɾ e k a m p o
totanes	t o t a n e s
totoo	t o t o o
trabaho	t r a b a h o
trahedya	t ɾ a h e d j a
trangkaso	t ɾ a ŋ k a s o
trapik	t ɾ a p i k
traqueña	t ɾ a k e ɲ a
tratado	t ɾ a t a d o
trato	t ɾ a t o
traydor	t ɾ a i d o ɾ
tria	t ɾ i a
triguhan	t r ɪ ɡ ʊ h a n
trillanes	t ɾ i l l a n e s
trip	t ɾ i p
trono	t ɾ o n o
tropatuts	t r o p a t u t s
tsaa	t͡ʃ a ʔ a
tsaka	t͡ʃ a k a
tsampoy	t͡ʃ a m p o i
tseke	t͡ʃ e k e
tseko	t͡ʃ e k o
tsekya	t͡ʃ e k j a
tsempedak	t͡ʃ e m p e d a k
tsikinini	t͡ʃ i k i n i n i ʔ
tsiklet	t ʃ i k l ɛ t
tsiko	t͡ʃ i k o
tsikot	t͡ʃ i k o t
tsina	t s i n a
tsinelas	t͡ʃ i n e l a s
tsinoy	t s ɪ n ɔ ɪ
tsismis	t͡ʃ i s m i s
tsismosa	t͡ʃ i s m o s a
tsokolate	t͡ʃ o k o l a t e
tsong	t ʃ o ŋ
tsonggo	t͡ʃ o ŋ ɡ o
tsugi	t͡ʃ u ɡ i
tsunami	t͡ʃ u n a m i
tsuper	t͡ʃ u p e ɾ
tuason	t w a s o n
tuba	t u b a ʔ
tuba	t u b a
tubero	t u b e ɾ o
tubig	t u b i ɡ
tubig	t u b i ɡ
tubo	t u b o ʔ
tubo	t u b o
tubo	t u b o
tubuhan	t u b u h a n
tugade	t u ɡ a d e
tugtog	t u ɡ t o ɡ
tugtugin	t u ɡ t u ɡ i n
tugtugin	t u ɡ t u ɡ i n
tuhod	t u h o d
tuklaw	t u k l a u
tukod	t u k o d
tukso	t u k s o
tulad	t u l a d
tulak	t u l a k
tulatod	t u l a t o d
tulay	t u l a i
tulingan	t u l i ŋ a n
tullao	t u l j a u
tulo	t u l o ʔ
tulog	t u l o ɡ
tulog	t u l o ɡ
tulong	t u l o ŋ
tuloy	t u l o i
tumaba	t u m a b a ʔ
tumacder	t u m a k d e ɾ
tumae	t u m a ʔ e
tumahimik	t u m a h i m i k
tumakbo	t u m a k b ɔ
tumalima	t u m a l i m a
tumalon	t u m a l o n
tumanggap	t u m a ŋ ɡ a p
tumanggi	t u m a ŋ ɡ i
tumapon	t u m a p o n
tumawa	t u m a w a
tumayo	t u m a j o ʔ
tumbaga	t u m b a ɡ a
tumbalik	t u m b a l i k
tumbok	t u m b o k
tumbong	t u m b o ŋ
tumimos	t u m i m o s
tumingala	t u m i ŋ a l a ʔ
tumingin	t u m i ŋ i n
tumira	t u m i ɾ a
tumira	t u m i ɾ a
tumirik	t u m i r i k
tumpang	t u m p a ŋ
tumpok	t u m p o k
tumugtog	t u m u ɡ t o ɡ
tumukso	t u m u k s o
tumula	t u m u l a ʔ
tumulong	t u m u l o ŋ
tunaw	t u n a w
tunaw	t u n a w
tunay	t u n a i
tung	t u ŋ
tungaw	t u ŋ a u
tungkab	t u ŋ k a b
tungkod	t u ŋ k o d
tungkol	t u ŋ k o l
tungkos	t u ŋ k o s
tunog	t u n o ɡ
tunton	t u n t o n
tunugan	t u n u ɡ a n
tupa	t u p a
tupad	t u p a d
tupada	t u p a d a
tupi	t u p i ʔ
turnilyo	t u ɾ n i l j o
turok	t u ɾ o k
tuso	t u s o
tuto	t u t o ʔ
tuto	t u t o
tutol	t u t o l
tutubi	t u t u b i
tutuli	t u t u l i
tuwa	t u w a ʔ
tuwad	t u a d
tuwad	t u a d
tuwalya	t u a l j a
tuwang	t u a ŋ
ty	t iː
uang	u ʔ a ŋ
ubad	ʔ u b a d
ubalde	u b a l d e
uban	ʔ u b a n
ubas	ʔ u b a s
ubasan	ʔ u b a s a n
ubo	ʔ u b o
ubo	ʔ u b o ʔ
udyukan	ʔ u d j u k a n
ugat	ʔ u ɡ a t
uhaw	ʔ u h a u
uhaw	ʔ u h a u
ulam	ʔ u l a m
ulep	ʔ u l e p
ulianin	ʔ u l i a n i n
ulila	ʔ u l i l a
uling	ʔ u l i ŋ
ulnungkuro	ʔ u l n u ŋ k u ɾ o ʔ
ulo	u l o
ulo	u l o
umaa	ʔ u m a ʔ a ʔ
umaa	ʔ u m a ʔ a ʔ
umaaa	ʔ u m a ʔ a ʔ a ʔ
umaakyat	ʔ u m a ʔ a k j a t
umabay	ʔ u m a b a j
umabyad	ʔ u m a b j a d
umagahas	ʔ u m a ɡ a h a s
umagahas	ʔ u m a ɡ a h a s
umagnas	ʔ u m a ɡ n a s
umakyat	ʔ u m a k j a t
umalingawngaw	ʔ u m a l i ŋ a u ŋ a u
umalis	ʔ u m a l i s
umalog	ʔ u m a l o ɡ
umang	ʔ u m a ŋ
umanta	ʔ u m a n t a
umapaw	ʔ u m a p a u
umaraw	u m a r a w
umasa	ʔ u m a s a
umasim	ʔ u m a s i m
umasinta	ʔ u m a s i n t a
umawat	ʔ u m a w a t
umawit	ʔ u m a w i t
umayos	ʔ u m a j o s
umebak	ʔ u m e b a k
umepal	ʔ u m e p a l
umibig	ʔ u m i b i ɡ
umihi	ʔ u m i h i ʔ
uminom	ʔ u m i n o m
umiskor	ʔ u m i s k o ɾ
umisod	ʔ u m i s o d
umiwas	ʔ u m i w a s
umiyak	ʔ u m i j a k
umpisa	ʔ u m p i s a
umpok	ʔ u m p o k
umuha	ʔ u m u h a ʔ
umunlad	ʔ u m u n l a d
umupo	ʔ u m u p o ʔ
umurong	ʔ u m u ɾ o ŋ
umutot	ʔ u m u t o t
umuwi	ʔ u m u w i ʔ
un	j u n
unan	ʔ u n a n
unano	ʔ u n a n o ʔ
ung	j u ŋ
untalan	ʔ u n t a l a n
uod	ʔ u ʔ o d
upa	ʔ u p a
upaw	ʔ u p a w
upaw	ʔ u p a w
urano	ʔ u ɾ a n o
