Ⴁ	b
ჭიშკარი	t͡ʃʼ i ʃ kʼ a r i
ჭიხვინი	t͡ʃʼ i x v i n i
ჭკა	t͡ʃʼ kʼ a
ჭკადუა	t͡ʃʼ kʼ a d u a
ჭკვიანად	t͡ʃʼ kʼ v i a n a d
ჭკვიანი	t͡ʃʼ kʼ v i a n i
ჭკუა	t͡ʃʼ kʼ u a
ჭლექი	t͡ʃʼ l ɛ kʰ i
ჭლექიანი	t͡ʃʼ l ɛ kʰ i a n i
ჭო	t͡ʃʼ ɔ
ჭოგრი	t͡ʃʼ ɔ ɡ r i
ჭოკი	t͡ʃʼ ɔ kʼ i
ჭონი	t͡ʃʼ ɔ n i
ჭორაობა	t͡ʃʼ ɔ r a ɔ b a
ჭორი	t͡ʃʼ ɔ r i
ჭრა	t͡ʃʼ r a
ჭრელი	t͡ʃʼ r ɛ l i
ჭრიალა	t͡ʃʼ r i a l a
ჭრიალი	t͡ʃʼ r i a l i
ჭრიალით	t͡ʃʼ r i a l i tʰ
ჭრილი	t͡ʃʼ r i l i
ჭრილობა	t͡ʃʼ r i l ɔ b a
ჭრიჭინა	t͡ʃʼ r i t͡ʃʼ i n a
ჭუნირი	t͡ʃʼ u n i r i
ჭუპრი	t͡ʃʼ u pʼ r i
ჭურვი	t͡ʃʼ u r v i
ჭურჭელი	t͡ʃʼ u r t͡ʃʼ ɛ l i
ჭუჭრუტანა	t͡ʃʼ u t͡ʃʼ r u tʼ a n a
ჭუჭუ	t͡ʃʼ u t͡ʃʼ u
ჭუჭული	t͡ʃʼ u t͡ʃʼ u l i
ჭუჭყი	t͡ʃʼ u t͡ʃʼ qʼ i
ჭუჭყიანად	t͡ʃʼ u t͡ʃʼ qʼ i a n a d
ჭუჭყიანი	t͡ʃʼ u t͡ʃʼ qʼ i a n i
ჭყაპი	t͡ʃʼ qʼ a pʼ i
ჭყეტელა	t͡ʃʼ qʼ ɛ tʼ ɛ l a
ჭყეტელად	t͡ʃʼ qʼ ɛ tʼ ɛ l a d
ჭყვლეპავ	t͡ʃʼ qʼ v l ɛ pʼ a v
ჭყვლეპავს	t͡ʃʼ qʼ v l ɛ pʼ a v s
ხაბაზი	x a b a z i
ხაბარი	x a b a r i
ხავერდი	x a v ɛ r d i
ხავერდოვანი	x a v ɛ r d ɔ v a n i
ხავსი	x a v s i
ხავსიანი	x a v s i a n i
ხაზავს	x a z a v s
ხაზგასმით	x a z ɡ a s m i tʰ
ხაზვა	x a z v a
ხაზი	x a z i
ხაზინა	x a z i n a
ხაზინადარი	x a z i n a d a r i
ხაზოვანი	x a z ɔ v a n i
ხაზოვნად	x a z ɔ v n a d
ხათა	x a tʰ a
ხათაბალა	x a tʰ a b a l a
ხათრიძე	x a tʰ r i d͡z ɛ
ხათუნა	x a tʰ u n a
ხაკერი	x a kʼ ɛ r i
ხაკი	x a kʼ i
ხალავს	x a l a v s
ხალათი	x a l a tʰ i
ხალასი	x a l a s i
ხალებიანი	x a l ɛ b i a n i
ხალვათი	x a l v a tʰ i
ხალი	x a l i
ხალისით	x a l i s i tʰ
ხალიფა	x a l i pʰ a
ხალიჩა	x a l i t͡ʃ a
ხალხად	x a l x a d
ხალხი	x a l x i
ხალხით	x a l x i tʰ
ხალხის	x a l x i s
ხალხმა	x a l x m a
ხალხს	x a l x s
ხამლი	x a m l i
ხან	x a n
ხანა	x a n a
ხანგრძლივი	x a n ɡ r d͡z l i v i
ხანგრძლივობა	x a n ɡ r d͡z l i v ɔ b a
ხანდაზმული	x a n d a z m u l i
ხანდახან	x a n d a x a n
ხანი	x a n i
ხანმეტი	x a n m ɛ tʼ i
ხანმოკლე	x a n m ɔ kʼ l ɛ
ხანმოკლეობა	x a n m ɔ kʼ l ɛ ɔ b a
ხანძარი	x a n d͡z a r i
ხანჯალი	x a n d͡ʒ a l i
ხანჯლური	x a n d͡ʒ l u r i
ხაო	x a ɔ
ხაოიანი	x a ɔ i a n i
ხარ	x a r
ხარაკირი	x a r a kʼ i r i
ხარატი	x a r a tʼ i
ხარაჩო	x a r a t͡ʃ ɔ
ხარბად	x a r b a d
ხარბი	x a r b i
ხარვეზი	x a r v ɛ z i
ხართ	x a r tʰ
ხარი	x a r i
ხარისხად	x a r i s x a d
ხარისხი	x a r i s x i
ხარისხით	x a r i s x i tʰ
ხარისხის	x a r i s x i s
ხარისხმა	x a r i s x m a
ხარისხობრივად	x a r i s x ɔ b r i v a d
ხარისხობრივი	x a r i s x ɔ b r i v i
ხარისხს	x a r i s x s
ხარიხა	x a r i x a
ხარკი	x a r kʼ i
ხარკოვი	x a r kʼ ɔ v i
ხარშავს	x a r ʃ a v s
ხარშვა	x a r ʃ v a
ხარჩო	x a r t͡ʃ ɔ
ხარხარი	x a r x a r i
ხარჯავს	x a r d͡ʒ a v s
ხარჯი	x a r d͡ʒ i
ხასიათი	x a s i a tʰ i
ხატა	x a tʼ a
ხატავს	x a tʼ a v s
ხატები	x a tʼ ɛ b i
ხატვა	x a tʼ v a
ხატი	x a tʼ i
ხატია	x a tʼ i a
ხატოვანი	x a tʼ ɔ v a n i
ხატოვნად	x a tʼ ɔ v n a d
ხაფანგი	x a pʰ a n ɡ i
ხაფი	x a pʰ i
ხაში	x a ʃ i
ხაჩკარი	x a t͡ʃ kʼ a r i
ხაჭაპური	x a t͡ʃʼ a pʼ u r i
ხაჭო	x a t͡ʃʼ ɔ
ხახვი	x a x v i
ხბო	x b ɔ
ხდება	x d ɛ b a
ხდენა	x d ɛ n a
ხდომა	x d ɔ m a
ხე	x ɛ
ხედ	x ɛ d
ხედავს	x ɛ d a v s
ხედვა	x ɛ d v a
ხედი	x ɛ d i
ხეებად	x ɛ ɛ b a d
ხეები	x ɛ ɛ b i
ხეებით	x ɛ ɛ b i tʰ
ხეების	x ɛ ɛ b i s
ხეებმა	x ɛ ɛ b m a
ხეებო	x ɛ ɛ b ɔ
ხეებს	x ɛ ɛ b s
ხევ	x ɛ v
ხევი	x ɛ v i
ხევისბერი	x ɛ v i s b ɛ r i
ხევსურეთი	x ɛ v s u r ɛ tʰ i
ხევსური	x ɛ v s u r i
ხევსურული	x ɛ v s u r u l i
ხეთ	x ɛ tʰ
ხეთქა	x ɛ tʰ kʰ a
ხეიბარი	x ɛ i b a r i
ხეივანი	x ɛ i v a n i
ხეკოლა	x ɛ kʼ ɔ l a
ხეკორძი	x ɛ kʼ ɔ r d͡z i
ხელად	x ɛ l a d
ხელადა	x ɛ l a d a
ხელაშვილი	x ɛ l a ʃ v i l i
ხელახლა	x ɛ l a x l a
ხელბორკილი	x ɛ l b ɔ r kʼ i l i
ხელბურთი	x ɛ l b u r tʰ i
ხელგაშლილად	x ɛ l ɡ a ʃ l i l a d
ხელგაშლილი	x ɛ l ɡ a ʃ l i l i
ხელგაშლილობა	x ɛ l ɡ a ʃ l i l ɔ b a
ხელთათმანი	x ɛ l tʰ a tʰ m a n i
ხელი	x ɛ l i
ხელით	x ɛ l i tʰ
ხელის	x ɛ l i s
ხელისგული	x ɛ l i s ɡ u l i
ხელისუფალი	x ɛ l i s u pʰ a l i
ხელისუფლება	x ɛ l i s u pʰ l ɛ b a
ხელისუფლებამ	x ɛ l i s u pʰ l ɛ b a m
ხელკეტი	x ɛ l kʼ ɛ tʼ i
ხელმა	x ɛ l m a
ხელმოკლე	x ɛ l m ɔ kʼ l ɛ
ხელმომწერი	x ɛ l m ɔ m t͡sʼ ɛ r i
ხელმოუწერელი	x ɛ l m ɔ u t͡sʼ ɛ r ɛ l i
ხელმოწერა	x ɛ l m ɔ t͡sʼ ɛ r a
ხელმძღვანელი	x ɛ l m d͡z ɣ v a n ɛ l i
ხელმძღვანელობა	x ɛ l m d͡z ɣ v a n ɛ l ɔ b a
ხელმწიფე	x ɛ l m t͡sʼ i pʰ ɛ
ხელნაწერი	x ɛ l n a t͡sʼ ɛ r i
ხელობა	x ɛ l ɔ b a
ხელოვანი	x ɛ l ɔ v a n i
ხელოვნება	x ɛ l ɔ v n ɛ b a
ხელოვნებად	x ɛ l ɔ v n ɛ b a d
ხელოვნებამ	x ɛ l ɔ v n ɛ b a m
ხელოვნებას	x ɛ l ɔ v n ɛ b a s
ხელოვნებით	x ɛ l ɔ v n ɛ b i tʰ
ხელოვნების	x ɛ l ɔ v n ɛ b i s
ხელოვნურად	x ɛ l ɔ v n u r a d
ხელოვნური	x ɛ l ɔ v n u r i
ხელოსანი	x ɛ l ɔ s a n i
ხელს	x ɛ l s
ხელსაქმე	x ɛ l s a kʰ m ɛ
ხელსაყრელად	x ɛ l s a qʼ r ɛ l a d
ხელსაყრელი	x ɛ l s a qʼ r ɛ l i
ხელსაწყო	x ɛ l s a t͡sʼ qʼ ɔ
ხელსახოცი	x ɛ l s a x ɔ t͡s i
ხელუხლებელი	x ɛ l u x l ɛ b ɛ l i
ხელყუმბარა	x ɛ l qʼ u m b a r a
ხელშეკრულება	x ɛ l ʃ ɛ kʼ r u l ɛ b a
ხელშემწყობი	x ɛ l ʃ ɛ m t͡sʼ qʼ ɔ b i
ხელშესახებად	x ɛ l ʃ ɛ s a x ɛ b a d
ხელშესახები	x ɛ l ʃ ɛ s a x ɛ b i
ხელშეუხებელი	x ɛ l ʃ ɛ u x ɛ b ɛ l i
ხელშეწყობა	x ɛ l ʃ ɛ t͡sʼ qʼ ɔ b a
ხელცარიელი	x ɛ l t͡s a r i ɛ l i
ხელწამოსაკრავი	x ɛ l t͡sʼ a m ɔ s a kʼ r a v i
ხელწერა	x ɛ l t͡sʼ ɛ r a
ხემ	x ɛ m
ხემი	x ɛ m i
ხემსი	x ɛ m s i
ხენდრო	x ɛ n d r ɔ
ხენი	x ɛ n i
ხენო	x ɛ n ɔ
ხეობა	x ɛ ɔ b a
ხეპრე	x ɛ pʼ r ɛ
ხერესი	x ɛ r ɛ s i
ხერხავს	x ɛ r x a v s
ხერხემალი	x ɛ r x ɛ m a l i
ხერხი	x ɛ r x i
ხერხით	x ɛ r x i tʰ
ხერხის	x ɛ r x i s
ხერხმა	x ɛ r x m a
ხერხს	x ɛ r x s
ხეს	x ɛ s
ხეტიალი	x ɛ tʼ i a l i
ხეჩაკალი	x ɛ t͡ʃ a kʼ a l i
ხეხავს	x ɛ x a v s
ხვალ	x v a l
ხვალინდელი	x v a l i n d ɛ l i
ხვარამზე	x v a r a m z ɛ
ხვართქლა	x v a r tʰ kʰ l a
ხვატი	x v a tʼ i
ხვედრა	x v ɛ d r a
ხვედრი	x v ɛ d r i
ხვევა	x v ɛ v a
ხველა	x v ɛ l a
ხველება	x v ɛ l ɛ b a
ხვეული	x v ɛ u l i
ხვეწს	x v ɛ t͡sʼ s
ხვია	x v i a
ხვინჭი	x v i n t͡ʃʼ i
ხვირიკა	x v i r i kʼ a
ხვიჩა	x v i t͡ʃ a
ხვლიკი	x v l i kʼ i
ხვრელი	x v r ɛ l i
ხვრეპა	x v r ɛ pʼ a
ხვრეპს	x v r ɛ pʼ s
ხვრინავს	x v r i n a v s
ხვრინვა	x v r i n v a
ხიბლი	x i b l i
ხიდი	x i d i
ხიზანიშვილი	x i z a n i ʃ v i l i
ხიზილალა	x i z i l a l a
ხით	x i tʰ
ხილვა	x i l v a
ხილი	x i l i
ხილული	x i l u l i
ხილულობა	x i l u l ɔ b a
ხიმინჯი	x i m i n d͡ʒ i
ხინკალი	x i n kʼ a l i
ხინჯი	x i n d͡ʒ i
ხის	x i s
ხისტად	x i s tʼ a d
ხისტი	x i s tʼ i
ხიფათი	x i pʰ a tʰ i
ხიფათიანი	x i pʰ a tʰ i a n i
ხიშტი	x i ʃ tʼ i
ხიწვი	x i t͡sʼ v i
ხიჭვი	x i t͡ʃʼ v i
ხიჭი	x i t͡ʃʼ i
ხლეჩს	x l ɛ t͡ʃ s
ხმა	x m a
ხმად	x m a d
ხმადაბლა	x m a d a b l a
ხმალი	x m a l i
ხმამ	x m a m
ხმამაღალი	x m a m a ɣ a l i
ხმამაღლა	x m a m a ɣ l a
ხმამაღლამოლაპარაკე	x m a m a ɣ l a m ɔ l a pʼ a r a kʼ ɛ
ხმარება	x m a r ɛ b a
ხმას	x m a s
ხმაური	x m a u r i
ხმაურიანად	x m a u r i a n a d
ხმაურიანი	x m a u r i a n i
ხმაურით	x m a u r i tʰ
ხმაშეუღწევი	x m a ʃ ɛ u ɣ t͡sʼ ɛ v i
ხმელეთი	x m ɛ l ɛ tʰ i
ხმელი	x m ɛ l i
ხმით	x m i tʰ
ხმის	x m i s
ხმოვანი	x m ɔ v a n i
ხნარცვი	x n a r t͡s v i
ხო	x ɔ
ხოგაი	x ɔ ɡ a i
ხოდა	x ɔ d a
ხოლო	x ɔ l ɔ
ხომ	x ɔ m
ხომალდი	x ɔ m a l d i
ხომასურიძე	x ɔ m a s u r i d͡z ɛ
ხონჩა	x ɔ n t͡ʃ a
ხორაგი	x ɔ r a ɡ i
ხორბალი	x ɔ r b a l i
ხორბლეული	x ɔ r b l ɛ u l i
ხორვატია	x ɔ r v a tʼ i a
ხორთუმი	x ɔ r tʰ u m i
ხორკლიანი	x ɔ r kʼ l i a n i
ხორუმი	x ɔ r u m i
ხორცი	x ɔ r t͡s i
ხორციანი	x ɔ r t͡s i a n i
ხორციელი	x ɔ r t͡s i ɛ l i
ხორცსავსე	x ɔ r t͡s s a v s ɛ
ხორცშესხმა	x ɔ r t͡s ʃ ɛ s x m a
ხორცშესხმული	x ɔ r t͡s ʃ ɛ s x m u l i
ხორხი	x ɔ r x i
ხორხისმიერი	x ɔ r x i s m i ɛ r i
ხორხსარქველი	x ɔ r x s a r kʰ v ɛ l i
ხოტბა	x ɔ tʼ b a
ხოცვა	x ɔ t͡s v a
ხოჭო	x ɔ t͡ʃʼ ɔ
ხოხისმიერად	x ɔ x i s m i ɛ r a d
ხოხობი	x ɔ x ɔ b i
ხრამი	x r a m i
ხრამული	x r a m u l i
ხრაშუნი	x r a ʃ u n i
ხრახნი	x r a x n i
ხრეში	x r ɛ ʃ i
ხრეშიანი	x r ɛ ʃ i a n i
ხრიალი	x r i a l i
ხრიდოლი	x r i d ɔ l i
ხრიკი	x r i kʼ i
ხრინწიანად	x r i n t͡sʼ i a n a d
ხრინწიანი	x r i n t͡sʼ i a n i
ხროვა	x r ɔ v a
ხრტილი	x r tʼ i l i
ხრტილოვანი	x r tʼ i l ɔ v a n i
ხრწნა	x r t͡sʼ n a
ხსენება	x s ɛ n ɛ b a
ხსნა	x s n a
ხსნადი	x s n a d i
ხსნადობა	x s n a d ɔ b a
ხსნის	x s n i s
ხტომა	x tʼ ɔ m a
ხუთი	x u tʰ i
ხუთკუთხა	x u tʰ kʼ u tʰ x a
ხუთკუთხედი	x u tʰ kʼ u tʰ x ɛ d i
ხუთოცი	x u tʰ ɔ t͡s i
ხუთშაბათი	x u tʰ ʃ a b a tʰ i
ხუთჭიდი	x u tʰ t͡ʃʼ i d i
ხულიგანი	x u l i ɡ a n i
ხულიგნობა	x u l i ɡ n ɔ b a
ხულიგნური	x u l i ɡ n u r i
ხუმარა	x u m a r a
ხუმრობა	x u m r ɔ b a
ხუმრობით	x u m r ɔ b i tʰ
ხუმრობს	x u m r ɔ b s
ხუნტა	x u n tʼ a
ხურავს	x u r a v s
ხურდა	x u r d a
ხურმა	x u r m a
ხურო	x u r ɔ
ხურტკმელი	x u r tʼ kʼ m ɛ l i
ხუშტური	x u ʃ tʼ u r i
ხუცური	x u t͡s u r i
ხუჭუჭი	x u t͡ʃʼ u t͡ʃʼ i
ხუხულა	x u x u l a
ხშირად	x ʃ i r a d
ხშირი	x ʃ i r i
ჯაბა	d͡ʒ a b a
ჯაბახანა	d͡ʒ a b a x a n a
ჯაგარი	d͡ʒ a ɡ a r i
ჯაგრისი	d͡ʒ a ɡ r i s i
ჯადო	d͡ʒ a d ɔ
ჯადოსნობა	d͡ʒ a d ɔ s n ɔ b a
ჯადოსნურად	d͡ʒ a d ɔ s n u r a d
ჯადოსნური	d͡ʒ a d ɔ s n u r i
ჯადოქარი	d͡ʒ a d ɔ kʰ a r i
ჯადოქრობა	d͡ʒ a d ɔ kʰ r ɔ b a
ჯავა	d͡ʒ a v a
ჯავარიანი	d͡ʒ a v a r i a n i
ჯავახეთი	d͡ʒ a v a x ɛ tʰ i
ჯავახიშვილი	d͡ʒ a v a x i ʃ v i l i
ჯავშანი	d͡ʒ a v ʃ a n i
ჯავშნიანი	d͡ʒ a v ʃ n i a n i
ჯაზური	d͡ʒ a z u r i
ჯალათი	d͡ʒ a l a tʰ i
ჯალამბარი	d͡ʒ a l a m b a r i
ჯალაღონია	d͡ʒ a l a ɣ ɔ n i a
ჯამაათი	d͡ʒ a m a a tʰ i
ჯამაგირი	d͡ʒ a m a ɡ i r i
ჯამბაზი	d͡ʒ a m b a z i
ჯამი	d͡ʒ a m i
ჯანაშია	d͡ʒ a n a ʃ i a
ჯანგირაშვილი	d͡ʒ a n ɡ i r a ʃ v i l i
ჯანდაბა	d͡ʒ a n d a b a
ჯანი	d͡ʒ a n i
ჯანმრთელად	d͡ʒ a n m r tʰ ɛ l a d
ჯანმრთელი	d͡ʒ a n m r tʰ ɛ l i
ჯანმრთელობა	d͡ʒ a n m r tʰ ɛ l ɔ b a
ჯანსაღად	d͡ʒ a n s a ɣ a d
ჯანსაღი	d͡ʒ a n s a ɣ i
ჯანჯაფილი	d͡ʒ a n d͡ʒ a pʰ i l i
ჯარაექიმი	d͡ʒ a r a ɛ kʰ i m i
ჯარბი	d͡ʒ a r b i
ჯართი	d͡ʒ a r tʰ i
ჯარი	d͡ʒ a r i
ჯარიმა	d͡ʒ a r i m a
ჯარისკაცი	d͡ʒ a r i s kʼ a t͡s i
ჯაყვა	d͡ʒ a qʼ v a
ჯაშუში	d͡ʒ a ʃ u ʃ i
ჯაჭვი	d͡ʒ a t͡ʃʼ v i
ჯაჯა	d͡ʒ a d͡ʒ a
ჯგუფი	d͡ʒ ɡ u pʰ i
ჯგუფური	d͡ʒ ɡ u pʰ u r i
ჯდომა	d͡ʒ d ɔ m a
ჯებირი	d͡ʒ ɛ b i r i
ჯეელი	d͡ʒ ɛ ɛ l i
ჯეილი	d͡ʒ ɛ i l i
ჯეიმსი	d͡ʒ ɛ i m s i
ჯეინი	d͡ʒ ɛ i n i
ჯეირანი	d͡ʒ ɛ i r a n i
ჯეკი	d͡ʒ ɛ kʼ i
ჯემპრი	d͡ʒ ɛ m pʼ r i
ჯენი	d͡ʒ ɛ n i
ჯენიფერი	d͡ʒ ɛ n i pʰ ɛ r i
ჯენტლმენი	d͡ʒ ɛ n tʼ l m ɛ n i
ჯენჯო	d͡ʒ ɛ n d͡ʒ ɔ
ჯერ	d͡ʒ ɛ r
ჯერალდი	d͡ʒ ɛ r a l d i
ჯერი	d͡ʒ ɛ r i
ჯეროვნად	d͡ʒ ɛ r ɔ v n a d
ჯერომი	d͡ʒ ɛ r ɔ m i
ჯერჯერობით	d͡ʒ ɛ r d͡ʒ ɛ r ɔ b i tʰ
ჯვალო	d͡ʒ v a l ɔ
ჯვარედინად	d͡ʒ v a r ɛ d i n a d
ჯვარედინი	d͡ʒ v a r ɛ d i n i
ჯვარი	d͡ʒ v a r i
ჯვაროსანი	d͡ʒ v a r ɔ s a n i
ჯვაროსნული	d͡ʒ v a r ɔ s n u l i
ჯვარცმა	d͡ʒ v a r t͡s m a
ჯვრისწერა	d͡ʒ v r i s t͡sʼ ɛ r a
ჯიბგირი	d͡ʒ i b ɡ i r i
ჯიბე	d͡ʒ i b ɛ
ჯიბლიბო	d͡ʒ i b l i b ɔ
ჯიბრი	d͡ʒ i b r i
ჯიბუტი	d͡ʒ i b u tʼ i
ჯიგარი	d͡ʒ i ɡ a r i
ჯიგრაშენი	d͡ʒ i ɡ r a ʃ ɛ n i
ჯილდო	d͡ʒ i l d ɔ
ჯილი	d͡ʒ i l i
ჯიმი	d͡ʒ i m i
ჯინი	d͡ʒ i n i
ჯინჭარი	d͡ʒ i n t͡ʃʼ a r i
ჯიპი	d͡ʒ i pʼ i
ჯირკვალი	d͡ʒ i r kʼ v a l i
ჯირკვლოვანი	d͡ʒ i r kʼ v l ɔ v a n i
ჯირკი	d͡ʒ i r kʼ i
ჯიუტად	d͡ʒ i u tʼ a d
ჯიუტი	d͡ʒ i u tʼ i
ჯიქია	d͡ʒ i kʰ i a
ჯიქურა	d͡ʒ i kʰ u r a
ჯიღა	d͡ʒ i ɣ a
ჯიღაურა	d͡ʒ i ɣ a u r a
ჯიშიანი	d͡ʒ i ʃ i a n i
ჯიხვი	d͡ʒ i x v i
ჯიხური	d͡ʒ i x u r i
ჯიჰადი	d͡ʒ i h a d i
ჯმუხად	d͡ʒ m u x a d
ჯმუხი	d͡ʒ m u x i
ჯო	d͡ʒ ɔ
ჯოანა	d͡ʒ ɔ a n a
ჯოგი	d͡ʒ ɔ ɡ i
ჯოგურად	d͡ʒ ɔ ɡ u r a d
ჯოგური	d͡ʒ ɔ ɡ u r i
ჯოგურობა	d͡ʒ ɔ ɡ u r ɔ b a
ჯოი	d͡ʒ ɔ i
ჯოისი	d͡ʒ ɔ i s i
ჯოკერი	d͡ʒ ɔ kʼ ɛ r i
ჯონ	d͡ʒ ɔ n
ჯონი	d͡ʒ ɔ n i
ჯონჯოლი	d͡ʒ ɔ n d͡ʒ ɔ l i
ჯორი	d͡ʒ ɔ r i
ჯორჯ	d͡ʒ ɔ r d͡ʒ
ჯორჯი	d͡ʒ ɔ r d͡ʒ i
ჯოული	d͡ʒ ɔ u l i
ჯოშუა	d͡ʒ ɔ ʃ u a
ჯოხი	d͡ʒ ɔ x i
ჯოჯო	d͡ʒ ɔ d͡ʒ ɔ
ჯოჯოხეთი	d͡ʒ ɔ d͡ʒ ɔ x ɛ tʰ i
ჯოჯოხეთურად	d͡ʒ ɔ d͡ʒ ɔ x ɛ tʰ u r a d
ჯოჯოხეთური	d͡ʒ ɔ d͡ʒ ɔ x ɛ tʰ u r i
ჯულიეტა	d͡ʒ u l i ɛ tʼ a
ჯუნგლი	d͡ʒ u n ɡ l i
ჯურღმული	d͡ʒ u r ɣ m u l i
ჯუფთება	d͡ʒ u pʰ tʰ ɛ b a
ჯუფთი	d͡ʒ u pʰ tʰ i
ჯუღაშვილი	d͡ʒ u ɣ a ʃ v i l i
ჯუჯა	d͡ʒ u d͡ʒ a
ჯღიბა	d͡ʒ ɣ i b a
ჰა	h a
ჰადესი	h a d ɛ s i
ჰაემეტი	h a ɛ m ɛ tʼ i
ჰაერბურთი	h a ɛ r b u r tʰ i
ჰაერი	h a ɛ r i
ჰაერნაოსნობა	h a ɛ r n a ɔ s n ɔ b a
ჰაეროვანი	h a ɛ r ɔ v a n i
ჰაეროვნად	h a ɛ r ɔ v n a d
ჰავა	h a v a
ჰაიკუ	h a i kʼ u
ჰაიტი	h a i tʼ i
ჰაკერი	h a kʼ ɛ r i
ჰალსტუკი	h a l s tʼ u kʼ i
ჰალსტუხი	h a l s tʼ u x i
ჰალუცინაცია	h a l u t͡s i n a t͡s i a
ჰამაკი	h a m a kʼ i
ჰამბურგი	h a m b u r ɡ i
ჰანი	h a n i
ჰანტელი	h a n tʼ ɛ l i
ჰარამხანა	h a r a m x a n a
ჰარმონია	h a r m ɔ n i a
ჰარმონიზაცია	h a r m ɔ n i z a t͡s i a
ჰარმონიულად	h a r m ɔ n i u l a d
ჰარმონიული	h a r m ɔ n i u l i
ჰასაკი	h a s a kʼ i
ჰაუბიცი	h a u b i t͡s i
ჰაფნიუმი	h a pʰ n i u m i
ჰაშიში	h a ʃ i ʃ i
ჰგავხართ	h ɡ a v x a r tʰ
ჰგონია	h ɡ ɔ n i a
ჰეგემონია	h ɛ ɡ ɛ m ɔ n i a
ჰედლაინი	h ɛ d l a i n i
ჰედონიზმი	h ɛ d ɔ n i z m i
ჰედონისტური	h ɛ d ɔ n i s tʼ u r i
ჰელიოგრაფი	h ɛ l i ɔ ɡ r a pʰ i
ჰელიოტროპი	h ɛ l i ɔ tʼ r ɔ pʼ i
