Abae	a b a e̯
ēdundae	eː d ʊ n d a e̯
ēdundam	eː d ʊ n d ãː
ēdunde	eː d ʊ n d ɛ
ēdundum	eː d ʊ n d ũː
ēdundus	eː d ʊ n d ʊ s
ēdundārum	eː d ʊ n d aː r ũː
ēdundās	eː d ʊ n d aː s
ēdundī	eː d ʊ n d iː
ēdundīs	eː d ʊ n d iː s
ēdundō	eː d ʊ n d oː
ēdundōrum	eː d ʊ n d oː r ũː
ēdundōs	eː d ʊ n d oː s
ēdēre	eː d eː r ɛ
ēdō	eː d oː
ēdūcō	eː d uː k oː
ēgerimus	eː ɡ ɛ r iː m ʊ s
ēgerimus	eː ɡ ɛ r ɪ m ʊ s
ēgeris	eː ɡ ɛ r iː s
ēgeris	eː ɡ ɛ r ɪ s
ēgeritis	eː ɡ ɛ r iː t ɪ s
ēgeritis	eː ɡ ɛ r ɪ t ɪ s
ēgerō	eː ɡ ɛ r oː
ēgressus	eː ɡ r ɛ s s ʊ s
ēiaculantur	eː j a k ʊ ɫ a n t ʊ r
ēiaculābantur	eː j a k ʊ ɫ aː b a n t ʊ r
ēiaculābar	eː j a k ʊ ɫ aː b a r
ēiaculāberis	eː j a k ʊ ɫ aː b ɛ r ɪ s
ēiaculābiminī	eː j a k ʊ ɫ aː b ɪ m ɪ n iː
ēiaculābimur	eː j a k ʊ ɫ aː b ɪ m ʊ r
ēiaculābitur	eː j a k ʊ ɫ aː b ɪ t ʊ r
ēiaculābor	eː j a k ʊ ɫ aː b ɔ r
ēiaculābuntur	eː j a k ʊ ɫ aː b ʊ n t ʊ r
ēiaculābāminī	eː j a k ʊ ɫ aː b aː m ɪ n iː
ēiaculābāmur	eː j a k ʊ ɫ aː b aː m ʊ r
ēiaculābāris	eː j a k ʊ ɫ aː b aː r ɪ s
ēiaculābātur	eː j a k ʊ ɫ aː b aː t ʊ r
ēiaculāminī	eː j a k ʊ ɫ aː m ɪ n iː
ēiaculāmur	eː j a k ʊ ɫ aː m ʊ r
ēiaculāris	eː j a k ʊ ɫ aː r ɪ s
ēiaculārī	eː j a k ʊ ɫ aː r iː
ēiaculātur	eː j a k ʊ ɫ aː t ʊ r
ēiectō	eː j ɛ k t oː
ēiēcit	eː j eː k ɪ t
ējaculātiō	eː j a k ʊ ɫ aː t i oː
ējectō	eː j ɛ k t oː
ējiciō	eː j ɪ k i oː
ēlabōrandō	eː ɫ a b oː r a n d oː
ēlabōrante	eː ɫ a b oː r a n t ɛ
ēlabōrantī	eː ɫ a b oː r a n t iː
ēlabōrantō	eː ɫ a b oː r a n t oː
ēlabōrem	eː ɫ a b oː r ẽː
ēlabōror	eː ɫ a b oː r ɔ r
ēlabōrā	eː ɫ a b oː r aː
ēlabōrārem	eː ɫ a b oː r aː r ẽː
ēlabōrārās	eː ɫ a b oː r aː r aː s
ēlabōrārēs	eː ɫ a b oː r aː r eː s
ēlabōrās	eː ɫ a b oː r aː s
ēlabōrāsse	eː ɫ a b oː r aː s s ɛ
ēlabōrāssem	eː ɫ a b oː r aː s s ẽː
ēlabōrāssēs	eː ɫ a b oː r aː s s eː s
ēlabōrāta	eː ɫ a b oː r aː t a
ēlabōrāta	eː ɫ a b oː r aː t aː
ēlabōrāte	eː ɫ a b oː r aː t ɛ
ēlabōrātī	eː ɫ a b oː r aː t iː
ēlabōrātō	eː ɫ a b oː r aː t oː
ēlabōrēs	eː ɫ a b oː r eː s
ēlacatēnes	eː ɫ a k a t eː n ɛ s
ēlaqueātiōne	eː ɫ a kʷ e aː t i oː n ɛ
ēlaqueātiōnem	eː ɫ a kʷ e aː t i oː n ẽː
ēlectromagnēticus	eː ɫ ɛ k t r ɔ m a ŋ n eː t ɪ k ʊ s
ēlectrōnica	eː ɫ ɛ k t r oː n ɪ k a
ēlectrōnicus	eː ɫ ɛ k t r oː n ɪ k ʊ s
ēlegantēs	eː ɫ ɛ ɡ a n t eː s
ēlegāns	eː ɫ ɛ ɡ ãː s
ēlicēs	eː l ɪ k eː s
ēligāns	eː l ɪ ɡ ãː s
ēlixa	eː l ɪ k s a
ēlixa	eː l ɪ k s aː
ēlixer	eː l ɪ k s ɛ r
ēlixābis	eː l ɪ k s aː b ɪ s
ēlixāre	eː l ɪ k s aː r ɛ
ēlixās	eː l ɪ k s aː s
ēlixāta	eː l ɪ k s aː t a
ēlixāta	eː l ɪ k s aː t aː
ēlixātam	eː l ɪ k s aː t ãː
ēlixāte	eː l ɪ k s aː t ɛ
ēlixātum	eː l ɪ k s aː t ũː
ēlixātus	eː l ɪ k s aː t ʊ s
ēlixātōs	eː l ɪ k s aː t oː s
ēlixāvī	eː l ɪ k s aː w iː
ēlixēs	eː l ɪ k s eː s
ēlixō	eː l ɪ k s oː
ēloquentia	eː ɫ ɔ kʷ ɛ n t i a
ēlāmentābilis	eː ɫ aː m ɛ n t aː b ɪ l ɪ s
ēlātrā	eː ɫ aː t r aː
ēlātrāre	eː ɫ aː t r aː r ɛ
ēlātrāte	eː ɫ aː t r aː t ɛ
ēlātē	eː ɫ aː t eː
ēlēctissimus	eː ɫ eː k t ɪ s s ɪ m ʊ s
ēlēctōre	eː ɫ eː k t oː r ɛ
ēlēctōrem	eː ɫ eː k t oː r ẽː
ēlēctōribus	eː ɫ eː k t oː r ɪ b ʊ s
ēlēctōris	eː ɫ eː k t oː r ɪ s
ēlēctōrum	eː ɫ eː k t oː r ũː
ēlēctōrēs	eː ɫ eː k t oː r eː s
ēlēctōrī	eː ɫ eː k t oː r iː
ēlēgāns	eː ɫ eː ɡ ãː s
ēlēgī	eː ɫ eː ɡ iː
ēlē̆xisse	eː ɫ eː k s ɪ s s ɛ
ēlē̆xisse	eː ɫ ɛ k s ɪ s s ɛ
ēlīde	eː l iː d ɛ
ēlīminante	eː l iː m ɪ n a n t ɛ
ēlīminantī	eː l iː m ɪ n a n t iː
ēlīminantō	eː l iː m ɪ n a n t oː
ēlīminās	eː l iː m ɪ n aː s
ēlīmināta	eː l iː m ɪ n aː t a
ēlīmināta	eː l iː m ɪ n aː t aː
ēlīmināte	eː l iː m ɪ n aː t ɛ
ēlīminātō	eː l iː m ɪ n aː t oː
ēlīmāte	eː l iː m aː t ɛ
ēlīsī	eː l iː s iː
ēlūce	eː ɫ uː k ɛ
ēlūcidāre	eː ɫ uː k ɪ d aː r ɛ
ēlūcidāta	eː ɫ uː k ɪ d aː t a
ēlūcidāta	eː ɫ uː k ɪ d aː t aː
ēlūcidāte	eː ɫ uː k ɪ d aː t ɛ
ēlūcum	eː ɫ uː k ũː
ēlūcē	eː ɫ uː k eː
ēlūcī	eː ɫ uː k iː
ēlūcīs	eː ɫ uː k iː s
ēlūcō	eː ɫ uː k oː
ēlūcōrum	eː ɫ uː k oː r ũː
ēlūcōs	eː ɫ uː k oː s
ēmaciāre	eː m a k i aː r ɛ
ēmaciāta	eː m a k i aː t a
ēmaciāta	eː m a k i aː t aː
ēmaciātae	eː m a k i aː t a e̯
ēmaciātam	eː m a k i aː t ãː
ēmaciāte	eː m a k i aː t ɛ
ēmaciātum	eː m a k i aː t ũː
ēmaciātus	eː m a k i aː t ʊ s
ēmaciātārum	eː m a k i aː t aː r ũː
ēmaciātās	eː m a k i aː t aː s
ēmaciātī	eː m a k i aː t iː
ēmaciātīs	eː m a k i aː t iː s
ēmaciātō	eː m a k i aː t oː
ēmaciātōrum	eː m a k i aː t oː r ũː
ēmaciātōs	eː m a k i aː t oː s
ēmaciāvī	eː m a k i aː w iː
ēmargināta	eː m a r ɡ ɪ n aː t a
ēmargināta	eː m a r ɡ ɪ n aː t aː
ēmargināte	eː m a r ɡ ɪ n aː t ɛ
ēmarginātī	eː m a r ɡ ɪ n aː t iː
ēmendant	eː m ɛ n d a n t
ēmendantor	eː m ɛ n d a n t ɔ r
ēmendantur	eː m ɛ n d a n t ʊ r
ēmendantō	eː m ɛ n d a n t oː
ēmendat	eː m ɛ n d a t
ēmendem	eː m ɛ n d ẽː
ēmendent	eː m ɛ n d ɛ n t
ēmendentur	eː m ɛ n d ɛ n t ʊ r
ēmender	eː m ɛ n d ɛ r
ēmendet	eː m ɛ n d ɛ t
ēmendor	eː m ɛ n d ɔ r
ēmendā	eː m ɛ n d aː
ēmendābam	eː m ɛ n d aː b ãː
ēmendābant	eː m ɛ n d aː b a n t
ēmendābantur	eː m ɛ n d aː b a n t ʊ r
ēmendābar	eː m ɛ n d aː b a r
ēmendābat	eː m ɛ n d aː b a t
ēmendābere	eː m ɛ n d aː b ɛ r ɛ
ēmendāberis	eː m ɛ n d aː b ɛ r ɪ s
ēmendābiminī	eː m ɛ n d aː b ɪ m ɪ n iː
ēmendābimur	eː m ɛ n d aː b ɪ m ʊ r
ēmendābimus	eː m ɛ n d aː b ɪ m ʊ s
ēmendābis	eː m ɛ n d aː b ɪ s
ēmendābit	eː m ɛ n d aː b ɪ t
ēmendābitis	eː m ɛ n d aː b ɪ t ɪ s
ēmendābitur	eː m ɛ n d aː b ɪ t ʊ r
ēmendābor	eː m ɛ n d aː b ɔ r
ēmendābunt	eː m ɛ n d aː b ʊ n t
ēmendābuntur	eː m ɛ n d aː b ʊ n t ʊ r
ēmendābāminī	eː m ɛ n d aː b aː m ɪ n iː
ēmendābāmur	eː m ɛ n d aː b aː m ʊ r
ēmendābāmus	eː m ɛ n d aː b aː m ʊ s
ēmendābāre	eː m ɛ n d aː b aː r ɛ
ēmendābāris	eː m ɛ n d aː b aː r ɪ s
ēmendābās	eː m ɛ n d aː b aː s
ēmendābātis	eː m ɛ n d aː b aː t ɪ s
ēmendābātur	eː m ɛ n d aː b aː t ʊ r
ēmendābō	eː m ɛ n d aː b oː
ēmendāminī	eː m ɛ n d aː m ɪ n iː
ēmendāmur	eː m ɛ n d aː m ʊ r
ēmendāmus	eː m ɛ n d aː m ʊ s
ēmendāre	eː m ɛ n d aː r ɛ
ēmendārem	eː m ɛ n d aː r ẽː
ēmendārent	eː m ɛ n d aː r ɛ n t
ēmendārentur	eː m ɛ n d aː r ɛ n t ʊ r
ēmendārer	eː m ɛ n d aː r ɛ r
ēmendāret	eː m ɛ n d aː r ɛ t
ēmendāris	eː m ɛ n d aː r ɪ s
ēmendārēminī	eː m ɛ n d aː r eː m ɪ n iː
ēmendārēmur	eː m ɛ n d aː r eː m ʊ r
ēmendārēmus	eː m ɛ n d aː r eː m ʊ s
ēmendārēre	eː m ɛ n d aː r eː r ɛ
ēmendārēris	eː m ɛ n d aː r eː r ɪ s
ēmendārēs	eː m ɛ n d aː r eː s
ēmendārētis	eː m ɛ n d aː r eː t ɪ s
ēmendārētur	eː m ɛ n d aː r eː t ʊ r
ēmendārī	eː m ɛ n d aː r iː
ēmendās	eː m ɛ n d aː s
ēmendāta	eː m ɛ n d aː t a
ēmendātae	eː m ɛ n d aː t a e̯
ēmendātam	eː m ɛ n d aː t ãː
ēmendāte	eː m ɛ n d aː t ɛ
ēmendātis	eː m ɛ n d aː t ɪ s
ēmendātor	eː m ɛ n d aː t ɔ r
ēmendātum	eː m ɛ n d aː t ũː
ēmendātur	eː m ɛ n d aː t ʊ r
ēmendātā	eː m ɛ n d aː t aː
ēmendātārum	eː m ɛ n d aː t aː r ũː
ēmendātās	eː m ɛ n d aː t aː s
ēmendātē	eː m ɛ n d aː t eː
ēmendātī	eː m ɛ n d aː t iː
ēmendātō	eː m ɛ n d aː t oː
ēmendātōre	eː m ɛ n d aː t oː r ɛ
ēmendātōrem	eː m ɛ n d aː t oː r ẽː
ēmendātōribus	eː m ɛ n d aː t oː r ɪ b ʊ s
ēmendātōris	eː m ɛ n d aː t oː r ɪ s
ēmendātōrum	eː m ɛ n d aː t oː r ũː
ēmendātōrēs	eː m ɛ n d aː t oː r eː s
ēmendātōrī	eː m ɛ n d aː t oː r iː
ēmendātōs	eː m ɛ n d aː t oː s
ēmendātōte	eː m ɛ n d aː t oː t ɛ
ēmendāveram	eː m ɛ n d aː w ɛ r ãː
ēmendāverant	eː m ɛ n d aː w ɛ r a n t
ēmendāverat	eː m ɛ n d aː w ɛ r a t
ēmendāverim	eː m ɛ n d aː w ɛ r ĩː
ēmendāverimus	eː m ɛ n d aː w ɛ r ɪ m ʊ s
ēmendāverint	eː m ɛ n d aː w ɛ r ɪ n t
ēmendāveris	eː m ɛ n d aː w ɛ r ɪ s
ēmendāverit	eː m ɛ n d aː w ɛ r ɪ t
ēmendāveritis	eː m ɛ n d aː w ɛ r ɪ t ɪ s
ēmendāverāmus	eː m ɛ n d aː w ɛ r aː m ʊ s
ēmendāverās	eː m ɛ n d aː w ɛ r aː s
ēmendāverātis	eː m ɛ n d aː w ɛ r aː t ɪ s
ēmendāverīmus	eː m ɛ n d aː w ɛ r iː m ʊ s
ēmendāverīs	eː m ɛ n d aː w ɛ r iː s
ēmendāverītis	eː m ɛ n d aː w ɛ r iː t ɪ s
ēmendāverō	eː m ɛ n d aː w ɛ r oː
ēmendāvimus	eː m ɛ n d aː w ɪ m ʊ s
ēmendāvisse	eː m ɛ n d aː w ɪ s s ɛ
ēmendāvissem	eː m ɛ n d aː w ɪ s s ẽː
ēmendāvissent	eː m ɛ n d aː w ɪ s s ɛ n t
ēmendāvisset	eː m ɛ n d aː w ɪ s s ɛ t
ēmendāvissēmus	eː m ɛ n d aː w ɪ s s eː m ʊ s
ēmendāvissēs	eː m ɛ n d aː w ɪ s s eː s
ēmendāvissētis	eː m ɛ n d aː w ɪ s s eː t ɪ s
ēmendāvistis	eː m ɛ n d aː w ɪ s t ɪ s
ēmendāvistī	eː m ɛ n d aː w ɪ s t iː
ēmendāvit	eː m ɛ n d aː w ɪ t
ēmendāvēre	eː m ɛ n d aː w eː r ɛ
ēmendāvērunt	eː m ɛ n d aː w eː r ʊ n t
ēmendāvī	eː m ɛ n d aː w iː
ēmendēminī	eː m ɛ n d eː m ɪ n iː
ēmendēmur	eː m ɛ n d eː m ʊ r
ēmendēmus	eː m ɛ n d eː m ʊ s
ēmendēre	eː m ɛ n d eː r ɛ
ēmendēris	eː m ɛ n d eː r ɪ s
ēmendēs	eː m ɛ n d eː s
ēmendētis	eː m ɛ n d eː t ɪ s
ēmendētur	eː m ɛ n d eː t ʊ r
ēmendō	eː m ɛ n d oː
ēmeram	eː m ɛ r ãː
ēmerant	eː m ɛ r a n t
ēmerat	eː m ɛ r a t
ēmeream	eː m ɛ r e ãː
ēmereant	eː m ɛ r e a n t
ēmereantur	eː m ɛ r e a n t ʊ r
ēmerear	eː m ɛ r e a r
ēmereat	eː m ɛ r e a t
ēmerenda	eː m ɛ r ɛ n d a
ēmerendae	eː m ɛ r ɛ n d a e̯
ēmerendam	eː m ɛ r ɛ n d ãː
ēmerende	eː m ɛ r ɛ n d ɛ
ēmerendum	eː m ɛ r ɛ n d ũː
ēmerendā	eː m ɛ r ɛ n d aː
ēmerendārum	eː m ɛ r ɛ n d aː r ũː
ēmerendās	eː m ɛ r ɛ n d aː s
ēmerendī	eː m ɛ r ɛ n d iː
ēmerendīs	eː m ɛ r ɛ n d iː s
ēmerendō	eː m ɛ r ɛ n d oː
ēmerendōrum	eː m ɛ r ɛ n d oː r ũː
ēmerendōs	eː m ɛ r ɛ n d oː s
ēmerent	eː m ɛ r ɛ n t
ēmerente	eː m ɛ r ɛ n t ɛ
ēmerentem	eː m ɛ r ɛ n t ẽː
ēmerentia	eː m ɛ r ɛ n t i a
ēmerentibus	eː m ɛ r ɛ n t ɪ b ʊ s
ēmerentis	eː m ɛ r ɛ n t ɪ s
ēmerentium	eː m ɛ r ɛ n t i ũː
ēmerentor	eː m ɛ r ɛ n t ɔ r
ēmerentur	eː m ɛ r ɛ n t ʊ r
ēmerentēs	eː m ɛ r ɛ n t eː s
ēmerentī	eː m ɛ r ɛ n t iː
ēmerentīs	eː m ɛ r ɛ n t iː s
ēmerentō	eː m ɛ r ɛ n t oː
ēmereor	eː m ɛ r e ɔ r
ēmeret	eː m ɛ r ɛ t
ēmereāminī	eː m ɛ r e aː m ɪ n iː
ēmereāmur	eː m ɛ r e aː m ʊ r
ēmereāmus	eː m ɛ r e aː m ʊ s
ēmereāre	eː m ɛ r e aː r ɛ
ēmereāris	eː m ɛ r e aː r ɪ s
ēmereās	eː m ɛ r e aː s
ēmereātis	eː m ɛ r e aː t ɪ s
ēmereātur	eː m ɛ r e aː t ʊ r
ēmerim	eː m ɛ r ĩː
ēmerimus	eː m ɛ r ɪ m ʊ s
ēmerint	eː m ɛ r ɪ n t
ēmeris	eː m ɛ r ɪ s
ēmerit	eː m ɛ r ɪ t
ēmerita	eː m ɛ r ɪ t a
ēmeritae	eː m ɛ r ɪ t a e̯
ēmeritam	eː m ɛ r ɪ t ãː
ēmerite	eː m ɛ r ɪ t ɛ
ēmeritis	eː m ɛ r ɪ t ɪ s
ēmeritum	eː m ɛ r ɪ t ũː
ēmeritā	eː m ɛ r ɪ t aː
ēmeritārum	eː m ɛ r ɪ t aː r ũː
ēmeritās	eː m ɛ r ɪ t aː s
ēmeritī	eː m ɛ r ɪ t iː
ēmeritīs	eː m ɛ r ɪ t iː s
ēmeritō	eː m ɛ r ɪ t oː
ēmeritōrum	eː m ɛ r ɪ t oː r ũː
ēmeritōs	eː m ɛ r ɪ t oː s
ēmeritū	eː m ɛ r ɪ t uː
ēmeritūra	eː m ɛ r ɪ t uː r a
ēmeritūrae	eː m ɛ r ɪ t uː r a e̯
ēmeritūram	eː m ɛ r ɪ t uː r ãː
ēmeritūre	eː m ɛ r ɪ t uː r ɛ
ēmeritūrum	eː m ɛ r ɪ t uː r ũː
ēmeritūrā	eː m ɛ r ɪ t uː r aː
ēmeritūrārum	eː m ɛ r ɪ t uː r aː r ũː
ēmeritūrās	eː m ɛ r ɪ t uː r aː s
ēmeritūrī	eː m ɛ r ɪ t uː r iː
ēmeritūrīs	eː m ɛ r ɪ t uː r iː s
ēmeritūrō	eː m ɛ r ɪ t uː r oː
ēmeritūrōrum	eː m ɛ r ɪ t uː r oː r ũː
ēmeritūrōs	eː m ɛ r ɪ t uː r oː s
ēmerueram	eː m ɛ r u ɛ r ãː
ēmeruerant	eː m ɛ r u ɛ r a n t
ēmeruerat	eː m ɛ r u ɛ r a t
ēmeruerim	eː m ɛ r u ɛ r ĩː
ēmeruerimus	eː m ɛ r u ɛ r ɪ m ʊ s
ēmeruerint	eː m ɛ r u ɛ r ɪ n t
ēmerueris	eː m ɛ r u ɛ r ɪ s
ēmeruerit	eː m ɛ r u ɛ r ɪ t
ēmerueritis	eː m ɛ r u ɛ r ɪ t ɪ s
ēmeruerāmus	eː m ɛ r u ɛ r aː m ʊ s
ēmeruerās	eː m ɛ r u ɛ r aː s
ēmeruerātis	eː m ɛ r u ɛ r aː t ɪ s
ēmeruerīmus	eː m ɛ r u ɛ r iː m ʊ s
ēmeruerīs	eː m ɛ r u ɛ r iː s
ēmeruerītis	eː m ɛ r u ɛ r iː t ɪ s
ēmeruerō	eː m ɛ r u ɛ r oː
ēmeruimus	eː m ɛ r u ɪ m ʊ s
ēmeruisse	eː m ɛ r u ɪ s s ɛ
ēmeruissem	eː m ɛ r u ɪ s s ẽː
ēmeruissent	eː m ɛ r u ɪ s s ɛ n t
ēmeruisset	eː m ɛ r u ɪ s s ɛ t
ēmeruissēmus	eː m ɛ r u ɪ s s eː m ʊ s
ēmeruissēs	eː m ɛ r u ɪ s s eː s
ēmeruissētis	eː m ɛ r u ɪ s s eː t ɪ s
ēmeruistis	eː m ɛ r u ɪ s t ɪ s
ēmeruistī	eː m ɛ r u ɪ s t iː
ēmeruit	eː m ɛ r u ɪ t
ēmeruēre	eː m ɛ r u eː r ɛ
ēmeruērunt	eː m ɛ r u eː r ʊ n t
ēmeruī	eː m ɛ r u iː
ēmerāmus	eː m ɛ r aː m ʊ s
ēmerās	eː m ɛ r aː s
ēmerātis	eː m ɛ r aː t ɪ s
ēmerē	eː m ɛ r eː
ēmerēbam	eː m ɛ r eː b ãː
ēmerēbant	eː m ɛ r eː b a n t
ēmerēbantur	eː m ɛ r eː b a n t ʊ r
ēmerēbar	eː m ɛ r eː b a r
ēmerēbat	eː m ɛ r eː b a t
ēmerēbere	eː m ɛ r eː b ɛ r ɛ
ēmerēberis	eː m ɛ r eː b ɛ r ɪ s
ēmerēbiminī	eː m ɛ r eː b ɪ m ɪ n iː
ēmerēbimur	eː m ɛ r eː b ɪ m ʊ r
ēmerēbimus	eː m ɛ r eː b ɪ m ʊ s
ēmerēbis	eː m ɛ r eː b ɪ s
ēmerēbit	eː m ɛ r eː b ɪ t
ēmerēbitis	eː m ɛ r eː b ɪ t ɪ s
ēmerēbitur	eː m ɛ r eː b ɪ t ʊ r
ēmerēbor	eː m ɛ r eː b ɔ r
ēmerēbunt	eː m ɛ r eː b ʊ n t
ēmerēbuntur	eː m ɛ r eː b ʊ n t ʊ r
ēmerēbāminī	eː m ɛ r eː b aː m ɪ n iː
ēmerēbāmur	eː m ɛ r eː b aː m ʊ r
ēmerēbāmus	eː m ɛ r eː b aː m ʊ s
ēmerēbāre	eː m ɛ r eː b aː r ɛ
ēmerēbāris	eː m ɛ r eː b aː r ɪ s
ēmerēbās	eː m ɛ r eː b aː s
ēmerēbātis	eː m ɛ r eː b aː t ɪ s
ēmerēbātur	eː m ɛ r eː b aː t ʊ r
ēmerēbō	eː m ɛ r eː b oː
ēmerēminī	eː m ɛ r eː m ɪ n iː
ēmerēmur	eː m ɛ r eː m ʊ r
ēmerēmus	eː m ɛ r eː m ʊ s
ēmerēre	eː m ɛ r eː r ɛ
ēmerērem	eː m ɛ r eː r ẽː
ēmerērent	eː m ɛ r eː r ɛ n t
ēmerērentur	eː m ɛ r eː r ɛ n t ʊ r
ēmerērer	eː m ɛ r eː r ɛ r
ēmerēret	eː m ɛ r eː r ɛ t
ēmerēris	eː m ɛ r eː r ɪ s
ēmerērēminī	eː m ɛ r eː r eː m ɪ n iː
ēmerērēmur	eː m ɛ r eː r eː m ʊ r
ēmerērēmus	eː m ɛ r eː r eː m ʊ s
ēmerērēre	eː m ɛ r eː r eː r ɛ
ēmerērēris	eː m ɛ r eː r eː r ɪ s
ēmerērēs	eː m ɛ r eː r eː s
ēmerērētis	eː m ɛ r eː r eː t ɪ s
ēmerērētur	eː m ɛ r eː r eː t ʊ r
ēmerērī	eː m ɛ r eː r iː
ēmerēs	eː m ɛ r eː s
ēmerēte	eː m ɛ r eː t ɛ
ēmerētis	eː m ɛ r eː t ɪ s
ēmerētor	eː m ɛ r eː t ɔ r
ēmerētur	eː m ɛ r eː t ʊ r
ēmerētō	eː m ɛ r eː t oː
ēmerētōte	eː m ɛ r eː t oː t ɛ
ēmerīmus	eː m ɛ r iː m ʊ s
ēmerīs	eː m ɛ r iː s
ēmerītis	eː m ɛ r iː t ɪ s
ēmerō	eː m ɛ r oː
ēmicandum	eː m ɪ k a n d ũː
ēmicandī	eː m ɪ k a n d iː
ēmicandō	eː m ɪ k a n d oː
ēmicant	eː m ɪ k a n t
ēmicantō	eː m ɪ k a n t oː
ēmicat	eː m ɪ k a t
ēmicem	eː m ɪ k ẽː
ēmicent	eː m ɪ k ɛ n t
ēmicet	eː m ɪ k ɛ t
ēmicueram	eː m ɪ k u ɛ r ãː
ēmicuerant	eː m ɪ k u ɛ r a n t
ēmicuerat	eː m ɪ k u ɛ r a t
ēmicuerim	eː m ɪ k u ɛ r ĩː
ēmicuerimus	eː m ɪ k u ɛ r ɪ m ʊ s
ēmicuerint	eː m ɪ k u ɛ r ɪ n t
ēmicueris	eː m ɪ k u ɛ r ɪ s
ēmicuerit	eː m ɪ k u ɛ r ɪ t
ēmicueritis	eː m ɪ k u ɛ r ɪ t ɪ s
ēmicuerāmus	eː m ɪ k u ɛ r aː m ʊ s
ēmicuerās	eː m ɪ k u ɛ r aː s
ēmicuerātis	eː m ɪ k u ɛ r aː t ɪ s
ēmicuerīmus	eː m ɪ k u ɛ r iː m ʊ s
ēmicuerīs	eː m ɪ k u ɛ r iː s
ēmicuerītis	eː m ɪ k u ɛ r iː t ɪ s
ēmicuerō	eː m ɪ k u ɛ r oː
ēmicuimus	eː m ɪ k u ɪ m ʊ s
ēmicuisse	eː m ɪ k u ɪ s s ɛ
ēmicuissem	eː m ɪ k u ɪ s s ẽː
ēmicuissent	eː m ɪ k u ɪ s s ɛ n t
ēmicuisset	eː m ɪ k u ɪ s s ɛ t
ēmicuissēmus	eː m ɪ k u ɪ s s eː m ʊ s
ēmicuissēs	eː m ɪ k u ɪ s s eː s
ēmicuissētis	eː m ɪ k u ɪ s s eː t ɪ s
ēmicuistis	eː m ɪ k u ɪ s t ɪ s
ēmicuistī	eː m ɪ k u ɪ s t iː
ēmicuit	eː m ɪ k u ɪ t
ēmicuēre	eː m ɪ k u eː r ɛ
ēmicuērunt	eː m ɪ k u eː r ʊ n t
ēmicuī	eː m ɪ k u iː
ēmicā	eː m ɪ k aː
ēmicābam	eː m ɪ k aː b ãː
ēmicābant	eː m ɪ k aː b a n t
ēmicābat	eː m ɪ k aː b a t
ēmicābimus	eː m ɪ k aː b ɪ m ʊ s
ēmicābis	eː m ɪ k aː b ɪ s
ēmicābit	eː m ɪ k aː b ɪ t
ēmicābitis	eː m ɪ k aː b ɪ t ɪ s
ēmicābunt	eː m ɪ k aː b ʊ n t
ēmicābāmus	eː m ɪ k aː b aː m ʊ s
ēmicābās	eː m ɪ k aː b aː s
ēmicābātis	eː m ɪ k aː b aː t ɪ s
ēmicābō	eː m ɪ k aː b oː
ēmicāmus	eː m ɪ k aː m ʊ s
ēmicāre	eː m ɪ k aː r ɛ
ēmicārem	eː m ɪ k aː r ẽː
ēmicārent	eː m ɪ k aː r ɛ n t
ēmicāret	eː m ɪ k aː r ɛ t
ēmicārēmus	eː m ɪ k aː r eː m ʊ s
ēmicārēs	eː m ɪ k aː r eː s
ēmicārētis	eː m ɪ k aː r eː t ɪ s
ēmicās	eː m ɪ k aː s
ēmicāte	eː m ɪ k aː t ɛ
ēmicātis	eː m ɪ k aː t ɪ s
ēmicātum	eː m ɪ k aː t ũː
ēmicātō	eː m ɪ k aː t oː
ēmicātōte	eː m ɪ k aː t oː t ɛ
ēmicātū	eː m ɪ k aː t uː
ēmicāveram	eː m ɪ k aː w ɛ r ãː
ēmicāverant	eː m ɪ k aː w ɛ r a n t
ēmicāverat	eː m ɪ k aː w ɛ r a t
ēmicāverim	eː m ɪ k aː w ɛ r ĩː
ēmicāverimus	eː m ɪ k aː w ɛ r ɪ m ʊ s
ēmicāverint	eː m ɪ k aː w ɛ r ɪ n t
ēmicāveris	eː m ɪ k aː w ɛ r ɪ s
ēmicāverit	eː m ɪ k aː w ɛ r ɪ t
ēmicāveritis	eː m ɪ k aː w ɛ r ɪ t ɪ s
ēmicāverāmus	eː m ɪ k aː w ɛ r aː m ʊ s
ēmicāverās	eː m ɪ k aː w ɛ r aː s
ēmicāverātis	eː m ɪ k aː w ɛ r aː t ɪ s
ēmicāverīmus	eː m ɪ k aː w ɛ r iː m ʊ s
ēmicāverīs	eː m ɪ k aː w ɛ r iː s
ēmicāverītis	eː m ɪ k aː w ɛ r iː t ɪ s
ēmicāverō	eː m ɪ k aː w ɛ r oː
ēmicāvimus	eː m ɪ k aː w ɪ m ʊ s
ēmicāvisse	eː m ɪ k aː w ɪ s s ɛ
ēmicāvissem	eː m ɪ k aː w ɪ s s ẽː
ēmicāvissent	eː m ɪ k aː w ɪ s s ɛ n t
ēmicāvisset	eː m ɪ k aː w ɪ s s ɛ t
ēmicāvissēmus	eː m ɪ k aː w ɪ s s eː m ʊ s
ēmicāvissēs	eː m ɪ k aː w ɪ s s eː s
ēmicāvissētis	eː m ɪ k aː w ɪ s s eː t ɪ s
ēmicāvistis	eː m ɪ k aː w ɪ s t ɪ s
ēmicāvistī	eː m ɪ k aː w ɪ s t iː
