Ѓ	ɟ ə
работоспособен	r a b ɔ t ɔ s p ɔ s ɔ b ɛ n
работоспособност	r a b ɔ t ɔ s p ɔ s ɔ b n ɔ s t
работохолик	r a b ɔ t ɔ x ɔ l i k
рабоќе	r a b ɔ c ɛ
рабуш	r a b u ʃ
рабуши	r a b u ʃ i
раванија	r a v a n i j a
равенка	r a v ɛ ŋ k a
равенство	r a v ɛ n s t v ɔ
равиоли	r a v i ɔ l i
рагби	r a ɡ b i
рагу	r a ɡ u
радар	r a d a r
радариште	r a d a ɾ i ʃ t ɛ
радарски	r a d a r s k i
радарче	r a d a r t͡ʃ ɛ
радерфордиум	r a d ɛ r f ɔ r d i j u m
радикален	r a d i k a l ɛ n
радикалец	r a d i k a l ɛ t͡s
радикализам	r a d i k a l i z a m
радикализација	r a d i k a l i z a t͡s i j a
радикализира	r a d i k a l i z i ɾ a
радикализиран	r a d i k a l i z i ɾ a n
радикализирање	r a d i k a l i z i ɾ a ɲ ɛ
радикалист	r a d i k a l i s t
радикалистка	r a d i k a l i s t k a
радикално	r a d i k a ɫ n ɔ
радикалност	r a d i k a ɫ n ɔ s t
радио	r a d i j ɔ
радиоактивен	r a d i j ɔ a k t i v ɛ n
радиоактивно	r a d i j ɔ a k t i v n ɔ
радиобран	r a d i j ɔ b r a n
радиобранов	r a d i j ɔ b r a n ɔ f
радиографија	r a d i j ɔ ɡ r a f i j a
радиодифузија	r a d i j ɔ d i f u z i j a
радиоемисија	r a d i j ɔ ɛ m i s i j a
радиолог	r a d i j ɔ ɫ ɔ k
радиометар	r a d i j ɔ m ɛ t a r
радиостаница	r a d i j ɔ s t a n i t͡s a
радиофреквенции	r a d i j ɔ f r ɛ k v ɛ n t͡s i i
радиофреквенциски	r a d i j ɔ f r ɛ k v ɛ n t͡s i s k i
радиофреквенција	r a d i j ɔ f r ɛ k v ɛ n t͡s i j a
радиум	r a d i j u m
радиус	r a d i j u s
радија	r a d i j a
радијален	r a d i j a l ɛ n
радијално	r a d i j a ɫ n ɔ
радијатор	r a d i j a t ɔ r
радијаториште	r a d i j a t ɔ ɾ i ʃ t ɛ
радијациски	r a d i j a t͡s i s k i
радијација	r a d i j a t͡s i j a
радовишанец	r a d ɔ v i ʃ a n ɛ t͡s
радовишанка	r a d ɔ v i ʃ a ŋ k a
радовишанки	r a d ɔ v i ʃ a ŋ k i
радовишанче	r a d ɔ v i ʃ a n t͡ʃ ɛ
радовишки	r a d ɔ v i ʃ k i
радовишко	r a d ɔ v i ʃ k ɔ
радон	r a d ɔ n
радосен	r a d ɔ s ɛ n
радосно	r a d ɔ s n ɔ
радост	r a d ɔ s t
радости	r a d ɔ s t i
радува	r a d u v a
радуван	r a d u v a n
радување	r a d u v a ɲ ɛ
ражен	r a ʒ ɛ n
раженче	r a ʒ ɛ n t͡ʃ ɛ
раженчиња	r a ʒ ɛ n t͡ʃ i ɲ a
ражни	r a ʒ n i
ражнич	r a ʒ n i t͡ʃ
разбаботен	r a z b a b ɔ t ɛ n
разбаботување	r a z b a b ɔ t u v a ɲ ɛ
разбеган	r a z b ɛ ɡ a n
разбегување	r a z b ɛ ɡ u v a ɲ ɛ
разберам	r a z b ɛ ɾ a m
разберат	r a z b ɛ ɾ a t
разбере	r a z b ɛ ɾ ɛ
разбереа	r a z b ɛ ɾ ɛ a
разберев	r a z b ɛ ɾ ɛ f
разберевме	r a z b ɛ ɾ ɛ v m ɛ
разберевте	r a z b ɛ ɾ ɛ f t ɛ
разберел	r a z b ɛ ɾ ɛ ɫ
разберела	r a z b ɛ ɾ ɛ ɫ a
разбереле	r a z b ɛ ɾ ɛ l ɛ
разберело	r a z b ɛ ɾ ɛ ɫ ɔ
разбереме	r a z b ɛ ɾ ɛ m ɛ
разберете	r a z b ɛ ɾ ɛ t ɛ
разбереш	r a z b ɛ ɾ ɛ ʃ
разбереше	r a z b ɛ ɾ ɛ ʃ ɛ
разбери	r a z b ɛ ɾ i
разбесне	r a z b ɛ s n ɛ
разбеснетост	r a z b ɛ s n ɛ t ɔ s t
разбеснува	r a z b ɛ s n u v a
разбеснување	r a z b ɛ s n u v a ɲ ɛ
разбива	r a z b i v a
разбивам	r a z b i v a m
разбивање	r a z b i v a ɲ ɛ
разбие	r a z b i j ɛ
разбира	r a z b i ɾ a
разбирал	r a z b i ɾ a ɫ
разбиран	r a z b i ɾ a n
разбирање	r a z b i ɾ a ɲ ɛ
разбирлив	r a z b i r l i f
разбирливо	r a z b i r l i v ɔ
разбирливост	r a z b i r l i v ɔ s t
разбистрен	r a z b i s t r ɛ n
разбистри	r a z b i s t r i
разбиструва	r a z b i s t r u v a
разбиструван	r a z b i s t r u v a n
разбистрување	r a z b i s t r u v a ɲ ɛ
разблажен	r a z b ɫ a ʒ ɛ n
разблажи	r a z b ɫ a ʒ i
разблажува	r a z b ɫ a ʒ u v a
разблажуван	r a z b ɫ a ʒ u v a n
разблажување	r a z b ɫ a ʒ u v a ɲ ɛ
разблуден	r a z b ɫ u d ɛ n
разблуди	r a z b ɫ u d i
разбоксира	r a z b ɔ k s i ɾ a
разбоксиран	r a z b ɔ k s i ɾ a n
разболен	r a z b ɔ l ɛ n
разболи	r a z b ɔ l i
разболува	r a z b ɔ ɫ u v a
разболуван	r a z b ɔ ɫ u v a n
разболување	r a z b ɔ ɫ u v a ɲ ɛ
разборитост	r a z b ɔ ɾ i t ɔ s t
разбој	r a z b ɔ j
разбојник	r a z b ɔ j n i k
разбојничка	r a z b ɔ j n i t͡ʃ k a
разбојнички	r a z b ɔ j n i t͡ʃ k i
разбојништво	r a z b ɔ j n i ʃ t v ɔ
разбра	r a z b r a
разбраа	r a z b r a a
разбрав	r a z b r a f
разбравме	r a z b r a v m ɛ
разбравте	r a z b r a f t ɛ
разбраден	r a z b r a d ɛ n
разбради	r a z b r a d i
разбрадува	r a z b r a d u v a
разбрадуван	r a z b r a d u v a n
разбрадување	r a z b r a d u v a ɲ ɛ
разбрал	r a z b r a ɫ
разбрала	r a z b r a ɫ a
разбрале	r a z b r a l ɛ
разбрало	r a z b r a ɫ ɔ
разбран	r a z b r a n
разбранет	r a z b r a n ɛ t
разбрани	r a z b r a n i
разбрано	r a z b r a n ɔ
разбраност	r a z b r a n ɔ s t
разбранува	r a z b r a n u v a
разбрануван	r a z b r a n u v a n
разбранување	r a z b r a n u v a ɲ ɛ
разбрборен	r a z b r̩ b ɔ ɾ ɛ n
разбрборување	r a z b r̩ b ɔ r u v a ɲ ɛ
разбревтан	r a z b r ɛ f t a n
разбременет	r a z b r ɛ m ɛ n ɛ t
разбремени	r a z b r ɛ m ɛ n i
разбременува	r a z b r ɛ m ɛ n u v a
разбременуван	r a z b r ɛ m ɛ n u v a n
разбременување	r a z b r ɛ m ɛ n u v a ɲ ɛ
разбрка	r a z b r̩ k a
разбркан	r a z b r̩ k a n
разбркува	r a z b r̩ k u v a
разбркуван	r a z b r̩ k u v a n
разбркување	r a z b r̩ k u v a ɲ ɛ
разбрмчен	r a z b r̩ m t͡ʃ ɛ n
разбрмчување	r a z b r̩ m t͡ʃ u v a ɲ ɛ
разбрчен	r a z b r̩ t͡ʃ ɛ n
разбрчување	r a z b r̩ t͡ʃ u v a ɲ ɛ
разбуден	r a z b u d ɛ n
разбуди	r a z b u d i
разбудува	r a z b u d u v a
разбудуван	r a z b u d u v a
разбудување	r a z b u d u v a ɲ ɛ
разбунет	r a z b u n ɛ t
разбунтува	r a z b u n t u v a
разбунтуван	r a z b u n t u v a n
разбунување	r a z b u n u v a ɲ ɛ
разбуричка	r a z b u ɾ i t͡ʃ k a
разбутка	r a z b u t k a
разбуткан	r a z b u t k a n
разбучен	r a z b u t͡ʃ ɛ n
разбучување	r a z b u t͡ʃ u v a ɲ ɛ
разбушавен	r a z b u ʃ a v ɛ n
разбушавеност	r a z b u ʃ a v ɛ n ɔ s t
разбушави	r a z b u ʃ a v i
разбушавува	r a z b u ʃ a v u v a
разбушавуван	r a z b u ʃ a v u v a n
разбушавување	r a z b u ʃ a v u v a ɲ ɛ
развали	r a z v a l i
разварен	r a z v a ɾ ɛ n
развари	r a z v a ɾ i
разварија	r a z v a ɾ i j a
разварува	r a z v a ɾ u v a
разваруван	r a z v a ɾ u v a n
разварување	r a z v a r u v a ɲ ɛ
развеан	r a z v ɛ a n
развева	r a z v ɛ v a
развеван	r a z v ɛ v a n
развевање	r a z v ɛ v a ɲ ɛ
разведен	r a z v ɛ d ɛ n
разведеник	r a z v ɛ d ɛ n i k
разведеница	r a z v ɛ d ɛ n i t͡s a
разведеници	r a z v ɛ d ɛ n i t͡s i
разведрен	r a z v ɛ d r ɛ n
разведри	r a z v ɛ d r i
разведрува	r a z v ɛ d r u v a
разведруван	r a z v ɛ d r u v a n
разведрување	r a z v ɛ d r u v a ɲ ɛ
разведување	r a z v ɛ d u v a ɲ ɛ
развее	r a z v ɛ ɛ
развезе	r a z v ɛ z ɛ
развезен	r a z v ɛ z ɛ n
развезува	r a z v ɛ z u v a
развезуван	r a z v ɛ z u v a n
развезување	r a z v ɛ z u v a ɲ ɛ
развенча	r a z v ɛ n t͡ʃ a
развенчан	r a z v ɛ n t͡ʃ a n
развенчува	r a z v ɛ n t͡ʃ u v a
развенчуван	r a z v ɛ n t͡ʃ u v a n
развенчување	r a z v ɛ n t͡ʃ u v a ɲ ɛ
развеселен	r a z v ɛ s ɛ l ɛ n
развесели	r a z v ɛ s ɛ l i
развеселува	r a z v ɛ s ɛ ɫ u v a
развеселуван	r a z v ɛ s ɛ ɫ u v a n
развеселување	r a z v ɛ s ɛ ɫ u v a ɲ ɛ
развива	r a z v i v a
развиван	r a z v i v a n
развивач	r a z v i v a t͡ʃ
развивање	r a z v i v a ɲ ɛ
развигор	r a z v i ɡ ɔ r
развигора	r a z v i ɡ ɔ ɾ a
развигорец	r a z v i ɡ ɔ ɾ ɛ t͡s
развигори	r a z v i ɡ ɔ ɾ i
развигорче	r a z v i ɡ ɔ r t͡ʃ ɛ
развие	r a z v i j ɛ
развиен	r a z v i j ɛ n
развиеност	r a z v i j ɛ n ɔ s t
развикување	r a z v i k u v a ɲ ɛ
развиотка	r a z v i ɔ t k a
развитка	r a z v i t k a
развиткан	r a z v i t k a n
развиткува	r a z v i t k u v a
развиткуван	r a z v i t k u v a n
развиткување	r a z v i t k u v a ɲ ɛ
развитлен	r a z v i t l ɛ n
развитли	r a z v i t l i
развитлува	r a z v i t ɫ u v a
развитлуван	r a z v ɛ t ɫ u v a n
развитлување	r a z v i t ɫ u v a ɲ ɛ
развиток	r a z v i t ɔ k
развлажен	r a z v ɫ a ʒ ɛ n
развлажи	r a z v ɫ a ʒ i
развлажува	r a z v ɫ a ʒ u v a
развлажуван	r a z v ɫ a ʒ u v a n
развлажување	r a z v ɫ a ʒ u v a ɲ ɛ
развлекува	r a z v l ɛ k u v a
развлекуван	r a z v l ɛ k u v a n
развлекување	r a z v l ɛ k u v a ɲ ɛ
развлече	r a z v l ɛ t͡ʃ ɛ
развлечен	r a z v l ɛ t͡ʃ ɛ n
развлечение	r a z v l ɛ t͡ʃ ɛ n i j ɛ
развлечението	r a z v l ɛ t͡ʃ ɛ n i j ɛ t ɔ
развлеченија	r a z v l ɛ t͡ʃ ɛ n i j a
развлеченијата	r a z v l ɛ t͡ʃ ɛ n i j a t a
развлеченост	r a z v l ɛ t͡ʃ ɛ n ɔ s t
развод	r a z v ɔ t
разводен	r a z v ɔ d ɛ n
разводи	r a z v ɔ d i
разводнет	r a z v ɔ d n ɛ t
разводни	r a z v ɔ d n i
разводник	r a z v ɔ d n i k
разводници	r a z v ɔ d n i t͡s i
разводнува	r a z v ɔ d n u v a
разводнуван	r a z v ɔ d n u v a n
разводнување	r a z v ɔ d n u v a ɲ ɛ
развоен	r a z v ɔ ɛ n
развози	r a z v ɔ z i
развои	r a z v ɔ i
развој	r a z v ɔ j
развојно	r a z v ɔ j n ɔ
разврат	r a z v r a t
развратен	r a z v r a t ɛ n
разврати	r a z v r a t i
развратник	r a z v r a t n i k
развратница	r a z v r a t n i t͡s a
развратници	r a z v r a t n i t͡s i
развратничка	r a z v r a t n i t͡ʃ k a
развратнички	r a z v r a t n i t͡ʃ k i
развратно	r a z v r a t n ɔ
развратност	r a z v r a t n ɔ s t
развревен	r a z v r ɛ v ɛ n
развреднет	r a z v r ɛ d n ɛ t
развреднување	r a z v r ɛ d n u v a ɲ ɛ
разврескување	r a z v r ɛ s k u v a ɲ ɛ
разврзан	r a z v r̩ z a n
разврзе	r a z v r̩ z ɛ
разврзува	r a z v r̩ z u v a
разврзуван	r a z v r̩ z u v a n
разврзување	r a z v r̩ z u v a ɲ ɛ
разврнување	r a z v r̩ n u v a ɲ ɛ
разврска	r a z v r̩ s k a
разврски	r a z v r̩ s k i
развртен	r a z v r̩ t ɛ n
разврти	r a z v r̩ t i
развртува	r a z v r̩ t u v a
развртуван	r a z v r̩ t u v a n
развртување	r a z v r̩ t u v a ɲ ɛ
разгазен	r a z ɡ a z ɛ n
разгази	r a z ɡ a z i
разгазува	r a z ɡ a z u v a
разгазуван	r a z ɡ a z u v a n
разгазување	r a z ɡ a z u v a ɲ ɛ
разгален	r a z ɡ a l ɛ n
разгаленост	r a z ɡ a l ɛ n ɔ s t
разгали	r a z ɡ a l i
разгалува	r a z ɡ a ɫ u v a
разгалуван	r a z ɡ a ɫ u v a n
разгалување	r a z ɡ a ɫ u v a ɲ ɛ
разгатнат	r a z ɡ a t n a t
разгатне	r a z ɡ a t n ɛ
разгатнува	r a z ɡ a t n u v a
разгатнуван	r a z ɡ a t n u v a n
разгатнување	r a z ɡ a t n u v a ɲ ɛ
разгаштен	r a z ɡ a ʃ t ɛ n
разгаштеност	r a z ɡ a ʃ t ɛ n ɔ s t
разгашти	r a z ɡ a ʃ t i
разгаштува	r a z ɡ a ʃ t u v a
разгаштуван	r a z ɡ a ʃ t u v a n
разгаштување	r a z ɡ a ʃ t u v a ɲ ɛ
разглас	r a z ɡ ɫ a s
разгласен	r a z ɡ ɫ a s ɛ n
разгласи	r a z ɡ ɫ a s i
разгласува	r a z ɡ ɫ a s u v a
разгласуван	r a z ɡ ɫ a s u v a
разгласување	r a z ɡ ɫ a s u v a ɲ ɛ
разгледа	r a z ɡ l ɛ d a
разгледан	r a z ɡ l ɛ d a n
разгледница	r a z ɡ l ɛ d n i t͡s a
разгледници	r a z ɡ l ɛ d n i t͡s i
разгледува	r a z ɡ l ɛ d u v a
разгледуван	r a z ɡ l ɛ d u v a n
разгледување	r a z ɡ l ɛ d u v a ɲ ɛ
разглобен	r a z ɡ ɫ ɔ b ɛ n
разглоби	r a z ɡ ɫ ɔ b i
разглобува	r a z ɡ ɫ ɔ b u v a
разглобуван	r a z ɡ ɫ ɔ b u v a n
разглобување	r a z ɡ ɫ ɔ b u v a ɲ ɛ
разгневен	r a z ɡ n ɛ v ɛ n
разгневи	r a z ɡ n ɛ v i
разгневува	r a z ɡ n ɛ v u v a
разгневуван	r a z ɡ n ɛ v u v a n
разгневување	r a z ɡ n ɛ v u v a ɲ ɛ
разговара	r a z ɡ ɔ v a ɾ a
разговарање	r a z ɡ ɔ v a ɾ a ɲ ɛ
разговор	r a z ɡ ɔ v ɔ r
разговорен	r a z ɡ ɔ v ɔ ɾ ɛ n
разговори	r a z ɡ ɔ v ɔ ɾ i
разговорлив	r a z ɡ ɔ v ɔ r l i f
разговорливо	r a z ɡ ɔ v ɔ r l i v ɔ
разговорливост	r a z ɡ ɔ v ɔ r l i v ɔ s t
разговорник	r a z ɡ ɔ v ɔ r n i k
разговорников	r a z ɡ ɔ v ɔ r n i k ɔ f
разговорници	r a z ɡ ɔ v ɔ r n i t͡s i
разговорно	r a z ɡ ɔ v ɔ r n ɔ
разголен	r a z ɡ ɔ l ɛ n
разголеност	r a z ɡ ɔ l ɛ n ɔ s t
разголи	r a z ɡ ɔ l i
разголува	r a z ɡ ɔ ɫ u v a
разголуван	r a z ɡ ɔ ɫ u v a n
разголување	r a z ɡ ɔ ɫ u v a ɲ ɛ
разгонет	r a z ɡ ɔ n ɛ t
разгони	r a z ɡ ɔ n i
разгонува	r a z ɡ ɔ n u v a
разгонуван	r a z ɡ ɔ n u v a n
разгонување	r a z ɡ ɔ n u v a ɲ ɛ
разгорен	r a z ɡ ɔ ɾ ɛ n
разгори	r a z ɡ ɔ ɾ i
разгорува	r a z ɡ ɔ ɾ u v a
разгоруван	r a z ɡ ɔ ɾ u v a n
разгорување	r a z ɡ ɔ r u v a ɲ ɛ
разграден	r a z ɡ r a d ɛ n
разгради	r a z ɡ r a d i
разградлив	r a z ɡ r a d l i f
разградува	r a z ɡ r a d u v a
разградуван	r a z ɡ r a d u v a n
разградување	r a z ɡ r a d u v a ɲ ɛ
разгракан	r a z ɡ r a k a n
разгракување	r a z ɡ r a k u v a ɲ ɛ
разгранет	r a z ɡ r a n ɛ t
разгранетост	r a z ɡ r a n ɛ t ɔ s t
разграничен	r a z ɡ r a n i t͡ʃ ɛ n
разграничи	r a z ɡ r a n i t͡ʃ i
разграничува	r a z ɡ r a n i t͡ʃ u v a
разграничуван	r a z ɡ r a n i t͡ʃ u v a n
разграничување	r a z ɡ r a n i t͡ʃ u v a ɲ ɛ
разгранување	r a z ɡ r a n u v a ɲ ɛ
разгрмување	r a z ɡ r̩ m u v a ɲ ɛ
разгрнат	r a z ɡ r̩ n a t
разгрне	r a z ɡ r̩ n ɛ
разгрнува	r a z ɡ r̩ n u v a
разгрнуван	r a z ɡ r̩ n u v a n
разгрнување	r a z ɡ r̩ n u v a ɲ ɛ
разгромен	r a z ɡ r ɔ m ɛ n
разгроми	r a z ɡ r ɔ m i
разгромува	r a z ɡ r ɔ m u v a
разгромуван	r a z ɡ r ɔ m u v a n
разгромување	r a z ɡ r ɔ m u v a ɲ ɛ
разгуган	r a z ɡ u ɡ a n
разгугување	r a z ɡ u ɡ u v a ɲ ɛ
раздалечен	r a z d a l ɛ t͡ʃ ɛ n
раздалечи	r a z d a l ɛ t͡ʃ i
раздалечува	r a z d a l ɛ t͡ʃ u v a
раздалечуван	r a z d a l ɛ t͡ʃ u v a n
раздалечување	r a z d a l ɛ t͡ʃ u v a ɲ ɛ
раздвижен	r a z d v i ʒ ɛ n
раздвиженост	r a z d v i ʒ ɛ n ɔ s t
раздвижи	r a z d v i ʒ i
раздвижува	r a z d v i ʒ u v a
раздвижуван	r a z d v i ʒ u v a n
раздвижување	r a z d v i ʒ u v a ɲ ɛ
раздвоен	r a z d v ɔ ɛ n
раздвоеност	r a z d v ɔ ɛ n ɔ s t
раздвои	r a z d v ɔ i
раздвојува	r a z d v ɔ j u v a
раздвојуван	r a z d v ɔ j u v a n
раздвојување	r a z d v ɔ j u v a ɲ ɛ
разделба	r a z d ɛ ɫ b a
разделбен	r a z d ɛ ɫ b ɛ n
разделби	r a z d ɛ ɫ b i
разделен	r a z d ɛ l ɛ n
разделение	r a z d ɛ l ɛ n i j ɛ
разделеност	r a z d ɛ l ɛ n ɔ s t
раздели	r a z d ɛ l i
разделивост	r a z d ɛ l i v ɔ s t
разделува	r a z d ɛ ɫ u v a
разделуван	r a z d ɛ ɫ u v a n
разделување	r a z d ɛ ɫ u v a ɲ ɛ
разденување	r a z d ɛ n u v a ɲ ɛ
раздиплен	r a z d i p l ɛ n
раздипли	r a z d i p l i
раздиплува	r a z d i p ɫ u v a
раздиплуван	r a z d i p ɫ u v a n
раздиплување	r a z d i p ɫ u v a ɲ ɛ
раздобја	r a z d ɔ b j a
раздобје	r a z d ɔ b j ɛ
раздолжен	r a z d ɔ ɫ ʒ ɛ n
раздолжи	r a z d ɔ ɫ ʒ i
раздолжува	r a z d ɔ ɫ ʒ u v a
раздолжуван	r a z d ɔ ɫ ʒ u v a n
раздолжување	r a z d ɔ ɫ ʒ u v a ɲ ɛ
раздор	r a z d ɔ r
раздразлив	r a z d r a z l i f
раздразливо	r a z d r a z l i v ɔ
раздразливост	r a z d r a z l i v ɔ s t
раздразнет	r a z d r a z n ɛ t
раздразнетост	r a z d r a z n ɛ t ɔ s t
раздразни	r a z d r a z n i
раздразнува	r a z d r a z n u v a
раздразнуван	r a z d r a z n u v a n
раздразнувачки	r a z d r a z n u v a t͡ʃ k i
раздразнување	r a z d r a z n u v a ɲ ɛ
раздрапа	r a z d r a p a
раздрапан	r a z d r a p a n
раздрдорен	r a z d r̩ d ɔ ɾ ɛ n
раздрдорување	r a z d r̩ d ɔ r u v a ɲ ɛ
раздрма	r a z d r̩ m a
раздрман	r a z d r̩ m a n
раздробен	r a z d r ɔ b ɛ n
раздроби	r a z d r ɔ b i
раздробува	r a z d r ɔ b u v a
раздробуван	r a z d r ɔ b u v a n
раздробување	r a z d r ɔ b u v a ɲ ɛ
раздува	r a z d u v a
раздуван	r a z d u v a n
раздувува	r a z d u v u v a
раздувуван	r a z d u v u v a n
раздувување	r a z d u v u v a ɲ ɛ
разединет	r a z ɛ d i n ɛ t
разедини	r a z ɛ d i n i
разединува	r a z ɛ d i n u v a
разединуван	r a z ɛ d i n u v a n
разединување	r a z ɛ d i n u v a ɲ ɛ
разен	r a z ɛ n
разжалостен	r a ʒ ʒ a ɫ ɔ s t ɛ n
разжалости	r a ʒ ʒ a ɫ ɔ s t i
разжалостува	r a ʒ ʒ a ɫ ɔ s t u v a
разжалостуван	r a ʒ ʒ a ɫ ɔ s t u v a n
разжалостување	r a ʒ ʒ a ɫ ɔ s t u v a ɲ ɛ
разжарен	r a ʒ ʒ a ɾ ɛ n
разжари	r a ʒ ʒ a ɾ i
разжарија	r a ʒ ʒ a ɾ i j a
