ȁ	â
сукладно	s ǔ k l a d n o
сукно	s ǔː k n o
сукња	s û k ɲ a
сукоб	s ǔː k o b
сукобити	s u k ǒ b i t i
сукобљавати	s u k o b ʎ ǎː ʋ a t i
султан	s ǔ l t aː n
султанат	s u l t ǎ n aː t
султанство	s u l t ǎː n s t ʋ o
сулуд	s û l uː d
сулундар	s u l ǔ n d aː r
сума	s û m a
сумаглица	s ǔ m a ɡ l i t͡s a
суманут	s ǔ m aː n uː t
Суматра	s ǔ m a t r a
Сумер	s ǔ m eː r
Сумеранин	s u m ěː r a n i n
сумерски	s ǔ m eː r s k iː
сумња	s ǔː m ɲ a
сумњати	s ǔː m ɲ a t i
сумњив	s ǔ m ɲ i ʋ
сумњивац	s ǔ m ɲ i ʋ a t͡s
сумњичав	s ǔ m ɲ i t͡ʃ a ʋ
сумњичаво	s ǔ m ɲ i t͡ʃ a ʋ o
сумњичавост	s ǔ m ɲ i t͡ʃ a ʋ oː s t
сумњичити	s ǔ m ɲ i t͡ʃ i t i
суморан	s û m oː r a n
суморно	s û m oː r n o
сумпор	s ûː m p o r
сумпор	s ûː m p o r
сумрак	s û m r aː k
сунђер	s ǔ n d͡ʑ e r
суноврат	s û n o ʋ r aː t
суноврат	s û n o ʋ r aː t
сунути	s ǔː n u t i
сунце	s ûː n t͡s e
Сунце	s ûː n t͡s e
сунцобран	s û n t͡s o b r aː n
сунчаник	s u n t͡ʃ ǎ n iː k
сунчати	s ǔ n t͡ʃ a t i
Суња	s û ɲ a
суочавати	s u o t͡ʃ ǎː ʋ a t i
суочити	s u ǒ t͡ʃ i t i
суп	s û p
супа	s û p a
супарник	s ǔ p aː r n iː k
супервизија	s u p e r ʋ ǐː z i j a
супервизор	s û p e r ʋ iː z o r
супервизор	s u p e r ʋ îː z o r
супериоран	s û p e r i oː r a n
супериорно	s û p e r i oː r n o
супериорност	s u p e r i ǒː r n oː s t
суперлатив	s û p e r l a t iː ʋ
суперлативан	s û p e r l a t iː ʋ a n
супернова	s u p e r n ôː ʋ a
суперсоничан	s u p e r s ǒ n i t͡ʃ a n
Супетар	s ǔ p e t a r
супротан	s ǔ p r o t a n
супротставити	s u p r ǒ t s t a ʋ i t i
супротстављати	s u p r ǒ t s t a ʋ ʎ a t i
супруг	s û p r u ɡ
супстанца	s u p s t ǎ n t͡s a
супстанција	s u p s t ǎ n t͡s i j a
супституција	s u p s t i t ǔː t͡s i j a
супстрат	s ǔ p s t r aː t
суптилан	s û p t iː l a n
суптилно	s û p t iː l n o
сур	s ûː r
сурађивати	s u r a d͡ʑ ǐː ʋ a t i
сурвавати	s u r ʋ ǎː ʋ a t i
сурвати	s ǔ r ʋ a t i
сурјекција	s u r j ě k t͡s i j a
сурла	s ûː r l a
суров	s ǔ r o ʋ
сурово	s ǔ r o ʋ o
суровост	s ǔ r o ʋ oː s t
сурогат	s û r o ɡ aː t
сурутка	s û r u t k a
сусед	s ǔː s e d
суседни	s ǔː s e d n iː
сусјед	s ǔː s j e d
сусједни	s ǔː s j e d n iː
суспензија	s u s p ě n z i j a
сусрести	s ǔ s r e s t i
сусрет	s ǔ s r e t
сусретати	s ǔ s r e t a t i
сусретљив	s u s r ě t ʎ i ʋ
сусретљиво	s u s r ě t ʎ i ʋ o
сусретљивост	s u s r ě t ʎ i ʋ oː s t
сустав	s ǔː s t a ʋ
сустајати	s ǔ s t a j a t i
сустанар	s û s t a n aː r
сустанарка	s û s t a n aː r k a
сустати	s ǔ s t a t i
сустигнути	s ǔ s t i ɡ n u t i
сустизати	s ǔ s t i z a t i
сустићи	s ǔ s t i t͡ɕ i
Сутиван	s û t i ʋ aː n
суткиња	s û t k i ɲ a
сутон	s ǔː t o n
Суторина	s û t o r i n a
сутра	s û t r a
сутрадан	s u t r ǎ d aː n
сутрашњи	s ǔ t r a ʃ ɲ iː
сутрашњица	s ǔ t r a ʃ ɲ i t͡s a
сућут	s û t͡ɕ uː t
суфизам	s u f ǐ z a m
суџук	s ǔ d͡ʒ u k
суша	s ûː ʃ a
суши	s û ʃ i
сушити	s ǔː ʃ i t i
сушица	s ǔ ʃ i t͡s a
сушти	s ûː ʃ t iː
суштина	s u ʃ t ǐ n a
сферичан	s f ě r i t͡ʃ a n
сфрагистика	s f r a ɡ ǐ s t i k a
схватати	s x ʋ â t a t i
схватити	s x ʋ â t i t i
схватљив	s x ʋ ǎ t ʎ i ʋ
схватљиво	s x ʋ ǎ t ʎ i ʋ o
схваћати	s x ʋ â t͡ɕ a t i
схема	s x ěː m a
схематизам	s x e m a t ǐ z a m
схематски	s x ě m a t s k iː
схематски	s x ě m a t s k i
схизофренија	s x i z o f r ě n i j a
сходан	s x ô d a n
сходно	s x ô d n o
сходност	s x ô d n oː s t
схрвати	s x ř ʋ a t i
сценариј	s t͡s ě n aː r iː j
сценограф	s t͡s e n ǒ ɡ r a f
С́	ɕ
с́	ɕ
с́евер	ɕ ê ʋ e r
с́утра	ɕ û t r a
т	t
табакера	t a b a k ěː r a
табела	t a b ě l a
табла	t ǎː b l a
табла	t ǎː b l a
таблета	t a b l ě t a
таблица	t ǎ b l i t͡s a
табља	t â b ʎ a
табор	t âː b o r
тава	t ǎː ʋ a
таваф	t ǎ ʋ aː f
тад	t â d
тада	t ǎ d aː
тадањи	t ǎ d a ɲ iː
тадашњи	t ǎ d a ʃ ɲ iː
тазе	t ǎː z e
тазе	t a z e
тај	t âː j
тајанствен	t a j ǎ n s t ʋ e n
тајанствено	t a j ǎ n s t ʋ e n o
тајанственост	t a j ǎ n s t ʋ e n oː s t
тајац	t ǎː j a t͡s
Тајван	t â j ʋ aː n
тајвански	t â j ʋ aː n s k iː
тајга	t âː j ɡ a
тајити	t ǎː j i t i
тајкун	t ǎ j k uː n
Тајланд	t â j l a n d
тајландски	t â j l a n d s k iː
тајмер	t ǎ j m e r
тајна	t âː j n a
тајни	t âː j n iː
тајник	t âː j n iː k
тајница	t âː j n i t͡s a
тајно	t âː j n o
тајновит	t a j n ǒ ʋ i t
тајновито	t a j n ǒ ʋ i t o
тајновитост	t a j n ǒ ʋ i t oː s t
тајност	t ǎː j n oː s t
тајом	t âː j o m
тајски	t âː j s k iː
тајфун	t ǎ j f uː n
тајфунски	t ǎ j f uː n s k iː
тајфунски	t ǎ j f uː n s k i
так	t âː k
так	t â k
так	t â k
такав	t ǎ k aː ʋ
такмити	t â k m i t i
такмичар	t ǎ k m i t͡ʃ aː r
такмичарка	t ǎ k m i t͡ʃ aː r k a
такмичарски	t ǎ k m i t͡ʃ a r s k iː
такмичарски	t ǎ k m i t͡ʃ a r s k i
такмичити	t ǎ k m i t͡ʃ i t i
такнути	t ǎ k n u t i
тако	t ǎ k oː
тако	t ǎː k o
тако	t ǎː k o
такође	t a k ǒː d͡ʑ e
такођер	t a k ǒː d͡ʑ e r
такозвани	t a k ǒ z ʋ aː n iː
такорећи	t a k o r ě t͡ɕ i
такси	t ǎ k s i
таксиметар	t ǎ k s i m e t a r
таксист	t ǎ k s i s t
такт	t â k t
тактика	t ǎ k t i k a
тактилан	t ǎ k t iː l a n
тактичан	t ǎ k t i t͡ʃ a n
тактичар	t ǎ k t i t͡ʃ aː r
тактички	t ǎ k t i t͡ʃ k iː
тактички	t ǎ k t i t͡ʃ k i
тактни	t â k t n iː
талас	t â l aː s
таласав	t a l ǎ s a ʋ
таласаст	t a l ǎ s a s t
таласати	t a l ǎ s a t i
таласје	t â l aː s j e
таласни	t â l aː s n iː
талац	t ǎː l a t͡s
талачки	t â l a t͡ʃ k iː
таленат	t ǎ l e n a t
талент	t ǎ l e n t
талентиран	t a l ě n t iː r a n
талентирано	t a l ě n t iː r a n o
талентираност	t a l ě n t iː r a n oː s t
талибан	t a l ǐ b aː n
Талијан	t a l ǐ j aː n
Талијанка	t a l ǐ j aː n k a
талијански	t a l ǐ j aː n s k iː
талијански	t a l ǐ j aː n s k i
талисман	t a l ǐ s m aː n
талити	t ǎː l i t i
Талмуд	t ǎ l m u d
талмудски	t ǎ l m u d s k iː
талог	t ǎː l o ɡ
таљив	t ǎ ʎ i ʋ
таљиге	t ǎ ʎ i ɡ e
тама	t ǎː m a
таман	t ǎː m a n
таман	t ǎ m aː n
тамбур	t ǎ m b uː r
тамбур	t ǎ m b uː r
тамбура	t ǎ m b u r a
тамилски	t ǎ m iː l s k iː
тамјан	t ǎ m j a n
тамнети	t ǎː m n e t i
тамно	t âː m n o
тамнопут	t a m n ǒ p u t
тамњети	t ǎː m ɲ e t i
тамо	t â m o
тамошњи	t â m o ʃ ɲ iː
тампон	t ǎ m p oː n
танак	t â n a k
танан	t ǎ n a n
танац	t â n a t͡s
танбур	t ǎ n b uː r
танго	t â n ɡ o
тане	t â n e
Танзанија	t ǎ n z aː n i j a
танкер	t ǎ n k e r
тантијема	t a n t i j ěː m a
тањур	t ǎ ɲ uː r
тапета	t a p ěː t a
тапија	t ǎː p i j a
таписерија	t a p i s ě r i j a
тараба	t ǎ r a b a
тарифа	t a r ǐː f a
тарифни	t ǎ r iː f n iː
Тасманија	t ǎ s m aː n i j a
таст	t â s t
тастатура	t a s t a t ǔː r a
тат	t â t
тата	t â t a
Татарин	t â t a r i n
татарски	t â t a r s k iː
таћи	t â t͡ɕ i
таутологија	t a u t o l ǒ ɡ i j a
таутолошки	t a u t ǒ l o ʃ k iː
таутосилабички	t a u t o s i l ǎ b i t͡ʃ k iː
тачан	t â t͡ʃ a n
тачка	t â t͡ʃ k a
тачкица	t â t͡ʃ k i t͡s a
тачно	t â t͡ʃ n o
таџ	t â d͡ʒ
Таџикистан	t a d͡ʒ i k ǐ s t aː n
таџикистански	t a d͡ʒ i k ǐ s t aː n s k iː
таџички	t ǎ d͡ʒ i t͡ʃ k iː
ташка	t ǎ ʃ k a
ташт	t â ʃ t
ташта	t â ʃ t a
таштина	t a ʃ t ǐ n a
ташто	t â ʃ t o
твар	t ʋ âː r
твист	t ʋ î s t
твој	t ʋ ôː j
твор	t ʋ ôː r
твор	t ʋ ô r
творац	t ʋ ǒː r a t͡s
творевина	t ʋ ǒ r e ʋ i n a
творити	t ʋ ǒ r i t i
творница	t ʋ ǒː r n i t͡s a
тврд	t ʋ r̂ː d
тврдити	t ʋ řː d i t i
тврдња	t ʋ řː d ɲ a
тврдокоран	t ʋ r̂ d o k oː r a n
тврдокорност	t ʋ r d o k ǒː r n oː s t
тврдолинијаш	t ʋ r d o l i n ǐ j aː ʃ
тврдолинијашки	t ʋ r d o l i n ǐ j aː ʃ k iː
тврдоћа	t ʋ r̩ d ǒ t͡ɕ a
театар	t e ǎː t a r
театралан	t ê a t r aː l a n
театрално	t ê a t r aː l n o
театралност	t e a t r ǎː l n oː s t
тебе	t ê b e
теби	t ê b i
тег	t êː ɡ
теглити	t ê ɡ l i t i
тегљач	t ě ɡ ʎ aː t͡ʃ
тегоба	t e ɡ ǒ b a
тегобан	t ê ɡ oː b a n
тегобно	t ê ɡ oː b n o
тегобност	t ê ɡ oː b n oː s t
теготан	t ê ɡ o t a n
тежа	t ěː ʒ a
тежак	t ěː ʒ a k
тежак	t ě ʒ aː k
тежина	t e ʒ ǐ n a
тежити	t ěː ʒ i t i
тежиште	t ê ʒ iː ʃ t e
теза	t ěː z a
тезга	t ě z ɡ a
теист	t ě i s t
тек	t ê k
тек	t êː k
тека	t ěː k a
текбир	t ě k b iː r
тековина	t ě k o ʋ i n a
тексас	t ê k s a s
Тексас	t ê k s a s
Тексашанин	t e k s ǎː ʃ a n i n
Тексашанка	t e k s ǎː ʃ aː n k a
текстил	t ě k s t iː l
текстописац	t e k s t o p ǐː s a t͡s
текстуалан	t ê k s t u aː l aː n
текстуално	t ê k s t u aː l n o
текстура	t e k s t ǔː r a
тектоника	t e k t ǒ n i k a
текући	t ě k uː t͡ɕ iː
текућина	t e k ǔ t͡ɕ i n a
тел	t ê l
телад	t ê l aː d
телац	t ěː l a t͡s
теле	t ě l e
телевизија	t e l e ʋ ǐː z i j a
телевизор	t e l ě ʋ iː z o r
телеграм	t ê l e ɡ r a m
телеграф	t e l ě ɡ r a f
телеграфија	t e l e ɡ r ǎ f i j a
телеграфирати	t e l e ɡ r a f ǐː r a t i
телеграфист	t e l e ɡ r ǎ f i s t
телеграфски	t e l ě ɡ r a f s k iː
телеграфски	t e l ě ɡ r a f s k i
телекомуникација	t e l e k o m u n i k ǎː t͡s i j a
теленце	t e l ěː n t͡s e
телеологија	t e l e o l ǒ ɡ i j a
телеолошки	t e l e ǒ l o ʃ k iː
телепатија	t e l e p ǎ t i j a
телепатски	t e l ě p a t s k iː
телепатски	t e l ě p a t s k i
телескоп	t ê l e s k o p
телескопски	t ê l e s k o p s k iː
телескопски	t ê l e s k o p s k i
телесни	t ê l e s n iː
телетекст	t ê l e t e k s t
телетина	t ě l e t i n a
телећи	t ě l e t͡ɕ iː
телефон	t e l ě f oː n
телефонија	t e l e f ǒ n i j a
телефонирати	t e l e f o n ǐː r a t i
телефонист	t e l e f ǒ n i s t
телефонисткиња	t e l e f ǒ n i s t k i ɲ a
телефонски	t e l ě f oː n s k iː
телефонски	t e l ě f oː n s k i
телешце	t e l ě ʃ t͡s e
тели	t ě l i
телић	t ě l i t͡ɕ
тело	t êː l o
теловежба	t ě l o ʋ e ʒ b a
телохранитељ	t e l o x r ǎ n i t e ʎ
телчић	t ě l t͡ʃ i t͡ɕ
тема	t ěː m a
тематски	t ě m a t s k iː
тематски	t ě m a t s k i
теме	t ê m e
темељ	t ě m e ʎ
темељац	t e m ěː ʎ a t͡s
темељит	t e m ě ʎ i t
темељити	t e m ě ʎ i t i
темељито	t e m ě ʎ i t o
темељитост	t e m ě ʎ i t oː s t
темељни	t ê m eː ʎ n iː
Темишвар	t e m ǐ ʃ ʋ aː r
темпао	t e m p a o
темперамент	t e m p e r ǎ m e n t
темпераментан	t e m p e r ǎ m e n t a n
темпераментно	t e m p e r ǎ m e n t n o
темпераментност	t e m p e r ǎ m e n t n oː s t
температура	t e m p e r a t ǔː r a
темплар	t ě m p l aː r
темпларски	t ě m p l aː r s k iː
темпо	t ě m p o
темпоралан	t ê m p o r aː l a n
Тен	t ê n
тенденција	t e n d ě n t͡s i j a
тенденциозан	t ê n d e n t͡s i oː z a n
тенденциозно	t ê n d e n t͡s i oː z n o
тенденциозност	t e n d e n t͡s i ǒː z n oː s t
Тенед	t ě n e d
тенедски	t ě n e d s k iː
тенеф	t ě n e f
тензија	t ě n z i j a
тенис	t ěː n i s
тенисач	t e n ǐ s aː t͡ʃ
тенисачки	t e n ǐ s aː t͡ʃ k iː
тенисачки	t e n ǐ s aː t͡ʃ k i
тенисер	t e n ǐ s eː r
тениски	t ěː n i s k iː
тенк	t ê n k
тенкист	t ě n k i s t
тенковски	t ě n k o ʋ s k iː
теозоф	t e ǒ z o f
теозофија	t e o z ǒ f i j a
теозофски	t e ǒ z o f s k iː
теозофски	t e ǒ z o f s k i
теократија	t e o k r ǎː t i j a
теократски	t e ǒ k r a t s k iː
теократски	t e ǒ k r a t s k i
теокрација	t e o k r ǎ t͡s i j a
теолог	t e ǒ l o ɡ
теологија	t e o l ǒ ɡ i j a
теолошки	t e ǒ l o ʃ k iː
теорем	t e ǒ r eː m
теоретизирати	t e o r e t i z ǐː r a t i
теоретик	t e o r ě t i k
теоретичар	t e o r ě t i t͡ʃ aː r
теоретски	t e ǒ r e t s k iː
теоретски	t e ǒ r e t s k i
теорија	t ě oː r i j a
теоцентричан	t e o t͡s ě n t r i t͡ʃ a n
тепати	t ê p a t i
тепих	t ě p i x
тепсија	t ě p s i j a
тепсти	t ê p s t i
теракота	t e r a k ǒ t a
терапеут	t e r a p ě u t
терапеутски	t e r a p ě u t s k iː
терапија	t e r ǎ p i j a
тераса	t e r ǎ s a
терати	t ê r a t i
терен	t ě r eː n
терет	t ě r e t
теретана	t e r e t ǎ n a
терзија	t ě r z i j a
терзијан	t e r z ǐ j aː n
територијални	t ê r i t o r i j aː l n iː
терли	t ě r l i
термин	t ě r m iː n
терминологија	t e r m i n o l ǒ ɡ i j a
терминолошки	t e r m i n ǒ l o ʃ k iː
термодинамика	t e r m o d i n ǎ m i k a
термопауза	t e r m o p â u z a
Термопиле	t e r m ǒ p i l e
термопилски	t e r m ǒ p i l s k iː
термосфера	t e r m o s f ěː r a
терор	t ě r oː r
тероризам	t e r o r ǐ z a m
терорист	t e r ǒ r i s t
терористички	t e r o r ǐ s t i t͡ʃ k iː
терористички	t e r o r ǐ s t i t͡ʃ k i
терцијар	t ê r t͡s i j aː r
терцијаран	t ê r t͡s i j aː r a n
тесан	t ěː s a n
тесати	t ě s a t i
тескера	t ê s k e r a
тесно	t êː s n o
тест	t ê s t
тестамент	t e s t ǎ m e n t
тесте	t ě s t e
тестенина	t e s t e n ǐ n a
тестера	t e s t ě r a
тестирати	t e s t ǐː r a t i
тестис	t ê s t i s
тестостерон	t e s t o s t ě r oː n
тетива	t ě t i ʋ a
тетица	t ê t i t͡s a
тетка	t ê t k a
тетоважа	t e t o ʋ ǎː ʒ a
тетовирати	t e t o ʋ ǐː r a t i
Тетово	t ê t o ʋ o
тетрарх	t ě t r a r x
тећи	t ê t͡ɕ i
теутонски	t ě u t oː n s k iː
Техеран	t ê x e r aː n
техника	t ě x n i k a
техничар	t ě x n i t͡ʃ aː r
техничарка	t ě x n i t͡ʃ aː r k a
технички	t ě x n i t͡ʃ k iː
технички	t ě x n i t͡ʃ k i
технолог	t e x n ǒ l o ɡ
технологија	t e x n o l ǒ ɡ i j a
технолошки	t e x n ǒ l o ʃ k iː
технолошки	t e x n ǒ l o ʃ k i
течан	t ê t͡ʃ a n
тешити	t ê ʃ i t i
тешко	t êː ʃ k o
ти	t îː
