á	aː
Slováček	s l ɔ ʋ aː t͡ʃ e k
Slovák	s l ɔ ʋ aː k
Slováková	s l ɔ ʋ aː k ɔ ʋ aː
Slovan	s l ɔ ʋ a n
Slovania	s l ɔ ʋ a ɲ ɪ̯ a
slovanský	s l ɔ ʋ a n s k iː
slovanský	s l ɔ ʋ a n̠ s k iː
slovenčina	s l ɔ ʋ e n t͡ʃ i n a
slovenčine	s l ɔ ʋ e n t͡ʃ i ɲ e
slovenčinou	s l ɔ ʋ e n t͡ʃ i n ɔ u̯
slovenčinu	s l ɔ ʋ e n t͡ʃ i n u
slovenčiny	s l ɔ ʋ e n t͡ʃ i n i
Slovenka	s l ɔ ʋ e ŋ k a
Slovenska	s l ɔ ʋ e n s k a
Slovenska	s l ɔ ʋ e n̠ s k a
slovenskí	s l ɔ ʋ e n s k iː
slovenskí	s l ɔ ʋ e n̠ s k iː
Slovensko	s l ɔ ʋ e n s k ɔ
Slovensko	s l ɔ ʋ e n̠ s k ɔ
Slovenskonovovešťan	s l ɔ ʋ e n s k ɔ n ɔ ʋ ɔ ʋ e ʃ c a n
Slovenskonovovešťan	s l ɔ ʋ e n̠ s k ɔ n ɔ ʋ ɔ ʋ e ʃ c a n
Slovenskonovovešťanka	s l ɔ ʋ e n s k ɔ n ɔ ʋ ɔ ʋ e ʃ c a ŋ k a
Slovenskonovovešťanka	s l ɔ ʋ e n̠ s k ɔ n ɔ ʋ ɔ ʋ e ʃ c a ŋ k a
slovenský	s l ɔ ʋ e n s k iː
slovenský	s l ɔ ʋ e n̠ s k iː
slovesá	s l ɔ ʋ e s aː
slovesný	s l ɔ ʋ e s n iː
sloveso	s l ɔ ʋ e s ɔ
slovies	s l ɔ ʋ ɪ̯ e s
Slovík	s l ɔ ʋ iː k
slovinčina	s l ɔ ʋ i n t͡ʃ i n a
slovinčine	s l ɔ ʋ i n t͡ʃ i ɲ e
slovinčinou	s l ɔ ʋ i n t͡ʃ i n ɔ u̯
slovinčinu	s l ɔ ʋ i n t͡ʃ i n u
Slovinka	s l ɔ ʋ i ŋ k a
Slovinsko	s l ɔ ʋ i n s k ɔ
Slovinsko	s l ɔ ʋ i n̠ s k ɔ
slovník	s l ɔ u̯ ɲ iː k
slovník	s l ɔ ʋ ɲ iː k
slovníkový	s l ɔ u̯ ɲ iː k ɔ ʋ iː
slovníkový	s l ɔ ʋ ɲ iː k ɔ ʋ iː
sľub	s ʎ u p
sľub	s l u p
sľúbiť	s ʎ uː b i c
sľúbiť	s l uː b i c
sľubový	s ʎ u b ɔ ʋ iː
sľubový	s l u b ɔ ʋ iː
sluch	s l u x
Šľuch	ʃ ʎ u x
Šľuch	ʃ l u x
sluchom	s l u x ɔ m
sľuda	s ʎ u d a
sľuda	s l u d a
sluha	s l u ɦ a
sluhovský	s l u ɦ ɔ u̯ s k iː
Sluka	s l u k a
Slúka	s l uː k a
Sľúka	s ʎ uː k a
Sľúka	s l uː k a
služba	s l u ʒ b a
sĺz	s l̩ː s
slza	s l̩ z a
smädiť	s m ɛ ɐ̯ ɟ i c
smädiť	s m e ɟ i c
smädnejší	s m ɛ ɐ̯ d ɲ e ɪ̯ ʃ iː
smädnejší	s m e d ɲ e ɪ̯ ʃ iː
Smädo	s m ɛ ɐ̯ d ɔ
Smädo	s m e d ɔ
Smaho	s m a ɦ ɔ
Smatana	s m a t a n a
Šmatlák	ʃ m a t l aː k
šmatlavejší	ʃ m a t l a ʋ e ɪ̯ ʃ iː
šmatlavý	ʃ m a t l a ʋ iː
smažiť	s m a ʒ i c
sme	z m e
smeč	s m e t͡ʃ
smečový	s m e t͡ʃ ɔ ʋ iː
Šmelko	ʃ m e l k ɔ
smelosť	s m e l ɔ s c
smelý	s m e l iː
smer	s m e r
smere	s m e r e
smermi	s m e r m i
smeroch	s m e r ɔ x
smerom	s m e r ɔ m
smerov	s m e r ɔ u̯
smeroval	s m e r ɔ ʋ a l
smerovala	s m e r ɔ ʋ a l a
smerovali	s m e r ɔ ʋ a ʎ i
smerovali	s m e r ɔ ʋ a l i
smerovalo	s m e r ɔ ʋ a l ɔ
smerovanie	s m e r ɔ ʋ a ɲ ɪ̯ e
smerovaný	s m e r ɔ ʋ a n iː
smerovať	s m e r ɔ ʋ a c
smerový	s m e r ɔ ʋ iː
smeru	s m e r u
smeruj	s m e r u ɪ̯
smeruje	s m e r u j e
smerujem	s m e r u j e m
smerujeme	s m e r u j e m e
smeruješ	s m e r u j e ʃ
smerujete	s m e r u j e c e
smerujme	s m e r u ɪ̯ m e
smerujte	s m e r u ɪ̯ c e
smerujú	s m e r u j uː
smerujúc	s m e r u j uː t͡s
smerujúci	s m e r u j uː t͡s i
smery	s m e r i
smeť	s m e c
smetiar	s m e c ɪ̯ a r
smetiarka	s m e c ɪ̯ a r k a
smetný	s m e t n iː
smiať	s m ɪ̯ a c
Šmicer	ʃ m i t͡s e r
Šmíd	ʃ m iː t
smiech	s m ɪ̯ e x
Smieška	s m ɪ̯ e ʃ k a
smieť	s m ɪ̯ e c
smietka	s m ɪ̯ e t k a
Smik	s m i k
smilniť	s m i l ɲ i c
šmirgeľ	ʃ m i r ɡ e ʎ
šmirgeľ	ʃ m i r ɡ e l
Šmíro	ʃ m iː r ɔ
Smolák	s m ɔ l aː k
Smoľak	s m ɔ ʎ a k
Smoľak	s m ɔ l a k
Smolka	s m ɔ l k a
smotana	s m ɔ t a n a
smrek	s m r e k
smrekovec	s m r e k ɔ ʋ e t͡s
šmrnc	ʃ m r̩ n t͡s
smršť	s m r̩ ʃ c
smrť	s m r̩ c
smrtonosný	s m r̩ t ɔ n ɔ s n iː
Smrž	s m r̩ ʃ
šmuha	ʃ m u ɦ a
smutnejší	s m u t ɲ e ɪ̯ ʃ iː
smutný	s m u t n iː
Smutný	s m u t n iː
smútok	s m uː t ɔ k
šmúžka	ʃ m uː ʃ k a
Smyk	s m i k
snáď	s n aː c
Snak	s n a k
sneh	s ɲ e x
snehom	s ɲ e ɦ ɔ m
snehový	s ɲ e ɦ ɔ ʋ iː
snehu	s ɲ e ɦ u
snehuliačik	s ɲ e ɦ u ʎ ɪ̯ a t͡ʃ i k
snehuliačik	s ɲ e ɦ u l ɪ̯ a t͡ʃ i k
snehuliačika	s ɲ e ɦ u ʎ ɪ̯ a t͡ʃ i k a
snehuliačika	s ɲ e ɦ u l ɪ̯ a t͡ʃ i k a
snehuliak	s ɲ e ɦ u ʎ ɪ̯ a k
snehuliak	s ɲ e ɦ u l ɪ̯ a k
šnek	ʃ n e k
šnekový	ʃ ɲ e k ɔ ʋ iː
sneží	s ɲ e ʒ iː
snežiť	s ɲ e ʒ i c
Sninský	s ɲ i n s k iː
Sninský	s ɲ i n̠ s k iː
snúbenica	s n uː b e ɲ i t͡s a
šnuptichel	ʃ n u p t i x e l
sob	s ɔ p
sobáš	s ɔ b aː ʃ
Sobek	s ɔ b e k
sobí	s ɔ b iː
sobia	s ɔ b ɪ̯ a
sobie	s ɔ b ɪ̯ e
sobmi	s ɔ b m i
soboch	s ɔ b ɔ x
soboľ	s ɔ b ɔ ʎ
soboľ	s ɔ b ɔ l
sobolí	s ɔ b ɔ ʎ iː
sobolí	s ɔ b ɔ l iː
sobom	s ɔ b ɔ m
sobota	s ɔ b ɔ t a
Sobotka	s ɔ b ɔ t k a
sobotňajší	s ɔ b ɔ t ɲ a ɪ̯ ʃ iː
sobotný	s ɔ b ɔ t n iː
sobov	s ɔ b ɔ u̯
sôch	s u̯ ɔ x
socha	s ɔ x a
Socha	s ɔ x a
sochárstvo	s ɔ x aː r s t ʋ ɔ
soche	s ɔ x e
sochor	s ɔ x ɔ r
socializmu	s ɔ t͡s i a l i z m u
socializmus	s ɔ t͡s i a l i z m u s
sociolingvistika	s ɔ t͡s i ɔ l i ŋ ɡ ʋ i s t i k a
sociológ	s ɔ t͡s i ɔ l ɔː k
sociológia	s ɔ t͡s i ɔ l ɔː ɡ i a
sociologička	s ɔ t͡s i ɔ l ɔ ɡ i t͡ʃ k a
sodík	s ɔ ɟ iː k
sodný	s ɔ d n iː
šofér	ʃ ɔ f eː r
šoférka	ʃ ɔ f eː r k a
šoférovať	ʃ ɔ f eː r ɔ ʋ a c
šoférsky	ʃ ɔ f eː r s k i
Sofia	s ɔ f i a
šógun	ʃ ɔː ɡ u n
sojka	s ɔ ɪ̯ k a
šok	ʃ ɔ k
sokol	s ɔ k ɔ l
Sokol	s ɔ k ɔ l
sokolí	s ɔ k ɔ ʎ iː
sokolí	s ɔ k ɔ l iː
sokolica	s ɔ k ɔ ʎ i t͡s a
sokolica	s ɔ k ɔ l i t͡s a
sokorca	s ɔ k ɔ r t͡s a
sokorec	s ɔ k ɔ r e t͡s
soľ	s ɔ ʎ
soľ	s ɔ l
Solár	s ɔ l aː r
soli	s ɔ ʎ i
soli	s ɔ l i
solička	s ɔ ʎ i t͡ʃ k a
solička	s ɔ l i t͡ʃ k a
solidárnosť	s ɔ ʎ i d aː r n ɔ s c
solidárnosť	s ɔ l i d aː r n ɔ s c
sólista	s ɔː l i s t a
sólistický	s ɔː ʎ i s c i t͡s k iː
sólistický	s ɔː l i s c i t͡s k iː
sólistka	s ɔː ʎ i s t k a
sólistka	s ɔː l i s t k a
soľnička	s ɔ ʎ ɲ i t͡ʃ k a
soľnička	s ɔ l ɲ i t͡ʃ k a
soľný	s ɔ ʎ n iː
soľný	s ɔ l n iː
soľou	s ɔ ʎ ɔ u̯
soľou	s ɔ l ɔ u̯
Šoltés	ʃ ɔ l t eː s
Šoltis	ʃ ɔ l c i s
Šoltýs	ʃ ɔ l t iː s
Šoltýska	ʃ ɔ l t iː s k a
Solúnčanom	s ɔ l uː n t͡ʃ a n ɔ m
som	s ɔ m
Somálsko	s ɔ m aː l s k ɔ
somár	s ɔ m aː r
somarina	s ɔ m a r i n a
sombrero	s ɔ m b r e r ɔ
Šompľak	ʃ ɔ m p ʎ a k
Šompľak	ʃ ɔ m p l a k
Soňa	s ɔ ɲ a
sonet	s ɔ n e t
sopeľ	s ɔ p e ʎ
sopeľ	s ɔ p e l
sopka	s ɔ p k a
Sopko	s ɔ p k ɔ
sople	s ɔ p ʎ e
sople	s ɔ p l e
sorabistika	s ɔ r a b i s t i k a
sorabistike	s ɔ r a b i s c i k e
sorabistikou	s ɔ r a b i s c i k ɔ u̯
sorabistiku	s ɔ r a b i s c i k u
sorabistiky	s ɔ r a b i s c i k i
šos	ʃ ɔ s
Šošovica	ʃ ɔ ʃ ɔ ʋ i t͡s a
Šosták	ʃ ɔ s t aː k
šot	ʃ ɔ t
Soták	s ɔ t aː k
Šotek	ʃ ɔ c e k
sotiť	s ɔ c i c
Šouc	ʃ ɔ u t͡s
Soukup	s ɔ u k u p
Soul	s ɔ u l
sova	s ɔ ʋ a
Sova	s ɔ ʋ a
sôvät	s u̯ ɔ ʋ ɛ ɐ̯ t
sôvät	s u̯ ɔ ʋ e t
sove	s ɔ ʋ e
soví	s ɔ ʋ iː
sovia	s ɔ ʋ ɪ̯ a
sovie	s ɔ ʋ ɪ̯ e
špachtľa	ʃ p a x t ʎ a
špachtľa	ʃ p a x t l a
spájkovačka	s p aː ɪ̯ k ɔ ʋ a t͡ʃ k a
spajvér	s p a ɪ̯ ʋ eː r
špajza	ʃ p a ɪ̯ z a
spálenisko	s p aː ʎ e ɲ i s k ɔ
spálenisko	s p aː l e ɲ i s k ɔ
spálňa	s p aː l ɲ a
Španiel	ʃ p a ɲ ɪ̯ e l
španielčina	ʃ p a ɲ ɪ̯ e l t͡ʃ i n a
Španielsko	ʃ p a ɲ ɪ̯ e l s k ɔ
Španko	ʃ p a ŋ k ɔ
špargľa	ʃ p a r ɡ ʎ a
špargľa	ʃ p a r ɡ l a
spať	s p a c
späť	s p ɛ ɐ̯ c
späť	s p e c
spech	s p e x
spektrum	s p e k t r u m
speleológia	s p e l e ɔ l ɔː ɡ i a
speleonymum	s p e ʎ e ɔ n i m u m
speleonymum	s p e l e ɔ n i m u m
spermia	s p e r m i a
spermobanka	s p e r m ɔ b a ŋ k a
spiac	s p ɪ̯ a t͡s
Špicbergoch	ʃ p i d͡z b e r ɡ ɔ x
špičiak	ʃ p i t͡ʃ ɪ̯ a k
špička	ʃ p i t͡ʃ k a
spieva	s p ɪ̯ e ʋ a
spievaj	s p ɪ̯ e ʋ a ɪ̯
spievajme	s p ɪ̯ e ʋ a ɪ̯ m e
spievajte	s p ɪ̯ e ʋ a ɪ̯ c e
spievajú	s p ɪ̯ e ʋ a j uː
spievajúci	s p ɪ̯ e ʋ a j uː t͡s i
spieval	s p ɪ̯ e ʋ a l
spievam	s p ɪ̯ e ʋ a m
spievame	s p ɪ̯ e ʋ a m e
spievanie	s p ɪ̯ e ʋ a ɲ ɪ̯ e
spievaš	s p ɪ̯ e ʋ a ʃ
spievať	s p ɪ̯ e ʋ a c
spievate	s p ɪ̯ e ʋ a c e
Špigút	ʃ p i ɡ uː t
Špiner	ʃ p i ɲ e r
špinka	ʃ p i ŋ k a
Spišák	s p i ʃ aː k
spisovateľ	s p i s ɔ ʋ a c e ʎ
spisovateľ	s p i s ɔ ʋ a c e l
spisovateľka	s p i s ɔ ʋ a c e ʎ k a
spisovateľka	s p i s ɔ ʋ a c e l k a
spisovateľstvo	s p i s ɔ ʋ a c e ʎ s t ʋ ɔ
spisovateľstvo	s p i s ɔ ʋ a c e l s t ʋ ɔ
Spišskonovovešťan	s p i ʃ s k ɔ n ɔ ʋ ɔ ʋ e ʃ c a n
Spišskonovovešťanka	s p i ʃ s k ɔ n ɔ ʋ ɔ ʋ e ʃ c a ŋ k a
Špitalik	ʃ p i t a ʎ i k
Špitalik	ʃ p i t a l i k
šplh	ʃ p l̩ x
splň	s p l̩ ɲ
splniť	s p l̩ ɲ i c
spojka	s p ɔ ɪ̯ k a
spojler	s p ɔ ɪ̯ l e r
spolieha	s p ɔ ʎ ɪ̯ e ɦ a
spolieha	s p ɔ l ɪ̯ e ɦ a
spoliehať	s p ɔ ʎ ɪ̯ e ɦ a c
spoliehať	s p ɔ l ɪ̯ e ɦ a c
spoločenstiev	s p ɔ l ɔ t͡ʃ e n s c ɪ̯ e u̯
spoločenstiev	s p ɔ l ɔ t͡ʃ e n̠ s c ɪ̯ e u̯
spoločenstvo	s p ɔ l ɔ t͡ʃ e n s t ʋ ɔ
spoločenstvo	s p ɔ l ɔ t͡ʃ e n̠ s t ʋ ɔ
spoločnosť	s p ɔ l ɔ t͡ʃ n ɔ s c
spoluhláska	s p ɔ l u ɦ l aː s k a
spolupáchateľ	s p ɔ l u p aː x a c e ʎ
spolupáchateľ	s p ɔ l u p aː x a c e l
spolupáchateliek	s p ɔ l u p aː x a c e ʎ ɪ̯ e k
spolupáchateliek	s p ɔ l u p aː x a c e l ɪ̯ e k
spolupáchateľka	s p ɔ l u p aː x a c e ʎ k a
spolupáchateľka	s p ɔ l u p aː x a c e l k a
spolužiačka	s p ɔ l u ʒ ɪ̯ a t͡ʃ k a
spolužiak	s p ɔ l u ʒ ɪ̯ a k
spomienka	s p ɔ m ɪ̯ e ŋ k a
spontánnosť	s p ɔ n t aː nː ɔ s c
spor	s p ɔ r
špor	ʃ p ɔ r
sporí	s p ɔ r iː
spôsob	s p u̯ ɔ s ɔ p
spot	s p ɔ t
spotrebiteľ	s p ɔ t r e b i c e ʎ
spotrebiteľ	s p ɔ t r e b i c e l
spotrebiteľka	s p ɔ t r e b i c e ʎ k a
spotrebiteľka	s p ɔ t r e b i c e l k a
spotrebiteľský	s p ɔ t r e b i c e ʎ s k iː
spotrebiteľský	s p ɔ t r e b i c e l s k iː
sprašový	s p r a ʃ ɔ ʋ iː
správa	s p r aː ʋ a
správanie	s p r aː ʋ a ɲ ɪ̯ e
správca	s p r aː u̯ t͡s a
spravíš	s p r a ʋ iː ʃ
spraviť	s p r a ʋ i c
správkyňa	s p r aː u̯ k i ɲ a
spravodlivosť	s p r a ʋ ɔ d ʎ i ʋ ɔ s c
spravodlivosť	s p r a ʋ ɔ d l i ʋ ɔ s c
spŕch	s p r̩ː x
sprcha	s p r̩ x a
sprchový	s p r̩ x ɔ ʋ iː
spriažka	s p r ɪ̯ a ʃ k a
sprostý	s p r ɔ s t iː
spŕška	s p r̩ː ʃ k a
spŕšky	s p r̩ː ʃ k i
spŕšok	s p r̩ː ʃ ɔ k
šprt	ʃ p r̩ t
spúšť	s p uː ʃ c
spyware	s p a ɪ̯ ʋ eː r
squash	s k ʋ ɔ ʃ
sračka	s r a t͡ʃ k a
sranie	s r a ɲ ɪ̯ e
srať	s r a c
Srb	s r̩ p
srbčina	s r̩ p t͡ʃ i n a
srbochorvátčina	s r̩ b ɔ x ɔ r ʋ aː t͡ʃː i n a
Srbsko	s r̩ p s k ɔ
sŕdc	s r̩ː t͡s
srdcami	s r̩ t͡sː a m i
srdce	s r̩ t͡sː e
srdciar	s r̩ t͡sː ɪ̯ a r
srdcovnica	s r̩ t͡sː ɔ u̯ ɲ i t͡s a
srdcovnica	s r̩ t͡sː ɔ ʋ ɲ i t͡s a
srdiečkovať	s r̩ ɟ ɪ̯ e t͡ʃ k ɔ ʋ a c
sŕn	s r̩ː n
srna	s r̩ n a
sŕňa	s r̩ː ɲ a
sŕňatko	s r̩ː ɲ a t k ɔ
srne	s r̩ ɲ e
srnu	s r̩ n u
Sršeň	s r̩ ʃ e ɲ
srsť	s r̩ s c
srvátka	s r̩ ʋ aː t k a
štáb	ʃ t aː p
Stach	s t a x
Stacho	s t a x ɔ
Stachovič	s t a x ɔ ʋ i t͡ʃ
Stachura	s t a x u r a
stádo	s t aː d ɔ
Stahoň	s t a ɦ ɔ ɲ
stajňa	s t a ɪ̯ ɲ a
stajnička	s t a ɪ̯ ɲ i t͡ʃ k a
stajňový	s t a ɪ̯ ɲ ɔ ʋ iː
stalaktit	s t a l a k t i t
stále	s t aː ʎ e
stále	s t aː l e
štamperlík	ʃ t a m p e r ʎ iː k
štamperlík	ʃ t a m p e r l iː k
stan	s t a n
Staňák	s t a ɲ aː k
Stanko	s t a ŋ k ɔ
Stano	s t a n ɔ
Staraba	s t a r a b a
starček	s t a r t͡ʃ e k
staré	s t a r eː
Staré	s t a r eː
starec	s t a r e t͡s
starena	s t a r e n a
starenka	s t a r e ŋ k a
stárež	s t aː r e ʃ
starogréčtina	s t a r ɔ ɡ r eː t͡ʃ c i n a
Staroň	s t a r ɔ ɲ
starovek	s t a r ɔ ʋ e k
starší	s t a r ʃ iː
štart	ʃ t a r t
štartový	ʃ t a r t ɔ ʋ iː
starý	s t a r iː
Starý	s t a r iː
Staško	s t a ʃ k ɔ
šťastena	ʃ c a s c e n a
šťastia	ʃ c a s c ɪ̯ a
šťastie	ʃ c a s c ɪ̯ e
šťastný	ʃ c a s t n iː
Šťastný	ʃ c a s t n iː
stať	s t a c
stáť	s t aː c
štát	ʃ t aː t
šťať	ʃ c a c
štatárium	ʃ t a t aː r i u m
štátny	ʃ t aː t n i
statok	s t a t ɔ k
stav	s t a u̯
šťav	ʃ c a u̯
staval	s t a ʋ a l
stavala	s t a ʋ a l a
stavať	s t a ʋ a c
stávať	s t aː ʋ a c
stavba	s t a u̯ b a
stavec	s t a ʋ e t͡s
šťaveľ	ʃ c a ʋ e ʎ
šťaveľ	ʃ c a ʋ e l
stavia	s t a ʋ ɪ̯ a
staviaš	s t a ʋ ɪ̯ a ʃ
staviť	s t a ʋ i c
stávka	s t aː u̯ k a
stavovec	s t a ʋ ɔ ʋ e t͡s
sťažeň	s c a ʒ e ɲ
sťažňa	s c a ʒ ɲ a
sťažňami	s c a ʒ ɲ a m i
sťažni	s c a ʒ ɲ i
sťažňový	s c a ʒ ɲ ɔ ʋ iː
stebiel	s c e b ɪ̯ e l
stebla	s c e b l a
steblá	s c e b l aː
steblo	s c e b l ɔ
steblom	s c e b l ɔ m
steblu	s c e b l u
Štech	ʃ c e x
štedrejší	ʃ c e d r e ɪ̯ ʃ iː
štedrosť	ʃ c e d r ɔ s c
štedrý	ʃ c e d r iː
Štefanco	ʃ c e f a n t͡s ɔ
Štefanec	ʃ c e f a ɲ e t͡s
Štefanek	ʃ c e f a ɲ e k
Štefanides	ʃ t e f a n i d e s
Štefanidesová	ʃ c e f a ɲ i ɟ e s ɔ ʋ aː
Štefanovič	ʃ c e f a n ɔ ʋ i t͡ʃ
Šteflovič	ʃ c e v l ɔ ʋ i t͡ʃ
Štefula	ʃ c e f u l a
steh	s c e x
stehličí	s c e ɦ ʎ i t͡ʃ iː
stehličí	s c e ɦ l i t͡ʃ iː
stehlík	s c e ɦ ʎ iː k
stehlík	s c e ɦ l iː k
stehu	s c e ɦ u
Stejskal	s c e ɪ̯ s k a l
štekať	ʃ c e k a c
Stel	s t e l
Štempel	ʃ c e m p e l
stena	s c e n a
stenám	s c e n aː m
Stenchlák	s c e ɰ̃ x l aː k
štetca	ʃ c e t͡sː a
štetcami	ʃ c e t͡sː a m i
štetce	ʃ c e t͡sː e
štetci	ʃ c e t͡sː i
štetcoch	ʃ c e t͡sː ɔ x
štetcom	ʃ c e t͡sː ɔ m
štetcov	ʃ c e t͡sː ɔ u̯
štetcový	ʃ c e t͡sː ɔ ʋ iː
štetcu	ʃ c e t͡sː u
štetec	ʃ c e c e t͡s
Štetín	ʃ c e c iː n
štetka	ʃ c e t k a
Števčať	ʃ c e u̯ t͡ʃ a c
Števček	ʃ c e u̯ t͡ʃ e k
štiav	ʃ c ɪ̯ a u̯
štiavec	ʃ c ɪ̯ a ʋ e t͡s
štiavička	ʃ c ɪ̯ a ʋ i t͡ʃ k a
Štich	ʃ c i x
stierka	s c ɪ̯ e r k a
Štígel	ʃ c iː ɡ e l
Štiglinc	ʃ c i ɡ ʎ i n t͡s
Štiglinc	ʃ c i ɡ l i n t͡s
štikútať	ʃ c i k uː t a c
štikútka	ʃ c i k uː t k a
stípliar	s t iː p ʎ ɪ̯ a r
stípliar	s t iː p l ɪ̯ a r
stípliarka	s c iː p ʎ ɪ̯ a r k a
stípliarka	s c iː p l ɪ̯ a r k a
štít	ʃ c iː t
stlč	s t l̩ t͡ʃ
stĺcť	s t l̩ː t͡s c
stĺp	s t l̩ː p
stĺpa	s t l̩ː p a
stĺpe	s t l̩ː p e
stĺpica	s t l̩ː p i t͡s a
stĺpik	s t l̩ː p i k
stĺpmi	s t l̩ː p m i
stĺpový	s t l̩ː p ɔ ʋ iː
stĺpu	s t l̩ː p u
sto	s t ɔ
stodola	s t ɔ d ɔ l a
Štofko	ʃ t ɔ f k ɔ
stoici	s t ɔ i t͡s i
stoika	s t ɔ i k a
stoj	s t ɔ ɪ̯
Stoják	s t ɔ j aː k
stojan	s t ɔ j a n
stojisko	s t ɔ j i s k ɔ
Stojka	s t ɔ ɪ̯ k a
stojka	s t ɔ ɪ̯ k a
stôk	s t u̯ ɔ k
stoka	s t ɔ k a
stokách	s t ɔ k aː x
stokami	s t ɔ k a m i
stokár	s t ɔ k aː r
stokári	s t ɔ k aː r i
stokárka	s t ɔ k aː r k a
stoke	s t ɔ k e
Štokholm	ʃ t ɔ ɡ ɦ ɔ l m
Štokholme	ʃ t ɔ ɡ ɦ ɔ l m e
Štokholmu	ʃ t ɔ ɡ ɦ ɔ l m u
stokou	s t ɔ k ɔ u̯
stoku	s t ɔ k u
stoky	s t ɔ k i
stola	s t ɔ l a
štóla	ʃ t ɔː l a
Stolár	s t ɔ l aː r
stolica	s t ɔ ʎ i t͡s a
stolica	s t ɔ l i t͡s a
stolička	s t ɔ ʎ i t͡ʃ k a
stolička	s t ɔ l i t͡ʃ k a
stoličkový	s t ɔ ʎ i t͡ʃ k ɔ ʋ iː
stoličkový	s t ɔ l i t͡ʃ k ɔ ʋ iː
stolík	s t ɔ ʎ iː k
stolík	s t ɔ l iː k
stolný	s t ɔ l n iː
stolový	s t ɔ l ɔ ʋ iː
stonka	s t ɔ ŋ k a
stonke	s t ɔ ŋ k e
štopeľ	ʃ t ɔ p e ʎ
štopeľ	ʃ t ɔ p e l
stopka	s t ɔ p k a
storočia	s t ɔ r ɔ t͡ʃ ɪ̯ a
storočie	s t ɔ r ɔ t͡ʃ ɪ̯ e
storočnica	s t ɔ r ɔ t͡ʃ ɲ i t͡s a
story	s t ɔ r i
stôs	s t u̯ ɔ s
štós	ʃ t ɔː s
štôs	ʃ t u̯ ɔ s
stotisíci	s t ɔ c i s iː t͡s i
stotisícina	s t ɔ c i s iː t͡s i n a
strach	s t r a x
Stračina	s t r a t͡ʃ i n a
štrajk	ʃ t r a ɪ̯ k
štrajkovať	ʃ t r a ɪ̯ k ɔ ʋ a c
strák	s t r aː k
straka	s t r a k a
Straka	s t r a k a
strakatý	s t r a k a t iː
Strákoš	s t r aː k ɔ ʃ
strán	s t r aː n
strana	s t r a n a
stranách	s t r a n aː x
Straňák	s t r a ɲ aː k
stranám	s t r a n aː m
stranami	s t r a n a m i
stranu	s t r a n u
strany	s t r a n i
Strapáč	s t r a p aː t͡ʃ
Strapák	s t r a p aː k
Strapko	s t r a p k ɔ
Štrasburg	ʃ t r a z b u r k
Strašifták	s t r a ʃ i f t aː k
strategický	s t r a c e ɡ i t͡s k iː
Štraus	ʃ t r a u s
Štrba	ʃ t r̩ b a
štrba	ʃ t r̩ b a
Štrbo	ʃ t r̩ b ɔ
Štrbová	ʃ t r̩ b ɔ ʋ aː
strč	s t r̩ t͡ʃ
strčí	s t r̩ t͡ʃ iː
strčia	s t r̩ t͡ʃ ɪ̯ a
strčil	s t r̩ t͡ʃ i l
strčím	s t r̩ t͡ʃ iː m
strčíme	s t r̩ t͡ʃ iː m e
strčíš	s t r̩ t͡ʃ iː ʃ
strčiť	s t r̩ t͡ʃ i c
strčíte	s t r̩ t͡ʃ iː c e
strecha	s t r e x a
Strecha	s t r e x a
streche	s t r e x e
strechou	s t r e x ɔ u̯
strechu	s t r e x u
strechy	s t r e x i
Strečka	s t r e t͡ʃ k a
Strečok	s t r e t͡ʃ ɔ k
stredník	s t r e d ɲ iː k
stredný	s t r e d n iː
stredovek	s t r e d ɔ ʋ e k
stredu	s t r e d u
strela	s t r e l a
strelám	s t r e l aː m
strelami	s t r e l a m i
strele	s t r e ʎ e
strele	s t r e l e
strelec	s t r e ʎ e t͡s
strelec	s t r e l e t͡s
Strelec	s t r e ʎ e t͡s
Strelec	s t r e l e t͡s
strelecký	s t r e ʎ e t͡s k iː
strelecký	s t r e l e t͡s k iː
streliť	s t r e ʎ i c
streliť	s t r e l i c
strelivo	s t r e ʎ i ʋ ɔ
strelivo	s t r e l i ʋ ɔ
strelou	s t r e l ɔ u̯
strelu	s t r e l u
strely	s t r e l i
stretnúť	s t r e t n uː c
strežiť	s t r e ʒ i c
Strežo	s t r e ʒ ɔ
Strhák	s t r̩ ɦ aː k
Strharský	s t r̩ ɦ a r s k iː
stríci	s t r iː t͡s i
strieborný	s t r ɪ̯ e b ɔ r n iː
striech	s t r ɪ̯ e x
stried	s t r ɪ̯ e t
striedať	s t r ɪ̯ e d a c
striel	s t r ɪ̯ e l
strieľať	s t r ɪ̯ e ʎ a c
strieľať	s t r ɪ̯ e l a c
striezť	s t r ɪ̯ e s c
striga	s t r i ɡ a
stríhať	s t r iː ɦ a c
Striženec	s t r i ʒ e ɲ e t͡s
strk	s t r̩ k
štrk	ʃ t r̩ k
štrkáč	ʃ t r̩ k aː t͡ʃ
štrkový	ʃ t r̩ k ɔ ʋ iː
strmý	s t r̩ m iː
Strmý	s t r̩ m iː
Strnad	s t r̩ n a t
štrnásť	ʃ t r̩ n aː s c
štrnásti	ʃ t r̩ n aː s c i
štrnástich	ʃ t r̩ n aː s c i x
štrnástim	ʃ t r̩ n aː s c i m
štrnástimi	ʃ t r̩ n aː s c i m i
štrnásty	ʃ t r̩ n aː s t i
Strnisko	s t r̩ ɲ i s k ɔ
