a.K.	a k o
toro	t o r o
Toro	t o r o
toroj	t o r o i̯
Toronto	t o r o n t o
torpedas	t o r p e d a s
torpedi	t o r p e d i
torpedis	t o r p e d i s
torpedo	t o r p e d o
torpedoj	t o r p e d o i̯
torpedojn	t o r p e d o i̯ n
torpedon	t o r p e d o n
torpedos	t o r p e d o s
torpedu	t o r p e d u
torpedus	t o r p e d u s
tortiljo	t o r t i l j o
tortiljoj	t o r t i l j o i̯
tortiljojn	t o r t i l j o i̯ n
tortiljon	t o r t i l j o n
torto	t o r t o
torturas	t o r t u r a s
torturi	t o r t u r i
torturo	t o r t u r o
tostas	t o s t a s
tosti	t o s t i
tostis	t o s t i s
tostos	t o s t o s
tostu	t o s t u
tostus	t o s t u s
totalisma	t o t a l i s m a
totema	t o t e m a
totemo	t o t e m o
toŭfuo	t o u̯ f u o
tpr	t p r
tra	t r a
traakvigi	t r a a k v i ɡ i
trabo	t r a b o
traboj	t r a b o i̯
trabojn	t r a b o i̯ n
trabon	t r a b o n
trabori	t r a b o r i
tradandas	t r a d a n d a s
tradandi	t r a d a n d i
tradandis	t r a d a n d i s
tradandos	t r a d a n d o s
tradandu	t r a d a n d u
tradandus	t r a d a n d u s
tradicia	t r a d i t͡s i a
tradicio	t r a d i t͡s i o
tradicion	t r a d i t͡s i o n
tradukenda	t r a d u k e n d a
traduki	t r a d u k i
tradukilo	t r a d u k i l o
tradukinto	t r a d u k i n t o
tradukisto	t r a d u k i s t o
traduko	t r a d u k o
tradukoj	t r a d u k o i̯
tradukojn	t r a d u k o i̯ n
tradukon	t r a d u k o n
traduku	t r a d u k u
tradukus	t r a d u k u s
trafa	t r a f a
trafaj	t r a f a i̯
trafajn	t r a f a i̯ n
trafan	t r a f a n
trafanta	t r a f a n t a
trafas	t r a f a s
trafata	t r a f a t a
trafe	t r a f e
trafi	t r a f i
trafikakcidento	t r a f i k a k t͡s i d e n t o
trafikcirklo	t r a f i k t͡s i r k l o
trafikcirkloj	t r a f i k t͡s i r k l o i̯
trafikcirklojn	t r a f i k t͡s i r k l o i̯ n
trafikcirklon	t r a f i k t͡s i r k l o n
trafikinsulo	t r a f i k i n s u l o
trafiklumoj	t r a f i k l u m o i̯
trafiko	t r a f i k o
trafikŝtopiĝo	t r a f i k ʃ t o p i d͡ʒ o
trafinta	t r a f i n t a
trafis	t r a f i s
trafita	t r a f i t a
trafo	t r a f o
trafonta	t r a f o n t a
trafos	t r a f o s
trafota	t r a f o t a
trafu	t r a f u
trafus	t r a f u s
tragedia	t r a ɡ e d i a
tragediaj	t r a ɡ e d i a i̯
tragediajn	t r a ɡ e d i a i̯ n
tragedian	t r a ɡ e d i a n
tragedie	t r a ɡ e d i e
tragediisto	t r a ɡ e d i i s t o
tragedio	t r a ɡ e d i o
tragika	t r a ɡ i k a
tragikomedio	t r a ɡ i k o m e d i o
traĥeo	t r a x e o
traĥomo	t r a x o m o
trairejo	t r a i r e j o
trairi	t r a i r i
trairo	t r a i r o
trajektorio	t r a j e k t o r i o
trajno	t r a i̯ n o
trajnoj	t r a i̯ n o i̯
trajnojn	t r a i̯ n o i̯ n
trajnon	t r a i̯ n o n
trajto	t r a i̯ t o
trajtoj	t r a i̯ t o i̯
trajtojn	t r a i̯ t o i̯ n
trajton	t r a i̯ t o n
trakomo	t r a k o m o
traktado	t r a k t a d o
traktaĵo	t r a k t a ʒ o
traktas	t r a k t a s
trakti	t r a k t i
traktis	t r a k t i s
trakto	t r a k t o
traktoro	t r a k t o r o
traktos	t r a k t o s
traktu	t r a k t u
traktus	t r a k t u s
trakuri	t r a k u r i
tralegi	t r a l e ɡ i
tramhaltejo	t r a m h a l t e j o
tramo	t r a m o
trampolino	t r a m p o l i n o
tranco	t r a n t͡s o
tranĉas	t r a n t͡ʃ a s
tranĉeo	t r a n t͡ʃ e o
tranĉi	t r a n t͡ʃ i
tranĉileto	t r a n t͡ʃ i l e t o
tranĉilo	t r a n t͡ʃ i l o
tranĉis	t r a n t͡ʃ i s
tranĉita	t r a n t͡ʃ i t a
tranĉonta	t r a n t͡ʃ o n t a
tranĉos	t r a n t͡ʃ o s
tranĉota	t r a n t͡ʃ o t a
tranĉu	t r a n t͡ʃ u
tranĉus	t r a n t͡ʃ u s
trankvila	t r a n k v i l a
trankvilan	t r a n k v i l a n
trankvile	t r a n k v i l e
trankvileco	t r a n k v i l e t͡s o
trankviliga	t r a n k v i l i ɡ a
trankviligi	t r a n k v i l i ɡ i
trankviligito	t r a n k v i l i ɡ i t o
trankviliĝi	t r a n k v i l i d͡ʒ i
trankvilo	t r a n k v i l o
tranoktas	t r a n o k t a s
tranokti	t r a n o k t i
tranoktis	t r a n o k t i s
tranoktos	t r a n o k t o s
tranoktu	t r a n o k t u
tranoktus	t r a n o k t u s
trans	t r a n s
transakcio	t r a n s a k t͡s i o
transakcioj	t r a n s a k t͡s i o i̯
transakciojn	t r a n s a k t͡s i o i̯ n
transakcion	t r a n s a k t͡s i o n
transdoni	t r a n s d o n i
transepto	t r a n s e p t o
transformado	t r a n s f o r m a d o
transformi	t r a n s f o r m i
transformiĝi	t r a n s f o r m i d͡ʒ i
transfuzo	t r a n s f u z o
transgenra	t r a n s ɡ e n r a
transgenraj	t r a n s ɡ e n r a i̯
transgenrajn	t r a n s ɡ e n r a i̯ n
transgenran	t r a n s ɡ e n r a n
transgenreco	t r a n s ɡ e n r e t͡s o
transgenrulo	t r a n s ɡ e n r u l o
Transilvanio	t r a n s i l v a n i o
transiri	t r a n s i r i
transiro	t r a n s i r o
transiru	t r a n s i r u
transirus	t r a n s i r u s
transistoro	t r a n s i s t o r o
transitiva	t r a n s i t i v a
transloĝiĝas	t r a n s l o d͡ʒ i d͡ʒ a s
transloĝiĝi	t r a n s l o d͡ʒ i d͡ʒ i
translokigi	t r a n s l o k i ɡ i
translokigo	t r a n s l o k i ɡ o
translokiĝi	t r a n s l o k i d͡ʒ i
transmigrado	t r a n s m i ɡ r a d o
transmigri	t r a n s m i ɡ r i
transpaŝi	t r a n s p a ʃ i
transportas	t r a n s p o r t a s
transporti	t r a n s p o r t i
transportis	t r a n s p o r t i s
transportos	t r a n s p o r t o s
transportu	t r a n s p o r t u
transportus	t r a n s p o r t u s
transpreni	t r a n s p r e n i
transsalti	t r a n s s a l t i
transseksa	t r a n s s e k s a
transsekseco	t r a n s s e k s e t͡s o
transseksulo	t r a n s s e k s u l o
transskribi	t r a n s s k r i b i
transulo	t r a n s u l o
transversa	t r a n s v e r s a
transvesti	t r a n s v e s t i
transvestisto	t r a n s v e s t i s t o
trapasi	t r a p a s i
trapenetras	t r a p e n e t r a s
trapenetri	t r a p e n e t r i
trapenetris	t r a p e n e t r i s
trapenetros	t r a p e n e t r o s
trapenetru	t r a p e n e t r u
trapenetrus	t r a p e n e t r u s
trapezo	t r a p e z o
trapezoedro	t r a p e z o e d r o
trapezopluredro	t r a p e z o p l u r e d r o
trapezopluredroj	t r a p e z o p l u r e d r o i̯
trapezopluredrojn	t r a p e z o p l u r e d r o i̯ n
trapezopluredron	t r a p e z o p l u r e d r o n
trarigardi	t r a r i ɡ a r d i
traŭbo	t r a u̯ b o
traŭmato	t r a u̯ m a t o
travadas	t r a v a d a s
travadi	t r a v a d i
travadis	t r a v a d i s
travados	t r a v a d o s
travadu	t r a v a d u
travadus	t r a v a d u s
travintras	t r a v i n t r a s
travintri	t r a v i n t r i
travintrinto	t r a v i n t r i n t o
travintris	t r a v i n t r i s
travintros	t r a v i n t r o s
travintru	t r a v i n t r u
travintrus	t r a v i n t r u s
travivebla	t r a v i v e b l a
travivi	t r a v i v i
tre	t r e
treege	t r e e ɡ e
trefo	t r e f o
trejnado	t r e i̯ n a d o
trejnadon	t r e i̯ n a d o n
trejnas	t r e i̯ n a s
trejni	t r e i̯ n i
trejnis	t r e i̯ n i s
trejnisto	t r e i̯ n i s t o
trejnistoj	t r e i̯ n i s t o i̯
trejnistojn	t r e i̯ n i s t o i̯ n
trejniston	t r e i̯ n i s t o n
trejnos	t r e i̯ n o s
trejnu	t r e i̯ n u
trejnus	t r e i̯ n u s
tremanta	t r e m a n t a
tremanto	t r e m a n t o
tremas	t r e m a s
tremeti	t r e m e t i
tremi	t r e m i
tremigi	t r e m i ɡ i
treminta	t r e m i n t a
treminto	t r e m i n t o
tremis	t r e m i s
tremo	t r e m o
tremolo	t r e m o l o
tremonta	t r e m o n t a
tremonto	t r e m o n t o
tremos	t r e m o s
trempas	t r e m p a s
trempi	t r e m p i
trempis	t r e m p i s
trempita	t r e m p i t a
trempos	t r e m p o s
trempu	t r e m p u
trempus	t r e m p u s
tremu	t r e m u
tremus	t r e m u s
trenado	t r e n a d o
trenco	t r e n t͡s o
treni	t r e n i
trenŝipo	t r e n ʃ i p o
trenŝipoj	t r e n ʃ i p o i̯
trenŝipojn	t r e n ʃ i p o i̯ n
trenŝipon	t r e n ʃ i p o n
treonino	t r e o n i n o
tretas	t r e t a s
treti	t r e t i
tretis	t r e t i s
tretos	t r e t o s
tretu	t r e t u
tretus	t r e t u s
trezorejo	t r e z o r e j o
trezorkofro	t r e z o r k o f r o
trezoro	t r e z o r o
tri	t r i
tria	t r i a
triafoje	t r i a f o j e
triaj	t r i a i̯
triajn	t r i a i̯ n
trian	t r i a n
triangula	t r i a n ɡ u l a
triangulas	t r i a n ɡ u l a s
triangule	t r i a n ɡ u l e
trianguli	t r i a n ɡ u l i
triangulis	t r i a n ɡ u l i s
triangulo	t r i a n ɡ u l o
triangulos	t r i a n ɡ u l o s
triangulu	t r i a n ɡ u l u
triangulus	t r i a n ɡ u l u s
triba	t r i b a
tribo	t r i b o
triboelektro	t r i b o e l e k t r o
triboelektron	t r i b o e l e k t r o n
triboj	t r i b o i̯
tribojn	t r i b o i̯ n
triboluminesko	t r i b o l u m i n e s k o
tribon	t r i b o n
tribordo	t r i b o r d o
tribunalo	t r i b u n a l o
tribuno	t r i b u n o
tributante	t r i b u t a n t e
tributas	t r i b u t a s
tributata	t r i b u t a t a
tributate	t r i b u t a t e
tributato	t r i b u t a t o
tributi	t r i b u t i
tributis	t r i b u t i s
tributo	t r i b u t o
tributoj	t r i b u t o i̯
tributojn	t r i b u t o i̯ n
tributon	t r i b u t o n
tributos	t r i b u t o s
tributu	t r i b u t u
tributus	t r i b u t u s
tricent	t r i t͡s e n t
triceratopo	t r i t͡s e r a t o p o
triciklo	t r i t͡s i k l o
tricio	t r i t͡s i o
tridek	t r i d e k
trideka	t r i d e k a
tridento	t r i d e n t o
tridimensia	t r i d i m e n s i a
trie	t r i e
triedro	t r i e d r o
trifoje	t r i f o j e
trifolio	t r i f o l i o
trifosfato	t r i f o s f a t o
trigonometria	t r i ɡ o n o m e t r i a
trigonometrio	t r i ɡ o n o m e t r i o
triĥino	t r i x i n o
triiliardo	t r i i l i a r d o
triiliono	t r i i l i o n o
trijara	t r i j a r a
trijaraĝa	t r i j a r a d͡ʒ a
triki	t r i k i
trikinio	t r i k i n i o
trikino	t r i k i n o
trikoto	t r i k o t o
trilatero	t r i l a t e r o
trilingvulo	t r i l i n ɡ v u l o
triliono	t r i l i o n o
trilo	t r i l o
trilobulo	t r i l o b u l o
trilobuloj	t r i l o b u l o i̯
trinkaĵo	t r i n k a ʒ o
trinkas	t r i n k a s
trinkebla	t r i n k e b l a
trinkegas	t r i n k e ɡ a s
trinkegi	t r i n k e ɡ i
trinkegis	t r i n k e ɡ i s
trinkegos	t r i n k e ɡ o s
trinkegu	t r i n k e ɡ u
trinkegus	t r i n k e ɡ u s
trinkejo	t r i n k e j o
trinketi	t r i n k e t i
trinki	t r i n k i
trinkis	t r i n k i s
trinkmono	t r i n k m o n o
trinko	t r i n k o
trinkoj	t r i n k o i̯
trinkojn	t r i n k o i̯ n
trinkon	t r i n k o n
trinkos	t r i n k o s
trinkŝalmo	t r i n k ʃ a l m o
trinku	t r i n k u
trinkus	t r i n k u s
trinombro	t r i n o m b r o
trio	t r i o
triobla	t r i o b l a
trioblaj	t r i o b l a i̯
trioblajn	t r i o b l a i̯ n
trioblan	t r i o b l a n
trioble	t r i o b l e
triobligi	t r i o b l i ɡ i
triobliĝi	t r i o b l i d͡ʒ i
trioj	t r i o i̯
triojn	t r i o i̯ n
trion	t r i o n
triona	t r i o n a
trionaj	t r i o n a i̯
trionajn	t r i o n a i̯ n
trionan	t r i o n a n
triono	t r i o n o
trionoj	t r i o n o i̯
trionojn	t r i o n o i̯ n
trionon	t r i o n o n
triope	t r i o p e
triopo	t r i o p o
triosonato	t r i o s o n a t o
triozo	t r i o z o
tripeptido	t r i p e p t i d o
tripiedo	t r i p i e d o
tripo	t r i p o
tripunkto	t r i p u n k t o
trisemajna	t r i s e m a i̯ n a
trisemajnaj	t r i s e m a i̯ n a i̯
trisemajnajn	t r i s e m a i̯ n a i̯ n
trisemajnan	t r i s e m a i̯ n a n
trista	t r i s t a
tristaj	t r i s t a i̯
tristajn	t r i s t a i̯ n
tristan	t r i s t a n
tritiko	t r i t i k o
tritio	t r i t i o
tritono	t r i t o n o
Tritono	t r i t o n o
triumfas	t r i u m f a s
triumfe	t r i u m f e
triumfi	t r i u m f i
triumfis	t r i u m f i s
triumfo	t r i u m f o
triumfoj	t r i u m f o i̯
triumfojn	t r i u m f o i̯ n
triumfon	t r i u m f o n
triumfos	t r i u m f o s
triumfu	t r i u m f u
triumfus	t r i u m f u s
triviala	t r i v i a l a
trivialaĵo	t r i v i a l a ʒ o
tro	t r o
troa	t r o a
troabunda	t r o a b u n d a
troaj	t r o a i̯
troajn	t r o a i̯ n
troan	t r o a n
trodozo	t r o d o z o
trofeo	t r o f e o
trogo	t r o ɡ o
troĥeo	t r o x e o
troĥoido	t r o x o i d o
troigi	t r o i ɡ i
troigo	t r o i ɡ o
Trojo	t r o j o
trokeo	t r o k e o
troli	t r o l i
trolo	t r o l o
trombo	t r o m b o
trombonisto	t r o m b o n i s t o
trombono	t r o m b o n o
trompa	t r o m p a
trompaj	t r o m p a i̯
trompajn	t r o m p a i̯ n
trompan	t r o m p a n
trompanta	t r o m p a n t a
trompanto	t r o m p a n t o
trompas	t r o m p a s
trompata	t r o m p a t a
trompe	t r o m p e
trompeti	t r o m p e t i
trompi	t r o m p i
trompinta	t r o m p i n t a
trompinto	t r o m p i n t o
trompis	t r o m p i s
trompisto	t r o m p i s t o
trompita	t r o m p i t a
trompo	t r o m p o
tromponta	t r o m p o n t a
trompos	t r o m p o s
trompota	t r o m p o t a
trompu	t r o m p u
trompus	t r o m p u s
trono	t r o n o
tronoj	t r o n o i̯
tropa	t r o p a
tropepiteto	t r o p e p i t e t o
tropika	t r o p i k a
tropiko	t r o p i k o
tropo	t r o p o
trosekeco	t r o s e k e t͡s o
troti	t r o t i
troto	t r o t o
trotuaro	t r o t u a r o
trotuaroj	t r o t u a r o i̯
trouzi	t r o u z i
trouzo	t r o u z o
trouzu	t r o u z u
trovebla	t r o v e b l a
troveblas	t r o v e b l a s
trovebli	t r o v e b l i
troveblis	t r o v e b l i s
troveblos	t r o v e b l o s
troveblu	t r o v e b l u
troveblus	t r o v e b l u s
trovi	t r o v i
troviĝas	t r o v i d͡ʒ a s
troviĝi	t r o v i d͡ʒ i
trovis	t r o v i s
truanta	t r u a n t a
truantaj	t r u a n t a i̯
truantajn	t r u a n t a i̯ n
truantan	t r u a n t a n
truante	t r u a n t e
truanto	t r u a n t o
truantoj	t r u a n t o i̯
truantojn	t r u a n t o i̯ n
truanton	t r u a n t o n
truas	t r u a s
truata	t r u a t a
truataj	t r u a t a i̯
truatajn	t r u a t a i̯ n
truatan	t r u a t a n
truate	t r u a t e
truato	t r u a t o
truatoj	t r u a t o i̯
truatojn	t r u a t o i̯ n
truaton	t r u a t o n
trudaĵo	t r u d a ʒ o
trude	t r u d e
trudherbo	t r u d h e r b o
trudi	t r u d i
trudo	t r u d o
truego	t r u e ɡ o
trufo	t r u f o
trui	t r u i
truilo	t r u i l o
truinta	t r u i n t a
truintaj	t r u i n t a i̯
truintajn	t r u i n t a i̯ n
truintan	t r u i n t a n
truinte	t r u i n t e
truinto	t r u i n t o
truintoj	t r u i n t o i̯
truintojn	t r u i n t o i̯ n
truinton	t r u i n t o n
truis	t r u i s
truita	t r u i t a
truitaj	t r u i t a i̯
truitajn	t r u i t a i̯ n
truitan	t r u i t a n
truite	t r u i t e
truito	t r u i t o
truitoj	t r u i t o i̯
truitojn	t r u i t o i̯ n
truiton	t r u i t o n
truko	t r u k o
trulo	t r u l o
trumpetisto	t r u m p e t i s t o
trumpeto	t r u m p e t o
trunketo	t r u n k e t o
trunko	t r u n k o
truo	t r u o
truonta	t r u o n t a
truontaj	t r u o n t a i̯
truontajn	t r u o n t a i̯ n
truontan	t r u o n t a n
truonte	t r u o n t e
truonto	t r u o n t o
truontoj	t r u o n t o i̯
truontojn	t r u o n t o i̯ n
truonton	t r u o n t o n
truos	t r u o s
truota	t r u o t a
truotaj	t r u o t a i̯
truotajn	t r u o t a i̯ n
truotan	t r u o t a n
truote	t r u o t e
truoto	t r u o t o
truotoj	t r u o t o i̯
truotojn	t r u o t o i̯ n
truoton	t r u o t o n
trupo	t r u p o
trusto	t r u s t o
truto	t r u t o
truu	t r u u
truus	t r u u s
tualetejo	t u a l e t e j o
tualeto	t u a l e t o
tualetpaperon	t u a l e t p a p e r o n
tuberkulozo	t u b e r k u l o z o
tubero	t u b e r o
tubjo	t u b j o
tubo	t u b o
tuboj	t u b o i̯
tubojn	t u b o i̯ n
tubon	t u b o n
tufalaŭdo	t u f a l a u̯ d o
tufanaso	t u f a n a s o
tufgrebo	t u f ɡ r e b o
tufo	t u f o
tuj	t u i̯
tuja	t u j a
tujaj	t u j a i̯
tujajn	t u j a i̯ n
tujan	t u j a n
tuje	t u j e
tujmesaĝilo	t u i̯ m e s a d͡ʒ i l o
tujmesaĝiloj	t u i̯ m e s a d͡ʒ i l o i̯
tujmesaĝilojn	t u i̯ m e s a d͡ʒ i l o i̯ n
tujmesaĝilon	t u i̯ m e s a d͡ʒ i l o n
tujo	t u j o
tukano	t u k a n o
tuko	t u k o
tukoj	t u k o i̯
tukojn	t u k o i̯ n
tukon	t u k o n
tulio	t u l i o
tulipo	t u l i p o
tulo	t u l o
tumoro	t u m o r o
tumultema	t u m u l t e m a
tumulto	t u m u l t o
tundro	t u n d r o
tundroj	t u n d r o i̯
tundrojn	t u n d r o i̯ n
tundron	t u n d r o n
tunelo	t u n e l o
tuniko	t u n i k o
tunikoj	t u n i k o i̯
tunikojn	t u n i k o i̯ n
tunikon	t u n i k o n
tunizia	t u n i z i a
Tunizio	t u n i z i o
Tunizion	t u n i z i o n
tuno	t u n o
turbano	t u r b a n o
turbino	t u r b i n o
turbo	t u r b o
turboj	t u r b o i̯
turbojn	t u r b o i̯ n
turbon	t u r b o n
turdo	t u r d o
turfo	t u r f o
turismo	t u r i s m o
turisto	t u r i s t o
turka	t u r k a
turkaj	t u r k a i̯
turkajn	t u r k a i̯ n
turkan	t u r k a n
Turkio	t u r k i o
turkisa	t u r k i s a
turkisaj	t u r k i s a i̯
turkisajn	t u r k i s a i̯ n
turkisan	t u r k i s a n
turkiso	t u r k i s o
turkmena	t u r k m e n a
Turkmenio	t u r k m e n i o
Turkmenistano	t u r k m e n i s t a n o
turkmeno	t u r k m e n o
turko	t u r k o
Turkujo	t u r k u j o
turmenta	t u r m e n t a
turmenti	t u r m e n t i
turmento	t u r m e n t o
turnas	t u r n a s
turni	t u r n i
turniĝi	t u r n i d͡ʒ i
turniro	t u r n i r o
turnis	t u r n i s
turnos	t u r n o s
turnu	t u r n u
turnus	t u r n u s
turo	t u r o
turoj	t u r o i̯
turojn	t u r o i̯ n
turon	t u r o n
turpa	t u r p a
turpaj	t u r p a i̯
turpajn	t u r p a i̯ n
turpan	t u r p a n
turto	t u r t o
turtoj	t u r t o i̯
turtojn	t u r t o i̯ n
turton	t u r t o n
tusas	t u s a s
tusi	t u s i
tusis	t u s i s
tusko	t u s k o
tuso	t u s o
tusos	t u s o s
tusu	t u s u
tusus	t u s u s
tuŝanta	t u ʃ a n t a
tuŝata	t u ʃ a t a
tuŝebla	t u ʃ e b l a
tuŝekrano	t u ʃ e k r a n o
tuŝi	t u ʃ i
tuŝinta	t u ʃ i n t a
tuŝis	t u ʃ i s
tuŝita	t u ʃ i t a
tuŝludo	t u ʃ l u d o
tuŝo	t u ʃ o
tuŝonta	t u ʃ o n t a
tuŝos	t u ʃ o s
tuŝota	t u ʃ o t a
tuŝplato	t u ʃ p l a t o
tuŝu	t u ʃ u
tuŝus	t u ʃ u s
tuta	t u t a
tutaj	t u t a i̯
tutajn	t u t a i̯ n
tutaĵo	t u t a ʒ o
tutan	t u t a n
tutarabismo	t u t a r a b i s m o
tutĉirkaŭ	t u t t͡ʃ i r k a u̯
tute	t u t e
tuteca	t u t e t͡s a
tutecaj	t u t e t͡s a i̯
tutecajn	t u t e t͡s a i̯ n
tutecan	t u t e t͡s a n
tuteco	t u t e t͡s o
tutkora	t u t k o r a
tutkore	t u t k o r e
tutlegi	t u t l e ɡ i
tutmonda	t u t m o n d a
tutmondaj	t u t m o n d a i̯
tutmondajn	t u t m o n d a i̯ n
tutmondan	t u t m o n d a n
tutmonde	t u t m o n d e
tutmondiĝo	t u t m o n d i d͡ʒ o
tutmondiĝon	t u t m o n d i d͡ʒ o n
tutnokte	t u t n o k t e
tuto	t u t o
tutoj	t u t o i̯
tutojn	t u t o i̯ n
tuton	t u t o n
Tuvalo	t u v a l o
tvido	t v i d o
Tvitero	t v i t e r o
u	u
u	u
ublieto	u b l i e t o
udmurto	u d m u r t o
UEA	u e a
uesto	u e s t o
Ugando	u ɡ a n d o
Ugandon	u ɡ a n d o n
ujgura	u i̯ ɡ u r a
ujguraj	u i̯ ɡ u r a i̯
ujgurajn	u i̯ ɡ u r a i̯ n
ujguran	u i̯ ɡ u r a n
ujguro	u i̯ ɡ u r o
ujguroj	u i̯ ɡ u r o i̯
ujgurojn	u i̯ ɡ u r o i̯ n
ujguron	u i̯ ɡ u r o n
ujo	u j o
ujoj	u j o i̯
ujojn	u j o i̯ n
ujon	u j o n
ujutna	u j u t n a
ukazo	u k a z o
ukraina	u k r a i n a
Ukrainio	u k r a i n i o
ukraino	u k r a i n o
Ukrainujo	u k r a i n u j o
ukulelo	u k u l e l o
ulaĉo	u l a t͡ʃ o
ulcero	u l t͡s e r o
ulino	u l i n o
ulmo	u l m o
ulmoj	u l m o i̯
ulmojn	u l m o i̯ n
ulmon	u l m o n
ulno	u l n o
ulnoj	u l n o i̯
ulnojn	u l n o i̯ n
ulnon	u l n o n
ulo	u l o
uloj	u l o i̯
ulojn	u l o i̯ n
ulon	u l o n
ultimato	u l t i m a t o
ultimatumo	u l t i m a t u m o
ultraviola	u l t r a v i o l a
ululas	u l u l a s
ululi	u l u l i
umamo	u m a m o
umbiliko	u m b i l i k o
umi	u m i
umiliono	u m i l i o n o
umlaŭto	u m l a u̯ t o
umlaŭtoj	u m l a u̯ t o i̯
umlaŭtojn	u m l a u̯ t o i̯ n
umlaŭton	u m l a u̯ t o n
umo	u m o
un'	u n
uncio	u n t͡s i o
unco	u n t͡s o
uncoj	u n t͡s o i̯
uncojn	u n t͡s o i̯ n
uncon	u n t͡s o n
ungego	u n ɡ e ɡ o
ungo	u n ɡ o
ungofajlilo	u n ɡ o f a i̯ l i l o
ungofajliloj	u n ɡ o f a i̯ l i l o i̯
ungofajlilojn	u n ɡ o f a i̯ l i l o i̯ n
ungofajlilon	u n ɡ o f a i̯ l i l o n
ungolako	u n ɡ o l a k o
ungotondilo	u n ɡ o t o n d i l o
ungoverniso	u n ɡ o v e r n i s o
ungvento	u n ɡ v e n t o
uniformo	u n i f o r m o
unika	u n i k a
unike	u n i k e
Unikodo	u n i k o d o
unio	u n i o
union	u n i o n
unisone	u n i s o n e
unito	u n i t o
universala	u n i v e r s a l a
universitata	u n i v e r s i t a t a
universitato	u n i v e r s i t a t o
universo	u n i v e r s o
universoj	u n i v e r s o i̯
universojn	u n i v e r s o i̯ n
universon	u n i v e r s o n
unu	u n u
unua	u n u a
unuafoje	u n u a f o j e
unuaj	u n u a i̯
unuajara	u n u a j a r a
unuajaraj	u n u a j a r a i̯
unuajarajn	u n u a j a r a i̯ n
unuajaran	u n u a j a r a n
unuajn	u n u a i̯ n
unuaklasa	u n u a k l a s a
unuaklasaj	u n u a k l a s a i̯
unuaklasajn	u n u a k l a s a i̯ n
unuaklasan	u n u a k l a s a n
unuan	u n u a n
unuanima	u n u a n i m a
unuanime	u n u a n i m e
unuanimeco	u n u a n i m e t͡s o
unuatoma	u n u a t o m a
unuavice	u n u a v i t͡s e
unuavida	u n u a v i d a
unuavidaj	u n u a v i d a i̯
unuavidajn	u n u a v i d a i̯ n
unuavidan	u n u a v i d a n
unuavide	u n u a v i d e
unuciklo	u n u t͡s i k l o
unuĉelulo	u n u t͡ʃ e l u l o
unudimensia	u n u d i m e n s i a
unue	u n u e
unuecigi	u n u e t͡s i ɡ i
unuecigo	u n u e t͡s i ɡ o
unueco	u n u e t͡s o
unuflanke	u n u f l a n k e
unufoje	u n u f o j e
unuforma	u n u f o r m a
unuforme	u n u f o r m e
unuformeco	u n u f o r m e t͡s o
unuigi	u n u i ɡ i
unuigita	u n u i ɡ i t a
unuigo	u n u i ɡ o
unuigu	u n u i ɡ u
unuigus	u n u i ɡ u s
unuiĝi	u n u i d͡ʒ i
unuiĝinta	u n u i d͡ʒ i n t a
unuiĝo	u n u i d͡ʒ o
unuj	u n u i̯
unujn	u n u i̯ n
unukolore	u n u k o l o r e
unukornulo	u n u k o r n u l o
unun	u n u n
ununbio	u n u n b i o
ununheksio	u n u n h e k s i o
ununilio	u n u n i l i o
ununkvadio	u n u n k v a d i o
ununoktio	u n u n o k t i o
ununombra	u n u n o m b r a
ununombraj	u n u n o m b r a i̯
ununombrajn	u n u n o m b r a i̯ n
ununombran	u n u n o m b r a n
ununombro	u n u n o m b r o
ununpentio	u n u n p e n t i o
ununseptio	u n u n s e p t i o
ununtrio	u n u n t r i o
unununio	u n u n u n i o
ununura	u n u n u r a
unuo	u n u o
unuobla	u n u o b l a
unuoblaj	u n u o b l a i̯
unuoblajn	u n u o b l a i̯ n
unuoblan	u n u o b l a n
unuokululo	u n u o k u l u l o
unuopa	u n u o p a
unuopaj	u n u o p a i̯
unuopajn	u n u o p a i̯ n
unuopaĵo	u n u o p a ʒ o
unuopan	u n u o p a n
unuope	u n u o p e
unuopulo	u n u o p u l o
unuparenta	u n u p a r e n t a
unuparentaj	u n u p a r e n t a i̯
unuparentajn	u n u p a r e n t a i̯ n
unuparentan	u n u p a r e n t a n
unusola	u n u s o l a
unutaga	u n u t a ɡ a
unuvoĉa	u n u v o t͡ʃ a
unuvoĉaj	u n u v o t͡ʃ a i̯
unuvoĉajn	u n u v o t͡ʃ a i̯ n
unuvoĉan	u n u v o t͡ʃ a n
unuvoĉe	u n u v o t͡ʃ e
uoko	u o k o
uokoj	u o k o i̯
uokojn	u o k o i̯ n
uokon	u o k o n
ups	u p s
upsilono	u p s i l o n o
upupo	u p u p o
uracilo	u r a t͡s i l o
uragano	u r a ɡ a n o
uranio	u r a n i o
Urano	u r a n o
urba	u r b a
urbaĉo	u r b a t͡ʃ o
urbaĉon	u r b a t͡ʃ o n
urbaj	u r b a i̯
urbajn	u r b a i̯ n
urban	u r b a n
urbaneco	u r b a n e t͡s o
urbanecon	u r b a n e t͡s o n
urbano	u r b a n o
urbanon	u r b a n o n
urbcentro	u r b t͡s e n t r o
urbcentron	u r b t͡s e n t r o n
urbdomo	u r b d o m o
urbdomon	u r b d o m o n
