ஃ	ɐ hᵄ
யோகக்ஷேமம்	j oː ɡ ɐ k ʂ eː m ɐ m
யோகசேமம்	j oː ɡ ɐ t͡ɕ eː m ɐ m
யோகட்சேமம்	j oː ɡ ɐ ʈ t͡ɕ eː m ɐ m
யோசனை	j oː t͡ɕ ɐ n a ɪ̯
யோசி	j oː t͡ɕ i
யோசுவா	j oː t͡ɕ u ʋ aː
யோனி	j oː n i
யோவான்	j oː ʋ aː n
யோவேல்	j oː ʋ eː l
ய்	i j
ய்	j
ர	ɾ ɐ
ரகசியம்	ɾ ɐ h ɐ s i j ɐ m
ரகசியம்	ɾ ɐ ɡ ɐ t͡ɕ i j ɐ m
ரகம்	ɾ ɐ ɡ ɐ m
ரக்ஷகன்	ɾ ɐ k ʂ ɐ ɡ ɐ n
ரக்ஷி	ɾ ɐ k ʂ i
ரங்கநாதன்	ɾ ɐ ŋ ɡ ɐ n̪ aː d̪ ɐ n
ரங்கு	ɾ ɐ ŋ ɡ u
ரசகற்பூரம்	ɾ a s a k a r p uː ɾ a m
ரசகற்பூரம்	ɾ ɐ s ɐ k ɐ r p uː ɾ ɐ m
ரசம்	ɾ ɐ t͡ɕ ɐ m
ரஜா	ɾ ɐ d͡ʑ aː
ரஞ்சிதம்	ɾ ɐ ɲ d͡ʑ i d̪ ɐ m
ரத்தபித்தரோகம்	ɾ ɐ t̪ː ɐ b i t̪ː ɐ ɾ oː ɡ ɐ m
ரத்தபூமி	ɾ ɐ t̪ː ɐ b uː m i
ரத்தமசூரிகை	ɾ ɐ t̪ː ɐ m ɐ t͡ɕ uː ɾ i ɡ a ɪ̯
ரத்தம்	ɾ ɐ t̪ː ɐ m
ரத்தினம்	ɾ ɐ t̪ː i n ɐ m
ரந்திரம்	ɾ ɐ n̪ d̪ i ɾ ɐ m
ரப்பர்	ɾ ɐ pː ɐ ɾ
ரமலான்	ɾ ɐ m ɐ l aː n
ரம்சான்	ɾ ɐ m t͡ɕ aː n
ரம்பம்	ɾ ɐ m b ɐ m
ரம்மியம்	ɾ ɐ mː i j ɐ m
ரயத்	ɾ ɐ j ɐ t̪
ரவை	ɾ ɐ ʋ a ɪ̯
ரஷ்யா	ɾ ɐ ʂ j aː
ராகவன்	ɾ aː ɡ ɐ ʋ ɐ n
ராஜஸ்தான்	ɾ aː d͡ʑ ɐ s t̪ aː n
ராஜா	ɾ aː d͡ʑ aː
ராஜாத்தி	ɾ aː d͡ʑ aː t̪ː i
ராஜிநாமா	ɾ aː d͡ʑ i n̪ aː m aː
ராஜீயவாதி	ɾ aː d͡ʑ iː j ɐ ʋ aː d̪ i
ராஜ்யம்	ɾ aː d͡ʑ j ɐ m
ராணி	ɾ aː ɳ i
ராணிப்பேட்டை	ɾ aː ɳ i pː eː ʈː a ɪ̯
ராணுவம்	ɾ aː ɳ u ʋ ɐ m
ராத்திரி	ɾ aː t̪ː i ɾ i
ராப்போஜனம்	ɾ aː pː oː d͡ʑ ɐ n ɐ m
ராமநாதன்	ɾ aː m ɐ n̪ aː d̪ ɐ n
ராமநாதபுரம்	ɾ aː m ɐ n̪ aː d̪ ɐ b u ɾ ɐ m
ராமேசுவரம்	ɾ aː m eː t͡ɕ u ʋ ɐ ɾ ɐ m
ராயன்	ɾ aː j ɐ n
ரிஷபம்	ɾ i ʂ ɐ b ɐ m
ரிஷி	ɾ i ʂ i
ருசரகம்	ɾ u t͡ɕ ɐ ɾ ɐ ɡ ɐ m
ருத்திரசடை	ɾ u t̪ː i ɾ ɐ t͡ɕ ɐ ɖ a ɪ̯
ருப்புலக்கை	ɾ u pː u l ɐ kː a ɪ̯
ரும்மான்	ɾ u mː aː n
ரூத்	ɾ uː t̪
ரூபம்	ɾ uː b ɐ m
ரூபாய்	ɾ uː b aː j
ரெண்டு	ɾ e ɳ ɖ u
ரெம்பு	ɾ e m b u
ரேகை	ɾ eː h a ɪ̯
ரேகை	ɾ eː ɡ a ɪ̯
ரேவதி	ɾ eː ʋ ə t̪ ɪ
ரேவு	ɾ eː ʋ u
ரொட்டி	ɾ o ʈː i
ரொம்ப	ɾ o m b ɐ
ரொம்பு	ɾ o m b u
ரொஷ்டு	ɾ o ʂ ʈ u
ரோகம்	ɾ oː ɡ ɐ m
ரோகிணி	ɾ oː ɡ i ɳ i
ரோஜா	ɾ oː d͡ʑ aː
ரோஜாக்கள்	ɾ oː d͡ʑ aː kː ɐ ɭ
ரோஜ்	ɾ oː d͡ʑ
ரோஜ்கார்	ɾ oː d͡ʑ k aː ɾ
ரோதம்	ɾ oː d̪ ɐ m
ரோமம்	ɾ oː m ɐ m
ரோமாபுரி	ɾ oː m aː b u ɾ i
ரோமாபுரி	ɾ oː m aː p u ɾ i
ரோம்	ɾ oː m
ரோஹிணி	ɾ oː h i ɳ i
ர்	i ɾ
ர்	i ɾ ɾ ɯ
ர்	ɾ
ற	r ɐ
றகரம்	r ɐ ɡ ɐ ɾ ɐ m
ற்	r
ல	l ɐ
லகரி	l ɐ ɡ ɐ ɾ i
லக்குவா	l ɐ kː u ʋ aː
லக்ஷணம்	l ɐ k ʂ ɐ ɳ ɐ m
லக்ஷம்	l ɐ k ʂ ɐ m
லக்ஷி	l ɐ k ʂ i
லங்கர்	l ɐ ŋ ɡ ɐ ɾ
லஞ்சம்	l ɐ ɲ d͡ʑ ɐ m
லடாக்	l ɐ ɖ aː k
லடாய்	l ɐ ɖ aː j
லட்சம்	l ɐ ʈ t͡ɕ ɐ m
லட்டு	l ɐ ʈː u
லதி	l ɐ d̪ i
லதை	l ɐ d̪ a ɪ̯
லத்தாடு	l ɐ t̪ː aː ɖ u
லாடம்	l aː ɖ ɐ m
லாபம்	l aː b ɐ m
லாவோஸ்	l aː ʋ oː s
லிஸ்பன்	l i s p ɐ n
லீக்டன்ஸ்டைன்	l iː k ʈ ɐ n s ʈ a ɪ̯ n
லுங்கி	l u ŋ ɡ i
லேஞ்சி	l eː ɲ d͡ʑ i
லொடுக்கு	l o ɖ u kː u
லோககதி	l oː ɡ ɐ ɡ ɐ d̪ i
லோகம்	l oː ɡ ɐ m
ல்	i l
ல்	i l l ɯ
ல்	l
ள	ɭ ɐ
ள்	ɭ
ழ	ɻ ɐ
ழ்	i ɻ
ழ்	ɻ
வ	ʋ ɐ
வகு	ʋ ɐ ɡ u
வகுத்தல்	ʋ ɐ ɡ u t̪ː ɐ l
வகுப்பு	ʋ ɐ ɡ u pː u
வகை	ʋ ɐ ɡ a ɪ̯
வகைபாட்டியல்	ʋ ɐ ɡ a ɪ̯ b aː ʈː i j ɐ l
வக்கணம்	ʋ ɐ kː ɐ ɳ ɐ m
வக்கிரகட்கம்	ʋ ɐ kː i ɾ ɐ ɡ ɐ ʈ k ɐ m
வக்திரம்	ʋ ɐ k t̪ i ɾ ɐ m
வங்கணம்	ʋ ɐ ŋ ɡ ɐ ɳ ɐ m
வங்காளதேசம்	ʋ ɐ ŋ ɡ aː ɭ ɐ d̪ eː t͡ɕ ɐ m
வங்காளம்	ʋ ɐ ŋ ɡ aː ɭ ɐ m
வங்கி	ʋ ɐ ŋ ɡ i
வங்கிக்கடன்	ʋ ɐ ŋ ɡ i kː ɐ ɖ ɐ n
வங்கிக்கணக்கு	ʋ ɐ ŋ ɡ i kː ɐ ɳ ɐ kː u
வசதி	ʋ ɐ t͡ɕ ɐ d̪ i
வசந்தம்	ʋ ɐ t͡ɕ ɐ n̪ d̪ ɐ m
வசனம்	ʋ ɐ t͡ɕ ɐ n ɐ m
வசம்பு	ʋ ɐ t͡ɕ ɐ m b u
வசி	ʋ ɐ t͡ɕ i
வசியம்	ʋ ɐ t͡ɕ i j ɐ m
வசீகரம்	ʋ ɐ t͡ɕ iː ɡ ɐ ɾ ɐ m
வச்சநாபி	ʋ ɐ t͡ɕː ɐ n̪ aː b i
வஞ்சப்புகழ்ச்சி	ʋ ɐ ɲ d͡ʑ ɐ pː u ɡ ɐ ɻ t͡ɕː i
வஞ்சம்	ʋ ɐ ɲ d͡ʑ ɐ m
வஞ்சி	ʋ ɐ ɲ d͡ʑ i
வட	ʋ ɐ ɖ ɐ
வடகம்	ʋ ɐ ɖ ɐ ɡ ɐ m
வடகறி	ʋ ɐ ɖ ɐ ɡ ɐ r i
வடக்கன்	ʋ ɐ ɖ ɐ kː ɐ n
வடக்கு	ʋ ɐ ɖ ɐ kː u
வடசொல்	ʋ ɐ ɖ ɐ t͡ɕ o l
வடமேற்கு	ʋ ɐ ɖ ɐ m eː r k u
வடமொழி	ʋ ɐ ɖ ɐ m o ɻ i
வடமொழியெழுத்து	ʋ ɐ ɖ ɐ m o ɻ i j e ɻ u t̪ː u
வடிவமைப்பு	ʋ ɐ ɖ i ʋ ɐ m a ɪ̯ pː u
வடிவம்	ʋ ɐ ɖ i ʋ ɐ m
வடிவியல்	ʋ ɐ ɖ i ʋ i j ɐ l
வடை	ʋ ɐ ɖ a ɪ̯
வடைப்பருப்பு	ʋ ɐ ɖ a ɪ̯ pː ɐ ɾ u pː u
வட்டம்	ʋ ɐ ʈː ɐ m
வட்டி	ʋ ɐ ʈː i
வணக்கம்	ʋ ɐ ɳ ɐ kː ɐ m
வணங்கு	ʋ ɐ ɳ ɐ ŋ ɡ u
வண்டி	ʋ ɐ ɳ ɖ i
வண்டு	ʋ ɐ ɳ ɖ u
வண்ணத்துப்பூச்சி	ʋ ɐ ɳː ɐ t̪ː u pː uː t͡ɕː i
வண்ணத்துப்பூச்சிகள்	ʋ ɐ ɳː ɐ t̪ː u pː uː t͡ɕː i ɡ ɐ ɭ
வண்ணம்	ʋ ɐ ɳː ɐ m
வண்ணாத்தான்	ʋ ɐ ɳː aː t̪ː aː n
வண்ணாத்திப்பூச்சி	ʋ ɐ ɳː aː t̪ː i pː uː t͡ɕː i
வதந்தி	ʋ ɐ d̪ ɐ n̪ d̪ i
வதனம்	ʋ ɐ d̪ ɐ n ɐ m
வதம்	ʋ ɐ d̪ ɐ m
வதி	ʋ ɐ d̪ i
வனம்	ʋ ɐ n ɐ m
வனாந்தரம்	ʋ ɐ n aː n̪ d̪ ɐ ɾ ɐ m
வன்கடத்தி	ʋ ɐ n k ɐ ɖ ɐ t̪ː i
வன்தங்கம்	ʋ ɐ n d̪ ɐ ŋ ɡ ɐ m
வன்னியர்	ʋ ɐ nː i j ɐ ɾ
வன்பால்	ʋ ɐ n b aː l
வன்பொருள்	ʋ ɐ n b o ɾ u ɭ
வன்முறை	ʋ ɐ n m u r a ɪ̯
வன்மை	ʋ ɐ n m a ɪ̯
வன்வெள்ளி	ʋ ɐ n ʋ e ɭː i
வமிசம்	ʋ ɐ m i t͡ɕ ɐ m
வமிசாவளி	ʋ ɐ m i t͡ɕ aː ʋ ɐ ɭ i
வம்சம்	ʋ ɐ m t͡ɕ ɐ m
வயசு	ʋ ɐ j ɐ t͡ɕ u
வயது	ʋ ɐ j ɐ d̪ u
வயநாடு	ʋ ɐ j ɐ n̪ aː ɖ u
வயல்	ʋ ɐ j ɐ l
வரகு	ʋ ɐ ɾ ɐ ɡ u
வரடம்	ʋ ɐ ɾ ɐ ɖ ɐ m
வரணம்	ʋ ɐ ɾ ɐ ɳ ɐ m
வரதட்சணை	ʋ ɐ ɾ ɐ d̪ ɐ ʈ t͡ɕ ɐ ɳ a ɪ̯
வரத்து	ʋ ɐ ɾ ɐ t̪ː u
வரன்முறை	ʋ ɐ ɾ ɐ n m u r a ɪ̯
வரப்பண்ணு	ʋ ɐ ɾ ɐ pː ɐ ɳː u
வரப்பு	ʋ ɐ ɾ ɐ pː u
வரம்	ʋ ɐ ɾ ɐ m
வரம்பு	ʋ ɐ ɾ ɐ m b u
வரலாறு	ʋ ɐ ɾ ɐ l aː r u
வரலாற்று	ʋ ɐ ɾ ɐ l aː rː u
வரவு	ʋ ɐ ɾ ɐ ʋ u
வரவேற்கிறேன்	ʋ ɐ ɾ ɐ ʋ eː r k i r eː n
வரி	ʋ ɐ ɾ i
வரிசை	ʋ ɐ ɾ i t͡ɕ a ɪ̯
வரிச்சல்	ʋ ɐ ɾ i t͡ɕː ɐ l
வருகமஞ்சள்	ʋ ɐ ɾ u ɡ ɐ m ɐ ɲ d͡ʑ ɐ ɭ
வருக்கணம்	ʋ ɐ ɾ u kː ɐ ɳ ɐ m
வருடப்பிறப்பு	ʋ ɐ ɾ u ɖ ɐ pː i r ɐ pː u
வருடம்	ʋ ɐ ɾ u ɖ ɐ m
வருணனை	ʋ ɐ ɾ u ɳ ɐ n a ɪ̯
வருணன்	ʋ ɐ ɾ u ɳ ɐ n
வருத்தங்கள்	ʋ ɐ ɾ u t̪ː ɐ ŋ ɡ ɐ ɭ
வருத்தம்	ʋ ɐ ɾ u t̪ː ɐ m
வருந்து	ʋ ɐ ɾ u n̪ d̪ u
வருபொருள்	ʋ ɐ ɾ u b o ɾ u ɭ
வருபோகம்	ʋ ɐ ɾ u b oː ɡ ɐ m
வரும்	ʋ ɐ ɾ u m
வரும்படி	ʋ ɐ ɾ u m b ɐ ɖ i
வருஷம்	ʋ ɐ ɾ u ʂ ɐ m
வரை	ʋ ɐ ɾ a ɪ̯
வரைபடம்	ʋ ɐ ɾ a ɪ̯ b ɐ ɖ ɐ m
வரையாடு	ʋ ɐ ɾ a ɪ̯ j aː ɖ u
வர்ணம்	ʋ ɐ ɾ ɳ ɐ m
வர்ணி	ʋ ɐ ɾ ɳ i
வர்ஷம்	ʋ ɐ ɾ ʂ ɐ m
வறடு	ʋ ɐ r ɐ ɖ u
வறட்சி	ʋ ɐ r ɐ ʈ t͡ɕ i
வறட்டி	ʋ ɐ r ɐ ʈː i
வறம்	ʋ ɐ r ɐ m
வறு	ʋ ɐ r u
வறுநிலம்	ʋ ɐ r u n̪ i l ɐ m
வறுமை	ʋ ɐ r u m a ɪ̯
வற்பு	ʋ ɐ r p u
வற்றம்	ʋ ɐ rː ɐ m
வற்றல்	ʋ ɐ rː ɐ l
வலங்கம்	ʋ ɐ l ɐ ŋ ɡ ɐ m
வலசை	ʋ ɐ l ɐ t͡ɕ a ɪ̯
வலது	ʋ ɐ l ɐ d̪ u
வலம்	ʋ ɐ l ɐ m
வலாகம்	ʋ ɐ l aː ɡ ɐ m
வலி	ʋ ɐ l i
வலிப்பு	ʋ ɐ l i pː u
வலிமை	ʋ ɐ l i m a ɪ̯
வலுப்பு	ʋ ɐ l u pː u
வலுமை	ʋ ɐ l u m a ɪ̯
வலை	ʋ ɐ l a ɪ̯
வலைஒளி	ʋ ɐ l a ɪ̯ o ɭ i
வலைத்தளம்	ʋ ɐ l a ɪ̯ t̪ː ɐ ɭ ɐ m
வலைப்பக்கம்	ʋ ɐ l a ɪ̯ pː ɐ kː ɐ m
வலைப்பின்னல்	ʋ ɐ l a ɪ̯ pː i nː ɐ l
வலைப்பின்னல்கள்	ʋ ɐ l a ɪ̯ pː i nː ɐ l ɡ ɐ ɭ
வலையமைப்பு	ʋ ɐ l a ɪ̯ j ɐ m a ɪ̯ pː u
வலையொளி	ʋ ɐ l a ɪ̯ j o ɭ i
வல்	ʋ ɐ l
வல்ல	ʋ ɐ l l ɐ
வல்லடி	ʋ ɐ l l ɐ ɖ i
வல்லபம்	ʋ ɐ l l ɐ b ɐ m
வல்லமை	ʋ ɐ l l ɐ m a ɪ̯
வல்லரி	ʋ ɐ l l ɐ ɾ i
வல்லவன்	ʋ ɐ l l ɐ ʋ ɐ n
வல்லாமை	ʋ ɐ l l aː m a ɪ̯
வல்லாரை	ʋ ɐ l l aː ɾ a ɪ̯
வல்லிதின்	ʋ ɐ l l i d̪ i n
வல்லினம்	ʋ ɐ l l i n ɐ m
வல்லுநர்	ʋ ɐ l l u n̪ ɐ ɾ
வல்லுரம்	ʋ ɐ l l u ɾ ɐ m
வல்லுளி	ʋ ɐ l l u ɭ i
வல்லூற்று	ʋ ɐ l l uː rː u
வல்லேறு	ʋ ɐ l l eː r u
வல்லை	ʋ ɐ l l a ɪ̯
வளப்பம்	ʋ ɐ ɭ ɐ pː ɐ m
வளமை	ʋ ɐ ɭ ɐ m a ɪ̯
வளம்	ʋ ɐ ɭ ɐ m
வளர்	ʋ ɐ ɭ ɐ ɾ
வளர்ச்சி	ʋ ɐ ɭ ɐ ɾ t͡ɕː i
வளர்பிறை	ʋ ɐ ɭ ɐ ɾ b i r a ɪ̯
வளர்ப்பு	ʋ ɐ ɭ ɐ ɾ pː u
வளாகம்	ʋ ɐ ɭ aː ɡ ɐ m
வளி	ʋ ɐ ɭ i
வளை	ʋ ɐ ɭ a ɪ̯
வளையல்	ʋ ɐ ɭ a ɪ̯ j ɐ l
வளைவு	ʋ ɐ ɭ a ɪ̯ ʋ u
வள்ளல்	ʋ ɐ ɭː ɐ l
வழக்கமாய்	ʋ ɐ ɻ ɐ kː ɐ m aː j
வழக்கம்	ʋ ɐ ɻ ɐ kː ɐ m
வழக்கறிஞர்	ʋ ɐ ɻ ɐ kː ɐ r i ɲ ɐ ɾ
வழக்கு	ʋ ɐ ɻ ɐ kː u
வழங்காப்பொழுது	ʋ ɐ ɻ ɐ ŋ ɡ aː pː o ɻ u d̪ u
வழங்கு	ʋ ɐ ɻ ɐ ŋ ɡ u
வழலிக்கை	ʋ ɐ ɻ ɐ l i kː a ɪ̯
வழவழப்பு	ʋ ɐ ɻ ɐ ʋ ɐ ɻ ɐ pː u
வழி	ʋ ɐ ɻ i
வழிகாட்டு	ʋ ɐ ɻ i ɡ aː ʈː u
வழிச்செலவு	ʋ ɐ ɻ i t͡ɕː e l ɐ ʋ u
வழிஞ்சி	ʋ ɐ ɻ i ɲ d͡ʑ i
வழிநடை	ʋ ɐ ɻ i n̪ ɐ ɖ a ɪ̯
வழிபாடு	ʋ ɐ ɻ i b aː ɖ u
வழிப்பயணம்	ʋ ɐ ɻ i pː ɐ j ɐ ɳ ɐ m
வழிவகை	ʋ ɐ ɻ i ʋ ɐ ɡ a ɪ̯
வழுக்கு	ʋ ɐ ɻ u kː u
வழுக்கை	ʋ ɐ ɻ u kː a ɪ̯
வவ்வால்	ʋ ɐ ʋː aː l
வவ்வால்கள்	ʋ ɐ ʋː aː l ɡ ɐ ɭ
வவ்வு	ʋ ɐ ʋː u
வா	ʋ aː
வாகடம்	ʋ aː ɡ ɐ ɖ ɐ m
வாகனம்	ʋ aː ɡ ɐ n ɐ m
வாகம்	ʋ aː ɡ ɐ m
வாகினி	ʋ aː ɡ i n i
வாகியம்	ʋ aː ɡ i j ɐ m
வாக்களி	ʋ aː kː ɐ ɭ i
வாக்களிப்பு	ʋ aː kː ɐ ɭ i pː u
வாக்காடு	ʋ aː kː aː ɖ u
வாக்காட்டு	ʋ aː kː aː ʈː u
வாக்காளர்	ʋ aː kː aː ɭ ɐ ɾ
வாக்கியம்	ʋ aː kː i j ɐ m
வாக்கு	ʋ aː kː u
வாக்குத்தத்தம்	ʋ aː kː u t̪ː ɐ t̪ː ɐ m
வாக்குவாதம்	ʋ aː kː u ʋ aː d̪ ɐ m
வாங்கு	ʋ aː ŋ ɡ u
வாசனை	ʋ aː t͡ɕ ɐ n a ɪ̯
வாசல்	ʋ aː t͡ɕ ɐ l
வாசஸ்தலம்	ʋ aː t͡ɕ ɐ s t̪ ɐ l ɐ m
வாசி	ʋ aː t͡ɕ i
வாசிதம்	ʋ aː t͡ɕ i d̪ ɐ m
வாடகை	ʋ aː ɖ ɐ ɡ a ɪ̯
வாடு	ʋ aː ɖ u
வாட்ஸ்அப்	ʋ aː ʈ s ɐ p
வாணாள்	ʋ aː ɳ aː ɭ
வாணியன்பொருவா	ʋ aː ɳ i j ɐ n b o ɾ u ʋ aː
வாதை	ʋ aː d̪ a ɪ̯
வாத்து	ʋ aː t̪ː u
வாத்துக்கள்	ʋ aː t̪ː u kː ɐ ɭ
வாந்தி	ʋ aː n̪ d̪ i
வானகம்	ʋ aː n ɐ ɡ ɐ m
வானம்	ʋ aː n ɐ m
வானம்பாடி	ʋ aː n ɐ m b aː ɖ i
வானம்பாடி	ʋ aː n ɐ m p aː ɖ i
வானவர்	ʋ aː n ɐ ʋ ɐ ɾ
வானவில்	ʋ aː n ɐ ʋ i l
வானியல்	ʋ aː n i j ɐ l
வானிலை	ʋ aː n i l a ɪ̯
வானூர்தி	ʋ aː n uː ɾ d̪ i
வானொலி	ʋ aː n o l i
வான்	ʋ aː n
வான்கோழி	ʋ aː n ɡ oː ɻ i
வான்படை	ʋ aː n b ɐ ɖ a ɪ̯
வாயன்	ʋ aː j ɐ n
வாயின்மாடம்	ʋ aː j i n m aː ɖ ɐ m
வாயில்	ʋ aː j i l
வாயு	ʋ aː j u
வாய்	ʋ aː j
வாய்குமட்டல்	ʋ aː j ɡ u m ɐ ʈː ɐ l
வாய்க்கால்	ʋ aː j kː aː l
வாய்ச்சி	ʋ aː j t͡ɕː i
வாய்ச்சுத்தம்	ʋ aː j t͡ɕː u t̪ː ɐ m
வாய்ச்சொலவு	ʋ aː j t͡ɕː o l ɐ ʋ u
வாய்ச்சொல்	ʋ aː j t͡ɕː o l
வாய்தல்	ʋ aː j d̪ ɐ l
வாய்நீர்	ʋ aː j n̪ iː ɾ
வாய்ப்பாட்டு	ʋ aː j pː aː ʈː u
வாய்ப்பு	ʋ aː j pː u
வாய்மை	ʋ aː j m a ɪ̯
வாரணம்	ʋ aː ɾ ɐ ɳ ɐ m
வாரப்படு	ʋ aː ɾ ɐ pː ɐ ɖ u
வாரப்பாடு	ʋ aː ɾ ɐ pː aː ɖ u
வாரம்	ʋ aː ɾ ɐ m
வாராவதி	ʋ aː ɾ aː ʋ ɐ d̪ i
வாரிசு	ʋ aː ɾ i t͡ɕ u
வாரியல்	ʋ aː ɾ i j ɐ l
வாரு	ʋ aː ɾ u
வார்	ʋ aː ɾ
வார்த்தை	ʋ aː ɾ t̪ː a ɪ̯
வார்ப்புரு	ʋ aː ɾ pː u ɾ u
வாலெலும்பு	ʋ aː l e l u m b u
வால்	ʋ aː l
வால்நட்சத்திரம்	ʋ aː l n̪ ɐ ʈ t͡ɕ ɐ t̪ː i ɾ ɐ m
வால்மீன்	ʋ aː l m iː n
வால்மீன்கள்	ʋ aː l m iː n ɡ ɐ ɭ
வால்வெள்ளி	ʋ aː l ʋ e ɭː i
வாளை	ʋ aː ɭ a ɪ̯
வாள்	ʋ aː ɭ
வாழை	ʋ aː ɻ a ɪ̯
வாழைப்பழம்	ʋ aː ɻ a ɪ̯ pː ɐ ɻ ɐ m
வாழைப்பூ	ʋ aː ɻ a ɪ̯ pː uː
வாழ்	ʋ aː ɻ
வாழ்க்கை	ʋ aː ɻ kː a ɪ̯
வாழ்ச்சி	ʋ aː ɻ t͡ɕː i
வாழ்த்து	ʋ aː ɻ t̪ː u
வாழ்த்துரை	ʋ aː ɻ t̪ː u ɾ a ɪ̯
வாழ்நர்	ʋ aː ɻ n̪ ɐ ɾ
வாழ்நாள்	ʋ aː ɻ n̪ aː ɭ
வாழ்வு	ʋ aː ɻ ʋ u
விகடகவி	ʋ i ɡ ɐ ɖ ɐ ɡ ɐ ʋ i
விகாரம்	ʋ i h aː ɾ ɐ m
விகாரம்	ʋ i ɡ aː ɾ ɐ m
விக்கல்	ʋ i kː ɐ l
விக்கிரகம்	ʋ i kː i ɾ ɐ h ɐ m
விக்கிரகம்	ʋ i kː i ɾ ɐ ɡ ɐ m
விக்கு	ʋ i kː u
விக்சனரி	ʋ i k t͡ɕ ɐ n ɐ ɾ i
விசனம்	ʋ i t͡ɕ ɐ n ɐ m
விசயநகரம்	ʋ i t͡ɕ ɐ j ɐ n̪ ɐ ɡ ɐ ɾ ɐ m
விசாகப்பட்டினம்	ʋ i t͡ɕ aː ɡ ɐ pː ɐ ʈː i n ɐ m
விசாரணை	ʋ i t͡ɕ aː ɾ ɐ ɳ a ɪ̯
விசித்திரம்	ʋ i t͡ɕ i t̪ː i ɾ ɐ m
விசிறி	ʋ i t͡ɕ i r i
விசுவகருமா	ʋ i t͡ɕ u ʋ ɐ ɡ ɐ ɾ u m aː
விசுவநாதன்	ʋ i t͡ɕ u ʋ ɐ n̪ aː d̪ ɐ n
விசுவாசம்	ʋ i t͡ɕ u ʋ aː t͡ɕ ɐ m
விசேஷம்	ʋ i t͡ɕ eː ʂ ɐ m
விசைத்தறி	ʋ i t͡ɕ a ɪ̯ t̪ː ɐ r i
விசைப்பலகை	ʋ i t͡ɕ a ɪ̯ pː ɐ l ɐ ɡ a ɪ̯
விச்சுவநாதன்	ʋ i t͡ɕː u ʋ ɐ n̪ aː d̪ ɐ n
விச்சை	ʋ i t͡ɕː a ɪ̯
விஞ்ஞானம்	ʋ i ɲː aː n ɐ m
விட	ʋ i ɖ ɐ
விடம்	ʋ i ɖ ɐ m
விடர்	ʋ i ɖ ɐ ɾ
விடியல்	ʋ i ɖ i j ɐ l
விடிவெள்ளி	ʋ i ɖ i ʋ e ɭː i
விடு	ʋ i ɖ u
விடுதலை	ʋ i ɖ u d̪ ɐ l a ɪ̯
விடுவம்	ʋ i ɖ u ʋ ɐ m
விடுவி	ʋ i ɖ u ʋ i
விடை	ʋ i ɖ a ɪ̯
விட்டம்	ʋ i ʈː ɐ m
விட்டுணுக்கிராந்தி	ʋ i ʈː u ɳ u kː i ɾ aː n̪ d̪ i
விட்டுணுப்பிரியம்	ʋ i ʈː u ɳ u pː i ɾ i j ɐ m
விண்கலம்	ʋ i ɳ ɡ ɐ l ɐ m
விண்ணுளவி	ʋ i ɳː u ɭ ɐ ʋ i
விண்மீன்	ʋ i ɳ m iː n
விண்வீழ்கொள்ளி	ʋ i ɳ ʋ iː ɻ ɡ o ɭː i
விண்வீழ்கொள்ளிகள்	ʋ i ɳ ʋ iː ɻ ɡ o ɭː i ɡ ɐ ɭ
விண்வெளி	ʋ i ɳ ʋ e ɭ i
விதவை	ʋ i d̪ ɐ ʋ a ɪ̯
விதி	ʋ i d̪ i
விதை	ʋ i d̪ a ɪ̯
விதைப்பை	ʋ i d̪ a ɪ̯ pː a ɪ̯
வித்தியாசம்	ʋ i d̪ d̪ i j aː t͡ɕ ɐ m
வித்து	ʋ i t̪ː u
விநாடி	ʋ i n̪ aː ɖ i
விநாயகன்	ʋ i n̪ aː j ɐ ɡ ɐ n
விந்து	ʋ i n̪ d̪ u
வினவு	ʋ i n ɐ ʋ u
வினா	ʋ i n aː
வினாக்கள்	ʋ i n aː kː ɐ ɭ
வினாக்குறி	ʋ i n aː kː u r i
வினை	ʋ i n a ɪ̯
வினைச்சொல்	ʋ i n a ɪ̯ t͡ɕː o l
வினைமுற்று	ʋ i n a ɪ̯ m u rː u
வினைவியம்	ʋ i n a ɪ̯ ʋ i j ɐ m
விபச்சாரம்	ʋ i b ɐ t͡ɕː aː ɾ ɐ m
விபத்தி	ʋ i b ɐ t̪ː i
விபத்து	ʋ i b ɐ t̪ː u
விமரிசம்	ʋ i m ɐ ɾ i t͡ɕ ɐ m
விமர்சனம்	ʋ i m ɐ ɾ t͡ɕ ɐ n ɐ m
விமர்சி	ʋ i m ɐ ɾ t͡ɕ i
விமானம்	ʋ i m aː n ɐ m
விமோசனம்	ʋ i m oː t͡ɕ ɐ n ɐ m
வியட்நாம்	ʋ i j ɐ ʈ n̪ aː m
வியம்	ʋ i j ɐ m
வியர்	ʋ i j ɐ ɾ
வியர்வை	ʋ i j ɐ ɾ ʋ a ɪ̯
வியல்	ʋ i j ɐ l
வியாபாரம்	ʋ i j aː b aː ɾ ɐ m
வியாபாரி	ʋ i j aː b aː ɾ i
வியாபி	ʋ i j aː b i
வியாழக்கிழமை	ʋ i j aː ɻ ɐ kː i ɻ ɐ m a ɪ̯
வியாழன்	ʋ i j aː ɻ ɐ n
வியாழம்	ʋ i j aː ɻ ɐ m
விரக்தி	ʋ i ɾ ɐ k t̪ i
விரதம்	ʋ i ɾ ɐ d̪ ɐ m
