㑚	n a ² ³
錢塘	ʑ i ² ² d ɑ̃ ⁴ ⁴
錢櫃	ʑ i ² ² d͡ʑ y ⁴ ⁴
錢莊	ʑ i ² ² t͡s ɑ̃ ⁴ ⁴
錦	t͡ɕ i n ³ ⁴
錨	m ɔ ² ³
錫	ɕ i ɪ ʔ ⁵ ⁵
錫劇	ɕ i ɪ ʔ ³ ³ d͡ʑ i ɪ ʔ ⁴ ⁴
錫箔	ɕ i ɪ ʔ ³ ³ b o ʔ ⁴ ⁴
錯	t͡sʰ o ³ ⁴
錯	t͡sʰ o ʔ ⁵ ⁵
錯	t͡sʰ u ³ ⁴
錯別字	t͡sʰ o ⁵ ⁵ b i ɪ ʔ ³ ³ z z̩ ² ¹
錯別字	t͡sʰ u ⁵ ⁵ b i ɪ ʔ ³ ³ z z̩ ² ¹
錯字	t͡sʰ u ³ ³ z z̩ ⁴ ⁴
錯誤	t͡sʰ u ⁵ ⁵ ŋ u ² ¹
錳	m ã ² ³
錶	p i ɔ ³ ⁴
錶	p i ɔ ⁵ ³
鍀	t ə ʔ ⁵ ⁵
鍆	m ə n ² ³
鍊	l i ² ³
鍋	k u ⁵ ³
鍋子	k u ⁵ ⁵ t͡s z̩ ² ¹
鍋貼	k u ⁵ ⁵ tʰ i ɪ ʔ ² ¹
鍍	d u ² ³
鍘刀	z a ʔ ¹ ¹ t ɔ ² ³
鍛鍊	t ø ³ ³ l i ⁴ ⁴
鍤刀	t͡sʰ a ʔ ³ ³ t ɔ ⁴ ⁴
鍩	n o ʔ ¹ ²
鍵	d͡ʑ i ² ³
鍶	s z̩ ⁵ ³
鎄	e ⁵ ³
鎖	s u ³ ⁴
鎘	k a ʔ ⁵ ⁵
鎢	u ⁵ ³
鎧	kʰ e ³ ⁴
鎮	t͡s ə n ³ ⁴
鎮江	t͡s ə n ³ ³ k ɑ̃ ⁴ ⁴
鎮紙	t͡s ə n ³ ³ t͡s z̩ ⁴ ⁴
鎵	k a ⁵ ³
鎶	k u ⁵ ³
鏈	l i ² ³
鏈條	l i ² ² d i ɔ ⁴ ⁴
鏌	m o ʔ ¹ ²
鏑	t i ɪ ʔ ⁵ ⁵
鏖	ŋ ɔ ² ³
鏖糟	ɔ ⁵ ⁵ t͡s ɔ ² ¹
鏟	t͡sʰ e ³ ⁴
鏡	t͡ɕ i n ³ ⁴
鏡子	t͡ɕ i n ³ ³ t͡s z̩ ⁴ ⁴
鏷	b o ʔ ¹ ²
鏽	ɕ i ɤ ³ ⁴
鏾	ɕ i ⁵ ³
鏾雞	ɕ i ³ ⁴ t͡ɕ i ⁵ ³
鐋頭	tʰ ɑ̃ ³ ³ d ɤ ⁴ ⁴
鐒	l ɔ ² ³
鐘	t͡s o ŋ ⁵ ³
鐘頭	t͡s o ŋ ⁵ ⁵ d ɤ ² ¹
鐠	pʰ u ³ ⁴
鐦	kʰ e ⁵ ³
鐨	f i ³ ⁴
鐮	l i ² ³
鐮刀	l i ² ² t ɔ ⁴ ⁴
鐳	l e ² ³
鐵	tʰ i ɪ ʔ ⁵ ⁵
鐵公基	tʰ i ɪ ʔ ³ ³ k o ŋ ⁵ ⁵ t͡ɕ i ² ¹
鐵公雞	tʰ i ɪ ʔ ³ ³ k o ŋ ⁵ ⁵ t͡ɕ i ² ¹
鐵匠	tʰ i ɪ ʔ ³ ³ ʑ i ã ⁴ ⁴
鐵塔	tʰ i ɪ ʔ ³ ³ tʰ a ʔ ⁴ ⁴
鐵墩	tʰ i ɪ ʔ ³ ³ t ə n ⁴ ⁴
鐵店	tʰ i ɪ ʔ ³ ³ t i ⁴ ⁴
鐵抄	tʰ i ɪ ʔ ³ ³ t͡sʰ ɔ ⁴ ⁴
鐵板燒	tʰ i ɪ ʔ ³ ³ p e ⁵ ⁵ s ɔ ² ¹
鐵觀音	tʰ i ɪ ʔ ³ ³ k u ø ⁵ ⁵ i n ² ¹
鐵路	tʰ i ɪ ʔ ³ ³ l u ⁴ ⁴
鐵道	tʰ i ɪ ʔ ³ ³ d ɔ ⁴ ⁴
鐵鎝	tʰ i ɪ ʔ ³ ³ t a ʔ ⁴ ⁴
鐽	d a ʔ ¹ ²
鐿	i ³ ⁴
鑊	ɦ o ʔ ¹ ²
鑊子	ɦ o ʔ ¹ ¹ t͡s z̩ ² ³
鑊焦	ɦ o ʔ ¹ ¹ t͡ɕ i ɔ ² ³
鑒	k e ³ ⁴
鑒	t͡ɕ i e ³ ⁴
鑒	t͡ɕ i ³ ⁴
鑒定	t͡ɕ i ³ ³ d i n ⁴ ⁴
鑒定	t͡ɕ i ⁵ ⁵ d i n ² ¹
鑥	l u ² ³
鑪	l u ² ³
鑫	ɕ i n ⁵ ³
鑭	l e ² ³
鑰	ɦ i a ʔ ¹ ²
鑰匙	ɦ i a ʔ ¹ ¹ z z̩ ² ³
鑶	z ã ² ³
鑶	z ɑ̃ ² ³
鑷	n̠ʲ i ɪ ʔ ¹ ²
鑼	l u ² ³
鑼鼓	l u ² ² k u ⁴ ⁴
鑽	t͡s ø ³ ⁴
鑽	t͡s ø ⁵ ³
鑽戒	t͡s ø ³ ³ k a ⁴ ⁴
鑽戒	t͡s ø ⁵ ⁵ k a ² ¹
鑾	l ø ² ³
鑿	z o ʔ ¹ ²
鑿子	z o ʔ ¹ ¹ t͡s z̩ ² ³
鑿榫頭	z o ʔ ² ² s ə n ³ ³ d ɤ ⁴ ⁴
鑿頭	z o ʔ ¹ ¹ d ɤ ² ³
長	t͡s ã ³ ⁴
長	z ã ² ³
長三堂子	z ã ² ² s e ⁵ ⁵ d ɑ̃ ³ ³ t͡s z̩ ² ¹
長三書寓	z ã ² ² s e ⁵ ⁵ s z̩ ³ ³ ɦ y ² ¹
長人	z ã ² ² n̠ʲ i n ⁴ ⁴
長城	z ã ² ² z ə n ⁴ ⁴
長大	t͡s ã ⁴ ⁴ d u ² ³
長寣頭	z ã ² ² h u ə ʔ ⁵ ⁵ d ɤ ² ¹
長日班	z ã ² ² n̠ʲ i ɪ ʔ ⁵ ⁵ p e ² ¹
長春	z ã ² ² t͡sʰ ə n ⁴ ⁴
長期	z ɑ̃ ² ² d͡ʑ i ⁴ ⁴
長期飯票	z ã ² ² d͡ʑ i ⁵ ⁵ v e ³ ³ pʰ i ɔ ² ¹
長棍	z ã ² ² k u ə n ⁴ ⁴
長江	z ã ² ² k ɑ̃ ⁴ ⁴
長沙	z ã ² ² s o ⁴ ⁴
長生果	z ã ² ² s ə n ⁵ ⁵ k u ² ¹
長笛	z ã ² ² d i ɪ ʔ ⁴ ⁴
長統褲	z ã ² ² tʰ o ŋ ⁵ ⁵ kʰ u ² ¹
長腳雨	z ã ² ² t͡ɕ i a ʔ ⁵ ⁵ ɦ y ² ¹
長號	z ã ² ² ɦ ɔ ⁴ ⁴
長衫	z ã ² ² s e ⁴ ⁴
長袖	z ã ² ² ʑ i ɤ ⁴ ⁴
長褲	z ã ² ² kʰ u ⁴ ⁴
長豇豆	z ã ² ² k ɑ̃ ⁵ ⁵ d ɤ ² ¹
長遠	z ã ² ² ɦ y ø ⁴ ⁴
長遠勿見	z ã ² ² ɦ y ø ⁵ ⁵ v ə ʔ ³ ³ t͡ɕ i ² ¹
長遠日腳	z ã ² ² ɦ y ø ⁵ ⁵ n̠ʲ i ɪ ʔ ³ ³ t͡ɕ i a ʔ ² ¹
長髮	z ã ² ² f a ʔ ⁴ ⁴
長髮姑娘	z ã ² ² f a ʔ ³ ³ k u ⁵ ⁵ n̠ʲ i ã ² ¹
門	m ə n ² ³
門前	m ə n ² ² ʑ i ⁴ ⁴
門口	m ə n ² ² kʰ ɤ ⁴ ⁴
門戶	m ə n ² ² ɦ u ⁴ ⁴
門楣	m ə n ² ² m e ⁴ ⁴
門檻	m ə n ² ² kʰ e ⁴ ⁴
門牌	m ə n ² ² b a ⁴ ⁴
門牙	m ə n ² ² ŋ a ⁴ ⁴
門神	m ə n ² ² z ə n ⁴ ⁴
門腔	m ə n ² ² t͡ɕʰ i ã ⁴ ⁴
門面	m ə n ² ² m i ⁴ ⁴
門館	m ə n ² ² k u ø ⁴ ⁴
閂	s ø ⁵ ³
閃	s ø ³ ⁴
閃電	s ø ³ ³ d i ⁴ ⁴
閃電	s ø ⁴ ⁴ d i ² ³
閆	n̠ʲ i ² ³
閉	p i ³ ⁴
閉幕式	p i ³ ³ m o ʔ ⁵ ⁵ s ə ʔ ² ¹
閉幕式	p i ³ ³ m u ⁵ ⁵ s ə ʔ ² ¹
閉會	p i ³ ³ ɦ u e ⁴ ⁴
閉經	p i ³ ³ t͡ɕ i n ⁴ ⁴
閉館	p i ³ ³ k u ø ⁴ ⁴
開	kʰ e ⁵ ³
開價	kʰ e ⁴ ⁴ k a ³ ⁴
開價	kʰ e ⁵ ⁵ k a ² ¹
開刀	kʰ e ⁴ ⁴ t ɔ ⁵ ³
開刀	kʰ e ⁵ ⁵ t ɔ ² ¹
開初	kʰ e ⁴ ⁴ t͡sʰ u ⁵ ³
開初	kʰ e ⁵ ⁵ t͡sʰ u ² ¹
開口	kʰ e ⁵ ⁵ kʰ ɤ ² ¹
開司米	kʰ e ⁵ ⁵ s z̩ ³ ³ m i ² ¹
開國語	kʰ e ⁴ ⁴ k o ʔ ³ ³ n̠ʲ y ⁴ ⁴
開城	kʰ e ⁵ ⁵ z ə n ² ¹
開埠	kʰ e ⁴ ⁴ b u ² ³
開夜車	kʰ e ⁴ ⁴ ɦ i a ² ² t͡sʰ o ⁴ ⁴
開始	kʰ e ⁵ ⁵ s z̩ ² ¹
開學	kʰ e ⁴ ⁴ ɦ o ʔ ¹ ²
開學	kʰ e ⁵ ⁵ ɦ o ʔ ² ¹
開封	kʰ e ⁵ ⁵ f o ŋ ² ¹
開市	kʰ e ⁴ ⁴ z z̩ ² ³
開幕式	kʰ e ⁵ ⁵ m o ʔ ³ ³ s ə ʔ ² ¹
開幕式	kʰ e ⁵ ⁵ m u ³ ³ s ə ʔ ² ¹
開年	kʰ e ⁵ ⁵ n̠ʲ i ² ¹
開年子	kʰ e ⁵ ⁵ n̠ʲ i ³ ³ t͡s z̩ ² ¹
開店	kʰ e ⁴ ⁴ t i ³ ⁴
開店	kʰ e ⁵ ⁵ t i ² ¹
開後蓋	kʰ e ⁴ ⁴ ɦ ɤ ² ² k e ⁴ ⁴
開心	kʰ e ⁵ ⁵ ɕ i n ² ¹
開心果	kʰ e ⁵ ⁵ ɕ i n ³ ³ k u ² ¹
開採	kʰ e ⁵ ⁵ t͡sʰ e ² ¹
開春	kʰ e ⁴ ⁴ t͡sʰ ə n ⁵ ³
開春	kʰ e ⁵ ⁵ t͡sʰ ə n ² ¹
開晴	kʰ e ⁴ ⁴ d͡ʑ i n ² ³
開棚	kʰ e ⁴ ⁴ b ã ² ³
開水	kʰ e ⁴ ⁴ s z̩ ³ ⁴
開水	kʰ e ⁵ ⁵ s z̩ ² ¹
開洋	kʰ e ⁵ ⁵ ɦ i ã ² ¹
開烊	kʰ e ⁴ ⁴ ɦ i ã ² ³
開烊	kʰ e ⁵ ⁵ ɦ i ã ² ¹
開燈	kʰ e ⁵ ⁵ t ə n ² ¹
開玩笑	kʰ e ⁴ ⁴ ɦ u ø ² ² ɕ i ɔ ⁴ ⁴
開盤	kʰ e ⁴ ⁴ b ø ² ³
開秤	kʰ e ⁴ ⁴ t͡sʰ ə n ³ ⁴
開秤	kʰ e ⁵ ⁵ t͡sʰ ə n ² ¹
開羅	kʰ e ⁵ ⁵ l u ² ¹
開船	kʰ e ⁴ ⁴ z ø ² ³
開船	kʰ e ⁵ ⁵ z ø ² ¹
開襠褲	kʰ e ⁵ ⁵ t ɑ̃ ³ ³ kʰ u ² ¹
開許	kʰ e ⁵ ⁵ ɕ y ² ¹
開路	kʰ e ⁴ ⁴ l u ² ³
開車	kʰ e ⁴ ⁴ t͡sʰ o ⁵ ³
開車	kʰ e ⁵ ⁵ t͡sʰ o ² ¹
開銷	kʰ e ⁵ ⁵ ɕ i ɔ ² ¹
開鑿	kʰ e ⁵ ⁵ z o ʔ ² ¹
開門堂子	kʰ e ⁵ ⁵ m ə n ³ ³ d ɑ̃ ³ ³ t͡s z̩ ² ¹
開開	kʰ e ⁵ ⁵ kʰ e ² ¹
開關	kʰ e ⁵ ⁵ k u e ² ¹
開頭	kʰ e ⁴ ⁴ d ɤ ² ³
開頭	kʰ e ⁵ ⁵ d ɤ ² ¹
開頭辰光	kʰ e ⁵ ⁵ d ɤ ³ ³ z ə n ³ ³ kʰ u ɑ̃ ² ¹
開館	kʰ e ⁵ ⁵ k u ø ² ¹
開麥拉	kʰ e ⁵ ⁵ m a ʔ ³ ³ l a ² ¹
開點	kʰ e ⁴ ⁴ t i ³ ⁴
閏月	n̠ʲ i n ² ² ɦ i o ʔ ⁴ ⁴
閏月	n̠ʲ i n ² ² ɦ y ɪ ʔ ⁴ ⁴
閒	ɦ e ² ³
閒	ɦ i e ² ³
閒	ɦ i ² ³
閒常裡	ɦ e ² ² z ã ⁵ ⁵ l i ² ¹
閒時	ɦ e ² ² z z̩ ⁴ ⁴
閒話	ɦ e ² ² ɦ o ⁴ ⁴
閒話多過飯泡粥	ɦ e ² ² ɦ o ⁴ ⁴ t u ⁵ ⁵ k u ² ¹ v e ² ² pʰ ɔ ⁵ ⁵ t͡s o ʔ ² ¹
間	k e ⁵ ³
間	t͡ɕ i ³ ⁴
間	t͡ɕ i ⁵ ³
間接	k e ³ ³ t͡ɕ i ɪ ʔ ⁴ ⁴
閔	m i n ² ³
閔	m i n ³ ⁴
閔行	m i n ³ ³ ɦ ɑ̃ ⁴ ⁴
閘	z a ʔ ¹ ²
閘口	z a ʔ ¹ ¹ kʰ ɤ ² ³
閣	k o ʔ ⁵ ⁵
閣樓	k o ʔ ³ ³ l ɤ ⁴ ⁴
閥	v a ʔ ¹ ²
閩	m i n ² ³
閩	m i n ³ ⁴
閩侯	m i n ² ² ɦ ɤ ⁴ ⁴
閩南	m i n ² ² n ø ⁴ ⁴
閩南人	m i n ² ² n ø ⁵ ⁵ n̠ʲ i n ² ¹
閩南語	m i n ² ² n ø ⁵ ⁵ n̠ʲ y ² ¹
閩南閒話	m i n ² ² n ø ⁴ ⁴ ɦ e ² ² ɦ o ⁴ ⁴
閩南閒話	m i n ² ² n ø ⁵ ⁵ ɦ e ³ ³ ɦ o ² ¹
閩東	m i n ² ² t o ŋ ⁴ ⁴
閩東語	m i n ² ² t o ŋ ⁵ ⁵ n̠ʲ y ² ¹
閱	ɦ i o ʔ ¹ ²
閱	ɦ y ɪ ʔ ¹ ²
閹	i ⁵ ³
閻	n̠ʲ i ² ³
閻	ɦ i ² ³
閻王	n̠ʲ i ² ² ɦ u ɑ̃ ⁴ ⁴
閻王星	n̠ʲ i ² ² ɦ u ɑ̃ ⁵ ⁵ ɕ i n ² ¹
閻羅王	n̠ʲ i ² ² l u ⁵ ⁵ ɦ u ɑ̃ ² ¹
閽	h u ə n ⁵ ³
闊	kʰ u ə ʔ ⁵ ⁵
闑	n̠ʲ i ɪ ʔ ¹ ²
關	k u e ⁵ ³
關中	k u e ⁵ ⁵ t͡s o ŋ ² ¹
關係	k u e ⁵ ⁵ ɕ i ² ¹
關係	k u e ⁵ ⁵ ɦ i ² ¹
關帝	k u e ⁵ ⁵ t i ² ¹
關心	k u e ⁵ ⁵ ɕ i n ² ¹
關於	k u e ⁵ ⁵ ɦ y ² ¹
關照	k u e ⁵ ⁵ t͡s ɔ ² ¹
關節	k u e ⁵ ⁵ t͡ɕ i ɪ ʔ ² ¹
關脫	k u e ⁵ ⁵ tʰ ə ʔ ² ¹
關金券	k u e ⁵ ⁵ t͡ɕ i n ³ ³ t͡ɕʰ y ø ² ¹
闥	d a ʔ ¹ ²
阜	v ɤ ² ³
阜陽	v ɤ ² ² ɦ i ã ⁴ ⁴
阮	n̠ʲ y ø ² ³
防	b ɑ̃ ² ³
防	v ɑ̃ ² ³
防守	v ɑ̃ ² ² s ɤ ⁴ ⁴
防護	v ɑ̃ ² ² ɦ u ⁴ ⁴
防風鏡	b ɑ̃ ² ² f o ŋ ⁵ ⁵ t͡ɕ i n ² ¹
防風鏡	v ɑ̃ ² ² f o ŋ ⁵ ⁵ t͡ɕ i n ² ¹
阻	t͡s u ³ ⁴
阿	a ʔ ⁵ ⁵
阿	a ⁵ ³
阿	o ⁵ ³
阿	u ⁵ ³
阿三	a ʔ ³ ³ s e ⁴ ⁴
阿二	a ʔ ³ ³ n̠ʲ i ⁴ ⁴
阿保	a ʔ ³ ³ p ɔ ⁴ ⁴
阿公	a ʔ ³ ³ k o ŋ ⁴ ⁴
阿司匹林	a ⁵ ⁵ s z̩ ³ ³ pʰ i ɪ ʔ ³ ³ l i n ² ¹
阿哥	a ʔ ³ ³ k u ⁴ ⁴
阿塞拜疆	a ⁵ ⁵ s ə ʔ ³ ³ p a ³ ³ t͡ɕ i ã ² ¹
阿奶	a ʔ ³ ³ n a ⁴ ⁴
阿妹	a ʔ ³ ³ m e ⁴ ⁴
阿姐	a ʔ ³ ³ t͡ɕ i a ⁴ ⁴
阿姐	a ʔ ³ ³ t͡ɕ i ⁴ ⁴
阿姪	a ʔ ³ ³ z ə ʔ ⁴ ⁴
阿娘	a ʔ ³ ³ n̠ʲ i ã ⁴ ⁴
阿娘	a ⁵ ⁵ n̠ʲ i ã ² ¹
阿婆	a ʔ ³ ³ b u ⁴ ⁴
阿富汗	a ⁵ ⁵ f u ³ ³ ɦ ø ² ¹
阿弟	a ʔ ³ ³ d i ⁴ ⁴
阿彌陀佛	o ⁵ ⁵ m i ³ ³ d u ³ ³ v ə ʔ ² ¹
阿戇	a ʔ ³ ³ ɡ ɑ̃ ⁴ ⁴
阿拉	a ʔ ³ ³ l a ʔ ⁴ ⁴
阿拉	a ʔ ³ ³ l a ⁴ ⁴
阿拉伯	a ⁵ ⁵ l a ³ ³ p a ʔ ² ¹
阿拉加	a ʔ ³ ³ l a ⁵ ⁵ k a ² ¹
阿曾	a ʔ ³ ³ z ə n ⁴ ⁴
阿木林	a ʔ ³ ³ m o ʔ ⁵ ⁵ l i n ² ¹
阿末頭	a ʔ ³ ³ m ə ʔ ⁵ ⁵ d ɤ ² ¹
阿根廷	a ʔ ³ ³ k ə n ⁵ ⁵ d i n ² ¹
阿根廷	a ⁵ ⁵ k ə n ³ ³ d i n ² ¹
阿烏卵	a ʔ ³ ³ u ⁵ ⁵ l ø ² ¹
阿爸	a ʔ ⁴ ⁴ p a ⁵ ³
阿胡	a ⁵ ⁵ ɦ u ² ¹
阿膠	u ⁵ ⁵ k ɔ ² ¹
阿蘇兒	a ʔ ³ ³ s u ⁵ ⁵ ɦ ə l ² ¹
阿裡	ɦ a ² ² l i ⁴ ⁴
阿裡一個	ɦ a ² ² l i ³ ³ i ɪ ʔ ³ ³ ɡ ə ʔ ⁴ ⁴
阿裡一個	ɦ a ² ² l i ³ ³ i ɪ ʔ ³ ³ ɦ ə ʔ ⁴ ⁴
阿裡一個	ɦ a ² ² l i ⁵ ⁵ i ɪ ʔ ³ ³ ɡ ə ʔ ² ¹
阿裡一個	ɦ a ² ² l i ⁵ ⁵ i ɪ ʔ ³ ³ ɦ ə ʔ ² ¹
阿裡個	ɦ a ² ² l i ⁵ ⁵ ɡ ə ʔ ² ¹
阿裡個	ɦ a ² ² l i ⁵ ⁵ ɦ ə ʔ ² ¹
阿裡搭	ɦ a ² ² l i ⁵ ⁵ t a ʔ ² ¹
阿裡頭	ɦ a ² ² l i ⁵ ⁵ d ɤ ² ¹
阿要難為情	a ʔ ³ ³ i ɔ ⁴ ⁴ n e ² ² ɦ u e ⁵ ⁵ ʑ i n ² ¹
阿貓阿狗	a ʔ ³ ³ m ɔ ⁵ ⁵ a ʔ ³ ³ k ɤ ² ¹
阿鄉	a ʔ ³ ³ ɕ i ã ⁴ ⁴
阿飛	a ʔ ³ ³ f i ⁴ ⁴
陀	d u ² ³
附	v u ² ³
附近	v u ² ² d͡ʑ i n ⁴ ⁴
附錄	v u ² ² l o ʔ ⁴ ⁴
陌	m a ʔ ¹ ²
降	k ɑ̃ ³ ⁴
降	ɦ ɑ̃ ² ³
降臨	k ɑ̃ ³ ³ l i n ⁴ ⁴
限	ɦ e ² ³
限	ɦ i e ² ³
陛	b i ² ³
陝	s ø ³ ⁴
陝西	s ø ³ ³ ɕ i ⁴ ⁴
陝西閒話	s ø ³ ³ ɕ i ⁴ ⁴ ɦ e ² ² ɦ o ⁴ ⁴
陝西閒話	s ø ³ ³ ɕ i ⁵ ⁵ ɦ e ³ ³ ɦ o ² ¹
陞	s ə n ⁵ ³
陡	t ɤ ³ ⁴
院	ɦ y ø ² ³
陣頭雨	z ə n ² ² d ɤ ⁵ ⁵ ɦ y ² ¹
陣頭風	z ə n ² ² d ɤ ⁵ ⁵ f o ŋ ² ¹
除	z z̩ ² ³
除了	z z̩ ² ² l ə ʔ ⁴ ⁴
除夕	z z̩ ² ² ʑ i ɪ ʔ ⁴ ⁴
陪	b e ² ³
陰	i n ⁵ ³
陰勢天	i n ⁵ ⁵ s z̩ ³ ³ tʰ i ² ¹
陰天	i n ⁵ ⁵ tʰ i ² ¹
陰影	i n ⁵ ⁵ i n ² ¹
陰毛	i n ⁵ ⁵ m ɔ ² ¹
陰涼	i n ⁵ ⁵ l i ã ² ¹
陰涼天	i n ⁵ ⁵ l i ã ³ ³ tʰ i ² ¹
陰涼天氣	i n ⁵ ⁵ l i ã ³ ³ tʰ i ³ ³ t͡ɕʰ i ² ¹
陰涼頭	i n ⁵ ⁵ l i ã ³ ³ d ɤ ² ¹
陰溝	i n ⁵ ⁵ k ɤ ² ¹
陰溝洞	i n ⁵ ⁵ k ɤ ³ ³ d o ŋ ² ¹
陰溝洞	i ã ⁵ ⁵ k ɤ ³ ³ d o ŋ ² ¹
陰道	i n ⁵ ⁵ d ɔ ² ¹
陰陽	i n ⁵ ⁵ ɦ i ã ² ¹
陰雨	i n ⁵ ⁵ ɦ y ² ¹
陰頭裡	i n ⁵ ⁵ d ɤ ³ ³ l i ² ¹
陰鬱	i n ⁵ ⁵ i o ʔ ² ¹
陳	z ə n ² ³
陳年裡	z ə n ² ² n̠ʲ i ⁵ ⁵ l i ² ¹
陳皮	z ə n ² ² b i ⁴ ⁴
陳貨	z ə n ² ² h u ⁴ ⁴
陵	l i n ² ³
陶	d ɔ ² ³
陷	ɦ e ² ³
陷	ɦ i ² ³
陸	l o ʔ ¹ ²
陸家嘴	l o ʔ ¹ ¹ k a ² ² t͡s z̩ ² ³
陸續	l o ʔ ¹ ¹ z o ʔ ² ³
陸軍	l o ʔ ¹ ¹ t͡ɕ y n ² ³
陽	ɦ i ã ² ³
陽光	ɦ i ã ² ² k u ɑ̃ ⁴ ⁴
陽平	ɦ i ã ² ² b i n ⁴ ⁴
陽春天	ɦ i ã ² ² t͡sʰ ə n ⁵ ⁵ tʰ i ² ¹
陽春天氣	ɦ i ã ² ² t͡sʰ ə n ⁵ ⁵ tʰ i ³ ³ t͡ɕʰ i ² ¹
陽春麵	ɦ i ã ² ² t͡sʰ ə n ⁵ ⁵ m i ² ¹
隅	n̠ʲ y ² ³
隆	l o ŋ ² ³
隊	d e ² ³
隊伍	d e ² ² ɦ u ⁴ ⁴
隊長	d e ² ² t͡s ã ⁴ ⁴
隋	z ø ² ³
階	k a ⁵ ³
階	t͡ɕ i a ⁵ ³
隑	ɡ e ² ³
隑斯林	ɡ e ² ² s z̩ ⁵ ⁵ l i n ² ¹
隔	k a ʔ ⁵ ⁵
隔壁	k a ʔ ³ ³ p i ɪ ʔ ⁴ ⁴
隔壁鄰舍	k a ʔ ³ ³ p i ɪ ʔ ⁵ ⁵ l i n ³ ³ s o ² ¹
隔夜	k a ʔ ³ ³ ɦ i a ⁴ ⁴
隔奶	k a ʔ ⁴ ⁴ n a ² ³
隔離	k a ʔ ³ ³ l i ⁴ ⁴
隙	ɕ i ɪ ʔ ⁵ ⁵
際	t͡ɕ i ³ ⁴
障	t͡s ɑ̃ ³ ⁴
隧道	z ø ² ² d ɔ ⁴ ⁴
隨	z ø ² ³
隨便	z ø ² ² b i ⁴ ⁴
隨即	z ø ² ² t͡ɕ i ɪ ʔ ⁴ ⁴
隨外	z ø ² ² ŋ a ⁴ ⁴
隨州	z ø ² ² t͡s ɤ ⁴ ⁴
隨後	z ø ² ² ɦ ɤ ⁴ ⁴
隨手	z ø ² ² s ɤ ⁴ ⁴
隨時隨地	z ø ² ² z z̩ ⁵ ⁵ z ø ³ ³ d i ² ¹
險	ɕ i ³ ⁴
險介乎	ɕ i ³ ³ t͡ɕ i a ⁵ ⁵ ɦ u ² ¹
隱	i n ³ ⁴
隱形眼鏡	i n ³ ³ ɦ i n ⁵ ⁵ ŋ e ³ ³ t͡ɕ i n ² ¹
隱私	i n ³ ³ s z̩ ⁴ ⁴
隸	d i ² ³
隸書	d i ² ² s z̩ ⁴ ⁴
隻	t͡s a ʔ ⁵ ⁵
雀	t͡ɕ i a ʔ ⁵ ⁵
雀	t͡ɕʰ i a ʔ ⁵ ⁵
雁	i ³ ⁴
雁	ŋ e ² ³
雁鵝	ŋ e ² ² ŋ u ⁴ ⁴
雄	ɦ i o ŋ ² ³
雄牛	ɦ i o ŋ ² ² n̠ʲ i ɤ ⁴ ⁴
雄狗	ɦ i o ŋ ² ² k ɤ ⁴ ⁴
雄豬玀	ɦ i o ŋ ² ² t͡s z̩ ⁵ ⁵ l u ² ¹
雄貓	ɦ i o ŋ ² ² m ɔ ⁴ ⁴
雄雞	ɦ i o ŋ ² ² t͡ɕ i ⁴ ⁴
雄鴨	ɦ i o ŋ ² ² a ʔ ⁴ ⁴
雅	i a ³ ⁴
雅典	i a ³ ³ t i ⁴ ⁴
雅威	i a ³ ³ u e ⁴ ⁴
雅威	i a ⁵ ⁵ u e ² ¹
雅梨	i a ³ ³ l i ⁴ ⁴
集	ʑ i ɪ ʔ ¹ ²
集市	ʑ i ɪ ʔ ¹ ¹ z z̩ ² ³
集錦	ʑ i ɪ ʔ ¹ ¹ t͡ɕ i n ² ³
集體	ʑ i ɪ ʔ ¹ ¹ tʰ i ² ³
雌	t͡sʰ z̩ ⁵ ³
雌二醇	t͡sʰ z̩ ⁵ ⁵ ɦ ə l ³ ³ z ə n ² ¹
雌牛	t͡sʰ z̩ ⁵ ⁵ n̠ʲ i ɤ ² ¹
雌狗	t͡sʰ z̩ ⁵ ⁵ k ɤ ² ¹
雌貓	t͡sʰ z̩ ⁵ ⁵ m ɔ ² ¹
雌雞	t͡sʰ z̩ ⁵ ⁵ t͡ɕ i ² ¹
雌鴨	t͡sʰ z̩ ⁵ ⁵ a ʔ ² ¹
雍	i o ŋ ³ ⁴
雍	i o ŋ ⁵ ³
雕	t i ɔ ⁵ ³
雖	s ø ⁵ ³
雖則	s ø ⁵ ⁵ t͡s ə ʔ ² ¹
雖然	s ø ⁵ ⁵ z ø ² ¹
雙	s ɑ̃ ⁵ ³
雙人旁	s ɑ̃ ⁵ ⁵ n̠ʲ i n ³ ³ b ɑ̃ ² ¹
雙人旁	s ɑ̃ ⁵ ⁵ n̠ʲ i n ³ ³ p ɑ̃ ² ¹
雙季稻	s ɑ̃ ⁵ ⁵ t͡ɕ i ³ ³ d ɔ ² ¹
雙層車	s ɑ̃ ⁵ ⁵ z ə n ³ ³ t͡sʰ o ² ¹
雙檔	s ɑ̃ ⁵ ⁵ t ɑ̃ ² ¹
雙眼皮	s ɑ̃ ⁵ ⁵ ŋ e ³ ³ b i ² ¹
雙簧管	s ɑ̃ ⁵ ⁵ ɦ u ɑ̃ ³ ³ k u ø ² ¹
雙胞胎	s ɑ̃ ⁵ ⁵ p ɔ ³ ³ tʰ e ² ¹
雙虹	s ɑ̃ ⁵ ⁵ ɦ o ŋ ² ¹
