㐁	tʰ ʌ m H
阿荔散	ʔ ɑ
阿蘭若	ʔ ɑ
阿誰	ʔ ɑ
阿諂	ʔ ɑ
阿諛	ʔ ɑ
阿逸多	ʔ ɑ
阿闍梨	ʔ ɑ
阿難	ʔ ɑ
阿難陀	ʔ ɑ
阿馹	ʔ ɑ
阿駔	ʔ ɑ
阿驛	ʔ ɑ
阿魏	ʔ ɑ
阿鼻	ʔ ɑ
阿鼻地獄	ʔ ɑ
陀	d ɑ
陀羅尼	d ɑ
陂	pʰ u ɑ
陂	pˠ i ᴇ
陂	pˠ i ᴇ H
陂池	pˠ i ᴇ
陂陀	pʰ u ɑ
附	b ɨ o H
附庸	b ɨ o H
附會	b ɨ o H
附驥尾	b ɨ o H
陊	ɖˠ i ᴇ X
陋	l ə u H
陋儒	l ə u H
陌	mˠ æ k̚
降	kˠ ʌ ŋ H
降	ɦˠ ʌ ŋ
陎	d͡ʑ ɨ o
限	ɦˠ ɛ n X
陑	ȵ ɨ
陒	kˠ i u ᴇ X
陓	ʔ ɨ o
陔	k ʌ i
陖	s i u ɪ n H
陘	ɦ e ŋ
陙	d͡ʑ i u ɪ n
陚	p ɨ o H
陛	b e i X
陛下	b e i X
陝	ɕ i ᴇ m X
陞	ɕ ɨ ŋ
陟	ʈ ɨ k̚
陠	p u o
陡	t ə u X
院	ɦ u ɑ n
陣	ɖˠ i ɪ n H
除	ɖ ɨ ʌ
除	ɖ ɨ ʌ H
除去	ɖ ɨ ʌ
陪	b u ʌ i
陪臚	b u ʌ i
陫	b ʉ i X
陬	t͡s ɨ o
陭	ʔˠ i ᴇ
陮	d u ʌ i X
陯	l i u ɪ n
陰	ʔˠ i ɪ m
陰山	ʔˠ i ɪ m
陰間	ʔˠ i ɪ m
陰陽	ʔˠ i ɪ m
陰雨	ʔˠ i ɪ m
陰騭	ʔˠ i ɪ m
陲	d͡ʑ i u ᴇ
陳	ɖˠ i ɪ n
陴	b i ᴇ
陵	l ɨ ŋ
陵谷	l ɨ ŋ
陶	d ɑ u
陶	j i ᴇ u
陶冶	d ɑ u
陶陶	j i ᴇ u
陷	ɦˠ ɛ m H
陸	l ɨ u k̚
陸梁	l ɨ u k̚
陸離	l ɨ u k̚
陼	t͡ɕ ɨ ʌ X
陽	j ɨ ɐ ŋ
陽城	j ɨ ɐ ŋ
陽日	j ɨ ɐ ŋ
陽曜	j ɨ ɐ ŋ
陽烏	j ɨ ɐ ŋ
陽秋	j ɨ ɐ ŋ
陽輪	j ɨ ɐ ŋ
陽關	j ɨ ɐ ŋ
陾	n ə u X
陾	ȵ ɨ
隃	j ɨ o
隃	ɕ ɨ o H
隅	ŋ ɨ o
隆	l ɨ u ŋ
隆隆	l ɨ u ŋ
隇	ʔ ʉ i
隈	ʔ u ʌ i
隉	ŋ e t̚
隊	d u ʌ i H
隋	z i u ᴇ
隌	ʔˠ i ɪ m
隍	ɦ w ɑ ŋ
階	kˠ ɛ i
階級	kˠ ɛ i
隑	ŋ ʌ i
隒	ŋˠ i ᴇ m X
隓	h i u ᴇ
隔	kˠ ɛ k̚
隕	ɦˠ i u ɪ n X
隕首	ɦˠ i u ɪ n X
隗	ŋ u ʌ i X
隘	ʔˠ ɛ H
隙	kʰˠ i æ k̚
隚	d ɑ ŋ
際	t͡s i ᴇ i H
障	t͡ɕ ɨ ɐ ŋ
隤	d u ʌ i
隥	t ə ŋ H
隧	z i u ɪ H
隨	z i u ᴇ
隨和	z i u ᴇ
隨緣	z i u ᴇ
隩	ʔ ɑ u H
隩	ʔ ɨ u k̚
險	hˠ i ᴇ m X
險巇	hˠ i ᴇ m X
險阻	hˠ i ᴇ m X
隮	t͡s e i
隰	z i ɪ p̚
隱	ʔ ɨ n H
隱	ʔ ɨ n X
隱居	ʔ ɨ n X
隱忍	ʔ ɨ n X
隱逸	ʔ ɨ n X
隳	h i u ᴇ
隴	l ɨ o ŋ X
隴右	l ɨ o ŋ X
隵	hˠ i ᴇ
隸	l e i H
隹	t͡ɕ i u ɪ
隺	ɦ u o k̚
隻	t͡ɕ i ᴇ k̚
隼	s i u ɪ n X
隿	j ɨ k̚
雀	t͡s ɨ ɐ k̚
雁	ŋˠ a n H
雂	ɡˠ i ɪ m
雃	kʰ e n
雄	ɦ ɨ u ŋ
雄偉	ɦ ɨ u ŋ
雄壯	ɦ ɨ u ŋ
雄心	ɦ ɨ u ŋ
雅	ŋˠ a X
雅樂	ŋˠ a X
雅緻	ŋˠ a X
集	d͡z i ɪ p̚
集韻	d͡z i ɪ p̚
雇	ɦ u o X
雉	ɖˠ i ɪ X
雉堞	ɖˠ i ɪ X
雊	k ə u H
雋	d͡z i u ᴇ n X
雌	t͡sʰ i ᴇ
雌雄	t͡sʰ i ᴇ
雍	ʔ ɨ o ŋ
雍	ʔ ɨ o ŋ H
雍容	ʔ ɨ o ŋ
雍州	ʔ ɨ o ŋ H
雎	t͡sʰ ɨ ʌ
雎鳩	t͡sʰ ɨ ʌ
雐	h u o
雒	l ɑ k̚
雒邑	l ɑ k̚
雓	j ɨ ʌ
雔	d͡ʑ ɨ u
雕	t e u
雖	s i u ɪ
雖然	s i u ɪ
雗	ɦ ɑ n H
雘	ʔ w ɑ k̚
雙	ʃˠ ʌ ŋ
雙流	ʃˠ ʌ ŋ
雙鯉魚	ʃˠ ʌ ŋ
雚	k u ɑ n H
雛	d͡ʒ ɨ o
雜	d͡z ʌ p̚
雜沓	d͡z ʌ p̚
雜糅	d͡z ʌ p̚
雝	ʔ ɨ o ŋ
雞	k e i
雞林	k e i
雞肋	k e i
雞雛	k e i
雞鳴	k e i
雟	ɦ w e i
離	l e i H
離	l i ᴇ
離	l i ᴇ H
離別	l i ᴇ
離心	l i ᴇ
離心離德	l i ᴇ
離支	l i ᴇ H
離石	l i ᴇ
難	n ɑ n
難	n ɑ n H
難事	n ɑ n
難兄難弟	n ɑ n
難堪	n ɑ n
難色	n ɑ n
雨	ɦ ɨ o H
雨	ɦ ɨ o X
雨具	ɦ ɨ o X
雨夜	ɦ ɨ o X
雨水	ɦ ɨ o X
雨雪	ɦ ɨ o H
雩	h ɨ o
雩	ɦ ɨ o
雩婁	h ɨ o
雪	s i u ᴇ t̚
雭	ʃˠ i ɪ p̚
雯	m ɨ u n
雰	pʰ ɨ u n
雱	pʰ ɑ ŋ
雲	ɦ ɨ u n
雲南	ɦ ɨ u n
雲梯	ɦ ɨ u n
雲河	ɦ ɨ u n
雲津	ɦ ɨ u n
雲渚	ɦ ɨ u n
雲漢	ɦ ɨ u n
雲譎波詭	ɦ ɨ u n
雲集	ɦ ɨ u n
雲雨	ɦ ɨ u n
雴	ʈʰˠ i ɪ p̚
零	l e n
零	l e ŋ
零落	l e ŋ H
雷	l u ʌ i
雷厲風行	l u ʌ i
雷同	l u ʌ i
雷電	l u ʌ i
雷霆	l u ʌ i
雹	bˠ ʌ k̚
雺	m u ŋ
電	d e n H
電火	d e n H
電車	d e n H
需	s ɨ o
需要	s ɨ o
霂	m u k̚
霃	ɖˠ i ɪ m
霄	s i ᴇ u
霄漢	s i ᴇ u
霅	s ʌ p̚
霅	t͡ɕ i ᴇ p̚
霅	ɖˠ a p̚
霅	ɦˠ a p̚
霆	d e ŋ
震	t͡ɕ i ɪ n H
震動	t͡ɕ i ɪ n H
震懾	t͡ɕ i ɪ n H
震旦	t͡ɕ i ɪ n H
霈	pʰ ɑ i H
霍	h w ɑ k̚
霍閃	h w ɑ k̚
霍霍	h w ɑ k̚
霎	ʃˠ i ᴇ p̚
霏	pʰ ʉ i
霏微	pʰ ʉ i
霏霏	pʰ ʉ i
霑	ʈˠ i ᴇ m
霓	ŋ e i
霖	l i ɪ m
霖雨	l i ɪ m
霙	ʔ ɨ ɐ ŋ
霜	ʃ ɨ ɐ ŋ
霜葉	ʃ ɨ ɐ ŋ
霜露	ʃ ɨ ɐ ŋ
霜颸	ʃ ɨ ɐ ŋ
霝	l e ŋ
霞	ɦˠ a
霞莊	ɦˠ a
霢	mˠ ɛ k̚
霣	ɦˠ i u ɪ n X
霤	l ɨ u H
霦	pˠ i ɪ n
霧	m ɨ o H
霩	h w ɑ k̚
霪	j i ɪ m
霫	z i ɪ p̚
霰	s e n H
霱	j i u ɪ t̚
露	l u o H
露宿風餐	l u o H
霳	l ɨ u ŋ
霵	t͡ʃ i ɪ p̚
霶	pʰ ɑ ŋ
霸	pˠ a H
霸王	pˠ a H
霹	pʰ e k̚
霹靂	pʰ e k̚
霼	h ɨ i X
霽	t͡s e i H
霾	mˠ ɛ i
霿	m u ŋ
靂	l e k̚
靃	h w ɑ k̚
靃	s i u ᴇ X
靄	ʔ ɑ i H
靅	pʰ ʉ i H
靆	d ʌ i H
靈	l e ŋ
靈修	l e ŋ
靈景	l e ŋ
靈河	l e ŋ
靈津	l e ŋ
靈漢	l e ŋ
靈犀	l e ŋ
靉	ʔ ɨ i X
靉	ʔ ʌ i H
靉霼	ʔ ɨ i X
靉靆	ʔ ʌ i H
靐	b ɨ ŋ H
靐靐	b ɨ ŋ H
青	t͡sʰ e ŋ
青丘	t͡sʰ e ŋ
青史	t͡sʰ e ŋ
青天	t͡sʰ e ŋ
青梅竹馬	t͡sʰ e ŋ
青海	t͡sʰ e ŋ
青皮木	t͡sʰ e ŋ
青盲	t͡sʰ e ŋ
青睞	t͡sʰ e ŋ
青草	t͡sʰ e ŋ
青蓮	t͡sʰ e ŋ
青青	t͡sʰ e ŋ
青黃不接	t͡sʰ e ŋ
靖	d͡z i ᴇ ŋ X
靗	ʈʰ i ᴇ ŋ H
靘	t͡sʰ e ŋ
靘	t͡sʰ e ŋ H
靘䒌	t͡sʰ e ŋ H
靚	d͡z i ᴇ ŋ H
靜	d͡z i ᴇ ŋ X
靜息	d͡z i ᴇ ŋ X
非	p ʉ i
非常	p ʉ i
非非	p ʉ i
靠	kʰ ɑ u H
靡	mˠ i ᴇ X
靡曼	mˠ i ᴇ X
靡靡	mˠ i ᴇ X
面	m i ᴇ n H
面壁	m i ᴇ n H
面談	m i ᴇ n H
靧	h u ʌ i H
靨	ʔ i ᴇ p̚
革	kˠ ɛ k̚
革命	kˠ ɛ k̚
革履	kˠ ɛ k̚
革變	kˠ ɛ k̚
靪	t e ŋ
靬	k ɨ ɐ n
靬	kʰ ɑ n
靬	kˠ ɛ n
靮	t e k̚
靯	d u o X
靲	ɡˠ i ɪ m
靳	k ɨ n H
靴	h ɨ u ɑ
靶	pˠ a H
靷	j i ɪ n X
靸	s ʌ p̚
靺	m u ɑ t̚
靺鞨	m u ɑ t̚
靻	t͡s u o X
靼	t ɑ t̚
靽	p u ɑ n H
靾	j i ᴇ i H
靿	ʔˠ a u H
鞀	d ɑ u
鞁	bˠ i ᴇ H
鞂	kˠ ɛ t̚
鞃	ɦ w ə ŋ
鞄	bˠ a u
鞅	ʔ ɨ ɐ ŋ X
鞇	ʔ i ɪ n
鞈	k ʌ p̚
鞋	ɦˠ ɛ
鞎	ɦ ə n
鞏	k ɨ o ŋ X
鞓	tʰ e ŋ
鞔	m u ɑ n
鞗	d e u
鞘	s i ᴇ u H
鞘	ʃˠ a u
鞙	k w e n
鞚	kʰ u ŋ H
鞜	tʰ ʌ p̚
鞞	b e i
鞞	p i ᴇ
鞞	pˠ i ᴇ X
鞞琫	p e ŋ X
鞠	k ɨ u k̚
鞠躬	k ɨ u k̚
鞢	s e p̚
鞣	ȵ ɨ u
鞥	ʔ ʌ p̚
鞦	t͡sʰ ɨ u
鞧	t͡sʰ ɨ u
鞨	ɦ ɑ t̚
鞨	ʑ i ᴇ t̚
鞪	m u k̚
鞪	m ɨ u
鞫	k ɨ u k̚
鞬	k ɨ ɐ n
鞭	p i ᴇ n
鞭笞	p i ᴇ n
鞮	t e i
鞳	tʰ ɑ p̚
鞴	b u o H
鞴	b ɨ u k̚
鞴	bˠ i ɪ H
鞶	b u ɑ n
鞹	kʰ w ɑ k̚
鞻	l ə u
鞽	kʰˠ i ᴇ u
鞿	k ɨ i
韁	k ɨ ɐ ŋ
韂	t͡ɕʰ i ᴇ m H
韄	ɦ u o H
韅	h e n X
韆	t͡sʰ i ᴇ n
韇	d u k̚
韈	m ʉ ɐ t̚
韉	t͡s e n
韋	ɦ ʉ i
韌	ȵ i ɪ n H
韍	bˠ i ɪ H
韎	mˠ ɛ i H
韏	kˠ i u ᴇ n X
韐	k ʌ p̚
韓	ɦ ɑ n
韔	ʈʰ ɨ ɐ ŋ H
韖	ȵ ɨ u X
韗	ɦ ɨ u n H
韘	ɕ i ᴇ p̚
韙	ɦ ʉ i X
韜	tʰ ɑ u
韞	ʔ u ə n
韞	ʔ ɨ u n X
韠	p i ɪ t̚
韡	ɦ ʉ i X
韢	t͡sʰ i u ᴇ i H
韣	d u k̚
韭	k ɨ u X
韰	ɦˠ ɛ i H
韱	s i ᴇ m
音	ʔˠ i ɪ m
音樂	ʔˠ i ɪ m
音聲	ʔˠ i ɪ m
韴	d͡z ʌ p̚
韶	d͡ʑ i ᴇ u
韸	b u ŋ
韹	ɦ w ɑ ŋ
韺	ʔˠ i æ ŋ
韻	ɦ ɨ u n H
韽	ʔ ʌ m
韾	ʔ i ɪ m
響	h ɨ ɐ ŋ X
響應	h ɨ ɐ ŋ X
頀	ɦ u o H
頁	ɦ e t̚
頂	t e ŋ X
頃	kʰ w i ᴇ ŋ
頃	kʰ w i ᴇ ŋ X
頃之	kʰ w i ᴇ ŋ X
頃刻	kʰ w i ᴇ ŋ X
頄	ɡˠ i u ɪ
項	ɦˠ ʌ ŋ X
順	ʑ i u ɪ n H
順心	ʑ i u ɪ n H
頇	h ɑ n
頇	ŋ ɑ n H
須	s ɨ o
須彌	s ɨ o
須彌山	s ɨ o
須慮	s ɨ o
須臾	s ɨ o
須菩提	s ɨ o
頊	ŋ ɨ o k̚
頌	j ɨ o ŋ
頌	z ɨ o ŋ H
頍	kʰˠ i u ᴇ X
頎	ɡ ɨ i
頏	ɦ ɑ ŋ
預	j ɨ ʌ H
預備	j ɨ ʌ H
頑	ŋˠ u a n
頒	b ɨ u n
頒	pˠ a n
頓	t u ə n H
頔	d e k̚
頕	t ɑ m
頖	pʰ u ɑ n H
頗	pʰ u ɑ
領	l i ᴇ ŋ X
領會	l i ᴇ ŋ X
頛	l u ʌ i X
頜	ɦ ʌ m X
頝	kʰˠ a u
頞	ʔ ɑ t̚
頟	ŋˠ æ k̚
頠	ŋ i u ᴇ X
頡	kˠ ɛ t̚
頡	ɦ e t̚
頡頏	ɦ e t̚
頢	k u ɑ t̚
頤	j ɨ
頦	ɦ ʌ i
頨	h i u ᴇ n
頩	pʰ e ŋ
頪	l u ɑ i H
頫	p ɨ o X
頫	tʰ e u H
頭	d ə u
頭前	d ə u
頭籌	d ə u
頭腦	d ə u
頭陀	d ə u
頭顱	d ə u
頭髮	d ə u
頮	h u ʌ i H
頰	k e p̚
頲	tʰ e ŋ X
頶	ɦ u o k̚
頷	ɦ ʌ m
頸	ɡ i ᴇ ŋ
頸項	ɡ i ᴇ ŋ
頹	d u ʌ i
頹唐	d u ʌ i
頻	b i ɪ n
頻婆	b i ɪ n
顀	ɖˠ i u ɪ
顁	t e ŋ H
顄	ɦ ʌ m
顄淡	ɦ ʌ m X
顅	kʰˠ ɛ n
顆	kʰ u ɑ X
顉	kʰˠ i ɪ m
題	d e i
題	d e i H
題目	d e i
額	ŋˠ æ k̚
顎	ŋ ɑ k̚
顏	ŋˠ a n
顏色	ŋˠ a n
顏面	ŋˠ a n
顐	ɦ u ə n
顑	kʰ ʌ m X
顒	ŋ ɨ o ŋ
顓	t͡ɕ i u ᴇ n
顓臾	t͡ɕ i u ᴇ n
顓頊	t͡ɕ i u ᴇ n
顖	s i ɪ n H
顗	ŋ ɨ i X
願	ŋ ʉ ɐ n H
顙	s ɑ ŋ X
顛	t e n
顛倒	t e n
顛末	t e n
顛沛	t e n
顝	kʰ u ʌ i
類	l i u ɪ H
顟	lˠ a u
顠	b i ᴇ u X
顡	ŋ u ʌ i X
顢	m u ɑ n
顤	ŋ e u
顥	ɦ ɑ u X
顧	k u o H
顩	ɖˠ i ɪ m X
顪	h ʉ ɐ i H
顫	t͡ɕ i ᴇ n H
顬	ȵ ɨ o
顮	p i ɪ n
顯	h e n X
顰	b i ɪ n
顰蹙	b i ɪ n
顱	l u o
顲	l i ɪ m X
顳	ȵ i ᴇ p̚
顳顬	ȵ i ᴇ p̚
顴	ɡˠ i u ᴇ n
風	p ɨ u ŋ
風	p ɨ u ŋ H
風光	p ɨ u ŋ
風化	p ɨ u ŋ
風塵	p ɨ u ŋ
風情	p ɨ u ŋ
風景	p ɨ u ŋ
風水	p ɨ u ŋ
風波	p ɨ u ŋ
風流	p ɨ u ŋ
風浪	p ɨ u ŋ
風邪	p ɨ u ŋ
風雨	p ɨ u ŋ
風雪	p ɨ u ŋ
風雲際會	p ɨ u ŋ
颬	hˠ a
颭	t͡ɕ i ᴇ m X
颮	bˠ a u
颮	pʰˠ ʌ k̚
颮颮	pʰˠ ʌ k̚
颯	s ʌ p̚
颯爽	s ʌ p̚
颯秣建	s ʌ p̚
颯颯	s ʌ p̚
颰	p ʉ ɐ t̚
颲	l i ᴇ t̚
颵	ʃˠ a u
颸	t͡ʃʰ ɨ
颺	j ɨ ɐ ŋ
颻	j i ᴇ u
颽	kʰ ʌ i X
颾	s ɑ u
颿	b ɨ ɐ m
飀	l ɨ u
飁	z i ɪ p̚
飂	l ɨ u
飄	b i ᴇ u
飄搖	pʰ i ᴇ u
飉	l e u
飋	ʃ ɪ t̚
飍	h i ɪ u
飛	p ʉ i
飛廉	p ʉ i
飛翔	p ʉ i
飛輪	p ʉ i
飛鳥	p ʉ i
飛鼠	p ʉ i
飛龍	p ʉ i
食	j ɨ H
食	ʑ ɨ k̚
食口	ʑ ɨ k̚
食指	ʑ ɨ k̚
食物	ʑ ɨ k̚
食言	ʑ ɨ k̚
飢	k i ɪ
飢寒	k i ɪ
飢渴	k i ɪ
飢餒	k i ɪ
飢餓	k i ɪ
飣	t e ŋ H
飣餖	t e ŋ H
飥	tʰ ɑ k̚
飧	s u ə n
飩	d u ə n
飪	ȵ i ɪ m X
飫	ʔ ɨ ʌ H
飬	kˠ i u ᴇ n H
飭	ʈʰ ɨ k̚
飯	b ʉ ɐ n H
飯	b ʉ ɐ n X
飲	ʔˠ i ɪ m H
飲	ʔˠ i ɪ m X
飲酒	ʔˠ i ɪ m X
飲馬	ʔˠ i ɪ m H
飳	tʰ ə u X
飴	j ɨ
飵	d͡z u o H
飶	b i ɪ t̚
飷	t͡s i a X
飺	d͡z i ᴇ
飻	tʰ e t̚
飼	z ɨ H
飽	pˠ a u X
飾	ɕ ɨ k̚
餀	h ɑ i H
餄	kˠ ɛ p̚
餅	p i ᴇ ŋ X
餆	j i ᴇ u
餈	d͡z i ɪ
餉	ɕ ɨ ɐ ŋ H
養	j ɨ ɐ ŋ H
養	j ɨ ɐ ŋ X
養子	j ɨ ɐ ŋ X
養生	j ɨ ɐ ŋ X
養育	j ɨ ɐ ŋ X
餌	ȵ ɨ H
餐	t͡sʰ ɑ n
餑	b u ə t̚
餒	n u ʌ i X
餓	ŋ ɑ H
餓鬼	ŋ ɑ H
餔	p u o
餔時	p u o
餕	t͡s i u ɪ n H
餖	d ə u H
餗	s u k̚
餘	j ɨ ʌ
餘暇	j ɨ ʌ
餘杭	j ɨ ʌ
餘糧	j ɨ ʌ
餚	ɦˠ a u
餛	ɦ u ə n
餛飩	ɦ u ə n
餞	d͡z i ᴇ n X
餞別	d͡z i ᴇ n X
餟	ʈˠ i u ᴇ i H
餣	ʔ ɨ ɐ p̚
餤	d ɑ m
餥	p ʉ i
餦	ʈ ɨ ɐ ŋ
餦餭	ʈ ɨ ɐ ŋ
館	k u ɑ n H
餩	ʔ ə k̚
餪	n u ɑ n X
餫	ɦ ɨ u n H
餭	ɦ w ɑ ŋ
餮	tʰ e t̚
餯	h ʉ ɐ i H
餰	t͡ɕ i ᴇ n
餱	ɦ ə u
餲	ɦ ɑ t̚
餲	ʔˠ i ᴇ i H
餴	p ɨ u n
餺	p w ɑ k̚
餺飥	p w ɑ k̚
餼	h ɨ i H
餽	ɡˠ i u ɪ H
餾	l ɨ u
餾	l ɨ u H
饁	ɦˠ i ᴇ p̚
饃	m u ɑ
饅	m u ɑ n
饅頭	m u ɑ n
饆	p i ɪ t̚
饆饠	p i ɪ t̚
饇	ʔ ɨ o H
饉	ɡˠ i ɪ n H
饊	s ɑ n X
饋	ɡˠ i u ɪ H
饌	d͡ʒˠ i u ᴇ n H
饌	d͡ʒˠ u a n X
饎	t͡ɕʰ ɨ H
饐	ʔˠ i ɪ H
饑	k ɨ i
饑荒	k ɨ i
饑饉薦臻	k ɨ i
饒	ȵ i ᴇ u
饒舌	ȵ i ᴇ u
饔	ʔ ɨ o ŋ
饕	tʰ ɑ u
饕餮	tʰ ɑ u
饖	ʔ ʉ ɐ i H
饗	h ɨ ɐ ŋ X
饘	t͡ɕ i ᴇ n
饙	p ɨ u n
饛	m u ŋ
饜	ʔ i ᴇ m
饞	d͡ʒˠ ɛ m
饟	ɕ ɨ ɐ ŋ
饟	ɕ ɨ ɐ ŋ X
饠	l ɑ
饡	t͡s ɑ n H
首	ɕ ɨ u H
首	ɕ ɨ u X
首施	ɕ ɨ u X
首陀羅	ɕ ɨ u H
首鼠	ɕ ɨ u X
首鼠兩端	ɕ ɨ u H
馗	ɡ ɨ u
馗	ɡˠ i u ɪ
馘	kˠ w ɛ k̚
香	h ɨ ɐ ŋ
香爐	h ɨ ɐ ŋ
馚	b ɨ u n
馛	b u ɑ t̚
馝	b i ɪ t̚
馝馞	b i ɪ t̚
馞	b u ə t̚
馠	h ʌ m
馡	p ʉ i
馣	ʔ ʌ m
馤	ʔ ɑ i H
馥	b ɨ k̚
馥	b ɨ u k̚
馥郁	b ɨ u k̚
馦	h e m
馧	ʔ ɨ u n
馨	h e ŋ
馩	b ɨ u n
馬	mˠ a X
馬腳	mˠ a X
馬路	mˠ a X
馬蹄	mˠ a X
馬車	mˠ a X
馬郎婦	mˠ a X
馬韓	mˠ a X
馬頭	mˠ a X
馬首是瞻	mˠ a X
馭	ŋ ɨ ʌ H
馮	b ɨ u ŋ
馮	b ɨ ŋ
馯	kʰˠ a n
馰	t e k̚
馱	d ɑ
馱	d ɑ H
馲	l ɑ k̚
馳	ɖˠ i ᴇ
馴	z i u ɪ n
馵	t͡ɕ ɨ o H
馶	t͡ɕ i ᴇ
馹	ȵ i ɪ t̚
馺	s ʌ p̚
馻	j i u ɪ n X
馼	m ɨ u n
馾	t ʌ m H
駁	pˠ ʌ k̚
駂	p ɑ u X
駃	k w e t̚
駃	kʰˠ u a i H
駃騠	k w e t̚
駉	k w e ŋ
駊	p u ɑ X
駊騀	p u ɑ X
駎	ɖ ɨ u H
駏	ɡ ɨ ʌ X
駐	ʈ ɨ o H
駐蹕	ʈ ɨ o H
駑	n u o
駑馬	n u o
駑駘	n u o
駒	k ɨ o
駓	pʰˠ i ɪ
駔	d͡z u o X
駕	kˠ a H
駖	l e ŋ
駗	l i ɪ n
駘	d ʌ i
駘	d ʌ i X
駘背	d ʌ i
駘蕩	d ʌ i X
駙	b ɨ o H
駚	ʔ ɨ ɐ ŋ X
駛	ʃ ɨ X
駜	b i ɪ t̚
駝	d ɑ
駟	s i ɪ H
駢	b e n
駣	d ɑ u
駤	ʈˠ i ɪ H
駥	ȵ ɨ u ŋ
駧	d u ŋ H
駩	t͡sʰ i u ᴇ n
駪	ʃ ɪ n
駫	k w e ŋ
駬	ȵ ɨ X
駭	ɦˠ ɛ i X
駮	pˠ ʌ k̚
駰	ʔ i ɪ n
駱	l ɑ k̚
駱越	l ɑ k̚
駱駝	l ɑ k̚
駴	ɦˠ ɛ i X
駶	ɡ ɨ o k̚
駷	s ɨ o ŋ X
駸	t͡sʰ i ɪ m
駹	mˠ ʌ ŋ
駺	l ɑ ŋ
駻	ɦ ɑ n H
駼	d u o
駽	h w e n
駾	tʰ u ɑ i H
駿	t͡s i u ɪ n H
騀	ŋ ɑ X
騁	ʈʰ i ᴇ ŋ X
騂	s w i ᴇ ŋ
騃	ŋˠ ɛ i X
騃	ʒ ɨ X
騄	l ɨ o k̚
騄駬	l ɨ o k̚
騅	t͡ɕ i u ɪ
騇	ɕ i a X
騉	k u ə n
騊	d ɑ u
騊駼	d ɑ u
騋	l ʌ i
騎	ɡˠ i ᴇ
騎	ɡˠ i ᴇ H
騏	ɡ ɨ
騏驎	ɡ ɨ
騏驥	ɡ ɨ
騑	pʰ ʉ i
騕	ʔ e u X
騖	m ɨ o H
騘	t͡sʰ u ŋ
騙	pʰ i ᴇ n H
騚	d͡z e n
騛	p ʉ i
騜	ɦ w ɑ ŋ
騝	k ɨ ɐ n
騟	j ɨ o
騠	d e i
騢	ɦˠ a
騣	t͡s u ŋ
騤	k w e t̚
騤	ɡˠ i u ɪ
騤騤	ɡˠ i u ɪ
騤𩧉	k w e t̚
騥	ȵ ɨ u
騧	kˠ u ɛ
騩	kˠ i u ɪ
騫	kʰˠ i ᴇ n
騬	ʑ ɨ ŋ
騭	t͡ɕ i ɪ t̚
騮	l ɨ u
騯	b ɑ ŋ
騰	d ə ŋ
騱	ɦ e i
騲	t͡sʰ ɑ u X
騴	ʔˠ a n H
騶	t͡ʃ ɨ u
騶虞	t͡ʃ ɨ u
騷	s ɑ u
騺	ʈˠ i ɪ H
騻	ʃ ɨ ɐ ŋ
騽	z i ɪ p̚
騾	l u ɑ
驀	mˠ æ k̚
驁	ŋ ɑ u
驂	t͡sʰ ʌ m
驃	b i ᴇ u H
驃騎	b i ᴇ u H
驅	kʰ ɨ o
驅動	kʰ ɨ o
驈	ʑ i u ɪ t̚
驉	h ɨ ʌ
驊	ɦˠ u a
驊騮	ɦˠ u a
驌	s ɨ u k̚
驌驦	s ɨ u k̚
驍	k e u
驎	l i ɪ n
驐	t u ə n
驒	d ɑ
驒	t e n
驒騱	t e n
驓	d͡z ɨ ŋ
驔	d e m X
驕	kˠ i ᴇ u
驕傲	kˠ i ᴇ u
驕子	kˠ i ᴇ u
驖	d e t̚
驗	ŋˠ i ᴇ m H
驙	d ɑ n
驚	kˠ i æ ŋ
驚惶	kˠ i æ ŋ
驚愕	kˠ i æ ŋ
驚疑	kˠ i æ ŋ
驚蟄	kˠ i æ ŋ
驛	j i ᴇ k̚
驜	ŋ ɨ ɐ p̚
驟	d͡ʒ ɨ u H
驠	ʔ e n
驡	l ɨ o ŋ
驡	t͡s ɑ ŋ X
驢	l ɨ ʌ
驤	s ɨ ɐ ŋ
驥	kˠ i ɪ H
驦	ʃ ɨ ɐ ŋ
驧	ɡ ɨ u k̚
驨	ɦ w e i
驩	h u ɑ n
驪	l i ᴇ
驪山	l i ᴇ
驫	p i ᴇ u
骨	k u ə t̚
骨力	k u ə t̚
骨朵	k u ə t̚
骨肉	k u ə t̚
骨雷	k u ə t̚
骨髓	k u ə t̚
骫	ʔˠ i u ᴇ X
骬	ɦ ɨ o
骭	k ɑ n H
骯	ɦ ɑ ŋ X
骯髒	ɦ ɑ ŋ X
骰	d ə u
骱	ɦ ɑ t̚
骲	bˠ a u X
骳	mˠ i ᴇ X
骴	d͡z i ᴇ
骶	t e i H
骸	ɦˠ ɛ i
骹	kʰˠ a u
骺	ɦ ə u
骻	kʰˠ u a X
骼	kˠ æ k̚
骿	b e n
髀	pˠ i ᴇ X
髁	kʰ u ɑ
髂	kʰˠ a H
髃	ŋ ɨ o
髆	p w ɑ k̚
髇	hˠ a u
髉	pˠ ʌ k̚
髊	d͡z i ᴇ H
髎	l e u
髏	l ə u
髑	d u k̚
髑髏	d u k̚
髒	t͡s ɑ ŋ X
髓	s i u ᴇ X
體	tʰ e i X
髕	b i ɪ n X
