ং	ŋ
সাম্যবাদ	ʃ a mː ɔ b a d̪
সাম্রাজ্য	ʃ a m ɾ a d ʒː o
সায়ন	ʃ ɑ e̯ ɔ n
সায়ন্তন	ʃ ɑ e̯ ɔ n t̪ ɔ n
সায়া	ʃ a e̯ a
সার	s a ɾ
সার	ʃ a ɾ
সারা	ʃ a ɾ a
সারি	ʃ a ɾ i
সার্জারি	ʃ a ɾ d ʒ a ɾ i
সাল	ʃ a l
সালতানাত	s a l t̪ a n a t̪
সালমান	s a l m a n
সালাত	s a l a t̪
সালাদ	s a l a d̪
সালাম	s a l a m
সালোকসংশ্লেষ	ʃ a l o k ʃ ɔ ŋ s l e ʃ
সালোকসংশ্লেষণ	ʃ a l o k ʃ ɔ ŋ s l e ʃ o n
সাহস	ʃ a ɦ o ʃ
সাহা	ʃ a ɦ a
সাহায্য	ʃ a ɦ a d ʒː o
সাহিত্য	ʃ a ɦ i t̪ː o
সাহেব	ʃ a ɦ e b
সিঁথি	ʃ ĩ t̪ʰ i
সিংহ	ʃ i ŋ ɦ o
সিংহাসন	ʃ i ŋ ɦ a ʃ o n
সিএনজি	s i̯ e n d ʒ i
সিকান্দর	ʃ i k a n d̪ ɔ ɾ
সিগারেট	ʃ i ɡ a ɾ e ʈ
সিঙ্গাপুর	ʃ i ŋ ɡ a p u ɾ
সিডি	ʃ i ɖ i
সিদ্ধ	ʃ i d̪ʱː o
সিদ্ধান্ত	ʃ i d̪ʱː a n t̪ o
সিধা	ʃ i d̪ʱ a
সিন্দুক	ʃ i n d̪ u k
সিন্ধু	ʃ i n d̪ʱ u
সিন্ধুঘোটক	ʃ i n d̪ʱ u ɡʱ o ʈ ɔ k
সিয়াম	s i̯ a m
সিয়োনবাদ	s i j o n b a d̪
সির্কা	s i ɹ k a
সিলেট	s i l e ʈ
সিলেট	ʃ i l e ʈ
সিলেটি	s i l e ʈ i
সীতা	ʃ i t̪ a
সীমা	ʃ i m a
সুইজারল্যান্ড	s u̯ i z a ɾ l æ n ɖ
সুকুমার	ʃ u k u m ɑ ɾ
সুখ	ʃ u kʰ
সুগার	ʃ u ɡ a ɾ
সুজাতা	ʃ u d͡ʒ ɑ t̪ ɑ
সুজি	ʃ u d ʒ i
সুজিত	ʃ u d͡ʒ i t̪
সুড়ঙ্গ	ʃ u ɽ ɔ ŋ ɡ o
সুড়ঙ্গ	ʃ u ɾ ɔ ŋ ɡ o
সুদ	ʃ u d̪
সুনামি	ʃ u n a m i
সুনিধি	ʃ u n i d̪ʱ i
সুন্দর	ʃ u n d̪ ɔ ɾ
সুন্দরবন	ʃ u n d̪ o ɾ b o n
সুন্দরী	ʃ u n d̪ ɔ ɾ i
সুপারিশ	ʃ u p a ɾ i ʃ
সুপ্রভাত	ʃ u p ɾ o bʱ a t̪
সুবর্ণ	ʃ u b ɔ ɾ n o
সুবর্ণা	ʃ u b ɔ ɾ n a
সুবহানাল্লাহ	ʃ u b ɦ a n a lː a
সুবহানাল্লাহ	ʃ u bʱ a n a lː a
সুব্রত	ʃ u b ɾ ɔ t̪ ɔ
সুভদ্রক	ʃ u bʱ ɔ dː ɾ ɔ k
সুমন	ʃ u m o n
সুমন	ʃ u m ɔ n
সুমাত্রা	ʃ u m a t r a
সুরক্ষিত	ʃ u ɾ ɔ kʰː i t̪ o
সুরত	s u ɾ ɔ t̪
সুরিনাম	ʃ u ɾ i n a m
সুলতান	s u l t̪ a n
সুলতানা	s u l t̪ a n a
সুস্থ	ʃ u s t̪ʰ o
সুস্বাদু	ʃ u ʃː a d̪ u
সূচী	ʃ u t ʃ i
সূরা	s u ɾ a
সূরা	ʃ u ɾ a
সূর্য	ʃ u ɾ d ʒ o
সৃষ্টি	s ɾ i ʃ ʈ i
সে	ʃ e
সেঁউতি	ʃ ẽ u t̪ i
সেই	ʃ e i
সেকেন্ড	s e k e n ɖ
সেখান	ʃ e kʰ a n
সেখানকার	ʃ e kʰ a n k a ɾ
সেন	s e n
সেনগুপ্ত	ʃ e n ɡ u p t̪ o
সেপ্টেম্বর	s e p ʈ e m b ɔ ɾ
সেবা	ʃ e b a
সেলাম	s e l a m
সেলুন	s e l u n
সেহেতু	s e ɦ e t̪ u
সৈয়দ	s o e o d̪
সোজা	ʃ o d ʒ a
সোনা	ʃ o n a
সোনারগাঁও	ʃ ɔ n a ɾ ɡ ã o
সোভিয়েত	ʃ o bʱ i̯ e t̪
সোমবার	ʃ o m b a ɾ
সোয়াদ	s o̯ a d̪
সোয়াদ	ʃ o̯ a d̪
সোয়ামি	ʃ o̯ a m i
সোহম	s̠ o ɦ o m
সোহম	ʃ o ɦ ɔ m
সোহরাওয়ার্দী	s o ɦ ɾ a o̯ a ɾ d̪ i
সোহাগ	ʃ o ɦ a ɡ
সৌন্দর্য	ʃ o u̯ n d̪ ɔ ɾ d ʒ o
সৌভাগ্য	ʃ o u̯ bʱ a ɡː o
সৌরজগৎ	ʃ o u̯ ɾ o d ʒ ɔ ɡ o t̪
সৌরাষ্ট্র	ʃ o u̯ ɾ a ʃ ʈ ɾ o
স্কটল্যান্ড	s k ɔ t l ɛ n d
স্কুটার	s k u ʈ a ɾ
স্কুল	s k u l
স্ট্রিট	s ʈ ɾ i ʈ
স্ট্রিট	ʃ ʈ ɾ i ʈ
স্তন্যপায়ী	ʃ t ɔ n n o p a i
স্তালিন	ʃ t̪ ɑ l i n
স্তূপ	s t̪ u p
স্ত্রী	s t r ī
স্থল	s t̪ʰ ɔ l
স্থান	s t̪ʰ a n
স্থাপত্য	s t̪ʰ a p o t̪ː o
স্থাপন	s t̪ʰ a p ɔ n
স্থিত	s t̪ʰ i t̪ o
স্নিগ্ধা	s n i ɡ d̪ʱ a
স্নেহ	s n e ɦ o
স্পর্শ	s p ɔ ɾ ʃ o
স্পষ্ট	s p ɔ ʃ ʈ o
স্ফটিক	ʃ pʰ o ʈ i k
স্বদেশ	ʃ ɔ d̪ e ʃ
স্বপন	ʃ ɔ p o n
স্বপ্ন	ʃ ɔ p n o
স্বর	ʃ ɔ ɾ
স্বরাজ	ʃ ɔ r a d ʒ
স্বর্গ	ʃ o̯ ɔ ɾ ɡ o
স্বর্গ	ʃ ɔ ɾ ɡ o
স্বর্ণ	ʃ ɔ ɾ n o
স্বস্তিকা	ʃ ɔ s t̪ i k a
স্বাগতম	ʃ a ɡ ɔ t̪ o m
স্বাধীনতা	ʃ a d̪ʱ i n ɔ t̪ a
স্বামিনী	ʃ a m i n i
স্বামী	ʃ a m i
স্বামীস্ত্রী	ʃ a m i s t̪ ɾ i
স্বাস্থ্য	ʃ a s tʰ j ɔ
স্বীকার	ʃ i k a r
স্মরণ	ʃ ɔ̃ ɾ o n
স্মৃতি	s ɾ i t̪ i
স্মৃতিচারণ	s m ɾ i t̪ i t ʃ a ɾ o n
স্যর	s æ ɾ
স্যার	s æ ɾ
স্রেফ	s ɾ e f
স্রোত	s ɾ o t̪
সৎ	ʃ ɔ t̪
হ	h ɔ
হংকং	ɦ ɔ ŋ k ɔ ŋ
হইতে	ɦ o i̯ t̪ e
হওয়া	ɦ ɔ o̯ a
হক	ɦ ɔ k
হগল	ɦ ɔ ɡ ɔ l
হজরত	ɦ ɔ d ʒ ɾ o t̪
হজরত	ɦ ɔ z ɾ o t̪
হঠাৎ	ɦ ɔ ʈʰ a t̪
হতাশা	ɦ ɔ t̪ a ʃ a
হদিস	ɦ o d̪ i s
হদিস	ɦ o d̪ i ʃ
হনুমান	ɦ o n u m a n
হন্দর	ɦ ɔ n d̪ o ɾ
হপ্তা	ɦ ɔ p t̪ a
হয়	ɦ ɔ e̯
হয়তো	ɦ ɔ e̯ t̪ o
হয়রান	ɦ ɔ e ɾ a n
হয়রানি	ɦ ɔ e̯ ɾ a n i
হয়ে	ɦ ɔ e
হরতাল	ɦ ɔ ɾ t̪ a l
হরফ	ɦ ɔ ɾ o pʰ
হরি	ɦ o ɾ i
হরিজন	ɦ ɔ ɾ i d ʒ ɔ n
হরিণ	ɦ o ɾ i n
হরিদ্বার	ɦ o ɾ i d̪ː ɑ ɾ
হরিদ্বার	ɦ ɔ ɾ i d̪ d̪ ɑ ɾ
হরিয়ানা	h ɔ ɾ i j a n a
হরীতকী	ɦ o ɾ i t̪ o k i
হর্ষ	ɦ ɔ ɾ ʃ o
হল	ɦ o l o
হল	ɦ ɔ l
হলদে	h o l d e
হসপিটাল	ɦ ɔ s p i ʈ a l
হস্তমৈথুন	ɦ ɔ s t̪ o m o i̯ t̪ʰ u n
হাঁ	h ãː
হাঁচি	ɦ ã t ʃ i
হাঁটা	h ã ʈ a
হাঁটু	ɦ ã ʈ u
হাঁস	ɦ ã ʃ
হাইপোথ্যালামাস	ɦ a i̯ p o t̪ʰ æ l a m a s
হাওড়া	ɦ a o ɽ a
হাওড়াবাসী	ɦ a o̯ ɽ a b a ʃ i
হাওড়াবাসী	ɦ a o̯ ɾ a b a ʃ i
হাওয়া	h a o a
হাগা	ɦ a ɡ a
হাগু	ɦ a ɡ u
হাঙ্গামা	ɦ a ŋ ɡ a m a
হাঙ্গুর	h ɐ ŋ ɡ u r
হাজং	ɦ a d ʒ ɔ ŋ
হাজার	ɦ a d ʒ a ɾ
হাজারী	ɦ a z a ɾ i
হাজির	ɦ a d ʒ i ɾ
হাট	ɦ a ʈ
হাড়	ɦ a ɽ
হাড়	ɦ a ɾ
হাত	ɦ a t̪
হাতি	ɦ a t̪ i
হাতিয়ার	ɦ a t̪ i̯ a ɾ
হাদিয়া	ɦ a d̪ i̯ a
হাদিস	ɦ a d̪ i s
হানা	ɦ a n a
হানাফী	ɦ a n a f i
হানিফ	ɦ a n i f
হানুক্কা	ɦ a n u kː a
হাফসা	ɦ a f s a
হাফেজ	ɦ a f e z
হাবশি	ɦ ɑ b ʃ i
হাবীব	ɦ a b i b
হাভেলি	ɦ a bʱ e l i
হামলা	ɦ a m l a
হামানদিস্তা	ɦ a m a n d̪ i s t̪ a
হামেশা	ɦ a m e ʃ a
হায়	ɦ a e̯
হায়দরাবাদ	ɦ a e̯ d̪ ɔ ɾ a b a d̪
হায়দ্রাবাদ	ɦ a e̯ d̪ ɾ a b a d̪
হায়েনা	ɦ a e̯ n a
হারানো	h a r a n o
হারাম	ɦ a ɾ a m
হারামজাদা	ɦ a ɾ a m d ʒ a d̪ a
হার্ডওয়্যার	h a r ɖ w æ r
হার্মাদ	ɦ a ɾ m a d̪
হাল	ɦ a l
হালকা	ɦ a l k a
হালাক	ɦ a l a k
হালাল	ɦ a l a l
হালুয়া	ɦ a l u̯ a
হাশি	ɦ a ʃ i
হাসপাতাল	ɦ a ʃ p a t̪ a l
হাসা	ɦ a ʃ a
হাসান	ɦ a s a n
হাসান	ɦ a ʃ a n
হাসানো	ɦ ɑ ʃ ɑ n o
হাসি	ɦ a ʃ i
হাসিন	ɦ a s i n
হিংসা	ɦ i ŋ ʃ a
হিজড়া	ɦ i d ʒ ɽ a
হিজড়া	ɦ i d ʒ ɾ a
হিটলার	ɦ i ʈ l a ɾ
হিতোপদেশ	ɦ i t̪ o p ɔ d̪ e ʃ
হিন্দকী	ɦ i n d̪ k i
হিন্দি	ɦ i n d̪ i
হিন্দী	ɦ i n d̪ i
হিন্দীয়া	ɦ i n d̪ i̯ a
হিন্দু	ɦ i n d̪ u
হিন্দুত্ব	ɦ i n d̪ u t̪ː o
হিন্দুধর্ম	ɦ i n d u dʱ ɔ r m o
হিন্দুস্তান	ɦ i n d̪ u s t̪ a n
হিম	ɦ i m
হিমবাহ	h i m b a h o
হিমাচল	ɦ i m ä t͡ʃ ɔ̜ l
হিমাচল	ɦ i m ɑ t͡ʃ ɔ l
হিমালয়	ɦ i m ɑ l ɔ e̯
হিয়া	ɦ i̯ a
হিসাব	ɦ i ʃ a b
হিসেব	ɦ i ʃ e b
হিস্সা	ɦ i s ʃ a
হীরা	ɦ i ɾ a
হুজুর	ɦ u d ʒ u ɾ
হুদা	ɦ u d̪ a
হুমায়রা	ɦ u m a e̯ ɾ a
হৃদয়	r i d̪ ɔ e
হৃৎপিণ্ড	ɦ ɾ i t̪ p i n ɖ o
হে	h e
হেঁতাল	ɦ ẽ t̪ a l
হেঁয়ালি	ɦ e e̯ a l i
হেঁয়ালি	ɦ ẽ e̯ a l i
হেকারত	ɦ e k a ɾ ɔ t̪
হেজাজ	ɦ e d ʒ a z
হেদায়েত	ɦ e d̪ a e̯ t̪
হেফাজত	ɦ e f a z o t̪
হেবা	ɦ e b a
হেমন্ত	ɦ e m o n t̪ o
হোঁচট	ɦ õ t ʃ ɔ ʈ
হোক	ɦ o k
হোটেল	ɦ o ʈ e l
হোম	ɦ o m
হোয়াটসঅ্যাপ	ɦ o̯ a ʈ s e̯ a p
হোল	ɦ o l
হোলি	ɦ o l i
হোসেন	ɦ o s e n
হোসেন	ɦ o ʃ e n
হ্যাঁ	ɦ æ̃
হ্যানয়	ɦ æ n ɔ e̯
হ্যারিকেন	ɦ æ ɾ i k e n
হ্যালো	ɦ æ l o
হ্যালো	ɦ æ l ɔ
হ্রদ	ɦ ɾ ɔ d̪
হ্রস্ব	ɦ ɾ ɔ ʃː o
ৠ	r i
ৡ	l i
ৰ	ɹ ɔ
