Ⴀ	ɑ
ცეცხლოვნად	t͡sʰ e t͡sʰ χ ɫ o v n a d
ცეცხლს	t͡sʰ e t͡sʰ χ l s
ცეცხლსატყორცნი	t͡sʰ e t͡sʰ χ l s a tʼ χʼ o ɾ t͡sʰ n i
ცეცხლფარეში	t͡sʰ e t͡sʰ χ l pʰ a ɾ e ʃ i
ცეცხლში	t͡sʰ e t͡sʰ χ l ʃ i
ცეცხლწაკიდებული	t͡sʰ e t͡sʰ χ l t͡sʼ a kʼ i d e b u l i
ცეხინი	t͡sʰ e χ i n i
ცვალებადად	t͡sʰʷ a l e b a d a d
ცვალებადი	t͡sʰʷ a l e b a d i
ცვალებადობა	t͡sʰʷ a l e b a d o b a
ცვეთს	t͡sʰʷ e tʰ s
ცვეტში	t͡sʰʷ e tʼ ʃ i
ცვილი	t͡sʰʷ i l i
ცვლა	t͡sʰʷ ɫ a
ცვლადი	t͡sʰʷ ɫ a d i
ცვლილება	t͡sʰʷ l i l e b a
ცვრიანი	t͡sʰʷ ɾ i a n i
ციგურა	t͡sʰ i ɡ u ɾ a
ცივა	t͡sʰ i v a
ცივად	t͡sʰ i v a d
ცივი	t͡sʰ i v i
ცივილიზაცია	t͡sʰ i v i l i z a t͡sʰ i a
ცივსისხლიანი	t͡sʰ i f s i s χ l i a n i
ციკლი	t͡sʰ i kʼ l i
ციკლონი	t͡sʰ i kʼ ɫ o n i
ციკლონური	t͡sʰ i kʼ ɫ o n u ɾ i
ციკლოპური	t͡sʰ i kʼ ɫ o pʼ u ɾ i
ციკლოტრონი	t͡sʰ i kʼ ɫ o tʼ ɾ o n i
ციკლური	t͡sʰ i kʼ ɫ u ɾ i
ცილა	t͡sʰ i ɫ a
ცილინდრი	t͡sʰ i l i n d ɾ i
ცილინდრული	t͡sʰ i l i n d ɾ u l i
ცილისწამება	t͡sʰ i l i s t͡sʼ a m e b a
ციმბალი	t͡sʰ i m b a l i
ციმბირი	t͡sʰ i m b i ɾ i
ციმციმი	t͡sʰ i m t͡sʰ i m i
ცინგლი	t͡sʰ i n ɡ l i
ცინგლიანი	t͡sʰ i n ɡ l i a n i
ცინდალი	t͡sʰ i n d a l i
ცინიზმი	t͡sʰ i n i z m i
ცინიკოსი	t͡sʰ i n i kʼ o s i
ცინიკურად	t͡sʰ i n i kʼ u ɾ a d
ცინიკური	t͡sʰ i n i kʼ u ɾ i
ცირა	t͡sʰ i ɾ a
ცირკი	t͡sʰ i ɾ kʼ i
ცირკონიუმი	t͡sʰ i ɾ kʼ o n i u m i
ცირკულარი	t͡sʰ i ɾ kʼ u ɫ a ɾ i
ცირკულაცია	t͡sʰ i ɾ kʼ u ɫ a t͡sʰ i a
ციროზი	t͡sʰ i ɾ o z i
ცირცელი	t͡sʰ i ɾ t͡sʰ e l i
ცისარტყელა	t͡sʰ i s a ɾ tʼ χʼ e ɫ a
ცისთვალა	t͡sʰ i s tʰʷ a ɫ a
ცისკარი	t͡sʰ i s kʼ a ɾ i
ცისტერნა	t͡sʰ i s tʼ e ɾ n a
ცისფერი	t͡sʰ i s pʰ e ɾ i
ციტადელი	t͡sʰ i tʼ a d e l i
ციტატა	t͡sʰ i tʼ a tʼ a
ციტირება	t͡sʰ i tʼ i ɾ e b a
ციტრა	t͡sʰ i tʼ ɾ a
ციტრონი	t͡sʰ i tʼ ɾ o n i
ციტრუსი	t͡sʰ i tʼ ɾ u s i
ციტრუსოვანი	t͡sʰ i tʼ ɾ u s o v a n i
ციური	t͡sʰ i u ɾ i
ციურიხი	t͡sʰ i u ɾ i χ i
ციფა	t͡sʰ i pʰ a
ციფერბლატი	t͡sʰ i pʰ e ɾ b ɫ a tʼ i
ციფრი	t͡sʰ i pʰ ɾ i
ციფრულად	t͡sʰ i pʰ ɾ u ɫ a d
ციფრული	t͡sʰ i pʰ ɾ u l i
ციყვი	t͡sʰ i χʼʷ i
ციცა	t͡sʰ i t͡sʰ a
ციცავ	t͡sʰ i t͡sʰ a v
ციცერო	t͡sʰ i t͡sʰ e ɾ o
ციცინათელა	t͡sʰ i t͡sʰ i n a tʰ e ɫ a
ციცქნა	t͡sʰ i t͡sʰ kʰ n a
ციცხვი	t͡sʰ i t͡sʰ χʷ i
ციხე	t͡sʰ i χ e
ციხესიმაგრე	t͡sʰ i χ e s i m a ɡ ɾ e
ცნება	t͡sʰ n e b a
ცნობა	t͡sʰ n o b a
ცნობება	t͡sʰ n o b e b a
ცნობიერება	t͡sʰ n o b i e ɾ e b a
ცნობიერი	t͡sʰ n o b i e ɾ i
ცნობილი	t͡sʰ n o b i l i
ცნობისმოყვარედ	t͡sʰ n o b i s m o χʼʷ a ɾ e d
ცოდვა	t͡sʰ o dʷ a
ცოდვიანი	t͡sʰ o dʷ i a n i
ცოდვიანობა	t͡sʰ o dʷ i a n o b a
ცოდვილად	t͡sʰ o dʷ i ɫ a d
ცოდვილი	t͡sʰ o dʷ i l i
ცოდნა	t͡sʰ o d n a
ცოკოლი	t͡sʰ o kʼ o l i
ცოლი	t͡sʰ o l i
ცოლისძმა	t͡sʰ o l i s d͡z m a
ცოლქმრობა	t͡sʰ o l kʰ m ɾ o b a
ცომეული	t͡sʰ o m e u l i
ცომი	t͡sʰ o m i
ცოტა	t͡sʰ o tʼ a
ცოტათი	t͡sʰ o tʼ a tʰ i
ცოტამატა	t͡sʰ o tʼ a m a tʼ a
ცოტაოდენი	t͡sʰ o tʼ a o d e n i
ცოტას	t͡sʰ o tʼ a s
ცოტახან	t͡sʰ o tʼ a χ a n
ცოტნე	t͡sʰ o tʼ n e
ცოტცოტაობით	t͡sʰ o tʼ t͡sʰ o tʼ a o b i tʰ
ცოფი	t͡sʰ o pʰ i
ცოცხალი	t͡sʰ o t͡sʰ χ a l i
ცოცხალმშობი	t͡sʰ o t͡sʰ χ a l m ʃ o b i
ცოცხი	t͡sʰ o t͡sʰ χ i
ცრემლი	t͡sʰ ɾ e m l i
ცრემლიანად	t͡sʰ ɾ e m l i a n a d
ცრუ	t͡sʰ ɾ u
ცრუდ	t͡sʰ ɾ u d
ცრუმორწმუნე	t͡sʰ ɾ u m o ɾ t͡sʼ m u n e
ცრუმორწმუნედ	t͡sʰ ɾ u m o ɾ t͡sʼ m u n e d
ცრურწმენა	t͡sʰ ɾ u ɾ t͡sʼ m e n a
ცუგა	t͡sʰ u ɡ a
ცუდად	t͡sʰ u d a d
ცუდი	t͡sʰ u d i
ცურავს	t͡sʰ u ɾ a f s
ცურვა	t͡sʰ u ɾʷ a
ცური	t͡sʰ u ɾ i
ცქერა	t͡sʰ kʰ e ɾ a
ცხადად	t͡sʰ χ a d a d
ცხადება	t͡sʰ χ a d e b a
ცხადი	t͡sʰ χ a d i
ცხარე	t͡sʰ χ a ɾ e
ცხარედ	t͡sʰ χ a ɾ e d
ცხედარი	t͡sʰ χ e d a ɾ i
ცხელა	t͡sʰ χ e ɫ a
ცხელი	t͡sʰ χ e l i
ცხელსაფენი	t͡sʰ χ e l s a pʰ e n i
ცხენზე	t͡sʰ χ e n z e
ცხენი	t͡sʰ χ e n i
ცხენირემი	t͡sʰ χ e n i ɾ e m i
ცხენოსნობა	t͡sʰ χ e n o s n o b a
ცხვარი	t͡sʰ χʷ a ɾ i
ცხვარიჭამია	t͡sʰ χʷ a ɾ i t͡ʃʼ a m i a
ცხვირი	t͡s xʷ i ɾ i
ცხვირისმიერი	t͡sʰ χʷ i ɾ i s m i e ɾ i
ცხვირპაჭუა	t͡sʰ χʷ i ɾ pʼ a t͡ʃʼ u a
ცხვირსახოცი	t͡sʰ χʷ i ɾ s a χ o t͡sʰ i
ცხიმი	t͡sʰ χ i m i
ცხიმიანი	t͡sʰ χ i m i a n i
ცხიმოვანი	t͡sʰ χ i m o v a n i
ცხინვალი	t͡sʰ χ i nʷ a l i
ცხლად	t͡sʰ χ ɫ a d
ცხოველი	t͡sʰ χ o v e l i
ცხოვრება	t͡sʰ χ o v ɾ e b a
ცხოვრებად	t͡sʰ χ o v ɾ e b a d
ცხოვრებამ	t͡sʰ χ o v ɾ e b a m
ცხოვრებას	t͡sʰ χ o v ɾ e b a s
ცხოვრებით	t͡sʰ χ o v ɾ e b i tʰ
ცხოვრების	t͡sʰ χ o v ɾ e b i s
ცხოვრობს	t͡sʰ χ o v ɾ o b s
ცხრა	t͡sʰ χ ɾ a
ცხრაკუთხა	t͡sʰ χ ɾ a kʼ u tʰ χ a
ცხრაკუთხედი	t͡sʰ χ ɾ a kʼ u tʰ χ e d i
ცხრამეტი	t͡sʰ χ ɾ a m e tʼ i
ცხრამეტკუთხედი	t͡sʰ χ ɾ a m e tʼ kʼ u tʰ χ e d i
ცხრაჯერ	t͡sʰ χ ɾ a d͡ʒ e ɾ
ცხრილი	t͡sʰ χ ɾ i l i
ცხრუკვეთი	t͡sʰ χ ɾ u kʼʷ e tʰ i
ძ	d͡z
ძაან	d͡z a a n
ძაბავს	d͡z a b a f s
ძაბრი	d͡z a b ɾ i
ძალა	d͡z a ɫ a
ძალადობა	d͡z a ɫ a d o b a
ძალავს	d͡z a ɫ a f s
ძალანთხევი	d͡z a ɫ a n tʰ χ e v i
ძალაუნებურად	d͡z a ɫ a u n e b u ɾ a d
ძალაუფლება	d͡z a ɫ a u pʰ l e b a
ძალდატანება	d͡z a l d a tʼ a n e b a
ძალები	d͡z a l e b i
ძალზე	d͡z a l z e
ძალიან	d͡z a l i a n
ძალით	d͡z a l i tʰ
ძალისხმევა	d͡z a l i s χ m e v a
ძალოსანი	d͡z a ɫ o s a n i
ძალუძს	d͡z a ɫ u d͡z s
ძამა	d͡z a m a
ძამაშვილი	d͡z a m a ʃʷ i l i
ძამია	d͡z a m i a
ძარა	d͡z a ɾ a
ძარღვი	d͡z a ɾ ʁʷ i
ძაფი	d͡z a pʰ i
ძაღლები	d͡z a ʁ l e b i
ძაღლი	d͡z a ʁ l i
ძაღლიშვილი	d͡z a ʁ l i ʃʷ i l i
ძაღლუკა	d͡z a ʁ ɫ u kʼ a
ძაღლური	d͡z a ʁ ɫ u ɾ i
ძაღლყურძენა	d͡z a ʁ l χʼ u ɾ d͡z e n a
ძახველი	d͡z a χʷ e l i
ძგიდე	d͡z ɡ i d e
ძე	d͡z e
ძებნა	d͡z e b n a
ძეგვი	d͡z e ɡʷ i
ძეგლი	d͡z e ɡ l i
ძელი	d͡z e l i
ძელქვა	d͡z e l kʰʷ a
ძერა	d͡z e ɾ a
ძერსკი	d͡z e ɾ s kʼ i
ძეწნა	d͡z e t͡sʼ n a
ძეხვი	d͡z e χʷ i
ძვალი	d͡zʷ a l i
ძველად	d͡zʷ e ɫ a d
ძველებრაული	d͡zʷ e l e b ɾ a u l i
ძველებური	d͡zʷ e l e b u ɾ i
ძველთაძველი	d͡zʷ e l tʰ a d͡zʷ e l i
ძველი	d͡zʷ e l i
ძველმოდური	d͡zʷ e l m o d u ɾ i
ძვირად	d͡zʷ i ɾ a d
ძვირი	d͡zʷ i ɾ i
ძვირფასად	d͡zʷ i ɾ pʰ a s a d
ძვირფასი	d͡zʷ i ɾ pʰ a s i
ძვლიანი	d͡zʷ l i a n i
ძვლოვანი	d͡zʷ ɫ o v a n i
ძვრა	d͡zʷ ɾ a
ძია	d͡z i a
ძიება	d͡z i e b a
ძილგუდა	d͡z i l ɡ u d a
ძილი	d͡z i l i
ძილიანობა	d͡z i l i a n o b a
ძილის	d͡z i l i s
ძირავს	d͡z i ɾ a f s
ძირეულად	d͡z i ɾ e u ɫ a d
ძირეული	d͡z i ɾ e u l i
ძირთეთრა	d͡z i ɾ tʰ e tʰ ɾ a
ძირი	d͡z i ɾ i
ძირითადად	d͡z i ɾ i tʰ a d a d
ძირითადი	d͡z i ɾ i tʰ a d i
ძირკვი	d͡z i ɾ kʼʷ i
ძირმაგარა	d͡z i ɾ m a ɡ a ɾ a
ძირს	d͡z i ɾ s
ძირტკბილა	d͡z i ɾ tʼ kʼ b i ɫ a
ძირძველი	d͡z i ɾ d͡zʷ e l i
ძიძა	d͡z i d͡z a
ძიძიგური	d͡z i d͡z i ɡ u ɾ i
ძიძიშვილი	d͡z i d͡z i ʃʷ i l i
ძლევამოსილად	d͡z l e v a m o s i ɫ a d
ძლევამოსილი	d͡z l e v a m o s i l i
ძლიერ	d͡z l i e ɾ
ძლიერად	d͡z l i e ɾ a d
ძლიერი	d͡z l i e ɾ i
ძლივს	d͡z l i f s
ძმა	d͡z m a
ძმაკაცი	d͡z m a kʼ a t͡sʰ i
ძმარვა	d͡z m a ɾʷ a
ძმარი	d͡z m a ɾ i
ძმობა	d͡z m o b a
ძმრიანი	d͡z m ɾ i a n i
ძმურად	d͡z m u ɾ a d
ძმური	d͡z m u ɾ i
ძნა	d͡z n a
ძნელად	d͡z n e ɫ a d
ძნელი	d͡z n e l i
ძონძი	d͡z o n d͡z i
ძოწი	d͡z o t͡sʼ i
ძრავა	d͡z ɾ a v a
ძრავი	d͡z ɾ a v i
ძროხა	d͡z ɾ o χ a
ძუა	d͡z u a
ძუკნა	d͡z u kʼ n a
ძუმელა	d͡z u m e ɫ a
ძუნწი	d͡z u n t͡sʼ i
ძუძუ	d͡z u d͡z u
ძუძუმტე	d͡z u d͡z u m tʼ e
ძღვენი	d͡z ʁʷ e n i
წ	t͡sʼ
წააგებს	t͡sʼ a a ɡ e b s
წააგო	t͡sʼ a a ɡ o
წაბლა	t͡sʼ a b ɫ a
წაბლი	t͡sʼ a b l i
წაბლისფერი	t͡sʼ a b l i s pʰ e ɾ i
წაგება	t͡sʼ a ɡ e b a
წადი	t͡sʼ a d i
წავა	t͡sʼ a v a
წავალ	t͡sʼ a v a l
წავედი	t͡sʼ a v e d i
წავი	t͡sʼ a v i
წავიდეს	t͡sʼ a v i d e s
წათხი	t͡sʼ a tʰ χ i
წაკითხვა	t͡sʼ a kʼ i tʰ χʷ a
წაკითხვის	t͡sʼ a kʼ i tʰ χʷ i s
წალეკავს	t͡sʼ a l e kʼ a f s
წალიკა	t͡sʼ a l i kʼ a
წალიკად	t͡sʼ a l i kʼ a d
წალკოტი	t͡sʼ a l kʼ o tʼ i
წამალი	t͡sʼ a m a l i
წამახული	t͡sʼ a m a χ u l i
წამებულები	t͡sʼ a m e b u l e b i
წამი	t͡sʼ a m i
წამიერად	t͡sʼ a m i e ɾ a d
წამიერი	t͡sʼ a m i e ɾ i
წამლავს	t͡sʼ a m ɫ a f s
წამოვა	t͡sʼ a m o v a
წამოვიდოდა	t͡sʼ a m o v i d o d a
წამოისვრის	t͡sʼ a m o i sʷ ɾ i s
წამოიწყებს	t͡sʼ a m o i t͡sʼ χʼ e b s
წამოსროლა	t͡sʼ a m o s ɾ o ɫ a
წამოწყება	t͡sʼ a m o t͡sʼ χʼ e b a
წამყვანი	t͡sʼ a m χʼʷ a n i
წამწამი	t͡sʼ a m t͡sʼ a m i
წარბი	t͡sʼ a ɾ b i
წარდგენა	t͡sʼ a ɾ d ɡ e n a
წარმავალი	t͡sʼ a ɾ m a v a l i
წარმავლად	t͡sʼ a ɾ m a v ɫ a d
წარმართები	t͡sʼ a ɾ m a ɾ tʰ e b i
წარმართი	t͡sʼ a ɾ m a ɾ tʰ i
წარმართობა	t͡sʼ a ɾ m a ɾ tʰ o b a
წარმართულად	t͡sʼ a ɾ m a ɾ tʰ u ɫ a d
წარმართული	t͡sʼ a ɾ m a ɾ tʰ u l i
წარმატება	t͡sʼ a ɾ m a tʼ e b a
წარმატებულად	t͡sʼ a ɾ m a tʼ e b u ɫ a d
წარმატებული	t͡sʼ a ɾ m a tʼ e b u l i
წარმოდგენა	t͡sʼ a ɾ m o d ɡ e n a
წარმოება	t͡sʼ a ɾ m o e b a
წარმოებული	t͡sʼ a ɾ m o e b u l i
წარმოთქვამს	t͡sʼ a ɾ m o tʰ kʰʷ a m s
წარმომავლობა	t͡sʼ a ɾ m o m a v ɫ o b a
წარმომქმნელი	t͡sʼ a ɾ m o m kʰ m n e l i
წარმოსახვა	t͡sʼ a ɾ m o s a χʷ a
წარმოსახვითი	t͡sʼ a ɾ m o s a χʷ i tʰ i
წარმოუდგენელი	t͡sʼ a ɾ m o u d ɡ e n e l i
წარმოუდგენლად	t͡sʼ a ɾ m o u d ɡ e n ɫ a d
წარმოშობად	t͡sʼ a ɾ m o ʃ o b a d
წარმოშობამ	t͡sʼ a ɾ m o ʃ o b a m
წარმოშობას	t͡sʼ a ɾ m o ʃ o b a s
წარმოშობით	t͡sʼ a ɾ m o ʃ o b i tʰ
წარმოშობის	t͡sʼ a ɾ m o ʃ o b i s
წარსული	t͡sʼ a ɾ s u l i
წარსულში	t͡sʼ a ɾ s u l ʃ i
წარუმატებელი	t͡sʼ a ɾ u m a tʼ e b e l i
წარუმატებლად	t͡sʼ a ɾ u m a tʼ e b ɫ a d
წარუხოცელი	t͡sʼ a ɾ u χ o t͡sʰ e l i
წარუხოცლად	t͡sʼ a ɾ u χ o t͡sʰ ɫ a d
წარღვნამდელი	t͡sʼ a ɾ ʁʷ n a m d e l i
წარჩინებული	t͡sʼ a ɾ t͡ʃʰ i n e b u l i
წარწერა	t͡sʼ a ɾ t͡sʼ e ɾ a
წასაკითხად	t͡sʼ a s a kʼ i tʰ χ a d
წასაკითხი	t͡sʼ a s a kʼ i tʰ χ i
წასვლა	t͡sʼ a sʷ ɫ a
წაუკითხავი	t͡sʼ a u kʼ i tʰ χ a v i
წაულა	t͡sʼ a u ɫ a
წაუშლიათ	t͡sʼ a u ʃ l i a tʰ
წაშლა	t͡sʼ a ʃ ɫ a
წაწალი	t͡sʼ a t͡sʼ a l i
წაწლობა	t͡sʼ a t͡sʼ ɫ o b a
წახნაგი	t͡sʼ a χ n a ɡ i
წებო	t͡sʼ e b o
წებოვანი	t͡sʼ e b o v a n i
წებოვნება	t͡sʼ e b o v n e b a
წებოიანი	t͡sʼ e b o i a n i
წევა	t͡sʼ e v a
წევრი	t͡sʼ e v ɾ i
წევრობა	t͡sʼ e v ɾ o b a
წევს	t͡sʼ e f s
წელი	t͡sʼ e l i
წელიწადი	t͡sʼ e l i t͡sʼ a d i
წელიწადის	t͡sʼ e l i t͡sʼ a d i s
წერა	t͡sʼ e ɾ a
წერაქვი	t͡sʼ e ɾ a kʰʷ i
წერაყინი	t͡sʼ e ɾ a χʼ i n i
წერია	t͡sʼ e ɾ i a
წერილი	t͡sʼ e ɾ i l i
წერო	t͡sʼ e ɾ o
წეროვანი	t͡sʼ e ɾ o v a n i
წერს	t͡sʼ e ɾ s
წერტილი	t͡sʼ e ɾ tʼ i l i
წერწეტა	t͡sʼ e ɾ t͡sʼ e tʼ a
წერწეტად	t͡sʼ e ɾ t͡sʼ e tʼ a d
წესი	t͡sʼ e s i
წესიერად	t͡sʼ e s i e ɾ a d
წესიერება	t͡sʼ e s i e ɾ e b a
წესიერი	t͡sʼ e s i e ɾ i
წესრიგი	t͡sʼ e s ɾ i ɡ i
წეწავს	t͡sʼ e t͡sʼ a f s
წეწვა	t͡sʼ e t͡sʼʷ a
წვა	t͡sʼʷ a
წვავს	t͡sʼʷ a f s
წვეთი	t͡sʼʷ e tʰ i
წვენი	t͡sʼʷ e n i
წვერებიანი	t͡sʼʷ e ɾ e b i a n i
წვერი	t͡sʼʷ e ɾ i
წვეროსანი	t͡sʼʷ e ɾ o s a n i
წვერულვაშიანი	t͡sʼʷ e ɾ u lʷ a ʃ i a n i
წვეტი	t͡sʼʷ e tʼ i
წვეტიანი	t͡sʼʷ e tʼ i a n i
წვეულება	t͡sʼʷ e u l e b a
წვივი	t͡sʼʷ i v i
წვივსაკრავი	t͡sʼʷ i f s a kʼ ɾ a v i
წვიმა	t͡sʼʷ i m a
წვიმასაზომი	t͡sʼʷ i m a s a z o m i
წვიმიანი	t͡sʼʷ i m i a n i
წვინტლი	t͡sʼʷ i n tʼ l i
წვლილი	t͡sʼʷ l i l i
წვნიანი	t͡sʼʷ n i a n i
წვრთნა	t͡sʼʷ ɾ tʰ n a
წვრილად	t͡sʼʷ ɾ i ɫ a d
წვრილი	t͡sʼʷ ɾ i l i
წვრილმანად	t͡sʼʷ ɾ i l m a n a d
წვრილმანი	t͡sʼʷ ɾ i l m a n i
წვრილმანობა	t͡sʼʷ ɾ i l m a n o b a
წვრილფეხა	t͡sʼʷ ɾ i l pʰ e χ a
წიაღი	t͡sʼ i a ʁ i
წიგნაკი	t͡sʼ i ɡ n a kʼ i
წიგნი	t͡sʼ i ɡ n i
წიგნიერება	t͡sʼ i ɡ n i e ɾ e b a
წიგნიერი	t͡sʼ i ɡ n i e ɾ i
წიდა	t͡sʼ i d a
წივწივა	t͡sʼ i f t͡sʼ i v a
წითელა	t͡sʼ i tʰ e ɫ a
წითელი	t͡sʼ i tʰ e l i
წითელქუდა	t͡sʼ i tʰ e l kʰ u d a
წითური	t͡sʼ i tʰ u ɾ i
წიკწიკი	t͡sʼ i kʼ t͡sʼ i kʼ i
წილი	t͡sʼ i l i
წილკანი	t͡sʼ i l kʼ a n i
წინ	t͡sʼ i n
წინა	t͡sʼ i n a
წინააღმდეგ	t͡sʼ i n a a ʁ m d e ɡ
წინააღმდეგობა	t͡sʼ i n a a ʁ m d e ɡ o b a
წინაბეგა	t͡sʼ i n a b e ɡ a
წინადადება	t͡sʼ i n a d a d e b a
წინადაცვეთა	t͡sʼ i n a d a t͡sʰʷ e tʰ a
წინადღე	t͡sʼ i n a d ʁ e
წინათ	t͡sʼ i n a tʰ
წინათგრძნობა	t͡sʼ i n a tʰ ɡ ɾ d͡z n o b a
წინაისტორიული	t͡sʼ i n a i s tʼ o ɾ i u l i
წინამავალი	t͡sʼ i n a m a v a l i
წინამორბედი	t͡sʼ i n a m o ɾ b e d i
წინამძღვარი	t͡sʼ i n a m d͡z ʁʷ a ɾ i
წინამძღოლი	t͡sʼ i n a m d͡z ʁ o l i
წინამძღოლმა	t͡sʼ i n a m d͡z ʁ o l m a
წინამხარი	t͡sʼ i n a m χ a ɾ i
წინანდელი	t͡sʼ i n a n d e l i
წინაპარი	t͡sʼ i n a pʼ a ɾ i
წინარეინდოევროპული	t͡sʼ i n a ɾ e i n d o e v ɾ o pʼ u l i
წინარეისტორია	t͡sʼ i n a ɾ e i s tʼ o ɾ i a
წინარეისტორიული	t͡sʼ i n a ɾ e i s tʼ o ɾ i u l i
წინარექართველური	t͡sʼ i n a ɾ e kʰ a ɾ tʰʷ e ɫ u ɾ i
წინასწარ	t͡sʼ i n a s t͡sʼ a ɾ
წინასწარგანზრახულად	t͡sʼ i n a s t͡sʼ a ɾ ɡ a n z ɾ a χ u ɫ a d
წინასწარგანჭვრეტა	t͡sʼ i n a s t͡sʼ a ɾ ɡ a n t͡ʃʼʷ ɾ e tʼ a
წინასწარგანჭვრეტადი	t͡sʼ i n a s t͡sʼ a ɾ ɡ a n t͡ʃʼʷ ɾ e tʼ a d i
წინასწარგანჭვრეტადობა	t͡sʼ i n a s t͡sʼ a ɾ ɡ a n t͡ʃʼʷ ɾ e tʼ a d o b a
წინასწარი	t͡sʼ i n a s t͡sʼ a ɾ i
წინასწარმეტყველურად	t͡sʼ i n a s t͡sʼ a ɾ m e tʼ χʼʷ e ɫ u ɾ a d
წინასწარმეყველურად	t͡sʼ i n a s t͡sʼ a ɾ m e χʼʷ e ɫ u ɾ a d
წინაფრა	t͡sʼ i n a pʰ ɾ a
წინაღობა	t͡sʼ i n a ʁ o b a
წინდა	t͡sʼ i n d a
წინდაუხედავად	t͡sʼ i n d a u χ e d a v a d
წინდაუხედავი	t͡sʼ i n d a u χ e d a v i
წინდახედულად	t͡sʼ i n d a χ e d u ɫ a d
წინდახედულება	t͡sʼ i n d a χ e d u l e b a
წინდახედული	t͡sʼ i n d a χ e d u l i
წინდახედულობა	t͡sʼ i n d a χ e d u ɫ o b a
წინდებული	t͡sʼ i n d e b u l i
წინდებულიანი	t͡sʼ i n d e b u l i a n i
წინდიანი	t͡sʼ i n d i a n i
წინკარი	t͡sʼ i n kʼ a ɾ i
წინსაფარი	t͡sʼ i n s a pʰ a ɾ i
წინსვლა	t͡sʼ i n sʷ ɫ a
წინსწრება	t͡sʼ i n s t͡sʼ ɾ e b a
წინწამოწეული	t͡sʼ i n t͡sʼ a m o t͡sʼ e u l i
წინწილი	t͡sʼ i n t͡sʼ i l i
წინწკალი	t͡sʼ i n t͡sʼ kʼ a l i
