㒒	p ɔ k̚ ⁴
補足	p ɔ ⁴ ¹ ⁻ ⁴ ⁴ t͡s i ɔ k̚ ³ ²
補遺	p ɔ ⁴ ¹ ⁻ ⁴ ⁴ u i ² ³
補養	p ɔ ⁴ ¹ ⁻ ⁴ ⁴ i a ŋ ⁴ ¹
補養	p ɔ ⁴ ¹ ⁻ ⁴ ⁴ i ɔ ŋ ⁴ ¹
補齊	p ɔ ⁴ ¹ ⁻ ⁴ ⁴ t͡s e ² ³
裝	t͡s ŋ̍ ⁴ ⁴
裝	t͡s ɔ ŋ ⁴ ⁴
裝修	t͡s ŋ̍ ⁴ ⁴ ⁻ ³ ³ s i u ⁴ ⁴
裝備	t͡s ɔ ŋ ⁴ ⁴ ⁻ ³ ³ p i ³ ³
裝卸	t͡s ŋ̍ ⁴ ⁴ ⁻ ³ ³ s i a ² ¹
裝扮	t͡s ŋ̍ ⁴ ⁴ ⁻ ³ ³ p a n ³ ³
裝束	t͡s ɔ ŋ ⁴ ⁴ ⁻ ³ ³ s ɔ k̚ ³ ²
裝潢	t͡s ɔ ŋ ⁴ ⁴ ⁻ ³ ³ h ɔ ŋ ² ³
裝甲	t͡s ɔ ŋ ⁴ ⁴ ⁻ ³ ³ k a ʔ ³ ²
裝置	t͡s ɔ ŋ ⁴ ⁴ ⁻ ³ ³ t i ² ¹
裝設	t͡s ŋ̍ ⁴ ⁴ ⁻ ³ ³ s i ɛ t̚ ³ ²
裝車	t͡s ɔ ŋ ⁴ ⁴ ⁻ ³ ³ t͡sʰ i a ⁴ ⁴
裝載	t͡s ŋ̍ ⁴ ⁴ ⁻ ³ ³ t͡s a i ² ¹
裝運	t͡s ŋ̍ ⁴ ⁴ ⁻ ³ ³ u n ³ ³
裝配	t͡s ŋ̍ ⁴ ⁴ ⁻ ³ ³ pʰ u e ² ¹
裝配	t͡s ɔ ŋ ⁴ ⁴ ⁻ ³ ³ pʰ u e ² ¹
裝飾	t͡s ɔ ŋ ⁴ ⁴ ⁻ ³ ³ s i ɪ k̚ ³ ²
裝飾品	t͡s ɔ ŋ ⁴ ⁴ ⁻ ³ ³ s i ɪ k̚ ³ ² ⁻ ⁴ pʰ i n ⁴ ¹
裟	s e ⁴ ⁴
裡	l i n ⁴ ¹
裡	l i ⁴ ¹
裡	n ĩ ʔ ⁴
裡外	l i ⁴ ¹ ⁻ ⁴ ⁴ ɡ u a ³ ³
裡褲	l a i ³ ³ ⁻ ² ¹ kʰ ɔ ² ¹
裡面	l a i ³ ³ ⁻ ² ¹ b i n ³ ³
裡頭	l a i ³ ³ ⁻ ² ¹ tʰ a u ² ³
裨	p i ² ³
裨	p i ⁴ ⁴
裱	k i a u ⁴ ¹
裱	p i a u ⁴ ¹
裱	p i ɤ ⁴ ¹
裱褙	k i a u ⁴ ¹ ⁻ ⁴ ⁴ p e ² ¹
裱褙	k i a u ⁴ ¹ ⁻ ⁴ ⁴ p u e ² ¹
裱褙	p i a u ⁴ ¹ ⁻ ⁴ ⁴ p u e ² ¹
裳	s i ɔ ŋ ² ³
裳	t͡s i ũ ² ³
裴	p u e ² ³
裸	l ɔ ³ ³
裸身	l ɤ ³ ³ ⁻ ² ¹ s i n ⁴ ⁴
裸露	l ɤ ³ ³ ⁻ ² ¹ l ɔ ³ ³
裹	k a u ʔ ³ ²
裹	k ɔ ⁴ ¹
裹	k ɤ ⁴ ¹
裹腳	k a u ⁴ ¹ ⁻ ⁴ ⁴ k i ɤ ʔ ³ ²
裹足不前	k ɔ ⁴ ¹ ⁻ ⁴ ⁴ t͡s i ɔ k̚ ³ ² ⁻ ⁴ p u t̚ ³ ² ⁻ ⁴ t͡s i ɛ n ² ³
製	t͡s e ² ¹
製作	t͡s e ² ¹ ⁻ ⁴ ¹ t͡s ɔ k̚ ³ ²
製作人	t͡s e ² ¹ ⁻ ⁴ ¹ t͡s ɔ k̚ ³ ² ⁻ ⁴ z i n ² ³
製品	t͡s e ² ¹ ⁻ ⁴ ¹ pʰ i n ⁴ ¹
製圖	t͡s e ² ¹ ⁻ ⁴ ¹ t ɔ ² ³
製成	t͡s e ² ¹ ⁻ ⁴ ¹ s i ɪ ŋ ² ³
製法	t͡s e ² ¹ ⁻ ⁴ ¹ h u a t̚ ³ ²
製片	t͡s e ² ¹ ⁻ ⁴ ¹ pʰ ĩ ² ¹
製版	t͡s e ² ¹ ⁻ ⁴ ¹ p a n ⁴ ¹
製糖	t͡s e ² ¹ ⁻ ⁴ ¹ tʰ ŋ̍ ² ³
製藥	t͡s e ² ¹ ⁻ ⁴ ¹ i ɤ ʔ ⁴
製造	t͡s e ² ¹ ⁻ ⁴ ¹ t͡s ɤ ³ ³
製造商	t͡s e ² ¹ ⁻ ⁴ ¹ t͡s ɤ ³ ³ ⁻ ² ¹ s i ɔ ŋ ⁴ ⁴
製造業	t͡s e ² ¹ ⁻ ⁴ ¹ t͡s ɤ ³ ³ ⁻ ² ¹ ɡ i a p̚ ⁴
裾	k i ⁴ ⁴
褂	k u a ² ¹
複	h ɔ k̚ ⁴
複印	h ɔ k̚ ⁴ ⁻ ³ ² i n ² ¹
複合	h ɔ k̚ ⁴ ⁻ ³ ² h a p̚ ⁴
複姓	h ɔ k̚ ³ ² ⁻ ⁴ s i ɪ ŋ ² ¹
複審	h ɔ k̚ ³ ² ⁻ ⁴ s i m ⁴ ¹
複寫	h ɔ k̚ ³ ² ⁻ ⁴ s i a ⁴ ¹
複寫紙	h ɔ k̚ ⁴ ⁻ ³ ² s i a ⁴ ¹ ⁻ ⁴ ⁴ t͡s u a ⁴ ¹
複式	h ɔ k̚ ³ ² ⁻ ⁴ s i ɪ k̚ ³ ²
複數	h ɔ k̚ ³ ² ⁻ ⁴ s ɔ ² ¹
複數	h ɔ k̚ ⁴ ⁻ ³ ² s ɔ ² ¹
複查	h ɔ k̚ ³ ² ⁻ ⁴ t͡s a ⁴ ⁴
複檢	h ɔ k̚ ⁴ ⁻ ³ ² k i a m ⁴ ¹
複習	h ɔ k̚ ⁴ ⁻ ³ ² s i p̚ ⁴
複製	h ɔ k̚ ³ ² ⁻ ⁴ t͡s e ² ¹
複製	h ɔ k̚ ⁴ ⁻ ³ ² t͡s e ² ¹
複製品	h ɔ k̚ ⁴ ⁻ ³ ² t͡s e ² ¹ ⁻ ⁴ ¹ pʰ i n ⁴ ¹
複賽	h ɔ k̚ ³ ² ⁻ ⁴ s a i ² ¹
複賽	h ɔ k̚ ⁴ ⁻ ³ ² s a i ² ¹
複選	h ɔ k̚ ⁴ ⁻ ³ ² s u a n ⁴ ¹
複雜	h ɔ k̚ ³ ² ⁻ ⁴ t͡s a p̚ ⁴
複雜	h ɔ k̚ ⁴ ⁻ ³ ² t͡s a p̚ ⁴
褒	p ɤ ⁴ ⁴
褒囉嗦	p ɤ ⁴ ⁴ ⁻ ³ ³ l ɤ ² ³ ⁻ ³ ³ s ɤ ⁴ ⁴
褒囉嗦	p ɤ ⁴ ⁴ ⁻ ³ ³ l ɤ ⁴ ⁴ ⁻ ³ ³ s ɤ ⁴ ⁴
褒忠	p ɤ ⁴ ⁴ ⁻ ³ ³ t i ɔ ŋ ⁴ ⁴
褒揚	p ɤ ⁴ ⁴ ⁻ ³ ³ i ɔ ŋ ² ³
褒獎	p ɤ ⁴ ⁴ ⁻ ³ ³ t͡s i a ŋ ⁴ ¹
褒獎	p ɤ ⁴ ⁴ ⁻ ³ ³ t͡s i ɔ ŋ ⁴ ¹
褒貶	p ɤ ⁴ ⁴ ⁻ ³ ³ p i ɛ n ⁴ ¹
褒賞	p ɤ ⁴ ⁴ ⁻ ³ ³ s i ɔ ŋ ⁴ ¹
褔	h u ² ¹
褙	p e ² ¹
褙	p u e ² ¹
褚	tʰ u ⁴ ¹
褥	z i ɔ k̚ ⁴
褥仔	z i ɔ k̚ ⁴ ⁻ ³ ² a ⁴ ¹
褪	tʰ ŋ̍ ² ¹
褪孝	tʰ ŋ̍ ² ¹ ⁻ ⁴ ¹ h a ² ¹
褪殼	tʰ ŋ̍ ² ¹ ⁻ ⁴ ¹ kʰ a k̚ ³ ²
褪毛	tʰ ŋ̍ ² ¹ ⁻ ⁴ ¹ m ŋ̍ ² ³
褪澈澈	tʰ ŋ̍ ² ¹ ⁻ ⁴ ¹ tʰ e ³ ² ⁻ ⁴ ¹ tʰ e ʔ ³ ²
褪澈澈	tʰ ŋ̍ ² ¹ ⁻ ⁴ ¹ tʰ e ʔ ³ ² ⁻ ⁴ ¹ tʰ e ʔ ³ ²
褪皮	tʰ ŋ̍ ² ¹ ⁻ ⁴ ¹ pʰ u e ² ³
褪腹澈	tʰ ŋ̍ ² ¹ ⁻ ⁴ ¹ b a k̚ ³ ² ⁻ ⁴ t e ʔ ³ ²
褪腹澈	tʰ ŋ̍ ² ¹ ⁻ ⁴ ¹ p a k̚ ³ ² ⁻ ⁴ tʰ e ʔ ³ ²
褪色	tʰ ŋ̍ ² ¹ ⁻ ⁴ ¹ s i ɪ k̚ ³ ²
褪衫	tʰ ŋ̍ ² ¹ ⁻ ⁴ ¹ s ã ⁴ ⁴
褪褲	tʰ ŋ̍ ² ¹ ⁻ ⁴ ¹ kʰ ɔ ² ¹
褪褲𡳞	tʰ ŋ̍ ² ¹ ⁻ ⁴ ¹ kʰ ɔ ² ¹ ⁻ ⁴ ¹ l a n ³ ³
褪赤跤	tʰ ŋ̍ ² ¹ ⁻ ⁴ ¹ t͡s i a ³ ² ⁻ ⁴ ¹ kʰ a ⁴ ⁴
褪赤跤	tʰ ŋ̍ ² ¹ ⁻ ⁴ ¹ t͡s i a ʔ ³ ² ⁻ ⁴ ¹ kʰ a ⁴ ⁴
褪赤跤	tʰ ŋ̍ ² ¹ ⁻ ⁴ ¹ t͡sʰ i a ³ ² ⁻ ⁴ ¹ kʰ a ⁴ ⁴
褪赤跤	tʰ ŋ̍ ² ¹ ⁻ ⁴ ¹ t͡sʰ i a ʔ ³ ² ⁻ ⁴ ¹ kʰ a ⁴ ⁴
褪鞋	tʰ ŋ̍ ² ¹ ⁻ ⁴ ¹ e ² ³
褫	tʰ i ⁴ ¹
褫奪	tʰ i ⁴ ¹ ⁻ ⁴ ⁴ t u a t̚ ⁴
褱	h u a i ² ³
褲	kʰ ɔ ² ¹
褲帶	kʰ ɔ ² ¹ ⁻ ⁴ ¹ t u a ² ¹
褲衩	kʰ ɔ ² ¹ ⁻ ⁴ ¹ t͡sʰ a ² ¹
褲跤	kʰ ɔ ² ¹ ⁻ ⁴ ¹ kʰ a ⁴ ⁴
褲跤尾	kʰ ɔ ² ¹ ⁻ ⁴ ¹ kʰ a ⁴ ⁴ ⁻ ³ ³ b u e ⁴ ¹
褲頭	kʰ ɔ ² ¹ ⁻ ⁴ ¹ tʰ a u ² ³
褻	s i ɛ t̚ ³ ²
褻瀆	s i ɛ t̚ ³ ² ⁻ ⁴ t ɔ k̚ ⁴
褿全	t͡s i a u ² ³ ⁻ ³ ³ t͡s ŋ̍ ² ³
襀	t͡s i ɤ ʔ ³ ²
襄助	s i ɔ ŋ ⁴ ⁴ ⁻ ³ ³ t͡s ɔ ³ ³
襄陽	s i ɔ ŋ ⁴ ⁴ ⁻ ³ ³ i ɔ ŋ ² ³
襖	ɤ ⁴ ¹
襟	kʰ i m ⁴ ⁴
襠	t ɔ ŋ ⁴ ⁴
襤	l a m ⁴ ⁴
襪	b u a t̚ ⁴
襪	b u e ʔ ⁴
襪仔	b u e ʔ ⁴ ⁻ ³ ³ a ⁴ ¹
襪仔	b u e ⁴ ⁻ ³ ³ a ⁴ ¹
襪帶	b u e ʔ ⁴ ⁻ ² ¹ t u a ² ¹
襪帶	b u e ⁴ ⁻ ² ¹ t u a ² ¹
襪束	b u e ʔ ⁴ ⁻ ² ¹ s ɔ k̚ ³ ²
襪束	b u e ⁴ ⁻ ² ¹ s ɔ k̚ ³ ²
襫	s i ɪ k̚ ³ ²
襯	t͡sʰ a n ² ¹
襯	t͡sʰ i n ² ¹
襲	s i p̚ ⁴
襲擊	s i p̚ ⁴ ⁻ ³ ² k i ɪ k̚ ³ ²
襻	pʰ a n ² ¹
襾	a ² ¹
襾	h a ² ¹
西	s a i ⁴ ⁴
西	s e ⁴ ⁴
西	s i ⁴ ⁴
西乃山	s e ⁴ ⁴ ⁻ ³ ³ n ã i ⁴ ¹ ⁻ ⁴ ⁴ s a n ⁴ ⁴
西乃山	s e ⁴ ⁴ ⁻ ³ ³ n ã i ⁴ ¹ ⁻ ⁴ ⁴ s u ã ⁴ ⁴
西亞	s a i ⁴ ⁴ ⁻ ³ ³ a ⁴ ⁴
西人	s e ⁴ ⁴ ⁻ ³ ³ z i n ² ³
西元	s e ⁴ ⁴ ⁻ ³ ³ ɡ u a n ² ³
西勢	s a i ⁴ ⁴ ⁻ ³ ³ s e ² ¹
西勢	s a i ⁴ ⁴ ⁻ ³ ³ s i ² ¹
西北	s a i ⁴ ⁴ ⁻ ³ ³ p a k̚ ³ ²
西北	s e ⁴ ⁴ ⁻ ³ ³ p a k̚ ³ ²
西北雨	s a i ⁴ ⁴ ⁻ ³ ³ p a k̚ ³ ² ⁻ ⁴ h ɔ ³ ³
西區	s a i ⁴ ⁴ ⁻ ³ ³ kʰ u ⁴ ⁴
西半球	s a i ⁴ ⁴ ⁻ ³ ³ p u ã ² ¹ ⁻ ⁴ ¹ k i u ² ³
西半球	s e ⁴ ⁴ ⁻ ³ ³ p u ã ² ¹ ⁻ ⁴ ¹ k i u ² ³
西南	s a i ⁴ ⁴ ⁻ ³ ³ l a m ² ³
西南	s e ⁴ ⁴ ⁻ ³ ³ l a m ² ³
西域	s e ⁴ ⁴ ⁻ ³ ³ h i ɪ k̚ ⁴
西夏	s e ⁴ ⁴ ⁻ ³ ³ h a ³ ³
西天	s e ⁴ ⁴ ⁻ ³ ³ tʰ i ɛ n ⁴ ⁴
西奈山	s e ⁴ ⁴ ⁻ ³ ³ n ã i ³ ³ ⁻ ² ¹ s u ã ⁴ ⁴
西子	s e ⁴ ⁴ ⁻ ³ ³ t͡s u ⁴ ¹
西字頭	s e ⁴ ⁴ ⁻ ³ ³ z i ³ ³ ⁻ ² ¹ tʰ a u ² ³
西安	s e ⁴ ⁴ ⁻ ³ ³ a n ⁴ ⁴
西寧	s e ⁴ ⁴ ⁻ ³ ³ l i ɪ ŋ ² ³
西屯	s a i ⁴ ⁴ ⁻ ³ ³ t u n ³ ³
西岸	s a i ⁴ ⁴ ⁻ ³ ³ h u ã ³ ³
西嶼	s a i ⁴ ⁴ ⁻ ³ ³ s u ³ ³
西式	s e ⁴ ⁴ ⁻ ³ ³ s i ɪ k̚ ³ ²
西征	s e ⁴ ⁴ ⁻ ³ ³ t͡s i ɪ ŋ ⁴ ⁴
西德	s e ⁴ ⁴ ⁻ ³ ³ t i ɪ k̚ ³ ²
西新	s e ⁴ ⁴ ⁻ ³ ³ s i n ⁴ ⁴
西方	s e ⁴ ⁴ ⁻ ³ ³ h ɔ ŋ ⁴ ⁴
西方人	s e ⁴ ⁴ ⁻ ³ ³ h ɔ ŋ ⁴ ⁴ ⁻ ³ ³ l a ŋ ² ³
西施	s a i ⁴ ⁴ ⁻ ³ ³ s i ⁴ ⁴
西施	s e ⁴ ⁴ ⁻ ³ ³ s i ⁴ ⁴
西曆	s e ⁴ ⁴ ⁻ ³ ³ l i ɪ k̚ ⁴
西服	s e ⁴ ⁴ ⁻ ³ ³ h ɔ k̚ ⁴
西歐	s e ⁴ ⁴ ⁻ ³ ³ a u ⁴ ⁴
西洋	s a i ⁴ ⁴ ⁻ ³ ³ i ũ ² ³
西洋	s e ⁴ ⁴ ⁻ ³ ³ i ũ ² ³
西洋人	s e ⁴ ⁴ ⁻ ³ ³ i ũ ² ³ ⁻ ³ ³ l a ŋ ² ³
西海岸	s e ⁴ ⁴ ⁻ ³ ³ h a i ⁴ ¹ ⁻ ⁴ ⁴ h u ã ³ ³
西港	s a i ⁴ ⁴ ⁻ ³ ³ k a ŋ ⁴ ¹
西湖	s e ⁴ ⁴ ⁻ ³ ³ ɔ ² ³
西滿	s e ⁴ ⁴ ⁻ ³ ³ b u a n ⁴ ¹
西照日	s a i ⁴ ⁴ ⁻ ³ ³ t͡s i ɤ ² ¹ ⁻ ⁴ ¹ z i t̚ ⁴
西爿	s a i ⁴ ⁴ ⁻ ³ ³ p i ɪ ŋ ² ³
西王母	s e ⁴ ⁴ ⁻ ³ ³ ɔ ŋ ² ³ ⁻ ³ ³ b u ⁴ ¹
西班牙	s e ⁴ ⁴ ⁻ ³ ³ p a n ⁴ ⁴ ⁻ ³ ³ ɡ a ² ³
西班牙人	s e ⁴ ⁴ ⁻ ³ ³ p a n ⁴ ⁴ ⁻ ³ ³ ɡ a ² ³ ⁻ ³ ³ l a ŋ ² ³
西班牙文	s e ⁴ ⁴ ⁻ ³ ³ p a n ⁴ ⁴ ⁻ ³ ³ ɡ a ² ³ ⁻ ³ ³ b u n ² ³
西班牙語	s e ⁴ ⁴ ⁻ ³ ³ p a n ⁴ ⁴ ⁻ ³ ³ ɡ a ² ³ ⁻ ³ ³ ɡ i ⁴ ¹
西瓜	s a i ⁴ ⁴ ⁻ ³ ³ k u e ⁴ ⁴
西瓜	s i ⁴ ⁴ ⁻ ³ ³ k u e ⁴ ⁴
西瓜倚大爿	s i ⁴ ⁴ ⁻ ³ ³ k u e ⁴ ⁴ u a ⁴ ¹ ⁻ ⁴ ⁴ t u a ³ ³ ⁻ ² ¹ p i ɪ ŋ ² ³
西番蓮	s e ⁴ ⁴ ⁻ ³ ³ h u a n ⁴ ⁴ ⁻ ³ ³ l i ɛ n ² ³
西番雅	s e ⁴ ⁴ ⁻ ³ ³ h u a n ⁴ ⁴ ⁻ ³ ³ ŋ ã ⁴ ¹
西番雅書	s e ⁴ ⁴ ⁻ ³ ³ h u a n ⁴ ⁴ ⁻ ³ ³ ŋ ã ⁴ ¹
西福	s a i ⁴ ⁴ ⁻ ³ ³ h ɔ k̚ ³ ²
西米羅	s e ⁴ ⁴ ⁻ ³ ³ b i ⁴ ¹ ⁻ ⁴ ⁴ l ɔ ʔ ³ ²
西米羅	s e ⁴ ⁴ ⁻ ³ ³ b i ⁴ ¹ ⁻ ⁴ ⁴ l ɤ ʔ ³ ²
西米羅	s e ⁴ ⁴ ⁻ ³ ³ b i ⁴ ¹ ⁻ ⁴ ⁴ l ɤ ʔ ⁴
西米羅	s i ⁴ ⁴ ⁻ ³ ³ b i ⁴ ¹ ⁻ ⁴ ⁴ l ɤ ʔ ³ ²
西藏	s e ⁴ ⁴ ⁻ ³ ³ t͡s ɔ ŋ ³ ³
西藥	s e ⁴ ⁴ ⁻ ³ ³ i ɤ ʔ ⁴
西螺	s a i ⁴ ⁴ ⁻ ³ ³ l e ² ³
西螺柑	s a i ⁴ ⁴ ⁻ ³ ³ l e ² ³ ⁻ ³ ³ k a m ⁴ ⁴
西裝	s e ⁴ ⁴ ⁻ ³ ³ t͡s ɔ ŋ ⁴ ⁴
西谷米	s a i ⁴ ⁴ ⁻ ³ ³ k ɔ k̚ ³ ² ⁻ ⁴ b i ⁴ ¹
西谷米	s e ⁴ ⁴ ⁻ ³ ³ k ɔ ⁴ ⁴ ⁻ ³ ³ b i ⁴ ¹
西貢	s e ⁴ ⁴ ⁻ ³ ³ k ɔ ŋ ² ¹
西進	s e ⁴ ⁴ ⁻ ³ ³ t͡s i n ² ¹
西遊記	s e ⁴ ⁴ ⁻ ³ ³ i u ² ³ ⁻ ³ ³ k i ² ¹
西部	s a i ⁴ ⁴ ⁻ ³ ³ p ɔ ³ ³
西部	s e ⁴ ⁴ ⁻ ³ ³ p ɔ ³ ³
西醫	s e ⁴ ⁴ ⁻ ³ ³ i ⁴ ⁴
西門	s e ⁴ ⁴ ⁻ ³ ³ b u n ² ³
西門	s e ⁴ ⁴ ⁻ ³ ³ m ŋ̍ ² ³
西門町	s e ⁴ ⁴ ⁻ ³ ³ m ŋ̍ ² ³ ⁻ ³ ³ t i ɪ ŋ ⁴ ⁴
西風	s a i ⁴ ⁴ ⁻ ³ ³ h ɔ ŋ ⁴ ⁴
西餐	s e ⁴ ⁴ ⁻ ³ ³ t͡sʰ a n ⁴ ⁴
西餐廳	s e ⁴ ⁴ ⁻ ³ ³ t͡sʰ a n ⁴ ⁴ ⁻ ³ ³ tʰ i ã ⁴ ⁴
西點	s e ⁴ ⁴ ⁻ ³ ³ t i a m ⁴ ¹
要	i a u ² ¹
要	i a u ⁴ ⁴
要事	i a u ² ¹ ⁻ ⁴ ¹ s u ³ ³
要人	i a u ² ¹ ⁻ ⁴ ¹ z i n ² ³
要件	i a u ² ¹ ⁻ ⁴ ¹ k i ã ³ ³
要務	i a u ⁴ ¹ ⁻ ⁴ ⁴ b u ³ ³
要員	i a u ² ¹ ⁻ ⁴ ¹ u a n ² ³
要地	i a u ² ¹ ⁻ ⁴ ¹ t e ³ ³
要塞	i a u ² ¹ ⁻ ⁴ ¹ s a i ² ¹
要害	i a u ² ¹ ⁻ ⁴ ¹ h a i ³ ³
要旨	i a u ² ¹ ⁻ ⁴ ¹ t͡s i ⁴ ¹
要求	i a u ⁴ ⁴ ⁻ ³ ³ k i u ² ³
要犯	i a u ² ¹ ⁻ ⁴ ¹ h u a n ³ ³
要素	i a u ² ¹ ⁻ ⁴ ¹ s ɔ ² ¹
要緊	i a u ² ¹ ⁻ ⁴ ¹ k i n ⁴ ¹
要職	i a u ² ¹ ⁻ ⁴ ¹ t͡s i t̚ ³ ²
要脅	i a u ⁴ ⁴ ⁻ ³ ³ h i a p̚ ⁴
要衝	i a u ² ¹ ⁻ ⁴ ¹ t͡sʰ i ɔ ŋ ⁴ ⁴
要角	i a u ² ¹ ⁻ ⁴ ¹ k a k̚ ³ ²
要訣	i a u ² ¹ ⁻ ⁴ ¹ k u a t̚ ³ ²
要道	i a u ² ¹ ⁻ ⁴ ¹ t ɤ ³ ³
要領	i a u ² ¹ ⁻ ⁴ ¹ l i ɪ ŋ ⁴ ¹
要點	i a u ² ¹ ⁻ ⁴ ¹ t i a m ⁴ ¹
覃	tʰ a m ² ³
覆	h ɔ k̚ ³ ²
覆	pʰ a k̚ ³ ²
覆模	pʰ a k̚ ³ ² ⁻ ⁴ b ɔ ² ³
覆沒	h ɔ k̚ ³ ² ⁻ ⁴ b u t̚ ⁴
覆菜	pʰ a k̚ ³ ² ⁻ ⁴ t͡sʰ a i ² ¹
覆轍	h ɔ k̚ ⁴ ⁻ ³ ² t i ɛ t̚ ⁴
見	h i ɛ n ³ ³
見	k i ɛ n ² ¹
見	k ĩ ² ¹
見報	k ĩ ² ¹ ⁻ ⁴ ¹ p ɤ ² ¹
見外	k i ɛ n ² ¹ ⁻ ⁴ ¹ ɡ u a ³ ³
見怪	k i ɛ n ² ¹ ⁻ ⁴ ¹ k u a i ² ¹
見憐	k i ɛ n ² ¹ ⁻ ⁴ ¹ l i ɛ n ² ³
見擺	k i ɛ n ² ¹ ⁻ ⁴ ¹ p a i ⁴ ¹
見效	k i ɛ n ² ¹ ⁻ ⁴ ¹ h a u ³ ³
見本	k i ɛ n ² ¹ ⁻ ⁴ ¹ p u n ⁴ ¹
見機	k i ɛ n ² ¹ ⁻ ⁴ ¹ k i ⁴ ⁴
見死不救	k i ɛ n ² ¹ ⁻ ⁴ ¹ s i ⁴ ¹ p u t̚ ³ ² ⁻ ⁴ k i u ² ¹
見死不救	k i ɛ n ² ¹ ⁻ ⁴ ¹ s u ⁴ ¹ p u t̚ ³ ² ⁻ ⁴ k i u ² ¹
見笑	k i ɛ n ² ¹ ⁻ ⁴ ¹ s i a u ² ¹
見笑花	k i ɛ n ² ¹ ⁻ ⁴ ¹ s i a u ² ¹ ⁻ ⁴ ¹ h u e ⁴ ⁴
見習	k i ɛ n ² ¹ ⁻ ⁴ ¹ s i p̚ ⁴
見聞	k i ɛ n ² ¹ ⁻ ⁴ ¹ b u n ² ³
見若	k i ɛ n ² ¹ ⁻ ⁴ ¹ n ã ³ ³
見解	k i ɛ n ² ¹ ⁻ ⁴ ¹ k a i ⁴ ¹
見諒	k i ɛ n ² ¹ ⁻ ⁴ ¹ l i ɔ ŋ ³ ³
見證	k i ɛ n ² ¹ ⁻ ⁴ ¹ t͡s i ɪ ŋ ² ¹
見識	k i ɛ n ² ¹ ⁻ ⁴ ¹ s i ɪ k̚ ³ ²
見錢死	k ĩ ² ¹ ⁻ ⁴ ¹ t͡s ĩ ² ³ ⁻ ³ ³ s i ⁴ ¹
見長	k i ɛ n ² ¹ ⁻ ⁴ ¹ t i ɔ ŋ ² ³
見面	k ĩ ² ¹ ⁻ ⁴ ¹ b i n ³ ³
見面禮	k ĩ ² ¹ ⁻ ⁴ ¹ b i n ³ ³ ⁻ ² ¹ l e ⁴ ¹
見鬼	k ĩ ² ¹ ⁻ ⁴ ¹ k u i ⁴ ¹
規	k u i ⁴ ⁴
規世人	k u i ⁴ ⁴ ⁻ ³ ³ s i ² ¹ ⁻ ⁴ ¹ l a ŋ ² ³
規則	k u i ⁴ ⁴ ⁻ ³ ³ t͡s i ɪ k̚ ³ ²
規劃	k u i ⁴ ⁴ ⁻ ³ ³ u e ³ ³
規圇	k u i ⁴ ⁴ ⁻ ³ ³ n ŋ̍ ² ³
規定	k u i ⁴ ⁴ ⁻ ³ ³ t i ɪ ŋ ³ ³
規家伙仔	k u i ⁴ ⁴ ⁻ ³ ³ k e ⁴ ⁴ ⁻ ³ ³ h e ⁴ ¹ ⁻ ⁴ ⁴ a ⁴ ¹
規家伙仔	k u i ⁴ ⁴ ⁻ ³ ³ k e ⁴ ⁴ ⁻ ³ ³ h u e ⁴ ¹ ⁻ ⁴ ⁴ a ⁴ ¹
規工	k u i ⁴ ⁴ ⁻ ³ ³ k a ŋ ⁴ ⁴
規年	k u i ⁴ ⁴ ⁻ ³ ³ n ĩ ² ³
規年通天	k u i ⁴ ⁴ ⁻ ³ ³ n ĩ ² ³ ⁻ ³ ³ tʰ a ŋ ² ¹ ⁻ ⁴ ¹ tʰ ĩ ⁴ ⁴
規律	k u i ⁴ ⁴ ⁻ ³ ³ l u t̚ ⁴
規日	k u i ⁴ ⁴ ⁻ ³ ³ z i t̚ ⁴
規暝	k u i ⁴ ⁴ ⁻ ³ ³ m ẽ ² ³
規格	k u i ⁴ ⁴ ⁻ ³ ³ k e ʔ ³ ²
規模	k u i ⁴ ⁴ ⁻ ³ ³ b ɔ ² ³
規氣	k u i ⁴ ⁴ ⁻ ³ ³ kʰ i ² ¹
規矩	k u i ⁴ ⁴ ⁻ ³ ³ k i ⁴ ¹
規程	k u i ⁴ ⁴ ⁻ ³ ³ tʰ i ɪ ŋ ² ³
規章	k u i ⁴ ⁴ ⁻ ³ ³ t͡s i ɔ ŋ ⁴ ⁴
規範	k u i ⁴ ⁴ ⁻ ³ ³ h u a n ³ ³
規腹火	k u i ⁴ ⁴ ⁻ ³ ³ p a k̚ ³ ² ⁻ ⁴ h u e ⁴ ¹
規身軀	k u i ⁴ ⁴ ⁻ ³ ³ s i n ⁴ ⁴ ⁻ ³ ³ kʰ u ⁴ ⁴
規避	k u i ⁴ ⁴ ⁻ ³ ³ p i ³ ³
規那	k e ⁴ ⁴ ⁻ ³ ³ n ã ⁴ ¹
規那霜	k e ⁴ ⁴ ⁻ ³ ³ n ã ⁴ ¹ ⁻ ⁴ ⁴ s ŋ̍ ⁴ ⁴
規𡳞脬火	k u i ⁴ ⁴ ⁻ ³ ³ l a n ³ ³ ⁻ ² ¹ pʰ a ⁴ ⁴ ⁻ ³ ³ h u e ⁴ ¹
覓	b a i ³ ³
覓	b a ³ ³
覓	b a ʔ ⁴
覓	b i ʔ ³ ²
覓	m ã i ³ ³
