@	a̠ t̚ t o̞
半殺し	h ã̠ ŋ ɡ o̞ ɾ o̞ ɕ i
ハンコン	h ã̠ ŋ k õ̞ ɴ
瘢痕	h ã̠ ŋ k õ̞ ɴ
煩瑣	h ã̠ ɰ̃ s a̠
犯罪	h ã̠ n d͡z a̠ i
万歳	b ã̠ n d͡z a̠ i
犯罪学	h ã̠ n d͡z a̠ i ɡ a̠ k ɯ̟
犯罪学者	h ã̠ n d͡z a̠ i ɡ a̠ k ɯ̟̊ ɕ a̠
犯罪行為	h ã̠ n d͡z a̠ i k o̞ː i
犯罪者	h ã̠ n d͡z a̠ i ɕ a̠
犯罪心理	h ã̠ n d͡z a̠ i ɕ ĩ n̺ ɾʲ i
犯罪心理学	h ã̠ n d͡z a̠ i ɕ ĩ n̺ ɾʲ i ɡ a̠ k ɯ̟
犯罪捜査	h ã̠ n d͡z a̠ i s o̞ː s a̠
犯罪的	h ã̠ n d͡z a̠ i t e̞ kʲ i
犯罪人	h ã̠ n d͡z a̠ i ɲ̟ ĩ ɴ
半割	h ã̠ n d͡z a̠ kʲ i
反砂堆	h ã̠ ɰ̃ s a̠ t a̠ i
煩雑	h ã̠ n d͡z a̠ t͡s ɨ
煩瑣哲学	h ã̠ ɰ̃ s a̠ t e̞ t͡s ɨ ɡ a̠ k ɯ̟
ハンサム	h ã̠ ɰ̃ s a̠ m ɯ̟
晩餐	b ã̠ ɰ̃ s ã̠ ɴ
晩産化	b ã̠ ɰ̃ s ã̠ ŋ k a̠
晩餐会	b ã̠ ɰ̃ s ã̠ ŋ k a̠ i
藩士	h ã̠ ɰ̃ ɕ i
判事	h ã̠ ɲ̟ d͡ʑ i
晩市	b ã̠ ɰ̃ ɕ i
万事	b ã̠ ɲ̟ d͡ʑ i
バンシー	b ã̠ ɰ̃ ɕ iː
パンジー	p ã̠ ɲ̟ d͡ʑ iː
半時間	h ã̠ ɲ̟ d͡ʑ i k ã̠ ɴ
版式	h ã̠ ɰ̃ ɕ i̥ kʲ i
半自動	h ã̠ ɲ̟ d͡ʑ i d o̞ː
判じ物	h ã̠ ɲ̟ d͡ʑ i m o̞ n o̞
反射	h ã̠ ɰ̃ ɕ a̠
蕃社	b ã̠ ɰ̃ ɕ a̠
反射角	h ã̠ ɰ̃ ɕ a̠ k a̠ k ɯ̟
反射鏡	h ã̠ ɰ̃ ɕ a̠ kʲ o̞ː
晩酌	b ã̠ ɰ̃ ɕ a̠ k ɯ̟
磐石	b ã̠ ɲ̟ d͡ʑ a̠ k ɯ̟
反射材	h ã̠ ɰ̃ ɕ a̠ z a̠ i
反射的	h ã̠ ɰ̃ ɕ a̠ t e̞ kʲ i
反射板	h ã̠ ɰ̃ ɕ a̠ b ã̠ ɴ
パンジャブ	p ã̠ ɲ̟ d͡ʑ a̠ b ɯ̟
パンジャブ語	p ã̠ ɲ̟ d͡ʑ a̠ b ɯ̟ ɡ o̞
反射率	h ã̠ ɰ̃ ɕ a̠ ɾʲ i t͡s ɨ
藩主	h ã̠ ɰ̃ ɕ ɨ
反重力	h ã̠ ɲ̟ d͡ʑ ɨː ɾʲ o̞ k ɯ̟
半熟	h ã̠ ɲ̟ d͡ʑ ɨ k ɯ̟
はんじゅくたまご	h ã̠ ɲ̟ d͡ʑ ɨ k ɯ̟ t a̠ m a̠ ɡ o̞
板書	b ã̠ ɰ̃ ɕ o̞
番所	b ã̠ ɰ̃ ɕ o̞
蕃藷	b ã̠ ɰ̃ ɕ o̞
蕃女	b ã̠ ɲ̟ d͡ʑ o̞
反照	h ã̠ ɰ̃ ɕ o̞ː
万象	b ã̠ ɰ̃ ɕ o̞ː
晩餉	b ã̠ ɰ̃ ɕ o̞ː
繁盛	h ã̠ ɲ̟ d͡ʑ o̞ː
万丈	b ã̠ ɲ̟ d͡ʑ o̞ː
万状	b ã̠ ɲ̟ d͡ʑ o̞ː
盤上	b ã̠ ɲ̟ d͡ʑ o̞ː
蕃情	b ã̠ ɲ̟ d͡ʑ o̞ː
半鐘蔓	h ã̠ ɰ̃ ɕ o̞ː z ɨ ɾ ɯ̟
バンジョー	b ã̠ ɲ̟ d͡ʑ o̞ː
繁殖	h ã̠ ɰ̃ ɕ o̞ k ɯ̟
半植民地	h ã̠ ɰ̃ ɕ o̞ k ɯ̟ mʲ ĩ ɲ̟ t͡ɕ i
判じる	h ã̠ ɲ̟ d͡ʑ i ɾ ɯ̟
半身	h ã̠ ɰ̃ ɕ ĩ ɴ
反心	h ã̠ ɰ̃ ɕ ĩ ɴ
反臣	h ã̠ ɰ̃ ɕ ĩ ɴ
阪神	h ã̠ ɰ̃ ɕ ĩ ɴ
蕃人	b ã̠ ɲ̟ d͡ʑ ĩ ɴ
蛮人	b ã̠ ɲ̟ d͡ʑ ĩ ɴ
半信半疑	h ã̠ ɰ̃ ɕ ĩ ɰ̃ h ã̠ ŋʲ ɡʲ i
汎心論	h ã̠ ɰ̃ ɕ ĩ n̺ ɾ õ̞ ɴ
汎神論	h ã̠ ɰ̃ ɕ ĩ n̺ ɾ õ̞ ɴ
半数	h ã̠ ɰ̃ s ɨː
反芻	h ã̠ ɰ̃ s ɨː
反芻動物	h ã̠ ɰ̃ s ɨː d o̞ː b ɯ̟ t͡s ɨ
パン助	p ã̠ ɰ̃ s ɨ k e̞
ハンスト	h ã̠ ɰ̃ s ɨ̥ t o̞
パンスト	p ã̠ ɰ̃ s ɨ̥ t o̞
パンズラ	p ã̠ n d͡z ɨ ɾ a̠
バンスリ	b ã̠ ɰ̃ s ɨ ɾʲ i
反する	h ã̠ ɰ̃ s ɨ ɾ ɯ̟
判ずる	h ã̠ n d͡z ɨ ɾ ɯ̟
半生	h ã̠ ɰ̃ s e̞ː
反省	h ã̠ ɰ̃ s e̞ː
万世	b ã̠ ɰ̃ s e̞ː
伴星	b ã̠ ɰ̃ s e̞ː
蕃政	b ã̠ ɰ̃ s e̞ː
反政府	h ã̠ ɰ̃ s e̞ː ɸ ɯ̟
万世不易	b ã̠ ɰ̃ s e̞ː ɸ ɯ̟ e̞ kʲ i
反切	h ã̠ ɰ̃ s e̞ t͡s ɨ
反戦	h ã̠ ɰ̃ s ẽ̞ ɴ
帆船	h ã̠ ɰ̃ s ẽ̞ ɴ
判然	h ã̠ n d͡z ẽ̞ ɴ
番宣	b ã̠ ɰ̃ s ẽ̞ ɴ
万全	b ã̠ n d͡z ẽ̞ ɴ
ハンセン病	h ã̠ ɰ̃ s ẽ̞ m bʲ o̞ː
反訴	h ã̠ ɰ̃ s o̞
帆走	h ã̠ ɰ̃ s o̞ː
搬送	h ã̠ ɰ̃ s o̞ː
伴奏	b ã̠ ɰ̃ s o̞ː
絆創膏	b ã̠ ɰ̃ s o̞ː k o̞ː
反側	h ã̠ ɰ̃ s o̞ k ɯ̟
反則	h ã̠ ɰ̃ s o̞ k ɯ̟
蕃息	h ã̠ ɰ̃ s o̞ k ɯ̟
販促	h ã̠ ɰ̃ s o̞ k ɯ̟
反賊	h ã̠ n d͡z o̞ k ɯ̟
蕃俗	b ã̠ n d͡z o̞ k ɯ̟
蕃族	b ã̠ n d͡z o̞ k ɯ̟
蛮族	b ã̠ n d͡z o̞ k ɯ̟
反則金	h ã̠ ɰ̃ s o̞ k ɯ̟ kʲ ĩ ɴ
はんそで	h ã̠ ɰ̃ s o̞ d e̞
パンソリ	p ã̠ ɰ̃ s o̞ ɾʲ i
半田	h ã̠ n d a̠
パンダ	p ã̠ n d a̠
万朶	b ã̠ n d a̠
ハンター	h ã̠ n t a̠ː
反対	h ã̠ n t a̠ i
阪大	h ã̠ n d a̠ i
飯台	h ã̠ n d a̠ i
反対語	h ã̠ n t a̠ i ɡ o̞
繁体字	h ã̠ n t a̠ i ʑ i
反体制	h ã̠ n t a̠ i s e̞ː
万代不易	b ã̠ n d a̠ i ɸ ɯ̟ e̞ kʲ i
ハンタウイルス	h ã̠ n t a̠ ɯ̟ i ɾ ɯ̟ s ɨ
半濁音	h ã̠ n d a̠ k ɯ̟ õ̞ ɴ
半濁点	h ã̠ n d a̠ k ɯ̟̊ t ẽ̞ ɴ
パンタグラフ	p ã̠ n t a̠ ɡ ɯ̟ ɾ a̠ ɸ ɯ̟
はんだごて	h ã̠ n d a̠ ɡ o̞ t e̞
はんだづけ	h ã̠ n d a̠ z ɨ k e̞
パンタロン	p ã̠ n t a̠ ɾ õ̞ ɴ
判断	h ã̠ n d ã̠ ɴ
判断力	h ã̠ n d ã̠ n̺ ɾʲ o̞ k ɯ̟
蕃地	b ã̠ ɲ̟ t͡ɕ i
パンチ	p ã̠ ɲ̟ t͡ɕ i
反知性主義	h ã̠ ɲ̟ t͡ɕ i̥ s e̞ː ɕ ɨ ɡʲ i
番茶	b ã̠ ɲ̟ t͡ɕ a̠
パンチャン	p ã̠ ɲ̟ t͡ɕ ã̠ ɴ
範疇	h ã̠ ɲ̟ t͡ɕ ɨː
班長	h ã̠ ɲ̟ t͡ɕ o̞ː
番長	b ã̠ ɲ̟ t͡ɕ o̞ː
半伝貰	b ã̠ ɲ̟ t͡ɕ õ̞ ɰ̃ s e̞
パンチラ	p ã̠ ɲ̟ t͡ɕ i ɾ a̠
パンチ力	p ã̠ ɲ̟ t͡ɕ i ɾʲ o̞ k ɯ̟
パンツ	p ã̠ n t͡s ɨ
番付	b ã̠ n d͡z ɨ k e̞
パンツスーツ	p ã̠ n t͡s ɨ s ɨː t͡s ɨ
はんで	h ã̠ n d e̞
ハンデ	h ã̠ n d e̞
パンティー	p ã̠ n tʲ iː
ハンディキャップ	h ã̠ n dʲ i kʲ a̠ p̚ p ɯ̟
バンディット	b ã̠ n dʲ i t̚ t o̞
判定	h ã̠ n t e̞ː
蕃丁	b ã̠ n t e̞ː
ハンデキャップ	h ã̠ n d e̞ kʲ a̠ p̚ p ɯ̟
パンデミック	p ã̠ n d e̞ mʲ i k̚ k ɯ̟
半纏	h ã̠ n t ẽ̞ ɴ
反転	h ã̠ n t ẽ̞ ɴ
飯店	h ã̠ n t ẽ̞ ɴ
バンテン	b ã̠ n t ẽ̞ ɴ
班田	h ã̠ n d ẽ̞ ɴ
盤纏	b ã̠ n t ẽ̞ ɴ
ハント	h ã̠ n t o̞
半途	h ã̠ n t o̞
反徒	h ã̠ n t o̞
版図	h ã̠ n t o̞
ハンド	h ã̠ n d o̞
バンド	b ã̠ n d o̞
パント	p ã̠ n t o̞
バンドゥ	b ã̠ n d ɯ̟
半島	h ã̠ n t o̞ː
反騰	h ã̠ n t o̞ː
反動	h ã̠ n d o̞ː
蟠桃	b ã̠ n t o̞ː
坂東	b ã̠ n d o̞ː
斑銅鉱	h ã̠ n d o̞ː k o̞ː
半島人	h ã̠ n t o̞ː ʑ ĩ ɴ
半導体	h ã̠ n d o̞ː t a̠ i
半透明	h ã̠ n t o̞ː m e̞ː
バンドエイド	b ã̠ n d o̞ e̞ i d o̞
パンドーラー	p ã̠ n d o̞ː ɾ a̠ː
判読	h ã̠ n d o̞ k ɯ̟
反時計回り	h ã̠ n t o̞ k e̞ː m a̠ β̞ a̠ ɾʲ i
半年	h ã̠ n t o̞ ɕ i
ハンドバッグ	h ã̠ n d o̞ b a̠ ɡ̚ ɡ̊ ɯ̟
ハンドブック	h ã̠ n d o̞ b ɯ̟ k̚ k ɯ̟
ハンドボール	h ã̠ n d o̞ b o̞ː ɾ ɯ̟
パントマイム	p ã̠ n t o̞ m a̠ i m ɯ̟
バンドマン	b ã̠ n d o̞ m ã̠ ɴ
パンドラ	p ã̠ n d o̞ ɾ a̠
ハンドル	h ã̠ n d o̞ ɾ ɯ̟
バンドル	b ã̠ n d o̞ ɾ ɯ̟
ハンドルネーム	h ã̠ n d o̞ ɾ ɯ̟ n e̞ː m ɯ̟
半ドン	h ã̠ n d õ̞ ɴ
バンドン	b ã̠ n d õ̞ ɴ
坂内	b ã̠ nː a̠ i
半泣き	h ã̠ nː a̠ kʲ i
半日	h ã̠ ɲ̟ː i t͡ɕ i
反日	h ã̠ ɲ̟ː i t͡ɕ i
般若	h ã̠ ɲ̟ː a̠
般若湯	h ã̠ ɲ̟ː a̠ t o̞ː
犯人	h ã̠ ɲ̟ː ĩ ɴ
万人	b ã̠ ɲ̟ː ĩ ɴ
半人前	h ã̠ ɲ̟ː ĩ mː a̠ e̞
万人向け	b ã̠ ɲ̟ː ĩ mː ɯ̟ k e̞
晚年	b ã̠ nː ẽ̞ ɴ
晩年	b ã̠ nː ẽ̞ ɴ
反応	h ã̠ nː o̞ː
飯能	h ã̠ nː o̞ː
万能	b ã̠ nː o̞ː
榛木	h ã̠ nː o̞ kʲ i
半端	h ã̠ m p a̠
ハンバーガー	h ã̠ m b a̠ː ɡ a̠ː
ハンバーグ	h ã̠ m b a̠ː ɡ ɯ̟
販売	h ã̠ m b a̠ i
バンパイア	b ã̠ m p a̠ i a̠
販売員	h ã̠ m b a̠ i ĩ ɴ
販売者	h ã̠ m b a̠ i ɕ a̠
販売店	h ã̠ m b a̠ i t ẽ̞ ɴ
パンパイプ	p ã̠ m p a̠ i p ɯ̟
万博	b ã̠ m p a̠ k ɯ̟
反発	h ã̠ m p a̠ t͡s ɨ
反発力	h ã̠ m p a̠ t͡s ɨ ɾʲ o̞ k ɯ̟
半端ない	h ã̠ m p a̠ n a̠ i
半々	h ã̠ ɰ̃ h ã̠ ɴ
ぱんぱん	p ã̠ m p ã̠ ɴ
パンパン	p ã̠ m p ã̠ ɴ
パンパンガ	p ã̠ m p ã̠ ŋ ɡ a̠
パンピー	p ã̠ m pʲ iː
半開き	h ã̠ m bʲ i ɾ a̠ kʲ i
蕃婦	b ã̠ m p ɯ̟
蕃布	b ã̠ m p ɯ̟
パンフ	p ã̠ ɰ̃ ɸ ɯ̟
帆布	h ã̠ m p ɯ̟
頒布	h ã̠ m p ɯ̟
パンプキン	p ã̠ m p ɯ̟̊ kʲ ĩ ɴ
反復	h ã̠ m p ɯ̟̊ k ɯ̟
パンプス	p ã̠ m p ɯ̟̊ s ɨ
反物質	h ã̠ m b ɯ̟ ɕː i̥ t͡s ɨ
万物	b ã̠ m b ɯ̟ t͡s ɨ
ハンブルク	h ã̠ m b ɯ̟ ɾ ɯ̟ k ɯ̟
パンフレット	p ã̠ ɰ̃ ɸ ɯ̟ ɾ e̞ t̚ t o̞
半分	h ã̠ m b ɯ̟̃ ɴ
反米	h ã̠ m b e̞ː
番兵	b ã̠ m p e̞ː
晩白柚	b ã̠ m p e̞ː j ɯ̟
半べそ	h ã̠ m b e̞ s o̞
判別	h ã̠ m b e̞ t͡s ɨ
半ヘル	h ã̠ ɰ̃ h e̞ ɾ ɯ̟
半母音	h ã̠ m b o̞ ĩ ɴ
繁忙	h ã̠ m b o̞ː
繁忙期	h ã̠ m b o̞ː kʲ i
版本	h ã̠ m p õ̞ ɴ
ハンマー	h ã̠ mː a̠ː
ハンマー投げ	h ã̠ mː a̠ː n a̠ ɡ e̞
パンマル	p ã̠ mː a̠ ɾ ɯ̟
斑猫	h ã̠ mʲː o̞ː
万民	b ã̠ mʲː ĩ ɴ
万民法	b ã̠ mʲː ĩ ɰ̃ h o̞ː
板門店	p ã̠ mː ɯ̟̃ ɲ̟ d͡ʑ o̞ m ɯ̟
半目	h ã̠ mː e̞
番目	b ã̠ mː e̞
判明	h ã̠ mː e̞ː
盤名	b ã̠ mː e̞ː
蕃名	b ã̠ mː e̞ː
半面	h ã̠ mː ẽ̞ ɴ
反面	h ã̠ mː ẽ̞ ɴ
盤面	b ã̠ mː ẽ̞ ɴ
繁茂	h ã̠ mː o̞
半盲	h ã̠ mː o̞ː
反毛	h ã̠ mː o̞ː
反問	h ã̠ mː õ̞ ɴ
煩悶	h ã̠ mː õ̞ ɴ
番屋	b ã̠ ɰ̃ j a̠
パンヤ	p ã̠ ɰ̃ j a̠
パン屋	p ã̠ ɰ̃ j a̠
パン屋さん	p ã̠ ɰ̃ j a̠ s ã̠ ɴ
万有	b ã̠ ɰ̃ j ɯ̟ː
反ユダヤ主義	h ã̠ ɰ̃ j ɯ̟ d a̠ j a̠ ɕ ɨ ɡʲ i
汎用	h ã̠ ɰ̃ j o̞ː
半裸	h ã̠ n̺ ɾ a̠
反落	h ã̠ n̺ ɾ a̠ k ɯ̟
反乱	h ã̠ n̺ ɾ ã̠ ɴ
氾濫	h ã̠ n̺ ɾ ã̠ ɴ
万里	b ã̠ n̺ ɾʲ i
韓流	h ã̠ n̺ ɾʲ ɨː
反粒子	h ã̠ n̺ ɾʲ ɨː ɕ i
伴侶	h ã̠ n̺ ɾʲ o̞
万緑	b ã̠ n̺ ɾʲ o̞ k ɯ̟
凡例	h ã̠ n̺ ɾ e̞ː
判例	h ã̠ n̺ ɾ e̞ː
範例	h ã̠ n̺ ɾ e̞ː
販路	h ã̠ n̺ ɾ o̞
反論	h ã̠ n̺ ɾ õ̞ ɴ
反ワクチン	h ã̠ ɰ̃ β̞ a̠ k ɯ̟ t͡ɕ ĩ ɴ
ひ	ç i
ヒ	ç i
丕	ç i
比	ç i
火	ç i
目翳	ç i
被	ç i
費	ç i
非	ç i
飛	ç i
び	bʲ i
ビ	bʲ i
弥	bʲ i
微	bʲ i
美	bʲ i
ぴ	pʲ i
ピ	pʲ i
悲哀	ç i a̠ i
日間	ç i a̠ i
干上がる	ç i a̠ ɡ a̠ ɾ ɯ̟
ピアス	pʲ i a̠ s ɨ̥
ひあそび	ç i a̠ s o̞ bʲ i
ひあたり	ç i a̠ t a̠ ɾʲ i
ピアニカ	pʲ i a̠ ɲ̟ i k a̠
ピアニスト	pʲ i a̠ ɲ̟ i s ɨ t o̞
ピアノ	pʲ i a̠ n o̞
ピアノフォルテ	pʲ i a̠ n o̞ ɸ o̞ ɾ ɯ̟ t e̞
ビアホール	bʲ i a̠ h o̞ː ɾ ɯ̟
ヒアリ	ç i a̠ ɾʲ i
ヒアリング	ç i a̠ ɾʲ ĩ ŋ ɡ ɯ̟
ヒアルロン酸	ç i a̠ ɾ ɯ̟ ɾ õ̞ ɰ̃ s ã̠ ɴ
ビアン	bʲ i ã̠ ɴ
ビー	bʲ iː
ピー	pʲ iː
PR	pʲ iː a̠ː ɾ ɯ̟
PHS	pʲ iː e̞ː t͡ɕ i e̞ s ɨ
BL	bʲ iː e̞ ɾ ɯ̟
B円	bʲ iː ẽ̞ ɴ
ビーカー	bʲ iː k a̠ː
B型	bʲ iː ɡ a̠ t a̠
贔屓	ç iː kʲ i
贔屓贔屓	ç iː kʲ i
肥育	ç i i k ɯ̟
ピーク	pʲ iː k ɯ̟
ビーグル	bʲ iː ɡ ɯ̟ ɾ ɯ̟
PK	pʲ iː k e̞ː
梭子魚	ç iː ɡ o̞ː o̞
ビーコン	bʲ iː k õ̞ ɴ
ビーサン	bʲ iː s ã̠ ɴ
PC	pʲ iː ɕ iː
BGM	bʲ iː ʑ iː e̞ m ɯ̟
ビーシー州	bʲ iː ɕ iː ɕ ɨː
美意識	bʲ iː ɕ i kʲ i
ビーズ	bʲ iː z ɨ
ピース	pʲ iː s ɨ
ビイズニッラー	bʲ i i z ɨ ɲ̟ i ɾ̚ ɾ a̠ː
B専	bʲ iː s ẽ̞ ɴ
ヒーター	ç iː t a̠ː
ピーター	pʲ iː t a̠ː
ビー玉	bʲ iː d a̠ m a̠
皮蛋	pʲ iː t ã̠ ɴ
ビーチ	bʲ iː t͡ɕ i
ピーチ	pʲ iː t͡ɕ i
ビーチク	bʲ iː t͡ɕ i k ɯ̟
ビーチタオル	bʲ iː t͡ɕ i t a̠ o̞ ɾ ɯ̟
ビーチバレー	bʲ iː t͡ɕ i b a̠ ɾ e̞ː
ビーツ	bʲ iː t͡s ɨ
ひいて	ç iː t e̞
PTA	pʲ iː tʲ iː e̞ː
BDSM	bʲ iː dʲ iː e̞ s ɨ e̞ m ɯ̟
PTP	pʲ iː tʲ iː pʲ iː
ビーティング	bʲ iː tʲ ĩ ŋ ɡ ɯ̟
秀でる	ç iː d e̞ ɾ ɯ̟
ビート	bʲ iː t o̞
ビート板	bʲ iː t o̞ b ã̠ ɴ
ビートボックス	bʲ iː t o̞ b o̞ k̚ k ɯ̟ s ɨ
ピードモント	pʲ iː d o̞ m õ̞ n t o̞
ビートルズ	bʲ iː t o̞ ɾ ɯ̟ z ɨ
ビードロ	bʲ iː d o̞ ɾ o̞
ビーナス	bʲ iː n a̠ s ɨ
ピーナッツ	pʲ iː n a̠ t̚ t͡s ɨ
ピーナツ	pʲ iː n a̠ t͡s ɨ
ビーバー	bʲ iː b a̠ː
PPAP	pʲ iː pʲ iː e̞ː pʲ iː
ビーフ	bʲ iː ɸ ɯ̟
ビーフステーキ	bʲ iː ɸ ɯ̟ s ɨ̥ t e̞ː kʲ i
ピーポー	pʲ iː p o̞ː
ピーマン	pʲ iː m ã̠ ɴ
B面	bʲ iː m ẽ̞ ɴ
ヒーラー	ç iː ɾ a̠ː
ピーラー	pʲ iː ɾ a̠ː
柊	ç iː ɾ a̠ ɡʲ i
ひいる	ç iː ɾ ɯ̟
ヒール	ç iː ɾ ɯ̟
ビール	bʲ iː ɾ ɯ̟
麦酒	b a̠ k ɯ̟̊ ɕ ɨ
ビールス	bʲ iː ɾ ɯ̟ s ɨ
緋色	ç iː ɾ o̞
ヒーロー	ç iː ɾ o̞ː
火打	ç i ɯ̟ t͡ɕ i
火打石	ç i ɯ̟ t͡ɕ i i ɕ i
悲運	ç i ɯ̟̃ ɴ
非運	ç i ɯ̟̃ ɴ
飛雲	ç i ɯ̟̃ ɴ
微運	bʲ i ɯ̟̃ ɴ
微雲	bʲ i ɯ̟̃ ɴ
ひぇ	ç e̞
ヒェ	ç e̞
びぇ	bʲ e̞
ビェ	bʲ e̞
ぴぇ	pʲ e̞
ピェ	pʲ e̞
ビェトナム	bʲ e̞ t o̞ n a̠ m ɯ̟
ビェンチャン	bʲ ẽ̞ ɲ̟ t͡ɕ ã̠ ɴ
扁炉	pʲ ẽ̞ n̺ ɾ o̞ː
稗	ç i e̞
冷え切る	ç i e̞ kʲ i ɾ ɯ̟
冷え込み	ç i e̞ k o̞ mʲ i
冷え込む	ç i e̞ k o̞ m ɯ̟
冷え性	ç i e̞ ɕ o̞ː
ひえっぴえ	ç i e̞ p̚ʲ pʲ i e̞
悲咽	ç i e̞ t͡s ɨ
ビエトナム	bʲ i e̞ t o̞ n a̠ m ɯ̟
ひえピタ	ç i e̞ pʲ i t a̠
冷える	ç i e̞ ɾ ɯ̟
ピエロ	pʲ i e̞ ɾ o̞
ヒエログリフ	ç i e̞ ɾ o̞ ɡ ɯ̟ ɾʲ i ɸ ɯ̟
ぴえん	pʲ i ẽ̞ ɴ
ビエンチャン	bʲ i ẽ̞ ɲ̟ t͡ɕ ã̠ ɴ
檜扇	ç i o̞ː ɡʲ i
檜扇貝	ç i o̞ː ɡʲ i ɡ a̠ i
ひおおい	ç i o̞ː i
ビオチン	bʲ i o̞ t͡ɕ ĩ ɴ
ビオラ	bʲ i o̞ ɾ a̠
琵音	bʲ i õ̞ ɴ
鼻音	bʲ i õ̞ ɴ
悲歌	ç i k a̠
砒化	ç i k a̠
美化	bʲ i k a̠
被害	ç i ɡ a̠ i
被害者	ç i ɡ a̠ i ɕ a̠
ぴかいち	pʲ i k a̠ i t͡ɕ i
控え室	ç i̥ k a̠ e̞ ɕ i̥ t͡s ɨ
ひかえめ	ç i k a̠ e̞ m e̞
日帰り	ç i ɡ a̠ e̞ ɾʲ i
ひかえる	ç i̥ k a̠ e̞ ɾ ɯ̟
非科学的	ç i k a̠ ɡ a̠ k ɯ̟ t e̞ kʲ i
膕	ç i̥ k a̠ ɡ a̠ mʲ i
火かき棒	ç i k a̠ kʲ i b o̞ː
比較	ç i̥ k a̠ k ɯ̟
皮革	ç i̥ k a̠ k ɯ̟
非核	ç i k a̠ k ɯ̟
美学	bʲ i ɡ a̠ k ɯ̟
非核化	ç i k a̠ k ɯ̟ k a̠
比較言語学	ç i k a̠ k ɯ̟ ɡ ẽ̞ ŋ ɡ o̞ ɡ a̠ k ɯ̟
比較言語学者	ç i k a̠ k ɯ̟ ɡ ẽ̞ ŋ ɡ o̞ ɡ a̠ k ɯ̟̊ ɕ a̠
比較的	ç i k a̠ k ɯ̟ t e̞ kʲ i
比較文学	ç i k a̠ k ɯ̟ b ɯ̟̃ ŋ ɡ a̠ k ɯ̟
日影	ç i k a̠ ɡ e̞
日陰	ç i k a̠ ɡ e̞
美化語	bʲ i k a̠ ɡ o̞
日笠	ç i k a̠ s a̠
日傘	ç i ɡ a̠ s a̠
吾妻	a̠ ɡ a̠ t͡s ɨ m a̠
東	ç i ɡ a̠ ɕ i
東かがわ	ç i ɡ a̠ ɕ i k a̠ ɡ a̠ β̞ a̠
東側	ç i ɡ a̠ ɕ i ɡ a̠ β̞ a̠
ひがしくに	ç i ɡ a̠ ɕ i k ɯ̟ ɲ̟ i
東村山	ç i ɡ a̠ ɕ i m ɯ̟ ɾ a̠ j a̠ m a̠
被加数	ç i k a̠ s ɨː
ピカソ	pʲ i k a̠ s o̞
ひがた	ç i ɡ a̠ t a̠
ピカチュウ	pʲ i k a̠ t͡ɕ ɨː
ぴかぴか	pʲ i k a̠ pʲ i k a̠
ひがら	ç i ɡ a̠ ɾ a̠
日雀	ç i ɡ a̠ ɾ a̠
干乾びる	ç i̥ k a̠ ɾ a̠ bʲ i ɾ ɯ̟
光	ç i̥ k a̠ ɾʲ i
光梨	ç i k a̠ ɾʲ i
光璃	ç i k a̠ ɾʲ i
光莉	ç i k a̠ ɾʲ i
光り輝く	ç i̥ k a̠ ɾʲ i k a̠ ɡ a̠ j a̠ k ɯ̟
光苔	ç i k a̠ ɾʲ i ɡ o̞ k e̞
光造形法	ç i k a̠ ɾʲ i z o̞ː k e̞ː h o̞ː
光通信	ç i k a̠ ɾʲ i t͡s ɨː ɕ ĩ ɴ
光る	ç i k a̠ ɾ ɯ̟
光瑠	ç i k a̠ ɾ ɯ̟
日佳瑠	ç i k a̠ ɾ ɯ̟
引かれる	ç i k a̠ ɾ e̞ ɾ ɯ̟
卑官	ç i k ã̠ ɴ
悲観	ç i̥ k ã̠ ɴ
彼岸	ç i ɡ ã̠ ɴ
悲願	ç i ɡ ã̠ ɴ
ビガン	bʲ i ɡ ã̠ ɴ
美顔	bʲ i ɡ ã̠ ɴ
悲観主義	ç i k ã̠ ɰ̃ ɕ ɨ ɡʲ i
悲観主義者	ç i k ã̠ ɰ̃ ɕ ɨ ɡʲ i ɕ a̠
悲観的	ç i k ã̠ n t e̞ kʲ i
彼岸花	ç i ɡ ã̠ m b a̠ n a̠
悲観論者	ç i k ã̠ n̺ ɾ õ̞ ɰ̃ ɕ a̠
匹	ç i kʲ i
引き	ç i̥ kʲ i
悲喜	ç i kʲ i
疋	ç i kʲ i
誹毀	ç i kʲ i
秘儀	ç i ɡʲ i
秘技	ç i ɡʲ i
美姫	bʲ i kʲ i
引き合い	ç i kʲ i a̠ i
引き上げる	ç i̥ kʲ i a̠ ɡ e̞ ɾ ɯ̟
ひきいる	ç i kʲ i i ɾ ɯ̟
引き受ける	ç i kʲ i ɯ̟ k e̞ ɾ ɯ̟
引き移る	ç i kʲ i ɯ̟ t͡s ɨ ɾ ɯ̟
引き起こす	ç i̥ kʲ i o̞ k o̞ s ɨ
引き返す	ç i̥ kʲ i k a̠ e̞ s ɨ
蟇蛙	ç i̥ kʲ i ɡ a̠ e̞ ɾ ɯ̟
引き掻く	ç i kʲ i k a̠ k ɯ̟
ひきがたり	ç i kʲ i ɡ a̠ t a̠ ɾʲ i
引き金	ç i kʲ i ɡ a̠ n e̞
微気候	bʲ i kʲ i k o̞ː
弾きこなす	ç i kʲ i k o̞ n a̠ s ɨ
悲喜こもごも	ç i kʲ i k o̞ m o̞ ɡ o̞ m o̞
