Ada	aː t a
tryggja	tʰ r ɪ cː a
tryggur	tʰ r ɪ kː ʏ r
tryggð	tʰ r ɪ ɣ ð
tryllingur	tʰ r ɪ t l i ŋ k ʏ r
trymbill	tʰ r ɪ m p ɪ t l
tryppanál	tʰ r ɪ h p a n a uː l
tré	tʰ r j ɛː
tréblásturshljóðfæri	tʰ r j ɛː p l a u s t ʏ r̥ s l̥ j o u ð f a iː r ɪ
trélitur	tʰ r j ɛː l ɪː t ʏ r
trésmiðja	tʰ r j ɛː s m ɪ ð j a
trésmiður	tʰ r j ɛː s m ɪː ð ʏ r
trésmíði	tʰ r j ɛː s m iː ð ɪ
tréspíri	tʰ r j ɛː s p iː r ɪ
tríóla	tʰ r iː j o uː l a
tríósónata	tʰ r iː j o uː s o uː n aː t a
trójuhestur	tʰ r o uː j ʏ h ɛ s t ʏ r
tröll	tʰ r œ t l
tröllatré	tʰ r œ t l a tʰ r j ɛː
tröllaukinn	tʰ r œ t l ø yː c ɪ n
tröllavíðir	tʰ r œ t l a v iː ð ɪ r
tröllkona	tʰ r œ t l kʰ ɔː n a
tröð	tʰ r œː ð
trú	tʰ r̥ uː
trúa	tʰ r uː a
trúarjátning	tʰ r uː a r j a u h t n i ŋ k
trúarlegur	tʰ r uː a r l ɛː ɣ ʏ r
trúfélag	tʰ r uː f j ɛː l aː ɣ
trúlegur	t r uː l ɛː ɣ ʏ r
trúlofa	tʰ r uː l ɔ v a
trúr	t r uː r
trúss	tʰ r u sː
trúður	tʰ r uː ð ʏ r
trýni	tʰ r iː n ɪ
tugabrot	tʰ ʏː ɣ a p r ɔː t
tugur	tʰ ʏː ɣ ʏ r
tuldra	tʰ ʏ l t r a
tuldur	tʰ ʏ l t ʏ r
tunga	tʰ u ŋ k a
tungl	tʰ ʏ ŋ l̥
tungljurt	tʰ u ŋ l j ʏ r̥ t
tungumál	tʰ u ŋ k ʏ m a uː l
turn	tʰ ʏ r t n
tuska	tʰ ʏ s k a
tuskulegur	tʰ ʏ s k ʏ l ɛː ɣ ʏ r
tvenna	tʰ v ɛ nː a
tvinna	t v ɪ nː a
tvinni	t v ɪ nː ɪ
tvistur	tʰ v ɪ s t ʏ r
tvisvar	tʰ v ɪː s v aː r
tvíbaka	tʰ v iː p aː k a
tvíburi	tʰ v iː p ʏː r ɪ
tvíhliða	tʰ v iː l̥ ɪː ð a
tvímynd	tʰ v iː m ɪ n t
tvístirni	tʰ v iː s t ɪ r t n ɪ
tvístra	tʰ v i s t r a
tvísykra	tʰ v iː s ɪː k r a
tvítyngdur	tʰ v iː tʰ i ŋ t ʏ r
tvívegis	tʰ v iː v e iː j ɪ s
tvívetni	tʰ v iː v ɛ h t n ɪ
tvíær	tʰ v iː a iː r
tygg	tʰ ɪ kː
tyggja	tʰ ɪ cː a
tyggjó	tʰ ɪ cː o uː
tylft	t ɪ l̥ f t
tylla	tʰ ɪ t l a
typpi	tʰ ɪ h p ɪ
tyrkjasól	tʰ ɪ r̥ c a s o uː l
tyrkneska	tʰ ɪ r̥ k n ɛ s k a
tyrkneskur	tʰ ɪ r̥ k n ɛ s k ʏ r
tyrkískur	tʰ ɪ r̥ c i s k ʏ r
tyrðill	tʰ ɪ r ð ɪ t l
tá	tʰ a uː
tág	tʰ a uː
tágamura	tʰ a uː ɣ a m ʏː r a
tákn	tʰ a u h k n
tál	tʰ a uː l
táldraga	t a u l t r aː ɣ a
tálkn	tʰ a u l̥ k n
tálvon	tʰ a u l v ɔː n
táningur	tʰ a uː n i ŋ k ʏ r
tár	tʰ a uː r
tárakirtill	tʰ a uː r a kʰ ɪ r̥ t ɪ t l
tárvotur	tʰ a u r v ɔː t ʏ r
tása	tʰ a uː s a
tæfa	tʰ a iː v a
tæki	tʰ a iː c ɪ
tækifæri	t a iː c ɪ f a iː r ɪ
tækisfall	t a iː k ɪ s f a t l
tækla	tʰ a i h k l a
tækling	tʰ a i h k l i ŋ k
tækni	tʰ a i h k n ɪ
tæla	tʰ a iː l a
tælenska	tʰ a iː l ɛ n s k a
tæma	tʰ a iː m a
tæpur	tʰ a iː p ʏ r
tær	tʰ a iː r
tæra	tʰ a iː r a
tæring	tʰ a iː r i ŋ k
tæta	tʰ a iː t a
tætari	tʰ a iː t aː r ɪ
tætingur	tʰ a iː t i ŋ k ʏ r
tætla	tʰ a i h t l a
té	tʰ j ɛː
tékki	tʰ j ɛ h c ɪ
tékkneska	tʰ j ɛ h k n ɛ s k a
tékkneskur	tʰ j ɛ h k n ɛ s k ʏ r
tí	tʰ iː
tía	tʰ iː j a
tígrisdýr	tʰ iː k r ɪ s t iː r
tígull	tʰ iː ɣ ʏ t l
tígur	tʰ iː ɣ ʏ r
tík	tʰ iː k
tíkarsonur	tʰ iː k a r s ɔː n ʏ r
tímabelti	tʰ iː m a p ɛ l̥ t ɪ
tímarit	tʰ iː m a r ɪː t
tími	tʰ iː m ɪ
tína	tʰ iː n a
tíra	tʰ iː r a
tíska	tʰ i s k a
tískupallur	tʰ ɪ s k ʏ pʰ a t l ʏ r
tísta	tʰ i s t a
títra	tʰ iː t r a
títt	tʰ i h t
tíu	t iː ʏ
tíundi	tʰ iː j ʏ n t ɪ
tívar	tʰ iː v a r
tíð	tʰ iː ð
tíðahvörf	tʰ iː ð a xʷ œ r v
tíðaratviksorð	tʰ iː ð a r aː t v ɪ k s ɔ r ð
tíðindi	tʰ iː ð ɪ n t ɪ
tíðka	tʰ i θ k a
tíðni	tʰ i ð n ɪ
tíður	tʰ iː ð ʏ r
tó	tʰ o uː
tóbak	tʰ o uː p aː k
tófa	tʰ o uː a
tófa	tʰ o uː v a
tófugras	tʰ o uː v ʏ k r aː s
tól	tʰ o uː l
tólg	tʰ o u l k
tólúen	tʰ o uː l uː ɛː n
tóm	tʰ o uː m
tómstundagaman	tʰ o u m s t ʏ n t a k aː m a n
tómur	tʰ o uː m ʏ r
tón	tʰ o uː n
tónfræði	tʰ o u n f r a iː ð ɪ
tónkvísl	tʰ o u n kʰ v i s t l
tónleikar	tʰ o u n l e iː k a r
tónlist	tʰ o u n l ɪ s t
tónlistarskóli	tʰ o u n l ɪ s t a r s k o uː l ɪ
tónn	tʰ o u t n
tónsproti	tʰ o u n s p r ɔː t ɪ
töf	tʰ œː v
töff	tʰ œ fː
töfra	tʰ œ v r a
töframaður	tʰ œ v r a m aː ð ʏ r
töfrasproti	tʰ œ v r a s p r ɔː t ɪ
tögl	tʰ œ k l
tökuþýðing	tʰ œː k ʏ θ iː ð i ŋ k
tölt	tʰ œ l̥ t
tölublað	tʰ œː l ʏ p l aː ð
töluorð	tʰ œː l ʏ ɔ r ð
tölusetja	tʰ œː l ʏ s ɛː t j a
tölustafur	tʰ œː l ʏ s t aː v ʏ r
töluverður	tʰ œː l ʏ v ɛ r ð ʏ r
tölva	tʰ œ l v a
tölvu	tʰ œ l v ʏ
tölvuleikur	tʰ œ l v ʏ l e iː k ʏ r
tölvumús	tʰ œ l v ʏ m uː s
tölvupóstur	tʰ œ l v ʏ pʰ o u s t ʏ r
tölvuspil	tʰ œ l v ʏ s p ɪː l
tölvustafur	tʰ œ l v s t aː v ʏ r̥
töng	tʰ ø y ŋ k
tönn	tʰ œ nː
tötralegur	tʰ œː t r a l ɛː ɣ ʏ r
tötrar	tʰ œː t r a r
tötur	tʰ œː t ʏ r
túba	tʰ uː p a
túli	tʰ uː l ɪ
túlkur	tʰ u l̥ k ʏ r
tún	tʰ uː n
túndra	tʰ u n t r a
túnfífill	tʰ u n f iː v ɪ t l
túnsúra	tʰ u n s uː r a
túnvingull	tʰ u n v i ŋ k ʏ t l
túnvorblóm	tʰ u n v ɔ r p l o uː m
túpa	tʰ uː p a
túr	tʰ uː r
túrbína	tʰ u r p iː n a
túrmerik	tʰ u r m ɛː r ɪ k
týna	tʰ iː n a
týndur	tʰ i n t ʏ r
týr	tʰ iː r
týra	tʰ iː r a
týsfjóla	tʰ iː s f j o uː l a
týtulíngresi	tʰ iː t ʏ l i n k r ɛː s ɪ
ufsi	ʏ f s ɪ
ugga	ʏ kː a
uggur	ʏ kː ʏ r
ugla	ʏ k l a
ull	ʏ lː
ull	ʏ t l
umbrot	ʏ m p r ɔː t
umdeildur	ʏ m t e i l t ʏ r
umdæmi	ʏ m t a iː m ɪ
umfang	ʏ m f a u ŋ k
umferð	ʏ m f ɛ r ð
umhyggja	ʏ m h ɪ cː a
umkringja	ʏ m kʰ r i ɲ c a
uml	ʏ m l
umla	ʏ m l a
umræða	ʏ m r a iː ð a
umskera	ʏ m s c ɛː r a
umskurður	ʏ m s k ʏ r ð ʏ r
umsókn	ʏ m s o u h k n
umtalsverður	ʏ m tʰ a l s v ɛ r ð ʏ r
una	ʏː n a
und	ʏ n t
undanfari	ʏ n t a n f aː r ɪ
undanfarinn	ʏ n t a n f aː r ɪ nː
undarlega	ʏ n t a r l ɛː ɣ a
undirbúa	ʏ n t ɪ r p uː a
undirbúningur	ʏ n t ɪ r p uː n i ŋ k ʏ r
undirflokkur	ʏ n t ɪ r̥ f l ɔ h k ʏ r
undirforrit	ʏː n t ɪ r f ɔ r r ɪː t
undirfylking	ʏ n t ɪ r̥ f ɪ l̥ c i ŋ k
undirheiti	ʏ n t ɪ r h e iː t ɪ
undirlag	ʏ n t ɪ r l aː ɣ
undirlendi	ʏ n t ɪ r l ɛ n t ɪ
undirskrift	ʏ n t ɪ r s k r ɪ f t
undra	ʏ n t r a
undrabarn	ʏ n t r a p a r t n
undrun	ʏ n t r ʏ n
undur	ʏ n t ʏ r
ungi	u ŋ k ɪ
unglingur	u ŋ k l i ŋ k ʏ r
unglingur	u ŋ l i ŋ k ʏ r
ungur	u ŋ k ʏ r
ungverska	u ŋ k v ɛ r̥ s k a
unna	ʏ nː a
unnur	ʏ nː ʏ r
unnusta	ʏ nː ʏ s t a
unnusti	ʏ nː ʏ s t ɪ
upp	ʏ h p
uppblástur	ʏ h p p l a u s t ʏ r
uppdatera	ʏ h p t a tʰ ɛː r a
uppfæra	ʏ h p f a iː r a
uppgerð	ʏ h p c ɛ r ð
uppgjör	ʏ h p c œː r
upphaf	ʏ h p h aː v
upphæð	ʏ h p h a iː ð
uppi	ʏ h p ɪ
uppkast	ʏ h p kʰ a s t
upplifun	ʏ h p l ɪː v ʏ n
upplýsing	ʏ h p l iː s i ŋ k
uppsetning	ʏ h p s ɛ h t n i ŋ k
uppskurður	ʏ h p s k ʏ r ð ʏ r
uppspretta	ʏ h p s p r ɛ h t a
uppspuni	ʏ h p s p ʏː n ɪ
upptrekktur	ʏ h p tʰ r ɛ x t ʏ r
urra	ʏ rː a
urt	ʏ r̥ t
urð	ʏ r ð
uxi	ʏ k s ɪ
uxi	ʏ x s ɪ
v	v a fː
vaf	v aː v
vafagepill	v aː v a c ɛː p ɪ t l
vaff	v a fː
vafi	v aː v ɪ
vafra	v a v r a
vafri	v a v r ɪ
vafsúra	v a v s uː r a
vafur	v aː v ʏ r
vagga	v a kː a
vagn	v a k n
vaka	v aː k a
vakna	v a h k n a
vakt	v a x t
val	v aː l
vald	v a l t
valda	v a l t a
valhnappur	v a l n̥ a h p ʏ r
valhneta	v a l n̥ ɛː t a
valkostur	v a l kʰ ɔ s t ʏ r
valköstur	v a l kʰ œ s t ʏ r
vallarsveifgras	v a t l a r s v e i v k r aː s
vallelfting	v a t l ɛ l̥ʷ t i ŋ k
vallhæra	v a t l h a iː r a
valmynd	v a l m ɪ n t
valmúi	v a l m uː ɪ
valur	v aː l ʏ r
vana	v aː n a
vanalega	v aː n a l ɛː ɣ a
vanda	v a n t a
vandi	v a n t ɪ
vangefinn	v a i ɲ c ɛ v ɪ nː
vangi	v a u ɲ c ɪ
vanilla	v aː n ɪ lː a
vanrækja	v a n r a iː c a
vanræksla	v a n r a i k s t l a
vansi	v a n s ɪ
vanur	v aː n ʏ r
vanöndun	v aː n œ n t ʏ n
var	v aː r
vara	v aː r a
varalitur	v aː r a l ɪː t ʏ r
varanlegur	v aː r a n l ɛː ɣ ʏ r
vargur	v a r k ʏ r
varkár	v a r̥ kʰ a uː r
varkárni	v a r̥ kʰ a u r t n ɪ
varla	v a r t l a
varmi	v a r m ɪ
varmur	v a r m ʏ r
varnaður	v a r t n aː ð ʏ r
varp	v a r̥ p
varpasveifgras	v a r̥ p a s v e i v k r aː s
varpi	v a r̥ p ɪ
varsla	v a r̥ s t l a
varta	v a r̥ t a
vartappi	v aː r tʰ a h p ɪ
varða	v a r ð a
vasabók	v aː s a p o uː k
vasadiskó	v aː s a t ɪ s k o uː
vasahnífur	v aː s a n̥ iː v ʏ r
vasaklútur	v aː s a kʰ l uː t ʏ r
vasaljós	v aː s a l j o uː s
vasaorðabók	v aː s a ɔ r ð a p o uː k
vasapeli	v aː s a pʰ ɛː l ɪ
vasapeningar	v aː s a pʰ ɛː n i ŋ k a r
vasareiknir	v aː s a r e i h k n ɪ r
vasatölva	v aː s a tʰ œ l v a
vasaúr	v aː s a uː r
vasaþjófur	v aː s a θ j o uː v ʏ r
vasi	v aː s ɪ
vaskur	v a s k ʏ r
vatn	v aʰ t n̥
vatnalilja	v a h t n a l ɪ l j a
vatns	v a s
vatnsmelóna	v a sː m ɛː l o uː n a
vatt	v a h t
vax	v a k s
vax	v a x s
vaxa	v a k s a
vaxa	v a x s a
vaða	v aː ð a
vefa	v ɛː v a
vefja	v ɛ v j a
vefstóll	v ɛ f s t o u t l
vefsíða	v ɛ f s iː ð a
vefur	v ɛː v ʏ r
vega	v ɛː ɣ a
vegarfi	v ɛː ɣ a r v ɪ
vegasalt	v ɛː ɣ a s a l̥ t
veggur	v ɛ kː ʏ r
vegir	v eː j i r
vegna	v ɛ k n a
vegur	v ɛː ɣ ʏ r
veif	v e iː v
veifa	v e iː v a
veigra	v e i ɣ r a
veiki	v e iː c ɪ
veikja	v e iː c a
veikla	v e i h k l a
veikleiki	v e iː k l e iː c ɪ
veiklun	v e i h k l ʏ n
veikur	v e iː k ʏ r
veila	v e iː l a
veill	v e i t l
vein	v e iː n
veina	v e iː n a
veira	v e iː r a
veisla	v e i s t l a
veita	v e iː t a
veitingahús	v e iː t i ŋ k a h uː s
veitingastaður	v e iː t i ŋ k a s t aː ð ʏ r
veiða	v e iː ð a
veiði	v e iː ð ɪ
veiðimaður	v e iː ð ɪ m aː ð ʏ r
vekja	v ɛː c a
vel	v ɛː l
veldi	v ɛ l t ɪ
veldissproti	v ɛ l t ɪ s s p r ɔː t ɪ
velgengni	v ɛ l c e i ŋ k n ɪ
velja	v ɛ l j a
velkomandaminni	v ɛ l kʰ ɔː m a n t a m ɪ nː ɪ
vella	v ɛ t l a
velmegun	v ɛ l m ɛː ɣ ʏ n
velta	v ɛ l̥ t a
venda	v ɛ n t a
venja	v ɛ n j a
venjur	v ɛ n j ʏ r
vepja	v ɛː p j a
ver	v ɛː r
vera	v ɛː r a
verja	v ɛ r j a
verk	v ɛ r̥ k
verkaskipting	v ɛ r̥ k a s c ɪ f t i ŋ k
verkefni	v ɛ r̥ k ɛ p n ɪ
verkfæri	v ɛ r̥ k f a iː r ɪ
verkur	v ɛ r̥ k ʏ r
verma	v ɛ r m a
vernd	v ɛ r n t
vernda	v ɛ r n t a
verndari	v ɛ r n t aː r ɪ
verndun	v ɛ r n t ʏ n
verpa	v ɛ r̥ p a
versla	v ɛ r̥ s t l a
verufall	v ɛː r ʏ f a t l
verulega	v ɛː r ʏ l ɛː ɣ a
verulegur	v ɛː r ʏ l ɛː ɣ ʏ r
verð	v ɛ r ð
verða	v ɛ r ð a
verðlaun	v ɛ r ð l ø yː n
verðmæti	v ɛ r ð m a iː t ɪ
verðmætur	v ɛ r ð m a iː t ʏ r
verður	v ɛ r ð ʏ r
veski	v ɛ s c ɪ
vestari	v ɛ s t aː r ɪ
vestra	v ɛ s t r a
vestri	v ɛ s t r ɪ
vestur	v ɛ s t ʏ r
vetni	v ɛ h t n ɪ
vetrarbraut	v ɛː t r a r p r ø yː t
vettlingur	v ɛ h t l i ŋ k ʏ r
vettugi	v ɛ h t ʏ j ɪ
vettvangur	v ɛ h t v a u ŋ k ʏ r
vetur	v ɛː t ʏ r
veð	v ɛː ð
veðja	v ɛ ð j a
veður	v ɛː ð ʏ r
veðurfræði	v e ɛ̯ ð ʏ r f r a i̯ ð ɪ
veðurtungl	v ɛː ð ʏ r tʰ u ŋ l
veðurtunglamynd	v ɛː ð ʏ r tʰ u ŋ l a m ɪ n t
vifta	v ɪ f t a
viftureim	v ɪ f t ʏ r e iː m
vigt	v ɪ x t
vigur	v ɪː ɣ ʏ r
vika	v ɪː k a
vikur	v ɪː k ʏ r
vilja	v ɪ l j a
vilji	v ɪ l j ɪ
villa	v ɪ lː a
villa	v ɪ t l a
villigöltur	v ɪ t l ɪ k œ l̥ t ʏ r
villimaður	v ɪ t l ɪ m aː ð ʏ r
villtur	v ɪ l̥ t ʏ r
vin	v ɪː n
vinabær	v ɪː n a p a iː r
vinalegur	v ɪː n a l ɛː ɣ ʏ r
vinda	v ɪ n t a
vindill	v ɪ n t ɪ t l
vindmylla	v ɪ n t m ɪ lː a
vindugur	v ɪ n t ʏː ɣ ʏ r
vindur	v ɪ n t ʏ r
vindverskur	v ɪ n t v ɛ r̥ s k ʏ r
vingull	v i ŋ k ʏ t l
vinka	v i ŋ̊ k a
vinkill	v i ɲ̊ c ɪ t l
vinkona	v i ŋ kʰ ɔː n a
vinkona	v ɪ ŋ kʰ ɔː n a
vinna	v ɪ nː a
vinnukona	v ɪ nː ʏ kʰ ɔː n a
vinnumaður	v ɪ nː ʏ m aː ð ʏ r
vinstur	v ɪ n s t ʏ r
vinur	v ɪː n ʏ r
vinátta	v ɪː n a u h t a
vináttuleikur	v ɪː n a u h t ʏ l e iː k ʏ r
virka	v ɪ r̥ k a
virki	v ɪ r̥ c ɪ
virkja	v ɪ r̥ c a
virkjun	v ɪ r̥ c ʏ n
virkni	v ɪ r̥ k n ɪ
virkur	v ɪ r̥ k ʏ r
virða	v ɪ r ð a
virði	v ɪ r ð ɪ
visk	v ɪ s k
viskí	v ɪ s c iː
visna	v ɪ s t n a
viss	v ɪ sː
vissa	v ɪ sː a
vist	v ɪ s t
vista	v ɪ s t a
vistfræði	v ɪ s t f r a iː ð ɪ
vistvænn	v ɪ s t v a i t n
vit	v ɪː t
vita	v ɪː t a
viti	v ɪː t ɪ
vitlaus	v ɪ h t l ø yː s
vitni	v ɪ h t n ɪ
vitrun	v ɪː t r ʏ n
við	v ɪ ð
viða	v ɪː ð a
viðbragð	v ɪ ð p r a ɣ ð
viðbrögð	v ɪ ð p r œ ɣ ð
viðeigandi	v ɪː ð e iː ɣ a n t ɪ
viðja	v ɪ ð j a
viðskeyti	v ɪ ð s c e iː t ɪ
viðskiptavinur	v ɪ ð s k ɪ f t a v ɪː n ʏ r
viðtal	v ɪ ð tʰ aː l
viðtengingarháttur	v ɪ ð tʰ e i ɲ c i ŋ k a r h a u h t ʏ r
viður	v ɪː ð ʏ r
viðvörun	v ɪ ð v œ r ʏ n̥
vodka	v ɔ t kʰ a
vofa	v ɔː v a
voff	v ɔ fː
voffi	v ɔ fː ɪ
vog	v ɔː ɣ
voga	v ɔː ɣ a
vogunarsjóður	v ɔː ɡ ʏ n a r s j o uː ð ʏ r
vol	v ɔː l
von	v ɔː n
vona	v ɔː n a
vonandi	v ɔː n a n t ɪ
vonbrigði	v ɔ n p r ɪ ɣ ð ɪ
vondur	v ɔ n t ʏ r
vonsvikinn	v ɔ n s v ɪː c ɪ nː
vopn	v ɔ h p n
vor	v ɔː r
vorkenna	v ɔ r̥ cʰ ɛ nː a
vorlaukur	v ɔː r l ø yː k ʏ r
votlendi	v ɔː t l ɛ n d ɪ
votta	v ɔ h t a
vottur	v ɔ h t ʏ r
votur	v ɔː t ʏ r
vá	v a uː
væla	v a iː l a
vændi	v a i n d ɪ
vængur	v a i ŋ k ʏ r
vænn	v a i t n
vænta	v a i n̥ t a
vær	v a iː r
værð	v a i r ð
væskill	v a i s c ɪ t l
væta	v a iː t a
vætla	v a i h t l a
vé	v j ɛː
vél	v j ɛː l
vélbúnaður	v j ɛ l p uː n aː ð ʏ r
vélfræði	v j ɛ l f r a iː ð ɪ
vélfræðingur	v j ɛː l f r a iː ð i ŋ k ʏ r
vélinda	v j ɛː l ɪ n t a
vér	v j ɛː r̥
vídd	v i tː
víf	v iː v
víg	v iː ɣ
vígi	v iː j ɪ
vígja	v iː j a
vígvöllur	v i ɣ v œ t l ʏ r
vígður	v i ɣ ð ʏ r
vík	v iː k
víkingur	v iː c i ŋ k ʏ r
víkja	v iː c a
víma	v iː m a
vín	v iː n
vínandi	v iː n a n t ɪ
vínber	v i n p ɛː r
vínberjalögur	v i n p ɛ r j a l œː ɣ ʏ r
víngarður	v i n k a r ð ʏ r
víns	v i n s
vínviður	v i n v ɪː ð ʏ r
vís	v iː s
vísifingur	v iː s ɪ f i ŋ k ʏ r
vísigreifi	v iː s ɪ k r e iː v ɪ
víst	v i s t
víti	v iː t ɪ
víxl	v i k s t l
víxl	v i x s t l
víða	v iː ð a
víðfrægur	v i ð f r a iː ɣ ʏ r
víðir	v iː ð ɪ r
víður	v iː ð ʏ r
víóla	v iː j o uː l a
vögguvísa	v œ kː ʏ v iː s a
vök	v œː k
vökva	v œː k v a
vökvi	v œː k v ɪ
völ	v œː l
völlur	v œ t l ʏ r
völva	v œ l v a
völvuhnoðri	v œ l v ʏ n̥ ɔ ð r ɪ
vömb	v œ m p
vöndull	v œ n t ʏ t l
vöndur	v œ n t ʏ r
vör	v œː r
vörn	v œ r t n
vörumerki	v œː r ʏ m ɛ r̥ c ɪ
vörður	v œ r ð ʏ r
vöxtur	v œ k s t ʏ r
vöxtur	v œ x s t ʏ r
vöðvi	v œ ð v ɪ
x	x s
ydd	ɪ tː
ydda	ɪ tː a
yfirdrepsskapur	ɪː v ɪ r t r ɛ p s s k aː p ʏ r
yfirgefa	ɪː v ɪ r c ɛː v a
yfirheiti	ɪː v ɪ r h e iː t ɪ
yfirlit	ɪː v ɪ r l ɪː t
yfirlæti	ɪː v ɪ r l a iː t ɪ
yfirráð	ɪː v ɪ r r a uː ð
yfirtaka	ɪː v ɪ r tʰ aː k a
yfirtónn	ɪː v ɪ r tʰ o u t n
ykkar	ɪ h k ɐ r
ykkur	ɪ h k ʏ r
yllir	ɪ t l ɪ r
ymja	ɪ m j a
yndi	ɪ n t ɪ
yngja	i ɲ c a
yppa	ɪ h p a
yrkja	ɪ r̥ c a
ysta	ɪ s t a
yðar	ɪː ð a r
zeta	s ɛː t a
Á	a uː
Áki	a uː c ɪ
Álaborg	a uː l a p ɔ r k
Álandseyjar	a uː l a n t s e iː j a r
Álfheiður	a u l v h e iː ð ʏ r
Árdís	a u r t iː s
Árna	a u r t n a
Árni	a u r t n ɪ
Árni	a u t n ɪ
Árósar	a uː r o uː s a r
Ásdís	a uː s t iː s
Áslaug	a uː s l ø yː ɣ
Ásmundur	a uː s m ʏ n t ʏ r
Ásta	a u s t a
Ástfríður	a u s t f r iː ð ʏ r
Ástmundur	a u s t m ʏ n t ʏ r
Ástralía	a u s t r a l iː j a
Ástríður	a u s t r iː ð ʏ r
Ástþrúður	a u s t θ r uː ð ʏ r
Ásþrúður	a uː s θ r uː ð ʏ r
Æ	a i
Ægir	a iː j ɪ r
Í	iː
Íri	iː r ɪ
Írland	i r l a n t
Ísakína	iː s aː k iː n a
Ísis	iː s ɪ s
Ísland	i s t l a n t
Íslendingur	i s t l ɛ n t i ŋ k ʏ r
Ísmael	iː s m aː ɛː l
Ísrael	iː s r aː ɛː l
Ítali	iː tʰ aː l ɪ
Ítalía	iː tʰ aː l iː j a
Ívar	iː v aː r
Ó	o uː
Ólafur	o uː l aː v ʏ r
Ólafía	o uː l a v iː j a
Ólafína	o uː l aː v iː n a
Ólöf	o uː l œː v
Órækja	o uː r a iː c a
Ósló	o uː s t l o uː
Ósíris	o uː s iː r ɪ s
Óvína	o uː v iː n a
Óðinn	o uː ð ɪ n
Óðinsvé	o uː ð ɪ n s v j ɛː
Ö	œː
Ögmunda	œ ɣ m ʏ n t a
Ögmundína	œ ɣ m ʏ n t iː n a
Örn	œ r t n
Össur	œ sː ʏ r
Össuría	œ sː ʏ r iː j a
Össurína	œ sː ʏ r iː n a
Ú	uː
Úkraína	uː kʰ r aː iː n a
Ýrar	iː r aː r
Þ	θ
Þeba	θ ɛː p a
Þengill	θ e i ɲ c ɪ t l
Þessalía	θ ɛ sː a l iː j a
Þjóðverji	θ j o u ð v ɛ r j ɪ
Þorbjörg	θ ɔ r p j œ r k
Þorgeir	θ ɔ r k e iː r
Þorgerður	θ ɔ r c ɛ r ð ʏ r
Þorgilsína	θ ɔ r c ɪ l s iː n a
Þorkell	θ ɔ r̥ cʰ ɛ t l
Þorkelína	θ ɔ r̥ cʰ ɛː l iː n a
Þorleifína	θ ɔ r l e iː v iː n a
Þorláksmessa	θ ɔ r l a u k s m ɛ sː a
Þorlákur	θ ɔ r l a uː k ʏ r
Þorlákína	θ ɔ r l a uː c iː n a
Þorsteinn	θ ɔ r̥ s t e i t n
Þorsteinína	θ ɔ r̥ s t e iː n iː n a
Þorvaldur	θ ɔ r v a l t ʏ r
Þorvaldína	θ ɔ r v a l t iː n a
Þorvarðína	θ ɔ r v a r ð iː n a
Þrakía	θ r aː cʰ iː j a
Þrymskviða	θ r ɪ m s kʰ v ɪː ð a
Þrándheimur	θ r a u n t h e iː m ʏ r
Þröstur	θ r œ s t ʏ r
Þrúður	θ r uː ð ʏ r
Þumalína	θ ʏː m aː l iː n a
Þuríður	θ ʏː r iː ð ʏ r
Þyrnir	θ ɪ r t n ɪ r
Þór	θ o uː r
Þórdís	θ o u r t iː s
Þórey	θ o uː r e iː
Þórfríður	θ o u r̥ f r iː ð ʏ r
Þórgunnur	θ o u r k ʏ nː ʏ r
Þórhallur	θ o uː r h a t l ʏ r
Þórmundur	θ o u r m ʏ n t ʏ r
Þóroddur	θ o uː r ɔ tː ʏ r
Þórshöfn	θ o u r̥ s h œ p n
Þórunn	θ o uː r ʏ nː
Þórður	θ o u r ð ʏ r
Þórólfur	θ o uː r o u l v ʏ r
Þýskaland	θ i s k a l a n t
á	a uː
ábendingarfornafn	a uː p ɛ n t i ŋ k a r f ɔ r n a p n
áburður	a uː p ʏ r ð ʏ r
ábyrgur	a uː p ɪ r k ʏ r
ábyrgð	a uː p ɪ r ɣ ð
ábóti	a uː p o uː t ɪ
áfall	a uː f a t l
áfangaskýrsla	a uː f a u ŋ c a s c i r̥ s t l a
áfergja	a uː f ɛ r c a
áfir	a uː v ɪ r
áflog	a uː f l ɔː ɣ
ágirnd	a uː c ɪ r n t
ágjarn	a uː c a r t n
ágætur	a uː c a iː tʰ ʏ r
ágóði	a uː k o uː ð ɪ
áhersla	a uː h ɛ r̥ s t l a
áhersluatviksorð	a uː h ɛ r̥ s t l ʏ aː t v ɪ k s ɔ r ð
áheyrn	a uː h e i r t n̥
áhrif	a uː r̥ ɪː v
áhrifaríkur	a uː r̥ ɪː v a r iː k ʏ r
áhrifsfall	a uː r̥ ɪ f s f a t l
áhrifssögn	a uː r̥ i f s s œ k n̥
áhugamál	a uː h ʏː ɣ a m a uː l
áhugasamur	a u h ʏː ɣ a s aː m ʏ r
áhugi	a uː h ʏ j ɪ
áhyggja	a uː h ɪ cː a
áhætta	a uː h a i h t a
áhöfn	a uː h œ p n
ákafi	a uː kʰ aː v ɪ
ákafir	a uː k aː v ɪ r
ákaflega	a uː kʰ a v l ɛː ɣ a
ákafur	a uː k aː v ʏ r
ákavíti	a uː k a v iː t ɪ
ákefð	a uː c ɛ v ð
ákveða	a uː kʰ v ɛː ð a
ákveðinn	a uː kʰ v ɛː ð ɪ nː
ákæra	a uː cʰ a iː r a
ál	a uː l
