あ	a̠
よくあさ	j o̞ k ɯ̟ᵝ a̠ s a̠
よくあつ	j o̞ k ɯ̟ᵝ a̠ t͡s ɨᵝ
よくあるしつもん	j o̞ k ɯ̟ᵝ a̠ ɾ ɯ̟ᵝ ɕ i t͡s ɨᵝ m õ̞ ɴ
よくい	j o̞ k ɯ̟ᵝ i
よくいにん	j o̞ k ɯ̟ᵝ i ɲ̟ ĩ ɴ
よくうつ	j o̞ k ɯ̟ᵝː t͡s ɨᵝ
よくきょう	j o̞ k ɯ̟ᵝ kʲ o̞ː
よくし	j o̞ k ɯ̟ᵝ ɕ i
よくしりょく	j o̞ k ɯ̟ᵝ ɕ i ɾʲ o̞ k ɯ̟ᵝ
よくしん	j o̞ k ɯ̟ᵝ ɕ ĩ ɴ
よくそう	j o̞ k ɯ̟ᵝ s o̞ː
よくねん	j o̞ k ɯ̟ᵝ n ẽ̞ ɴ
よくも	j o̞ k ɯ̟ᵝ m o̞
よくよう	j o̞ k ɯ̟ᵝ j o̞ː
よくりゅう	j o̞ k ɯ̟ᵝ ɾʲ ɨᵝː
よけい	j o̞ k e̞ː
よけん	j o̞ k ẽ̞ ɴ
よこ	j o̞ k o̞
よこあめ	j o̞ k o̞ a̠ m e̞
よこあるき	j o̞ k o̞ a̠ ɾ ɯ̟ᵝ kʲ i
よこいと	j o̞ k o̞ i t o̞
よこう	j o̞ k o̞ː
よこく	j o̞ k o̞ k ɯ̟ᵝ
よこくへん	j o̞ k o̞ k ɯ̟̊ᵝ h ẽ̞ ɴ
よこしま	j o̞ k o̞ ɕ i m a̠
よこす	j o̞ k o̞ s ɨᵝ
よこたえる	j o̞ k o̞ t a̠ e̞ ɾ ɯ̟ᵝ
よこたて	j o̞ k o̞ t a̠ t e̞
よこたわる	j o̞ k o̞ t a̠ ɰᵝ a̠ ɾ ɯ̟ᵝ
よこちち	j o̞ k o̞ t͡ɕ i t͡ɕ i
よこなみ	j o̞ k o̞ n a̠ mʲ i
よこになる	j o̞ k o̞ ɲ̟ i n a̠ ɾ ɯ̟ᵝ
よこはま	j o̞ k o̞ h a̠ m a̠
よこほうこう	j o̞ k o̞ h o̞ː k o̞ː
よこやり	j o̞ k o̞ j a̠ ɾʲ i
よさめ	j o̞ s a̠ m e̞
よさん	j o̞ s ã̠ ɴ
よし	j o̞ ɕ i
よし	kʲ i
よしあき	j o̞ ɕ i a̠ kʲ i
よしあし	j o̞ ɕ i a̠ ɕ i
よしお	j o̞ ɕ i o̞
よしき	j o̞ ɕ i kʲ i
よしきり	j o̞ ɕ i̥ kʲ i ɾʲ i
よしくに	j o̞ ɕ i k ɯ̟ᵝ ɲ̟ i
よしこ	j o̞ ɕ i̥ k o̞
よしたか	j o̞ ɕ i t a̠ k a̠
よしとも	j o̞ ɕ i t o̞ m o̞
よしの	j o̞ ɕ i n o̞
よしひこ	j o̞ ɕ i ç i k o̞
よしひと	j o̞ ɕ i ç i t o̞
よしひろ	j o̞ ɕ i ç i ɾ o̞
よしふみ	j o̞ ɕ i ɸ ɯ̟ᵝ mʲ i
よしみ	j o̞ ɕ i mʲ i
よしゆき	j o̞ ɕ i j ɯ̟ᵝ kʲ i
よす	j o̞ s ɨᵝ
よせ	j o̞ s e̞
よせあつめ	j o̞ s e̞ a̠ t͡s ɨᵝ m e̞
よせあつめる	j o̞ s e̞ a̠ t͡s ɨᵝ m e̞ ɾ ɯ̟ᵝ
よせい	j o̞ s e̞ː
よせえ	j o̞ s e̞ e̞
よせつ	j o̞ s e̞ t͡s ɨᵝ
よせる	j o̞ s e̞ ɾ ɯ̟ᵝ
よそ	j o̞ s o̞
よそう	j o̞ s o̞ː
よそく	j o̞ s o̞ k ɯ̟ᵝ
よそみ	j o̞ s o̞ mʲ i
よそめ	j o̞ s o̞ m e̞
よそもの	j o̞ s o̞ m o̞ n o̞
よそゆき	j o̞ s o̞ j ɯ̟ᵝ kʲ i
よそよそしい	j o̞ s o̞ j o̞ s o̞ ɕ i i
よたか	j o̞ t a̠ k a̠
よたもの	j o̞ t a̠ m o̞ n o̞
よち	j o̞ t͡ɕ i
よちむ	j o̞ t͡ɕ i m ɯ̟ᵝ
よちょう	j o̞ t͡ɕ o̞ː
よっか	j o̞ k̚ k a̠
よっかかる	j o̞ k̚ k a̠ k a̠ ɾ ɯ̟ᵝ
よっきゅう	j o̞ k̚ʲ kʲ ɨᵝː
よっきゅうふまん	j o̞ k̚ʲ kʲ ɨᵝː ɸ ɯ̟ᵝ m ã̠ ɴ
よっこいしょ	j o̞ k̚ k o̞ i ɕ o̞
よっこいしょういち	j o̞ k̚ k o̞ i ɕ o̞ː i t͡ɕ i
よっしゃ	j o̞ ɕː a̠
よって	j o̞ t̚ t e̞
よつ	j o̞ t̚ t͡s ɨᵝ
よつゆ	j o̞ t͡s ɨᵝ j ɯ̟ᵝ
よてい	j o̞ t e̞ː
よていひょう	j o̞ t e̞ː ç o̞ː
よとう	j o̞ t o̞ː
よなき	j o̞ n a̠ kʲ i
よなよな	j o̞ n a̠ j o̞ n a̠
よにも	j o̞ ɲ̟ i m o̞
よねつ	j o̞ n e̞ t͡s ɨᵝ
よねん	j o̞ n ẽ̞ ɴ
よのなか	j o̞ n o̞ n a̠ k a̠
よのなかかね	j o̞ n o̞ n a̠ k a̠ k a̠ n e̞
よはく	j o̞ h a̠ k ɯ̟ᵝ
よふかし	j o̞ ɸ ɯ̟ᵝ k a̠ ɕ i
よふけ	j o̞ ɸ ɯ̟ᵝ k e̞
よふね	j o̞ ɸ ɯ̟ᵝ n e̞
よほう	j o̞ h o̞ː
よませおし	j o̞ m a̠ s e̞ o̞ ɕ i
よみ	j o̞ mʲ i
よみかき	j o̞ mʲ i k a̠ kʲ i
よみかける	j o̞ mʲ i k a̠ k e̞ ɾ ɯ̟ᵝ
よみかた	j o̞ mʲ i k a̠ t a̠
よみきり	j o̞ mʲ i kʲ i ɾʲ i
よみきる	j o̞ mʲ i kʲ i ɾ ɯ̟ᵝ
よみこなす	j o̞ mʲ i k o̞ n a̠ s ɨᵝ
よみこむ	j o̞ mʲ i k o̞ m ɯ̟ᵝ
よみすすむ	j o̞ mʲ i s ɨᵝ s ɨᵝ m ɯ̟ᵝ
よみすすめる	j o̞ mʲ i s ɨᵝ s ɨᵝ m e̞ ɾ ɯ̟ᵝ
よみする	j o̞ mʲ i s ɨᵝ ɾ ɯ̟ᵝ
よみせ	j o̞ mʲ i s e̞
よみち	j o̞ mʲ i t͡ɕ i
よみて	j o̞ mʲ i t e̞
よみとる	j o̞ mʲ i t o̞ ɾ ɯ̟ᵝ
よみふける	j o̞ mʲ i ɸ ɯ̟ᵝ k e̞ ɾ ɯ̟ᵝ
よみもの	j o̞ mʲ i m o̞ n o̞
よむ	j o̞ m ɯ̟ᵝ
よめ	j o̞ m e̞
よめい	j o̞ m e̞ː
よめいり	j o̞ m e̞ː ɾʲ i
よも	j o̞ m o̞
よもすえ	j o̞ m o̞ s ɨᵝ e̞
よもつしこめ	j o̞ m o̞ t͡s ɨᵝ ɕ i k o̞ m e̞
よやく	j o̞ j a̠ k ɯ̟ᵝ
よゆう	j o̞ j ɯ̟ᵝː
よゆうしゃくしゃく	j o̞ j ɯ̟ᵝː ɕ a̠ k ɯ̟ᵝ ɕ a̠ k ɯ̟ᵝ
より	j o̞ ɾʲ i
よりかかる	j o̞ ɾʲ i k a̠ k a̠ ɾ ɯ̟ᵝ
よりきり	j o̞ ɾʲ i kʲ i ɾʲ i
よりによって	j o̞ ɾʲ i ɲ̟ i j o̞ t̚ t e̞
よりみち	j o̞ ɾʲ i mʲ i t͡ɕ i
よる	j o̞ ɾ ɯ̟ᵝ
よろい	j o̞ ɾ o̞ i
よろいひたたれ	j o̞ ɾ o̞ i ç i t a̠ t a̠ ɾ e̞
よろける	j o̞ ɾ o̞ k e̞ ɾ ɯ̟ᵝ
よろしい	j o̞ ɾ o̞ ɕ i i
よろしく	j o̞ ɾ o̞ ɕ i k ɯ̟ᵝ
よろめく	j o̞ ɾ o̞ m e̞ k ɯ̟ᵝ
よろよろ	j o̞ ɾ o̞ j o̞ ɾ o̞
よろん	j o̞ ɾ õ̞ ɴ
よろんちょうさ	j o̞ ɾ õ̞ ɲ̟ t͡ɕ o̞ː s a̠
よわい	j o̞ ɰᵝ a̠ i
よわっちい	j o̞ ɰᵝ a̠ t̚ t͡ɕ iː
よわね	j o̞ ɰᵝ a̠ n e̞
よわねをはく	j o̞ ɰᵝ a̠ n e̞ o̞ h a̠ k ɯ̟ᵝ
よわまる	j o̞ ɰᵝ a̠ m a̠ ɾ ɯ̟ᵝ
よわみ	j o̞ ɰᵝ a̠ mʲ i
よわむし	j o̞ ɰᵝ a̠ m ɯ̟ᵝ ɕ i
よわめる	j o̞ ɰᵝ a̠ m e̞ ɾ ɯ̟ᵝ
よわる	j o̞ ɰᵝ a̠ ɾ ɯ̟ᵝ
よんきょくかん	j õ̞ ŋʲ kʲ o̞ k ɯ̟̊ᵝ k ã̠ ɴ
よんりんしゃ	j õ̞ n ɾʲ ĩ ɰ̃ ɕ a̠
ら	ɾ a̠
らい	ɾ a̠ i
らいう	ɾ a̠ i ɯ̟ᵝ
らいえん	ɾ a̠ i ẽ̞ ɴ
らいえんしゃ	ɾ a̠ i ẽ̞ ɰ̃ ɕ a̠
らいおう	ɾ a̠ i o̞ː
らいかん	ɾ a̠ i k ã̠ ɴ
らいき	ɾ a̠ i kʲ i
らいきょう	ɾ a̠ i kʲ o̞ː
らいきん	ɾ a̠ i kʲ ĩ ɴ
らいぎょ	ɾ a̠ i ɡʲ o̞
らいけん	ɾ a̠ i k ẽ̞ ɴ
らいこう	ɾ a̠ i k o̞ː
らいさん	ɾ a̠ i s ã̠ ɴ
らいしつ	ɾ a̠ i ɕ i t͡s ɨᵝ
らいしゃ	ɾ a̠ i ɕ a̠
らいしゅう	ɾ a̠ i ɕ ɨᵝː
らいせい	ɾ a̠ i s e̞ː
らいそう	ɾ a̠ i s o̞ː
らいちょう	ɾ a̠ i t͡ɕ o̞ː
らいてん	ɾ a̠ i t ẽ̞ ɴ
らいねん	ɾ a̠ i n ẽ̞ ɴ
らいはん	ɾ a̠ i h ã̠ ɴ
らいひん	ɾ a̠ i ç ĩ ɴ
らいめい	ɾ a̠ i m e̞ː
らいもん	ɾ a̠ i m õ̞ ɴ
らいら	ɾ a̠ i ɾ a̠
らいらく	ɾ a̠ i ɾ a̠ k ɯ̟ᵝ
らぎょうへんかくかつよう	ɾ a̠ ɡʲ o̞ː
らく	ɾ a̠ k ɯ̟ᵝ
らくえつ	ɾ a̠ k ɯ̟ᵝ e̞ t͡s ɨᵝ
らくさ	ɾ a̠ k ɯ̟ᵝ s a̠
らくさん	ɾ a̠ k ɯ̟ᵝ s ã̠ ɴ
らくさんえん	ɾ a̠ k ɯ̟ᵝ s ã̠ ɰ̃ ẽ̞ ɴ
らくせい	ɾ a̠ k ɯ̟̊ᵝ s e̞ː
らくせき	ɾ a̠ k ɯ̟ᵝ s e̞ kʲ i
らくせつ	ɾ a̠ k ɯ̟ᵝ s e̞ t͡s ɨᵝ
らくせん	ɾ a̠ k ɯ̟̊ᵝ s ẽ̞ ɴ
らくたん	ɾ a̠ k ɯ̟ᵝ t ã̠ ɴ
らくちょう	ɾ a̠ k ɯ̟ᵝ t͡ɕ o̞ː
らくちん	ɾ a̠ k ɯ̟ᵝ t͡ɕ ĩ ɴ
らくてん	ɾ a̠ k ɯ̟ᵝ t ẽ̞ ɴ
らくてんか	ɾ a̠ k ɯ̟ᵝ t ẽ̞ ŋ k a̠
らくてんかん	ɾ a̠ k ɯ̟ᵝ t ẽ̞ ŋ k ã̠ ɴ
らくてんてき	ɾ a̠ k ɯ̟ᵝ t ẽ̞ n t e̞ kʲ i
らくよう	ɾ a̠ k ɯ̟ᵝ j o̞ː
らくらい	ɾ a̠ k ɯ̟ᵝ ɾ a̠ i
らくらく	ɾ a̠ k ɯ̟ᵝ ɾ a̠ k ɯ̟ᵝ
らくるい	ɾ a̠ k ɯ̟ᵝ ɾ ɯ̟ᵝ i
らこう	ɾ a̠ k o̞ː
らしゅう	ɾ a̠ ɕ ɨᵝː
らしょうもん	ɾ a̠ ɕ o̞ː m õ̞ ɴ
らじょうもん	ɾ a̠ ʑ o̞ː m õ̞ ɴ
らすいち	ɾ a̠ s ɨᵝ i t͡ɕ i
らせき	ɾ a̠ s e̞ kʲ i
らせつ	ɾ a̠ s e̞ t͡s ɨᵝ
らせん	ɾ a̠ s ẽ̞ ɴ
らせんけい	ɾ a̠ s ẽ̞ ŋ k e̞ː
らたい	ɾ a̠ t a̠ i
らち	ɾ a̠ t͡ɕ i
らちる	ɾ a̠ t͡ɕ i ɾ ɯ̟ᵝ
らっか	ɾ a̠ k̚ k a̠
らっかさん	ɾ a̠ k̚ k a̠ s ã̠ ɴ
らっかせい	ɾ a̠ k̚ k a̠ s e̞ː
らっかりゅうすい	ɾ a̠ k̚ k a̠ ɾʲ ɨᵝː s ɨᵝ i
らっかんてき	ɾ a̠ k̚ k ã̠ n t e̞ kʲ i
らっきょう	ɾ a̠ k̚ʲ kʲ o̞ː
らっこ	ɾ a̠ k̚ k o̞
らつわん	ɾ a̠ t͡s ɨᵝ ɰᵝ ã̠ ɴ
らてい	ɾ a̠ t e̞ː
らぬき	ɾ a̠ n ɯ̟ᵝ kʲ i
らふ	ɾ a̠ ɸ ɯ̟ᵝ
らま	ɾ a̠ m a̠
らめ	ɾ a̠ m e̞
らる	ɾ a̠ ɾ ɯ̟ᵝ
られつ	ɾ a̠ ɾ e̞ t͡s ɨᵝ
らん	ɾ ã̠ ɴ
らんおう	ɾ ã̠ ɰ̃ o̞ː
らんかく	ɾ ã̠ ŋ k a̠ k ɯ̟ᵝ
らんかん	ɾ ã̠ ŋ k ã̠ ɴ
らんかんえん	ɾ ã̠ ŋ k ã̠ ɰ̃ ẽ̞ ɴ
らんきゅう	ɾ ã̠ ŋʲ kʲ ɨᵝː
らんきん	ɾ ã̠ ŋʲ kʲ ĩ ɴ
らんこう	ɾ ã̠ ŋ k o̞ː
らんこく	ɾ ã̠ ŋ k o̞ k ɯ̟ᵝ
らんし	ɾ ã̠ ɰ̃ ɕ i
らんしゃ	ɾ ã̠ ɰ̃ ɕ a̠
らんしょ	ɾ ã̠ ɰ̃ ɕ o̞
らんしょう	ɾ ã̠ ɰ̃ ɕ o̞ː
らんせい	ɾ ã̠ ɰ̃ s e̞ː
らんそう	ɾ ã̠ ɰ̃ s o̞ː
らんそううん	ɾ ã̠ ɰ̃ s o̞ː ɯ̟̃ᵝ ɴ
らんたいせい	ɾ ã̠ n t a̠ i s e̞ː
らんちゅう	ɾ ã̠ ɲ̟ t͡ɕ ɨᵝː
らんちょう	ɾ ã̠ ɲ̟ t͡ɕ o̞ː
らんはんしゃ	ɾ ã̠ ɰ̃ h ã̠ ɰ̃ ɕ a̠
らんま	ɾ ã̠ mː a̠
らんまく	ɾ ã̠ mː a̠ k ɯ̟ᵝ
らんまん	ɾ ã̠ mː ã̠ ɴ
らんよう	ɾ ã̠ ɰ̃ j o̞ː
らんりつ	ɾ ã̠ n ɾʲ i t͡s ɨᵝ
らんる	ɾ ã̠ n ɾ ɯ̟ᵝ
り	ɾʲ i
りぇ	ɾʲ e̞
りえき	ɾʲ i e̞ kʲ i
りえん	ɾʲ i ẽ̞ ɴ
りか	ɾʲ i k a̠
りかん	ɾʲ i k ã̠ ɴ
りき	ɾʲ i kʲ i
りきさく	ɾʲ i kʲ i s a̠ k ɯ̟ᵝ
りきしゃ	ɾʲ i kʲ i̥ ɕ a̠
りきせん	ɾʲ i kʲ i s ẽ̞ ɴ
りきたけ	ɾʲ i kʲ i t a̠ k e̞
りきむ	ɾʲ i kʲ i m ɯ̟ᵝ
りくい	ɾʲ i k ɯ̟ᵝ i
りくさ	ɾʲ i k ɯ̟̊ᵝ s a̠
りくし	ɾʲ i k ɯ̟̊ᵝ ɕ i
りくしゅつ	ɾʲ i k ɯ̟̊ᵝ ɕ ɨ̥ᵝ t͡s ɨᵝ
りくしゅつか	ɾʲ i k ɯ̟̊ᵝ ɕ ɨ̥ᵝ t͡s ɨ̥ᵝ k a̠
りくしょう	ɾʲ i k ɯ̟̊ᵝ ɕ o̞ː
りくそう	ɾʲ i k ɯ̟̊ᵝ s o̞ː
りくち	ɾʲ i k ɯ̟̊ᵝ t͡ɕ i
りくちゅう	ɾʲ i k ɯ̟̊ᵝ t͡ɕ ɨᵝː
りくつ	ɾʲ i k ɯ̟̊ᵝ t͡s ɨᵝ
りくろ	ɾʲ i k ɯ̟ᵝ ɾ o̞
りけい	ɾʲ i k e̞ː
りけん	ɾʲ i k ẽ̞ ɴ
りこう	ɾʲ i k o̞ː
りこてき	ɾʲ i k o̞ t e̞ kʲ i
りこん	ɾʲ i k õ̞ ɴ
りさい	ɾʲ i s a̠ i
りさん	ɾʲ i s ã̠ ɴ
りし	ɾʲ i ɕ i
りしゅう	ɾʲ i ɕ ɨᵝː
りしょく	ɾʲ i ɕ o̞ k ɯ̟ᵝ
りしんろん	ɾʲ i ɕ ĩ n ɾ õ̞ ɴ
りせい	ɾʲ i s e̞ː
りせいてき	ɾʲ i s e̞ː t e̞ kʲ i
りせき	ɾʲ i s e̞ kʲ i
りそう	ɾʲ i s o̞ː
りそうきたい	ɾʲ i s o̞ː kʲ i t a̠ i
りそうきょう	ɾʲ i s o̞ː kʲ o̞ː
りそうてき	ɾʲ i s o̞ː t e̞ kʲ i
りそく	ɾʲ i s o̞ k ɯ̟ᵝ
りたつ	ɾʲ i t a̠ t͡s ɨᵝ
りち	ɾʲ i t͡ɕ i
りっか	ɾʲ i k̚ k a̠
りっきゃくち	ɾʲ i k̚ʲ kʲ a̠ k ɯ̟ᵝ t͡ɕ i
りっきゃくてん	ɾʲ i k̚ʲ kʲ a̠ k ɯ̟ᵝ t ẽ̞ ɴ
りっきょう	ɾʲ i k̚ʲ kʲ o̞ː
りっけんくんしゅせい	ɾʲ i k̚ k ẽ̞ ŋ k ɯ̟̃ᵝ ɰ̃ ɕ ɨ̥ᵝ s e̞ː
りっこう	ɾʲ i k̚ k o̞ː
りっこうほ	ɾʲ i k̚ k o̞ː h o̞
りっし	ɾʲ i ɕː i
りっしき	ɾʲ i ɕː i kʲ i
りっしゃ	ɾʲ i ɕː a̠
りっしゅう	ɾʲ i ɕː ɯ̟ᵝː
りっしんしゅっせ	ɾʲ i ɕː ĩ ɰ̃ ɕ ɨᵝ sː e̞
りったい	ɾʲ i t̚ t a̠ i
りったいし	ɾʲ i t̚ t a̠ i ɕ i
りったいは	ɾʲ i t̚ t a̠ i h a̠
りっとう	ɾʲ i t̚ t o̞ː
りつ	ɾʲ i t͡s ɨᵝ
りつい	ɾʲ i t͡s ɨᵝ i
りつもう	ɾʲ i t͡s ɨᵝ m o̞ː
りつもうきん	ɾʲ i t͡s ɨᵝ m o̞ː kʲ ĩ ɴ
りつりょう	ɾʲ i t͡s ɨᵝ ɾʲ o̞ː
りつりょうせい	ɾʲ i t͡s ɨᵝ ɾʲ o̞ː s e̞ː
りていひょう	ɾʲ i t e̞ː ç o̞ː
りと	ɾʲ i t o̞
りとう	ɾʲ i t o̞ː
りにゅう	ɾʲ i ɲ̟ ɯ̟ᵝː
りにゅうしょく	ɾʲ i ɲ̟ ɯ̟ᵝː ɕ o̞ k ɯ̟ᵝ
りねん	ɾʲ i n ẽ̞ ɴ
りはつし	ɾʲ i h a̠ t͡s ɨᵝ ɕ i
りほ	ɾʲ i h o̞
りめん	ɾʲ i m ẽ̞ ɴ
りゃ	ɾʲ a̠
りゃく	ɾʲ a̠ k ɯ̟ᵝ
りゃくし	ɾʲ a̠ k ɯ̟ᵝ ɕ i
りゃくしゅ	ɾʲ a̠ k ɯ̟̊ᵝ ɕ ɨᵝ
りゃくす	ɾʲ a̠ k ɯ̟ᵝ s ɨᵝ
りゃくれき	ɾʲ a̠ k ɯ̟ᵝ ɾ e̞ kʲ i
りゅ	ɾʲ ɨᵝ
りゅう	ɾʲ ɨᵝː
りゅうあん	ɾʲ ɨᵝː ã̠ ɴ
りゅういき	ɾʲ ɨᵝː i kʲ i
りゅうおう	ɾʲ ɨᵝː o̞ː
りゅうおん	ɾʲ ɨᵝː õ̞ ɴ
りゅうか	ɾʲ ɨᵝː k a̠
りゅうかい	ɾʲ ɨᵝː k a̠ i
りゅうかすいそ	ɾʲ ɨᵝː k a̠ s ɨᵝ i s o̞
りゅうかん	ɾʲ ɨᵝː k ã̠ ɴ
りゅうき	ɾʲ ɨᵝː kʲ i
りゅうきゅう	ɾʲ ɨᵝː kʲ ɨᵝː
りゅうきゅうおうこく	ɾʲ ɨᵝː kʲ ɨᵝː o̞ː k o̞ k ɯ̟ᵝ
りゅうきゅうこく	ɾʲ ɨᵝː kʲ ɨᵝː k o̞ k ɯ̟ᵝ
りゅうきょく	ɾʲ ɨᵝː kʲ o̞ k ɯ̟ᵝ
りゅうけつ	ɾʲ ɨᵝː k e̞ t͡s ɨᵝ
りゅうこう	ɾʲ ɨᵝː k o̞ː
りゅうこつ	ɾʲ ɨᵝː k o̞ t͡s ɨᵝ
りゅうさん	ɾʲ ɨᵝː s ã̠ ɴ
りゅうし	ɾʲ ɨᵝː ɕ i
りゅうしかそくき	ɾʲ ɨᵝː ɕ i̥ k a̠ s o̞ k ɯ̟̊ᵝ kʲ i
りゅうしつ	ɾʲ ɨᵝː ɕ i t͡s ɨᵝ
りゅうしゃ	ɾʲ ɨᵝː ɕ a̠
りゅうせい	ɾʲ ɨᵝː s e̞ː
りゅうせいう	ɾʲ ɨᵝː s e̞ː ɯ̟ᵝ
りゅうせんけい	ɾʲ ɨᵝː s ẽ̞ ŋ k e̞ː
りゅうそく	ɾʲ ɨᵝː s o̞ k ɯ̟ᵝ
りゅうた	ɾʲ ɨᵝː t a̠
りゅうたい	ɾʲ ɨᵝː t a̠ i
りゅうたろう	ɾʲ ɨᵝː t a̠ ɾ o̞ː
りゅうちょう	ɾʲ ɨᵝː t͡ɕ o̞ː
りゅうは	ɾʲ ɨᵝː h a̠
りゅうひょう	ɾʲ ɨᵝː ç o̞ː
りゅうめ	ɾʲ ɨᵝː m e̞
りゅうり	ɾʲ ɨᵝː ɾʲ i
りゅうりゅう	ɾʲ ɨᵝː ɾʲ ɨᵝː
りゅうりょうけい	ɾʲ ɨᵝː ɾʲ o̞ː k e̞ː
りゆう	ɾʲ i j ɯ̟ᵝː
りょ	ɾʲ o̞
りょう	ɾʲ o̞ː
りょうあし	ɾʲ o̞ː a̠ ɕ i
りょういき	ɾʲ o̞ː i kʲ i
りょういんせい	ɾʲ o̞ː ĩ ɰ̃ s e̞ː
りょうおもい	ɾʲ o̞ː o̞ m o̞ i
りょうかい	ɾʲ o̞ː k a̠ i
りょうかん	ɾʲ o̞ː k ã̠ ɴ
りょうき	ɾʲ o̞ː kʲ i
りょうきき	ɾʲ o̞ː kʲ i kʲ i
りょうきゃく	ɾʲ o̞ː kʲ a̠ k ɯ̟ᵝ
りょうきゃくき	ɾʲ o̞ː kʲ a̠ k ɯ̟ᵝ kʲ i
りょうきょく	ɾʲ o̞ː kʲ o̞ k ɯ̟ᵝ
りょうきん	ɾʲ o̞ː kʲ ĩ ɴ
りょうくう	ɾʲ o̞ː k ɯ̟ᵝː
りょうけん	ɾʲ o̞ː k ẽ̞ ɴ
りょうこく	ɾʲ o̞ː k o̞ k ɯ̟ᵝ
りょうさん	ɾʲ o̞ː s ã̠ ɴ
りょうし	ɾʲ o̞ː ɕ i
りょうしか	ɾʲ o̞ː ɕ i k a̠
りょうしつ	ɾʲ o̞ː ɕ i t͡s ɨᵝ
りょうしもつれ	ɾʲ o̞ː ɕ i m o̞ t͡s ɨᵝ ɾ e̞
りょうしゃ	ɾʲ o̞ː ɕ a̠
りょうしゅうしょ	ɾʲ o̞ː ɕ ɨᵝː ɕ o̞
りょうしん	ɾʲ o̞ː ɕ ĩ ɴ
りょうしんおん	ɾʲ o̞ː ɕ ĩ ɰ̃ õ̞ ɴ
りょうしんのかしゃく	ɾʲ o̞ː ɕ ĩ n n o̞ k a̠ ɕ a̠ k ɯ̟ᵝ
りょうせい	ɾʲ o̞ː s e̞ː
りょうせいこく	ɾʲ o̞ː s e̞ː k o̞ k ɯ̟ᵝ
りょうせいせつ	ɾʲ o̞ː s e̞ː s e̞ t͡s ɨᵝ
りょうせいてき	ɾʲ o̞ː s e̞ː t e̞ kʲ i
りょうせいるい	ɾʲ o̞ː s e̞ː ɾ ɯ̟ᵝ i
りょうち	ɾʲ o̞ː t͡ɕ i
りょうて	ɾʲ o̞ː t e̞
りょうはんてん	ɾʲ o̞ː h ã̠ n t ẽ̞ ɴ
りょうほ	ɾʲ o̞ː h o̞
りょうほう	ɾʲ o̞ː h o̞ː
りょうみん	ɾʲ o̞ː mʲ ĩ ɴ
りょうもん	ɾʲ o̞ː m õ̞ ɴ
りょうゆう	ɾʲ o̞ː j ɯ̟ᵝː
りょうよう	ɾʲ o̞ː j o̞ː
りょうようしょ	ɾʲ o̞ː j o̞ː ɕ o̞
りょうり	ɾʲ o̞ː ɾʲ i
りょうりしゅ	ɾʲ o̞ː ɾʲ i ɕ ɨᵝ
りょうりつ	ɾʲ o̞ː ɾʲ i t͡s ɨᵝ
りょうろん	ɾʲ o̞ː ɾ õ̞ ɴ
りょうわき	ɾʲ o̞ː ɰᵝ a̠ kʲ i
りょかくき	ɾʲ o̞ k a̠ k ɯ̟̊ᵝ kʲ i
りょかん	ɾʲ o̞ k ã̠ ɴ
りょくせんこう	ɾʲ o̞ k ɯ̟ᵝ s ẽ̞ ŋ k o̞ː
りょくそう	ɾʲ o̞ k ɯ̟̊ᵝ s o̞ː
りょくち	ɾʲ o̞ k ɯ̟ᵝ t͡ɕ i
りょくちく	ɾʲ o̞ k ɯ̟ᵝ t͡ɕ i k ɯ̟ᵝ
りょくちたい	ɾʲ o̞ k ɯ̟ᵝ t͡ɕ i t a̠ i
りょくちゃ	ɾʲ o̞ k ɯ̟ᵝ t͡ɕ a̠
りょくはつ	ɾʲ o̞ k ɯ̟ᵝ h a̠ t͡s ɨᵝ
りょくへん	ɾʲ o̞ k ɯ̟ᵝ h ẽ̞ ɴ
りょくら	ɾʲ o̞ k ɯ̟ᵝ ɾ a̠
りょくれんせき	ɾʲ o̞ k ɯ̟ᵝ ɾ ẽ̞ ɰ̃ s e̞ kʲ i
りょこう	ɾʲ o̞ k o̞ː
りょこうしゃ	ɾʲ o̞ k o̞ː ɕ a̠
りょっか	ɾʲ o̞ k̚ k a̠
りょっこう	ɾʲ o̞ k̚ k o̞ː
りょてい	ɾʲ o̞ t e̞ː
りょひ	ɾʲ o̞ ç i
りょりょく	ɾʲ o̞ ɾʲ o̞ k ɯ̟ᵝ
りよう	ɾʲ i j o̞ː
りようかち	ɾʲ i j o̞ː k a̠ t͡ɕ i
りようしゃ	ɾʲ i j o̞ː ɕ a̠
りりく	ɾʲ i ɾʲ i k ɯ̟ᵝ
りりしい	ɾʲ i ɾʲ i ɕ iː
りりつ	ɾʲ i ɾʲ i t͡s ɨᵝ
りれき	ɾʲ i ɾ e̞ kʲ i
りれきしょ	ɾʲ i ɾ e̞ kʲ i̥ ɕ o̞
りろ	ɾʲ i ɾ o̞
りろんか	ɾʲ i ɾ õ̞ ŋ k a̠
りん	ɾʲ ĩ ɴ
りんあん	ɾʲ ĩ ɰ̃ ã̠ ɴ
りんかい	ɾʲ ĩ ŋ k a̠ i
りんかいせき	ɾʲ ĩ ŋ k a̠ i s e̞ kʲ i
りんかく	ɾʲ ĩ ŋ k a̠ k ɯ̟ᵝ
りんきおうへん	ɾʲ ĩ ŋʲ kʲ i o̞ː h ẽ̞ ɴ
