Є	j ɛ
целєцови	t͡s ɛ ʎ ɛ t͡s ɔ v i
целїчка	t͡s ɛ ʎ i t͡ʃ k a
цемни	t͡s ɛ m n i
цемносц	t͡s ɛ m n ɔ s t͡s
цемнота	t͡s ɛ m n ɔ t a
цемнїц	t͡s ɛ m ɲ i t͡s
цемнїца	t͡s ɛ m ɲ i t͡s a
цемнїцар	t͡s ɛ m ɲ i t͡s a r
цемнїцки	t͡s ɛ m ɲ i t͡s k i
цемнїцов	t͡s ɛ m ɲ i t͡s ɔ w
цена	t͡s ɛ n a
ценами	t͡s ɛ n a m i
ценке	t͡s ɛ ŋ k ɛ
ценки	t͡s ɛ ŋ k i
ценко	t͡s ɛ ŋ k ɔ
ценкосц	t͡s ɛ ŋ k ɔ s t͡s
ценкошиї	t͡s ɛ ŋ k ɔ ʃ i j i
ценовнїк	t͡s ɛ n ɔ w ɲ i k
цент	t͡s ɛ n t
центер	t͡s ɛ n t ɛ r
центиметер	t͡s ɛ n t i m ɛ t ɛ r
централни	t͡s ɛ n t r a l n i
ценїц	t͡s ɛ ɲ i t͡s
цепли	t͡s ɛ p l i
цепло	t͡s ɛ p l ɔ
цеплота	t͡s ɛ p l ɔ t a
церква	t͡s ɛ r k v a
церковни	t͡s ɛ r k ɔ w n i
цесками	t͡s ɛ s k a m i
цесков	t͡s ɛ s k ɔ w
цеснок	t͡s ɛ s n ɔ k
цеста	t͡s ɛ s t a
цесто	t͡s ɛ s t ɔ
ци	t͡s i
цибуля	t͡s i b u ʎ a
циварвань	t͡s i v a r v a ɲ
цидула	t͡s i d u l a
цикави	t͡s i k a v i
цикавима	t͡s i k a v i m a
цил	t͡s i l
циловац	t͡s i l ɔ v a t͡s
циль	t͡s i ʎ
цильовац	t͡s i ʎ ɔ v a t͡s
цилями	t͡s i ʎ a m i
цимбора	t͡s i m b ɔ r a
цимборами	t͡s i m b ɔ r a m i
цимер	t͡s i m ɛ r
цимерман	t͡s i m ɛ r m a n
цимермански	t͡s i m ɛ r m a n s k i
цимет	t͡s i m ɛ t
циметов	t͡s i m ɛ t ɔ w
циметови	t͡s i m ɛ t ɔ v i
цин	t͡s i n
цинтор	t͡s i n t ɔ r
цинцарски	t͡s i n t͡s a r s k i
цинь	t͡s i ɲ
циньови	t͡s i ɲ ɔ v i
ционизем	t͡s i ɔ n i z ɛ m
ционизм	t͡s i ɔ n i z m̩
ционист	t͡s i ɔ n i s t
циониста	t͡s i ɔ n i s t a
ционистични	t͡s i ɔ n i s t i t͡ʃ n i
ципела	t͡s i p ɛ l a
ципелами	t͡s i p ɛ l a m i
цирихски	t͡s i r i x s k i
циркель	t͡s i r k ɛ ʎ
цихи	t͡s i x i
цихо	t͡s i x ɔ
цихосц	t͡s i x ɔ s t͡s
цица	t͡s i t͡s a
циґаретла	t͡s i ɡ a r ɛ t l a
циґонь	t͡s i ɡ ɔ ɲ
циґоньчкар	t͡s i ɡ ɔ ɲ t͡ʃ k a r
циґоньчкариц	t͡s i ɡ ɔ ɲ t͡ʃ k a r i t͡s
циґоньчкарски	t͡s i ɡ ɔ ɲ t͡ʃ k a r s k i
циґоньчок	t͡s i ɡ ɔ ɲ t͡ʃ ɔ k
циґоняр	t͡s i ɡ ɔ ɲ a r
циґонярски	t͡s i ɡ ɔ ɲ a r s k i
цма	t͡s m a
цми	t͡s m i
цмота	t͡s m ɔ t a
цни	t͡s n i
цнота	t͡s n ɔ t a
цо	t͡s ɔ
цоже	t͡s ɔ ʒ ɛ
цошка	t͡s ɔ ʃ k a
цудзи	t͡s u d͡z i
цудзина	t͡s u d͡z i n a
цудзинка	t͡s u d͡z i ŋ k a
цудзинєц	t͡s u d͡z i ɲ ɛ t͡s
цукер	t͡s u k ɛ r
цуґ	t͡s u k
ч	t͡ʃ
чай	t͡ʃ a j
чаривни	t͡ʃ a r i w n i
чаривносц	t͡ʃ a r i w n ɔ s t͡s
чаривнїк	t͡ʃ a r i w ɲ i k
чарни	t͡ʃ a r n i
чарногорски	t͡ʃ a r n ɔ ɦ ɔ r s k i
чародїй	t͡ʃ a r ɔ ɟ i j
чародїйка	t͡ʃ a r ɔ ɟ i j k a
чародїйство	t͡ʃ a r ɔ ɟ i j s t v ɔ
час	t͡ʃ a s
часове	t͡ʃ a s ɔ v ɛ
часови	t͡ʃ a s ɔ v i
часовнїк	t͡ʃ a s ɔ w ɲ i k
частейше	t͡ʃ a s t ɛ j ʃ ɛ
частейши	t͡ʃ a s t ɛ j ʃ i
части	t͡ʃ a s t i
часто	t͡ʃ a s t ɔ
частосц	t͡ʃ a s t ɔ s t͡s
частота	t͡ʃ a s t ɔ t a
часточни	t͡ʃ a s t ɔ t͡ʃ n i
часточно	t͡ʃ a s t ɔ t͡ʃ n ɔ
часточнє	t͡ʃ a s t ɔ t͡ʃ ɲ ɛ
часц	t͡ʃ a s t͡s
часцами	t͡ʃ a s t͡s a m i
чат	t͡ʃ a t
чата	t͡ʃ a t a
чаярня	t͡ʃ a j a r ɲ a
чевабджинїца	t͡ʃ ɛ v a b d͡ʒ i ɲ i t͡s a
чевабджинїцами	t͡ʃ ɛ v a b d͡ʒ i ɲ i t͡s a m i
чевап	t͡ʃ ɛ v a p
чевапчич	t͡ʃ ɛ v a p t͡ʃ i t͡ʃ
чежки	t͡ʃ ɛ ʃ k i
чежко	t͡ʃ ɛ ʃ k ɔ
чека	t͡ʃ ɛ k a
чекальня	t͡ʃ ɛ k a ʎ ɲ a
чекам	t͡ʃ ɛ k a m
чекаме	t͡ʃ ɛ k a m ɛ
чекац	t͡ʃ ɛ k a t͡s
чекаце	t͡ʃ ɛ k a t͡s ɛ
чекаш	t͡ʃ ɛ k a ʃ
чекаю	t͡ʃ ɛ k a j u
челїк	t͡ʃ ɛ ʎ i k
червени	t͡ʃ ɛ r v ɛ n i
червенїц	t͡ʃ ɛ r v ɛ ɲ i t͡s
черево	t͡ʃ ɛ r ɛ v ɔ
черешня	t͡ʃ ɛ r ɛ ʃ ɲ a
череґа	t͡ʃ ɛ r ɛ ɡ a
череґи	t͡ʃ ɛ r ɛ ɡ i
чернїца	t͡ʃ ɛ r ɲ i t͡s a
ческа	t͡ʃ ɛ s k a
чески	t͡ʃ ɛ s k i
чесни	t͡ʃ ɛ s n i
чесно	t͡ʃ ɛ s n ɔ
чесносц	t͡ʃ ɛ s n ɔ s t͡s
чеснота	t͡ʃ ɛ s n ɔ t a
чесц	t͡ʃ ɛ s t͡s
чечиц	t͡ʃ ɛ t͡ʃ i t͡s
чечни	t͡ʃ ɛ t͡ʃ n i
чечно	t͡ʃ ɛ t͡ʃ n ɔ
чечносц	t͡ʃ ɛ t͡ʃ n ɔ s t͡s
чечуци	t͡ʃ ɛ t͡ʃ u t͡s i
чи	t͡ʃ i
чий	t͡ʃ i j
чийшик	t͡ʃ i j ʃ i k
чикаґски	t͡ʃ i k a k s k i
чим	t͡ʃ i m
числами	t͡ʃ i s l a m i
число	t͡ʃ i s l ɔ
чисти	t͡ʃ i s t i
чисто	t͡ʃ i s t ɔ
чистота	t͡ʃ i s t ɔ t a
чистотни	t͡ʃ i s t ɔ t n i
чисциц	t͡ʃ i s t͡s i t͡s
чита	t͡ʃ i t a
читай	t͡ʃ i t a j
читайце	t͡ʃ i t a j t͡s ɛ
читальня	t͡ʃ i t a ʎ ɲ a
читам	t͡ʃ i t a m
читаме	t͡ʃ i t a m ɛ
читатель	t͡ʃ i t a t ɛ ʎ
читац	t͡ʃ i t a t͡s
читаце	t͡ʃ i t a t͡s ɛ
читаш	t͡ʃ i t a ʃ
читаю	t͡ʃ i t a j u
чишлє	t͡ʃ i ʃ ʎ ɛ
чишлїтель	t͡ʃ i ʃ ʎ i t ɛ ʎ
чишлїц	t͡ʃ i ʃ ʎ i t͡s
чкода	t͡ʃ k ɔ d a
чкодлїви	t͡ʃ k ɔ ɟ ʎ i v i
член	t͡ʃ l ɛ n
членски	t͡ʃ l ɛ n s k i
членство	t͡ʃ l ɛ n s t v ɔ
чловек	t͡ʃ l ɔ v ɛ k
чловече	t͡ʃ l ɔ v ɛ t͡ʃ ɛ
чловечни	t͡ʃ l ɔ v ɛ t͡ʃ n i
чловечно	t͡ʃ l ɔ v ɛ t͡ʃ n ɔ
чловечносц	t͡ʃ l ɔ v ɛ t͡ʃ n ɔ s t͡s
чоколада	t͡ʃ ɔ k ɔ l a d a
чоколадни	t͡ʃ ɔ k ɔ l a d n i
чоколадов	t͡ʃ ɔ k ɔ l a d ɔ w
чоколадове	t͡ʃ ɔ k ɔ l a d ɔ v ɛ
чоколадови	t͡ʃ ɔ k ɔ l a d ɔ v i
чоло	t͡ʃ ɔ l ɔ
чом	t͡ʃ ɔ m
чомов	t͡ʃ ɔ m ɔ w
чомовчок	t͡ʃ ɔ m ɔ w t͡ʃ ɔ k
чорт	t͡ʃ ɔ r t
чорта	t͡ʃ ɔ r t a
чувани	t͡ʃ u v a n i
чуванє	t͡ʃ u v a ɲ ɛ
чувар	t͡ʃ u v a r
чуварка	t͡ʃ u v a r k a
чуварни	t͡ʃ u v a r n i
чувац	t͡ʃ u v a t͡s
чувствительни	t͡ʃ u w s t v i t ɛ ʎ n i
чувствительносц	t͡ʃ u w s t v i t ɛ ʎ n ɔ s t͡s
чувство	t͡ʃ u w s t v ɔ
чувствовац	t͡ʃ u w s t v ɔ v a t͡s
чувствуюци	t͡ʃ u w s t v u j u t͡s i
чудесни	t͡ʃ u d ɛ s n i
чудни	t͡ʃ u d n i
чудно	t͡ʃ u d n ɔ
чуднє	t͡ʃ u ɟ ɲ ɛ
чудо	t͡ʃ u d ɔ
чудовац	t͡ʃ u d ɔ v a t͡s
чудовиско	t͡ʃ u d ɔ v i s k ɔ
чунґам	t͡ʃ u ŋ ɡ a m
чунґамами	t͡ʃ u ŋ ɡ a m a m i
чунґами	t͡ʃ u n ɡ a m i
чуц	t͡ʃ u t͡s
чую	t͡ʃ u j u
чує	t͡ʃ u j ɛ
чуєм	t͡ʃ u j ɛ m
чуєме	t͡ʃ u j ɛ m ɛ
чуєце	t͡ʃ u j ɛ t͡s ɛ
чуєш	t͡ʃ u j ɛ ʃ
ш	ʃ
шакал	ʃ a k a l
шалата	ʃ a l a t a
шалвия	ʃ a l v i j a
шампань	ʃ a m p a ɲ
шампаньске	ʃ a m p a ɲ s k ɛ
шампаньски	ʃ a m p a ɲ s k i
шампанєц	ʃ a m p a ɲ ɛ t͡s
шанса	ʃ a n s a
шансами	ʃ a n s a m i
шаркань	ʃ a r k a ɲ
шатва	ʃ a t v a
шатвови	ʃ a t v ɔ v i
шатвопририхтовач	ʃ a t v ɔ p r i r i x t ɔ v a t͡ʃ
шах	ʃ a x
шахист	ʃ a x i s t
шахиста	ʃ a x i s t a
шахистка	ʃ a x i s t k a
шахов	ʃ a x ɔ w
шаховац	ʃ a x ɔ v a t͡s
шахови	ʃ a x ɔ v i
шаховски	ʃ a x ɔ w s k i
шац	ʃ a t͡s
шаце	ʃ a t͡s ɛ
швайзовац	ʃ v a j z ɔ v a t͡s
швайцарска	ʃ v a j t͡s a r s k a
швайцарски	ʃ v a j t͡s a r s k i
шведска	ʃ v ɛ t s k a
шведски	ʃ v ɛ t s k i
швекор	ʃ v ɛ k ɔ r
швекра	ʃ v ɛ k r a
швекрами	ʃ v ɛ k r a m i
швекрове	ʃ v ɛ k r ɔ v ɛ
швет	ʃ v ɛ t
швета	ʃ v ɛ t a
шветли	ʃ v ɛ t l i
шветло	ʃ v ɛ t l ɔ
шветлосц	ʃ v ɛ t l ɔ s t͡s
швето	ʃ v ɛ t ɔ
шветови	ʃ v ɛ t ɔ v i
шветочни	ʃ v ɛ t ɔ t͡ʃ n i
шветочно	ʃ v ɛ t ɔ t͡ʃ n ɔ
шветочносц	ʃ v ɛ t ɔ t͡ʃ n ɔ s t͡s
шветска	ʃ v ɛ t s k a
шветски	ʃ v ɛ t s k i
швеце	ʃ v ɛ t͡s ɛ
швидки	ʃ v i t k i
швидко	ʃ v i t k ɔ
швидкосц	ʃ v i t k ɔ s t͡s
швижи	ʃ v i ʒ i
швижо	ʃ v i ʒ ɔ
швижосц	ʃ v i ʒ ɔ s t͡s
швиньске	ʃ v i ɲ s k ɛ
швиньски	ʃ v i ɲ s k i
швиня	ʃ v i ɲ a
швинєцина	ʃ v i ɲ ɛ t͡s i n a
швинїна	ʃ v i ɲ i n a
швицарнїк	ʃ v i t͡s a r ɲ i k
швицаци	ʃ v i t͡s a t͡s i
швицацосц	ʃ v i t͡s a t͡s ɔ s t͡s
швицач	ʃ v i t͡s a t͡ʃ
швициц	ʃ v i t͡s i t͡s
швичка	ʃ v i t͡ʃ k a
швичкар	ʃ v i t͡ʃ k a r
швичнїк	ʃ v i t͡ʃ ɲ i k
швичочка	ʃ v i t͡ʃ ɔ t͡ʃ k a
ше	ʃ ɛ
шедзиско	ʃ ɛ d͡z i s k ɔ
шедзисков	ʃ ɛ d͡z i s k ɔ w
шедзиц	ʃ ɛ d͡z i t͡s
шейдзешат	ʃ ɛ j d͡z ɛ ʃ a t
шейдзешати	ʃ ɛ j d͡z ɛ ʃ a t i
шейсц	ʃ ɛ j s t͡s
шейсцме	ʃ ɛ j s t͡s m ɛ
шейталїще	ʃ ɛ j t a ʎ i ʃ t͡ʃ ɛ
шейтанє	ʃ ɛ j t a ɲ ɛ
шейтац	ʃ ɛ j t a t͡s
шейтач	ʃ ɛ j t a t͡ʃ
шекера	ʃ ɛ k ɛ r a
шено	ʃ ɛ n ɔ
шерцами	ʃ ɛ r t͡s a m i
шерцо	ʃ ɛ r t͡s ɔ
шеснасти	ʃ ɛ s n a s t i
шеснац	ʃ ɛ s n a t͡s
шести	ʃ ɛ s t i
шестра	ʃ ɛ s t r a
шестрин	ʃ ɛ s t r i n
шестринство	ʃ ɛ s t r i n s t v ɔ
шестров	ʃ ɛ s t r ɔ w
шеф	ʃ ɛ f
шеґерт	ʃ ɛ ɡ ɛ r t
ши	ʃ i
шиви	ʃ i v i
шивиц	ʃ i v i t͡s
шивосц	ʃ i v ɔ s t͡s
шидски	ʃ i t s k i
шидянски	ʃ i ɟ a n s k i
ширина	ʃ i r i n a
широки	ʃ i r ɔ k i
широкосц	ʃ i r ɔ k ɔ s t͡s
ширцом	ʃ i r t͡s ɔ m
шифа	ʃ i f a
шиц	ʃ i t͡s
шице	ʃ i t͡s ɛ
шицки	ʃ i t͡s k i
шицким	ʃ i t͡s k i m
шицко	ʃ i t͡s k ɔ
шицкого	ʃ i t͡s k ɔ ɦ ɔ
шицок	ʃ i t͡s ɔ k
шия	ʃ i j a
шкатула	ʃ k a t u l a
шкатулка	ʃ k a t u l k a
школа	ʃ k ɔ l a
школовани	ʃ k ɔ l ɔ v a n i
школованосц	ʃ k ɔ l ɔ v a n ɔ s t͡s
школованє	ʃ k ɔ l ɔ v a ɲ ɛ
школовац	ʃ k ɔ l ɔ v a t͡s
школски	ʃ k ɔ l s k i
школяр	ʃ k ɔ ʎ a r
школярка	ʃ k ɔ ʎ a r k a
школїц	ʃ k ɔ ʎ i t͡s
шлосер	ʃ l ɔ s ɛ r
шлєбода	ʃ ʎ ɛ b ɔ d a
шлєбодзиц	ʃ ʎ ɛ b ɔ d͡z i t͡s
шлєбодни	ʃ ʎ ɛ b ɔ d n i
шлєбодно	ʃ ʎ ɛ b ɔ d n ɔ
шлєбодного	ʃ ʎ ɛ b ɔ d n ɔ ɦ ɔ
шлївка	ʃ ʎ i w k a
шлївков	ʃ ʎ i w k ɔ w
шлїд	ʃ ʎ i t
шлїдуюци	ʃ ʎ i d u j u t͡s i
шлїдуюцого	ʃ ʎ i d u j u t͡s ɔ ɦ ɔ
шмата	ʃ m a t a
шматами	ʃ m a t a m i
шмели	ʃ m ɛ l i
шмело	ʃ m ɛ l ɔ
шмелосц	ʃ m ɛ l ɔ s t͡s
шмелїц	ʃ m ɛ ʎ i t͡s
шмерц	ʃ m ɛ r t͡s
шметанка	ʃ m ɛ t a ŋ k a
шмец	ʃ m ɛ t͡s
шмеяц	ʃ m ɛ j a t͡s
шмих	ʃ m i x
шмишне	ʃ m i ʃ n ɛ
шмишни	ʃ m i ʃ n i
шмишно	ʃ m i ʃ n ɔ
шмишнє	ʃ m i ʃ ɲ ɛ
шнелцуґ	ʃ n ɛ l t͡s u k
шнїг	ʃ ɲ i x
шнїгове	ʃ ɲ i ɦ ɔ v ɛ
шнїгови	ʃ ɲ i ɦ ɔ v i
шнїц	ʃ ɲ i t͡s
шнїце	ʃ ɲ i t͡s ɛ
шнїюци	ʃ ɲ i j u t͡s i
шнїюцо	ʃ ɲ i j u t͡s ɔ
шнїє	ʃ ɲ i j ɛ
шовґор	ʃ ɔ w ɡ ɔ r
шовґрове	ʃ ɔ w ɡ r ɔ v ɛ
шолька	ʃ ɔ ʎ k a
шольочка	ʃ ɔ ʎ ɔ t͡ʃ k a
шолїчка	ʃ ɔ ʎ i t͡ʃ k a
шор	ʃ ɔ r
шорик	ʃ ɔ r i k
шориц	ʃ ɔ r i t͡s
шоровац	ʃ ɔ r ɔ v a t͡s
шорови	ʃ ɔ r ɔ v i
шпански	ʃ p a n s k i
шпацир	ʃ p a t͡s i r
шпациралїще	ʃ p a t͡s i r a ʎ i ʃ t͡ʃ ɛ
шпацирац	ʃ p a t͡s i r a t͡s
шпацирач	ʃ p a t͡s i r a t͡ʃ
шпацирка	ʃ p a t͡s i r k a
шпи	ʃ p i
шпиванка	ʃ p i v a ŋ k a
шпивац	ʃ p i v a t͡s
шпим	ʃ p i m
шпиме	ʃ p i m ɛ
шпинат	ʃ p i n a t
шпиталь	ʃ p i t a ʎ
шпитальски	ʃ p i t a ʎ s k i
шпице	ʃ p i t͡s ɛ
шпиш	ʃ p i ʃ
шпоргет	ʃ p ɔ r ɦ ɛ t
шпя	ʃ p j a
шрафциґер	ʃ r a f t͡s i ɡ ɛ r
штварти	ʃ t v a r t i
штвартками	ʃ t v a r t k a m i
штварток	ʃ t v a r t ɔ k
штерацети	ʃ t ɛ r a t͡s ɛ t i
штерацец	ʃ t ɛ r a t͡s ɛ t͡s
штернасти	ʃ t ɛ r n a s t i
штернац	ʃ t ɛ r n a t͡s
штири	ʃ t i r i
штирме	ʃ t i r m ɛ
штироугелнїк	ʃ t i r ɔ u ɦ ɛ ʎ ɲ i k
штолверка	ʃ t ɔ l v ɛ r k a
штрайк	ʃ t r a j k
штрайкач	ʃ t r a j k a t͡ʃ
штрайкбрехер	ʃ t r a j ɡ b r ɛ x ɛ r
штранджок	ʃ t r a ɲ d͡ʒ ɔ k
штранґ	ʃ t r a ŋ k
штранґар	ʃ t r a ŋ ɡ a r
штред	ʃ t r ɛ t
штредком	ʃ t r ɛ t k ɔ m
штредньобанатски	ʃ t r ɛ ɟ ɲ ɔ b a n a t s k i
штреднього	ʃ t r ɛ ɟ ɲ ɔ ɦ ɔ
штредньоевропски	ʃ t r ɛ ɟ ɲ ɔ ɛ v r ɔ p s k i
штреднї	ʃ t r ɛ ɟ ɲ i
штредожемни	ʃ t r ɛ d ɔ ʒ ɛ m n i
штредок	ʃ t r ɛ d ɔ k
штрицкара	ʃ t r i t͡s k a r a
штучна	ʃ t u t͡ʃ n a
штучни	ʃ t u t͡ʃ n i
штучного	ʃ t u t͡ʃ n ɔ ɦ ɔ
шунка	ʃ u ŋ k a
шуночка	ʃ u n ɔ t͡ʃ k a
щ	ʃ t͡ʃ
щенє	ʃ t͡ʃ ɛ ɲ ɛ
щесце	ʃ t͡ʃ ɛ s t͡s ɛ
щешлїви	ʃ t͡ʃ ɛ ʃ ʎ i v i
щешлїво	ʃ t͡ʃ ɛ ʃ ʎ i v ɔ
щи	ʃ t͡ʃ i
щири	ʃ t͡ʃ i r i
щиро	ʃ t͡ʃ i r ɔ
щиросц	ʃ t͡ʃ i r ɔ s t͡s
щит	ʃ t͡ʃ i t
щитни	ʃ t͡ʃ i t n i
щитов	ʃ t͡ʃ i t ɔ w
щитоношач	ʃ t͡ʃ i t ɔ n ɔ ʃ a t͡ʃ
щициц	ʃ t͡ʃ i t͡s i t͡s
ь	c
ь	ɟ
ь	ɲ
ь	ʎ
ю	j u
ювелир	j u v ɛ l i r
ювелирка	j u v ɛ l i r k a
ювелирски	j u v ɛ l i r s k i
ювилей	j u v i l ɛ j
ювилейни	j u v i l ɛ j n i
юг	j u x
югас	j u ɦ a s
югаски	j u ɦ a s k i
югащок	j u ɦ a ʃ t͡ʃ ɔ k
юговосток	j u ɦ ɔ v ɔ s t ɔ k
юговосточни	j u ɦ ɔ v ɔ s t ɔ t͡ʃ n i
югозаход	j u ɦ ɔ z a x ɔ t
югозаходни	j u ɦ ɔ z a x ɔ d n i
югославянски	j u ɦ ɔ s l a v j a n s k i
южни	j u ʒ n i
южно	j u ʒ n ɔ
южноафрицки	j u ʒ n ɔ a f r i t͡s k i
южнобанатски	j u ʒ n ɔ b a n a t s k i
южнобачки	j u ʒ n ɔ b a t͡ʃ k i
южнокорейски	j u ʒ n ɔ k ɔ r ɛ j s k i
юлий	j u l i j
юлийски	j u l i j s k i
юнак	j u n a k
юнацки	j u n a t͡s k i
юнацтво	j u n a t͡s t v ɔ
юний	j u n i j
юнийски	j u n i j s k i
ютре	j u t r ɛ
ютредзень	j u t r ɛ d͡z ɛ ɲ
ютрейши	j u t r ɛ j ʃ i
ютро	j u t r ɔ
юха	j u x a
юхов	j u x ɔ w
юшка	j u ʃ k a
юшочка	j u ʃ ɔ t͡ʃ k a
я	j a
яблоня	j a b l ɔ ɲ a
яблуко	j a b l u k ɔ
яблуков	j a b l u k ɔ w
яблучко	j a b l u t͡ʃ k ɔ
яв	j a w
ява	j a v a
яви	j a v i
явиц	j a v i t͡s
явни	j a w n i
явно	j a w n ɔ
явносц	j a w n ɔ s t͡s
явор	j a v ɔ r
яворов	j a v ɔ r ɔ w
яворови	j a v ɔ r ɔ v i
явя	j a v j a
явяц	j a v j a t͡s
ягода	j a ɦ ɔ d a
ядловец	j a d l ɔ v ɛ t͡s
ядрански	j a d r a n s k i
ядро	j a d r ɔ
ядрови	j a d r ɔ v i
язик	j a z i k
як	j a k
якби	j a ɡ b i
яки	j a k i
яким	j a k i m
якиш	j a k i ʃ
якосц	j a k ɔ s t͡s
якош	j a k ɔ ʃ
якраз	j a k r a s
янтар	j a n t a r
янтарни	j a n t a r n i
янтарови	j a n t a r ɔ v i
януар	j a n u a r
януарски	j a n u a r s k i
японски	j a p ɔ n s k i
яр	j a r
ярец	j a r ɛ t͡s
ярнї	j a r ɲ i
ярчани	j a r t͡ʃ a n i
ясна	j a s n a
ясни	j a s n i
ясно	j a s n ɔ
ясносц	j a s n ɔ s t͡s
ястраб	j a s t r a p
яшнїц	j a ʃ ɲ i t͡s
ящур	j a ʃ t͡ʃ u r
ящурка	j a ʃ t͡ʃ u r k a
яґда	j a ɡ d a
яґод	j a ɡ ɔ t
яґуар	j a ɡ u a r
є	j ɛ
єбац	j ɛ b a t͡s
євангелийски	j ɛ v a n ɦ ɛ l i j s k i
євангелист	j ɛ v a n ɦ ɛ l i s t
євангелиста	j ɛ v a n ɦ ɛ l i s t a
євангелистични	j ɛ v a n ɦ ɛ l i s t i t͡ʃ n i
євангелия	j ɛ v a n ɦ ɛ l i j a
євангелиє	j ɛ v a n ɦ ɛ l i j ɛ
єгипетски	j ɛ ɦ i p ɛ t s k i
єго	j ɛ ɦ ɔ
єден	j ɛ d ɛ n
єденасти	j ɛ d ɛ n a s t i
єденац	j ɛ d ɛ n a t͡s
єденацме	j ɛ d ɛ n a t͡s m ɛ
єдз	j ɛ t͡s
єдза	j ɛ d͡z a
єдзенє	j ɛ d͡z ɛ ɲ ɛ
єдзце	j ɛ t͡sː ɛ
єдини	j ɛ d i n i
єдло	j ɛ d l ɔ
єдловнїк	j ɛ d l ɔ w ɲ i k
єдна	j ɛ d n a
єднак	j ɛ d n a k
єднаке	j ɛ d n a k ɛ
єднаки	j ɛ d n a k i
єднакосц	j ɛ d n a k ɔ s t͡s
єднанка	j ɛ d n a ŋ k a
єднанє	j ɛ d n a ɲ ɛ
єднац	j ɛ d n a t͡s
єдначина	j ɛ d n a t͡ʃ i n a
єдно	j ɛ d n ɔ
єднонапрямни	j ɛ d n ɔ n a p r j a m n i
єднонапрямове	j ɛ d n ɔ n a p r j a m ɔ v ɛ
єднонапрямови	j ɛ d n ɔ n a p r j a m ɔ v i
єдол	j ɛ d ɔ l
єй	j ɛ j
єлень	j ɛ l ɛ ɲ
єлефант	j ɛ l ɛ f a n t
єлефантица	j ɛ l ɛ f a n t i t͡s a
єлефантов	j ɛ l ɛ f a n t ɔ w
єлефантски	j ɛ l ɛ f a n t s k i
єлефантче	j ɛ l ɛ f a n t͡ʃː ɛ
єм	j ɛ m
єме	j ɛ m ɛ
єрменски	j ɛ r m ɛ n s k i
єст	j ɛ s t
єствами	j ɛ s t v a m i
єство	j ɛ s t v ɔ
єсц	j ɛ s t͡s
єце	j ɛ t͡s ɛ
єш	j ɛ ʃ
єшень	j ɛ ʃ ɛ ɲ
єшеньски	j ɛ ʃ ɛ ɲ s k i
ї	j i
їдиш	j i d i ʃ
їж	j i ʃ
їжик	j i ʒ i k
їжиц	j i ʒ i t͡s
їжов	j i ʒ ɔ w
їм	j i m
їх	j i x
Ґ	ɡ
Ґабор	ɡ a b ɔ r
Ґаза	ɡ a z a
Ґвинея	ɡ v i n ɛ j a
Ґданьск	ɡ d a ɲ s k
Ґовльова	ɡ ɔ w ʎ ɔ v a
Ґовля	ɡ ɔ w ʎ a
Ґосподїнци	ɡ ɔ s p ɔ ɟ i n t͡s i
Ґосподїнчан	ɡ ɔ s p ɔ ɟ i ɲ t͡ʃ a n
Ґосподїнчанка	ɡ ɔ s p ɔ ɟ i ɲ t͡ʃ a ŋ k a
Ґосподїнчань	ɡ ɔ s p ɔ ɟ i ɲ t͡ʃ a ɲ
Ґрайцар	ɡ r a j t͡s a r
Ґрайцаров	ɡ r a j t͡s a r ɔ w
Ґрайцарова	ɡ r a j t͡s a r ɔ v a
Ґрац	ɡ r a t͡s
Ґренланд	ɡ r ɛ n l a n t
ґ	ɡ
ґаз	ɡ a s
ґаза	ɡ a z a
ґазда	ɡ a z d a
ґаздинька	ɡ a z d i ɲ k a
ґаздиньов	ɡ a z d i ɲ ɔ w
ґаздиньски	ɡ a z d i ɲ s k i
ґаздиня	ɡ a z d i ɲ a
ґаздинїн	ɡ a z d i ɲ i n
ґаздов	ɡ a z d ɔ w
ґаздове	ɡ a z d ɔ v ɛ
ґаздовски	ɡ a z d ɔ w s k i
ґаздовство	ɡ a z d ɔ w s t v ɔ
ґалаґоня	ɡ a l a ɡ ɔ ɲ a
ґамба	ɡ a m b a
ґамбати	ɡ a m b a t i
ґамбови	ɡ a m b ɔ v i
ґамбовозубни	ɡ a m b ɔ v ɔ z u b n i
ґарадича	ɡ a r a d i t͡ʃ a
ґарадичасти	ɡ a r a d i t͡ʃ a s t i
ґаража	ɡ a r a ʒ a
ґдова	ɡ d ɔ v a
ґдовец	ɡ d ɔ v ɛ t͡s
ґдовецки	ɡ d ɔ v ɛ t͡s k i
ґдовица	ɡ d ɔ v i t͡s a
ґдовицки	ɡ d ɔ v i t͡s k i
ґеноцид	ɡ ɛ n ɔ t͡s i t
ґеноцидни	ɡ ɛ n ɔ t͡s i d n i
ґереґа	ɡ ɛ r ɛ ɡ a
ґестиньов	ɡ ɛ s t i ɲ ɔ w
ґестиньови	ɡ ɛ s t i ɲ ɔ v i
ґестиня	ɡ ɛ s t i ɲ a
ґестиняр	ɡ ɛ s t i ɲ a r
ґильотина	ɡ i ʎ ɔ t i n a
ґильотиновац	ɡ i ʎ ɔ t i n ɔ v a t͡s
ґимназийни	ɡ i m n a z i j n i
ґимназийски	ɡ i m n a z i j s k i
