אָ	ɔ
פֿױל	f ɔ ɪ̯ l
פֿױל	f oː l
פֿױל	f o ʊ̯ l
פּויליש	p ɔ ɪ̯ ʎ ɪ ʃ
פּוילן	p ɔ ɪ̯ ɫ n̩
פּויער	p ɔ ɪ̯ ə ʁ
פּויערטע	p ɔ j ɛ ʀ t ɛ
פּוכשישקע־יאָדלע	p u χ ʃ ɪ ʃ k ə j ɔ d l ə
פֿול	f ʊ ɫ
פּולווער	p ʊ ɫ v ə ʁ
פּולס	p ʊ l s
פּולסאָדער	p ʊ l s ɔ d ə r
פֿונאַנדעראַרבעטן	f ʊ n a n d ə r a r b ɛ t n̩
פֿונדאַמענט	f ʊ n d a m ɛ n t
פֿונט	f ʊ n t
פֿונעם	f ʊ n ə m
פּונקט	p ʊ ŋ k t
פּוסט־און־פּאַסניק	p ʊ s t ʊ n p a s n ɪ k
פּוסט־און־פּאַסניק	p ʊ s t ə p a s n ɪ k
פּוסט־און־פּאַסעווען	p ʊ s t ʊ n p a s ə v ə n
פּוסט־און־פּאַסעווען	p ʊ s t ə p a s ə v ə n
פֿוספֿינגער	f ʊ s f ɪ ŋ ɡ ɜ r
פּוסק	p ɔ ɪ̯ s ə k
פּועל	p ɔ ɪ̯ ə ɫ
פּועל־יוצא	p ɔ ɪ̯ l j ɔ ɪ̯ t͡s ə
פּועל־יוצא	p e ɪ̯ l j e ɪ̯ t͡s ə
פֿופֿציק	f ʊ f t͡s ɪ k
פֿופֿציק	f ɪ f t͡s ɪ k
פֿופֿציק	f ɨ f t͡s ɨ k
פֿופֿצן	f ʊ f t͡s n̩
פּורפּור	p ʊ r p ʊ r
פּורפּורן	p ʊ ʁ p ʊ ʁ n̩
פּושקע	p ʊ ʃ k ə
פּזרנות	p a z r ɔ n ə s
פּחד	p a χ ə d
פֿיאָלעט	f j ɔ l ɛ t
פּיאַסאַוואַ	p j a s a v a
פֿיזיק	f ɪ z ɪ k
פּײַ	p a ɪ̯
פֿײַג	f a ɪ̯ ɡ
פֿייגל	f ɛ ɪ̯ ɡ ɫ̩
פֿײַגנבוים	f a ɪ̯ ɡ n̩ b ɔ ɪ̯ m
פֿייגעלע	f ɛ ɪ̯ ɡ ə ɫ ə
פֿײַוול	f a ɪ̯ v ɫ̩
פֿײַן	f a ɪ̯ n
פֿײַנקוכן	f a ɪ̯ n k ʊ χ n̩
פֿײַער	f a ɪ̯ ə r
פֿײַער־לעשער	f a ɪ̯ e ʁ ɫ ɛ ʃ ə ʁ
פֿײַערן	f a ɪ̯ ə ʁ n
פּילאָווינעס	p ɪ ɫ ɔ v ɪ n ə s
פֿילהאַרמאָניע	f ɪ ɫ h a r m ɔ n j ə
פֿיליער	f ɪ ʎ ə r
פֿילם	f ɪ ɫ m̩
פֿילע	f ɪ ɫ ɛ
פֿילפֿאַרביק	f ɪ ɫ f a ʁ b ɪ k
פּילצל	p ɪ l t͡s l̩
פּינגווין	p ɪ ŋ ɡ v ɪ n
פֿינלאַנד	f ɪ n ɫ a n d
פֿינף	f ɪ n f
פֿינף	f ɪ n ə f
פֿינפֿט	f ɪ n f t
פֿינפֿטע	f ɪ n f t ə
פֿינפֿטער	f ɪ n f t ə ʁ
פֿינצטער	f ɪ n t͡s t ɜ r
פֿינצטערניש	f ɪ n t͡s t ə ʁ n ɪ ʃ
פּינקטלעך	p ɪ ŋ k t ɫ ə x
פּיסאַר	p ɪ s a r
פֿיסנאָגע	f ɪ s n ɔ ɡ ə
פּיעטוך	p j ɛ t ʊ χ
פּיעשטשען	p j ɛ ʃ t͡ʃ ə n
פּיפּלערכע	p ɪ p ɫ ɛ ʁ χ ə
פֿיר	f ɪ r
פֿיר	f iː r
פֿיר	f i r
פֿירהאַנג	f ɪ ʁ h a ŋ ɡ
פּירוש	p i ʀ ʊ ʃ
פּירוש	p e j ʀ ʊ ʃ
פֿירמע	f ɪ ʁ m ə
פֿירן	f ɪ ʁ n̩
פֿירער	f ɪ r ə r
פֿיש	f ɪ ʃ
פּישן	p ɪ ʃ n̩
פּישעכץ	p ɪ ʃ ə χ t͡s
פֿלאָוט	f ɫ ɔ ʊ̯ t
פֿלאָט	f l ɔ t
פּלאַטין	p l a t ɪ n
פּלאַטינום	p l a t ɪ n ʊ m
פּלאַטע	p l a t ɜ
פֿלאַטערל	f ɫ a t ə ʁ ɫ̩
פֿלאַמינגאָ	f ɫ a m ɪ ŋ ɡ ɔ
פֿלאָמיס	f ɫ ɔ m ɪ s
פּלאַן	p ɫ a n
פּלאַנט	p ɫ a n t
פּלאַנען	p ɫ a n ə n
פּלאַסטיק	p ɫ a s t ɪ k
פּלאַסטיש	p ɫ a s t ɪ ʃ
פּלאַסטישער	p ɫ a s t ɪ ʃ ə ʁ
פֿלאַסטער	f ɫ a s t ə r
פּלאַץ	p ɫ a t͡s
פֿלאַש	f ɫ a ʃ
פֿלואָר	f l ʊ ɔ ʁ
פּלוג	p ɫ u ɡ
פּלוטאָ	p ɫ ʊ t ɔ
פּלוטאָן	p ɫ ʊ t ɔ n
פּלוטאָניום	p l ʊ t ɔ n j ʊ m
פּלויט	p ɫ ɔ ɪ̯ t
פּלוס	p ɫ ʊ s
פּלוצלינג	p ɫ ʊ t͡s ʎ ɪ ŋ ɡ
פֿליג	f l ɪ ɡ
פּליט	p ɔ ɫ ə t
פֿליט	f ɫ ɪ t
פֿלייטל	f ɫ ɛ ɪ̯ t ɫ̩
פֿלײַסן	f l a ɪ̯ s n̩
פֿלײַסן	f l aː s n̩
פֿלײַסן	f l a s n̩
פֿליִיִק	f ɫ iː ɪ k
פֿלייש	f ɫ ɛ ɪ̯ ʃ
פֿלייש	f ɫ e ɪ̯ ʃ
פֿלייש	f ɫ a ɪ̯ ʃ
פֿלייש	f ɫ aː ʃ
פֿליישיק	f ɫ ɛ ɪ̯ ʃ ɪ k
פּלימעניצע	p ʎ ɪ m ɛ n ɪ t͡s ə
פּלימעניצעס	p ʎ ɪ m ɛ n ɪ t͡s ə s
פּלימעניק	p ʎ ɪ m ɛ n ɪ k
פּלימעניקעס	p ʎ ɪ m ə n ɪ k ə s
פֿליסטערן	f l ɪ s t ɘ ʁ ŋ
פֿליפֿעלד	f ʎ ɪ f ɛ ɫ d
פֿלעג	f ɫ ɛ ɡ
פֿלעגן	f ɫ ɛ ɡ n̩
פֿלעגסט	f ɫ ɛ ɡ s t
פֿלעשל	f ɫ ɛ ʃ ɫ̩
פּניה	p n ɪ j ə
פּניה	p n ɨ j ə
פּניותדיק	p n ɪ j ə s d ɪ k
פּניותדיק	p n ɨ j ə s d ɨ k
פּסול	p ɔ s ɫ̩
פּסוק	p ɔ s e k
פּסוק	p u s e k
פּסח	p ɛ ɪ̯ s ə χ
פּעגאַזוס	p ɛ ɡ a z ʊ s
פּעדאָפֿיל	p ɛ d ɔ f ɪ ɫ
פּעדאָפֿיליע	p ɛ d ɔ f ɪ ɫ j ə
פּעדאָפֿיליש	p ɛ d ɔ f ɪ ɫ ɪ ʃ
פֿעט־גאַנדז	f ɛ t ɡ a n d͡z
פֿעטס	f ɛ t s
פֿעטער	f ɛ t ə ʁ
פֿעטערס	f ɛ t ə ʁ s
פּעטרישקע	p ɛ t r ɪ ʃ k ə
פֿעיִק	f ɛ ɪ k
פֿעיִק	f e ɪ̯ ɪ k
פֿעיִק	f eː ɪ k
פֿעלדהאָקי	f ɛ ɫ d h ɔ k ɪ
פֿעלדהאָקיי	f ɛ ɫ d h ɔ k ɛ ɪ̯
פּעליקאַן	p ɛ l ɪ k a n
פֿענדל	f ɛ n d ɫ̩
פֿענדלעך	f ɛ n d ɫ ə χ
פּעניס	p ɛ n ɪ s
פֿענכל	f ɛ n χ ɫ̩
פּענסנע	p ɛ n s n ɛ
פּענסנע	p ɛ n s n ɛ
פֿענצטער	f ɛ n t͡s t ə ʁ
פֿעסטונג	f ɛ s t ʊ ŋ ɡ
פֿעע	f ɛ ə
פֿעפֿער	f ɛ f ə ʁ
פֿעפֿערזיכטיק	f ɛ f ə r z ɪ χ t ɪ k
פּעקאַנפּײַ	p ə k a n p a ɪ̯
פּעקל	p ɛ k ɫ̩
פֿערד	f ɛ r d
פֿערדל	f ɛ ʁ d ɫ̩
פֿערדלעך	f ɛ ʁ d ɫ ə χ
פֿערט	f ɛ ʁ t
פּערסאָנאַזש	p ɛ ʁ s ɔ n a ʒ
פּערפּעלן	p ɛ r p ɜ l n̩
פֿערציק	f ɛ r t͡s ɪ k
פּראָבלעם	p ʁ ɔ b l ɛ m
פֿראַגע	f ʁ a ɡ ə
פּראָטעיִן	p r ɔ t ɛ ɪ n
פֿראַלע	f r aː l ə
פּראָם	p r ɔ m
פֿראַנקרײַך	f ʁ a ŋ k ʁ a ɪ̯ χ
פֿראַנקרײַך	f ʁ a n k ʁ aː χ
פֿראַנקרײַך	f ʁ ɔ n k ʁ a χ
פּראָפֿעסאָר	p ʁ ɔ f ɛ s ɔ ʁ
פּראָפֿעסאָרין	p ʁ ɔ f ɛ s ɔ ʁ ɪ n
פֿראָש	f ʁ ɔ ʃ
פּרוּוול	p ʁ ʊ v ɫ̩
פֿרוי	f ʁ ɔ ɪ̯
פֿרויען	f ʁ ɔ ɪ̯ ə n
פֿרוכטבאַר	f ʁ ʊ χ t b a ʁ
פֿרוכטבאַרקייט	f ʁ ʊ χ t b a ʁ k a ɪ̯ t
פֿרום	f r ʊ m
פֿרומקייט	f ʁ ʊ m k a ɪ̯ t
פֿרומקייט	f ʁ ɪ m k a ɪ̯ t
פֿרומקייט	f ʁ ɨ m k e ɪ̯ t
פּרט	p ʀ a t
פּרי	p ɛ ɪ̯ ʁ ə
פּרי	p e ɪ̯ ʁ ə
פּרי	p a ɪ̯ ʁ ə
פֿרידזשידער	f ʁ ɪ d͡ʒ ɪ d ɛ ʁ
פֿרידזשידערס	f ʁ ɪ d͡ʒ ɪ d ɛ ʁ s
פֿרידלעך	f r ɪ d l ɜ χ
פֿרידן	f ʁ ɪ d n̩
פּריוואַט	p ʁ ɪ v a t
פּריוואַטיקייט	p ʁ ɪ v a t ɪ k a ɪ̯ t
פּריוואַטיקייט	p ʁ ɪ v a t ɪ k e ɪ̯ t
פּריזמע	p r ɪ z m ə
פֿרײַ	f ʁ a ɪ̯
פֿרייד	f ʁ ɛ ɪ̯ d
פֿרייד	f ʁ aː d
פֿרייד	f ʁ e ɪ̯ d
פֿרייד	f ʁ a ɪ̯ d
פֿרײַהייט	f ʁ a ɪ̯ h ɛ ɪ̯ t
פֿרײַהייט	f ʁ a ɪ̯ h e ɪ̯ t
פֿרײַהייט	f ʁ aː h a ɪ̯ t
פֿרײַהייט	f ʁ a ɪ̯ h a ɪ̯ t
פֿרייזער־יאָדלע	f r ɛ ɪ̯ z ə r j ɔ d l ə
פֿרײַנדלעך	f ʁ a ɪ̯ n d ɫ ə χ
פֿרײַנט	f ʁ a ɪ̯ n t
פֿרײַע	f ʁ a ɪ̯ ə
פֿרילינג	f ʁ ɪ ʎ ɪ ŋ ɡ
פּריסאַדעס	p r ɪ s a d ə s
פּריסטער	p ʁ ɪ s t ə ʁ
פֿריקאַדעל	f r ɪ k a d ɛ ɫ
פֿריקאַדעלקע	f r ɪ k a d ɛ ʎ k ə
פֿריקאַדעלקע	f r ɪ k a d ɛ ɫ k ə
פּריקאַשטשיק	p ʁ ɪ k a ʃ t ʃ ɪ k
פֿריש	f ʁ ɪ ʃ
פֿרישטיק	f ʁ ɪ ʃ t ɪ k
פּרנסה	p a ʁ n ɔ s ə
פֿרעג	f ʁ ɛ ɡ
פֿרעגט	f ʁ ɛ k t
פּרעגל	p ʁ ɛ ɡ ɫ̩
פּרעגלט	p ʁ ɛ ɡ ɫ̩ t
פּרעגלסט	p ʁ ɛ ɡ ɫ̩ s t
פּרעגלען	p ʁ ɛ ɡ ɫ ə n
פֿרעגן	f ʁ ɛ ɡ n̩
פּרעדיקאַט	p r ɛ d ɪ k a t
פּרעה	p a ʁ ə
פּרעזידענט	p ʁ ɛ z ɪ d ɛ n t
פּרעזשעניצע	p r ɛ ʒ ə n ɪ t͡s ə
פּרעכטיק	p ʁ ɛ χ t ɪ k
פֿרעמדוואָרט	f r ɛ m d v ɔ r t
פֿרעמדלעך	f ʁ ɛ m d ɫ ə χ
פֿרעמדער	f ʁ ɛ m d ə ʁ
פֿרעמדשאַפֿט	f r ɛ m d ʃ a f t
פּרעסאײַזן	p r ɛ s a ɪ̯ z n̩
פֿרעסן	f ʁ ɛ s n̩
פּרעפֿערירט	p ʁ ɛ f ɛ ʁ ɪ ʁ t
פּרעפֿערירן	p ʁ ɛ f ɛ ʁ ɪ ʁ n̩
פּרעצל	p r ɛ t͡s ɫ̩
פּרעשבאָריק	p r ɛ ʃ b ɔ r ɪ k
פּשעניטשקע	p ʃ ɛ n ɪ t͡ʃ k ə
צאָל	t͡s ɔ l
צאַצקע	t͡s a t͡s k ə
צבֿועצטווע	t͡s v ʊ a t͡s v ə
צבֿועק	t͡s v ʊ a k
צבֿיעות	t͡s v ɪ j ə s
צבֿיעות	t͡s v ɪ ə s
צבֿיעותדיק	t͡s v ɪ j ə z d ɪ k
צבֿיעותדיק	t͡s v ɪ ə z d ɪ k
צדקהלע	t͡s d ɔ k ə ɫ ə
צו	t͡s u
צואה	t͡s ɔ ɪ̯ ə
צובינדן	t͡s ʊ b ɪ n d n̩
צוגיין	t͡s ʊ ɡ ɛ ɪ̯ n
צוגיין	t͡s ʊ ɡ e ɪ̯ n
צוגיין	t͡s iː ɡ a ɪ̯ n
צוגיין	t͡s i ɡ ɛ ɪ̯ n
צוגעוווינט	t͡s ʊ ɡ ə v ɔ ɪ̯ n t
צוגעוווינען	t͡s ʊ ɡ ə v ɔ ɪ̯ n ə n
צוגעוויינען	t͡s ʊ ɡ ə v ɛ ɪ̯ n ə n
צוואַנג	t͡s v a ŋ ɡ
צוואַנציק	t͡s v a n t͡s ɪ k
צוואַנציק	t͡s v ɔ n t͡s ɨ k
צוואַנציקסט	t͡s v a n t͡s ɪ k s t
צוואָק	t͡s v ɔ k
צוויי	t͡s v ɛ ɪ̯
צוויי	t͡s v e ɪ̯
צוויי	t͡s v a ɪ̯
צווײַג	t͡s v a ɪ̯ ɡ
צווײַגן	t͡s v a ɪ̯ ɡ n̩
צווייט	t͡s v ɛ ɪ̯ t
צוויייִק	t͡s v ɛ ɪ̯ ɪ k
צוויייִק	t͡s v e ɪ̯ ɪ k
צוויייִק	t͡s v a ɪ̯ ɪ k
צווייערליי	t͡s v ɛ ɪ̯ ə ʁ l ɛ ɪ̯
צווייערליי	t͡s v e ɪ̯ ə ʁ l e ɪ̯
צווייערליי	t͡s v e ɪ̯ ə l e ɪ̯
צווייערליי	t͡s v a ɪ̯ ə ʁ l a ɪ̯
צווייערליי	t͡s v a ɪ̯ ə l a ɪ̯
צווילינג	t͡s v ɪ ʎ ɪ ŋ ɡ
צווינטער	t͡s v ɪ n t ə r
צוויק	t͡s v iː k
צוויק	t͡s v ɪ k
צווישן	t͡s v ɪ ʃ n̩
צוועלף	t͡s v ɛ ɫ f
צוועק	t͡s v ɛ k
צוזאָגן	t͡s u z ɔ ɡ n̩
צוזאַמענאַרבעטן	t͡s ʊ z a m ə n a ʁ b ə t n̩
צולאָג	t͡s ʊ l ɔ ɡ
צולאָג	t͡s iː l ʊ ɡ
צולאָג	t͡s i l u ɡ
צולייגן	t͡s ʊ ɫ ɛ ɪ̯ ɡ ŋ̩
צולעצט	t͡s ʊ ɫ ɛ t͡s t
צולעצט	t͡s ɪ ɫ ɛ t͡s t
צום	t͡s ʊ m
צונאָמען	t͡s ʊ n ɔ m ə n
צונאָמען	t͡s ɪ n uː m ə n
צונאָמען	t͡s i n u m ə n
צונויפֿציִען	t͡s ʊ n ɔ ɪ̯ f t͡s i ə n
צופֿאַל	t͡s ʊ f a ɫ
צופֿוס	t͡s ʊ f ʊ s
צופֿוס	t͡s ɪ f ɪ s
צופֿוס	t͡s ɨ f ɨ s
צופֿרידן	t͡s ʊ f ʁ ɪ d n̩
צוקונפֿט	t͡s ʊ k ʊ n f t
צוקער	t͡s ʊ k ə ʁ
צוקער	t͡s ɪ k ə ʁ
צוקער	t͡s ɨ k ə ʁ
צוריישן	t͡s u r ɛ ɪ̯ ʃ n̩
צוריקהאַלטן	t͡s ʊ r ɪ k h a ɫ t n̩
צוריקלויפֿן	t͡s ʊ r ɪ k ɫ ɔ ɪ̯ f n̩
צוריקלויפֿן	t͡s ɪ r ɪ k ɫ ɔ ɪ̯ f n̩
צוריקלויפֿן	t͡s ʊ r ɪ k ɫ e ɪ̯ f n̩
צורר	t͡s ɔ ɪ̯ ʁ ə ʁ
צורר	t͡s e ɪ̯ ʁ ə ʁ
צי	t͡s i
ציאַן	t͡s j a n
ציבעלע	t͡s ɪ b ə ɫ ə
ציוניסט	t͡s ɪ ə n ɪ s t
ציטראָן	t͡s ɪ t r ɔ n
צײַט	t͡s a ɪ̯ t
צײַט	t͡s aː t
צײַט	t͡s a t
צײַטונג	t͡s a ɪ̯ t ʊ ŋ ɡ
צײַטונג	t͡s aː t ɪ ŋ ɡ
צײַטיק	t͡s a ɪ̯ t ɪ k
צייכן	t͡s ɛ ɪ̯ χ n̩
צייכנס	t͡s ɛ ɪ̯ χ n̩ s
ציין	t͡s ɛ ɪ̯ n
ציין	t͡s a ɪ̯ n
ציינבערשטל	t͡s ɛ ɪ̯ n b ɛ ʁ ʃ t ɫ̩
ציל	t͡s ɪ l
צימער	t͡s ɪ m ə ʁ
צימער־שותּף	t͡s ɪ m ə ʁ ʃ ʊ t ə f
צימער־שותּף	t͡s ɪ m ə ʁ ʃ ɪ t ə f
צימערן	t͡s ɪ m ə ʁ n̩
צין	t͡s ɪ n
צינד	t͡s ɪ n d
צינדט	t͡s ɪ n t
צינדן	t s ɪ n d n̩
צינדפֿלאַש	t͡s ɪ n d f l a ʃ
צינק	t͡s ɪ ŋ k
ציסמיניק	t͡s ɪ s m ɪ n ɪ k
ציפּערן	t͡s ɪ p ə ʁ n̩
ציפּקע	t͡s ɪ p k ɜ
ציצה	t͡s ɪ t͡s ə
ציקלאָטראָן	t͡s ɪ k ɫ ɔ t r ɔ n
ציריך	t͡s ɪ r ɪ χ
צירקאָניום	t͡s ɪ ʁ k ɔ n j ʊ m
צירקל	t͡s ɪ ʁ k ɫ̩
צלם	t͡s ɛ ɪ̯ ɫ ə m
צמח	t͡s ɛ m ə χ
צמח	t͡s ɛ ɪ̯ m ə χ
צעבונטעוועט	t͡s ə b ʊ n t ə v ə t
צעבונטעווען	t͡s ə b ʊ n t ə v ə n
צעבראָכן	t͡s ə b ʁ ɔ χ n̩
צעברעך	t͡s ə b ʁ ɛ χ
צעברעכט	t͡s ə b ʁ ɛ χ t
צעברעכן	t͡s ə b ʁ ɛ χ n̩
צעטל	t͡s ɛ t ɫ̩
צעלאָזן	t͡s ə ɫ ɔ z n̩
צעלניק	t͡s ɛ ʎ n ɪ k
צעלניק	t͡s ɛ ɫ n ɪ k
צעלקע	t͡s ɛ ɫ k ə
צעמישונג	t͡ʃ ə m ɪ ʃ ʊ ŋ ɡ
צעמישן	t͡s ə m ɪ ʃ n̩
צען	t͡s ɛ n
צען	t͡s eː n
צען	t͡s eː n
צען	t͡s e ɪ̯ n
צען	t͡s ɛ ɪ̯ n
צען	t͡s i n
צענט	t͡s ɛ n t
צענטראַל	t͡s ɛ n t ʁ a ɫ
צענער	t͡s ɛ n ə ʁ
צער	t͡s a r
צערטלעך	t͡s ɛ ʁ t ɫ ə x
צעשנײַדן	t͡s ə ʃ n a ɪ̯ d n̩
צפֿאָן־קאָרעע	t͡s ɔ f n̩ k ɔ r ɛ ɜ
צפֿון	t͡s ɔ f n̩
צפֿון	t͡s uː f n̩
צפֿון	t͡s uː f n̩
צפֿון־אַמעריקע	t͡s ɔ f n a m ɛ ʁ ɪ k ə
צפֿון־ליכט	t͡s ɔ f n̩ l ɪ χ t
צפֿון־מאַקעדאָניע	t͡s ɔ f n̩ m a k ə d ɔ n j ə
צפֿון־מזרח	t͡s ɔ f n̩ m ɪ z ʁ ə χ
צפֿון־מערבֿ	t͡s ɔ f n̩ m a ɪ̯ ʁ ə v
קאָבאַלט	k ɔ b a l t
קאַבאַק	k a b a k
קאַבינעט	k a b ɪ n ɛ t
קאַבע	k a b ə
קאַדמיום	k a d m j ʊ m
קאָוואַדלע	k ɔ v a d l ə
קאָוונע	k ɔ v n ə
קאַווע	k a v ə
קאַטשן	k a t͡ʃ n̩
קאַטשער	k a t͡ʃ ə ʁ
קאַטשקע	k a t͡ʃ k ə
קאַיאָר	k a j ɔ ʁ
קאַיאָר	k ə j ɔ ʁ
קאַיוט	k a j u t
קאָכאַניק	k ɔ χ a n ɪ k
קאָכלעפֿל	k ɔ χ l ɛ f l̩
קאָלדרע	k ɔ ɫ d ʁ ə
קאַלט	k a ɫ t
קאַלט	k ɔ ɫ t
קאַלטבלוטיק	k a l t b l ʊ t ɪ k
קאַליום	k a l j ʊ m
קאַליע	k a ʎ ə
קאָלנער	k ɔ ɫ n ə ʁ
קאָלעגע	k ɔ ʎ ɛ ɡ ə
קאָלעגעס	k ɔ ʎ ɛ ɡ ə s
קאַלענדאַר	k a ʎ ɛ n d a ʁ
קאַלציום	k a l t͡s j ʊ m
קאָמאַנדירן	k ɔ m a n d iː r n̩
קאָמאַר	k o m a ʁ
קאָמבעלע	k ɔ m b ə ɫ ə
קאַמזויל	k a m z ɔ ɪ̯ ɫ
קאָמעט	k ɔ m ɛ t
קאָמפּאַס	k ɔ m p a s
קאָמפּיוטער	k ɔ m p j ʊ t ə ʁ
קאָמפּיוטערס	k ɔ m p j ʊ t ə ʁ s
קאַנאַדע	k a n a d ə
קאַנאַדער	k a n a d ɛ ʁ
קאַנאַטניק	k a n a t n ɪ k
קאָנווערט	k ɔ n v ɛ ʁ t
קאָנווערטן	k ɔ n v ɛ ʁ t n̩
קאָנוס	k ɔ n ʊ s
קאָנזשילעס	k ɔ n ʒ ɪ ɫ ə s
קאַנטאָנעזיש	k a n t ɔ n ɛ z ɪ ʃ
קאָנטאַקטירן	k ɔ n t a k t i ʁ n̩
קאַנטין	k a n t i n
קאַנטינע	k a n t i n ə
קאָנטינענט	k ɔ n t ɪ n ɛ n t
קאָנטע	k ɔ n t ə
קאָנטראָל	k ɔ n t r ɔ ʎ
קאָנטראָל	k ɔ n t r ɔ ɫ
קאָנטראָלירן	k ɔ n t r ɔ ʎ ɪ r n̩
קאָנטראַסט	k ɔ n t r a s t
קאָנישינע	k ɔ n ɪ ʃ ɪ n ə
קאָנסאָמע	k ɔ n s ɔ m ɛ
קאָנעטיקאָט	k ɔ n ɛ t ɪ k ɔ t
קאָנצעפּט	k ɔ n t͡s ɛ p t
קאָסאָוואָ	k ɔ s ɔ v ɔ
קאָסט	k ɔ s t
קאָסטאַרד	k ɔ s t ɐ r d
קאָסטאַרד	k ʌ s t ɐ r d
קאָסטאַרד	k ʌ s t ɚ d
קאָסטיום	k ɔ s t j ʊ m
קאָסטן	k ɔ s t n̩
קאָסמעטיק	k ɔ s m ɛ t ɪ k
קאָפּ	k ɔ p
קאַפּוטשינאָ	k a p ʊ t͡ʃ i n ɔ
קאַפּוסטע	k a p ʊ s t ə
קאָפּטוך	k ɔ p t ʊ χ
קאָפּטוך	k ɔ p t iː χ
קאָפּטוך	k ɔ p t i χ
קאַפּיטאַן	k a p ɪ t a n
קאַפּיטאַנען	k a p i t a n ə n
קאַפֿע	k a f ɛ
קאַפֿעטעריע	k a f ə t ɛ r ɪ j ə
קאַפֿעטעריע	k a f ə t ɛ r j ə
קאָפּער	k ɔ p ə r
קאַצעט	k a t͡s ɛ t
קאַקאַאָ	k a k a ɔ
קאַקאַדו	k a k a d ʊ
קאָקאָסנוס	k ɔ k ɔ s n ʊ s
קאָקאָשעס	k ɔ k ɔ ʃ ə s
קאַקטוס	k a k t ʊ s
קאָקס	k ɔ k s
קאָראַן	k ɔ ʁ a n
קאָראַן	k ʊ ʁ a n
קאַרבאָן	k a ʁ b ɔ n
קאַרדעמאָן	k a r d ə m ɔ n
קאַרוסעל	k a ʁ ʊ s ɛ ɫ
קאָרזש	k ɔ r ʒ
קאָרזש	k ɔ r ʃ
קאַרטאָן	k a ʁ t ɔ n
קאַרטאָנען	k a ʁ t ɔ n ə n
קאַרטאָפֿל	k a ʁ t ɔ f ɫ̩
קאַרטיאָזשניק	k a ʁ t j ɔ ʒ n ɪ k
קאַרטל	k a r t ɫ̩
קאַרע	k aː r ə
קאַרע	k a r ə
קאָרע	k ɔ r ə
קאָרעאַנער	k ɔ ʁ ɛ a n ɜ r
קאָרעיִש	k ɔ r ɛ ɪ ʃ
קאָרעע	k ɔ r ɛ ɜ
קאַרש	k a ʁ ʃ
קאַרשנבוים	k a ʁ ʃ n̩ b ɔ ɪ̯ m
קאַשטאַן	k a ʃ t a n
קאַשטן	k a ʃ t n̩
קאָשמאַר	k o ʃ m a ʁ
קאַשע	k a ʃ ə
קברן	k a b ʁ ə n
קדוש	k ɔ d ə ʃ
קדוש־ברוך־הוא	k ɔ d ə ʃ b ɔ ʁ ə χ u
קדוש־ברוך־הוא	k ɔ d ə ʃ b ɔ ʁ χ u
קדוש־ברוך־הוא	k uː d ə ʃ b uː ʁ ə χ iː
קדוש־ברוך־הוא	k uː d ə ʃ b uː ʁ χ iː
קדוש־ברוך־הוא	k u d ə ʃ b u ʁ ə χ i
קדוש־ברוך־הוא	k u d ə ʃ b u ʁ χ i
קדושים	ɡ d ɔ ɪ̯ ʃ ə m
קהל	k ɔ ɔ l
קהל	k ɔ l
קהל	k ɔ h ə l
קהל	k ɔ ə l
קהל	k uː l
קהל	k uː h ə l
קהל	k uː ə l
קהל	k u l
קהל	k u h ə l
קהל	k u ə l
קהלן	k ɔ ɔ l n̩
קהלן	k ɔ l n̩
קהלן	k ɔ h ə l n̩
קהלן	k ɔ ə l n̩
קהלן	k uː l n̩
קהלן	k uː h ə l n̩
קהלן	k uː ə l n̩
קהלן	k u l n̩
קהלן	k u h ə l n̩
קהלן	k u ə l n̩
קהלש	k ɔ ɔ l ʃ
קהלש	k ɔ l ʃ
קהלש	k ɔ h ə l ʃ
קהלש	k ɔ ə l ʃ
קהלש	k uː l ʃ
קהלש	k uː h ə l ʃ
קהלש	k uː ə l ʃ
קהלש	k u l ʃ
קהלש	k u h ə l ʃ
קהלש	k u ə l ʃ
קהלת	k o ɪ̯ h ɛ l ə s
קהלת	k e ɪ̯ h ɛ l ɛ s
קהלת	k o ɪ̯ h e ɪ̯ l e ɪ̯ s
קו	k ʊ
קוב	k ʊ b
קוגל	k ʊ ɡ ɫ̩
קודם־כּל	k ɔ ɪ̯ d ə m k ɔ l
קודם־כּל	k ɔ ɪ̯ d ə m k l̩
קודם־כּל	k ɔ ɪ̯ d ə m k l̩
קודם־כּל	k e ɪ̯ d ə m k ɔ l
קודם־כּל	k e ɪ̯ d ə m k l̩
קודם־כּל	k e ɪ̯ d ə m k l̩
קוואַדראַטנע	k v a d ʁ a t n ə
קוואַנטיטעט	k v a n t ɪ t ɛ t
קוואַסעץ	k v a s ə t͡s
קוואַסעץ	k v a s ɛ t͡s
קווייט	k v ɛ ɪ̯ t
קווייט	k v e ɪ̯ t
קווייט	k v a ɪ̯ t
קווינטעסענץ	k v ɪ n t ə s ɛ n t͡s
קוויר	k v ɪ ʁ
קווענטעניק	k v ɛ n t ə n ɪ k
קוועקזילבער	k v ɛ k z ɪ ɫ b ə ʁ
קויבער	k e͡ɪ b ə ʁ
קויבער	k ɔ͡ɪ b ə ʁ
קויבער	k ɔ͡ɪ b ə ʁ
קוילנשטאָף	k ɔ ɪ̯ l n̩ ʃ t ɔ f
קוילעטש	k ɔ ɪ̯ ɫ ə t͡ʃ
