Achab	aː k a b
swart	s w ɛ r t
swarten	s w a r t ə n
swartish	s w a r t i ʃ
swartnesse	s w a r t n ɛ s
swathe	s w a θ
swathe	s w aː ð ə
swathel	s w a d ə l
swathel	s w a ð ə l
swathel	s w aː d ə l
swathel	s w aː ð ə l
swathel	s w ɛ d ə l
swathel	s w ɛ ð ə l
swathen	s w a ð ə n
swathen	s w aː ð ə n
swathen	s w ɛː ð ə n
swathing	s w a ð i n ɡ
swathing	s w aː ð i n ɡ
swathlen	s w a ð ə l ə n
swathlen	s w aː ð ə l ə n
swathlen	s w ɛ d ə l ə n
swathlen	s w ɛ ð ə l ə n
swayn	s w æ i̯ n
swaþelynge	s w a ð ə l i n ɡ
swaþelynge	s w aː ð ə l i n ɡ
swaþelynge	s w ɛ d l i n ɡ
swaþelynge	s w ɛ ð ə l i n ɡ
swei	s w ɛ i̯
swelen	s w ɛ l ə n
swelen	s w ɛː l ə n
swelle	s w ɛ l
swellen	s w ɛ l ə n
swellynge	s w ɛ l i n ɡ
swelten	s w ɛ l t ə n
swelteren	s w ɛ l t ə r ə n
sweng	s w ɛ n d͡ʒ
swengen	s w i n d͡ʒ ə n
swengen	s w ɛ n d͡ʒ ə n
swere	s w aː r
swere	s w ɛː r
sweren	s w ɛː r i ə n
sweren	s w ɛː r ə n
swerer	s w ɛː r ə r ə
swernes	s w ɛː r n ɛ s
swerven	s w a r v ə n
swerven	s w ɛ r v ə n
sweryng	s w ɛː r i n ɡ
swete	s oː t ə
swete	s w eː t ə
swete	s w oː t ə
swete	s w ɑː t
swete	s w ɔː t
swete	s w ɛː t
sweten	s w eː t ə n
sweten	s w ɛː t ə n
swetnesse	s w eː t n ɛ s
swetynge	s w ɛː t i n ɡ
sweven	s w ɛ v ə n
sweven	s w ɛː v ə n
swevenen	s w ɛ v ə n ə n
swevenen	s w ɛː v ə n ə n
swevenyng	s w ɛ v ə n i n ɡ
swevenyng	s w ɛː v ə n i n ɡ
swich	s w i t͡ʃ
swiven	s w iː v ə n
swon	s w ɔː n
swopen	s w oː p ə n
swopen	s w ɔː p ə n
sword	s w oː r d
sword	s w u r d
sword	s w ɔ r d
sword	s w ɛ r d
swymmen	s w i m ə n
swyn	s w iː n
swynge	s w i n ɡ ə
swyngen	s w i n ɡ ə n
swynherde	s w iː n a r d ə
swynherde	s w iː n h eː r d ə
swynherde	s w iː n h ɛ r d ə
sych	s i t͡ʃ
sych	s iː k
sych	s iː t͡ʃ
syflen	s i f l ə n
syften	s i f t ə n
syftynge	s i f t i n ɡ
sygne	s i n
sygne	s iː n
syment	s i m ɛ n t
sympilte	s i m p l ə t eː
sympilte	s i m p ə l t eː
symple	s i m p ə l
symple	s ɛ m p ə l
symplenesse	s i m p ə l n ɛ s
symplesse	s i m p l ɛ s ə
symply	s i m p ə l iː
symply	s i m p ə l iː t ʃ ə
symulacioun	s i m i l aː s j u n
symulacioun	s i m i u̯ l aː s i uː n
symulacioun	s i m i u̯ l aː s j u n
symulacre	s i m i l aː k ə r
symulacre	s i m i u̯ l aː k ə r
symulat	s i m i l aː t
symulat	s i m i u̯ l aː t
symulen	s i m i u̯ l ə n
synamome	s i n a m ɔː m
synamome	s i n ə m u m
synamome	s i n ə m u n
synamome	s i n ə m ɔː m
synful	s i n ə f u l
synger	s i n ɡ ə r ə
syngeresse	s i n ɡ ə r ɛ s ə
syngster	s i n ɡ ə s t r ə
syngster	s i n ɡ ə s t ə r ə
syngyng	s i n ɡ i n ɡ
synne	s i n ə
synne	s u n ə
synne	s ɛ n ə
synne	z i n ə
synne	z u n ə
synne	z ɛ n ə
synneles	s i n ə l ɛ s
synneles	s i n ə l ɛː s
synnen	s i n i u̯ ə n
synnen	s i n w ə n
synnen	s i n ə n
synnen	s i n ə ɣ ə n
synnen	s i n ɡ ə n
synnere	s i n j ə r ə
synnes	s i n ɛ s
synwe	s i n i u̯ ə
synwe	s i n w ə
synwe	s i n ɔ u̯ ə
synwy	s i n i u̯ iː
synwy	s i n w iː
synwy	s i n ɔ u̯ iː
syse	s iː z ə
table	t aː b l ə
table	t aː b ə l
tablement	t aː b l ə m ɛ n t
tablen	t aː b ə l ə n
tabler	t aː b ə l ə r ə
tablet	t a b ə l ɛ t ə
tablet	t aː b ə l ɛ t ə
taillour	t ɛ i̯ l u r
taillour	t ɛ i̯ l uː r
tale	t a l ə
tale	t aː l ə
talent	t a l ɛ n t
talewise	t aː l w iː z ə
talke	t a l k
tally	t a l iː
taloun	t a l a n t
taloun	t a l u n
taloun	t a l uː n
talow	t a l i u̯
talow	t a l x
talow	t a l ɔ u̯
talowen	t a l w ə n
talowen	t a l ɔ u̯ ə n
talowy	t a l w iː
talowy	t a l ɔ u̯ iː
tape	t a p ə
tape	t aː p ə
taper	t aː p ə r
taphose	t a p ə h ɔː z ə
tappe	t a p ə
tappen	t a p ə n
tappestere	t a p ə s t r ə
tappestere	t a p ə s t ə r ə
tare	t aː r ə
targe	t a r d͡ʒ ə
tarien	t a r iː ə n
tart	t a r t
tart	t ɛː r t
tarte	t a r t ə
tartelet	t a r t ə l i t
tartelet	t a r t ə l ə t
tartelet	t a r t ə l ɛ t
tasel	t a z ə l
tasel	t aː z ə l
tasel	t ɛː z ə l
taske	t a s k ə
taste	t a s t
taste	t aː s t
taverne	t a v ə r n ə
taverne	t a v ɛ r n ə
taverner	t a v ɛ r n eː r
taverner	t a v ɛ r n ə r
tawne	t a u̯ n eː
tawne	t a u̯ n iː
taxacioun	t a k s aː s i uː n
taxacioun	t a k s aː s j u n
taxe	t a k s ə
taxen	t a k s ə n
tayl	t æ i̯ l
tayl	t æ i̯ ə l
taylarde	t æ i̯ l a r d ə
tayled	t æ i̯ l i d
tayled	t æ i̯ l ɛ d
taylende	t æ i̯ l ɛ n d ə
taylende	t æ i̯ l ɛː n d ə
techen	t ɛː t͡ʃ ə n
tedden	t ɛ d ə n
teer	t ɛː r
tem	t ɛː m
teme	t ɛː m ə
temen	t eː m ə n
temen	t ɛː m ə n
tempten	t ɛ m p t ə n
temse	t eː m z ə
temse	t ɛ m z ə
temse	t ɛː m z ə
temsen	t eː m z ə n
temsen	t ɛ m z ə n
temsen	t ɛː m z ə n
ten	t eː n
ten	t ɛ n
tenche	t ɛ n t͡ʃ ə
tenoun	t ɛ n u n
tenoun	t ɛ n uː n
tenour	t ɛ n i u̯ r
tenour	t ɛ n u r
tenour	t ɛ n uː r
tens	t ɛ n s
tenthe	t ɛ n d ə
tenthe	t ɛ n t
tenthe	t ɛ n ð ə
tenthe	t ɛ n θ ə
ter	t ɛ r
ter	t ɛː r ə
tercel	t a r s ɛ l
tercel	t ɛ r s ɛ l
tercel	t ɛ r s ɛː l
tercelet	t a r s ə l ɛ t
tercelet	t ɛ r s ə l ɛ t
terebentyne	t u r b i n t iː n ə
terebentyne	t u r p i n t iː n ə
terebentyne	t ɛ r ə b i n t iː n ə
teren	t ɛː r n
teren	t ɛː r ə n
terremote	t ɛ r i m ɔː t ə
terrour	t ɛ r u r
ters	t ɛ r s
tery	t ɛː r iː
tesen	t ɛː z ə n
tethen	t eː θ ə n
teye	t eː ə
teye	t iː ə
teye	t ɛ i̯ ə
teyen	t eː j ə n
teyen	t iː ə n
teyen	t ɛ i̯ ə n
teynen	t æ i̯ n ə n
teynen	t ɛː n ə n
thacchen	θ a t͡ʃ ə n
thamarynde	t a m a r i n d ə
thamarynde	t a m ə r i n d ə
tharen	θ a r ə n
tharen	θ aː r ə n
tharm	θ a r m
tharm	θ ɛ r m
that	ð a t
that	θ a t
theater	t ɛː a t ə r
theater	t ɛː aː t ə r
thede	θ eː d
thede	θ øː d
thedisch	θ eː d i ʃ
thedisch	θ øː d i ʃ
theen	θ eː n
theen	θ eː ə n
thef	θ eː f
thefly	θ eː f l iː
thefly	θ eː f l iː t ʃ ə
thefly	θ eː v l iː
thefte	θ eː f t ə
thefte	θ eː f θ ə
thefte	θ i f t ə
thefte	θ iː f t ə
thefte	θ ɛ f t ə
thefte	θ ɛ f θ ə
thele	θ ɛː l ə
thenoun	t ɛ n u n
thenoun	t ɛ n uː n
therebynte	t ɛ r i b i n t ə
therf	θ ɛ r f
therk	θ ɛ r k
theve	θ ɛː v ə
thevethorn	θ ɛ u̯ θ ɔ r n
thevethorn	θ ɛː v ə θ ɔ r n
thevethorn	θ ɛː θ ɔ r n
thevysch	θ eː f i ʃ
thevysch	θ eː v i ʃ
theyn	θ eː n
theyn	θ æ i̯ n
thickenen	θ i k n ə n
thickenen	θ i k ə n ə n
thikke	θ i k ə
thikken	θ i k ə n
thikkenesse	θ i k ə n ɛ s ə
thikly	θ i k l iː
thild	θ i l d
thilke	θ ɪ l k
thinken	θ i n k ə n
thinne	θ i n ə
thirl	θ i r l
thistel	θ i s t ə l
thombe	θ u m b ə
thombe	θ u m ə
thombe	θ uː m b ə
thombe	θ uː m ə
thonder	θ u n d ə r
thonder	θ u n ə r
thong	θ ɔ n ɡ
thorn	θ oː r n
thorn	θ r ɔ n
thorn	θ ɔ r n
thornbak	θ ɔ r n b a k
thornen	θ oː r n ə n
thornen	θ ɔ r n ə n
thornetre	θ oː r n t r eː
thornetre	θ ɔ r n t r eː
thorny	θ oː r n iː
thorny	θ ɔ r n iː
thorp	θ r ɔ p
thorp	θ r ɔː p
thorp	θ ɔ r p
thost	θ ɔ s t
thought	θ ɔ u̯ x t
thought	θ ɔ x t
thousend	θ uː z a n d
thousend	θ uː z ɛ n d
thousendfold	θ uː z a n d f ɔː l d
thousendfold	θ uː z ɛ n d f ɔː l d
thral	θ a r l
thral	θ r a l
thral	θ ɛ r l
thraldom	θ r a l d a m
thraldom	θ r a l d oː m
thraldom	θ r a l d u m
thralhede	θ r a l h ɛː d ə
thrallen	θ r a l ə n
thre	θ r eː
thre	θ r iː
thred	θ r ɛː d
threfold	θ r eː f ɔː l d
threp	θ r ɛː p
threpen	θ r ɛː p ə n
threschen	θ r a ʃ ə n
threschen	θ r ɛ ʃ ə n
threschwolde	θ r ɛ ʃ f ɔː l d
threschwolde	θ r ɛ ʃ w ɔː l d
threschwolde	θ r ɛ ʃ ɔː l d
threschynge	θ r a ʃ i n ɡ ə
threschynge	θ r ɛ ʃ i n ɡ ə
thresshere	θ r a ʃ ə r ə
thresshere	θ r ɛ ʃ ə r ə
thridde	θ i r d ə
thridde	θ r i d ə
thrie	θ r iː ə
thries	θ r iː s
thritty	θ r i t iː
thritty	θ r iː t iː
throstel	θ r ɔ s t ə l
throte	θ r ɔː t ə
throwen	θ r ɔ u̯ ə n
thrusche	θ r i ʃ ə
thrusche	θ r u ʃ ə
thrusche	θ r ɛ ʃ ə
thryven	θ r iː v ə n
thurgh	θ u r u x
thurgh	θ u r x
thurrok	θ u r u k
thurs	θ i r s
thurs	θ r i s
thurs	θ r u s
thurs	θ u r s
thyckfolde	θ i k f a l d
thyckfolde	θ i k f ɔː l d
thylle	θ i l ə
thymbyll	θ i m b ə l
thymbyll	θ iː m ə l
thymbyll	θ u m ə l
thymbyll	θ ɛ m ə l
thyng	θ i n ɡ
thyself	θ iː s ɛ l f
til	t i l
tilier	t i l j ə r ə
tilier	t i l ə r ə
tillen	t i l ə n
tilthe	t i l θ ə
tilyen	t i l j ə n
tilyen	t i l ə n
timen	t iː m ə n
tinder	t i n d ə r
tinder	t u n d ə r
tinder	t ɛ n d ə r
tippen	t i p ə n
tippen	t iː p ə n
tirannye	t i r a n iː ə
tiren	t iː r ə n
tissu	t i s i u̯
tissu	t i ʃ i u̯
tithe	t eː ð ə
tithe	t i u̯ ð ə
tithe	t iː ð ə
tithe	t æ i̯ ð ə
tithen	t eː ð ə n
tithen	t iː ð ə n
tither	t iː ð ə r ə
tithyng	t eː ð i n ɡ ə
tithyng	t i u̯ ð i n ɡ ə
tithyng	t iː ð i n ɡ ə
tiþen	t iː ð ə n
tiþen	t ɛ i̯ ð ə n
to	t aː
to	t oː
to	t u
to	t ɔ
to	t ɔː
today	t oː d ɛ i̯
today	t u d ɛ i̯
today	t ɔ d ɛ i̯
tode	t ɑː d ə
tode	t ɔː d ə
tofore	t oː f ɔː r ə
tofore	t oː f ɔː r ə n
toilen	t u i̯ l ə n
toilen	t ɔ i̯ l ə n
toiling	t u i̯ l i n ɡ
toiling	t ɔ i̯ l i n ɡ
toilous	t u i̯ l uː s
toilous	t ɔ i̯ l ə s
tolboth	t ɔ l b oː θ
tolboth	t ɔː l b oː θ
toll	t ɔ l
toll	t ɔː l
tollen	t ɔ l ə n
toller	t ɔ l ə r ə
toller	t ɔ l ɛ r ə
tolling	t ɔ l i n ɡ
tollynge	t ɔ l i n ɡ
toln	t ɔ l n ə
tolsey	t ɔ l z ɛ i̯
tombe	t oː m b ə
tombe	t uː m b ə
tomben	t oː m b ə n
tomben	t uː m b ə n
tonge	t a n ɡ ə
tonge	t aː n ɡ ə
tonge	t u n ɡ ə
tonge	t ɔ n ɡ ə
tonge	t ɔː n ɡ ə
tool	t oː l
top	t ɔ p
top	t ɔː p
toppen	t ɔ p ə n
toppyng	t ɔ p i n ɡ
torche	t o r d ʒ ə
torche	t ɔ r t ʃ ə
tord	t oː r d
tord	t u r d
tord	t ɔ r d
tort	t ɔ r t
toscheden	t oː ʃ ɛː d ə n
toscheden	t ɔ ʃ ɛː d ə n
tosen	t ɔː z ə n
tost	t ɔː s t
tosten	t ɔː s t ə n
tothe	t oː θ
toun	t uː n
tour	t uː r
tow	t ɔ u̯
towardes	t o w a r d ɛ s
towardes	t oː w a r d ɛ s
towayle	t uː w ɛ i̯ l ə
towayle	t uː ə l ə
towayle	t uː ɛ l ə
towayle	t w ɛ i̯ l ə
towayle	t ə w ɛ i̯ l ə
toyle	t u i̯ l ə
toyle	t ɔ i̯ l ə
toþeles	t oː θ l ɛ s
toþen	t oː θ ə n
trace	t r aː s ə
tracen	t r aː s ə n
tracyng	t r aː s i n ɡ
tradicioun	t r a d i s j u n
tradicioun	t r a d i s j uː n
tradicioun	t r aː d i s j uː n
tramel	t r a m ɛː l
tranquille	t r a n k w i l
tranquillite	t r a n k w i l i t eː
transgressioun	t r a n s ɡ r ɛ s i uː n
transgressioun	t r a n s ɡ r ɛ s j u n
transgressour	t r a n s ɡ r ɛ s u r
translacioun	t r a n s l aː s i uː n
translacioun	t r a n s l aː s j u n
translacioun	t r a n s l aː s j uː n
translaten	t r a n l aː t ə n
translaten	t r a n s l aː t ə n
translaten	t r a n z l aː t ə n
translatour	t r a n s l aː t u r
translatour	t r a n s l aː t uː r
translatour	t r a n s l aː t ə r
translatynge	t r a n s l aː t i n ɡ ə
trant	t r a n t
trasch	t r a ʃ
traunce	t r a n s ə
traunce	t r a u̯ n s ə
traunsom	t r a m p s u m
traunsom	t r a n s u m
trave	t r aː v ə
tre	t r eː
tre	t r øː
tred	t r ɛ d
tred	t r ɛː d ə
tredel	t r ɛː d ə l
treden	t r ɛː d ə n
tredynge	t r ɛː d i n ɡ
tremour	t r ɛː m u r
tremour	t r ɛː m uː r
trenche	t r ɛ n t͡ʃ ə
trenchen	t r ɛ n t͡ʃ ə n
trenchour	t r ɛ n t͡ʃ u r
trenchour	t r ɛ n t͡ʃ uː r
tresorer	t r ɛː z u r eː r
tresorer	t r ɛː z u r ə r
tresorie	t r ɛː z u r iː ə
tresoun	t r ɛː z u n
tresoun	t r ɛː z uː n
tresounen	t r ɛː z u n ə n
tresounen	t r ɛː z uː n ə n
tresour	t r ɛː z oː r
tresour	t r ɛː z u r
tresour	t r ɛː z uː r
tresouren	t r ɛː z oː r ə n
tresouren	t r ɛː z u r ə n
tresouren	t r ɛː z uː r ə n
trespas	t r ɛ s p a s
trespas	t r ɛ s p aː s
tresse	t r ɛ s ə
tressen	t r ɛ s ə n
tressour	t r ɛ s i u̯ r ə
tressour	t r ɛ s u r
tressour	t r ɛ s uː r
trest	t r ɛ s t ə
trest	t r ɛː t ə
trestel	t r ɛ s t ə l
trestel	t r ɛ s t ɛ l
tretys	t r ɛː t iː s
trevet	t r i v ɛ t
trevet	t r ɛ v ɛ t
trewe	t r i u̯ ə
trewe	t r øː w ə
trewely	t r i u̯ ə l iː
trewely	t r i u̯ ə l iː t ʃ ə
trewely	t r øː w ə l iː t ʃ ə
triasandri	t r iː a s a n d a l iː
triasandri	t r iː a s a n d r iː
tribe	t r iː b u
tribe	t r iː b ə
tribune	t r i b i u̯ n
tridel	t i r d ə l
tridel	t r i d ə l
tridel	t u r d ə l
trine	t r iː n ə
trinite	t r i n i t eː
trinite	t r ɛ n i t eː
trip	t r i p ə
tripe	t r iː p ə
trippen	t r i p ə n
trippere	t r i p ə r
trippyng	t r i p i n ɡ
trogh	t r ɔ u̯ x
trogh	t r ɔ x
trokel	t r ɔ k ə l
trollen	t r ɔ l ə n
trome	t r oː m ə
trome	t r u m ə
trompour	t r u m p u r
trompour	t r u m p ə r ə
tronchoun	t ʃ r u n s u n
tronchoun	t ʃ r u n s uː n
tronchoun	t ʃ r u n t ʃ u n
tronchoun	t ʃ r u n t ʃ uː n
tronchoun	t ʃ r u n t ʃ ə n
trone	t r oː n ə
trone	t r ɔ n ə
trone	t r ɔː n ə
tronen	t r ɔː n ə n
tronke	t r u n k
troute	t r u x t ə
troute	t r uː t ə
troute	t r uː x t ə
trouthe	t r i u̯ ð ə
trouthe	t r ø w ð ə
trouthe	t r ɔ u̯ ð ə
trouthe	t r ɛ u̯ ð ə
trumpe	t r u m p ə
trumpen	t r u m p ə n
trumpet	t r u m p i t
trumpet	t r u m p ɛ t
trussen	t r u s ə n
trust	t r u s t
trynen	t r i n ə n
trynen	t r iː n ə n
tryppe	t r i p ə
tryppingly	t r i p i n ɡ l iː
tubbe	t u b
tuggen	t o ɡ ə n
tuggen	t u ɡ ə n
tuken	t u k ə n
tuken	t uː k ə n
tumblen	t u m b l ə n
tumour	t i u̯ m u r
tumour	t i u̯ m uː r
tunne	t u n ə
turf	t u r f
turmeryte	t u r m ə r i t ə
turmeryte	t ɛ r m ə r i t ə
turnepe	t u r n eː p
tuschy	t u ʃ iː
tusk	t u k s
tusk	t u s k
tusky	t u s k iː
tuskyd	t u s k i d
tuskyd	t u s k ɛ d
tusshe	t u ʃ
twelve	t w ɛ l f ə
twelve	t w ɛ l v ə
tweyfold	t w oː f ɔː l d
tweyfold	t w ɛ i̯ f ɔː l d
tweyne	t w ɛ i̯ n
twie	t w iː ə
twie	t w ɛ i̯ ə
twifold	t w i f ɔː l d
twifold	t w iː f ɔː l d
twig	t w i ɡ
twig	t w iː
twist	t w i s t
twisten	t w i s t ə n
two	t w oː
two	t w ɑː
two	t w ɔː
twofold	t w oː f ɔː l d
twofold	t w ɔː f ɔː l d
twyn	t w iː n
twynen	t w iː n ə n
twyx	t w i k s
tydy	t iː d iː
tyght	t i x t
tygre	t eː ɡ ə r
tygre	t i ɡ ə r
tygre	t iː ɡ ə r
tylle	t i l ə
tyllyng	t i l i n ɡ
tyllyng	t i l j i n ɡ
tylman	t i l m a n
tylman	t i l m ɔ n
tyme	t i m ə
tyme	t iː m ə
tymeful	t iː m f u l
tymely	t iː m l iː
tyn	t i n
tynen	t iː n ə n
tynkere	t i n k ə r ə
tyraundise	t i r a u̯ n d i s ə
tyraundise	t i r a u̯ n d iː s ə
tyraunt	t i r a n t
tyraunt	t i r a u̯ n t
tyraunt	t iː r a n t
tyraunt	t iː r a u̯ n t
tyrauntly	t i r a n d l iː t ʃ ə
tyrauntly	t i r a u̯ n t l iː
tyrauntly	t iː r a u̯ n t l iː
tyrauntrie	t i r a u̯ n t ə r iː ə
tyrauntrie	t i r a u̯ n ə r iː ə
tyrauntrie	t iː r a u̯ n t ə r iː ə
udder	u d ə r
udder	u ð ə r
umbeclosen	i m b ə k l ɔː z ə n
umbeclosen	u m b ə k l ɔː z ə n
umbedelven	u m b e d e l v e n
umbedelven	y m b e d e l v e n
umbefolden	u m b e f ɔː l d e n
umbefolden	y m b e f ɔː l d e n
umbegon	u m b e ɡ ɔː n
umbegon	y m b e ɡ ɔː n
umbelappen	u m b e l ɑ p p e n
umbelappen	y m b e l ɑ p p e n
umbeloken	u m b e l ɔː k e n
umbeloken	y m b e l ɔː k e n
uncle	u n k l ə
uncle	u n k ə l
unde	u n d ə
undedly	u n d ɛ d l iː
undedly	u n d ɛː d l iː
undedlynesse	u n d ɛ d l iː n ɛ s
undedlynesse	u n d ɛː d l iː n ɛ s
underdelven	u n d ə r d ɛ l v ə n
understanden	u n d ə r s t a n d ə n
understanden	u n d ə r s t aː n d ə n
understanden	u n d ə r s t ɔ n d ə n
understanden	u n d ə r s t ɔː n d ə n
undisposicioun	u n d i s p ɔ z i s i uː n
undisposicioun	u n d i s p ɔː z i s j u n
undressen	u n d r ɛ s ə n
unfrendly	u n f r eː n d l iː
unfrendly	u n f r ɛ n d l iː
unhelpen	u n h ɛ l p ə n
unhoneste	u n ɔ n ɛ s t eː
unhoneste	u n ɔ n ɛ s t ə
unhonestly	u n ɔ n ɛ s t l iː
unicorne	i u̯ n i k ɔ r n ə
universal	i u̯ n i v ɛ r s a l
universal	i u̯ n i v ɛ r s aː l
universal	i u̯ n i v ɛ r s ɛ l
universalite	i u̯ n i v ɛ r s a l i t eː
universalite	i u̯ n i v ɛ r s aː l i t eː
universally	i u̯ n i v ɛ r s a l iː
universally	i u̯ n i v ɛ r s a l iː t ʃ ə
universally	i u̯ n i v ɛ r s aː l iː
universally	i u̯ n i v ɛ r s ɛ l iː
universe	i u̯ n i v ɛ r s
universite	i u̯ n i v ɛ r s i t eː
unk	u n k
unker	u n k ə r
unlovely	u n l u v ə l i t͡ʃ
unlovely	u n l u v ə l i t͡ʃ ə
unlovely	u n l u v ə l iː
unmaken	u n m aː k ə n
unnen	u n ə n
unserchable	u n s ɛ r t͡ʃ aː b ə l
unserchable	u n s ɛː r t͡ʃ aː b ə l
unstedefast	u n s t ɛ d ə f a s t
unstedefast	u n s t ɛː d ə f a s t
unstedefastnesse	u n s t ɛ d ə f a s t n ɛ s ə
unstedefastnesse	u n s t ɛː d ə f a s t n ɛ s ə
unwisdom	u n w i z d oː m
unwisdom	u n w iː z d oː m
up	u p
upbreiden	u p b r ɛ i̯ d ə n
upon	u p ɔ n
ure	i u̯ r ə
us	u s
us	uː s
usen	i u̯ z ə n
usual	i u̯ z i u̯ a l
usual	i u̯ z i u̯ aː l
usual	i u̯ z u a l
usual	i u̯ z u aː l
usual	i u̯ z u ə l
utilite	i u̯ t i l i t eː
utmost	uː t m ɔː s t
vale	v aː l ə
valen	v aː l ə n
valey	v a l ɛ i̯ ə
valey	v aː l ɛ i̯ ə
value	v a l i u̯
vambrace	v a m b r aː s ə
vambrace	v a n t b r aː s ə
vambrace	v a u̯ m b r aː s ə
vambrace	v a u̯ n t b r aː s ə
vapour	v a p uː r
vapour	v aː p u r
vapour	v aː p uː r
vapouren	v a p uː r ə n
vapouren	v aː p u r ə n
vapouren	v aː p uː r ə n
vapourynge	v a p uː r i n ɡ ə
vapourynge	v aː p u r i n ɡ ə
vassal	v a s a l
vaute	v a u̯ t ə
vaute	v ɔ u̯ t ə
vauten	v a u̯ t ə n
vauten	v ɔ u̯ t ə n
vavasour	v a v ə s u r
vavasour	v a v ə s uː r
veel	v ɛ l
veel	v ɛː l
veine	v æ i̯ n ə
veir	v æ i̯ r
velvet	v ɛ l v ɛ t
velvet	v ɛ l w ɛ t
vendage	v i n d aː d͡ʒ ə
vendage	v ɛ n d aː d͡ʒ ə
venerie	v ɛː n ɛ r iː ə
venisoun	v ɛ n i z u n
venisoun	v ɛ n i z uː n
venquysshen	v ɛ n k u s ə n
venquysshen	v ɛ n k w i ʃ ə n
venquysshen	v ɛ n k w iː s ə n
venquysshen	v ɛ n k w iː ʃ ə n
venu	v ɛ n i u̯ ə
venym	v ɛ n i m
venym	v ɛ n iː m
venym	v ɛ n ə m
venymen	v ɛ n i m ə n
venymen	v ɛ n iː m ə n
venymous	v ɛ n i m u s
venymous	v ɛ n i m uː s
venymous	v ɛ n i m ə s
venymoushede	v ɛ n i m u s h ɛː d ə
venymoushede	v ɛ n i m uː s h ɛː d ə
venymously	v ɛ n i m u s l iː
venymously	v ɛ n i m uː s l iː
venymouste	v ɛ n i m u s t eː
venymynge	v ɛ n i m i n ɡ ə
venymynge	v ɛ n iː m i n ɡ ə
verbe	v ɛ r b ə
verdit	v ɛ i̯ r d i t
verdit	v ɛ r d i k t
verdit	v ɛ r d i t
vergeous	v ɛ r d ʒ i s
vergeous	v ɛ r d ʒ i u̯ s
vergeous	v ɛ r d ʒ u s
vermyn	v ɛ r m i n
vermyn	v ɛ r m iː n
vernage	v ɛ r n aː d͡ʒ ə
verraily	v ɛ r ɛ i̯ l iː
verray	v ɛ r æ i̯
vers	f ɛ r s
vers	v ɛ r s
vers	v ɛː r s
verset	v ɛ r s ɛ t
versicle	v ɛ r s i k l ə
versicle	v ɛ r s i k ə l
versifien	v ɛ r s i f iː ə n
versifiour	v ɛ r s i f iː u r
versifiour	v ɛ r s i f iː uː r
versifiour	v ɛ r s i f iː ə r
vert	v ɛ r t
vertu	v i r t i u̯
vertu	v ɛ r t i u̯
vertual	v i r t i u̯ a l
vertual	v i r t i u̯ aː l
vertual	v ɛ r t i u̯ a l
vertual	v ɛ r t i u̯ aː l
vertually	v i r t i u̯ a l iː
vertually	v ɛ r t i u̯ aː l iː
vertually	v ɛ r t i u̯ aː l iː t ʃ ə
vertules	v ɛ r t i u̯ l ɛ s
vertules	v ɛ r t i u̯ l ɛː s
vertuous	v ɛ r t i u̯ u s
vertuous	v ɛ r t i u̯ uː s
vertuous	v ɛ r t i u̯ ə s
vertuous	v ɛ r t u s
vertuous	v ɛ r t uː s
vertuously	v ɛ r t i u̯ u s l iː
vertuously	v ɛ r t i u̯ u s l iː t ʃ ə
vertuously	v ɛ r t i u̯ uː s l iː
vertuously	v ɛ r t i u̯ ə s l iː
vertuousnesse	v ɛ r t i u̯ u s n ɛ s
verveyne	v ɛ r v æ i̯ n ə
vespertyne	v ɛ s p ə r t iː n ə
vessel	v ɛ s ə l
vessel	v ɛ s ɛ l
vesselling	v ɛ s ə l i n ɡ
vesselling	v ɛ s ɛ l i n ɡ
vesselment	v ɛ s ə l ə m ɛ n t
vesselment	v ɛ s ɛ l ə m ɛ n t
vewe	v i u̯ ə
vewer	v i u̯ ə r ə
vexacioun	v ɛ k s aː s i uː n
vexacioun	v ɛ k s aː s j u n
vexen	v ɛ k s ə n
vexynge	v ɛ k s i n ɡ ə
vice	v iː s ə
viciate	v iː s i aː t
vicious	v i s i uː s
vicious	v i s j u s
vicious	v i s j uː s
viciously	v i s i uː s l iː
viciously	v i s j u s l iː
viciously	v i s j uː s l iː
viciousnesse	v i s i u s n ɛ s ə
viciousnesse	v i s i uː s n ɛ s ə
viciousnesse	v i s j u s n ɛ s ə
vilein	v i l ɛ i̯ n
vine	v iː n ə
viniter	v i n i t eː r
viniter	v i n i t ə r
viniterie	v i n i t ə r iː
viniterie	v i n i t ə r iː ə
viniterie	v i n t ə r iː ə
vinous	v iː n u s
vinous	v iː n ɔː s
violence	v i ə l ɛ n s ə
violence	v iː ɔ l ɛ n s ə
violence	v iː ə l ɛ n s ə
violent	v i ə l ɛ n t
violent	v iː ɔ l ɛ n t
violent	v iː ə l ɛ n t
violently	v i ə l ɛ n t l iː
violently	v iː ɔ l ɛ n t l iː
violently	v iː ə l ɛ n t l iː
violet	v iː ɔ l ɛ t
violet	v iː ə l ɛ t
visioun	v i z j u n
visioun	v i z j uː n
visioun	v iː z j uː n
vitaile	v i t ə l ə
vitaile	v i t ɛ i̯ l ə
vitailen	v i t ə l ə n
vitailen	v i t ɛ i̯ l ə n
vitailler	v i t ə l ə r
vitailler	v i t ɛ i̯ l ə r
vitaillyng	v i t ə l i n ɡ
vitaillyng	v i t ɛ i̯ l i n ɡ
