â	a
selerau	s ɛ l ɛ r ɛ
selerau	s ɛ l ɛ r a
selerau	s ɛ l ɛ r ɛ
selerau	s ɛ l ɛ r a
seleri	s ɛ l ɛ r i
seleri	s ɛ l ɛ r i
seliau	s ɛ l j a ɨ̯
seliau	s ɛ l j ɛ
seliau	s ɛ l j a
seliau	s ɛ l j ɛ
seliau	s ɛ l j a
selog	s ɛ l ɔ ɡ
selotep	s ɛ l ɔ t ɛ p
sêls	s eː l s
seminar	s ɛ m ɪ n a r
senedd	s ɛ n ɛ ð
sêr	s eː r
sêr llong	s eː r ɬ ɔ ŋ
serch	s ɛ r χ
serchog	s ɛ r χ ɔ ɡ
seremoni	s ɛ r ɛ m ɔ n i
seren	s ɛ r ɛ n
serenllys	s ɛ r ɛ n ɬ ɨ̞ s
serenllys mawr	s ɛ r ɛ n ɬ ɨ̞ s m a u̯ r
sero	s ɛ r ɔ
sesh	s ɛ ʃ
seshys	s ɛ ʃ ɨ̞ s
sesiwn	s ɛ ʃ ʊ n
sesiynau	s ɛ ʃ ə n a ɨ̯
sesiynau	s ɛ ʃ ə n ɛ
sesiynau	s ɛ ʃ ə n a
sesiynau	s ɛ ʃ ə n ɛ
sesiynau	s ɛ ʃ ə n a
sgandinafaidd	s ɡ a n d ɪ n a v a i̯ ð
sgandinafia	s ɡ a n d ɪ n a v j a
sgarff	s ɡ a r f
sgerbwd	s ɡ ɛ r b ʊ d
sgert	s ɡ ɛ r t
sgil	s ɡ iː l
sgil	s ɡ ɪ l
sgìl	s ɡ ɪ l
sgîl	s ɡ iː l
sgileffaith	s ɡ iː l ɛ f a i̯ θ
sgileffaith	s ɡ iː l ɛ f ɛ θ
sgïo	s ɡ i ɔ
sgiwen	s ɡ i u̯ ɛ n
sglodion	s ɡ l ɔ d j ɔ n
sglodyn	s ɡ l ɔ d ɨ̞ n
sgôr	s ɡ oː r
sgrech	s ɡ r eː χ
sgrechian	s ɡ r ɛ χ j a n
sgri	s ɡ r iː
sgriau	s ɡ r iː a ɨ̯
sgriau	s ɡ r iː ɛ
sgriau	s ɡ r iː a
sgriau	s ɡ r iː ɛ
sgriau	s ɡ r iː a
sgrin	s ɡ r iː n
sgriniau	s ɡ r ɪ n j a ɨ̯
sgriniau	s ɡ r ɪ n j ɛ
sgriniau	s ɡ r ɪ n j a
sgriniau	s ɡ r ɪ n j ɛ
sgriniau	s ɡ r ɪ n j a
sgrinio	s ɡ r i n j ɔ
sgwâr	s ɡ w aː r
sgwariau	s ɡ w a r j a ɨ̯
sgwariau	s ɡ w a r j ɛ
sgwariau	s ɡ w a r j a
sgwariau	s ɡ w a r j ɛ
sgwariau	s ɡ w a r j a
sgwd	s ɡ uː d
sgwrs	s ɡ ʊ r s
sgydau	s ɡ ə d a ɨ̯
sgydau	s ɡ ə d ɛ
sgydau	s ɡ ə d a
sgydau	s ɡ ə d ɛ
sgydau	s ɡ ə d a
sgythia	s ɡ ə θ j a
shibwns	ʃ ɪ b ʊ n s
shibwnsyn	ʃ ɪ b ʊ n s ɨ̞ n
shrwmsa	ʃ r ʊ m s a
si	s iː
siaced	ʃ a k ɛ d
siaced	ʃ a k a d
siaced	ʃ a k a d
siafio	ʃ a v j ɔ
siân	ʃ aː n
siani	ʃ a n ɪ
siani	ʃ a n ɪ
sianis	ʃ a n ɪ s
siarad	ʃ a r a d
siaradwr	ʃ a r a d ʊ r
siaradwyr	ʃ a r a d w ɨ̞ r
siarc	ʃ a r k
siart	ʃ a r t
siartiau	ʃ a r t j a ɨ̯
siartiau	ʃ a r t j ɛ
siartiau	ʃ a r t j a
siartiau	ʃ a r t j ɛ
siartiau	ʃ a r t j a
sicr	s ɪ k ɪ r
sidan	s ɪ d a n
sièd	ʃ ɛ d
sifil	s ɪ v ɪ l
sil	s iː l
sìl	s ɪ l
silff	s ɪ l f
sillaf	s ɪ ɬ a v
sillafu	s ɪ ɬ a v ɨ
sillgoll	s ɪ ɬ ɡ ɔ ɬ
sinc	s ɪ ŋ k
sinc	s ɪ ŋ k
sinsir	s ɪ n s ɪ r
siocled	ʃ ɔ k l ɛ d
siocled	ʃ ɔ k l a d
siocled	ʃ ɔ k l a d
siocled poeth	ʃ ɔ k l ɛ d p oː ɨ̯ θ
siocled poeth	ʃ ɔ k l a d p oː ɨ̯ θ
siocled poeth	ʃ ɔ k l a d p oː ɨ̯ θ
siocledi	ʃ ɔ k l ɛ d i
sioe	ʃ oː ɨ̯
sioeau	ʃ ɔ ɨ̯ a ɨ̯
sioeau	ʃ ɔ ɨ̯ a
siom	ʃ ɔ m
siomau	ʃ ɔ m a ɨ̯
siomau	ʃ ɔ m ɛ
siomau	ʃ ɔ m a
siomau	ʃ ɔ m ɛ
siomau	ʃ ɔ m a
siomedig	ʃ ɔ m ɛ d ɪ ɡ
siomi	ʃ ɔ m i
siôn	ʃ oː n
siôn corn	ʃ oː ŋ k ɔ r n
sioned	ʃ ɔ n ɛ d
siop	ʃ ɔ p
siop goffi	ʃ ɔ p ɡ ɔ f i
siopa	ʃ ɔ p a
siopau	ʃ ɔ p a ɨ̯
siopau	ʃ ɔ p a
siopwr	ʃ ɔ p ʊ r
siopwyr	ʃ ɔ p w ɨ̞ r
siort	ʃ ɔ r t
sir	s iː r
sir frycheiniog	s iː r v r ə χ ə i̯ n j ɔ ɡ
siswrn	s ɪ s ʊ r n
siwan	s ɪ u̯ a n
siwan	ʃ ʊ a n
siwgr	ʃ ʊ ɡ r
siwgr	ʃ ʊ ɡ ʊ r
siwgr	ʃ ʊ ɡ ʊ r
siwmae	s ɨ m aː ɨ̯
siwmae	ʃ ɨ m aː ɨ̯
siwmae	s m aː ɨ̯
siwmper	ʃ ʊ m p ɛ r
siwmperi	ʃ ʊ m p ɛ r i
siwr	ʃ uː r
siwrnai	ʃ ʊ r n a i̯
siwrnai	ʃ ʊ r n ɛ
siwrnai	ʃ ʊ r n a
siwrnai	ʃ ʊ r n ɛ
siwrnai	ʃ ʊ r n a
siwt	s ɪ u̯ t
slej	s l ɛ d͡ʒ
slejys	s l ɛ d͡ʒ ɨ̞ s
smwddio	s m ʊ ð j ɔ
smygu	s m ə ɡ ɨ
snwcer	s n ʊ k ɛ r
snwcer	s n ʊ k a r
snwcer	s n ʊ k a r
sodlau	s ɔ d l a ɨ̯
sodlau	s ɔ d l ɛ
sodlau	s ɔ d l a
sodlau	s ɔ d l ɛ
sodlau	s ɔ d l a
sodlau uchel	s ɔ d l a ɨ̯ ɨ̞ χ ɛ l
sodlau uchel	s ɔ d l ɛ ɨ̞ χ ɛ l
sodlau uchel	s ɔ d l a ɨ̞ χ a l
sodlau uchel	s ɔ d l ɛ ɨ̞ χ ɛ l
sodlau uchel	s ɔ d l a ɨ̞ χ a l
soddi	s ɔ ð i
sofren	s ɔ v r ɛ n
soffa	s ɔ f a
sôn	s oː n
söolegwr	s ɔ ɔ l ɛ ɡ ʊ r
söolegwyr	s ɔ ɔ l ɛ ɡ w ɨ̞ r
söolegydd	s ɔ ɔ l ɛ ɡ ɨ̞ ð
sos	s oː s
sos coch	s oː s k oː χ
sosban	s ɔ s b a n
sosban	s ɔ s b a n
sosys	s ɔ s ɨ̯ s
sothach	s ɔ θ a χ
stafell	s d a v ɛ ɬ
stafell	s d a v a ɬ
stafell	s d a v a ɬ
staff	s d a f
stamp	s t a m p
stampiau	s t a m p j a
stêm	s d eː m
stemar	s d ɛ m a r
stemars	s d ɛ m a r s
stemio	s d ɛ m j ɔ
'sti	s d iː
stopi	s d ɔ p i
stopiem	s d ɔ p j ɛ m
stopio	s d ɔ p j ɔ
stori	s d ɔ r i
storïau	s d ɔ r iː a ɨ̯
storïau	s d ɔ r iː ɛ
storïau	s d ɔ r iː a
storïau	s d ɔ r iː ɛ
storïau	s d ɔ r iː a
strach	s d r aː χ
straeon	s d r e ɨ̯ ɔ n
streic	s d r e i̯ k
streiciau	s d r e i̯ k j a ɨ̯
streiciau	s d r e i̯ k j ɛ
streiciau	s d r e i̯ k j a
streiciau	s d r e i̯ k j ɛ
streiciau	s d r e i̯ k j a
streicio	s d r e i̯ k j ɔ
stryd	s d r ɨː d
stŵr	s d uː r
stwrsiwn	s d ʊ r ʃ ʊ n
stwrsiynod	s d ʊ r ʃ ə n ɔ d
styfnig	s t ə v n ɪ ɡ
sudd	s ɨː ð
sudd afal	s ɨː ð a v a l
sumbol	s ɨ̞ m b ɔ l
sunthesis	s ɨ̞ n θ ɛ s ɪ s
suran y coed	s ɨ̞ r a n ə k oː ɨ̯ d
suran y cŵn	s ɨ̞ r a n ə k uː n
suran yr ŷd	s ɨ̞ r a n ə ɨː d
surdoes	s ɨ̞ r d ɔ ɨ̯ s
sustem	s ɨ̞ s d ɛ m
sut	s ɨ̞ t
sut	s ɨ̞ d
sut	s ɨ̞ d
sut dach chi	s ɨ̞ t d a χ χ iː
sut wyt ti	s ɨ̞ t uː ɨ̯ t t iː
sw	s uː
swigen	s w i ɡ ɛ n
swistir	ə s w ɪ s d ɪ r
switsh	s w ɪ t͡ʃ
switshys	s w ɪ t ʃ ɨ̞ s
switsio	s w ɪ t ʃ ɔ
swllt	s uː ɬ d
swm	s ʊ m
swn	s ʊ n
sŵn	s uː n
swnllyd	s ʊ n ɬ ɨ̞ d
swnt	s ʊ n t
swper	s ʊ p ɛ r
swper	s ʊ p a r
swper	s ʊ p a r
swshi	s uː ʃ i
swshi	s ʊ ʃ i
swydd	s uː ɨ̯ ð
swyddfa	s ʊ ɨ̯ ð v a
swyddi	s ʊ ɨ̯ ð i
swyddog	s ʊ ɨ̯ ð ɔ ɡ
swyddogaeth	s ʊ ɨ̯ ð ɔ ɡ a ɨ̯ θ
swyddogaeth	s ʊ ɨ̯ ð ɔ ɡ ɛ θ
swyddogaeth	s ʊ ɨ̯ ð ɔ ɡ ɛ θ
swyn	s uː ɨ̯ n
swyno	s ʊ ɨ̯ n ɔ
swynol	s ʊ ɨ̯ n ɔ l
sy	s ɨː
sych	s ɨː χ
sychach	s ə χ a χ
sychin	s ə χ ɪ n
sychnant	s ə χ n a n t
sychnentydd	s ə χ n ɛ n t ɨ̞ ð
sychu	s ə χ ɨ
sydd	s ɨː ð
syfi	s ə v i
syfl	s ɨ̞ v l
syflyd	s ə v l ɨ̞ d
sylfaen	s ə l v a ɨ̯ n
sylfaenol	s ə l v e ɨ̯ n ɔ l
sylffwr	s ə l f ʊ r
sylw	s ɪ l u
sylw	s ə l u
sylwebu	s ə l w ɛ b ɨ
sylwi	s ə l w i
syllta	s ə ɬ d a
syllu	s ə ɬ ɨ
symbol	s ɨ̞ m b ɔ l
symiau	s ə m j a ɨ̯
symiau	s ə m j ɛ
symiau	s ə m j a
symiau	s ə m j ɛ
symiau	s ə m j a
syml	s ɨ̞ m l
symud	s ə m ɨ̞ d
symudliw	s ə m ɨ̞ d l ɪ u̯
symudol	s ə m ɨ̞ d ɔ l
syndod	s ə n d ɔ d
syndodau	s ə n d ɔ d a ɨ̯
syndodau	s ə n d ɔ d ɛ
syndodau	s ə n d ɔ d a
syndodau	s ə n d ɔ d ɛ
syndodau	s ə n d ɔ d a
syniad	s ə n j a d
synio	s ə n j ɔ
synnu	s ə n ɨ
synnwyr	s ə n w ɨ̞ r
synthesis	s ɨ̞ n θ ɛ s ɪ s
syrjeri	s ə r d͡ʒ ə r i
syrjeris	s ə r d͡ʒ ə r ɪ s
syrpréis	s ə r p r e i̯ s
syrthio	s ə r θ j ɔ
system	s ɨ̞ s d ɛ m
syth	s ɨː θ
ta	t a
taclus	t a k l ɨ̞ s
tacluso	t a k l ɨ̞ s ɔ
tachwedd	t a χ w ɛ ð
tad	t aː d
tadau	t a d a ɨ̯
tadau	t a d ɛ
tadau	t a d a
tadau	t a d ɛ
tadau	t a d a
taen	t aː ɨ̯ n
taenu	t e ɨ̯ n ɨ
taeog	t e ɨ̯ ɔ ɡ
taeogtref	t e ɨ̯ ɔ ɡ t r ɛ v
taeru	t e ɨ̯ r ɨ
taf	t aː v
tafarn	t a v a r n
tafarnwr	t a v a r n ʊ r
tafarnwraig	t a v a r n w r a i̯ ɡ
taflen	t a v l ɛ n
taflod	t a v l ɔ d
taflu	t a v l ɨ
tafod	t a v ɔ d
tafodau	t a v ɔ d a ɨ̯
tafodau	t a v ɔ d a
tafodieithoedd	t a v ɔ d j e i̯ θ ɔ ɨ̯ ð
tafodieithol	t a v ɔ d j e i̯ θ ɔ l
tafol crych	t a v ɔ l k r ɨː χ
tafwys	t a v ʊ ɨ̯ s
tai	t a i̯
taid	t a i̯ d
tair	t a i̯ r
tair ar ddeg	t a i̯ r a r ð eː ɡ
tair ar hugain	t a i̯ r a r h ɪ ɡ a i̯ n
taith	t a i̯ θ
tal	t a l
tal	t aː l
tâl	t aː l
tala	t a l a
talaf	t a l a v
talaf	t a l a
talai	t a l a i̯
talai	t a l ɛ
talai	t a l ɛ
talais	t a l a i̯ s
talais	t a l ɛ s
talais	t a l ɛ ʃ
talais	t a l ɪ ʃ
talais	t a l ɛ s
talais	t a l ɛ ʃ
talais	t a l ɪ ʃ
talan	t a l a n
talant	t a l a n t
talcen	t a l k ɛ n
talcen	t a l k a n
talcen	t a l k a n
taldra	t a l d r a
taleb	t a l ɛ b
taled	t a l ɛ d
talem	t a l ɛ m
talen	t a l ɛ n
talent	t a l ɛ n t
taler	t a l ɛ r
tales	t a l ɛ s
talet	t a l ɛ t
tali	t a l i
taliadau	t a l j a d a ɨ̯
taliadau	t a l j a d ɛ
taliadau	t a l j a d a
taliadau	t a l j a d ɛ
taliadau	t a l j a d a
taliff	t a l ɪ f
talit	t a l ɪ t
talo	t a l ɔ
talom	t a l ɔ m
talon	t a l ɔ n
talu	t a l ɨ̞
talwch	t a l ʊ χ
talwn	t a l ʊ n
tân	t aː n
tân gwyllt	t aː ŋ ɡ w ɨː ɬ d
tanau gwyllt	t a n a ɨ̯ ɡ w ɨː ɬ d
tanau gwyllt	t a n ɛ ɡ w ɨː ɬ d
tanau gwyllt	t a n a ɡ w ɨː ɬ d
tanau gwyllt	t a n ɛ ɡ w ɨː ɬ d
tanau gwyllt	t a n a ɡ w ɨː ɬ d
tanbaid	t a m b a i̯ d
tanbeidrwydd	t a m b e i̯ d r ʊ ɨ̯ ð
tant	t a n t
tanwydd	t a n w ɨ̞ ð
tâp	t aː p
tâp masgio	t aː p m a s ɡ j ɔ
tâp selo	t aː p s ɛ l ɔ
taradr	t a r a d r
taran	t a r a n
taranau	t a r a n a ɨ̯
taranau	t a r a n ɛ
taranau	t a r a n a
taranau	t a r a n ɛ
taranau	t a r a n a
taranu	t a r a n ɨ̞
tarian	t a r j a n
tarianau	t a r j a n a ɨ̯
tarianau	t a r j a n ɛ
tarianau	t a r j a n a
tarianau	t a r j a n ɛ
tarianau	t a r j a n a
taro	t a r ɔ
tarw	t a r u
taten	t a t ɛ n
taten	t a t a n
taten	t a t a n
tato	t a t ɔ
tatŵ	t a t uː
tatws	t a t ʊ s
tatŵs	t a t uː s
tau	t a ɨ̯
taw	t aː u̯
taw	t a
taw	t ə
taw	t aː u̯
tawa	t a u̯ a
tawdd	t a u̯ ð
tawe	t a u̯ ɛ
tawel	t a u̯ ɛ l
tawelion	t a u̯ ɛ l j ɔ n
tawelu	t a u̯ ɛ l ɨ̞
tawelyn	t a u̯ ɛ l ɨ̞ n
tawl	t a u̯ l
tawn	t a u̯ n
te	t eː
te gwyrdd	t eː ɡ w ɨ̞ r ð
tebyg	t ɛ b ɪ ɡ
tebyg	t ɛ b ɨ̞ ɡ
tebygol	t ɛ b ə ɡ ɔ l
teclyn	t ɛ k l ɨ̞ n
tech gwyb	t ɛ χ ɡ w ɨ̞ b
technegydd	t ɛ χ n ɛ ɡ ɨ̞ ð
technoleg	t ɛ χ n ɔ l ɛ ɡ
technoleg gwybodaeth	t ɛ χ n ɔ l ɛ ɡ ɡ w ə b ɔ d a ɨ̯ θ
technoleg gwybodaeth	t ɛ χ n ɔ l ɛ ɡ ɡ w ɨ̞ b ɔ d a ɨ̯ θ
technoleg gwybodaeth	t ɛ χ n ɔ l ɛ ɡ ɡ w ə b ɔ d ɛ θ
technoleg gwybodaeth	t ɛ χ n ɔ l ɛ ɡ ɡ w ɨ̞ b ɔ d ɛ θ
technoleg gwybodaeth	t ɛ χ n ɔ l ɛ ɡ ɡ ʊ b ɔ d a ɨ̯ θ
technoleg gwybodaeth	t ɛ χ n ɔ l ɛ ɡ ɡ w ə b ɔ d ɛ θ
technoleg gwybodaeth	t ɛ χ n ɔ l ɛ ɡ ɡ w ɨ̞ b ɔ d ɛ θ
technoleg gwybodaeth	t ɛ χ n ɔ l ɛ ɡ ɡ ʊ b ɔ d a ɨ̯ θ
teg	t eː ɡ
tegan	t ɛ ɡ a n
tegan anwes	t ɛ ɡ a n a n w ɛ s
tegan meddal	t ɛ ɡ a n m ɛ ð a l
tegell	t ɛ ɡ ɛ ɬ
tei	t e i̯
teiar	t e i̯ a r
teiars	t e i̯ a r s
teifi	t e i̯ v i
teifl	t e i̯ v l
teigr	t e i̯ ɡ r
teigrod	t e i̯ ɡ r ɔ d
teimlad	t e i̯ m l a d
teimlo	t e i̯ m l ɔ
teipiadur	t e i̯ p j a d ɨ̞ r
teipio	t e i̯ p j ɔ
teires	t e i̯ r ɛ s
teirw	t e i̯ r u
teisen	t e i̯ s ɛ n
teisen	t e i̯ ʃ ɛ n
teisen	t e i̯ s a n
teisen	t e i̯ ʃ a n
teisen	t ɪ ʃ ɛ n
teisen	t ɪ ʃ a n
teisen	t e i̯ ʃ ɛ n
teisen	t e i̯ s a n
teisen	t e i̯ ʃ a n
teisen	t ɪ ʃ ɛ n
teisen	t ɪ ʃ a n
teisen gri	t e i̯ s ɛ ŋ ɡ r iː
teisen gri	t e i̯ s a ŋ ɡ r iː
teisen gri	t e i̯ ʃ ɛ ŋ ɡ r iː
teisen gri	t e i̯ ʃ a ŋ ɡ r iː
teisen gri	t e i̯ s a ŋ ɡ r iː
teisen gri	t e i̯ ʃ ɛ ŋ ɡ r iː
teisen gri	t e i̯ ʃ a ŋ ɡ r iː
teisen radell	t e i̯ s ɛ n r a d ɛ ɬ
teisen radell	t e i̯ s a n r a d ɛ ɬ
teisen radell	t e i̯ ʃ ɛ n r a d ɛ ɬ
teisen radell	t e i̯ ʃ a n r a d ɛ ɬ
teisen radell	t e i̯ s a n r a d ɛ ɬ
teisen radell	t e i̯ ʃ ɛ n r a d ɛ ɬ
teisen radell	t e i̯ ʃ a n r a d ɛ ɬ
teisennau	t e i̯ s ɛ n a ɨ̯
teisennau	t e i̯ ʃ ɛ n a ɨ̯
teisennau	t e i̯ s ɛ n ɛ
teisennau	t e i̯ s ɛ n a
teisennau	t ɪ ʃ ɛ n ɛ
teisennau	t ɪ ʃ ɛ n a
teisennau	t e i̯ ʃ ɛ n a ɨ̯
teisennau	t e i̯ s ɛ n ɛ
teisennau	t e i̯ s ɛ n a
teisennau	t ɪ ʃ ɛ n ɛ
teisennau	t ɪ ʃ ɛ n a
teitl	t e i̯ t l
teitlau	t e i̯ t l a ɨ̯
teitlau	t e i̯ t l ɛ
teitlau	t e i̯ t l a
teitlau	t e i̯ t l ɛ
teitlau	t e i̯ t l a
teithi	t e i̯ θ i
teithio	t e i̯ θ j ɔ
telais	t ɛ l a i̯ s
teledu	t ɛ l ɛ d ɨ
teli	t ɛ l i
teli	t ɛ l i
telid	t ɛ l ɪ d
telir	t ɛ l ɪ r
telyn	t ɛ l ɨ n
telyn deires	t ɛ l ɨ n d e i̯ r ɛ s
telynau	t ɛ l ə n a ɨ̯
telynau	t ɛ l ə n ɛ
telynau	t ɛ l ə n a
telynau	t ɛ l ə n ɛ
telynau	t ɛ l ə n a
telynau teires	t ɛ l ə n a ɨ̯ t e i̯ r ɛ s
telynau teires	t ɛ l ə n ɛ t e i̯ r ɛ s
telynau teires	t ɛ l ə n a t e i̯ r ɛ s
telynau teires	t ɛ l ə n ɛ t e i̯ r ɛ s
telynau teires	t ɛ l ə n a t e i̯ r ɛ s
telynor	t ɛ l ə n ɔ r
telynores	t ɛ l ə n ɔ r ɛ s
telynores	t ɛ l ə n ɔ r a s
telynores	t ɛ l ə n ɔ r a s
telynoresau	t ɛ l ə n ɔ r ɛ s a ɨ̯
telynoresau	t ɛ l ə n ɔ r ɛ s ɛ
telynoresau	t ɛ l ə n ɔ r ɛ s a
telynoresau	t ɛ l ə n ɔ r ɛ s ɛ
telynoresau	t ɛ l ə n ɔ r ɛ s a
telynorion	t ɛ l ə n ɔ r j ɔ n
teml	t ɛ m l
temlau	t ɛ m l a ɨ̯
temlau	t ɛ m l ɛ
temlau	t ɛ m l a
temlau	t ɛ m l ɛ
temlau	t ɛ m l a
tenant	t ɛ n a n t
tenantiaeth	t ɛ n a n t j a ɨ̯ θ
tenantiaeth	t ɛ n a n t j ɛ θ
tenantiaeth	t ɛ n a n t j ɛ θ
tenantiaethau	t ɛ n a n t j e ɨ̯ θ a ɨ̯
tenantiaethau	t ɛ n a n t j e ɨ̯ θ ɛ
tenantiaethau	t ɛ n a n t j e ɨ̯ θ a
tenantiaethau	t ɛ n a n t j e ɨ̯ θ ɛ
tenantiaethau	t ɛ n a n t j e ɨ̯ θ a
tenantiaid	t ɛ n a n t j a i̯ d
tenantiaid	t ɛ n a n t j ɛ d
tenantiaid	t ɛ n a n t j ɛ d
tenau	t ɛ n a ɨ̯
tenau	t ɛ n ɛ
tenau	t ɛ n a
tenau	t ɛ n ɛ
tenau	t ɛ n a
terfyn	t ɛ r v ɨ n
terfynau	t ɛ r v ə n a ɨ̯
terfynau	t ɛ r v ə n ɛ
terfynau	t ɛ r v ə n a
terfynau	t ɛ r v ə n ɛ
terfynau	t ɛ r v ə n a
terfyniad	t ɛ r v ə n j a d
terfynol	t ɛ r v ə n ɔ l
terfynu	t ɛ r v ə n ɨ
terfysg	t ɛ r v ɨ̞ s ɡ
terfysgaeth	t ɛ r v ə s ɡ a ɨ̯ θ
terfysgaeth	t ɛ r v ə s ɡ ɛ θ
terfysgaeth	t ɛ r v ə s ɡ ɛ θ
terfysgaidd	t ɛ r v ə s ɡ a i̯ ð
terfysglyd	t ɛ r v ə s ɡ l ɨ̞ d
terfysgoedd	t ɛ r v ə s ɡ ɔ ɨ̯ ð
terfysgu	t ɛ r v ə s ɡ ɨ
terfysgwr	t ɛ r v ə s ɡ ʊ r
terfysgwyr	t ɛ r v ə s ɡ w ɨ̞ r
tery	t ɛ r ɨ
terydr	t ɛ r ɨ̞ d r
tesog	t ɛ s ɔ ɡ
testun	t ɛ s d ɨ̞ n
teulu	t e ɨ̯ l ɨ
teulu brenhinol	t e ɨ̯ l ɨ b r ɛ n h ɪ n ɔ l
tew	t eː u̯
tewach	t ɛ u̯ a χ
tewed	t ɛ u̯ ɛ d
tewi	t ɛ u̯ i
tewyn	t ɛ u̯ ɨ̞ n
teyrn	t e ɨ̯ r n
teyrnaddoliant	t e ɨ̯ r n a ð ɔ l j a n t
teyrnas	t e ɨ̯ r n a s
teyrnged	t e ɨ̯ r n ɡ ɛ d
tg	t ə ɡ ə
tgau	t ɡ a ɨ̯
ti	t iː
ti	t iː
ticio	t ɪ k j ɔ
ticio	t ɪ k ɔ
tîm	t iː m
timau	t ɪ m a ɨ̯
timau	t ɪ m ɛ
timau	t ɪ m a
timau	t ɪ m ɛ
timau	t ɪ m a
timod	t ɪ m oː d
timod	t m oː d
timoedd	t ɪ m ɔ ɨ̯ ð
ti'n iawn	t iː n j a u̯ n
tipyn	t ɪ p ɨ̞ n
tir	t iː r
tiroedd	t ɪ r ɔ ɨ̯ ð
titr	t ɪ t r
titw tomos las	t ɪ t u t ɔ m ɔ s l aː s
tithau	t ɪ θ a ɨ̯
tithau	t ɪ θ a
tithau	t ɪ θ a
tiwb	t ɪ u̯ b
tiwlip	t ɪ u̯ l ɪ p
tiwtor	t ɪ u̯ t ɔ r
tlawd	t l a u̯ d
tlodion	t l ɔ d j ɔ n
tlws	t l uː s
tlws yr eira	t l uː s ə r e i̯ r a
to	t oː
to bach	t oː b aː χ
toc	t ɔ k
tocyn	t ɔ k ɨ̞ n
toddf	t ɔ ð v
toddyf	t ɔ ð ɨ̞ v
toes	t oː ɨ̯ s
toesaidd	t ɔ ɨ̯ s a i̯ ð
toesen	t ɔ ɨ̯ s ɛ n
toeslyd	t ɔ ɨ̯ s l ɨ̞ d
toiled	t ɔ i̯ l ɛ d
toiled	t ɔ i̯ l a d
toiled	t ɔ i̯ l a d
toiledau	t ɔ i̯ l ɛ d a ɨ̯
toiledau	t ɔ i̯ l ɛ d ɛ
toiledau	t ɔ i̯ l ɛ d a
toiledau	t ɔ i̯ l ɛ d ɛ
toiledau	t ɔ i̯ l ɛ d a
toiledi	t ɔ i̯ l ɛ d i
tolio	t ɔ l j ɔ
tomato	t ɔ m a t ɔ
tomatos	t ɔ m a t ɔ s
tomos	t ɔ m ɔ s
ton	t ɔ n
tôn	t oː n
tonau	t ɔ n a ɨ̯
tonau	t ɔ n ɛ
tonau	t ɔ n a
tonau	t ɔ n ɛ
tonau	t ɔ n a
tonnau	t ɔ n a ɨ̯
tonnau	t ɔ n ɛ
tonnau	t ɔ n a
tonnau	t ɔ n ɛ
tonnau	t ɔ n a
tor	t ɔ r
torch	t ɔ r χ
torchau	t ɔ r χ a ɨ̯
torchau	t ɔ r χ ɛ
torchau	t ɔ r χ a
torchau	t ɔ r χ ɛ
torchau	t ɔ r χ a
torchi	t ɔ r χ i
torchog	t ɔ r χ ɔ ɡ
torlan	t ɔ r l a n
torlannau	t ɔ r l a n a ɨ̯
torlannau	t ɔ r l a n ɛ
torlannau	t ɔ r l a n a
torlannau	t ɔ r l a n ɛ
torlannau	t ɔ r l a n a
torra	t ɔ r a
torrai	t ɔ r a i̯
torrai	t ɔ r ɛ
torrai	t ɔ r ɛ
torran	t ɔ r a n
torrem	t ɔ r ɛ m
torren	t ɔ r ɛ n
torrent	t ɔ r ɛ n t
torres	t ɔ r ɛ s
torret	t ɔ r ɛ t
torri	t ɔ r i
torrid	t ɔ r ɪ d
torro	t ɔ r ɔ
torsen	t ɔ r s ɛ n
torso	t ɔ r s ɔ
torth	t ɔ r θ
torheulo	t ɔ r h e ɨ̯ l ɔ
tost	t ɔ s d
tostio	t ɔ s d j ɔ
töwr	t oː ʊ r
towyr	t ɔ u̯ ɨ̞ r
tra	t r aː
tradwy	t r a d ʊ ɨ̯
traddodiad	t r a ð ɔ d j a d
traddodiadol	t r a ð ɔ d j a d ɔ l
traed	t r aː ɨ̯ d
traed brain	t r aː ɨ̯ d b r a i̯ n
traeth	t r aː ɨ̯ θ
traethawd	t r e ɨ̯ θ a u̯ d
traethodau	t r e ɨ̯ θ ɔ d a ɨ̯
traethodau	t r e ɨ̯ θ ɔ d ɛ
traethodau	t r e ɨ̯ θ ɔ d a
traethodau	t r e ɨ̯ θ ɔ d ɛ
traethodau	t r e ɨ̯ θ ɔ d a
trafod	t r a v ɔ d
trafferth	t r a f ɛ r θ
trafferth	t r a f a r θ
trafferth	t r a f a r θ
trafferthion	t r a f ɛ r θ j ɔ n
trafferthu	t r a f ɛ r θ ɨ
trafferthus	t r a f ɛ r θ ɨ̞ s
traidd	t r a i̯ ð
trais	t r a i̯ s
tramor	t r a m ɔ r
trannoeth	t r a n ɔ ɨ̯ θ
traphoethi	t r a f ɔ ɨ̯ θ ɨ
traw	t r aː u̯
trawant	t r a u̯ a n t
trawiau	t r a u̯ j a ɨ̯
trawiau	t r a u̯ j ɛ
trawiau	t r a u̯ j a
trawiau	t r a u̯ j ɛ
trawiau	t r a u̯ j a
trawn	t r a u̯ n
trawo	t r a u̯ ɔ
trawom	t r a u̯ ɔ m
trawsenw	t r a u̯ s ɛ n u
trawstrefa	t r a u̯ s d r ɛ v a
tre	t r eː
