ԱԱ	ɑ ɑ́
պտղաբեր	p ə t ʁ ɑ b é ɾ
պտղատու	p ə t ʁ ɑ t ú
պտուկ	p ə t ú k
պտուղ	p ə t ú ʁ
պտույտ	p ə t ú j t
պտուտակ	p ə t u t ɑ́ k
պտուտակահան	p ə t u t ɑ k ɑ h ɑ́ n
պտտահողմ	p ə t ə t ɑ h ó ʁ m
պտտահողմ	p ə tː ɑ h ó ʁ m
պտտել	p ə t ə t é l
պրակ	p ə ɾ ɑ́ k
պրակ	p ɾ ɑ k
պրակտիկ	p ɾ ɑ k t í k
պրակրիտ	p ɾ ɑ k ɾ í t
պրաս	p ə ɾ ɑ́ s
պրիզմա	p ɾ í z m ɑ
պրիմիտիվ	p ɾ i m i t í v
պրիյատնի	p ɾ i j ɑ t n í
պրինտեր	p ɾ i n t é ɾ
պրինց	p ə ɾ í n t͡sʰ
պրիվետ	p ɾ i v é t
պրծնել	p ə ɾ t͡s n é l
պրոբլեմ	p ɾ o b l é m
պրոդուկտիվ	p ɾ o d u k t í v
պրոթեզ	p ɾ o tʰ é z
պրոլետար	p ɾ o l e t ɑ́ ɾ
պրոլյուվիալ	p ɾ o l j u v i j ɑ́ l
պրոմեթիում	p ɾ o m e tʰ i j ú m
պրոմեթիում	p ɾ o m é tʰ i j u m
պրոպագանդա	p ɾ o p ɑ ɡ ɑ n d ɑ́
պրոպագանդա	p ɾ o p ɑ ɡ ɑ́ n d ɑ
պրոսպեկտ	p ɾ o s p é k t
պրովանսերեն	p ɾ o v ɑ n s e ɾ é n
պրոտակտինիում	p ɾ o t ɑ k t i n i j ú m
պրոտակտինիում	p ɾ o t ɑ k t í n i j u m
պրոտեզ	p ɾ o t é z
պրոտոն	p ɾ o t ó n
պրոցես	p ɾ o t͡sʰ é s
պրոֆեսիոնալ	p ɾ o f e s i j o n ɑ́ l
պրոֆեսոր	p ɾ o f e s ó ɾ
պրտու	p ə ɾ t ú
ջ	d͡ʒ ə
ջʻ	d̤͡ʒ̤
ջազ	d͡ʒ ɑ z
ջազվա	d͡ʒ ɑ z v ɑ́
ջազվե	d͡ʒ ɑ z v é
ջահ	d͡ʒ ɑ h
ջահել	d͡ʒ ɑ h é l
ջահիլ	d͡ʒ ɑ h í l
ջահուկցի	d͡ʒ ɑ h u k t͡sʰ í
ջաղաց	d͡ʒ ɑ ʁ ɑ́ t͡sʰ
ջաղացպան	d͡ʒ ɑ ʁ ɑ t͡sʰ p ɑ́ n
ջաղացք	d͡ʒ ɑ ʁ ɑ́ t͡sʰ kʰ
ջայլամ	d͡ʒ ɑ j l ɑ́ m
ջայնիզմ	d͡ʒ ɑ j n í z m
ջայվ	d͡ʒ ɑ j v
ջան	d͡ʒ ɑ n
ջանալ	d͡ʒ ɑ n ɑ́ l
ջանասեր	d͡ʒ ɑ n ɑ s é ɾ
ջանասիրաբար	d͡ʒ ɑ n ɑ s i ɾ ɑ b ɑ́ ɾ
ջանասիրություն	d͡ʒ ɑ n ɑ s i ɾ u t͡sʰ j ú n
ջանավար	d͡ʒ ɑ n ɑ v ɑ́ ɾ
ջանդամ	d͡ʒ ɑ n d ɑ́ m
ջանք	d͡ʒ ɑ ŋ kʰ
ջառջառ	d͡ʒ ɑ r d͡ʒ ɑ́ r
ջատագով	d͡ʒ ɑ t ɑ ɡ ó v
ջարդ	d͡ʒ ɑ ɾ tʰ
ջարդել	d͡ʒ ɑ ɾ tʰ é l
ջարդվել	d͡ʒ ɑ ɾ tʰ v é l
ջե	d͡ʒ e
ջեբ	d͡ʒ e b
ջեզվե	d͡ʒ e z v é
ջեմ	d͡ʒ e m
ջենովական	d͡ʒ e n o v ɑ k ɑ́ n
ջենովացի	d͡ʒ e n o v ɑ t͡sʰ í
ջենտլմեն	d͡ʒ e n t ə l m é n
ջեռ	d͡ʒ e r
ջեռակ	d͡ʒ e r ɑ́ k
ջեռանալ	d͡ʒ e r ɑ n ɑ́ l
ջեռոց	d͡ʒ e r ó t͡sʰ
ջեռուցել	d͡ʒ e r u t͡sʰ é l
ջերմ	d͡ʒ e ɾ m
ջերմաչափ	d͡ʒ e ɾ m ɑ t͡ʃʰ ɑ́ pʰ
ջերմաստիճան	d͡ʒ e ɾ m ɑ s t i t͡ʃ ɑ́ n
ջերմոց	d͡ʒ e ɾ m ó t͡sʰ
ջերմություն	d͡ʒ e ɾ m u t͡sʰ j ú n
ջերմուկ	d͡ʒ e ɾ m ú k
ջիգար	d͡ʒ i ɡ ɑ́ ɾ
ջիգիթ	d͡ʒ i ɡ í tʰ
ջիգյար	d͡ʒ i ɡ j ɑ́ ɾ
ջիլ	d͡ʒ i l
ջիհադ	d͡ʒ i h ɑ́ d
ջիղ	d͡ʒ i ʁ
ջիմ	d͡ʒ i m
ջին	d͡ʒ i n
ջինջ	d͡ʒ i n d͡ʒ
ջինջիլ	d͡ʒ i n d͡ʒ í l
ջինս	d͡ʒ i n s
ջիպ	d͡ʒ i p
ջհուդ	d͡ʒ ə h ú d
ջհուդամասոն	d͡ʒ ə h u d ɑ m ɑ s ó n
ջղային	d͡ʒ ə ʁ ɑ j í n
ջղայն	d͡ʒ ə ʁ ɑ́ j n
ջղայնանալ	d͡ʒ ə ʁ ɑ j n ɑ n ɑ́ l
ջղայնացնել	d͡ʒ ə ʁ ɑ j n ɑ t͡sʰ n é l
ջնար	d͡ʒ ə n ɑ́ ɾ
ջնարակ	d͡ʒ ə n ɑ ɾ ɑ́ k
ջնջել	d͡ʒ ə n d͡ʒ é l
ջնջիլ	d͡ʒ ə n d͡ʒ í l
ջնջոց	d͡ʒ ə n d͡ʒ ó t͡sʰ
ջոգել	d͡ʒ o ɡ é l
ջոկ	d͡ʒ o k
ջոկել	d͡ʒ o k é l
ջորդան	d͡ʒ o ɾ d ɑ́ n
ջորի	d͡ʒ o ɾ í
ջութ	d͡ʒ u tʰ
ջութակ	d͡ʒ u tʰ ɑ́ k
ջութակահար	d͡ʒ u tʰ ɑ k ɑ h ɑ́ ɾ
ջուլհակ	d͡ʒ u l h ɑ́ k
ջուլհակահաստոց	d͡ʒ u l h ɑ k ɑ h ɑ s t ó t͡sʰ
ջուղաբ	d͡ʒ u ʁ ɑ́ b
ջունգլի	d͡ʒ u ŋ ɡ l í
ջուր	d͡ʒ u ɾ
ջուրը	d͡ʒ ú ɾ ə
ջվալ	d͡ʒ ə v ɑ́ l
ջրախոզուկ	d͡ʒ ə ɾ ɑ χ o z ú k
ջրածին	d͡ʒ ə ɾ ɑ t͡s í n
ջրածնային	d͡ʒ ə ɾ ɑ t͡s n ɑ j í n
ջրահարս	d͡ʒ ə ɾ ɑ h ɑ́ ɾ s
ջրաղաց	d͡ʒ ə ɾ ɑ ʁ ɑ́ t͡sʰ
ջրաղացաքար	d͡ʒ ə ɾ ɑ ʁ ɑ t͡sʰ ɑ kʰ ɑ́ ɾ
ջրաղացպան	d͡ʒ ə ɾ ɑ ʁ ɑ t͡sʰ p ɑ́ n
ջրամբար	d͡ʒ ə ɾ ɑ m b ɑ́ ɾ
ջրային	d͡ʒ ə ɾ ɑ j í n
ջրաներկ	d͡ʒ ə ɾ ɑ n é ɾ k
ջրանկար	d͡ʒ ə ɾ ɑ n ə k ɑ́ ɾ
ջրանուն	d͡ʒ ə ɾ ɑ n ú n
ջրանցք	d͡ʒ ə ɾ ɑ́ n t͡sʰ kʰ
ջրասամույր	d͡ʒ ə ɾ ɑ s ɑ m ú j ɾ
ջրասուզակ	d͡ʒ ə ɾ ɑ s u z ɑ́ k
ջրատար	d͡ʒ ə ɾ ɑ t ɑ́ ɾ
ջրարգելակ	d͡ʒ ə ɾ ɑ ɾ kʰ e l ɑ́ k
ջրարջ	d͡ʒ ə ɾ ɑ́ ɾ t͡ʃʰ
ջրափոս	d͡ʒ ə ɾ ɑ pʰ ó s
ջրաքիս	d͡ʒ ə ɾ ɑ kʰ í s
ջրել	d͡ʒ ə ɾ é l
ջրեղեն	d͡ʒ ə ɾ e ʁ é n
ջրի	d͡ʒ ə ɾ í
ջրիմուռ	d͡ʒ ə ɾ i m ú r
ջրիմուռներ	d͡ʒ ə ɾ i m u r n é ɾ
ջրծաղիկ	d͡ʒ ə ɾ t͡s ɑ ʁ í k
ջրկոտեմ	d͡ʒ ə ɾ k o t é m
ջրհեղեղ	d͡ʒ ə ɾ h e ʁ é ʁ
ջրհոր	d͡ʒ ə ɾ h ó ɾ
ջրհորդան	d͡ʒ ə ɾ h o ɾ d ɑ́ n
ջրշուն	d͡ʒ ə ɾ ʃ ú n
ջրոգի	d͡ʒ ə ɾ o kʰ í
ջրորդան	d͡ʒ ə ɾ o ɾ d ɑ́ n
ջրպան	d͡ʒ ə ɾ p ɑ́ n
ջրվեժ	d͡ʒ ə ɾ v é ʒ
ջրցան	d͡ʒ ə ɾ t͡sʰ ɑ́ n
ջրօրհնեք	d͡ʒ ə ɾ o ɾ h n é kʰ
ռ	r ə
ռա	r ɑ
ռաբիզ	r ɑ b í z
ռաբիս	r ɑ b í s
ռագատկա	r ɑ ɡ ɑ t k ɑ́
ռադ	r ɑ d
ռադիո	r ɑ d j ó
ռադիոգալակտիկա	r ɑ d i j o ɡ ɑ l ɑ k t i k ɑ́
ռադիոկայան	r ɑ d i j o k ɑ j ɑ́ n
ռադոն	r ɑ d ó n
ռազիան	r ɑ z i j ɑ́ n
ռազմ	r ɑ z m
ռազմաբեմ	r ɑ z m ɑ b é m
ռազմագերի	r ɑ z m ɑ ɡ e ɾ í
ռազմադաշտ	r ɑ z m ɑ d ɑ́ ʃ t
ռազմակայան	r ɑ z m ɑ k ɑ j ɑ́ n
ռազմական	r ɑ z m ɑ k ɑ́ n
ռազմաճակատ	r ɑ z m ɑ t͡ʃ ɑ k ɑ́ t
ռազմանավ	r ɑ z m ɑ n ɑ́ v
ռազմավարական	r ɑ z m ɑ v ɑ ɾ ɑ k ɑ́ n
ռազմավարություն	r ɑ z m ɑ v ɑ ɾ u t͡sʰ j ú n
ռազմիկ	r ɑ z m í k
ռազվեդկա	r ɑ z v e d k ɑ́
ռազվեդչիկ	r ɑ z v e tʰ t͡ʃʰ í k
ռազվետկա	r ɑ z v e t k ɑ́
ռազվետչիկ	r ɑ z v e t̚ t͡ʃʰ í k
ռազվոդ	r ɑ z v ó d
ռաժոկ	r ɑ ʒ ó k
ռակ	r ɑ k
ռահ	r ɑ h
ռահվիրա	r ɑ h v i ɾ ɑ́
ռաղամ	r ɑ ʁ ɑ́ m
ռամ	r ɑ m
ռամեն	r ɑ m é n
ռամիկ	r ɑ m í k
ռամկավար	r ɑ m k ɑ v ɑ́ ɾ
ռամկավարական	r ɑ m k ɑ v ɑ ɾ ɑ k ɑ́ n
ռամկավարություն	r ɑ m k ɑ v ɑ ɾ u t͡sʰ j ú n
ռայա	r ɑ j ɑ́
ռանգ	r ɑ ŋ ɡ
ռանդա	r ɑ n d ɑ́
ռաջաստանի	r ɑ d͡ʒ ɑ s t ɑ n í
ռասա	r ɑ s ɑ́
ռասա	r ɑ́ s ɑ
ռասիզմ	r ɑ s í z m
ռասիստ	r ɑ s í s t
ռավիոլի	r ɑ v i j o l í
ռավիոլի	r ɑ v i j ó l i
ռացիոնալ	r ɑ t͡sʰ i j o n ɑ́ l
ռեալ	r e ɑ́ l
ռեակտոր	r e ɑ k t ó ɾ
ռեակցիա	r e ɑ k t͡sʰ i j ɑ́
ռեակցիա	r e ɑ́ k t͡sʰ i j ɑ
ռեբուս	r e b ú s
ռեգբի	r e ɡ b í
ռեգբի	r é ɡ b i
ռեգբիլիգ	r e ɡ b i l í ɡ
ռեգգի	r é ɡː i
ռեգլամենտ	r e ɡ l ɑ m é n t
ռեզերֆորդիում	r e z e ɾ f o ɾ d i j ú m
ռեզերֆորդիում	r e z e ɾ f ó ɾ d i j u m
ռեժիսոր	r e ʒ i s ó ɾ
ռելս	r e l s
ռեխ	r e χ
ռեկլամ	r e k l ɑ́ m
ռեկորդային	r e k o ɾ d ɑ j í n
ռեկտոր	r e k t ó ɾ
ռեհան	r e h ɑ́ n
ռեմեն	r e m é n
ռեմոնտ	r e m ó n t
ռեյտինգ	r e j t í ŋ ɡ
ռեյտինգ	r é j t i ŋ ɡ
ռենտգենիում	r e n t ɡ e n i j ú m
ռենտգենիում	r e n t ɡ é n i j u m
ռենտգենիում	r e ŋ ɡ é n j u m
ռեպ	r e p
ռեսուրս	r e s ú ɾ s
ռեստորան	r e s t o ɾ ɑ́ n
ռետին	r e t í n
ռեցենզիա	r e t͡sʰ e n z i j ɑ́
ռեցենզիա	r e t͡sʰ é n z i j ɑ
ռեփ	r e pʰ
ռեֆորմ	r e f ó ɾ m
ռիթմ	r i tʰ ə m
ռինգ	r i ŋ ɡ
ռիսկ	r i s k
ռմբակոծել	r ə m b ɑ k o t͡s é l
ռմբակոծություն	r ə m b ɑ k o t͡s u t͡sʰ j ú n
ռմբապաստարան	r ə m b ɑ p ɑ s t ɑ ɾ ɑ́ n
ռնգական	r ə ŋ ɡ ɑ k ɑ́ n
ռնգեղջյուր	r ŋ ɡ e χ t͡ʃʰ j ú ɾ
ռոբոտ	r o b ó t
ռոդիում	r o d i j ú m
ռոդիում	r ó d i j u m
ռոժ	r o ʒ
ռոճիկ	r o t͡ʃ í k
ռոմ	r o m
ռոման	r o m ɑ́ n
ռոմանշ	r o m ɑ́ n ʃ
ռոյալթի	r o j ɑ l tʰ í
ռոյալթի	r ó j ɑ l tʰ i
ռուբ	r u b
ռուբիդիում	r u b i d i j ú m
ռուբիդիում	r u b í d i j u m
ռուբլի	r u b l í
ռութենիում	r u tʰ e n i j ú m
ռութենիում	r u tʰ é n i j u m
ռումբ	r u m b
ռումբա	r u m b ɑ́
ռումինական	r u m i n ɑ k ɑ́ n
ռումինացի	r u m i n ɑ t͡sʰ í
ռումիներեն	r u m i n e ɾ é n
ռունգ	r u ŋ ɡ
ռուչկա	r u t͡ʃʰ k ɑ́
ռուպոր	r ú p o ɾ
ռուս	r u s
ռուսական	r u s ɑ k ɑ́ n
ռուսաստանցի	r u s ɑ s t ɑ n t͡sʰ í
ռուսերեն	r u s e ɾ é n
ռուսուլման	r u s u l m ɑ́ n
ռուսուհի	r u s u h í
ռևանշ	r e v ɑ́ n ʃ
ռևիզիոնիզմ	r e v i z i j o n í z m
ռևոլյուցիա	r e v o l j u t͡sʰ i j ɑ́
ս	s ə
սա	s ɑ
սաբոտաժ	s ɑ b o t ɑ́ ʒ
սագ	s ɑ ɡ
սագո	s ɑ ɡ ó
սադափ	s ɑ d ɑ́ pʰ
սադրանք	s ɑ d ɾ ɑ́ ŋ kʰ
սադրել	s ɑ d ɾ é l
սադրիչ	s ɑ d ɾ í t͡ʃʰ
սազ	s ɑ z
սազալ	s ɑ z ɑ́ l
սազել	s ɑ z é l
սաթ	s ɑ tʰ
սալ	s ɑ l
սալաթ	s ɑ l ɑ́ tʰ
սալամանդր	s ɑ l ɑ m ɑ́ n d ə ɾ
սալաքար	s ɑ l ɑ kʰ ɑ́ ɾ
սալիկ	s ɑ l í k
սալյամի	s ɑ l j ɑ́ m i
սալոր	s ɑ l ó ɾ
սալորենի	s ɑ l o ɾ e n í
սալֆետկա	s ɑ l f e t k ɑ́
սախատ	s ɑ χ ɑ́ t
սակայն	s ɑ k ɑ́ j n
սակավ	s ɑ k ɑ v
սակավաթիվ	s ɑ k ɑ v ɑ tʰ í v
սակավախոս	s ɑ k ɑ v ɑ χ ó s
սակարկել	s ɑ k ɑ ɾ k é l
սակարկություն	s ɑ k ɑ ɾ k u t͡sʰ j ú n
սակարկում	s ɑ k ɑ ɾ k ú m
սակարկվել	s ɑ k ɑ ɾ k v é l
սակե	s ɑ k é
սակերեն	s ɑ k e ɾ é n
սահաթ	s ɑ h ɑ́ tʰ
սահաթչի	s ɑ h ɑ tʰ t͡ʃʰ í
սահել	s ɑ h é l
սահեցնել	s ɑ h e t͡sʰ n é l
սահման	s ɑ h m ɑ́ n
սահմանագծում	s ɑ h m ɑ n ɑ ɡ ə t͡s ú m
սահմանադրական	s ɑ h m ɑ n ɑ d ə ɾ ɑ k ɑ́ n
սահմանադրություն	s ɑ h m ɑ n ɑ d ə ɾ u t͡sʰ j ú n
սահմանազատում	s ɑ h m ɑ n ɑ z ɑ t ú m
սահմանական	s ɑ h m ɑ n ɑ k ɑ́ n
սահմանապահ	s ɑ h m ɑ n ɑ p ɑ́ h
սահմանափակ	s ɑ h m ɑ n ɑ pʰ ɑ́ k
սահմանափակել	s ɑ h m ɑ n ɑ pʰ ɑ k é l
սահմանափակիչ	s ɑ h m ɑ n ɑ pʰ ɑ k í t͡ʃʰ
սահմանափակող	s ɑ h m ɑ n ɑ pʰ ɑ k ó ʁ
սահմանափակորեն	s ɑ h m ɑ n ɑ pʰ ɑ k o ɾ é n
սահմանափակություն	s ɑ h m ɑ n ɑ pʰ ɑ k u t͡sʰ j ú n
սահմանափակում	s ɑ h m ɑ n ɑ pʰ ɑ k ú m
սահմանափակվածություն	s ɑ h m ɑ n ɑ pʰ ɑ k v ɑ t͡s u t͡sʰ j ú n
սահմանափակվել	s ɑ h m ɑ n ɑ pʰ ɑ k v é l
սահմանել	s ɑ h m ɑ n é l
սահմանում	s ɑ h m ɑ n ú m
սահմանվել	s ɑ h m ɑ n v é l
սահմի	s ɑ h m í
սահնակ	s ɑ h n ɑ́ k
սահուն	s ɑ h ú n
սահք	s ɑ h kʰ
սաղ	s ɑ ʁ
սաղանալ	s ɑ ʁ ɑ n ɑ́ l
սաղավարտ	s ɑ ʁ ɑ v ɑ́ ɾ t
սաղարթ	s ɑ ʁ ɑ́ ɾ tʰ
սաղացնել	s ɑ ʁ ɑ t͡sʰ n é l
սաղլամ	s ɑ ʁ l ɑ́ m
սաղմ	s ɑ ʁ m
սաղմոն	s ɑ ʁ m ó n
սաղմոս	s ɑ ʁ m ó s
սամալյոտ	s ɑ m ɑ l j ó t
սամարիում	s ɑ m ɑ ɾ i j ú m
սամբա	s ɑ m b ɑ́
սամբո	s ɑ m b ó
սամբո	s ɑ́ m b o
սամիթ	s ɑ m í tʰ
սամույր	s ɑ m ú j ɾ
սամուրայ	s ɑ m u ɾ ɑ́ j
սամսար	s ɑ m s ɑ́ ɾ
սայթաքել	s ɑ j tʰ ɑ kʰ é l
սայլ	s ɑ j l
սայլակ	s ɑ j l ɑ́ k
սայլորդ	s ɑ j l ó ɾ tʰ
սան	s ɑ n
սանդ	s ɑ n d
սանդաթակ	s ɑ n d ɑ tʰ ɑ́ k
սանդղակ	s ɑ n d ʁ ɑ́ k
սանդուղք	s ɑ n d ú χ kʰ
սանթուր	s ɑ n tʰ ú ɾ
սանկա	s ɑ ŋ k ɑ́
սանկցիա	s ɑ ŋ k t͡sʰ i j ɑ́
սանկցիա	s ɑ́ ŋ k t͡sʰ i j ɑ
սանձ	s ɑ n d͡z
սանձահարել	s ɑ n d͡z ɑ h ɑ ɾ é l
սանձարձակ	s ɑ n d͡z ɑ ɾ t͡sʰ ɑ́ k
սանձել	s ɑ n d͡z é l
սանսկրիտ	s ɑ n s k ɾ í t
սանտիմ	s ɑ n t í m
սանտիմետր	s ɑ n t i m é t ə ɾ
սանր	s ɑ́ n ə ɾ
սանրել	s ɑ n ɾ é l
սանրվածք	s ɑ n ə ɾ v ɑ́ t͡s kʰ
սանրվել	s ɑ n ə ɾ v é l
սաշիմի	s ɑ ʃ i m í
սաունա	s ɑ u n ɑ́
սաունա	s ɑ́ u n ɑ
սապատավոր	s ɑ p ɑ t ɑ v ó ɾ
սապոգ	s ɑ p ó ɡ
սապոն	s ɑ p ó n
սառ	s ɑ r
սառել	s ɑ r é l
սառը	s ɑ́ r ə
սառն	s ɑ́ r ə n
սառնամանիք	s ɑ r n ɑ m ɑ n í kʰ
սառնապուր	s ɑ r n ɑ p ú ɾ
սառնավուն	s ɑ r n ɑ v ú n
սառնարան	s ɑ r n ɑ ɾ ɑ́ n
սառոշկա	s ɑ r o ʃ k ɑ́
սառույց	s ɑ r ú j t͡sʰ
սառուց	s ɑ r ú t͡sʰ
սառուցյալ	s ɑ r u t͡sʰ j ɑ́ l
սառչել	s ɑ r t͡ʃʰ é l
սառցադաշտ	s ɑ r t͡sʰ ɑ d ɑ́ ʃ t
սառցալեզվակ	s ɑ r t͡sʰ ɑ l e z v ɑ́ k
սառցահատ	s ɑ r t͡sʰ ɑ h ɑ́ t
սառցարան	s ɑ r t͡sʰ ɑ ɾ ɑ́ n
սառցե	s ɑ r t͡sʰ é
սասան	s ɑ s ɑ́ n
սասանել	s ɑ s ɑ n é l
սասինկա	s ɑ s i ŋ k ɑ́
սասիսկա	s ɑ s i s k ɑ́
սասիսկի	s ɑ s i s k í
սասիստկա	s ɑ s i s t k ɑ́
սաստ	s ɑ s t
սաստիկ	s ɑ s t í k
սավան	s ɑ v ɑ́ n
սավառնակ	s ɑ v ɑ r n ɑ́ k
սավառնել	s ɑ v ɑ r n é l
սավառնորդ	s ɑ v ɑ r n ó ɾ tʰ
սատանա	s ɑ t ɑ n ɑ́
սատարել	s ɑ t ɑ ɾ é l
սատելիտ	s ɑ t e l í t
սատկել	s ɑ t k é l
սատկեցնել	s ɑ t k e t͡sʰ n é l
սար	s ɑ ɾ
սարայ	s ɑ ɾ ɑ́ j
սարավանդ	s ɑ ɾ ɑ v ɑ́ n d
սարավանդակ	s ɑ ɾ ɑ v ɑ n d ɑ́ k
սարդ	s ɑ ɾ d
սարդար	s ɑ ɾ d ɑ́ ɾ
սարդենի	s ɑ ɾ d e n í
սարդեր	s ɑ ɾ d é ɾ
սարդի	s ɑ ɾ d í
սարդիներեն	s ɑ ɾ d i n e ɾ é n
սարդոստայն	s ɑ ɾ d o s t ɑ́ j n
սարկազմ	s ɑ ɾ k ɑ́ z m
սարկավագ	s ɑ ɾ k ɑ v ɑ́ ɡ
սարյակ	s ɑ ɾ j ɑ́ k
սարսափ	s ɑ ɾ s ɑ́ pʰ
սարսափագին	s ɑ ɾ s ɑ pʰ ɑ ɡ í n
սարսափազդեցիկ	s ɑ ɾ s ɑ pʰ ɑ z d e t͡sʰ í k
սարսափազդու	s ɑ ɾ s ɑ pʰ ɑ z d ú
սարսափալից	s ɑ ɾ s ɑ pʰ ɑ l í t͡sʰ
սարսափախառն	s ɑ ɾ s ɑ pʰ ɑ χ ɑ́ r ə n
սարսափածին	s ɑ ɾ s ɑ pʰ ɑ t͡s í n
սարսափահար	s ɑ ɾ s ɑ pʰ ɑ h ɑ́ ɾ
սարսափահարել	s ɑ ɾ s ɑ pʰ ɑ h ɑ ɾ é l
սարսափահարություն	s ɑ ɾ s ɑ pʰ ɑ h ɑ ɾ u t͡sʰ j ú n
սարսափահարվել	s ɑ ɾ s ɑ pʰ ɑ h ɑ ɾ v é l
սարսափանք	s ɑ ɾ s ɑ pʰ ɑ́ ŋ kʰ
սարսափել	s ɑ ɾ s ɑ pʰ é l
սարսափելի	s ɑ ɾ s ɑ pʰ e l í
սարսափելիություն	s ɑ ɾ s ɑ pʰ e l i j u t͡sʰ j ú n
սարսափեցնել	s ɑ ɾ s ɑ pʰ e t͡sʰ n é l
սարսափեցնող	s ɑ ɾ s ɑ pʰ e t͡sʰ n ó ʁ
սարսափեցում	s ɑ ɾ s ɑ pʰ e t͡sʰ ú m
սարսափեցուցիչ	s ɑ ɾ s ɑ pʰ e t͡sʰ u t͡sʰ í t͡ʃʰ
սարսափում	s ɑ ɾ s ɑ pʰ ú m
սարսափուն	s ɑ ɾ s ɑ pʰ ú n
սարսուռ	s ɑ ɾ s ú r
սարք	s ɑ ɾ kʰ
սարքավորում	s ɑ ɾ kʰ ɑ v o ɾ ú m
սարքել	s ɑ ɾ kʰ é l
սացիվի	s ɑ t͡sʰ í v i
սափոր	s ɑ pʰ ó ɾ
սափրել	s ɑ pʰ ɾ é l
սափրիչ	s ɑ pʰ ɾ í t͡ʃʰ
սափրվել	s ɑ pʰ ə ɾ v é l
սաքսոֆոն	s ɑ kʰ s o f ó n
սգալ	s ə kʰ ɑ́ l
սե	s e
սեգ	s e ɡ
սեզ	s e z
սեզոն	s e z ó n
սել	s e l
սելավ	s e l ɑ́ f
սելեն	s e l é n
սելջուկ	s e l d͡ʒ ú k
սելջուկյան	s e l d͡ʒ u k j ɑ́ n
սեխ	s e χ
սեկվոյա	s e k v o j ɑ́
սեկվոյա	s e k v ó j ɑ
սեղան	s e ʁ ɑ́ n
սեղանապետ	s e ʁ ɑ n ɑ p é t
սեղանատամ	s e ʁ ɑ n ɑ t ɑ́ m
սեղանատուն	s e ʁ ɑ n ɑ t ú n
սեղմ	s e ʁ m
սեղմ	s e χ m
սեղմագիր	s e ʁ m ɑ ɡ í ɾ
սեղմագիր	s e χ m ɑ ɡ í ɾ
սեղմակ	s e ʁ m ɑ́ k
սեղմակ	s e χ m ɑ́ k
սեղմասկավառակ	s e ʁ m ɑ s k ɑ v ɑ r ɑ́ k
սեղմասկավառակ	s e χ m ɑ s k ɑ v ɑ r ɑ́ k
սեղմել	s e ʁ m é l
սեղմել	s e χ m é l
սեղմիչ	s e ʁ m í t͡ʃʰ
սեղմիչ	s e χ m í t͡ʃʰ
սեղմիրան	s e ʁ m i ɾ ɑ́ n
սեղմիրան	s e χ m i ɾ ɑ́ n
սեմ	s e m
սեմական	s e m ɑ k ɑ́ n
սեմուշկա	s e m u ʃ k ɑ́
սեյլան	s e j l ɑ́ n
սենատ	s e n ɑ́ t
սենդվիչ	s e n d v í t͡ʃʰ
սենդվիչ	s é n d v i t͡ʃʰ
սենյակ	s e n j ɑ́ k
սենյորություն	s e n j o ɾ u t͡sʰ j ú n
սենց	s e n t͡sʰ
սեպ	s e p
սեպագիր	s e p ɑ ɡ í ɾ
սեպուհ	s e p ú h
սեպտեմբեր	s e p t e m b é ɾ
սեպտեմբերյան	s e p t e m b e ɾ j ɑ́ n
սեռ	s e r
սեռական	s e r ɑ k ɑ́ n
սեռանիշ	s e r ɑ n í ʃ
սեռի	s e r í
սեսիա	s é s i j ɑ
սեր	s e ɾ
սերբ	s e ɾ b
սերբախորվաթերեն	s e ɾ b ɑ χ o ɾ v ɑ tʰ e ɾ é n
սերբական	s e ɾ b ɑ k ɑ́ n
սերբերեն	s e ɾ b e ɾ é n
սերժանտ	s e ɾ ʒ ɑ́ n t
սերկևիլ	s e ɾ k e v í l
սերկևիլենի	s e ɾ k e v i l e n í
սերմ	s e ɾ m
սերմնաբշտիկ	s e ɾ m n ɑ b ə ʃ t í k
սերմնաբուշտ	s e ɾ m n ɑ b ú ʃ t
սերմնաբջիջ	s e ɾ m n ɑ b ə d͡ʒ í d͡ʒ
սերմնագռավ	s e ɾ m n ɑ ɡ r ɑ́ v
սերմնաժայթքում	s e ɾ m n ɑ ʒ ɑ j tʰ kʰ ú m
սերմնածորան	s e ɾ m n ɑ t͡s o ɾ ɑ́ n
սերմնահեղուկ	s e ɾ m n ɑ h e ʁ ú k
սերունդ	s e ɾ ú n d
սերուցք	s e ɾ ú t͡sʰ kʰ
սերտ	s e ɾ t
սերֆինգ	s é ɾ f i ŋ ɡ
սեփական	s e pʰ ɑ k ɑ́ n
սեփականություն	s e pʰ ɑ k ɑ n u t͡sʰ j ú n
սեքս	s e kʰ s
սեքսիզմ	s e kʰ s í z m
սեֆերբերլիք	s e f e ɾ b e ɾ l í kʰ
սզնի	s ə z n í
սթափ	s tʰ ɑ pʰ
սթափվել	s tʰ ɑ pʰ v é l
սթենդ	s tʰ e n d
սիբիրախտ	s i b i ɾ ɑ́ χ t
սիբորգիում	s i b ó ɾ ɡ i j u m
սիգ	s i ɡ
սիգա	s i ɡ ɑ́
սիգալ	s i ɡ ɑ́ l
սիգար	s i ɡ ɑ́ ɾ
սիգարետ	s i ɡ ɑ ɾ é t
սիդի	s i d í
սիեստա	s i j e s t ɑ́
